country,year,varName_harmonized,varName_source,varLabel_source,comment,pctMissing
Ethiopia,2018-19,planting_month,s4q13a,13_a.When did you plant the seeds for the [Crop] on [FIELD]? (Month),The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),33.23340974548874
Ethiopia,2018-19,planting_year,s4q13b,13_b.When did you plant the seeds for the [Crop] on [FIELD]? (Year),NA,33.23340974548874
Ethiopia,2018-19,harvest_month_begin,s9q08a,8a.What was the month when the harvesting of [CROP] on [FIELD] started?,The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),39.887145124316696
Ethiopia,2018-19,harvest_month_end,s9q08b,8b.What was the month when the harvesting of [CROP] on [FIELD] ended?,The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),39.887145124316696
Ethiopia,2018-19,adm1,region,Region,NA,3.1387762299418096
Ethiopia,2018-19,adm2,zonename,Zone Name,NA,31.052724387233294
Ethiopia,2018-19,adm3,woredaname,Woreda Name,NA,64.53888203138777
Ethiopia,2018-19,lat,lat_mod,Latitude Modified,NA,0.1645800270381473
Ethiopia,2018-19,lon,lon_mod,Longitude Modified,NA,0.1645800270381473
Ethiopia,2018-19,GPS_level,NA,NA,NA,0.1645800270381473
Ethiopia,2018-19,plot_area_reported_localUnit,s3q02a,2a.ASK HOLDER: What is the area of [FIELD]?,NA,4.808087932757303
Ethiopia,2018-19,localUnit_area,s3q02b,2b. Unit of measurement,NA,4.808087932757303
Ethiopia,2018-19,plot_area_measured_ha,s3q08,8.RECORD AREA OF THE FIELD USING GPS.,NA,5.090225121965556
Ethiopia,2018-19,plot_area_reported_ha,NA,NA,NA,51.55469346969964
Ethiopia,2018-19,harvest_year_begin,NA,NA,NA,100
Ethiopia,2018-19,harvest_year_end,NA,NA,NA,100
Ethiopia,2018-19,adm4,NA,NA,NA,100
Ethiopia,2018-19,dataset_name,NA,NA,NA,NA
Ethiopia,2018-19,dataset_doi,NA,NA,NA,0
Mali,2014-2015,hhID,"grappe, menage","Grappe, Ménage","paste of grappe and menage ""G_M""",0
Mali,2014-2015,lat,lat_dd_mod,GPS Latitude Modified,,0
Mali,2014-2015,lon,lon_dd_mod,GPS Longitude Modified,,0
Mali,2014-2015,GPS_level,type,Type de questionnaire,"set to 3 based on ""type""",0
Mali,2014-2015,adm1,s0aq01,Région,,0
Mali,2014-2015,adm2,s0aq02,Cercle,,0.3083963390370076
Mali,2014-2015,adm3,s0aq03,Commune,,0
Mali,2014-2015,adm4,,,not present in dataset,100
Mali,2014-2015,fieldID,"s1cq01,s1bq01",Numéro du bloc,,0
Mali,2014-2015,plotID,"s1cq02,s1bq02",Numéro de la parcelle,,0
Mali,2014-2015,crop,s1cq03,Code de la culture,,0
Mali,2014-2015,plot_area_reported_ha,s1bq10,Superficie de la parcelle (en HA) selon le paysan,value 99 is indicated as NoData,9.281734978113807
Mali,2014-2015,plot_area_measured_ha,s1bq05a,Superficie de la parcelle (en hectare) selon les mesures GPS,value 99 is indicated as NoData,4.4369279745324315
Mali,2014-2015,plot_area_reported_localUnit,,,not present in dataset,100
Mali,2014-2015,localUnit_area,,,not present in dataset,100
Mali,2014-2015,crop_area_share,s1cq06,Pourcentage de la superficie occupée par cette culture,,87.71388778352566
Mali,2014-2015,planting_month,s1cq11b,Mois de début de sémis ou de repiquage pour la culture,,0
Mali,2014-2015,harvest_month_begin,s3aq04b,Mois de début de récolte de la culture,,4.566255471547951
Mali,2014-2015,harvest_month_end,s3aq07b,Mois de fin de récolte de la culture,,6.58575407879029
Mali,2014-2015,planting_year,,,calculated by considering the harvest month + year,100
Mali,2014-2015,harvest_year_begin,,,calculated based on survey date and reported planting month,100
Mali,2014-2015,harvest_year_end,,,calculated based on survey date and reported planting month,100
Mali,2017-2018,hhID,"grappe, exploitation","Grappe, Exploitation",combination of both grappe and exploitation,0
Mali,2017-2018,lat,lat_dd_mod,GPS Latitude Modified,,0
Mali,2017-2018,lon,lon_dd_mod,GPS Longitude Modified,,0
Mali,2017-2018,GPS_level,,,,0
Mali,2017-2018,adm1,s0q01,Région,,0
Mali,2017-2018,adm2,s0q02,Cercle,,0
Mali,2017-2018,adm3,s0q03,Commune,,0.1283800048142502
Mali,2017-2018,adm4,,,not present in dataset,100
Mali,2017-2018,fieldID,"s11bq01,s11cq01",Numéro du bloc,different variables indicating bloc ID,0
Mali,2017-2018,plotID,"s11bq02, s11cq02",Numéro de la parcelle dans le bloc,different variables indicating parcelle ID,0
Mali,2017-2018,crop,s11cq03,Code de la culture,based on crop code description,0
Mali,2017-2018,plot_area_reported_ha,s11bq11b,Unité de mesure de la superficie de la parcelle par le paysan,converted m to hectares - accounted for crop_area_share,1.424215678408088
Mali,2017-2018,plot_area_measured_ha,s11bq07,Superficie de la parcelle en ha selon les mesures GPS,accounted for crop_area_share,1.6769638128861428
Mali,2017-2018,plot_area_reported_localUnit,,,not present in dataset,100
Mali,2017-2018,localUnit_area,,,not present in dataset,100
Mali,2017-2018,crop_area_share,s11cq07,Pourcentage de la superficie occupée par la culture sur la parcelle,,0
Mali,2017-2018,planting_month,s11cq14b,Date de commencement du semis ou repiquage pour la culture-Mois,,0
Mali,2017-2018,harvest_month_begin,s7fq05b,Date de début de la récolte de la culture-Mois,,0.0641900024071251
Mali,2017-2018,harvest_month_end,s7fq12b,Date de fin de la recolte de la culture-Mois,,4.826285805985718
Mali,2017-2018,planting_year,,,calculated by considering the harvest month + year,100
Mali,2017-2018,harvest_year_begin,s7fq05c,Date de début de la récolte de la culture-Année,,0.0641900024071251
Mali,2017-2018,harvest_year_end,s7fq12c,Date de fin de la recolte de la culture-Année,,0.0641900024071251
Malawi,2013,GPS_level,,,,0
Malawi,2013,adm1,region,IHPS 2013 Region Location,,0
Malawi,2013,adm2,district,IHPS 2013 District Location,,0
Malawi,2013,adm3,,,,100
Malawi,2013,adm4,,,,100
Malawi,2013,crop,ag_g0b; ag_m0c; ag_p0c,CROP CODE; TREE/PERMANENT CROP CODE,"Crop names were harmonized for spelling. Crop names in Chichewa for which the English translation was known, were converted to their English name.",0
Malawi,2013,crop_area_share,ag_g03; ag_m03,"Approximately, how much of the [PLOT] is under [CROP]?","The percentage of plot area cultivated by a crop was assumed as: 12.5 % if indicated ""less than 1/4"", 25 % if indicated ""1/4"", 37.5 % if indicated ""less than 1/2"", 50 % if indicated ""1/2"", 62.5 % if indicated ""less than 3/4"", 75 % if indicated ""3/4"", 87.5 % if indicated ""more than 3/4"", 100 % if indicated as fully occupied by a single crop. For many plots, any indication on whether the crop was fully cultivated by a single crop is missing: Whenever a plot is not intercropped and not indicated as only partially being cropped, then we assume that the plot is fully under the target crop.",90.31585006115547
Malawi,2013,dataset_doi,,,"Of the Malawian panel dataset ""MWI_2010-2013_IHPS_v01_M"", which includes data for both the 2010 and 2013 survey waves, we exclusively considered data from the 2013 survey wave. Data for the 2010 survey wave was instead sourced separately from the cross-sectional dataset “MWI_2010_IHS-III_v01_M”. For the 2013 survey wave, no cross-sectional dataset is available.",0
Malawi,2013,dataset_name,,,,NA
Malawi,2013,fieldID,ag_c03_2; ag_o03_2,2012/2013 GARDEN ID OF THE GARDEN THAT THE PLOT IS A PART OF.; ENUMERATOR: RECORD THE 2012/13 GARDEN ID OF THE GARDEN THAT THE PLOT IS A PART O,,9.015037053025397
Malawi,2013,harvest_month_begin,ag_g12a; ag_m12a; ag_p06a,What were the months when the harvest started and ended? (START); What were the months when the harvest started and ended?; What was the last completed production period for the [TREE / PERMANENT CROP? (B,,12.08000575580977
Malawi,2013,harvest_month_end,ag_g12b; ag_m12b; ag_p06c,What were the months when the harvest started and ended? (END); What were the months when the harvest started and ended?; What was the last completed production period for the [TREE / PERMANENT CROP? (E,,11.979279084826247
Malawi,2013,harvest_year_begin,ag_p06b,What was the last completed production period for the [TREE / PERMANENT CROP? (B,"The IHS surveys collected data on the harvesting year exclusively for tree and perennial crops, but not for annual crops.",81.53824016116268
Malawi,2013,harvest_year_end,ag_p06d,What was the last completed production period for the [TREE / PERMANENT CROP? (E,"The IHS surveys collected data on the harvesting year exclusively for tree and perennial crops, but not for annual crops.",81.35837110583495
Malawi,2013,hhID,case_id,IHS3 Baseline case_id as in IHS3 Public Data,,0
Malawi,2013,lat,lat_dd_mod,GPS Latitude Modified,Geo-coordinates have been set to missing for reported values of 0N/0E or when one coordinate was reported as 0 and the other coordinate as missing.,0
Malawi,2013,localUnit_area,ag_c04b; ag_j05b; ag_o04b,What is the area of this [PLOT]? (UNIT),,3.1153320382761347
Malawi,2013,lon,lon_dd_mod,GPS Longitude Modified,Geo-coordinates have been set to missing for reported values of 0N/0E or when one coordinate was reported as 0 and the other coordinate as missing.,0
Malawi,2013,planting_month,ag_g05a; ag_m05a,When did you plant the seeds for the [CROP] on this [PLOT] during the 2012/2013 rainy season? (Month); When did you plant the seeds for the [CROP] on this [PLOT] during the 2013 dry (dimba) season? (Month),,19.670479890639612
Malawi,2013,planting_year,ag_g05b; ag_m05b; ag_p04,When did you plant the seeds for the [CROP] on this [PLOT] during the 2012/2013 rainy season? (YEAR 4-DIGIT); When did you plant the seeds for the [CROP] on this [PLOT] during the 2013 dry (dimba) season? (YEAR 4-DIGIT),,3.547017771062667
Malawi,2013,plotID,ag_c00; ag_g00; ag_j00; ag_m00; ag_o00; ag_p00,Plot ID,,0
Malawi,2013,plot_area_measured_ha,ag_c04c; ag_j05c; ag_o04c,What is the area of this [PLOT]? (GPS AREA IN ACRES); What is the area of this [PLOT]? (Area in Acres); What is the area of this [PLOT]? (Area in Acres),"For conversion of various area units to hectare, the following parameters have been used: 4046.9 (sqm in an acre), 2.471 (acres in a ha), 11959.9 (yards in a ha).",7.252320310813727
Malawi,2013,plot_area_reported_ha,ag_c04a; ag_j05a; ag_o04a,What is the area of this [PLOT]? (AREA),"For conversion of various area units to hectare, the following parameters have been used: 4046.9 (sqm in an acre), 2.471 (acres in a ha), 11959.9 (yards in a ha).",3.1153320382761347
Malawi,2013,plot_area_reported_localUnit,ag_c04a; ag_j05a; ag_o04a,What is the area of this [PLOT]? (AREA),,2.856320598604216
Malawi,2010,GPS_level,,,,0
Malawi,2010,adm1,,,,0
Malawi,2010,adm2,hh_a01,district,,0
Malawi,2010,adm3,,,,100
Malawi,2010,adm4,,,,100
Malawi,2010,crop,ag_g0d; ag_m0d; ag_p0d,CROP CODE; TREE/PERMANENT CROP CODE,"Crop names were harmonized for spelling. Crop names in Chichewa for which the English translation was known, were converted to their English name.",0
Malawi,2010,crop_area_share,ag_g03; ag_m03,"Approximately, how much of the [PLOT] is under [CROP]?; Approximately how much of the [PLOT] is under [CROP]?","The percentage of plot area cultivated by a crop was assumed as: 12.5 % if indicated ""less than 1/4"", 25 % if indicated ""1/4"", 37.5 % if indicated ""less than 1/2"", 50 % if indicated ""1/2"", 62.5 % if indicated ""less than 3/4"", 75 % if indicated ""3/4"", 87.5 % if indicated ""more than 3/4"", 100 % if indicated as fully occupied by a single crop. For many plots, any indication on whether the crop was fully cultivated by a single crop is missing: Whenever a plot is not intercropped and not indicated as only partially being cropped, then we assume that the plot is fully under the target crop.",93.0711188693057
Malawi,2010,dataset_doi,,,,0
Malawi,2010,dataset_name,,,,NA
Malawi,2010,fieldID,,,The 2010 survey wave of the IHS did not record any field-identifiers but exclusively used plot-identifiers.,100
Malawi,2010,harvest_month_begin,ag_g12a; ag_m12a; ag_p06a,What were the months when the harvest started and ended? (START); What was the last completed production period for[TREE/PERM CROP]?(START MONTH),,2.533926459823188
Malawi,2010,harvest_month_end,ag_g12b; ag_m12b; ag_p06c,What were the months when the harvest started and ended? (END); What was the last completed production period for[TREE/PERM CROP]?(END MONTH),,2.4832479306267246
Malawi,2010,harvest_year_begin,ag_p06b,What was the last completed production period for[TREE/PERM CROP]?(START YEAR),"The IHS surveys collected data on the harvesting year exclusively for tree and perennial crops, but not for annual crops.",84.11509657075285
Malawi,2010,harvest_year_end,ag_p06d,What was the last completed production period for[TREE/PERM CROP]?(END YEAR),"The IHS surveys collected data on the harvesting year exclusively for tree and perennial crops, but not for annual crops.",83.9884002477617
Malawi,2010,hhID,case_id,Unique HH Identifier,,0
Malawi,2010,lat,lat_modified,EA Latitude Modified,Geo-coordinates have been set to missing for reported values of 0N/0E or when one coordinate was reported as 0 and the other coordinate as missing.,0
Malawi,2010,localUnit_area,ag_c04b; ag_j05b; ag_p02b,What is the area of this [PLOT]? (Unit); What is the area of this [PLOT]? (FARMER ESTIMATION/UNIT); What is the area of the plantation?(UNIT),,13.99853595360099
Malawi,2010,lon,lon_modified,EA Longitude Modified,Geo-coordinates have been set to missing for reported values of 0N/0E or when one coordinate was reported as 0 and the other coordinate as missing.,0
Malawi,2010,planting_month,ag_g05a; ag_m05a,When did you plant the seeds for the [CROP] on this [PLOT]during the[RS]?(MONTH),,17.430598569739285
Malawi,2010,planting_year,ag_g05b; ag_m05b; ag_p04,When did you plant the seeds for the [CROP] on this [PLOT]during the[RS]?(YEAR); In what year were most of these plants/trees planted?,,6.196857931189819
Malawi,2010,plotID,ag_c00; ag_g0b; ag_j00; ag_m0b; ag_p0b,Plot ID,,0
Malawi,2010,plot_area_measured_ha,ag_c04c; ag_j05c,What is the area of this [PLOT]? (Area in Acres); What is the area of this [PLOT]? (GPS MEASURE/AREA IN ACRES),"For conversion of various area units to hectare, the following parameters have been used: 4046.9 (sqm in an acre), 2.471 (acres in a ha), 11959.9 (yards in a ha).",14.941719691424066
Malawi,2010,plot_area_reported_ha,ag_c04a; ag_j05a; ag_p02a,What is the area of this [PLOT]? (Area); What is the area of this [PLOT]? (FARMER ESTIMATION/AREA); What is the area of the plantation?(AREA),"For conversion of various area units to hectare, the following parameters have been used: 4046.9 (sqm in an acre), 2.471 (acres in a ha), 11959.9 (yards in a ha).",14.001351427445238
Malawi,2010,plot_area_reported_localUnit,ag_c04a; ag_j05a; ag_p02a,What is the area of this [PLOT]? (Area); What is the area of this [PLOT]? (FARMER ESTIMATION/AREA); What is the area of the plantation?(AREA),,13.860577735232841
Malawi,2016,GPS_level,,,,0
Malawi,2016,adm1,region,IHS4 2016 Region location,,0
Malawi,2016,adm2,district,IHS4 2016 District Location,,0
Malawi,2016,adm3,,,,100
Malawi,2016,adm4,,,,100
Malawi,2016,crop,crop_code_collapsed; crop_code; ag_p0_crops,"Collapsed CC maize,gn,tob,rice; Crop ID; FOR EACH PLOT, LIST ALL TREE/PERMANENT CROPS HARVESTED BY HH IN LAST 12MONTHS","Crop names were harmonized for spelling. Crop names in Chichewa for which the English translation was known, were converted to their English name.",0
Malawi,2016,crop_area_share,ag_g03; ag_m03,"Approximately, how much of the [PLOT] is under [CROP]?; Approximately, how much of the [PLOT] is under crop [CROP]?","The percentage of plot area cultivated by a crop was assumed as: 12.5 % if indicated ""less than 1/4"", 25 % if indicated ""1/4"", 37.5 % if indicated ""less than 1/2"", 50 % if indicated ""1/2"", 62.5 % if indicated ""less than 3/4"", 75 % if indicated ""3/4"", 87.5 % if indicated ""more than 3/4"", 100 % if indicated as fully occupied by a single crop. For many plots, any indication on whether the crop was fully cultivated by a single crop is missing: Whenever a plot is not intercropped and not indicated as only partially being cropped, then we assume that the plot is fully under the target crop.",37.53736564268905
Malawi,2016,dataset_doi,,,,0
Malawi,2016,dataset_name,,,,NA
Malawi,2016,fieldID,gardenid,Garden ID,,0.012720218787763152
Malawi,2016,harvest_month_begin,ag_g12a; ag_m12a; ag_p06a,What months did the harvest start?;  What were the months when the harvest started and ended? (START); What was the last completed production period for the tree/permanent crop,,2.3945811867964126
Malawi,2016,harvest_month_end,ag_g12b; ag_m12b; ag_p06c,What months did the harvest end?; What were the months when the harvest started and ended? (END);  END MONTH,,1.1098390892323349
Malawi,2016,harvest_year_begin,ag_p06b,BEGIN YEAR (4-DIGIT),"The IHS surveys collected data on the harvesting year exclusively for tree and perennial crops, but not for annual crops.",88.87298861540418
Malawi,2016,harvest_year_end,ag_p06d,END YEAR (4-DIGIT),"The IHS surveys collected data on the harvesting year exclusively for tree and perennial crops, but not for annual crops.",87.59778668193093
Malawi,2016,hhID,case_id,Unique Household Identifier,,0
Malawi,2016,lat,lat_modified,GPS Latitude Modified,Geo-coordinates have been set to missing for reported values of 0N/0E or when one coordinate was reported as 0 and the other coordinate as missing.,0.012720218787763152
Malawi,2016,localUnit_area,ag_c04b; ag_j05b; ag_o04b,Units of Area Reported; unit; unit,,2.645805507854735
Malawi,2016,lon,lon_modified,GPS Longitude Modified,Geo-coordinates have been set to missing for reported values of 0N/0E or when one coordinate was reported as 0 and the other coordinate as missing.,0.012720218787763152
Malawi,2016,planting_month,ag_g05a; ag_m05a,When did you plant the seeds for the [CROP] on this [PLOT]during the[RS]?(MONTH),,12.806080264580553
Malawi,2016,planting_year,ag_g05b; ag_m05b; ag_p04,When did you plant the seeds for the [CROP] on this [PLOT]during the[RS]?(YEAR);  YEAR (4 DIGIT); In what year were most of these plants/ trees planted?,,3.278636392545952
Malawi,2016,plotID,plotid,Plot ID,,0.054060929847993384
Malawi,2016,plot_area_measured_ha,ag_c04c; ag_j05c; ag_o04c,Area of Plot Measured with GPS; What is the area of this plot (%rostertitle%)? ENUMERATOR: MEASURE THE ARE; What is the area of this [PLOT]?  [GPS],"For conversion of various area units to hectare, the following parameters have been used: 4046.9 (sqm in an acre), 2.471 (acres in a ha), 11959.9 (yards in a ha).",11.852063855498313
Malawi,2016,plot_area_reported_ha,ag_c04a; ag_j05a; ag_o04a,Self Reported Area of Plot; What is the <u>area</u> of this plot (%rostertitle%)? ENUMERATOR: ASK THE;  What is the area of this [PLOT]?,"For conversion of various area units to hectare, the following parameters have been used: 4046.9 (sqm in an acre), 2.471 (acres in a ha), 11959.9 (yards in a ha).",2.7221268205813143
Malawi,2016,plot_area_reported_localUnit,ag_c04a; ag_j05a; ag_o04a,Self Reported Area of Plot; What is the <u>area</u> of this plot (%rostertitle%)? ENUMERATOR: ASK THE;  What is the area of this [PLOT]?,,2.5885645233098007
Malawi,2019,GPS_level,,,,0
Malawi,2019,adm1,region,IHS5 2019 Region location,,0
Malawi,2019,adm2,district,IHS5 2019 District Location,,0
Malawi,2019,adm3,,,,100
Malawi,2019,adm4,,,,100
Malawi,2019,crop,crop_code; ag_p0_crops,"Crop ID; FOR EACH PLOT, LIST ALL TREE/PERMANENT CROPS HARVESTED BY HH IN LAST 12MONTHS","Crop names were harmonized for spelling. Crop names in Chichewa for which the English translation was known, were converted to their English name.",0
Malawi,2019,crop_area_share,ag_g03; ag_m03,"Approximately, how much of the [PLOT] is under [CROP]?; Approximately how much of the [PLOT] is under [CROP]?","The percentage of plot area cultivated by a crop was assumed as: 12.5 % if indicated ""less than 1/4"", 25 % if indicated ""1/4"", 37.5 % if indicated ""less than 1/2"", 50 % if indicated ""1/2"", 62.5 % if indicated ""less than 3/4"", 75 % if indicated ""3/4"", 87.5 % if indicated ""more than 3/4"", 100 % if indicated as fully occupied by a single crop. For many plots, any indication on whether the crop was fully cultivated by a single crop is missing: Whenever a plot is not intercropped and not indicated as only partially being cropped, then we assume that the plot is fully under the target crop.",37.881116795521805
Malawi,2019,dataset_doi,,,,0
Malawi,2019,dataset_name,,,,NA
Malawi,2019,fieldID,gardenid,Garden ID,,0
Malawi,2019,harvest_month_begin,ag_g12a; ag_m12a; ag_p06a,What months did the harvest start?; What were the months when the harvest started and ended? (START); What was the last completed production period for the tree/permanent crop,,4.306132281080089
Malawi,2019,harvest_month_end,ag_g12b; ag_m12b; ag_p06c,What months did the harvest end?; What were the months when the harvest started and ended? (END); END MONTH,,3.191172084700268
