occ,y2_hhid,qx_type,interview_status,ag_q0b,ag_q0c,ag_q01,ag_q02a,ag_q02b,ag_q03,ag_q11,ag_q12a,ag_q12b,ag_q12_1a,ag_q12_1b,ag_q13,ag_q14a,ag_q14b,ag_q15a,ag_q15b,ag_q16,ag_q17,ag_q18,ag_q19,ag_q20,ag_q21a,ag_q21b,ag_q21_1a,ag_q21_1b,ag_q22,ag_q23a,ag_q23b,ag_q24a,ag_q24b,ag_q25,ag_q26,ag_q27,ag_q31a,ag_q31b,ag_q32a,ag_q32b,ag_q33a,ag_q33b,ag_q34a,ag_q34b,ag_q35a,ag_q35b,ag_q35c,ag_q36a,ag_q36b,ag_q37,ag_q38,ag_q39a,ag_q39b,ag_q40a,ag_q40b,ag_q41a,ag_q41b
1,0012-010,PANEL B,Panel B - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0013-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0014-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0015-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
2,0015-001,PANEL A,Panel A - 2 Visits,BANANA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,OTHER (SPECIFY),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0016-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0017-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0018-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0019-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0020-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0021-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0022-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0023-001,PANEL A,Panel A - 2 Visits,ORANGE,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50 KG BAG,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
2,0023-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,50 KG BAG,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0024-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0025-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0026-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0027-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0028-001,PANEL B,Panel B - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0028-001,PANEL B,Panel B - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0029-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0030-001,PANEL B,Panel B - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0031-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0032-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0033-001,PANEL A,Panel A - 2 Visits,CASSAVA,2,YES,1,50 KG BAG,3000,N02,1,50 KG BAG,1,,3000,1,2,AUGUST,2012,2,OWN BICYCLE OR OXCART,0,NO,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0034-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0035-001,PANEL A,Panel A - 2 Visits,CASSAVA,4,YES,2,OTHER (SPECIFY),2000,N01,2,OTHER (SPECIFY),2,4,2000,2,4,FEBRUARY,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,3,OTHER (SPECIFY),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0035-001,PANEL A,Panel A - 2 Visits,BANANA,4,YES,5,OTHER (SPECIFY),2500,N01,5,OTHER (SPECIFY),2,4,2500,2,4,JULY,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,4,OTHER (SPECIFY),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
3,0035-001,PANEL A,Panel A - 2 Visits,MANGO,4,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,OTHER (SPECIFY),0,,0,,0,,1,OTHER (SPECIFY),0,ROTTING,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0036-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0037-001,PANEL A,Panel A - 2 Visits,CASSAVA,1,YES,12,OTHER (SPECIFY),9600,N04,9,OTHER (SPECIFY),1,2,7200,1,,OCTOBER,2012,3,ON FOOT,0,YES,N05,3,OTHER (SPECIFY),1,,2400,1,,DECEMBER,2012,1,ON FOOT,0,0,,0,,0,,0,,0,,,,,YES,CHITANDALA IN HOUSE,5,OTHER (SPECIFY),DID NOTHING,,FOOD FOR THE HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0038-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0040-001,PANEL B,Panel B - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0041-001,PANEL A,Panel A - 2 Visits,CASSAVA,1,YES,6,PAIL (LARGE),2500,N04,14,PAIL (LARGE),1,2,1500,1,2,JUNE,2013,1,ON FOOT,0,YES,N02,2,PAIL (LARGE),1,2,1000,1,2,JUNE,2013,1,ON FOOT,0,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0042-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0043-001,PANEL A,Panel A - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0044-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0045-001,PANEL A,Panel A - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0045-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,1,PAIL (SMALL),,ROTTING,THEFT,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0046-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0047-001,PANEL A,Panel A - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,OTHER (SPECIFY),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
2,0047-001,PANEL A,Panel A - 2 Visits,BANANA,1,YES,8,OTHER (SPECIFY),2000,N03,8,OTHER (SPECIFY),1,2,2000,1,2,AUGUST,2012,4,ON FOOT,0,NO,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
3,0047-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,OTHER (SPECIFY),0,,0,,0,,10,OTHER (SPECIFY),,ROTTING,RODENTS/PESTS,NO,,,,,,DOES NOT USUALLY STORE,
1,0048-001,PANEL B,Panel B - 2 Visits,CASSAVA,1,YES,3,OTHER (SPECIFY),2400,N05,3,OTHER (SPECIFY),1,2,2400,1,2,JANUARY,2013,3,ON FOOT,0,NO,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0049-001,PANEL A,Panel A - 2 Visits,CASSAVA,1,YES,1,50 KG BAG,1000,N03,1,50 KG BAG,1,,1000,1,2,OCTOBER,2012,2,OWN BICYCLE OR OXCART,200,NO,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0050-001,PANEL B,Panel B - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,OTHER (SPECIFY),0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
2,0050-001,PANEL B,Panel B - 2 Visits,CASSAVA,1,YES,3,PAIL (LARGE),3600,N03,3,PAIL (LARGE),1,2,3600,1,2,MARCH,2013,2,ON FOOT,0,NO,,,,,,,,,,,,,,3,PAIL (LARGE),0,,0,,0,,0,,,,,YES,BAGS IN HOUSE,2,PAIL (LARGE),DID NOTHING,,FOOD FOR THE HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0051-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0052-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0053-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0054-001,PANEL B,Panel B - 2 Visits,CASSAVA,1,YES,10,OTHER (SPECIFY),7000,N06,7,OTHER (SPECIFY),1,2,4900,1,2,JULY,2013,2,BUYER PICKED UP THE CROP,0,YES,N07,3,OTHER (SPECIFY),1,2,2100,1,2,MARCH,2013,2,ON FOOT,0,4,OTHER (SPECIFY),0,,0,,0,,0,,,,,YES,BAGS IN HOUSE,2,OTHER (SPECIFY),DID NOTHING,,FOOD FOR THE HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0054-001,PANEL B,Panel B - 2 Visits,MANGO,1,YES,16,PAIL (LARGE),4000,N06,16,PAIL (LARGE),1,2,4000,1,2,JANUARY,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,43,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0055-001,PANEL A,Panel A - 2 Visits,CASSAVA,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50 KG BAG,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
2,0055-001,PANEL A,Panel A - 2 Visits,MANGO,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,50 KG BAG,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
3,0055-001,PANEL A,Panel A - 2 Visits,BANANA,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,OTHER (SPECIFY),0,,0,,0,,2,50 KG BAG,0,ROTTING,INSECTS,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0056-001,PANEL B,Panel B - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0057-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,50 KG BAG,0,,0,,0,,5,50 KG BAG,0,ROTTING,OTHER SPECIFY,NO,,,,,,FOOD FOR THE HOUSEHOLD,
2,0057-001,PANEL A,Panel A - 2 Visits,BANANA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,OTHER (SPECIFY),0,,0,,0,,2,OTHER (SPECIFY),0,ROTTING,INSECTS,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0058-001,PANEL B,Panel B - 2 Visits,CASSAVA,2,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50 KG BAG,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,DOES NOT USUALLY STORE
1,0059-001,PANEL A,Panel A - 2 Visits,MANGO,1,YES,45,PAIL (LARGE),10000,N03,45,PAIL (LARGE),1,,10000,1,,JANUARY,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,16,PAIL (LARGE),0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
2,0059-001,PANEL A,Panel A - 2 Visits,BANANA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,YES,BAGS IN HOUSE,1,50 KG BAG,DID NOTHING,,FOOD FOR THE HOUSEHOLD,
1,0060-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0061-001,PANEL A,Panel A - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (SMALL),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0061-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (SMALL),0,,0,,0,,1,PAIL (SMALL),,ROTTING,THEFT,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0062-002,PANEL B,Panel B - 2 Visits,BANANA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0062-002,PANEL B,Panel B - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0063-001,PANEL A,Panel A - 2 Visits,ORANGE,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (SMALL),0,,0,,0,,0,,,,,NO,,,,,,DOES NOT USUALLY STORE,
1,0064-001,PANEL B,Panel B - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0064-001,PANEL B,Panel B - 2 Visits,PAWPAW/PAPAYA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0065-001,PANEL A,Panel A - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
2,0065-001,PANEL A,Panel A - 2 Visits,BANANA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0066-001,PANEL B,Panel B - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0066-001,PANEL B,Panel B - 2 Visits,BANANA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,BUNCH,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0067-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0068-001,PANEL B,Panel B - 2 Visits,BANANA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0069-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0070-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0071-001,PANEL A,Panel A - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,1,PAIL (SMALL),0,OTHER SPECIFY,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0072-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0073-001,PANEL A,Panel A - 2 Visits,CASSAVA,1,YES,30,PAIL (LARGE),30000,N01,21,PAIL (LARGE),1,2,21000,1,2,JULY,2013,15,ON FOOT,0,YES,N02,9,PAIL (LARGE),1,2,9000,1,2,JUNE,2013,2,ON FOOT,0,13,PAIL (LARGE),0,,0,,0,,0,,,,,YES,BAGS IN HOUSE,3,PAIL (LARGE),DID NOTHING,,FOOD FOR THE HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0073-001,PANEL A,Panel A - 2 Visits,BANANA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0074-001,PANEL B,Panel B - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50 KG BAG,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,DOES NOT USUALLY STORE
1,0075-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0076-001,PANEL B,Panel B - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0076-001,PANEL B,Panel B - 2 Visits,BANANA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0077-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0078-001,PANEL B,Panel B - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,PAIL (LARGE),0,,0,,0,,0,,,,,YES,BAGS IN HOUSE,1,PAIL (LARGE),DID NOTHING,,FOOD FOR THE HOUSEHOLD,
2,0078-001,PANEL B,Panel B - 2 Visits,BANANA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,BUNCH,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0079-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0080-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0081-001,PANEL A,Panel A - 2 Visits,BANANA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
2,0081-001,PANEL A,Panel A - 2 Visits,MANGO,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,PAIL (LARGE),0,,0,,0,,10,PAIL (LARGE),0,ROTTING,,NO,,,,,,FOOD FOR THE HOUSEHOLD,
1,0082-001,PANEL B,Panel B - 2 Visits,CASSAVA,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,OTHER (SPECIFY),0,,0,,0,,0,,,,,NO,,,,,,FOOD FOR THE HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
