HHID,case_id,qx_type,visit,ea_id,ag_g0a,ag_g0b,ag_g0d,ag_g0d_os,ag_g01,ag_g02,ag_g03,ag_g04a,ag_g04b,ag_g04b_os,ag_g05a,ag_g05b,ag_g07,ag_g08a,ag_g08b,ag_g08b_os,ag_g08c,ag_g09a,ag_g09b,ag_g09b_os,ag_g09c,ag_g10,ag_g11a,ag_g11a_os,ag_g11b,ag_g11b_os,ag_g12a,ag_g12b,ag_g13a,ag_g13b,ag_g13b_os,ag_g13c
43,101010160254,Panel A,2,10101016,Yes,R2,SWEET POTATO,,Pure stand,,,90,Kilogram,,January,2010,No,3,50 kg Bag,,Not Applicable,0,,,,NO,,,,,May,July,11,PAIL (LARGE),,NOT APPLICABLE
43,101010160254,Panel A,2,10101016,Yes,R1,MAIZE HYBRID,,Pure stand,,,3,Kilogram,,December,2009,No,2,90 kg Bag,,S: Shelled,0,,,,NO,,,,,June,July,21,PAIL (LARGE),,S: SHELLED
39,101010160265,Panel A,2,10101016,Yes,R1,NKHWANI,,Mixed stand,Yes,,20,Kilogram,,December,2009,No,1,Ox-cart,,U: Unshelled,0,,,,YES,Rains,,,,,,0,,,
39,101010160265,Panel A,2,10101016,Yes,R1,MAIZE LOCAL,,Mixed stand,No,Less than 1/4,100,Gram,,December,2009,No,20,Piece,,Not Applicable,0,,,,YES,Rains,,,,June,June,10,BASKET (DENGU),,U: UNSHELLED
40,101012040003,Panel B,2,10101204,Yes,R1,MAIZE HYBRID RECYCLED,,Pure stand,,,1,2 kg bag,,November,2009,No,2,50 kg Bag,,S: Shelled,0,,,,NO,,,,,May,June,30,PAIL (LARGE),,S: SHELLED
40,101012040003,Panel B,2,10101204,Yes,R2,TOBACCO BURLEY,,Pure stand,,,1,10 kg bag,,January,2010,No,1,50 kg Bag,,U: Unshelled,0,,,,NO,,,,,March,April,70,KILOGRAM,,NOT APPLICABLE
62,101012040007,Panel B,2,10101204,Yes,R1,MAIZE HYBRID,,Pure stand,,,1,Gram,,December,2009,No,200,50 kg Bag,,Not Applicable,0,,,,YES,Rains,,,,May,May,13,PAIL (LARGE),,S: SHELLED
42,101012040011,Panel B,2,10101204,Yes,R2,TOBACCO BURLEY,,Pure stand,,,1,10 kg bag,,December,2009,No,2,90 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,March,April,150,KILOGRAM,,NOT APPLICABLE
42,101012040011,Panel B,2,10101204,Yes,R1,MAIZE HYBRID,,Pure stand,,,1,2 kg bag,,December,2009,No,1,90 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,July,July,33,PAIL (LARGE),,S: SHELLED
44,101012040020,Panel B,2,10101204,Yes,R1,MAIZE HYBRID RECYCLED,,Pure stand,,,1,Gram,,December,2009,No,220,Kilogram,,Not Applicable,0,,,,YES,Rains,,,,June,July,8,PAIL (LARGE),,S: SHELLED
44,101012040020,Panel B,2,10101204,Yes,R2,TOBACCO BURLEY,,Mixed stand,Yes,,9,Kilogram,,December,2009,No,2,90 kg Bag,,S: Shelled,1,50 kg Bag,,S: Shelled,NO,,,,,February,May,132,KILOGRAM,,NOT APPLICABLE
38,101012040024,Panel B,2,10101204,Yes,R2,MAIZE HYBRID,,Pure stand,,,2,Gram,,December,2009,No,1,Bale,,Not Applicable,10,Kilogram,,Not Applicable,NO,,,,,June,July,30,PAIL (LARGE),,S: SHELLED
38,101012040024,Panel B,2,10101204,Yes,R3,TOBACCO BURLEY,,Pure stand,,,15,Kilogram,,December,2009,No,10,90 kg Bag,,S: Shelled,0,,,,NO,,,,,February,April,150,KILOGRAM,,NOT APPLICABLE
38,101012040024,Panel B,2,10101204,Yes,R1,MAIZE LOCAL,,Mixed stand,Yes,,100,Gram,,December,2009,No,2,Basket (Dengu),,Not Applicable,20,Piece,,Not Applicable,NO,,,,,June,July,40,PAIL (LARGE),,S: SHELLED
52,101012040028,Panel B,2,10101204,Yes,R1,MAIZE HYBRID,,Mixed stand,Yes,,2,Gram,,December,2009,No,150,Kilogram,,Not Applicable,0,,,,NO,,,,,June,June,30,PAIL (LARGE),,S: SHELLED
52,101012040028,Panel B,2,10101204,Yes,R2,TOBACCO BURLEY,,Mixed stand,Yes,,50,Gram,,December,2009,No,3,Basket (Dengu),,Not Applicable,10,Piece,,Not Applicable,NO,,,,,March,April,350,KILOGRAM,,NOT APPLICABLE
52,101012040028,Panel B,2,10101204,Yes,R3,SOYABEAN,,Pure stand,,,5,Kilogram,,December,2009,No,3,Pail (large),,S: Shelled,0,,,,NO,,,,,June,June,1,PAIL (LARGE),,S: SHELLED
50,101012040037,Panel B,2,10101204,Yes,R1,MAIZE COMPOSITE/OPV,,Pure stand,,,10,Kilogram,,December,2009,No,5,90 kg Bag,,S: Shelled,0,,,,YES,Insects,,,,May,May,5,PAIL (LARGE),,S: SHELLED
50,101012040037,Panel B,2,10101204,Yes,R3,GROUNDNUT CG7,,Mixed stand,Yes,,100,Gram,,December,2009,No,11,Basket (Dengu),,Not Applicable,29,Piece,,Not Applicable,NO,,,,,July,August,50,PAIL (LARGE),,U: UNSHELLED
50,101012040037,Panel B,2,10101204,Yes,R5,SOYABEAN,,Mixed stand,Yes,,5,Kilogram,,November,2009,No,2,90 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,August,August,1,PAIL (SMALL),,S: SHELLED
50,101012040037,Panel B,2,10101204,Yes,R4,BEANS,,Pure stand,,,15,Kilogram,,January,2010,No,3,90 kg Bag,,U: Unshelled,0,,,,YES,Rains,,,,June,June,3,PAIL (LARGE),,S: SHELLED
50,101012040037,Panel B,2,10101204,Yes,R2,MAIZE HYBRID,,Mixed stand,Yes,,2,Gram,,December,2009,No,500,Kilogram,,Not Applicable,0,,,,YES,Rains,,,,July,July,40,PAIL (LARGE),,S: SHELLED
50,101012040037,Panel B,2,10101204,Yes,R5,TOBACCO BURLEY,,Pure stand,,,10,Kilogram,,December,2009,No,3,Pail (large),,S: Shelled,1,Pail (large),,S: Shelled,NO,,,,,February,April,275,KILOGRAM,,NOT APPLICABLE
54,101012040041,Panel B,2,10101204,Yes,R2,TOBACCO BURLEY,,Mixed stand,Yes,,1,Gram,,December,2009,No,50,Kilogram,,Not Applicable,0,,,,YES,Drought,,,,February,April,360,KILOGRAM,,NOT APPLICABLE
54,101012040041,Panel B,2,10101204,Yes,R1,MAIZE HYBRID,,Mixed stand,Yes,,1,Kilogram,,December,2009,No,2,90 kg Bag,,S: Shelled,0,,,,YES,Drought,,,,July,July,17,PAIL (LARGE),,S: SHELLED
54,101012040041,Panel B,2,10101204,Yes,R3,SOYABEAN,,Mixed stand,Yes,,50,Gram,,December,2009,No,2,Basket (Dengu),,Not Applicable,10,Piece,,Not Applicable,YES,Drought,,,,April,April,1,PAIL (LARGE),,S: SHELLED
54,101012040041,Panel B,2,10101204,Yes,R4,GROUNDNUT CG7,,Mixed stand,Yes,,15,Kilogram,,December,2009,No,3,90 kg Bag,,S: Shelled,0,,,,YES,Drought,,,,June,June,5,PAIL (LARGE),,U: UNSHELLED
48,101012040045,Panel B,2,10101204,Yes,R2,MAIZE HYBRID,,Pure stand,,,5,Kilogram,,January,2010,Yes,,,,,5,Pail (large),,U: Unshelled,YES,Drought,,,,June,June,2,50 KG BAG,,S: SHELLED
48,101012040045,Panel B,2,10101204,Yes,R1,MAIZE COMPOSITE/OPV,,Mixed stand,Yes,,100,Gram,,December,2009,No,8,Basket (Dengu),,Not Applicable,0,,,,YES,Drought,,,,June,June,7,50 KG BAG,,S: SHELLED
48,101012040045,Panel B,2,10101204,Yes,R4,TOBACCO BURLEY,,Mixed stand,Yes,,50,Gram,,November,2009,No,2,Basket (Dengu),,Not Applicable,10,Piece,,Not Applicable,YES,Drought,,,,April,May,250,KILOGRAM,,NOT APPLICABLE
48,101012040045,Panel B,2,10101204,Yes,R3,GROUNDNUT CG7,,Mixed stand,Yes,,8,Kilogram,,November,2009,No,8,50 kg Bag,,S: Shelled,1,Pail (large),,S: Shelled,YES,Drought,,,,May,May,2,PAIL (LARGE),,U: UNSHELLED
36,101012040054,Panel B,2,10101204,Yes,R1,MAIZE HYBRID,,Mixed stand,Yes,,20,Kilogram,,December,2009,No,15,50 kg Bag,,S: Shelled,0,,,,YES,Drought,,,,July,July,10,PAIL (LARGE),,S: SHELLED
36,101012040054,Panel B,2,10101204,Yes,R2,MAIZE HYBRID,,Mixed stand,No,1/4,4,Kilogram,,December,2009,No,3,Pail (large),,U: Unshelled,0,,,,YES,Drought,,,,July,July,30,PAIL (LARGE),,S: SHELLED
36,101012040054,Panel B,2,10101204,Yes,R3,TOBACCO BURLEY,,Mixed stand,No,1/2,10,Kilogram,,December,2009,Yes,,,,,1,Pail (large),,S: Shelled,YES,Drought,,,,February,May,360,KILOGRAM,,NOT APPLICABLE
56,101012040058,Panel B,2,10101204,Yes,R2,TOBACCO BURLEY,,Mixed stand,Yes,,20,Kilogram,,December,2009,No,10,50 kg Bag,,S: Shelled,2,Pail (large),,S: Shelled,YES,Rains,,,,March,May,142,KILOGRAM,,NOT APPLICABLE
56,101012040058,Panel B,2,10101204,Yes,R1,NKHWANI,,Mixed stand,No,3/4,5,Kilogram,,December,2009,Yes,,,,,1,Pail (small),,S: Shelled,YES,Rains,,,,,,0,,,
56,101012040058,Panel B,2,10101204,Yes,R1,MAIZE HYBRID,,Mixed stand,Yes,,10,Kilogram,,December,2009,No,2,50 kg Bag,,S: Shelled,2,Pail (large),,S: Shelled,YES,Rains,,,,July,July,36,PAIL (LARGE),,S: SHELLED
64,101012040062,Panel B,2,10101204,Yes,R2,NKHWANI,,Mixed stand,No,Less than 1/4,10,Kilogram,,December,2009,No,2,Pail (large),,S: Shelled,0,,,,YES,Rains,,,,,,0,,,
64,101012040062,Panel B,2,10101204,Yes,R1,MAIZE HYBRID,,Mixed stand,No,3/4,15,Kilogram,,December,2009,Yes,,,,,2,Pail (large),,S: Shelled,YES,Rains,,,,June,July,7,90 KG BAG,,S: SHELLED
64,101012040062,Panel B,2,10101204,Yes,R3,GROUNDNUT CHALIMBANA,,Pure stand,,,7,Kilogram,,November,2009,No,1,Ox-cart,,U: Unshelled,0,,,,YES,Rains,,,,July,July,1,90 KG BAG,,U: UNSHELLED
64,101012040062,Panel B,2,10101204,Yes,R2,TOBACCO BURLEY,,Pure stand,,,5,Kilogram,,December,2009,No,5,50 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,March,May,150,KILOGRAM,,NOT APPLICABLE
34,101012040071,Panel B,2,10101204,Yes,R2,NKHWANI,,Pure stand,,,20,Kilogram,,December,2009,No,9,Ox-cart,,U: Unshelled,0,,,,YES,Drought,,,,April,April,1,BASKET (DENGU),,NOT APPLICABLE
34,101012040071,Panel B,2,10101204,Yes,R2,TOBACCO BURLEY,,Pure stand,,,10,Kilogram,,December,2009,Yes,,,,,5,Pail (large),,S: Shelled,YES,Drought,,,,March,April,200,KILOGRAM,,NOT APPLICABLE
34,101012040071,Panel B,2,10101204,Yes,R1,MAIZE HYBRID,,Pure stand,,,2,Kilogram,,November,2009,No,1,Pail (large),,S: Shelled,0,,,,YES,Drought,,,,June,July,80,PAIL (LARGE),,S: SHELLED
34,101012040071,Panel B,2,10101204,Yes,R3,GROUNDNUT CHALIMBANA,,Pure stand,,,30,Kilogram,,December,2009,Yes,,,,,4,90 kg Bag,,U: Unshelled,YES,Drought,,,,June,June,20,PAIL (LARGE),,U: UNSHELLED
58,101012040075,Panel B,2,10101204,Yes,R3,TOBACCO BURLEY,,Pure stand,,,1,5 kg bag,,November,2009,No,1,90 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,March,April,15,KILOGRAM,,NOT APPLICABLE
58,101012040075,Panel B,2,10101204,Yes,R2,MAIZE HYBRID,,Pure stand,,,2,Kilogram,,December,2009,Yes,,,,,2,Pail (large),,S: Shelled,YES,Rains,,,,June,June,11,PAIL (LARGE),,S: SHELLED
58,101012040075,Panel B,2,10101204,Yes,R1,MAIZE HYBRID RECYCLED,,Pure stand,,,11,Kilogram,,December,2009,No,4,90 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,June,June,4,PAIL (LARGE),,S: SHELLED
58,101012040075,Panel B,2,10101204,Yes,R3,NKHWANI,,Pure stand,,,1,5 kg bag,,November,2009,No,4,90 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,,,0,,,
58,101012040075,Panel B,2,10101204,Yes,R2,BEANS,,Pure stand,,,2,Kilogram,,December,2009,No,2,50 kg Bag,,U: Unshelled,0,,,,YES,Rains,,,,May,June,1,PAIL (LARGE),,S: SHELLED
46,101012040079,Panel B,2,10101204,Yes,R1,NKHWANI,,Pure stand,,,1,2 kg bag,,November,2009,No,2,Pail (large),,S: Shelled,0,,,,NO,,,,,April,May,2,BASKET (DENGU),,NOT APPLICABLE
46,101012040079,Panel B,2,10101204,Yes,R1,MAIZE HYBRID,,Pure stand,,,1,2 kg bag,,November,2009,Yes,,,,,1,Pail (large),,S: Shelled,YES,Rains,,,,June,June,12,PAIL (LARGE),,S: SHELLED
46,101012040079,Panel B,2,10101204,Yes,R2,GROUNDNUT CHALIMBANA,,Mixed stand,Yes,,1,5 kg bag,,December,2009,No,4,90 kg Bag,,S: Shelled,6,Pail (large),,S: Shelled,NO,,,,,April,April,5,PAIL (LARGE),,U: UNSHELLED
60,101012040087,Panel B,2,10101204,Yes,R1,NKHWANI,,Pure stand,,,1,2 kg bag,,January,2010,Yes,,,,,1,Pail (large),,S: Shelled,NO,,,,,,,0,,,
60,101012040087,Panel B,2,10101204,Yes,R1,MAIZE LOCAL,,Mixed stand,Yes,,8,Kilogram,,December,2009,Yes,,,,,1,Pail (large),,S: Shelled,NO,,,,,June,July,7,50 KG BAG,,S: SHELLED
21,101012150001,Panel A,2,10101215,Yes,R2,MAIZE LOCAL,,Mixed stand,Yes,,2,Kilogram,,December,2009,No,3,Pail (large),,S: Shelled,4,Pail (large),,S: Shelled,YES,Rains,,,,May,June,5,PAIL (LARGE),,S: SHELLED
21,101012150001,Panel A,2,10101215,Yes,R1,MAIZE LOCAL,,Pure stand,,,5,Kilogram,,December,2009,No,4,50 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,May,May,12,PAIL (LARGE),,S: SHELLED
21,101012150001,Panel A,2,10101215,Yes,R2,SUNFLOWER,,Mixed stand,Yes,,5,Kilogram,,December,2009,No,2,50 kg Bag,,S: Shelled,1,50 kg Bag,,S: Shelled,YES,Rains,,,,May,May,5,PAIL (LARGE),,S: SHELLED
21,101012150001,Panel A,2,10101215,Yes,R3,MAIZE HYBRID,,Pure stand,,,5,Kilogram,,January,2010,No,1,50 kg Bag,,S: Shelled,0,,,,YES,Rains,,,,May,May,1,PAIL (LARGE),,S: SHELLED
21,101012150001,Panel A,2,10101215,Yes,R2,GROUNDNUT CHALIMBANA,,Mixed stand,No,1/2,10,Kilogram,,December,2009,No,2,Pail (large),,U: Unshelled,1,Pail (large),,U: Unshelled,YES,Rains,,,,May,May,1,PAIL (SMALL),,U: UNSHELLED
17,101012150004,Panel A,2,10101215,Yes,R2,MAIZE LOCAL,,Mixed stand,Yes,,11,Kilogram,,December,2009,No,3,Ox-cart,,U: Unshelled,2,50 kg Bag,,S: Shelled,YES,Rains,,,,May,June,2,OX - CART,,U: UNSHELLED
17,101012150004,Panel A,2,10101215,Yes,R1,SUNFLOWER,,Mixed stand,Yes,,2,Kilogram,,December,2009,No,2,Pail (large),,S: Shelled,2,Pail (large),,S: Shelled,NO,,,,,May,June,2.5,PAIL (LARGE),,S: SHELLED
17,101012150004,Panel A,2,10101215,Yes,R1,PEA,,Mixed stand,Yes,,250,Gram,,December,2009,No,3,Pail (large),,S: Shelled,0,,,,NO,,,,,May,May,2,PAIL (LARGE),,S: SHELLED
17,101012150004,Panel A,2,10101215,Yes,R1,MAIZE LOCAL,,Mixed stand,Yes,,10,Kilogram,,December,2009,No,2,Ox-cart,,U: Unshelled,0,,,,YES,Rains,,,,May,June,1.5,OX - CART,,U: UNSHELLED
17,101012150004,Panel A,2,10101215,Yes,R2,SUNFLOWER,,Mixed stand,Yes,,250,Gram,,December,2009,Yes,,,,,3,Pail (large),,S: Shelled,NO,,,,,April,May,3,PAIL (LARGE),,S: SHELLED
