occ,y2_hhid,qx_type,interview_status,fs_a_start,fs_a_end,fs_b_start,fs_b_end,fs_b_start_day,fs_b_start_month,fs_b_start_hour,fs_b_start_minute,fs_b_end_hour,fs_b_end_minute,fs_c_start,fs_c_end,fs_c_start_day,fs_c_start_month,fs_c_start_hour,fs_c_start_minute,fs_c_end_hour,fs_c_end_minute,fs_d_start,fs_d_end,fs_d_start_day,fs_d_start_month,fs_d_start_hour,fs_d_start_minute,fs_d_end_hour,fs_d_end_minute,fs_e_start,fs_e_end,fs_e_start_day,fs_e_start_month,fs_e_start_hour,fs_e_start_minute,fs_e_end_hour,fs_e_end_minute,fs_f_start,fs_f_end,fs_f_start_day,fs_f_start_month,fs_f_start_hour,fs_f_start_minute,fs_f_end_hour,fs_f_end_minute,fs_g_start,fs_g_end,fs_g_start_day,fs_g_start_month,fs_g_start_hour,fs_g_start_minute,fs_g_end_hour,fs_g_end_minute,fs_h_start,fs_h_end,fs_h_start_day,fs_h_start_month,fs_h_start_hour,fs_h_start_minute,fs_h_end_hour,fs_h_end_minute,fs_i_start,fs_i_end,fs_i_start_day,fs_i_start_month,fs_i_start_hour,fs_i_start_minute,fs_i_end_hour,fs_i_end_minute,fs_j_start,fs_j_end,fs_j_start_day,fs_j_start_month,fs_j_start_hour,fs_j_start_minute,fs_j_end_hour,fs_j_end_minute
1,0508-001,PANEL B,Panel B - 2 Visits,,,10/09/13 19:15:27,10/09/13 19:16:28,20,8,11,51,11,54,10/09/13 19:16:28,10/09/13 19:16:54,20,AUGUST,11,54,11,57,10/09/13 19:16:54,10/09/13 19:18:43,20,AUGUST,11,57,12,9,10/09/13 19:18:43,10/09/13 19:22:08,20,AUGUST,12,9,12,12,10/09/13 19:22:08,10/09/13 19:23:13,20,AUGUST,12,13,12,14,10/09/13 19:23:13,10/09/13 19:23:32,20,AUGUST,12,14,12,19,10/09/13 19:23:32,10/09/13 19:25:20,20,AUGUST,12,19,12,24,10/09/13 19:25:20,10/09/13 19:26:03,20,AUGUST,12,24,12,28,10/09/13 19:26:03,10/09/13 19:26:11,20,AUGUST,12,29,12,30
1,0782-001,PANEL B,Panel B - 2 Visits,,,27/10/13 18:14:57,27/10/13 18:16:11,12,10,11,55,12,0,27/10/13 18:16:11,27/10/13 18:16:43,12,OCTOBER,12,1,12,3,27/10/13 18:16:43,27/10/13 18:19:09,12,OCTOBER,12,4,12,7,27/10/13 18:19:09,27/10/13 18:19:43,12,OCTOBER,12,8,12,10,27/10/13 18:19:43,27/10/13 18:25:23,12,OCTOBER,12,11,12,30,27/10/13 18:25:23,27/10/13 18:26:00,12,OCTOBER,12,31,12,35,27/10/13 18:26:00,27/10/13 18:26:57,12,OCTOBER,12,36,12,40,27/10/13 18:26:58,27/10/13 18:27:20,12,OCTOBER,12,41,12,44,27/10/13 18:27:21,27/10/13 18:30:14,12,OCTOBER,12,44,12,50
1,1069-003,PANEL A,Panel A - 2 Visits,,01/08/13 14:06:31,01/08/13 14:06:31,01/08/13 14:07:30,16,7,16,22,16,24,01/08/13 14:07:30,01/08/13 14:08:35,16,JULY,16,24,16,29,01/08/13 14:08:35,01/08/13 14:10:46,16,JULY,16,29,16,38,01/08/13 14:10:46,01/08/13 14:14:24,16,JULY,16,38,16,51,01/08/13 14:14:24,01/08/13 14:15:01,16,JULY,16,51,16,52,01/08/13 14:15:01,01/08/13 14:15:31,16,JULY,16,52,16,56,01/08/13 14:15:31,01/08/13 14:16:36,16,JULY,16,56,17,2,01/08/13 14:16:36,01/08/13 14:18:34,16,JULY,17,2,17,7,01/08/13 14:18:34,01/08/13 14:18:53,16,JULY,17,7,17,7
1,1134-001,PANEL B,Panel B - 2 Visits,,,27/09/13 19:16:28,27/09/13 19:16:56,25,9,11,17,11,18,27/09/13 19:16:56,27/09/13 19:17:45,25,SEPTEMBER,11,18,11,20,27/09/13 19:17:45,27/09/13 19:18:25,25,SEPTEMBER,11,20,11,23,27/09/13 19:18:25,27/09/13 19:18:47,25,SEPTEMBER,11,23,11,24,27/09/13 19:18:47,27/09/13 19:19:00,25,SEPTEMBER,11,24,11,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1218-002,PANEL B,Panel B - 2 Visits,,,17/09/13 21:42:27,17/09/13 21:43:10,15,9,11,40,11,45,17/09/13 21:43:10,17/09/13 21:44:08,15,SEPTEMBER,11,45,11,48,17/09/13 21:44:08,17/09/13 21:45:41,15,SEPTEMBER,11,48,11,51,17/09/13 21:45:41,17/09/13 21:46:09,15,SEPTEMBER,11,51,11,55,17/09/13 21:46:09,17/09/13 21:47:19,15,SEPTEMBER,11,55,11,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1325-001,PANEL A,Panel A - 2 Visits,,27/04/13 05:10:17,27/04/13 05:10:17,27/04/13 05:11:16,22,4,13,27,13,29,27/04/13 05:11:16,27/04/13 05:12:14,22,APRIL,13,30,13,33,27/04/13 05:12:14,27/04/13 05:13:40,22,APRIL,13,34,13,36,27/04/13 05:13:40,27/04/13 05:14:09,22,APRIL,13,37,13,39,27/04/13 05:14:09,27/04/13 05:18:32,22,APRIL,13,40,13,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1659-005,PANEL A,Panel A - Combined Visit,,13/09/13 10:43:38,13/09/13 10:43:38,13/09/13 10:44:16,4,9,15,25,15,27,13/09/13 10:44:16,13/09/13 10:44:36,4,SEPTEMBER,15,27,15,29,13/09/13 10:44:36,13/09/13 10:46:13,4,SEPTEMBER,15,29,15,32,13/09/13 10:46:13,13/09/13 10:46:41,4,SEPTEMBER,15,32,15,35,13/09/13 10:46:41,13/09/13 10:48:13,4,SEPTEMBER,15,35,15,38,13/09/13 10:48:13,13/09/13 10:48:30,4,SEPTEMBER,15,38,15,40,13/09/13 10:48:30,13/09/13 10:49:02,4,SEPTEMBER,15,40,15,44,13/09/13 10:49:02,13/09/13 10:49:33,4,SEPTEMBER,15,44,15,48,13/09/13 10:49:33,13/09/13 10:51:10,4,SEPTEMBER,15,48,15,50
1,1740-001,PANEL B,Panel B - 2 Visits,,,28/10/13 05:05:07,28/10/13 05:06:42,19,10,8,0,8,10,28/10/13 05:06:42,28/10/13 03:31:13,19,OCTOBER,8,11,8,17,28/10/13 03:31:13,28/10/13 03:31:59,19,OCTOBER,8,17,8,22,28/10/13 03:32:00,28/10/13 03:32:23,19,OCTOBER,8,23,8,28,28/10/13 03:32:23,28/10/13 03:33:34,19,OCTOBER,8,28,8,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1804-001,PANEL B,Panel B - 2 Visits,,,18/11/13 11:57:18,18/11/13 11:57:57,2,11,10,9,10,10,18/11/13 11:57:57,18/11/13 11:59:03,2,NOVEMBER,10,11,10,20,18/11/13 11:59:03,18/11/13 12:04:52,2,NOVEMBER,10,20,10,40,18/11/13 12:04:52,18/11/13 12:07:49,2,NOVEMBER,10,40,10,50,18/11/13 12:07:50,18/11/13 12:08:04,2,NOVEMBER,10,50,10,52,18/11/13 12:09:03,18/11/13 12:10:01,2,NOVEMBER,10,52,10,58,18/11/13 12:10:01,18/11/13 12:12:54,2,NOVEMBER,10,58,11,5,18/11/13 12:12:54,18/11/13 12:14:58,2,NOVEMBER,11,5,11,12,18/11/13 12:14:58,18/11/13 12:15:15,2,NOVEMBER,11,12,,
1,1879-001,PANEL A,Panel A - 2 Visits,,21/07/13 07:49:00,21/07/13 07:49:00,21/07/13 07:50:05,9,7,8,12,8,12,21/07/13 07:50:05,21/07/13 07:50:34,9,JULY,8,13,8,15,21/07/13 07:50:34,21/07/13 07:52:00,9,JULY,8,15,8,17,21/07/13 07:52:00,21/07/13 07:52:55,9,JULY,8,17,8,19,21/07/13 07:52:55,21/07/13 07:54:12,9,JULY,8,19,8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1921-001,PANEL A,Panel A - 2 Visits,,11/05/13 05:31:20,11/05/13 05:31:20,11/05/13 05:31:54,30,4,7,12,7,14,11/05/13 05:31:54,11/05/13 05:36:14,30,APRIL,7,14,7,16,11/05/13 05:36:14,11/05/13 05:42:50,30,APRIL,7,16,7,33,11/05/13 05:42:50,11/05/13 05:49:32,30,APRIL,7,33,7,46,11/05/13 05:49:32,11/05/13 05:50:42,30,APRIL,7,47,7,47,11/05/13 05:50:42,11/05/13 05:52:02,30,APRIL,7,47,7,49,11/05/13 05:52:02,11/05/13 05:54:54,30,APRIL,7,49,7,57,11/05/13 05:54:54,11/05/13 05:58:08,30,APRIL,7,57,8,2,11/05/13 05:58:08,11/05/13 05:58:50,30,APRIL,8,3,8,3
1,1935-001,PANEL A,Panel A - 2 Visits,,,,29/11/13 01:09:31,12,9,13,58,14,0,,29/11/13 01:09:55,14,SEPTEMBER,14,1,14,8,,29/11/13 01:12:21,12,SEPTEMBER,14,8,14,24,,29/11/13 01:13:37,12,SEPTEMBER,14,25,14,42,,29/11/13 01:13:56,12,SEPTEMBER,14,42,14,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1945-001,PANEL A,Panel A - 2 Visits,,11/05/13 03:52:27,11/05/13 03:52:27,11/05/13 03:53:13,29,4,16,9,16,12,11/05/13 03:53:13,11/05/13 03:53:43,29,APRIL,16,12,16,14,11/05/13 03:53:43,11/05/13 03:55:48,29,APRIL,16,14,16,19,11/05/13 03:55:48,11/05/13 03:57:29,29,APRIL,16,21,16,30,11/05/13 03:57:29,11/05/13 03:57:53,29,APRIL,16,30,16,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1949-001,PANEL A,Panel A - 2 Visits,,13/11/13 16:26:49,13/11/13 16:26:49,13/11/13 16:27:51,22,7,12,5,12,9,13/11/13 16:27:51,13/11/13 16:28:20,22,JULY,12,9,12,13,13/11/13 16:28:20,13/11/13 16:29:35,22,JULY,12,13,12,32,13/11/13 16:29:35,13/11/13 16:31:41,22,JULY,12,32,12,33,13/11/13 16:31:42,13/11/13 16:31:59,22,JULY,12,33,12,35,13/11/13 16:31:59,13/11/13 16:32:27,22,JULY,12,35,12,36,13/11/13 16:32:27,13/11/13 16:33:37,22,JULY,12,37,12,42,13/11/13 16:33:37,13/11/13 16:35:19,22,JULY,12,42,13,12,13/11/13 16:35:19,13/11/13 16:35:50,22,JULY,13,13,13,14
1,1951-001,PANEL A,Panel A - 2 Visits,,11/05/13 14:20:28,11/05/13 14:20:28,11/05/13 14:21:10,1,5,9,44,9,45,11/05/13 14:21:10,11/05/13 14:21:54,1,MAY,9,46,9,48,11/05/13 14:21:54,11/05/13 14:24:02,1,MAY,9,49,9,56,11/05/13 14:24:02,11/05/13 14:28:31,1,MAY,9,57,10,6,11/05/13 14:28:31,11/05/13 14:28:55,1,MAY,10,7,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1951-002,PANEL A,Panel A - 2 Visits,,11/05/13 11:57:51,11/05/13 11:57:51,11/05/13 11:58:56,30,4,10,26,10,27,11/05/13 11:58:56,11/05/13 11:59:26,30,APRIL,10,23,10,29,11/05/13 11:59:26,11/05/13 12:00:13,30,APRIL,10,29,10,30,11/05/13 12:00:13,11/05/13 12:00:35,30,APRIL,10,30,10,31,11/05/13 12:00:35,11/05/13 12:01:02,30,APRIL,10,31,10,32,11/05/13 12:01:02,11/05/13 12:01:48,30,APRIL,10,32,10,33,11/05/13 12:01:48,11/05/13 12:02:27,30,APRIL,10,33,10,34,11/05/13 12:02:27,11/05/13 12:02:56,30,APRIL,10,34,10,35,11/05/13 12:02:56,11/05/13 12:05:02,30,APRIL,10,36,10,50
1,2053-001,PANEL A,Panel A - 2 Visits,,29/04/13 21:40:00,29/04/13 21:40:00,29/04/13 21:41:06,20,4,15,53,15,55,29/04/13 21:41:06,29/04/13 21:41:50,20,APRIL,15,55,15,57,29/04/13 21:41:50,29/04/13 21:43:14,20,APRIL,15,57,16,1,29/04/13 21:43:14,29/04/13 21:48:11,20,APRIL,16,2,16,14,29/04/13 21:48:11,29/04/13 21:48:50,20,APRIL,16,14,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2073-001,PANEL A,Panel A - 2 Visits,,26/04/13 19:39:15,26/04/13 19:39:15,26/04/13 19:40:30,21,4,10,32,10,34,26/04/13 19:40:30,26/04/13 19:40:51,21,APRIL,10,33,10,33,26/04/13 19:40:51,26/04/13 19:43:44,21,APRIL,10,33,10,34,26/04/13 19:43:44,26/04/13 19:44:57,21,APRIL,10,34,10,34,26/04/13 19:44:57,26/04/13 19:45:31,21,APRIL,10,34,10,34,26/04/13 19:45:31,26/04/13 19:46:13,21,APRIL,10,35,10,39,26/04/13 19:46:13,26/04/13 19:49:42,21,APRIL,10,39,10,53,26/04/13 19:49:42,26/04/13 19:58:45,21,APRIL,10,53,10,56,26/04/13 19:58:45,26/04/13 19:59:21,20,APRIL,10,56,10,57
1,2103-001,PANEL A,Panel A - 2 Visits,,01/08/13 11:45:22,01/08/13 11:45:22,01/08/13 11:46:05,23,7,16,8,16,8,01/08/13 11:46:05,01/08/13 11:47:00,23,JULY,16,8,16,11,01/08/13 11:47:00,01/08/13 11:49:03,,,,,,,01/08/13 11:49:03,01/08/13 11:50:27,,,,,,,01/08/13 11:50:27,01/08/13 11:52:52,23,JULY,16,11,16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
