occ,y2_hhid,qx_type,interview_status,fs_b01a,fs_b01b,fs_b01c,fs_b01d,fs_b01e,fs_b01f,fs_b01g,fs_b01h,fs_b01i,fs_b01j,fs_b01k,fs_b01l,fs_b02
1,2202-002,PANEL B,Panel B - Combined Visit,H,H,H,H,H,H,H,H,H,H,H,H,3
1,2231-004,PANEL A,Panel A - 2 Visits,N,N,H,H,L,L,L,H,H,H,H,H,1
1,2403-001,PANEL A,Panel A - 2 Visits,N,N,L,L,N,N,L,H,H,H,N,N,1
1,2433-001,PANEL A,Panel A - 2 Visits,H,H,H,H,L,L,L,H,H,H,H,H,1
1,2563-001,PANEL A,Panel A - 2 Visits,L,L,L,L,N,N,N,H,N,N,H,H,1
1,2569-001,PANEL A,Panel A - 2 Visits,H,L,L,L,L,L,H,H,H,H,H,H,1
1,2598-001,PANEL B,Panel B - 2 Visits,H,H,H,H,L,L,L,L,L,H,H,H,1
1,2603-001,PANEL A,Panel A - 2 Visits,N,L,L,L,L,N,N,H,H,H,N,N,1
1,2656-001,PANEL B,Panel B - 2 Visits,L,L,L,L,L,L,L,H,H,H,H,H,1
1,2703-001,PANEL A,Panel A - 2 Visits,L,L,L,L,L,L,H,H,H,H,H,H,1
1,2777-001,PANEL A,Panel A - 2 Visits,L,L,L,L,L,N,N,H,H,H,H,H,1
1,2788-003,PANEL B,Panel B - 2 Visits,L,L,L,L,L,L,L,H,H,H,H,H,1
1,2812-003,PANEL B,Panel B - Combined Visit,N,N,N,N,N,N,N,N,N,N,,,2
1,2835-001,PANEL A,Panel A - 2 Visits,N,N,L,L,N,N,H,H,H,H,H,H,1
1,2984-001,PANEL B,Panel B - 2 Visits,H,H,H,H,H,H,H,H,H,H,H,H,2
1,3036-001,PANEL B,Panel B - 2 Visits,H,H,H,H,H,H,H,H,H,H,H,H,2
1,3074-002,PANEL B,Panel B - 2 Visits,H,L,L,L,L,L,H,L,L,L,L,L,1
1,3143-001,PANEL A,Panel A - 2 Visits,H,H,H,H,H,H,H,N,N,H,H,H,2
1,3155-001,PANEL A,Panel A - 2 Visits,H,H,H,H,H,H,H,H,H,H,H,H,2
