ea_id,com_cb_start_day,com_cb_start_month,com_cb_start_hour,com_cb_start_minute,com_cb_end_hour,com_cb_end_minute,com_cc_start_day,com_cc_start_month,com_cc_start_hour,com_cc_start_minute,com_cc_end_hour,com_cc_end_minute,com_ce_start_day,com_ce_start_month,com_ce_start_hour,com_ce_start_minute,com_ce_end_hour,com_ce_end_minus,com_cf_start_day,com_cf_start_month,com_cf_start_hour,com_cf_start_minute,com_cf_end_hour,com_cf_end_minute,com_cg_start_day,com_cg_start_month,com_cg_start_hour,com_cg_start_minute,com_cg_end_hour,com_cg_end_minute,com_ch_start_day,com_ch_start_month,com_ch_start_hour,com_ch_start_minute,com_ch_end_hour,com_ch_end_minute,com_ci_start_day,com_ci_start_month,com_ci_start_hour,com_ci_start_minute,com_ci_end_hour,com_ci_end_minute,com_cj_start_day,com_cj_start_month,com_cj_start_hour,com_cj_start_minute,com_cj_end_hour,com_cj_end_minute
10301663,29,AUGUST,10,20,10,35,29,AUGUST,10,38,10,58,29,AUGUST,11,28,11,38,29,AUGUST,11,42,11,58,29,AUGUST,12,0,12,15,29,AUGUST,12,19,12,38,29,AUGUST,12,40,12,50,29,AUGUST,12,54,13,18
10302010,1,OCTOBER,9,30,9,45,1,OCTOBER,9,49,10,10,1,OCTOBER,10,32,10,42,1,OCTOBER,10,44,10,50,1,OCTOBER,10,52,11,7,1,OCTOBER,11,10,11,32,1,OCTOBER,11,34,11,48,1,OCTOBER,11,50,12,12
10304012,26,APRIL,13,0,13,50,26,APRIL,17,0,14,36,26,APRIL,15,33,15,47,26,APRIL,15,52,16,23,23,APRIL,16,30,17,3,26,APRIL,17,7,17,40,26,APRIL,17,42,18,1,26,APRIL,18,5,18,40
10305446,22,AUGUST,10,10,10,20,22,AUGUST,10,22,10,30,22,AUGUST,10,52,11,0,22,AUGUST,11,4,11,11,22,AUGUST,11,15,11,22,22,AUGUST,11,24,11,33,22,AUGUST,11,36,11,45,22,AUGUST,11,48,11,58
10307413,24,SEPTEMBER,1,20,1,30,24,SEPTEMBER,1,33,1,48,24,SEPTEMBER,2,22,2,32,24,SEPTEMBER,2,36,2,49,24,SEPTEMBER,2,50,3,8,24,SEPTEMBER,3,10,3,35,24,SEPTEMBER,3,37,3,42,24,SEPTEMBER,3,43,3,58
10308636,19,SEPTEMBER,10,5,10,20,19,SEPTEMBER,10,22,10,40,19,SEPTEMBER,11,13,11,30,19,SEPTEMBER,11,32,11,48,19,SEPTEMBER,11,49,12,5,19,SEPTEMBER,12,7,12,44,19,SEPTEMBER,12,45,12,55,19,SEPTEMBER,12,57,13,15
10401140,11,SEPTEMBER,10,23,10,33,11,SEPTEMBER,10,33,10,40,11,SEPTEMBER,10,59,11,17,11,SEPTEMBER,11,17,11,32,11,SEPTEMBER,11,32,11,48,11,SEPTEMBER,11,48,12,1,11,SEPTEMBER,12,1,12,8,11,SEPTEMBER,12,8,12,25
10401502,2,MAY,11,40,11,50,2,MAY,11,50,13,2,2,MAY,12,21,12,32,2,MAY,12,32,12,37,2,MAY,12,37,2,42,2,APRIL,12,42,12,57,2,MAY,12,12,12,57,2,MAY,13,8,13,25
10401522,20,OCTOBER,7,58,8,17,20,OCTOBER,8,17,8,26,20,OCTOBER,8,39,8,46,20,OCTOBER,8,46,9,10,20,OCTOBER,9,10,9,17,20,OCTOBER,9,17,9,34,20,OCTOBER,9,34,9,44,20,OCTOBER,9,44,10,3
10404186,2,OCTOBER,10,54,11,9,2,OCTOBER,11,11,11,16,2,OCTOBER,11,29,11,36,2,OCTOBER,11,36,11,41,2,OCTOBER,11,41,11,45,2,OCTOBER,11,46,11,54,2,OCTOBER,11,54,11,56,2,OCTOBER,11,55,12,2
10405213,17,JULY,9,30,9,45,17,JULY,9,45,10,4,17,JULY,10,32,10,50,17,JULY,10,50,11,8,17,JULY,11,8,11,24,17,JULY,11,24,11,40,17,JULY,11,40,12,0,17,JULY,12,0,12,17
10501505,24,AUGUST,8,26,8,38,24,AUGUST,8,28,9,0,24,MAY,9,15,9,22,24,AUGUST,9,22,9,36,24,AUGUST,9,36,9,48,24,SEPTEMBER,9,48,9,59,24,AUGUST,9,59,10,6,24,MAY,10,6,10,34
10501709,22,MAY,8,42,8,54,22,MAY,8,54,9,5,22,MAY,9,16,9,28,22,MAY,9,28,9,45,22,MAY,9,45,9,58,22,MAY,9,58,10,15,22,MAY,10,15,10,20,22,MAY,10,20,10,31
10502268,27,JUNE,1,17,11,24,27,JUNE,11,24,11,34,27,JUNE,11,45,11,49,27,JUNE,11,50,12,0,27,JUNE,12,0,12,10,27,JUNE,12,11,12,20,27,JUNE,12,20,12,32,27,JUNE,12,32,12,40
10502593,2,OCTOBER,12,45,13,3,2,OCTOBER,13,3,13,18,2,OCTOBER,13,34,13,40,2,OCTOBER,13,40,14,0,2,OCTOBER,14,0,14,15,2,OCTOBER,14,15,14,28,2,OCTOBER,14,28,14,37,2,OCTOBER,14,37,14,57
10503367,20,APRIL,8,45,8,59,20,APRIL,9,1,9,12,20,APRIL,9,22,9,29,20,APRIL,9,30,9,37,20,APRIL,9,38,9,52,20,APRIL,9,52,10,11,20,APRIL,10,12,10,17,20,APRIL,10,18,10,26
10505136,5,JUNE,9,30,9,59,5,JUNE,9,59,10,35,5,JUNE,11,2,11,12,5,JUNE,11,12,11,25,5,JUNE,11,25,11,34,5,JUNE,11,34,11,47,5,JUNE,11,47,11,59,5,JUNE,11,59,12,17
10505310,21,AUGUST,9,2,9,15,21,AUGUST,9,2,9,20,21,AUGUST,9,38,9,46,21,AUGUST,9,46,10,8,21,AUGUST,10,8,10,18,21,AUGUST,10,18,10,31,21,AUGUST,10,31,10,34,21,AUGUST,10,34,10,50
10505508,16,SEPTEMBER,8,16,8,34,16,SEPTEMBER,8,34,8,57,16,SEPTEMBER,9,20,9,28,1,APRIL,6,2,9,42,16,SEPTEMBER,9,42,10,11,16,SEPTEMBER,10,11,10,46,16,SEPTEMBER,10,46,10,55,16,SEPTEMBER,10,55,11,14
10507175,8,OCTOBER,13,32,14,0,8,OCTOBER,14,0,14,25,8,OCTOBER,14,47,14,58,8,OCTOBER,14,58,15,18,8,OCTOBER,15,18,15,27,8,OCTOBER,15,27,15,35,8,OCTOBER,15,35,15,44,8,OCTOBER,15,44,16,0
10507344,5,JULY,9,20,9,32,5,JULY,9,32,9,54,5,JULY,10,19,10,34,5,JULY,10,34,10,50,5,JULY,10,50,11,0,5,JULY,11,0,11,25,5,JULY,11,25,11,31,5,JULY,11,31,11,46
10509319,30,APRIL,8,21,8,34,30,APRIL,8,34,8,49,30,APRIL,9,7,9,15,30,APRIL,9,15,9,34,30,APRIL,9,34,9,39,30,APRIL,9,39,9,45,30,APRIL,9,45,9,47,30,APRIL,9,47,10,8
10510388,22,AUGUST,9,12,9,37,22,AUGUST,9,15,9,37,22,AUGUST,10,15,10,28,22,AUGUST,10,28,10,41,22,AUGUST,10,41,11,1,22,AUGUST,11,1,11,10,22,AUGUST,11,10,11,15,22,AUGUST,11,15,11,30
10732192,27,MAY,13,58,14,10,27,MAY,14,10,14,22,27,MAY,14,41,14,46,27,APRIL,14,47,14,52,27,APRIL,14,53,14,57,27,APRIL,14,57,15,10,27,APRIL,15,10,15,15,27,MAY,15,15,15,32
10733640,26,OCTOBER,9,2,9,12,26,OCTOBER,9,20,9,39,26,OCTOBER,10,15,10,18,26,OCTOBER,10,26,10,47,26,OCTOBER,10,48,10,55,26,OCTOBER,10,57,11,0,26,OCTOBER,11,2,11,14,26,OCTOBER,11,15,11,20
10734370,10,OCTOBER,14,10,14,20,10,OCTOBER,14,23,14,50,10,OCTOBER,15,34,15,49,10,OCTOBER,15,50,16,8,10,OCTOBER,16,10,16,20,10,OCTOBER,16,22,16,34,10,OCTOBER,16,36,16,44,10,OCTOBER,16,44,16,59
10734762,20,JULY,8,24,8,36,20,JULY,8,36,9,0,20,JULY,9,21,9,33,20,JULY,9,33,9,34,20,JULY,9,34,9,37,20,JULY,9,34,9,38,20,JULY,9,38,10,3,20,JULY,10,23,10,17
10735173,25,OCTOBER,8,20,8,35,25,OCTOBER,8,38,9,10,25,OCTOBER,9,36,9,48,25,OCTOBER,9,49,10,0,25,OCTOBER,10,2,10,18,25,OCTOBER,10,20,10,30,25,OCTOBER,10,32,10,38,25,OCTOBER,10,39,10,58
10736596,15,AUGUST,14,10,14,18,15,AUGUST,14,20,14,30,15,AUGUST,15,0,15,8,15,AUGUST,15,10,15,18,15,AUGUST,15,20,15,34,15,AUGUST,15,36,15,57,15,AUGUST,15,59,16,2,15,AUGUST,16,9,16,19
10741504,23,OCTOBER,8,20,8,45,23,OCTOBER,8,47,9,15,23,OCTOBER,9,38,9,48,23,OCTOBER,9,50,10,1,23,OCTOBER,10,3,10,15,23,OCTOBER,10,17,10,47,23,OCTOBER,10,48,10,56,23,OCTOBER,10,57,11,15
10744649,14,OCTOBER,9,30,9,45,14,OCTOBER,9,47,10,5,14,OCTOBER,10,32,10,40,14,OCTOBER,10,43,11,3,14,OCTOBER,11,5,11,15,14,OCTOBER,10,17,10,50,14,OCTOBER,10,52,11,8,14,OCTOBER,11,9,11,32
10746033,4,MAY,10,30,10,55,4,MAY,11,0,11,40,4,MAY,13,0,13,26,4,MAY,13,32,13,32,4,MAY,13,41,14,12,4,MAY,14,25,15,32,4,MAY,15,40,15,55,4,MAY,16,0,16,45
10746244,24,OCTOBER,9,22,9,39,24,OCTOBER,9,40,10,11,24,OCTOBER,10,33,10,49,24,OCTOBER,10,50,11,2,24,OCTOBER,11,4,11,18,24,OCTOBER,11,20,11,40,24,OCTOBER,11,41,11,49,24,OCTOBER,11,50,12,5
20106042,18,SEPTEMBER,10,45,11,11,18,SEPTEMBER,11,12,11,19,18,SEPTEMBER,11,40,11,46,18,SEPTEMBER,11,47,12,6,18,SEPTEMBER,12,7,12,15,18,SEPTEMBER,12,18,12,47,18,SEPTEMBER,12,48,13,0,18,SEPTEMBER,13,1,13,22
20110620,15,JUNE,9,42,10,1,15,JUNE,10,1,10,21,15,JUNE,10,42,10,47,15,JUNE,10,48,11,5,15,JUNE,11,8,11,16,15,JUNE,11,16,11,33,15,JUNE,11,33,11,40,15,JUNE,11,41,12,5
20111718,13,SEPTEMBER,10,54,11,10,13,SEPTEMBER,11,11,11,23,13,SEPTEMBER,11,34,11,37,13,SEPTEMBER,11,38,11,51,13,SEPTEMBER,11,54,12,16,13,SEPTEMBER,12,17,12,49,13,SEPTEMBER,12,50,13,8,13,SEPTEMBER,13,9,13,31
20112661,16,JULY,12,57,13,1,16,JULY,13,1,13,23,16,JULY,13,42,13,43,16,JULY,13,43,14,2,16,JULY,14,2,14,12,16,JULY,14,12,14,20,16,JULY,15,20,14,21,16,JULY,14,21,14,32
20113112,25,APRIL,14,1,14,20,25,APRIL,14,20,14,40,25,APRIL,15,2,15,8,25,APRIL,15,8,15,23,25,APRIL,15,24,15,35,25,APRIL,15,35,16,13,25,APRIL,16,14,16,41,25,APRIL,16,42,17,25
20115434,21,AUGUST,9,19,9,36,21,AUGUST,9,39,9,46,21,AUGUST,10,1,10,9,21,AUGUST,10,10,10,29,21,AUGUST,10,31,10,37,21,AUGUST,10,38,10,51,21,AUGUST,10,52,11,0,21,AUGUST,11,33,11,32
20205207,12,OCTOBER,8,25,8,45,12,OCTOBER,8,46,8,56,12,OCTOBER,9,29,9,38,12,OCTOBER,9,39,9,55,12,OCTOBER,9,56,10,11,12,OCTOBER,10,12,10,32,12,OCTOBER,10,33,10,40,12,OCTOBER,10,41,10,57
20206362,22,APRIL,14,21,14,46,22,APRIL,14,46,15,4,22,APRIL,15,34,15,37,22,APRIL,15,37,15,59,22,APRIL,16,0,16,11,22,MAY,16,12,16,26,22,MAY,16,26,16,46,22,APRIL,16,46,12,25
20302539,24,MAY,13,20,13,31,24,MAY,13,31,13,40,24,MAY,13,56,14,3,24,MAY,14,4,14,23,24,MAY,14,24,14,21,24,MAY,14,21,14,48,24,MAY,14,48,14,48,24,MAY,14,54,15,8
20303065,26,JUNE,9,50,10,6,26,JUNE,10,6,10,17,26,JUNE,10,37,10,43,26,JUNE,10,43,11,4,26,JUNE,11,4,11,18,26,JUNE,11,18,11,41,26,JUNE,11,41,11,55,26,JUNE,11,56,12,19
20305301,28,AUGUST,9,10,9,31,28,AUGUST,9,32,9,44,28,AUGUST,10,1,10,7,28,AUGUST,10,8,10,21,28,AUGUST,10,22,10,34,28,AUGUST,10,38,11,0,28,AUGUST,11,1,11,10,28,AUGUST,11,11,11,32
20306557,24,AUGUST,8,14,8,44,24,AUGUST,8,45,8,57,24,AUGUST,9,23,9,24,24,AUGUST,9,24,9,39,24,AUGUST,9,40,9,54,24,AUGUST,9,56,10,18,24,AUGUST,10,19,10,33,24,AUGUST,10,34,10,58
20402198,28,SEPTEMBER,10,0,10,22,28,SEPTEMBER,10,23,10,35,28,SEPTEMBER,10,56,11,7,28,SEPTEMBER,11,9,11,18,28,SEPTEMBER,11,19,11,31,28,SEPTEMBER,11,33,11,57,28,SEPTEMBER,11,59,12,8,28,SEPTEMBER,12,15,12,30
20404032,30,MAY,9,33,9,50,30,MAY,9,50,10,7,30,MAY,10,28,10,38,30,MAY,10,38,10,48,30,MAY,10,48,11,7,30,MAY,11,8,11,30,30,MAY,11,30,13,38,30,MAY,11,38,11,45
20404575,10,SEPTEMBER,10,10,10,53,10,SEPTEMBER,10,54,11,9,10,SEPTEMBER,11,31,11,36,10,SEPTEMBER,11,37,11,58,10,SEPTEMBER,11,59,12,14,10,SEPTEMBER,12,16,12,44,10,SEPTEMBER,12,45,12,55,10,SEPTEMBER,12,57,13,21
20405366,18,JULY,9,24,9,34,18,JULY,9,34,9,48,18,JULY,10,8,10,16,18,JULY,10,17,10,28,18,JULY,10,28,10,37,18,JULY,10,37,11,5,18,JULY,11,6,11,13,18,JULY,11,14,11,30
20407398,13,AUGUST,11,10,11,47,13,AUGUST,11,48,12,2,13,AUGUST,12,14,12,24,13,AUGUST,12,25,12,34,13,AUGUST,12,36,12,45,13,AUGUST,12,46,13,38,13,AUGUST,13,39,13,48,13,AUGUST,14,22,14,48
20407481,3,MAY,10,0,10,18,3,MAY,10,18,10,33,3,MAY,10,54,11,10,3,MAY,11,11,11,17,3,MAY,11,17,11,29,3,MAY,11,29,12,9,3,MAY,12,10,13,57,3,MAY,12,57,13,38
20507089,2,SEPTEMBER,8,47,9,8,2,SEPTEMBER,9,9,9,18,2,SEPTEMBER,9,39,9,44,2,SEPTEMBER,9,45,10,3,2,SEPTEMBER,10,5,10,26,2,SEPTEMBER,10,29,10,47,2,SEPTEMBER,10,48,10,56,2,SEPTEMBER,10,57,11,23
20507459,4,JULY,10,2,10,14,4,JULY,10,14,10,24,4,JULY,10,46,10,52,4,JULY,10,52,11,12,4,JULY,11,13,11,30,4,JULY,11,30,11,45,4,JULY,11,46,11,54,4,JULY,11,55,12,16
20508349,7,MAY,10,33,10,17,7,MAY,10,17,10,17,7,MAY,10,40,10,44,7,MAY,10,45,10,57,7,MAY,10,52,10,59,7,MAY,10,59,11,4,7,MAY,11,6,11,11,7,MAY,11,11,11,37
20601141,23,MAY,10,30,10,50,23,MAY,10,50,11,53,,,11,15,11,24,,,11,24,11,35,,,11,35,11,46,,,11,45,11,50,23,MAY,,,11,50,,,11,55,12,6
20601626,3,SEPTEMBER,9,13,9,19,3,SEPTEMBER,9,19,9,40,3,SEPTEMBER,9,5,10,5,3,SEPTEMBER,10,5,10,25,3,SEPTEMBER,10,25,10,33,3,SEPTEMBER,10,33,10,53,3,SEPTEMBER,10,54,10,54,3,SEPTEMBER,10,55,11,3
20602363,23,SEPTEMBER,13,35,13,39,23,SEPTEMBER,13,40,13,54,23,SEPTEMBER,14,11,14,15,23,SEPTEMBER,14,15,14,32,23,SEPTEMBER,14,32,14,38,23,SEPTEMBER,14,38,15,5,23,SEPTEMBER,15,5,15,10,23,SEPTEMBER,15,10,15,20
20603090,20,AUGUST,10,7,10,15,20,AUGUST,10,15,10,29,20,AUGUST,10,44,10,49,20,AUGUST,10,49,11,3,20,AUGUST,11,4,11,11,20,AUGUST,11,14,11,34,20,AUGUST,11,34,11,38,20,AUGUST,11,38,11,51
20603533,14,JUNE,8,3,8,7,14,JUNE,8,7,2,23,14,JUNE,8,37,8,41,14,JUNE,8,41,8,47,14,JUNE,8,47,8,55,14,JUNE,8,56,8,59,14,JUNE,8,59,8,57,14,JUNE,8,59,8,59
20604638,10,NOVEMBER,10,25,10,32,10,NOVEMBER,10,32,10,46,11,OCTOBER,10,57,11,3,11,OCTOBER,11,4,11,8,11,OCTOBER,11,8,11,11,11,OCTOBER,11,11,11,22,11,OCTOBER,11,23,11,23,11,OCTOBER,11,24,11,31
20605302,27,JUNE,8,55,8,59,27,JUNE,9,0,9,0,27,JUNE,9,29,9,31,27,JUNE,9,31,9,37,27,JUNE,9,43,9,43,27,JUNE,9,43,9,45,27,JUNE,9,45,9,46,27,JUNE,9,46,9,53
20607260,6,SEPTEMBER,9,6,9,31,6,SEPTEMBER,9,31,9,52,6,SEPTEMBER,10,7,10,11,6,SEPTEMBER,10,11,10,26,6,SEPTEMBER,10,26,10,34,6,SEPTEMBER,10,35,10,43,6,SEPTEMBER,10,43,10,47,6,SEPTEMBER,10,47,10,3
20607315,3,MAY,8,0,8,19,3,MAY,8,20,8,20,3,MAY,8,40,8,54,3,MAY,8,55,8,59,3,MAY,9,0,9,23,3,MAY,9,24,9,29,3,MAY,9,30,9,30,3,MAY,9,35,9,40
20610050,25,JUNE,8,50,9,2,25,JUNE,9,2,9,22,26,JUNE,9,43,9,44,26,JUNE,9,44,9,57,25,JUNE,9,57,10,5,25,JUNE,10,6,10,17,25,JUNE,10,17,10,22,25,JUNE,10,28,10,44
20610249,17,SEPTEMBER,9,39,9,44,17,SEPTEMBER,9,44,9,55,17,SEPTEMBER,10,11,10,15,17,SEPTEMBER,10,15,10,31,17,SEPTEMBER,10,31,10,39,17,SEPTEMBER,10,41,10,55,17,SEPTEMBER,10,55,10,59,17,SEPTEMBER,10,59,11,17
20613324,26,JUNE,8,45,8,49,26,JUNE,8,49,8,49,26,JUNE,9,10,9,12,26,JUNE,9,12,9,18,26,JUNE,9,18,9,26,26,JUNE,9,26,9,30,26,JUNE,9,30,9,30,26,JUNE,9,30,9,37
20614477,15,OCTOBER,8,17,8,21,15,OCTOBER,8,22,8,32,15,OCTOBER,8,43,8,46,15,OCTOBER,8,46,8,52,15,OCTOBER,8,52,8,58,15,OCTOBER,8,59,9,10,15,OCTOBER,9,11,9,11,15,OCTOBER,9,12,9,20
20615064,21,APRIL,6,45,7,8,21,APRIL,7,10,7,30,21,APRIL,7,50,8,26,21,APRIL,8,29,8,38,21,APRIL,8,38,8,48,21,APRIL,8,45,8,59,21,APRIL,8,59,9,0,21,APRIL,9,0,9,17
20615735,14,AUGUST,10,45,10,55,14,AUGUST,10,56,11,8,14,AUGUST,11,24,11,29,14,AUGUST,11,29,11,39,14,AUGUST,11,39,11,43,14,AUGUST,11,44,11,54,14,AUGUST,11,54,11,56,14,AUGUST,11,59,12,3
20702471,10,OCTOBER,9,29,9,34,10,OCTOBER,9,34,9,48,10,OCTOBER,10,14,10,20,10,OCTOBER,10,20,10,32,10,OCTOBER,10,32,10,38,10,OCTOBER,10,38,10,55,10,OCTOBER,10,55,10,59,10,OCTOBER,10,59,11,10
20704738,1,JUNE,6,34,6,42,1,JUNE,6,43,6,43,1,JUNE,7,8,7,16,1,JUNE,7,16,7,20,1,JUNE,7,21,7,30,1,JUNE,7,30,7,34,1,JUNE,7,34,7,34,1,JUNE,7,36,7,44
20705372,23,JULY,6,50,7,3,23,JULY,7,3,7,3,23,JULY,7,26,7,30,23,JULY,7,30,2,36,23,JULY,7,35,7,44,23,JULY,7,44,7,49,23,JULY,7,49,7,50,23,JULY,7,57,7,57
20706163,29,MAY,12,45,12,50,1,MAY,12,50,12,51,1,JUNE,1,13,13,20,1,JUNE,13,20,13,21,1,MAY,13,21,13,32,1,MAY,13,32,13,39,1,MAY,13,39,13,39,1,MAY,13,44,13,52
20801046,7,OCTOBER,11,31,11,45,7,OCTOBER,11,45,11,56,7,OCTOBER,12,19,12,22,7,OCTOBER,12,23,12,32,7,OCTOBER,12,32,12,40,7,OCTOBER,12,40,13,0,7,OCTOBER,13,0,13,3,7,OCTOBER,13,3,13,30
20802019,24,OCTOBER,9,0,9,12,21,OCTOBER,9,13,9,25,24,OCTOBER,9,46,9,50,24,OCTOBER,9,50,10,5,24,OCTOBER,10,5,10,15,24,OCTOBER,10,15,10,29,24,OCTOBER,10,29,10,34,24,OCTOBER,10,34,10,47
20803156,23,AUGUST,10,0,10,25,23,AUGUST,10,26,10,41,23,AUGUST,10,54,10,59,23,AUGUST,11,0,11,14,23,AUGUST,11,15,11,24,23,AUGUST,11,24,11,36,23,AUGUST,11,36,11,39,23,AUGUST,11,39,11,50
20804405,31,MAY,14,50,15,1,31,MAY,3,3,15,12,31,MAY,15,27,15,35,31,MAY,15,38,15,54,31,MAY,15,55,16,9,31,MAY,16,10,16,21,31,MAY,16,22,16,30,31,MAY,16,31,17,6
20804768,13,SEPTEMBER,10,0,10,10,13,SEPTEMBER,10,45,11,10,13,SEPTEMBER,11,10,11,15,13,SEPTEMBER,11,15,11,30,13,SEPTEMBER,11,30,11,35,13,SEPTEMBER,11,36,11,50,13,SEPTEMBER,11,50,11,57,13,SEPTEMBER,11,57,12,22
20806131,21,JULY,13,30,13,45,21,JULY,13,46,14,0,21,JULY,14,30,14,35,21,JULY,14,36,14,51,21,JULY,14,52,14,59,21,JULY,15,0,15,12,21,JULY,15,12,15,18,21,JULY,15,19,15,29
20807727,1,MAY,10,40,10,57,1,MAY,10,57,11,10,1,MAY,11,35,11,46,1,MAY,11,46,12,2,1,MAY,12,2,12,6,1,MAY,12,6,12,13,1,MAY,12,13,12,15,1,MAY,12,17,12,17
20808421,27,AUGUST,10,12,10,19,27,AUGUST,10,19,10,39,27,AUGUST,10,50,10,54,27,AUGUST,10,54,11,0,27,AUGUST,11,0,11,9,27,SEPTEMBER,11,9,11,29,27,AUGUST,11,29,11,35,27,AUGUST,11,35,11,55
20903583,17,OCTOBER,9,30,9,36,17,OCTOBER,9,36,9,41,17,OCTOBER,9,59,10,6,17,OCTOBER,10,6,10,15,17,OCTOBER,10,15,10,18,17,OCTOBER,10,18,10,34,17,OCTOBER,10,34,10,39,17,OCTOBER,10,40,11,10
20906524,14,JUNE,14,28,14,36,14,JUNE,14,38,14,51,14,JUNE,15,3,15,11,14,JUNE,15,13,15,20,14,JUNE,15,21,15,26,14,JUNE,15,28,15,22,14,JUNE,15,56,16,0,14,SEPTEMBER,16,2,16,25
