HHID,case_id,qx_type,visit,ea_id,ag_r00,ag_r0a,ag_r0a_os,ag_r01,ag_r02,ag_r03,ag_r04,ag_r05a,ag_r05b,ag_r06a,ag_r06b,ag_r07,ag_r08,ag_r09,ag_r10,ag_r11,ag_r12a,ag_r12b,ag_r13,ag_r14,ag_r15,ag_r16,ag_r17,ag_r18a,ag_r18b,ag_r19,ag_r22,ag_r23a,ag_r23b,ag_r23c,ag_r23d,ag_r24,ag_r25a,ag_r25b,ag_r26a,ag_r26b,ag_r26c
57,101010160074,Panel A,1,10101016,Yes,Chicken-broiler,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Yes,Duck,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Yes,Bull/ox,,Yes,3,0,30000,1,2,1,5,3,,0,0,,,,0,0,0,0,,,,0,No,,,,,0,,,,,
57,101010160074,Panel A,1,10101016,Yes,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Yes,Pig,,Yes,2,0,8000,2,3,2,1,1,0,0,1,2000,N04,,0,0,0,0,,,,0,No,,,,,0,,,,,
57,101010160074,Panel A,1,10101016,Yes,Goat,,Yes,5,0,3500,1,2,5,6,6,3,0,0,,,,0,2,0,2,5000,N03,,0,No,,,,,0,,,,,
57,101010160074,Panel A,1,10101016,Yes,Cow,,Yes,1,0,35000,1,2,1,5,1,,0,0,,,,0,0,0,0,,,,0,No,,,,,0,,,,,
57,101010160074,Panel A,1,10101016,Yes,Calf,,Yes,3,0,15000,1,2,1,5,1,2,0,0,,,,0,0,0,0,,,,0,No,,,,,0,,,,,
57,101010160074,Panel A,1,10101016,Yes,Beehive,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Yes,Donkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Yes,Steer/heifer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Yes,Sheep,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Yes,Chicken-layer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Yes,Local-hen,,Yes,20,,800,1,2,1,2,8,16,2,0,,,,0,3,1,0,,,,2,Yes,Mange,1,,,0,,,,,
57,101010160074,Panel A,1,10101016,Yes,Guinea fowl,,Yes,6,,300,1,2,1,2,3,3,0,0,,,,0,0,0,0,,,,0,No,,,,,0,,,,,
57,101010160074,Panel A,1,10101016,Yes,Turkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Yes,Local-cock,,Yes,6,,1300,1,2,1,2,4,6,0,0,,,,0,0,0,0,,,,4,No,,,,,0,,,,,
55,101010160086,Panel A,1,10101016,Yes,Donkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Yes,Local-cock,,Yes,3,,400,1,2,2,,3,2,0,0,,,,0,0,0,0,,,,2,Yes,Mange,0,,,0,,,,,
55,101010160086,Panel A,1,10101016,Yes,Local-hen,,Yes,12,,300,1,2,2,,9,8,0,0,,,,0,0,2,0,,,,3,Yes,Mange,0,,,0,,,,,
55,101010160086,Panel A,1,10101016,Yes,Pig,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Yes,Sheep,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Yes,Calf,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Yes,Bull/ox,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Yes,Cow,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Yes,Duck,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Yes,Chicken-broiler,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Yes,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Yes,Goat,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Yes,Turkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Yes,Guinea fowl,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Yes,Beehive,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Yes,Mule/horse,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Yes,Steer/heifer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Yes,Chicken-layer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Local-cock,,Yes,4,,800,1,2,1,2,3,2,0,0,,,,0,0,0,0,,,,1,No,,,,,0,,,,,
47,101010160096,Panel A,1,10101016,Yes,Mule/horse,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Goat,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Turkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Local-hen,,Yes,8,,500,1,2,1,2,4,4,0,0,,,,0,0,0,0,,,,0,No,,,,,0,,,,,
47,101010160096,Panel A,1,10101016,Yes,Steer/heifer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Bull/ox,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Guinea fowl,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Chicken-layer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Beehive,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Cow,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Calf,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Chicken-broiler,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Pig,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Sheep,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Duck,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,Donkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Steer/heifer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Sheep,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Chicken-layer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Mule/horse,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Pig,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Bull/ox,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Duck,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Local-cock,,Yes,1,,400,1,,2,,1,1,0,0,,,,0,0,0,0,,,,0,Yes,Mange,1,,,0,,,,,
63,101010160143,Panel A,1,10101016,Yes,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Calf,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Guinea fowl,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Local-hen,,Yes,3,,400,1,,2,,3,2,0,0,,,,0,0,0,0,,,,0,Yes,Mange,2,,,0,,,,,
63,101010160143,Panel A,1,10101016,Yes,Chicken-broiler,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Beehive,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Goat,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Cow,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Turkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,Donkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,Chicken-broiler,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,Calf,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,Mule/horse,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,Guinea fowl,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,Duck,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,Steer/heifer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,Goat,,Yes,2,0,5000,1,,1,2,1,0,0,1,2000,N01,,0,0,0,0,,,,0,No,,,,,0,,,,,
59,101010160159,Panel A,1,10101016,Yes,Turkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,Bull/ox,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,Local-cock,,Yes,1,,1000,1,,1,2,2,0,0,0,,,,0,0,0,0,,,,0,No,,,,,0,,,,,
59,101010160159,Panel A,1,10101016,Yes,Chicken-layer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,Sheep,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,Cow,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,Donkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,Pig,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,Local-hen,,Yes,5,,500,1,,1,2,5,0,0,0,,,,0,0,0,0,,,,0,No,,,,,0,,,,,
59,101010160159,Panel A,1,10101016,Yes,Beehive,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Local-cock,,Yes,2,,1000,1,,2,,2,1,0,0,,,,0,0,0,1,700,N04,,0,No,,,,,0,,,,,
33,101010160180,Panel A,1,10101016,Yes,Local-hen,,Yes,8,,800,1,,2,,8,7,0,0,,,,0,0,0,4,1500,N04,,3,Yes,Mange,0,,,0,,,,,
33,101010160180,Panel A,1,10101016,Yes,Duck,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Sheep,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Guinea fowl,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Calf,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Pig,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Beehive,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Steer/heifer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Cow,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Goat,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Donkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Mule/horse,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Bull/ox,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Chicken-broiler,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Turkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,Chicken-layer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Yes,Chicken-layer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Yes,Pig,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Yes,Calf,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Yes,Cow,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Yes,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Yes,Chicken-broiler,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Yes,Guinea fowl,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Yes,Duck,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Yes,Bull/ox,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Yes,Local-cock,,Yes,8,,800,1,2,1,2,8,6,0,0,,,,0,2,0,4,3200,,,0,No,,,,,0,,,,,
49,101010160207,Panel A,1,10101016,Yes,Mule/horse,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Yes,Donkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Yes,Sheep,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Yes,Local-hen,,Yes,14,,500,1,2,1,2,11,5,0,0,,,,0,0,0,0,,,,2,No,,,,,0,,,,,
49,101010160207,Panel A,1,10101016,Yes,Steer/heifer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Yes,Goat,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
