occ,y2_hhid,qx_type,interview_status,fs_e0a,fs_e01,fs_e02,fs_e03,fs_e04a,fs_e04b,fs_e04c,fs_e04d,fs_e04e,fs_e04f,fs_e05a,fs_e05b,fs_e06a,fs_e06b,fs_e06c,fs_e06d,fs_e06e,fs_e06f,fs_e07,fs_e08a,fs_e08b,fs_e08c,fs_e08d,fs_e08e,fs_e08f,fs_e08g,fs_e08h,fs_e09,fs_e10,fs_e11a,fs_e11b,fs_e11c,fs_e11d,fs_e11e,fs_e11f,fs_e12,fs_e13
2,0300-001,PANEL B,Panel B - 2 Visits,2,YES,UTAKA,2,2,SMALL BASKET,FRESH,,,,4,,4,SMALL BASKET,FRESH,,,,,2,SMALL BASKET,FRESH,7000,,,,,2,,0,0,0,,,,ALMOST NONE,
1,0301-001,PANEL A,Panel A - 2 Visits,1,YES,USIPA,2,9,LARGE BASKET,FRESH,0,,,18,,18,LARGE BASKET,FRESH,,,,"YES, THE FIGURES MATCHED",18,LARGE BASKET,FRESH,2000,,,,,0,NO,10,LARGE BASKET,FRESH,,,,ALMOST ALL,"NO, THE ENTRIES WERE ADJUSTED"
2,0301-001,PANEL A,Panel A - 2 Visits,2,YES,CHAMBO,2,3,SMALL BASKET,FRESH,0,,,6,,6,SMALL BASKET,FRESH,,,,,6,SMALL BASKET,FRESH,1800,,,,,0,,5,SMALL BASKET,FRESH,,,,ALMOST ALL,
1,0306-004,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0316-001,PANEL B,Panel B - 2 Visits,1,YES,USIPA,2,2,LARGE BASKET,FRESH,,,,4,,4,LARGE BASKET,FRESH,,,,"YES, THE FIGURES MATCHED",3,LARGE BASKET,FRESH,3500,0,,,,2,NO,1,LARGE BASKET,FRESH,,,,1/2,"YES, THE FIGURES MATCHED"
2,0316-001,PANEL B,Panel B - 2 Visits,2,YES,UTAKA,2,1,LARGE BASKET,FRESH,,,,2,,2,LARGE BASKET,FRESH,,,,,2,LARGE BASKET,FRESH,2000,0,,,,2,,,,,,,,,
3,0316-001,PANEL B,Panel B - 2 Visits,3,YES,MATEMBA,1,1,LARGE BASKET,FRESH,,,,1,,1,LARGE BASKET,FRESH,,,,,1,LARGE BASKET,FRESH,1500,0,,,,1,,,,,,,,,
1,0343-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0355-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0384-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0390-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0406-001,PANEL B,Panel B - 2 Visits,1,YES,MLAMBA,14,8,PIECE,FRESH,,,,112,,112,PIECE,FRESH,,,,"YES, THE FIGURES MATCHED",7,PIECE,FRESH,300,,,,,14,YES,1,PIECE,FRESH,,,,ALMOST NONE,"YES, THE FIGURES MATCHED"
2,0406-001,PANEL B,Panel B - 2 Visits,2,YES,CHAMBO,20,26,PIECE,FRESH,,,,520,,520,PIECE,FRESH,,,,,23,PIECE,FRESH,150,,,,,20,,3,PIECE,FRESH,,,,ALMOST NONE,
1,0508-001,PANEL B,Panel B - 2 Visits,1,YES,MLAMBA,2,7,SMALL BASKET,SMOKED,,,,14,,14,SMALL BASKET,SMOKED,,,,"YES, THE FIGURES MATCHED",0,SMALL BASKET,SMOKED,0,,,,,2,YES,0,SMALL BASKET,SMOKED,,,,ALMOST ALL,"YES, THE FIGURES MATCHED"
2,0508-001,PANEL B,Panel B - 2 Visits,2,YES,NCHENI,4,8,SMALL BASKET,SMOKED,,,,32,,32,SMALL BASKET,SMOKED,,,,,0,SMALL BASKET,SMOKED,0,,,,,4,,0,SMALL BASKET,SMOKED,,,,ALMOST ALL,
3,0508-001,PANEL B,Panel B - 2 Visits,3,YES,USIPA,3,2,LARGE BASKET,SMOKED,,,,6,,6,LARGE BASKET,SMOKED,,,,,0,LARGE BASKET,SMOKED,0,,,,,3,,0,LARGE BASKET,SMOKED,,,,ALMOST ALL,
1,0782-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1069-003,PANEL A,Panel A - 2 Visits,1,YES,NCHENI,16,3,LARGE BASKET,FRESH,,,,48,,48,LARGE BASKET,FRESH,,,,"YES, THE FIGURES MATCHED",3,LARGE BASKET,FRESH,45000,,,,,16,NO,30,PIECE,FRESH,,,,1/4,"YES, THE FIGURES MATCHED"
2,1069-003,PANEL A,Panel A - 2 Visits,2,YES,USIPA,16,2,SMALL BASKET,FRESH,,,,32,,32,SMALL BASKET,FRESH,,,,,2,SMALL BASKET,FRESH,30300,,,,,16,,2,KILOGRAM,FRESH,,,,1/4,
3,1069-003,PANEL A,Panel A - 2 Visits,3,YES,OTHER (SPECIFY),16,3,SMALL BASKET,FRESH,,,,48,,48,SMALL BASKET,FRESH,,,,,3,SMALL BASKET,FRESH,30000,,,,,16,,10,PIECE,FRESH,,,,1/4,
1,1134-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1218-002,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1325-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1659-005,PANEL A,Panel A - Combined Visit,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1740-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1804-001,PANEL B,Panel B - 2 Visits,1,YES,OTHER (SPECIFY),4,6,DOZEN/BUNDLE,FRESH,,,,24,,24,DOZEN/BUNDLE,FRESH,,,,"YES, THE FIGURES MATCHED",4,DOZEN/BUNDLE,FRESH,1000000,,,,,4,NO,0,0,0,0,0,0,ALMOST NONE,"NO, THE ENTRIES WERE ADJUSTED"
1,1879-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1921-001,PANEL A,Panel A - 2 Visits,1,YES,USIPA,4,96,LARGE BASKET,FRESH,,,,384,,384,LARGE BASKET,FRESH,,,,"YES, THE FIGURES MATCHED",382,LARGE BASKET,FRESH,4584000,,,,,4,NO,2,LARGE BASKET,FRESH,,,,ALMOST NONE,"YES, THE FIGURES MATCHED"
2,1921-001,PANEL A,Panel A - 2 Visits,2,YES,NCHENI,4,21,LARGE BASKET,FRESH,,,,84,,84,LARGE BASKET,FRESH,,,,,83,LARGE BASKET,FRESH,664000,,,,,4,,1,LARGE BASKET,FRESH,,,,ALMOST NONE,
1,1935-001,PANEL A,Panel A - 2 Visits,1,YES,USIPA,2,40,LARGE BASKET,FRESH,,,,80,,80,LARGE BASKET,FRESH,,,,"YES, THE FIGURES MATCHED",30,LARGE BASKET,FRESH,210000,8,LARGE BASKET,SUN-DRIED,80000,2,NO,1,LARGE BASKET,FRESH,1,LARGE BASKET,SUN-DRIED,1/4,"YES, THE FIGURES MATCHED"
1,1945-001,PANEL A,Panel A - 2 Visits,1,YES,USIPA,4,20,LARGE BASKET,FRESH,,,,80,,100,LARGE BASKET,FRESH,,,,"YES, THE FIGURES MATCHED",20,LARGE BASKET,FRESH,300000,,,,,20,YES,20,KILOGRAM,SUN-DRIED,,,,ALMOST ALL,"YES, THE FIGURES MATCHED"
1,1949-001,PANEL A,Panel A - 2 Visits,1,YES,USIPA,12,400,KILOGRAM,FRESH,,,,4800,,4800,KILOGRAM,FRESH,,,,"YES, THE FIGURES MATCHED",400,KILOGRAM,FRESH,50000,,,,,12,YES,4,KILOGRAM,FRESH,,,,1/4,"YES, THE FIGURES MATCHED"
2,1949-001,PANEL A,Panel A - 2 Visits,2,YES,OTHER (SPECIFY),12,400,KILOGRAM,FRESH,,,,4800,,4800,KILOGRAM,FRESH,,,,,400,KILOGRAM,FRESH,50000,,,,,12,,4,KILOGRAM,FRESH,,,,1/4,
1,1951-001,PANEL A,Panel A - 2 Visits,1,YES,UTAKA,4,140,LARGE BASKET,FRESH,,,,560,,560,LARGE BASKET,FRESH,,,,"YES, THE FIGURES MATCHED",105,LARGE BASKET,FRESH,840000,3,LARGE BASKET,SUN-DRIED,340000,4,YES,1,LARGE BASKET,SUN-DRIED,,,,ALMOST NONE,"YES, THE FIGURES MATCHED"
2,1951-001,PANEL A,Panel A - 2 Visits,2,YES,OTHER (SPECIFY),4,20,LARGE BASKET,FRESH,,,,80,,80,LARGE BASKET,FRESH,,,,,80,LARGE BASKET,FRESH,640000,,,,,4,,10,PIECE,FRESH,,,,ALMOST NONE,
1,1951-002,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2053-001,PANEL A,Panel A - 2 Visits,1,YES,MAKUMBA,1,5,DOZEN/BUNDLE,FRESH,,,,60,,60,DOZEN/BUNDLE,FRESH,,,,"YES, THE FIGURES MATCHED",4,DOZEN/BUNDLE,FRESH,800,,,,,12,YES,1,DOZEN/BUNDLE,FRESH,,,,1/4,"NO, THE ENTRIES WERE ADJUSTED"
2,2053-001,PANEL A,Panel A - 2 Visits,2,YES,CHAMBO,1,2,DOZEN/BUNDLE,FRESH,,,,24,,24,DOZEN/BUNDLE,FRESH,,,,,1,DOZEN/BUNDLE,FRESH,1000,,,,,12,,1,DOZEN/BUNDLE,FRESH,,,,1/2,
3,2053-001,PANEL A,Panel A - 2 Visits,3,YES,OTHER (SPECIFY),12,5,DOZEN/BUNDLE,FRESH,,,,60,,60,DOZEN/BUNDLE,FRESH,,,,,4,DOZEN/BUNDLE,FRESH,800,,,,,12,,1,DOZEN/BUNDLE,FRESH,,,,1/4,
1,2073-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2103-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2189-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2202-002,PANEL B,Panel B - Combined Visit,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2231-004,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2403-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2433-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2563-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2569-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2598-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2603-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2656-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2703-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2777-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2788-003,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2812-003,PANEL B,Panel B - Combined Visit,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2835-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2984-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3036-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3074-002,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3143-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3155-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
