occ,ea_id,com_cc01,com_cc02,com_cc03,com_cc04a,com_cc04b,com_cc04c,com_cc04d,com_cc04e,com_cc04f,com_cc05a,com_cc05b,com_cc05c,com_cc05d,com_cc05e,com_cc05f,com_cc06,com_cc07a,com_cc07b,com_cc07c,com_cc07d,com_cc07e,com_cc07f,com_cc08,com_cc09,com_cc10,com_cc11,com_cc12,com_cc13,com_cc14,com_cc15
1,10302010,NEITHER ARRIVALS NOR DEPARTURES,1600,256,CHRISTIAN,256,,,,,TONGA,256,,,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),256,,,,,0,FARMING,FLAT,1/4,ALMOST NONE,1/4,3/4,YES
1,10304012,MORE MOVED IN,596,91,CHRISTIAN,66,OTHER RELIGION,17,ISLAM,8,TONGA,68,CHEWA,13,TUMBUKA,10,FATHER,PATRILINEAL AND PATRILOCAL,72,PATRILINEAL AND NEOLOCAL,15,OTHER ( SPECIFY),4,4,FARMING,SLIGHTLY SLOPING,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL,NO
1,10305446,MORE MOVED OUT,2650,580,CHRISTIAN,580,,,,,TONGA,580,,,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),580,,,,,3,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,10307413,MORE MOVED OUT,850,102,CHRISTIAN,100,ISLAM,2,,,TONGA,101,TUMBUKA,1,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),102,,,,,2,FARMING,SLIGHTLY SLOPING,1/4,ALMOST NONE,ALMOST NONE,1/2,YES
1,10308636,MORE MOVED OUT,1800,400,CHRISTIAN,400,,,,,TONGA,400,,,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),400,,,,,40,FARMING,SLIGHTLY SLOPING,1/4,ALMOST NONE,1/4,1/4,YES
1,10401140,MORE MOVED IN,2000,400,ISLAM,7,NONE,23,CHRISTIAN,370,CHEWA,25,TUMBUKA,375,,,FATHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),20,MATRILINEAL AND PATRILOCAL (CHITENGWA),380,,,12,PLANNED HOUSING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,10401502,ABOUT THE SAME OF BOTH,1040,130,CHRISTIAN,130,,,,,CHEWA,3,NGONI,2,TUMBUKA,125,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),130,,,,,4,FARMING,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,10401522,MORE MOVED IN,1400,600,NONE,40,CHRISTIAN,560,,,CHEWA,200,TUMBUKA,400,CHEWA,,FATHER,MATRILINEAL AND NEOLOCAL,100,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),500,,,10,FARMING,FLAT,ALMOST NONE,ALMOST ALL,ALMOST NONE,ALMOST ALL,YES
1,10404186,ABOUT THE SAME OF BOTH,446,120,CHRISTIAN,120,,,,,TUMBUKA,120,,,,,BOTH,MATRILINEAL AND PATRILOCAL (CHITENGWA),91,OTHER ( SPECIFY),29,,,29,FARMING,BOTH FLAT AND HILLY,3/4,ALMOST NONE,3/4,3/4,YES
1,10405213,MORE MOVED IN,900,221,CHRISTIAN,200,NONE,21,,,CHEWA,10,TUMBUKA,211,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),221,,,,,5,FARMING,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,3/4,ALMOST ALL,YES
1,10501505,MORE MOVED IN,1800,700,CHRISTIAN,670,NONE,30,,,TUMBUKA,700,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),700,,,,,6,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,10501709,NEITHER ARRIVALS NOR DEPARTURES,5040,1040,CHRISTIAN,1040,,,,,NGONI,500,TONGA,40,TUMBUKA,500,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),1040,,,,,33,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,10502268,ABOUT THE SAME OF BOTH,300,52,ISLAM,1,NONE,20,CHRISTIAN,31,TUMBUKA,25,,,,,FATHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),1,MATRILINEAL AND PATRILOCAL (CHITENGWA),51,,,24,FARMING,BOTH FLAT AND HILLY,1/4,ALMOST NONE,1/4,3/4,YES
1,10502593,MORE MOVED OUT,350,70,CHRISTIAN,70,,,,,CHEWA,3,NGONI,1,TUMBUKA,66,FATHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),4,MATRILINEAL AND PATRILOCAL (CHITENGWA),66,,,3,FARMING,SLIGHTLY SLOPING,1/4,1/4,ALMOST NONE,ALMOST ALL,YES
1,10503367,ABOUT THE SAME OF BOTH,693,99,CHRISTIAN,90,NONE,9,,,TUMBUKA,80,NGONI,19,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),99,,,,,10,FARMING,STEEPLY SLOPING,1/4,ALMOST NONE,3/4,ALMOST ALL,YES
1,10505136,MORE MOVED IN,1200,300,CHRISTIAN,295,NONE,5,,,TUMBUKA,200,NGONI,50,OTHER,50,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),300,,,,,22,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,10505310,MORE MOVED IN,750,100,CHRISTIAN,90,NONE,10,,,CHEWA,4,TUMBUKA,96,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),3,MATRILINEAL AND PATRILOCAL (CHITENGWA),97,,,4,FARMING,SLIGHTLY SLOPING,ALMOST NONE,1/4,ALMOST NONE,ALMOST ALL,YES
1,10505508,MORE MOVED IN,375,99,TRADITIONAL,99,,,,,TUMBUKA,50,NGONI,49,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),99,,,,,30,FARMING,FLAT,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,10507175,MORE MOVED IN,325,175,CHRISTIAN,100,NONE,75,,,CHEWA,50,TUMBUKA,125,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),175,,,,,50,FARMING,STEEPLY SLOPING,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,10507344,MORE MOVED IN,735,147,ISLAM,1,CHRISTIAN,146,,,CHEWA,6,YAO,1,TUMBUKA,140,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),5,MATRILINEAL AND PATRILOCAL (CHITENGWA),142,,,5,FARMING,SLIGHTLY SLOPING,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,10509319,NEITHER ARRIVALS NOR DEPARTURES,1500,300,CHRISTIAN,280,NONE,20,,,NGONI,290,TUMBUKA,7,CHEWA,3,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),300,,,,,2,FARMING,FLAT,1/4,1/4,ALMOST NONE,ALMOST ALL,YES
1,10510388,MORE MOVED OUT,200,50,CHRISTIAN,48,NONE,2,,,TUMBUKA,50,,,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),50,,,,,2,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,10732192,MORE MOVED IN,1400,170,CHRISTIAN,100,ISLAM,50,NONE,20,TUMBUKA,100,CHEWA,70,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),170,,,,,3,SQUATTER  SETTLEMENT,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,10733640,ABOUT THE SAME OF BOTH,3350,650,CHRISTIAN,600,ISLAM,50,,,TUMBUKA,400,NKHONDE,200,NYANJA,50,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),600,OTHER ( SPECIFY),50,,,15,FARMING,FLAT,ALMOST NONE,ALMOST NONE,1/4,1/2,NO
1,10734370,MORE MOVED IN,5000,1000,CHRISTIAN,800,ISLAM,200,,,TUMBUKA,500,CHEWA,300,TONGA,200,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),700,OTHER ( SPECIFY),300,,,2,PLANNED HOUSING,SLIGHTLY SLOPING,1/4,ALMOST NONE,ALMOST NONE,3/4,YES
1,10734762,MORE MOVED IN,8000,2000,CHRISTIAN,1600,NONE,200,ISLAM,200,TUMBUKA,1800,CHEWA,200,,,FATHER,MATRILINEAL AND NEOLOCAL,400,MATRILINEAL AND PATRILOCAL (CHITENGWA),1600,,,40,SQUATTER  SETTLEMENT,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,10735173,MORE MOVED IN,3840,1300,CHRISTIAN,100,ISLAM,300,,,TUMBUKA,1200,TONGA,50,CHEWA,50,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),1200,OTHER ( SPECIFY),,,,12,SQUATTER  SETTLEMENT,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,NO
1,10736596,MORE MOVED IN,6000,700,CHRISTIAN,700,,,,,TUMBUKA,700,,,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),700,,,,,9,PLANNED HOUSING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,10741504,MORE MOVED OUT,4700,720,CHRISTIAN,720,,,,,TUMBUKA,600,CHEWA,120,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),700,OTHER ( SPECIFY),20,,,3,PLANNED HOUSING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,NO
1,10744649,MORE MOVED IN,865,400,CHRISTIAN,300,ISLAM,100,,,TONGA,200,TUMBUKA,100,CHEWA,100,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),400,,,,,9,PLANNED HOUSING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,10746033,MORE MOVED IN,1500,533,CHRISTIAN,386,OTHER RELIGION,78,NONE,69,TUMBUKA,505,CHEWA,20,OTHER,8,FATHER,PATRILINEAL AND PATRILOCAL,370,PATRILINEAL AND NEOLOCAL,133,OTHER ( SPECIFY),30,8,SQUATTER  SETTLEMENT,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,NO
1,10746244,MORE MOVED IN,1450,250,CHRISTIAN,240,ISLAM,10,,,TUMBUKA,200,CHEWA,30,TONGA,20,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),200,OTHER ( SPECIFY),50,,,10,PLANNED HOUSING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,20106042,MORE MOVED IN,3491,610,CHRISTIAN,595,ISLAM,15,,,CHEWA,587,TUMBUKA,23,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),588,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),22,,,11,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20110620,MORE MOVED IN,7014,1002,CHRISTIAN,897,NONE,105,,,CHEWA,852,TUMBUKA,150,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),899,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),103,,,120,FARMING,FLAT,ALMOST NONE,1/4,ALMOST NONE,ALMOST ALL,YES
1,20111718,MORE MOVED IN,2461,472,CHRISTIAN,409,ISLAM,47,NONE,16,CHEWA,423,YAO,30,TUMBUKA,19,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),429,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),43,,,12,FARMING,FLAT,ALMOST NONE,3/4,ALMOST NONE,ALMOST ALL,YES
1,20112661,MORE MOVED IN,3850,550,CHRISTIAN,529,TRADITIONAL,15,OTHER RELIGION,6,CHEWA,550,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),500,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),50,,,12,FARMING,MODERATELY SLOPING,ALMOST NONE,1/4,ALMOST NONE,ALMOST ALL,YES
1,20113112,MORE MOVED IN,13210,2642,CHRISTIAN,2478,NONE,149,ISLAM,15,CHEWA,2555,TUMBUKA,87,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),2558,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),15,MATRILINEAL AND PATRILOCAL (CHITENGWA),69,40,FARMING,MODERATELY SLOPING,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL,YES
1,20115434,MORE MOVED IN,1801,347,CHRISTIAN,329,ISLAM,10,NONE,8,CHEWA,300,YAO,26,LOMWE,21,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),333,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),14,,,8,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20205207,MORE MOVED IN,1644,274,CHRISTIAN,259,ISLAM,15,,,CHEWA,259,YAO,15,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),257,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),17,,,6,FARMING,FLAT,1/4,ALMOST NONE,1/4,ALMOST ALL,YES
1,20206362,MORE MOVED IN,2510,502,CHRISTIAN,467,ISLAM,25,NONE,10,CHEWA,502,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),454,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),48,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),48,42,FARMING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20302539,ABOUT THE SAME OF BOTH,7010,1402,CHRISTIAN,1234,NONE,168,,,CHEWA,1402,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),1281,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),121,,,80,FARMING,MODERATELY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20303065,MORE MOVED IN,2382,397,CHRISTIAN,301,NONE,96,,,CHEWA,397,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),354,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),43,,,33,FARMING,STEEPLY SLOPING,1/4,ALMOST NONE,1/2,ALMOST ALL,YES
1,20305301,MORE MOVED IN,2915,575,CHRISTIAN,565,ISLAM,10,,,CHEWA,559,TUMBUKA,10,LOMWE,6,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),567,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),8,,,12,FARMING,MODERATELY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20306557,MORE MOVED IN,9301,1651,CHRISTIAN,1612,NONE,39,,,CHEWA,1651,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),1623,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),28,,,42,FARMING,MODERATELY SLOPING,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20402198,MORE MOVED IN,1511,298,CHRISTIAN,277,NONE,21,,,CHEWA,298,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),255,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),43,,,10,FARMING,FLAT,ALMOST NONE,1/4,ALMOST NONE,ALMOST ALL,YES
1,20404032,MORE MOVED OUT,2611,510,CHRISTIAN,434,NONE,76,,,CHEWA,464,LOMWE,36,TUMBUKA,10,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),400,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),83,MATRILINEAL AND NEOLOCAL,27,52,FARMING,MODERATELY SLOPING,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20404575,MORE MOVED OUT,3289,657,CHRISTIAN,630,NONE,21,ISLAM,6,CHEWA,651,YAO,6,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),644,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),13,,,15,FARMING,BOTH FLAT AND HILLY,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL,YES
1,20405366,MORE MOVED IN,2610,507,CHRISTIAN,492,NONE,15,,,CHEWA,507,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),496,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),11,,,29,FARMING,STEEPLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20407398,ABOUT THE SAME OF BOTH,8850,1475,CHRISTIAN,8822,NONE,28,,,CHEWA,8850,,,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),8820,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),30,,,23,FARMING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20407481,MORE MOVED IN,2550,1510,CHRISTIAN,1495,ISLAM,10,OTHER RELIGION,5,CHEWA,1456,YAO,38,TUMBUKA,16,BOTH,MATRILINEAL AND PATRILOCAL (CHITENGWA),61,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),149,,,12,FARMING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20507089,MORE MOVED IN,1987,345,TRADITIONAL,280,NONE,65,,,CHEWA,345,,,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),300,MATRILINEAL AND PATRILOCAL (CHITENGWA),45,,,12,FARMING,FLAT,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20507459,ABOUT THE SAME OF BOTH,6573,1396,CHRISTIAN,1360,NONE,28,ISLAM,8,CHEWA,1394,TUMBUKA,2,,,MOTHER,MATRILINEAL AND NEOLOCAL,776,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),620,,,9,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20508349,MORE MOVED IN,20000,2500,CHRISTIAN,2000,ISLAM,250,OTHER RELIGION,150,CHEWA,240,YAO,50,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),2400,MATRILINEAL AND PATRILOCAL (CHITENGWA),100,,,150,FARMING,SLIGHTLY SLOPING,1/4,3/4,1/4,3/4,YES
1,20601141,MORE MOVED OUT,20000,3334,CHRISTIAN,3000,OTHER RELIGION,200,NONE,134,CHEWA,3334,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),2334,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),1000,,,334,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,20601626,MORE MOVED IN,450,182,CHRISTIAN,154,ISLAM,15,NONE,13,CHEWA,144,TUMBUKA,5,SENA,5,MOTHER,MATRILINEAL AND NEOLOCAL,100,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),82,,,7,SQUATTER  SETTLEMENT,STEEPLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,20602363,MORE MOVED IN,41726,70,CHRISTIAN,35,ISLAM,35,,,CHEWA,40,YAO,30,,,BOTH,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),35,MATRILINEAL AND PATRILOCAL (CHITENGWA),35,,,5,PLANNED HOUSING,FLAT,ALMOST NONE,3/4,ALMOST NONE,ALMOST ALL,YES
1,20603090,MORE MOVED IN,450,70,CHRISTIAN,70,,,,,CHEWA,70,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),50,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),20,,,15,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20603533,MORE MOVED IN,20000,2500,CHRISTIAN,2000,ISLAM,300,OTHER RELIGION,200,CHEWA,2500,,,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),2000,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),500,,,50,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,20604638,ABOUT THE SAME OF BOTH,220,32,CHRISTIAN,28,TRADITIONAL,4,,,CHEWA,32,,,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),20,MATRILINEAL AND PATRILOCAL (CHITENGWA),12,,,64,FARMING,STEEPLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20605302,MORE MOVED OUT,8000,1000,CHRISTIAN,700,OTHER RELIGION,150,NONE,50,CHEWA,1000,,,,,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),700,MATRILINEAL AND PATRILOCAL (CHITENGWA),300,,,1020,FARMING,MODERATELY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
1,20607260,MORE MOVED IN,1584,396,CHRISTIAN,371,NONE,20,ISLAM,5,CHEWA,373,LOMWE,20,TUMBUKA,3,MOTHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),300,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),96,,,5,FARMING,STEEPLY SLOPING,ALMOST NONE,1/4,ALMOST NONE,ALMOST ALL,YES
1,20607315,MORE MOVED IN,15000,3000,CHRISTIAN,2500,NONE,350,OTHER RELIGION,150,CHEWA,3000,,,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),2900,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),100,,,300,FARMING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,20610050,MORE MOVED IN,33200,4150,CHRISTIAN,2075,TRADITIONAL,103,ISLAM,1037,CHEWA,3113,YAO,1037,,,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),4000,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),150,,,1038,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,ALMOST ALL,YES
