ea_id,com_ci0b,com_ci0b_os,com_ci01,com_ci02,com_ci03,com_ci04,com_ci05,com_ci06,com_ci07a,com_ci07a_os,com_ci07b,com_ci07b_os,com_ci07c,com_ci07c_os,com_ci08a,com_ci08a_os,com_ci08b,com_ci08b_os,com_ci08c,com_ci08c_os,com_ci09a,com_ci09a_os,com_ci09b,com_ci09b_os,com_ci09c,com_ci09c_os,com_ci10,com_ci11,com_ci12,com_ci12_os,com_ci13,com_ci14
10204586,Forest,,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,USE GUARDS,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
10204586,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10204586,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220103,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220103,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220103,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220103,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220103,Water Body:,LAKE MALAWI,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
10220705,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220705,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220705,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220705,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10220705,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301663,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301663,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301663,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301663,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301663,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302010,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302010,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302010,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302010,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302010,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304012,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304012,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304012,Unallocated Arable Land,,YES,YES,YES,YES,YES,YES,USE GUARDS,,USE THE THREAT OF FINE,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
10304012,,,YES,YES,YES,YES,YES,YES,USE GUARDS,,USE THE THREAT OF FINE,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
10304012,,,YES,YES,YES,YES,YES,YES,USE GUARDS,,USE THE THREAT OF FINE,,,,No restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
10305446,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10305446,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10305446,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10305446,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10305446,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10307413,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10307413,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10307413,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10307413,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10307413,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10308636,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10308636,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10308636,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10308636,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10308636,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401140,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401140,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401140,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401140,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401140,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401502,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401502,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401502,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401502,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401502,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401522,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401522,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401522,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401522,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401522,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10404186,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10404186,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10404186,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10404186,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10404186,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10405213,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10405213,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10405213,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10405213,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10405213,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501505,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501505,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501505,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501505,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501505,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501709,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501709,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501709,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501709,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501709,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10502268,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10502268,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10502268,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10502268,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10502268,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10502593,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10502593,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10502593,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10502593,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10502593,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10503367,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10503367,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10503367,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10503367,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10503367,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505136,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505136,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505136,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505136,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505136,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505310,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505310,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505310,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505310,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505310,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505508,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505508,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505508,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505508,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505508,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10507175,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10507175,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10507175,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10507175,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10507175,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10507344,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10507344,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10507344,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10507344,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10507344,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10509319,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10509319,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10509319,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10509319,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10509319,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510388,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510388,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510388,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510388,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510388,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732192,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732192,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732192,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732192,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732192,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733640,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733640,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733640,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733640,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733640,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734370,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734370,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734370,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734370,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734370,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734762,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734762,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734762,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734762,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734762,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735173,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735173,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735173,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735173,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735173,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736596,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736596,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736596,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736596,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736596,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10741504,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10741504,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10741504,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10741504,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10741504,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744649,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744649,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744649,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744649,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744649,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746033,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746033,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746033,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746033,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746033,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746244,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746244,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746244,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746244,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746244,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20106042,Other:,GRAVE YARD,YES,YES,YES,YES,YES,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,NO,,,NO,
20106042,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20106042,,,YES,YES,YES,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,NO,,,NO,
20106042,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20106042,Forest,,YES,YES,YES,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,NO,,,NO,
20110620,Other:,GRAVE YARD,YES,YES,YES,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20110620,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110620,Pasture,,YES,YES,YES,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,NO,,,NO,
20110620,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110620,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111718,Other:,GRAVE YARD,YES,YES,YES,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,NO,,,NO,
20111718,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111718,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20111718,Pasture,,YES,YES,YES,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,NO,,,NO,
20111718,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112661,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112661,Other:,GRAVE YARD,YES,YES,YES,NO,NO,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,NO,,,NO,
20112661,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112661,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20112661,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20113112,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20113112,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20113112,Pasture,,YES,YES,YES,NO,NO,NO,,,,,,,Time restrictions,,No restrictions,,,,Do nothing,,,,,,Fully Effective,NO,,,NO,
20113112,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20113112,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20115434,Other:,GRAVE YARD,YES,YES,YES,NO,YES,NO,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,NO,,,NO,
20115434,Forest,,YES,YES,YES,NO,YES,YES,USE GUARDS,,USE THE THREAT OF PHYSICAL PUNISHMENT,,,,Time restrictions,,,,,,Use threat of fine,,,,,,Fully Effective,NO,,,NO,
20115434,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20115434,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20115434,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20205207,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20205207,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20205207,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20205207,Water Body:,LIPHYODZI,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,,,,Other (Specify),ANYONE CAN USE HIS/HER PLOT,,,,,Use threat of fine,,,,,,Somewhat Effective,NO,,,NO,
20205207,Forest,,YES,YES,YES,YES,YES,YES,USE GUARDS,,,,,,Other (Specify),MUST CONSULT VILLAGE HEAD,,,,,Use threat of fine,,,,,,Not Effective,NO,,,NO,
20206362,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206362,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206362,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206362,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20206362,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20302539,Pasture,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20302539,Forest,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20302539,Water Body:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20302539,Other:,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20302539,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303065,Forest,,YES,YES,YES,NO,NO,YES,OTHER (SPECIFY),COMMITTEE PUT IN PLACE,,,,,Time restrictions,,,,,,Use threat of fine,,Confiscation of tools/products,,,,Fully Effective,NO,,,NO,
20303065,Unallocated Arable Land,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20303065,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
