occ,y2_hhid,qx_type,interview_status,fs_i0b,fs_i0c,fs_i14,fs_i15,fs_i16
4,0306-004,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,0306-004,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0306-004,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0316-001,PANEL B,Panel B - 2 Visits,,,,,
1,0343-001,PANEL A,Panel A - 2 Visits,,,NO,,
2,0343-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0343-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,0343-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,0343-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0343-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0355-001,PANEL A,Panel A - 2 Visits,,,NO,,
2,0355-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0355-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,0355-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,0355-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0355-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0384-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0384-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0384-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,0384-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,0384-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0384-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0390-001,PANEL B,Panel B - 2 Visits,,,NO,,
2,0390-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0390-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,0390-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,0390-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0390-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0406-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0406-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0406-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,0406-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,0406-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0406-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0508-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0508-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0508-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,0508-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,0508-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0508-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0782-001,PANEL B,Panel B - 2 Visits,,,NO,,
2,0782-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0782-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,0782-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,0782-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0782-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1069-003,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1069-003,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1069-003,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,1069-003,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,1069-003,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1069-003,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1134-001,PANEL B,Panel B - 2 Visits,,,,,
1,1218-002,PANEL B,Panel B - 2 Visits,,,,,
1,1325-001,PANEL A,Panel A - 2 Visits,,,,,
1,1659-005,PANEL A,Panel A - Combined Visit,,,NO,,
2,1659-005,PANEL A,Panel A - Combined Visit,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1659-005,PANEL A,Panel A - Combined Visit,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,1659-005,PANEL A,Panel A - Combined Visit,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,1659-005,PANEL A,Panel A - Combined Visit,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1659-005,PANEL A,Panel A - Combined Visit,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1740-001,PANEL B,Panel B - 2 Visits,,,,,
1,1804-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1804-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1804-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,1804-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,1804-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1804-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1879-001,PANEL A,Panel A - 2 Visits,,,,,
1,1921-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1921-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1921-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,1921-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,1921-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1921-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1935-001,PANEL A,Panel A - 2 Visits,,,,,
1,1945-001,PANEL A,Panel A - 2 Visits,,,,,
1,1949-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,1949-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1949-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,1949-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,1949-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1949-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,1951-001,PANEL A,Panel A - 2 Visits,,,,,
1,1951-002,PANEL A,Panel A - 2 Visits,,,NO,,
2,1951-002,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,1951-002,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,1951-002,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,1951-002,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,1951-002,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2053-001,PANEL A,Panel A - 2 Visits,,,,,
1,2073-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,2073-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2073-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,2073-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,2073-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2073-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2103-001,PANEL A,Panel A - 2 Visits,,,,,
1,2189-001,PANEL A,Panel A - 2 Visits,,,NO,,
2,2189-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2189-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,2189-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,2189-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2189-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2202-002,PANEL B,Panel B - Combined Visit,,,,,
1,2231-004,PANEL A,Panel A - 2 Visits,,,NO,,
2,2231-004,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2231-004,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,2231-004,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,2231-004,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2231-004,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2403-001,PANEL A,Panel A - 2 Visits,,,NO,,
2,2403-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2403-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,2403-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,2403-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2403-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2433-001,PANEL A,Panel A - 2 Visits,,,NO,,
2,2433-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2433-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,2433-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,2433-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2433-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2563-001,PANEL A,Panel A - 2 Visits,,,NO,,
2,2563-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2563-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,2563-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,2563-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2563-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2569-001,PANEL A,Panel A - 2 Visits,,,NO,,
2,2569-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2569-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,2569-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,2569-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2569-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2598-001,PANEL B,Panel B - 2 Visits,,,NO,,
2,2598-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2598-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,2598-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,2598-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2598-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2603-001,PANEL A,Panel A - 2 Visits,,,NO,,
2,2603-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2603-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,2603-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,2603-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2603-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2656-001,PANEL B,Panel B - 2 Visits,,,NO,,
2,2656-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2656-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,2656-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,2656-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2656-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2703-001,PANEL A,Panel A - 2 Visits,,,NO,,
2,2703-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2703-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,2703-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,2703-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2703-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2777-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,,,
2,2777-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,,,
3,2777-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,,,
4,2777-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,,,
5,2777-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),,,
6,2777-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),,,
1,2788-003,PANEL B,Panel B - 2 Visits,,,NO,,
2,2788-003,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2788-003,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,2788-003,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,2788-003,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2788-003,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2812-003,PANEL B,Panel B - Combined Visit,,,NO,,
2,2812-003,PANEL B,Panel B - Combined Visit,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,2812-003,PANEL B,Panel B - Combined Visit,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,2812-003,PANEL B,Panel B - Combined Visit,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,2812-003,PANEL B,Panel B - Combined Visit,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,2812-003,PANEL B,Panel B - Combined Visit,CHAVI (CASTNET),Chavi (castnet),NO,,
1,2835-001,PANEL A,Panel A - 2 Visits,,,,,
2,2835-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,,,
3,2835-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,,,
4,2835-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,,,
5,2835-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),,,
6,2835-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),,,
1,2984-001,PANEL B,Panel B - 2 Visits,,,,,
1,3036-001,PANEL B,Panel B - 2 Visits,,,,,
1,3074-002,PANEL B,Panel B - 2 Visits,,,NO,,
2,3074-002,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,3074-002,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,3074-002,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,3074-002,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,3074-002,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,3143-001,PANEL A,Panel A - 2 Visits,,,,,
1,3155-001,PANEL A,Panel A - 2 Visits,,,,,
