HHID,case_id,qx_type,visit,ea_id,ag_s0a,ag_s0a_os,ag_s01,ag_s02,ag_s03a,ag_s03b,ag_s03b_os,ag_s04,ag_s05a,ag_s05b,ag_s05b_os,ag_s06,ag_s07a,ag_s07b,ag_s08a,ag_s08b,ag_s09a,ag_s09b,ag_s09b_os,ag_s10a,ag_s10b,ag_s10b_os,ag_s11a,ag_s11b,ag_s11b_os,ag_s12,ag_s13
35,101010160060,Panel A,1,10101016,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Chicken eggs,,Yes,6,10,Piece,,No,,,,,,,,,0,,,0,,,0,,,No,
61,101010160069,Panel A,1,10101016,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Chicken eggs,,Yes,9,15,Piece,,No,,,,,,,,,50,Piece,,10,Piece,,0,,,No,
51,101010160070,Panel A,1,10101016,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Cow milk,,Yes,7,30,Litre,,No,,,,,,,,,200,Litre,,10,Litre,,0,,,No,
57,101010160074,Panel A,1,10101016,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Chicken eggs,,Yes,2,30,Piece,,No,,,,,,,,,30,Piece,,0,,,0,,,No,
57,101010160074,Panel A,1,10101016,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Cow milk,,Yes,3,40,Litre,,No,,,,,,,,,40,Litre,,0,,,0,,,No,
55,101010160086,Panel A,1,10101016,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Chicken eggs,,Yes,4,20,Piece,,No,,,,,,,,,30,Piece,,0,,,0,,,No,
55,101010160086,Panel A,1,10101016,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Chicken eggs,,Yes,1,25,Piece,,No,,,,,,,,,6,Piece,,0,,,0,,,No,
47,101010160096,Panel A,1,10101016,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Chicken eggs,,Yes,2,12,Piece,,No,,,,,,,,,13,Piece,,0,,,0,,,No,
63,101010160143,Panel A,1,10101016,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Chicken eggs,,Yes,1,20,Piece,,Yes,10,Piece,,200,1,,N02,,0,,,0,,,0,,,No,
59,101010160159,Panel A,1,10101016,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Chicken eggs,,Yes,3,10,Piece,,Yes,10,Piece,,200,1,2,N05,,20,Piece,,0,,,0,,,No,
33,101010160180,Panel A,1,10101016,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Chicken eggs,,Yes,2,32,Piece,,No,,,,,,,,,10,Piece,,0,,,0,,,No,
49,101010160207,Panel A,1,10101016,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
53,101010160235,Panel A,1,10101016,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
53,101010160235,Panel A,1,10101016,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
53,101010160235,Panel A,1,10101016,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
53,101010160235,Panel A,1,10101016,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
53,101010160235,Panel A,1,10101016,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
53,101010160235,Panel A,1,10101016,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
53,101010160235,Panel A,1,10101016,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
53,101010160235,Panel A,1,10101016,Chicken eggs,,Yes,2,20,Piece,,Yes,7,Piece,,140,1,2,N01,,0,,,0,,,0,,,No,
43,101010160254,Panel A,1,10101016,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,10101016,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,10101016,Chicken eggs,,Yes,1,7,Piece,,No,,,,,,,,,0,,,4,Piece,,0,,,No,
43,101010160254,Panel A,1,10101016,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,10101016,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,10101016,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,10101016,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,10101016,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
39,101010160265,Panel A,1,10101016,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
39,101010160265,Panel A,1,10101016,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
39,101010160265,Panel A,1,10101016,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
39,101010160265,Panel A,1,10101016,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
39,101010160265,Panel A,1,10101016,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
39,101010160265,Panel A,1,10101016,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
39,101010160265,Panel A,1,10101016,Chicken eggs,,Yes,9,11,Piece,,No,,,,,,,,,30,Piece,,20,Piece,,0,,,No,
39,101010160265,Panel A,1,10101016,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
40,101012040003,Panel B,1,10101204,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
40,101012040003,Panel B,1,10101204,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
40,101012040003,Panel B,1,10101204,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
40,101012040003,Panel B,1,10101204,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
40,101012040003,Panel B,1,10101204,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
40,101012040003,Panel B,1,10101204,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
40,101012040003,Panel B,1,10101204,Chicken eggs,,Yes,1,11,Piece,,No,,,,,,,,,4,Piece,,0,,,0,,,No,
40,101012040003,Panel B,1,10101204,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
62,101012040007,Panel B,1,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,101012040011,Panel B,1,10101204,Chicken eggs,,Yes,1,12,Piece,,No,,,,,,,,,3,Piece,,0,,,0,,,No,
42,101012040011,Panel B,1,10101204,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
42,101012040011,Panel B,1,10101204,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
42,101012040011,Panel B,1,10101204,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
42,101012040011,Panel B,1,10101204,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
42,101012040011,Panel B,1,10101204,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
42,101012040011,Panel B,1,10101204,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
42,101012040011,Panel B,1,10101204,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
44,101012040020,Panel B,1,10101204,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
44,101012040020,Panel B,1,10101204,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
44,101012040020,Panel B,1,10101204,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
44,101012040020,Panel B,1,10101204,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
44,101012040020,Panel B,1,10101204,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
44,101012040020,Panel B,1,10101204,Chicken eggs,,Yes,1,9,Piece,,Yes,4,Piece,,80,2,,N04,,0,,,0,,,0,,,No,
44,101012040020,Panel B,1,10101204,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
44,101012040020,Panel B,1,10101204,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
38,101012040024,Panel B,1,10101204,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
38,101012040024,Panel B,1,10101204,Chicken eggs,,Yes,1,12,Piece,,No,,,,,,,,,4,Piece,,0,,,0,,,No,
38,101012040024,Panel B,1,10101204,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
38,101012040024,Panel B,1,10101204,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
38,101012040024,Panel B,1,10101204,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
38,101012040024,Panel B,1,10101204,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
38,101012040024,Panel B,1,10101204,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
38,101012040024,Panel B,1,10101204,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,1,10101204,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,1,10101204,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,1,10101204,Chicken eggs,,Yes,3,30,Piece,,No,,,,,,,,,10,Piece,,0,,,0,,,No,
52,101012040028,Panel B,1,10101204,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,1,10101204,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,1,10101204,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,1,10101204,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,1,10101204,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,1,10101204,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,1,10101204,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,1,10101204,Chicken eggs,,Yes,2,55,Piece,,Yes,20,Piece,,400,1,2,N05,,10,Piece,,0,,,0,,,No,
50,101012040037,Panel B,1,10101204,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,1,10101204,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,1,10101204,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,1,10101204,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,1,10101204,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
54,101012040041,Panel B,1,10101204,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
54,101012040041,Panel B,1,10101204,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
54,101012040041,Panel B,1,10101204,Chicken eggs,,Yes,3,35,Piece,,Yes,20,Piece,,400,1,2,N05,,10,Kilogram,,0,,,0,,,No,
54,101012040041,Panel B,1,10101204,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
54,101012040041,Panel B,1,10101204,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
54,101012040041,Panel B,1,10101204,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
54,101012040041,Panel B,1,10101204,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
54,101012040041,Panel B,1,10101204,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
48,101012040045,Panel B,1,10101204,Chicken eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
48,101012040045,Panel B,1,10101204,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
48,101012040045,Panel B,1,10101204,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
48,101012040045,Panel B,1,10101204,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
48,101012040045,Panel B,1,10101204,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
48,101012040045,Panel B,1,10101204,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
48,101012040045,Panel B,1,10101204,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
48,101012040045,Panel B,1,10101204,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
36,101012040054,Panel B,1,10101204,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
36,101012040054,Panel B,1,10101204,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
36,101012040054,Panel B,1,10101204,Chicken eggs,,Yes,1,25,Piece,,No,,,,,,,,,0,,,0,,,0,,,No,
36,101012040054,Panel B,1,10101204,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
36,101012040054,Panel B,1,10101204,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
36,101012040054,Panel B,1,10101204,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
36,101012040054,Panel B,1,10101204,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
36,101012040054,Panel B,1,10101204,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
56,101012040058,Panel B,1,10101204,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
56,101012040058,Panel B,1,10101204,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
56,101012040058,Panel B,1,10101204,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
56,101012040058,Panel B,1,10101204,Chicken eggs,,Yes,3,11,Piece,,No,,,,,,,,,15,Piece,,0,,,0,,,No,
56,101012040058,Panel B,1,10101204,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
56,101012040058,Panel B,1,10101204,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
56,101012040058,Panel B,1,10101204,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
56,101012040058,Panel B,1,10101204,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
64,101012040062,Panel B,1,10101204,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
64,101012040062,Panel B,1,10101204,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
64,101012040062,Panel B,1,10101204,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
64,101012040062,Panel B,1,10101204,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
64,101012040062,Panel B,1,10101204,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
64,101012040062,Panel B,1,10101204,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
64,101012040062,Panel B,1,10101204,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
64,101012040062,Panel B,1,10101204,Chicken eggs,,Yes,2,28,Piece,,Yes,30,Piece,,600,1,2,N05,,20,Piece,,0,,,0,,,No,
34,101012040071,Panel B,1,10101204,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
34,101012040071,Panel B,1,10101204,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
34,101012040071,Panel B,1,10101204,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
34,101012040071,Panel B,1,10101204,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
34,101012040071,Panel B,1,10101204,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
34,101012040071,Panel B,1,10101204,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
34,101012040071,Panel B,1,10101204,Chicken eggs,,Yes,8,30,Piece,,No,,,,,,,,,150,Piece,,10,Piece,,0,,,No,
34,101012040071,Panel B,1,10101204,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
58,101012040075,Panel B,1,10101204,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
58,101012040075,Panel B,1,10101204,Chicken eggs,,Yes,3,18,Piece,,Yes,21,Piece,,400,2,,N04,,10,Piece,,0,,,0,,,No,
58,101012040075,Panel B,1,10101204,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
58,101012040075,Panel B,1,10101204,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
58,101012040075,Panel B,1,10101204,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
58,101012040075,Panel B,1,10101204,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
58,101012040075,Panel B,1,10101204,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
58,101012040075,Panel B,1,10101204,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
46,101012040079,Panel B,1,10101204,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
46,101012040079,Panel B,1,10101204,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
46,101012040079,Panel B,1,10101204,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
46,101012040079,Panel B,1,10101204,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
46,101012040079,Panel B,1,10101204,Chicken eggs,,Yes,3,20,Piece,,Yes,30,Piece,,600,2,,N04,,121,Piece,,0,,,0,,,No,
46,101012040079,Panel B,1,10101204,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
46,101012040079,Panel B,1,10101204,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
46,101012040079,Panel B,1,10101204,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
60,101012040087,Panel B,1,10101204,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
60,101012040087,Panel B,1,10101204,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
60,101012040087,Panel B,1,10101204,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
60,101012040087,Panel B,1,10101204,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
60,101012040087,Panel B,1,10101204,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
60,101012040087,Panel B,1,10101204,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
60,101012040087,Panel B,1,10101204,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
60,101012040087,Panel B,1,10101204,Chicken eggs,,Yes,2,20,Piece,,Yes,20,Piece,,400,1,,N04,,3,Piece,,0,,,0,,,No,
21,101012150001,Panel A,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,101012150004,Panel A,1,10101215,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
17,101012150004,Panel A,1,10101215,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
17,101012150004,Panel A,1,10101215,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
17,101012150004,Panel A,1,10101215,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
17,101012150004,Panel A,1,10101215,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
17,101012150004,Panel A,1,10101215,Chicken eggs,,Yes,3,12,Piece,,No,,,,,,,,,20,Piece,,0,,,0,,,No,
17,101012150004,Panel A,1,10101215,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
17,101012150004,Panel A,1,10101215,Cow milk,,Yes,2,90,Litre,,No,,,,,,,,,60,Litre,,120,Litre,,0,,,No,
11,101012150021,Panel A,1,10101215,Other (specify),,No,,,,,,,,,,,,,,,,,,,,,,,,
11,101012150021,Panel A,1,10101215,Cow milk,,No,,,,,,,,,,,,,,,,,,,,,,,,
11,101012150021,Panel A,1,10101215,Honey,,No,,,,,,,,,,,,,,,,,,,,,,,,
11,101012150021,Panel A,1,10101215,Meat,,No,,,,,,,,,,,,,,,,,,,,,,,,
11,101012150021,Panel A,1,10101215,Guinea fowl eggs,,No,,,,,,,,,,,,,,,,,,,,,,,,
11,101012150021,Panel A,1,10101215,Skins and hides,,No,,,,,,,,,,,,,,,,,,,,,,,,
11,101012150021,Panel A,1,10101215,Chicken eggs,,Yes,1,24,Piece,,Yes,2,Piece,,40,1,2,N05,,3,Piece,,0,,,0,,,No,
11,101012150021,Panel A,1,10101215,Manure,,No,,,,,,,,,,,,,,,,,,,,,,,,
