HHID,case_id,visit,ea_id,fs_b01_01,fs_b01_02,fs_b01_03,fs_b01_04,fs_b01_05,fs_b01_06,fs_b01_07,fs_b01_08,fs_b01_09,fs_b01_10,fs_b01_11,fs_b01_12,fs_b02,fs_f06,fs_f07,fs_j06,fs_j07
2257,303055800113,1,30305580,H,H,H,H,H,H,H,H,H,H,H,H,No,No,,,
2278,303076780046,2,30307678,L,L,H,H,H,L,L,L,H,H,H,H,Yes,Yes,Yes,,
2355,304067100177,1,30406710,N,H,H,H,N,N,N,N,N,L,L,H,Yes,Yes,Yes,,
2399,305024560043,1,30502456,H,H,H,L,L,L,L,H,H,H,H,H,Yes,Yes,Yes,,
2454,307086650188,2,30708665,H,H,H,H,L,L,L,L,H,H,H,H,Yes,Yes,Yes,,
2581,307116840099,1,30711684,H,H,L,L,L,H,L,L,L,H,H,H,Yes,Yes,Yes,,
2569,307116840228,1,30711684,H,H,H,L,L,L,L,L,L,H,H,H,Yes,Yes,Yes,,
2623,308016720066,1,30801672,N,N,N,N,H,H,H,H,H,L,L,L,Yes,Yes,Yes,,
2777,310021690162,1,31002169,H,H,H,L,L,L,L,L,L,L,L,L,Yes,Yes,Yes,,
2823,311087030266,1,31108703,H,H,H,H,L,L,L,L,L,L,L,L,Yes,Yes,Yes,,
2827,311087030320,1,31108703,L,L,L,L,L,L,N,N,N,N,N,N,Yes,Yes,Yes,,
2835,311087030327,1,31108703,L,L,L,L,L,L,L,N,N,N,N,N,Yes,Yes,Yes,,
2833,311087030374,1,31108703,N,N,N,N,H,N,H,H,H,H,N,N,Yes,Yes,No,,
2891,312046180102,1,31204618,N,N,L,L,L,L,L,H,H,H,L,L,No,No,,,
2868,314325230046,2,31432523,H,H,H,L,L,N,N,H,H,H,H,H,Yes,Yes,No,,
2940,314386900029,2,31438690,H,H,H,H,H,H,H,H,H,H,H,H,No,No,,,
2958,314391020044,2,31439102,H,H,H,H,H,H,H,H,H,H,H,H,No,No,,,
2978,314391020125,2,31439102,L,L,L,L,L,L,L,L,L,H,L,H,Yes,Yes,Yes,,
2984,314423940024,2,31442394,H,H,H,H,L,L,L,L,L,L,H,H,Yes,Yes,No,,
