occ,ea_id,com_cg35a,com_cg35b,com_cg35c,com_cg36,com_cg37
7,10201688,A,SCHOOL FUNDS FRM UNICEF TO BUY TENT,OTHER GOOD (SPECIFY),2012,ALMOST ALL
8,10201688,B,BOREHOLES BY CADECOM AND UNICEF AND,OTHER GOOD (SPECIFY),2011,ALMOST ALL
9,10201688,C,,,,
10,10201688,D,,,,
1,10202514,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10202514,A,EARTHQUKE,OTHER BAD (SPECIFY),2010,ALMOST ALL
3,10202514,B,FLOODS,FLOOD,2013,1/4
4,10202514,C,DROUGHT,DROUGHT,2012,ALMOST ALL
5,10202514,D,,,,
6,10202514,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10202514,A,FERTILIZER SUBSIDY,OTHER GOOD (SPECIFY),2011,1/4
8,10202514,B,,,,
9,10202514,C,,,,
10,10202514,D,,,,
1,10203176,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10203176,A,LITTLE SUBSIDY PROGRAMME[INSUFICIEN,NEW ROAD,2012,ALMOST ALL
3,10203176,B,LIVESTOCK DISEASES,LIVESTOCK DISEASE,2010,ALMOST ALL
4,10203176,C,HUNGER STRIKE,OTHER BAD (SPECIFY),2010,ALMOST ALL
5,10203176,D,SHARP CHANGE IN PRICES,DROUGHT,2012,ALMOST ALL
6,10203176,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10203176,A,NEW ROAD,NEW ROAD,2012,ALMOST ALL
8,10203176,B,ON-GRID,ON-GRID ELECTRICITY,2010,ALMOST ALL
9,10203176,C,NEW SCHOL BLOCKS,NEW SCHOOL,2011,ALMOST ALL
10,10203176,D,NEW SECONDARY SCHOOL PROPOSAL,OTHER BAD (SPECIFY),2012,ALMOST ALL
1,10203744,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10203744,A,SHARP CHANGE IN PRICE,DROUGHT,2010,ALMOST ALL
3,10203744,B,EARTHQUAKE,OTHER BAD (SPECIFY),2010,1/4
4,10203744,C,STORM (MILL WIND),OTHER BAD (SPECIFY),2010,1/2
5,10203744,D,CHIGODOLA(SWINE FEVER)CHICKEN POX,OTHER BAD (SPECIFY),2010,1/4
6,10203744,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10203744,A,IRRIGATION SYSTEMS,OTHER GOOD (SPECIFY),2012,1/4
8,10203744,B,ANIMAL OR LIVESTOCK DISTRIBUTION,OTHER GOOD (SPECIFY),2013,1/4
9,10203744,C,CREDITS /LOANS,OTHER GOOD (SPECIFY),2012,1/4
10,10203744,D,INTRODUCTION OF NEW VARIETY(CROPS),OTHER GOOD (SPECIFY),2012,ALMOST ALL
1,10204322,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10204322,A,DROUGHT,DROUGHT,2011,ALMOST ALL
3,10204322,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2013,ALMOST ALL
4,10204322,C,OFF GRID ELECTRICITY,OFF-GRID ELECTRICITY,2011,ALMOST ALL
5,10204322,D,HUMAN EPIDEMIC DISEASE,HUMAN EPIDEMIC DISEASE,2012,1/2
6,10204322,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10204322,A,MASAF PROGRAMME,OTHER GOOD (SPECIFY),2010,ALMOST ALL
8,10204322,B,HEALTHY CENTRE,OTHER GOOD (SPECIFY),2010,ALMOST ALL
9,10204322,C,COMMUNITY DAY SECONDARY SCHOOL BLOC,OTHER GOOD (SPECIFY),2010,ALMOST ALL
10,10204322,D,,,,
1,10204586,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10204586,A,SHORTAGE OF FERTILIZER,OTHER BAD (SPECIFY),2012,ALMOST ALL
3,10204586,B,DROUGHT,DROUGHT,2013,ALMOST ALL
4,10204586,C,STRONG WIND,OTHER BAD (SPECIFY),2013,ALMOST ALL
5,10204586,D,,,,
6,10204586,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10204586,A,,,,
8,10204586,B,,,,
9,10204586,C,,,,
10,10204586,D,,,,
1,10220103,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10220103,A,DROUGHT,DROUGHT,2010,ALMOST ALL
3,10220103,B,EARTHQUAKE,OTHER BAD (SPECIFY),2010,1/4
4,10220103,C,LIVESTOCK DISEASE,CROP DISEASE/PESTS,2011,1/2
5,10220103,D,SHARP CHANGE OF PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
6,10220103,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10220103,A,MASAF PROGRAMME/NEW ROAD,NEW ROAD,2011,ALMOST ALL
8,10220103,B,,,,
9,10220103,C,,,,
10,10220103,D,,,,
1,10220705,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10220705,A,FLOODS,FLOOD,2011,1/2
3,10220705,B,EARTHQUAKE,OTHER BAD (SPECIFY),2009,ALMOST ALL
4,10220705,C,STRONGWIND,OTHER BAD (SPECIFY),2010,ALMOST ALL
5,10220705,D,DROUGHT,DROUGHT,2011,ALMOST ALL
6,10220705,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10220705,A,FERTILIZER SUBSIDY,OTHER GOOD (SPECIFY),2013,1/4
8,10220705,B,,,,
9,10220705,C,,,,
10,10220705,D,,,,
1,10301663,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10301663,A,DROUGHT,DROUGHT,2010,3/4
3,10301663,B,LOW WAGES AT THE ESTATE,OTHER BAD (SPECIFY),2011,3/4
4,10301663,C,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
5,10301663,D,SHORTAGE OF COUPONS,OTHER BAD (SPECIFY),2012,1/4
6,10301663,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10301663,A,MASAF PROJECT,DEVELOPMENT PROJECT,2012,3/4
8,10301663,B,ESTATE CLINIC,NEW HEALTH FACILITY,2010,ALMOST ALL
9,10301663,C,IRRIGATION PROGRAME,OTHER GOOD (SPECIFY),2012,ALMOST ALL
10,10301663,D,,,,
1,10302010,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10302010,A,DROUGHT,DROUGHT,2013,1/2
3,10302010,B,FLOODS,FLOOD,2010,1/4
4,10302010,C,EPIDEMIC DISEASE,HUMAN EPIDEMIC DISEASE,2011,1/4
5,10302010,D,SHORTAGE OF BOLEHOLES,OTHER BAD (SPECIFY),2010,ALMOST ALL
6,10302010,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10302010,A,DISTRIBUTION OF MOSQUITO NETS BY TH,OTHER GOOD (SPECIFY),2013,ALMOST ALL
8,10302010,B,MASAF PROJECT,NEW ROAD,2013,ALMOST ALL
9,10302010,C,FERTILIZER SUBSIDY,OTHER GOOD (SPECIFY),2010,1/4
10,10302010,D,,,,
1,10304012,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10304012,A,SHARP INCREASE IN PRICE,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,10304012,B,,,,
4,10304012,C,,,,
5,10304012,D,,,,
6,10304012,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10304012,A,AGRICULTURE DEVELOPMENT PROJECT,DEVELOPMENT PROJECT,2010,1/4
8,10304012,B,PRESIDENTIAL INICIATIVE,OTHER GOOD (SPECIFY),2012,1/4
9,10304012,C,,,,
10,10304012,D,,,,
1,10305446,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10305446,A,DROUGHT,DROUGHT,2011,1/4
3,10305446,B,HIV EPIDEMIC,HUMAN EPIDEMIC DISEASE,2010,1/4
4,10305446,C,EARTHQUAKE,OTHER BAD (SPECIFY),2011,3/4
5,10305446,D,,,,
6,10305446,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10305446,A,FERTILIZER SUBSIDY,OTHER GOOD (SPECIFY),2009,1/2
8,10305446,B,DISTRIBUTION OF MOSQUITO NET BY THE,OTHER GOOD (SPECIFY),2012,3/4
9,10305446,C,MASAF PROJECT,DEVELOPMENT PROJECT,2013,1/2
10,10305446,D,,,,
1,10307413,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10307413,A,FLOODS,FLOOD,2011,1/4
3,10307413,B,SHORTAGE OF COUPONS,OTHER BAD (SPECIFY),2010,1/2
4,10307413,C,SHORTAGE OF BOLEHOLES,OTHER BAD (SPECIFY),2011,ALMOST ALL
5,10307413,D,,,,
6,10307413,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10307413,A,MASAF PROJECT,OTHER GOOD (SPECIFY),2013,1/2
8,10307413,B,IMPROVED TRANSPORTATION SERVICES,IMPROVED TRANSPORTATION,2012,ALMOST ALL
9,10307413,C,,,,
10,10307413,D,,,,
1,10308636,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10308636,A,DROUGHT,DROUGHT,2013,ALMOST ALL
3,10308636,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
4,10308636,C,,,,
5,10308636,D,,,,
6,10308636,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10308636,A,MASAF PROJECT,OTHER GOOD (SPECIFY),2013,1/2
8,10308636,B,FERTILIZER SUBSIDY,OTHER GOOD (SPECIFY),2010,1/2
9,10308636,C,,,,
10,10308636,D,,,,
1,10401140,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10401140,A,LIVESTOCK DISEASE,LIVESTOCK DISEASE,2012,ALMOST ALL
3,10401140,B,DROUGHT,DROUGHT,2012,ALMOST ALL
4,10401140,C,,,,
5,10401140,D,,,,
6,10401140,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10401140,A,NEW TARMAC ROAD,DEVELOPMENT PROJECT,2013,ALMOST ALL
8,10401140,B,,,,
9,10401140,C,,,,
10,10401140,D,,,,
1,10401502,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10401502,A,DROUGHT,DROUGHT,2013,ALMOST ALL
3,10401502,B,,,,
4,10401502,C,,,,
5,10401502,D,,,,
6,10401502,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10401502,A,,,,
8,10401502,B,,,,
9,10401502,C,,,,
10,10401502,D,,,,
1,10401522,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10401522,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,10401522,B,,,,
4,10401522,C,,,,
5,10401522,D,,,,
6,10401522,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10401522,A,,,,
8,10401522,B,,,,
9,10401522,C,,,,
10,10401522,D,,,,
1,10404186,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10404186,A,DROUGHT,DROUGHT,2010,ALMOST ALL
3,10404186,B,FLOOD,FLOOD,2010,ALMOST ALL
4,10404186,C,CROP DISEASE/PEST,CROP DISEASE/PESTS,2010,ALMOST ALL
5,10404186,D,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2011,ALMOST ALL
6,10404186,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10404186,A,UNDER FIVE CLINIC,OTHER GOOD (SPECIFY),2010,ALMOST ALL
8,10404186,B,,,,
9,10404186,C,,,,
10,10404186,D,,,,
1,10405213,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10405213,A,LIVESTOCK DISEASE,LIVESTOCK DISEASE,2011,ALMOST ALL
3,10405213,B,INCREASE IN INPUTS PRICES,SHARP CHANGE IN PRICES,2011,ALMOST ALL
4,10405213,C,,,,
5,10405213,D,,,,
6,10405213,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10405213,A,AVAILABILITY OF MEDICINE AT H CENTR,OTHER GOOD (SPECIFY),2012,ALMOST ALL
8,10405213,B,,,,
9,10405213,C,,,,
10,10405213,D,,,,
1,10501505,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10501505,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,10501505,B,,,,
4,10501505,C,,,,
5,10501505,D,,,,
6,10501505,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10501505,A,MASAF,DEVELOPMENT PROJECT,2012,1/4
8,10501505,B,,,,
9,10501505,C,,,,
10,10501505,D,,,,
1,10501709,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10501709,A,LIVE STOCK DISEASE,LIVESTOCK DISEASE,2012,ALMOST ALL
3,10501709,B,STORM,OTHER BAD (SPECIFY),2013,ALMOST ALL
4,10501709,C,,,,
5,10501709,D,,,,
6,10501709,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10501709,A,MASAF,NEW EMPLOYMENT OPPORTUNITIES,2013,1/4
8,10501709,B,,,,
9,10501709,C,,,,
10,10501709,D,,,,
1,10502268,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10502268,A,LIVESTOCK DISEASE,LIVESTOCK DISEASE,2012,ALMOST ALL
3,10502268,B,DROGHT,DROUGHT,2012,ALMOST ALL
4,10502268,C,SHARP CHANGE OF CROP PRICES,SHARP CHANGE IN PRICES,2012,ALMOST ALL
5,10502268,D,SELL OF EXPINED DISEASE AND PEST CO,OTHER BAD (SPECIFY),2011,ALMOST ALL
6,10502268,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10502268,A,,,,
8,10502268,B,,,,
9,10502268,C,,,,
10,10502268,D,,,,
1,10502593,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10502593,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,10502593,B,,,,
4,10502593,C,,,,
5,10502593,D,,,,
6,10502593,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10502593,A,,,,
8,10502593,B,,,,
9,10502593,C,,,,
10,10502593,D,,,,
1,10503367,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10503367,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,10503367,B,ROBBERY,OTHER BAD (SPECIFY),2012,1/4
4,10503367,C,,,,
5,10503367,D,,,,
6,10503367,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10503367,A,NEW SCHOOL BLOCK,DEVELOPMENT PROJECT,2011,ALMOST ALL
8,10503367,B,NEW EMPLOYMENT(GANYU),NEW EMPLOYMENT OPPORTUNITIES,2011,1/2
9,10503367,C,,,,
10,10503367,D,,,,
1,10505136,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10505136,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,10505136,B,,,,
4,10505136,C,,,,
5,10505136,D,,,,
6,10505136,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10505136,A,MASAF PROJECT,NEW EMPLOYMENT OPPORTUNITIES,2012,1/4
8,10505136,B,,,,
9,10505136,C,,,,
10,10505136,D,,,,
1,10505310,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10505310,A,LIVESTOCK DISEASE,LIVESTOCK DISEASE,2012,ALMOST ALL
3,10505310,B,DROUGHT,DROUGHT,2012,ALMOST ALL
4,10505310,C,,,,
5,10505310,D,,,,
6,10505310,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10505310,A,INPUTS LOAN AVALABILITY,OTHER GOOD (SPECIFY),2012,1/4
8,10505310,B,NEWE SCHOOL BLOCK,DEVELOPMENT PROJECT,2011,ALMOST ALL
9,10505310,C,,,,
10,10505310,D,,,,
1,10505508,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10505508,A,DROUGHT,DROUGHT,2011,ALMOST ALL
3,10505508,B,LIVESTOCK DISEASE,LIVESTOCK DISEASE,2012,ALMOST ALL
4,10505508,C,,,,
5,10505508,D,,,,
6,10505508,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10505508,A,,,,
8,10505508,B,,,,
9,10505508,C,,,,
10,10505508,D,,,,
1,10507175,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10507175,A,DROUGHT,DROUGHT,2013,ALMOST ALL
3,10507175,B,,,,
4,10507175,C,,,,
5,10507175,D,,,,
6,10507175,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10507175,A,,,,
8,10507175,B,,,,
9,10507175,C,,,,
10,10507175,D,,,,
1,10507344,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10507344,A,DROUGHT,DROUGHT,2013,ALMOST ALL
3,10507344,B,,,,
4,10507344,C,,,,
5,10507344,D,,,,
6,10507344,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10507344,A,MASAF PROJECT,NEW EMPLOYMENT OPPORTUNITIES,2013,1/4
8,10507344,B,,,,
9,10507344,C,,,,
10,10507344,D,,,,
1,10509319,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10509319,A,DROUGHT,DROUGHT,2012,ALMOST ALL
3,10509319,B,,,,
4,10509319,C,,,,
5,10509319,D,,,,
6,10509319,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10509319,A,MASAF PROJECT,NEW EMPLOYMENT OPPORTUNITIES,2012,1/4
8,10509319,B,,,,
9,10509319,C,,,,
10,10509319,D,,,,
1,10510388,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10510388,A,LIVESTOCK DISEASE,LIVESTOCK DISEASE,2011,ALMOST ALL
3,10510388,B,HIGH COST OF FARM INPUTS,OTHER BAD (SPECIFY),2013,ALMOST ALL
4,10510388,C,,,,
5,10510388,D,,,,
6,10510388,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10510388,A,AVAILABILITY OF SMALL LOANS,OTHER GOOD (SPECIFY),2012,1/2
8,10510388,B,,,,
9,10510388,C,,,,
10,10510388,D,,,,
1,10732192,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10732192,A,DROUGHT,DROUGHT,2013,ALMOST ALL
3,10732192,B,,,,
4,10732192,C,,,,
5,10732192,D,,,,
6,10732192,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10732192,A,MASAF PROJECT,NEW EMPLOYMENT OPPORTUNITIES,2012,1/4
8,10732192,B,,,,
9,10732192,C,,,,
10,10732192,D,,,,
1,10733640,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10733640,A,THIEVES,OTHER BAD (SPECIFY),2012,3/4
3,10733640,B,,,,
4,10733640,C,,,,
5,10733640,D,,,,
6,10733640,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10733640,A,,,,
8,10733640,B,,,,
9,10733640,C,,,,
10,10733640,D,,,,
1,10734370,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10734370,A,DROUGHT,DROUGHT,2012,3/4
3,10734370,B,LACK OF STREET LIGHTS,OTHER BAD (SPECIFY),2010,ALMOST ALL
4,10734370,C,,,,
5,10734370,D,,,,
6,10734370,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10734370,A,MASAF PROJECT,DEVELOPMENT PROJECT,2013,1/2
8,10734370,B,FUEL AVAILABILITY IN MZUZU CITY,IMPROVED TRANSPORTATION,2012,ALMOST ALL
9,10734370,C,,,,
10,10734370,D,,,,
1,10734762,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10734762,A,,,,
3,10734762,B,,,,
4,10734762,C,,,,
5,10734762,D,,,,
6,10734762,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10734762,A,MASAF PROJECT,DEVELOPMENT PROJECT,2012,1/4
8,10734762,B,,,,
9,10734762,C,,,,
10,10734762,D,,,,
1,10735173,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10735173,A,INCREASED PRICES OF ESSENTIAL GOODS,SHARP CHANGE IN PRICES,2012,ALMOST ALL
3,10735173,B,AT TIMES AVAILABILITY OF SAFE,OTHER BAD (SPECIFY),2011,3/4
4,10735173,C,POOR FEEDER ROADS,LOSS OF KEY SOCIAL SERVICE (S),2011,ALMOST ALL
5,10735173,D,POOR DRAINAGE SYSTEM,OTHER BAD (SPECIFY),2010,ALMOST ALL
6,10735173,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10735173,A,BETTER TOBACCO PRICES AT LUWINGA,OTHER GOOD (SPECIFY),2013,3/4
8,10735173,B,,,,
9,10735173,C,,,,
10,10735173,D,,,,
1,10736596,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10736596,A,DROUGHT,NEW EMPLOYMENT OPPORTUNITIES,2011,1/4
3,10736596,B,SHARP CHANGE IN PRICES,SHARP CHANGE IN PRICES,2011,ALMOST ALL
4,10736596,C,,,,
5,10736596,D,,,,
6,10736596,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10736596,A,DISTRIBTIONS OF MOSQUITONET BY GVT,OTHER GOOD (SPECIFY),2012,3/4
8,10736596,B,FERTILIZER SUBSIDY,OTHER GOOD (SPECIFY),2010,1/2
9,10736596,C,MASAF PROJECT,OTHER GOOD (SPECIFY),2011,1/2
10,10736596,D,,,,
1,10741504,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10741504,A,DROUGHT,DROUGHT,2012,1/2
3,10741504,B,POOR ROAD NETWORK WITHIN KATAWA LOC,LOSS OF KEY SOCIAL SERVICE (S),2010,ALMOST ALL
4,10741504,C,,,,
5,10741504,D,,,,
6,10741504,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10741504,A,MASAF PROJECT,IMPROVED TRANSPORTATION,2013,3/4
8,10741504,B,,,,
9,10741504,C,,,,
10,10741504,D,,,,
1,10744649,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10744649,A,DROUGHT,DROUGHT,2011,1/2
3,10744649,B,,,,
4,10744649,C,,,,
5,10744649,D,,,,
6,10744649,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
7,10744649,A,FERTILIZER SUBSIDY,OTHER GOOD (SPECIFY),2010,1/2
8,10744649,B,MASAF PROJECT,OTHER GOOD (SPECIFY),2013,1/2
9,10744649,C,DISTRUBUTION OF MQ NETS BY THE GVT,OTHER GOOD (SPECIFY),2013,ALMOST ALL
10,10744649,D,,,,
1,10746033,,EVENTS THAT MADE PEOPLE WORSE OFF,,,
2,10746033,A,BUYING POWER AMONGST PP GONE DOWN,OTHER BAD (SPECIFY),2012,3/4
3,10746033,B,BUILDING LAND SCARCE,OTHER BAD (SPECIFY),2010,1/2
4,10746033,C,COMMODITIES VERY EXPENSIVE IE FERTI,SHARP CHANGE IN PRICES,2012,3/4
5,10746033,D,,,,
6,10746033,,EVENTS THAT MADE PEOPLE BETTER OFF,,,
