occ,y2_hhid,qx_type,interview_status,hh_n09a,hh_n09b,hh_n09c,hh_n10a,hh_n10b,hh_n11,hh_n12a,hh_n12b,hh_n13a,hh_n13b,hh_n14,hh_n15a,hh_n15b,hh_n16a,hh_n16b,hh_n17,hh_n18,hh_n19,hh_n20a,hh_n20b,hh_n21a,hh_n21b,hh_n21c,hh_n22,hh_n23,hh_n24,hh_n25a,hh_n25b,hh_n25c,hh_n25d,hh_n25e,hh_n25f,hh_n25g,hh_n25h,hh_n25i,hh_n25j,hh_n25k,hh_n25l,hh_n25m,hh_n25n,hh_n25o,hh_n25p,hh_n25q,hh_n25r,hh_n25s,hh_n26a,hh_n26b,hh_n27,hh_n28,hh_n29a,hh_n29b,hh_n30a1,hh_n30a2,hh_n30a3,hh_n30a4,hh_n30b1,hh_n30b2,hh_n30b3,hh_n30b4,hh_n30c1,hh_n30c2,hh_n30c3,hh_n30c4,hh_n30d1,hh_n30d2,hh_n30d3,hh_n30d4,hh_n31a1,hh_n31a2,hh_n31a3,hh_n31a4,hh_n31b1,hh_n31b2,hh_n31b3,hh_n31b4,hh_n31c1,hh_n31c2,hh_n31c3,hh_n31c4,hh_n32,hh_n33,hh_n34,hh_n35,hh_n36,hh_n37,hh_n38,hh_n39,hh_n40,hh_n41a,hh_n41b,hh_n41c,hh_n41d,hh_n41e,hh_n41f,hh_n41g,hh_n41h
1,0011-004,PANEL A,Panel A - Combined Visit,1,SHOE REPAIR,95,1,,1,1,,0,0,,4,2013,OTHER (SPECIFY),,ROADSIDE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,,,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,LOW,AVERAGE,LOW,HIGH,LOW,,,NOT PROFITABLE,,YES,,,,1,12,360,5,,,,,,,,,,,,,0,,,,0,,,,0,,,,2500,LOW SALES,3400,3700,,,,,1500,1000,0,0,0,0,0,0,0
1,0012-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0012-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0012-010,PANEL B,Panel B - 2 Visits,1,BARBER SHOP,95,1,,1,1,,0,0,,9,2012,OWN-SAVINGS FROM NON-AGRICULTURE,,TRADITIONAL MARKET PLACE,,,FINAL CONSUMERS,,NO,NO,YES,NO,NO,,,,,,,,,LOW,AVERAGE,AVERAGE,AVERAGE,LOW,AVERAGE,HIGH,LOW,AVERAGE,AVERAGE,AVERAGE,AVERAGE,,,YES,,,,1,30,2400,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,10000,AVERAGE SALES,,,5000,15000,,,3000,0,0,0,2000,3000,0,0,2000
1,0013-001,PANEL A,Panel A - 2 Visits,1,BUYING AND SELLING COOKIN,62,1,2,2,1,2,0,0,,8,2012,OWN-SAVINGS FROM AGRICULTURE,OWN-SAVINGS FROM NON-AGRICULTURE,MOBILE,,,FINAL CONSUMERS,EXPORT,NO,NO,NO,NO,NO,,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,AVERAGE,AVERAGE,AVERAGE,HIGH,LOW,LOW,LOW,,,,,,,,,,YES,,,,1,18,1080,12,2,12,360,12,,,,,,,,,5,6,30,6000,0,,,,0,,,6000,48000,LOW SALES,60000,70000,,,,,20000,2000,18000,7000,0,0,0,0,1000
1,0014-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0015-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0016-001,PANEL B,Panel B - 2 Visits,1,SELLING CHIPS,63,1,,1,1,,0,0,,4,2012,OWN-SAVINGS FROM AGRICULTURE,,TRADITIONAL MARKET PLACE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,,,,LOW,LOW,LOW,AVERAGE,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,,LACK OF CASH,,NO,YES,,,1,25,1750,10,,,,,,,,,,,,,0,,,,0,,,,0,,,,10800,HIGH SALES,,,,,2000,6500,4800,1000,2000,1500,1500,0,0,0,0
1,0016-002,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0017-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0018-001,PANEL B,Panel B - 2 Visits,1,SELLING RIPEN BANANA,62,2,,1,2,,0,0,,4,2010,OWN-SAVINGS FROM AGRICULTURE,,TRADITIONAL MARKET PLACE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,,,,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,LOW,HIGH,HIGH,AVERAGE,AVERAGE,AVERAGE,LOW,LOW,LOW,HIGH,,OWN-ILLNESS/NEED TO CARE FOR HOUSEHOLD MEMBERS,,YES,,,,2,17,1060,10,,,,,,,,,,,,,0,,,,0,,,,0,,,,2000,HIGH SALES,,,,,800,1500,1200,0,800,0,0,0,0,0,0
1,0019-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0020-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0021-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0022-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0023-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0024-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0025-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0026-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0027-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0028-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0029-001,PANEL A,Panel A - 2 Visits,1,GROCERY/SHOP,62,1,2,1,1,,0,0,,6,2007,OWN-SAVINGS FROM NON-AGRICULTURE,,HOME (OUTSIDE RESIDENCE),,,FINAL CONSUMERS,,NO,NO,YES,NO,NO,,,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,AVERAGE,,,,,,,,,YES,,,,1,30,330,12,2,25,120,12,,,,,,,,,0,,,,0,,,,0,,,,35600,AVERAGE SALES,,,17000,60000,,,7250,0,27850,1000,0,0,0,0,0
1,0030-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0031-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0032-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0033-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0034-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0035-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0036-001,PANEL B,Panel B - 2 Visits,1,BUYING AND SELLING TOMATO,62,2,,1,2,,0,0,,12,2011,OWN-SAVINGS FROM AGRICULTURE,OWN-SAVINGS FROM NON-AGRICULTURE,TRADITIONAL MARKET PLACE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,,LOW,LOW,LOW,AVERAGE,HIGH,NONE:NOT IN OPERATION,HIGH,HIGH,HIGH,AVERAGE,AVERAGE,AVERAGE,,,,LACK OF CASH,,YES,,,,2,16,1280,11,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,,14600,AVERAGE SALES,,,9000,18500,,,5500,400,5000,3000,0,0,0,0,600
1,0037-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0038-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0039-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0040-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0041-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0042-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0043-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0044-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0045-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0046-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0047-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0048-001,PANEL B,Panel B - 2 Visits,1,SELLING THATCH GRASS,62,2,,1,1,,0,0,,9,2010,OTHER (SPECIFY),,HOME (INSIDE RESIDENCE),,,FINAL CONSUMERS,,NO,NO,NO,NO,YES,FOREST/WILD PARK RESERVE,,,,,LOW,AVERAGE,HIGH,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,,,,SEASONAL WORK,,NO,YES,,,2,23,780,3,,,,,,,,,,,,,0,,,,0,,,,0,,,,3000,HIGH SALES,,,,,800,2000,2600,400,0,0,0,0,0,0,0
1,0049-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0050-001,PANEL B,Panel B - 2 Visits,1,BAKING MANDAZI,31,2,,1,2,,0,0,,12,2012,OWN-SAVINGS FROM AGRICULTURE,,TRADITIONAL MARKET PLACE,,,FINAL CONSUMERS,OTHER SMALL BUSINESSES,NO,NO,NO,NO,NO,,,,,,LOW,LOW,LOW,AVERAGE,HIGH,HIGH,LOW,LOW,LOW,AVERAGE,AVERAGE,AVERAGE,,,,,,YES,,,,2,8,560,12,3,4,180,4,,,,,,,,,0,,,,0,,,,0,,,,1800,AVERAGE SALES,,,800,2700,,,900,200,400,0,300,0,0,0,0
1,0051-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0052-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0053-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0054-001,PANEL B,Panel B - 2 Visits,1,SELLING THATCH GLASS,62,2,,1,2,,0,0,,8,2004,OTHER (SPECIFY),,HOME (INSIDE RESIDENCE),,,FINAL CONSUMERS,,NO,NO,NO,NO,YES,OWN LAND,,,,,NONE:NOT IN OPERATION,LOW,AVERAGE,AVERAGE,HIGH,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,,,,SEASONAL WORK,,NO,YES,,,2,14,560,4,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,,3000,HIGH SALES,,,,,1000,2600,3000,0,0,0,0,0,0,0,0
1,0054-003,PANEL B,Panel B - 2 Visits,1,CLOTHES SELLER,62,2,,2,1,2,0,0,,2,2012,OWN-SAVINGS FROM NON-AGRICULTURE,,COMMERCIAL AREA SHOP,NO,,FINAL CONSUMERS,,NO,NO,YES,NO,NO,,,,,,,LOW,AVERAGE,HIGH,HIGH,LOW,LOW,AVERAGE,HIGH,HIGH,LOW,LOW,LOW,,,,,YES,,,,2,20,90,12,3,7,40,2,4,10,20,4,,,,,0,,,,0,,,,0,,,,165000,LOW SALES,80000,110000,,,,,25000,0,70000,24000,0,0,0,25000,15000
1,0055-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0056-001,PANEL B,Panel B - 2 Visits,1,TOMATO SELLER,62,2,,2,2,,0,0,,10,2012,OWN-SAVINGS FROM AGRICULTURE,,HOME (OUTSIDE RESIDENCE),,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,,,,,LOW,LOW,AVERAGE,AVERAGE,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,LOW,LOW,AVERAGE,AVERAGE,,,,SEASONAL WORK,,YES,,,,2,10,40,8,,,,,,,,,,,,,0,,,,0,,,,0,,,,8000,AVERAGE SALES,,,2000,3200,,,1500,300,1300,800,0,0,0,0,300
1,0057-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0058-001,PANEL B,Panel B - 2 Visits,1,SELLING EGGS,62,1,,2,1,2,0,0,,6,2011,OWN-SAVINGS FROM AGRICULTURE,,TRADITIONAL MARKET PLACE,,,FINAL CONSUMERS,,NO,NO,YES,YES,NO,,,,,,HIGH,HIGH,HIGH,AVERAGE,AVERAGE,LOW,LOW,LOW,AVERAGE,HIGH,HIGH,HIGH,,,,,,YES,,,,1,2,200,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,,45000,HIGH SALES,,,,,11000,19500,22000,0,20000,3000,0,0,0,0,0
1,0059-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0060-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0061-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0062-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0063-001,PANEL A,Panel A - 2 Visits,1,BUYING AND SELLING TOMATO,62,2,,1,2,,0,0,,10,2011,OWN-SAVINGS FROM AGRICULTURE,,ROADSIDE,,,FINAL CONSUMERS,,NO,NO,NO,NO,NO,,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,LOW,HIGH,AVERAGE,AVERAGE,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,,,,,,,,NOT PROFITABLE,,NO,YES,,,2,4,160,4,,,,,,,,,,,,,0,,,,0,,,,0,,,,3500,AVERAGE SALES,,,2000,4000,,,2000,500,1000,500,0,0,0,0,0
1,0064-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0065-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0066-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0067-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0068-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0069-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0070-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
