occ,ea_id,com_cf01,com_cf02,com_cf03,com_cf03_1,com_cf03_2,com_cf07,com_cf08a,com_cf08b,com_cf09,com_cf10,com_cf11,com_cf12,com_cf13,com_cf17a,com_cf17b,com_cf17c,com_cf18a,com_cf18b,com_cf19a,com_cf19b,com_cf20a,com_cf20b,com_cf21,com_cf22,com_cf23,com_cf24,com_cf25,com_cf26,com_cf27
1,10304012,YES,1ST HALF NOV,2ND HALF MAY,NONE,"ANIMAL GRAZE FREELY,BUT FARMERS MAY FENCE",YES,,,YES,27,2,2,NO,NO,NO,NO,1,HECTARE,1,HECTARE,3,HECTARE,91,6,11,30,9,24,11
1,10305446,YES,1ST HALF DEC,1ST HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,6,KM,NO,,0,0,NO,NO,NO,NO,5,HECTARE,2,HECTARE,8,HECTARE,580,0,0,0,10,0,580
1,10307413,YES,2ND HALF NOV,1ST HALF APR,NONE,ANIMALS GRAZE FREELY BUT FARMERS MAY ONLY FENCE PARENTAL CROPLAND,YES,,,NO,,0,0,YES,NO,NO,NO,1,ACRE,5,ACRE,3,ACRE,102,3,3,0,10,20,102
1,10308636,YES,1ST HALF DEC,2ND HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,YES,0,0,0,NO,NO,NO,NO,3,ACRE,5,ACRE,7,ACRE,400,0,0,0,0,3,400
1,10401140,YES,1ST HALF DEC,2ND HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,3,3,NO,YES,YES,YES,1,ACRE,1,ACRE,1,ACRE,400,50,50,0,50,5,100
1,10401502,YES,1ST HALF DEC,2ND HALF MAY,<=1/2,"ANIMAL GRAZE FREELY,NO FENCING",NO,2,KM,NO,,0,0,NO,"YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED",3,ACRE,2,ACRE,8,ACRE,130,0,0,0,0,0,60
1,10401522,YES,2ND HALF NOV,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,10,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,2,ACRE,5,ACRE,600,0,0,0,0,0,30
1,10404186,YES,1ST HALF DEC,2ND HALF MAR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,2,KM,NO,,1,1,NO,NO,NO,NO,1,ACRE,1,ACRE,3,ACRE,120,0,112,0,0,0,8
1,10405213,YES,1ST HALF DEC,2ND HALF JUN,<=ALL,ANIMALS ONLY GRAZE ON OWNER`S FIELDS (NO OPEN GRAZING),NO,5,KM,NO,,0,0,NO,NO,NO,NO,5,ACRE,3,ACRE,10,ACRE,221,5,3,0,210,2,180
1,10501505,YES,2ND HALF NOV,2ND HALF MAY,<=ALL,ANIMALS ONLY GRAZE ON OWNER`S FIELDS (NO OPEN GRAZING),NO,5,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,3,ACRE,6,ACRE,700,15,2,4,8,6,34
1,10501709,YES,2ND HALF NOV,1ST HALF JUN,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,4,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,1,ACRE,1,HECTARE,1,1040,0,50,0,0,1040
1,10502268,YES,1ST HALF DEC,2ND HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,4,KM,NO,,0,0,NO,NO,NO,NO,4,ACRE,2,ACRE,7,ACRE,2,0,0,0,0,1,20
1,10502593,YES,1ST HALF DEC,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,10,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,6,ACRE,70,0,0,0,4,2,50
1,10503367,YES,1ST HALF DEC,2ND HALF JUN,<=1/2,"ANIMAL GRAZE FREELY,BUT FARMERS MAY FENCE",NO,5,KM,NO,,0,0,NO,NO,NO,NO,3,ACRE,2,ACRE,5,ACRE,99,3,2,10,20,0,99
1,10505136,YES,2ND HALF NOV,2ND HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,12,KM,NO,,0,0,NO,NO,NO,NO,1,HECTARE,2,ACRE,3,ACRE,300,0,0,0,0,0,50
1,10505310,YES,2ND HALF NOV,2ND HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,8,KM,NO,,0,0,NO,YES,YES,YES,4,HECTARE,6,HECTARE,12,ACRE,100,0,0,0,5,0,90
1,10505508,YES,2ND HALF NOV,2ND HALF MAY,<=1/4,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,0,0,YES,NO,NO,NO,2,ACRE,1,ACRE,5,ACRE,99,0,0,2,6,0,60
1,10507175,YES,1ST HALF DEC,2ND HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,8,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,5,ACRE,9,ACRE,175,0,0,0,0,10,170
1,10507344,YES,2ND HALF NOV,2ND HALF JUN,<=ALL,"ANIMAL GRAZE FREELY,NO FENCING",NO,5,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,5,ACRE,147,0,0,0,16,0,22
1,10509319,YES,2ND HALF NOV,2ND HALF MAY,<=ALL,ANIMALS ONLY GRAZE ON OWNER`S FIELDS (NO OPEN GRAZING),NO,10,KM,NO,,0,0,NO,"YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED",2,ACRE,1,ACRE,6,ACRE,300,10,2,0,1,3,0
1,10510388,YES,1ST HALF DEC,2ND HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,5,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,2,ACRE,4,ACRE,50,0,0,0,0,0,15
1,10732192,YES,2ND HALF NOV,2ND HALF MAY,NONE,ANIMALS ONLY GRAZE ON OWNER`S FIELDS (NO OPEN GRAZING),NO,5,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,1,ACRE,1,ACRE,170,0,0,0,0,0,0
1,10733640,YES,2ND HALF DEC,1ST HALF JUN,NONE,ANIMALS GRAZE FREELY BUT FARMERS MAY ONLY FENCE PARENTAL CROPLAND,NO,5,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,4,ACRE,650,0,0,0,0,0,60
1,10734370,YES,2ND HALF DEC,1ST HALF JUN,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,7,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,1,ACRE,1,ACRE,1000,0,0,0,0,0,600
1,10734762,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10735173,YES,2ND HALF NOV,2ND HALF MAY,NONE,ANIMALS ONLY GRAZE ON OWNER`S FIELDS (NO OPEN GRAZING),YES,,,NO,,0,0,NO,NO,NO,NO,0,ACRE,0,ACRE,1,ACRE,1300,17,2,20,10,0,30
1,10736596,YES,1ST HALF DEC,2ND HALF MAY,NONE,"ANIMAL GRAZE FREELY,BUT FARMERS MAY FENCE",YES,,,NO,,0,0,NO,NO,NO,NO,1,ACRE,1,ACRE,1,ACRE,700,0,0,0,200,0,500
1,10741504,YES,2ND HALF DEC,2ND HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,6,KM,YES,50,0,0,NO,NO,NO,NO,100,SQ METER,75,SQ METER,150,SQ METER,720,0,0,30,12,2,40
1,10744649,YES,2ND HALF NOV,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,10,KM,NO,,0,0,NO,NO,NO,NO,3,ACRE,2,ACRE,5,ACRE,400,0,0,0,0,20,200
1,10746033,YES,1ST HALF NOV,1ST HALF JUN,NONE,ANIMALS ONLY GRAZE ON OWNER`S FIELDS (NO OPEN GRAZING),NO,5,KM,NO,,2,5,NO,YES,"YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED",5,HECTARE,25,HECTARE,3,HECTARE,533,0,12,15,0,22,27
1,10746244,YES,1ST HALF DEC,2ND HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,2,MILE,NO,,0,0,NO,NO,NO,NO,1,ACRE,1,ACRE,1,ACRE,250,0,0,0,0,0,40
1,20106042,YES,2ND HALF DEC,2ND HALF MAY,<=1/2,"ANIMAL GRAZE FREELY,NO FENCING",NO,4,KM,NO,,0,0,NO,NO,NO,NO,3,ACRE,2,ACRE,4,ACRE,610,0,0,0,0,10,10
1,20110620,YES,1ST HALF DEC,2ND HALF MAY,<=1/2,"ANIMAL GRAZE FREELY,NO FENCING",NO,8,KM,YES,100,0,0,NO,"YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED",NO,75,ACRE,2,ACRE,15,ACRE,1002,30,0,25,0,0,0
1,20111718,YES,2ND HALF NOV,2ND HALF MAY,<=3/4,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,YES,204,0,0,NO,NO,NO,NO,5,HECTARE,2,HECTARE,8,HECTARE,472,0,0,0,0,4,4
1,20112661,YES,2ND HALF DEC,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,20,KM,NO,,0,0,NO,"YES, BUT NOT IF HH IS IN NEED",YES,NO,3,ACRE,2,ACRE,5,ACRE,550,0,0,0,5,300,300
1,20113112,YES,2ND HALF DEC,2ND HALF MAY,<=3/4,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,0,0,NO,NO,NO,NO,5,ACRE,5,ACRE,10,ACRE,2642,56,15,39,0,104,164
1,20115434,YES,2ND HALF NOV,2ND HALF MAY,<=3/4,"ANIMAL GRAZE FREELY,NO FENCING",NO,5,KM,NO,,0,0,NO,NO,NO,NO,3,ACRE,2,ACRE,4,ACRE,347,0,0,0,0,0,63
1,20205207,YES,2ND HALF DEC,1ST HALF MAY,<=ALL,"ANIMAL GRAZE FREELY,NO FENCING",NO,15,KM,YES,19,0,0,NO,NO,NO,NO,3,ACRE,2,ACRE,4,ACRE,274,10,0,0,0,4,10
1,20206362,YES,1ST HALF DEC,1ST HALF MAY,<=1/4,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,1,1,NO,YES,YES,NO,3,ACRE,2,ACRE,5,ACRE,502,96,38,196,4,10,11
1,20302539,YES,2ND HALF NOV,2ND HALF MAY,<=ALL,"ANIMAL GRAZE FREELY,NO FENCING",NO,4,KM,NO,,0,0,NO,NO,NO,NO,4,ACRE,2,ACRE,9,ACRE,1402,12,0,350,0,100,410
1,20303065,YES,1ST HALF DEC,1ST HALF MAY,<=3/4,"ANIMAL GRAZE FREELY,NO FENCING",NO,2,KM,NO,,1,1,NO,NO,NO,NO,3,ACRE,2,ACRE,5,ACRE,397,39,0,301,0,47,0
1,20305301,YES,1ST HALF DEC,2ND HALF MAY,<=1/2,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,0,0,NO,NO,NO,NO,4,ACRE,2,ACRE,5,ACRE,575,0,0,389,0,7,0
1,20306557,YES,2ND HALF NOV,1ST HALF MAY,<=3/4,"ANIMAL GRAZE FREELY,NO FENCING",NO,2,KM,NO,,0,0,NO,NO,NO,NO,4,ACRE,2,ACRE,6,ACRE,9301,4,0,16,0,8,0
1,20402198,YES,1ST HALF DEC,2ND HALF APR,<=3/4,"ANIMAL GRAZE FREELY,NO FENCING",NO,8,KM,NO,,0,0,NO,NO,NO,NO,7,ACRE,4,ACRE,10,ACRE,298,0,0,0,0,15,0
1,20404032,YES,1ST HALF DEC,2ND HALF MAY,<=3/4,"ANIMAL GRAZE FREELY,NO FENCING",NO,3,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,3,ACRE,510,7,0,15,0,0,0
1,20404575,YES,2ND HALF DEC,1ST HALF MAY,<=3/4,"ANIMAL GRAZE FREELY,NO FENCING",NO,4,KM,YES,15,0,0,NO,NO,NO,NO,3,ACRE,1,ACRE,5,ACRE,657,0,0,0,0,0,0
1,20405366,YES,1ST HALF DEC,1ST HALF MAY,<=3/4,"ANIMAL GRAZE FREELY,NO FENCING",NO,4,KM,NO,,0,0,NO,NO,NO,NO,3,ACRE,5,ACRE,2,ACRE,507,0,0,150,0,14,0
1,20407398,YES,2ND HALF NOV,1ST HALF MAY,<=1/2,"ANIMAL GRAZE FREELY,NO FENCING",NO,4,KM,NO,,0,0,NO,NO,NO,NO,3,ACRE,1,ACRE,4,ACRE,1475,0,0,42,0,10,40
1,20407481,YES,1ST HALF NOV,1ST HALF MAY,<=3/4,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,6,6,NO,YES,YES,NO,2,ACRE,1,ACRE,4,ACRE,1510,3,25,35,0,24,105
1,20507089,YES,1ST HALF DEC,1ST HALF MAY,<=3/4,"ANIMAL GRAZE FREELY,NO FENCING",NO,4,KM,NO,,0,0,NO,NO,NO,NO,3,ACRE,1,ACRE,5,ACRE,345,31,0,0,0,39,0
1,20507459,YES,1ST HALF DEC,1ST HALF MAY,<=3/4,"ANIMAL GRAZE FREELY,NO FENCING",NO,3,KM,NO,,0,2,NO,NO,NO,NO,8,ACRE,5,ACRE,10,ACRE,1396,5,1,21,0,15,7
1,20508349,YES,2ND HALF DEC,2ND HALF APR,<=1/4,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,1,4,NO,YES,YES,YES,2,ACRE,1,ACRE,5,ACRE,2500,80,50,10,0,0,0
1,20601141,YES,1ST HALF NOV,2ND HALF APR,<=1/4,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,1,0,NO,YES,YES,NO,4,ACRE,1,ACRE,7,ACRE,3334,0,0,0,0,0,3000
1,20601626,YES,1ST HALF DEC,2ND HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,8,8,NO,"YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED",NO,1,ACRE,1,ACRE,8,ACRE,182,0,0,1,0,0,90
1,20602363,YES,2ND HALF NOV,2ND HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,5,5,NO,NO,NO,NO,1,ACRE,1,ACRE,1,ACRE,70,0,0,0,0,10,50
1,20603090,YES,2ND HALF NOV,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,0,0,NO,NO,NO,NO,3,ACRE,1,ACRE,5,ACRE,70,0,3,0,0,3,70
1,20603533,YES,2ND HALF NOV,2ND HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,12,12,NO,NO,NO,NO,1,ACRE,1,ACRE,2,ACRE,2500,5,2,0,0,0,500
1,20604638,YES,1ST HALF DEC,2ND HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,2,2,NO,"YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED",NO,1,ACRE,1,ACRE,2,ACRE,32,0,0,0,26,26,32
1,20605302,YES,2ND HALF DEC,2ND HALF MAY,<=1/4,"ANIMAL GRAZE FREELY,NO FENCING",NO,8,KM,NO,,0,0,NO,YES,YES,NO,2,ACRE,1,ACRE,3,ACRE,1000,0,0,0,1000,0,700
1,20607260,YES,1ST HALF DEC,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,5,5,NO,"YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED",NO,1,ACRE,0,ACRE,3,ACRE,396,0,0,90,0,10,200
1,20607315,YES,2ND HALF NOV,1ST HALF MAY,<=1/4,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,0,1,NO,YES,YES,"YES, BUT NOT IF HH IS IN NEED",3,ACRE,1,ACRE,6,ACRE,3000,0,0,2700,10,5,2000
1,20610050,YES,1ST HALF DEC,2ND HALF APR,NONE,ANIMALS ONLY GRAZE ON OWNER`S FIELDS (NO OPEN GRAZING),NO,32,KM,NO,,1,1,NO,YES,YES,NO,1,ACRE,1,ACRE,2,ACRE,4150,10,1,0,500,2,3500
1,20610249,YES,1ST HALF OCT,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,0,0,NO,YES,NO,NO,2,ACRE,1,ACRE,5,ACRE,3000,0,0,0,0,20,2950
1,20613324,YES,2ND HALF NOV,2ND HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,0,0,NO,YES,YES,NO,3,ACRE,3,ACRE,1,ACRE,4,1,2000,0,0,0,1
1,20614477,YES,2ND HALF NOV,2ND HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,8,KM,NO,,2,2,NO,"YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED",NO,2,ACRE,1,ACRE,3,ACRE,360,8,3,0,0,30,300
1,20615064,YES,1ST HALF NOV,1ST HALF MAY,<=1/4,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,0,1,NO,NO,NO,NO,2,ACRE,1,ACRE,7,ACRE,285,0,0,0,0,0,0
1,20615735,YES,2ND HALF NOV,2ND HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,0,0,NO,NO,NO,NO,1,ACRE,1,ACRE,2,ACRE,165,0,0,0,0,20,165
1,20702471,YES,2ND HALF OCT,2ND HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,12,KM,NO,,5,5,NO,"YES, BUT NOT IF HH IS IN NEED","YES, BUT NOT IF HH IS IN NEED",NO,2,ACRE,1,ACRE,3,ACRE,7600,0,0,0,0,500,7600
1,20704738,YES,2ND HALF NOV,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,0,0,NO,YES,YES,NO,2,ACRE,5,ACRE,5,ACRE,2500,0,0,0,0,0,500
1,20705372,YES,1ST HALF OCT,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,0,0,NO,YES,YES,NO,2,ACRE,1,ACRE,5,ACRE,2000,0,0,0,0,10,1200
1,20706163,YES,2ND HALF OCT,2ND HALF MAY,<=1/4,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,5,5,NO,YES,YES,NO,5,ACRE,1,ACRE,10,ACRE,5000,0,0,0,0,0,2500
1,20801046,YES,2ND HALF NOV,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,5,KM,NO,,4,4,NO,NO,NO,NO,2,ACRE,1,ACRE,3,ACRE,303,0,0,200,0,10,293
1,20802019,YES,2ND HALF NOV,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,4,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,2,ACRE,4,ACRE,137,0,15,25,0,7,120
1,20803156,YES,2ND HALF NOV,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,3,KM,NO,,9,9,NO,NO,NO,NO,2,ACRE,1,ACRE,3,HECTARE,501,0,0,20,40,12,400
1,20804405,YES,1ST HALF DEC,1ST HALF JUN,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,5,KM,NO,,0,0,NO,NO,NO,NO,3,ACRE,1,ACRE,5,ACRE,292,50,45,20,0,0,10
1,20804768,YES,1ST HALF DEC,1ST HALF MAY,NONE,ANIMALS GRAZE FREELY BUT FARMERS MAY ONLY FENCE PARENTAL CROPLAND,NO,2,KM,NO,,5,2,NO,NO,NO,NO,1,ACRE,1,ACRE,2,ACRE,522,0,0,32,0,14,500
1,20806131,YES,2ND HALF DEC,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,9,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,2,ACRE,3,ACRE,264,0,48,200,90,0,2300
1,20807727,YES,2ND HALF NOV,2ND HALF APR,NONE,"ANIMAL GRAZE FREELY,BUT FARMERS MAY FENCE",NO,20,KM,NO,,0,0,NO,NO,NO,NO,1,ACRE,5,ACRE,2,ACRE,490,0,0,0,0,2,250
1,20808421,YES,1ST HALF DEC,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,2,KM,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,2,ACRE,273,0,0,10,0,15,248
1,20903583,YES,2ND HALF NOV,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,2,2,NO,NO,NO,NO,1,ACRE,2,ACRE,3,ACRE,615,32,30,600,30,52,615
1,20906524,YES,2ND HALF NOV,2ND HALF APR,NONE,"ANIMAL GRAZE FREELY,BUT FARMERS MAY FENCE",NO,6,KM,NO,,1,1,NO,NO,NO,NO,2,ACRE,1,ACRE,3,HECTARE,370,0,130,80,72,15,230
1,20906605,YES,2ND HALF NOV,1ST HALF MAY,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,YES,32,0,0,NO,NO,NO,NO,1,ACRE,2,ACRE,4,ACRE,526,1,0,200,150,6,250
1,20908088,YES,1ST HALF DEC,1ST HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",YES,,,NO,,1,1,NO,NO,NO,NO,1,ACRE,5,ACRE,3,ACRE,1063,0,0,0,0,50,200
1,20908119,YES,1ST HALF DEC,2ND HALF APR,<=1/4,"ANIMAL GRAZE FREELY,BUT FARMERS MAY FENCE",YES,,,NO,,0,0,NO,NO,NO,NO,1,ACRE,2,ACRE,4,ACRE,464,0,300,0,0,0,240
1,20909113,YES,1ST HALF NOV,2ND HALF APR,<=1/4,"ANIMAL GRAZE FREELY,BUT FARMERS MAY FENCE",YES,,,NO,,0,0,NO,NO,NO,NO,2,ACRE,1,ACRE,4,ACRE,320,5,30,0,0,15,1100
1,21037030,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21037536,YES,1ST HALF DEC,2ND HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,10,KM,NO,,0,0,NO,YES,NO,NO,0,ACRE,0,ACRE,0,ACRE,0,0,0,0,0,0,0
1,21048764,YES,2ND HALF NOV,2ND HALF APR,NONE,ANIMALS ONLY GRAZE ON OWNER`S FIELDS (NO OPEN GRAZING),NO,7,KM,NO,,0,0,NO,NO,NO,NO,3,ACRE,2,ACRE,1,ACRE,1400,0,0,0,0,0,200
1,21051203,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21052427,YES,2ND HALF DEC,2ND HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,7,KM,NO,,0,0,NO,NO,NO,NO,1,HECTARE,4,SQ METER,1,ACRE,3500,0,0,0,0,30,20
1,21053745,YES,2ND HALF NOV,2ND HALF APR,NONE,"ANIMAL GRAZE FREELY,NO FENCING",NO,7,KM,NO,,0,0,NO,YES,YES,YES,5,ACRE,25,ACRE,1,ACRE,2100,0,0,0,0,0,0
