occ,y2_hhid,qx_type,interview_status,ag_u300a,ag_u300b,ag_u301,ag_u302,ag_u303,ag_u304,ag_u305
22,0005-001,PANEL A,Panel A - 2 Visits,22,My family and friends wou,X,,,,
23,0005-001,PANEL A,Panel A - 2 Visits,23,In uncertain times I usua,,X,,,
24,0005-001,PANEL A,Panel A - 2 Visits,24,If something can go wrong,,X,,,
25,0005-001,PANEL A,Panel A - 2 Visits,25,I'm always optimistic abo,,,X,,
26,0005-001,PANEL A,Panel A - 2 Visits,26,I hardly ever expect thin,,X,,,
27,0005-001,PANEL A,Panel A - 2 Visits,27,I rarely count on good th,,,X,,
28,0005-001,PANEL A,Panel A - 2 Visits,28,Overall I expect more goo,,X,,,
1,0006-001,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0006-001,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,,X,,,
3,0006-001,PANEL B,Panel B - 2 Visits,3,I save regularly.,X,,,,
4,0006-001,PANEL B,Panel B - 2 Visits,4,I look forward to returni,X,,,,
5,0006-001,PANEL B,Panel B - 2 Visits,5,I can think of many times,,X,,,
6,0006-001,PANEL B,Panel B - 2 Visits,6,I continue to work on har,,,X,,
7,0006-001,PANEL B,Panel B - 2 Visits,7,I like to juggle several,,,X,,
8,0006-001,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,,X,,
9,0006-001,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,X,,,,
10,0006-001,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,,,X,
11,0006-001,PANEL B,Panel B - 2 Visits,11,I never try anything that,,X,,,
12,0006-001,PANEL B,Panel B - 2 Visits,12,A person can get rich by,X,,,,
13,0006-001,PANEL B,Panel B - 2 Visits,13,It is important for me to,,X,,,
14,0006-001,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,X,,,,
15,0006-001,PANEL B,Panel B - 2 Visits,15,When a group I belong to,,,X,,
16,0006-001,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,,X,,,
17,0006-001,PANEL B,Panel B - 2 Visits,17,It is important to me to,X,,,,
18,0006-001,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,X,,,
19,0006-001,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,X,,,,
20,0006-001,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,,X,,,
21,0006-001,PANEL B,Panel B - 2 Visits,21,The most important thing,X,,,,
22,0006-001,PANEL B,Panel B - 2 Visits,22,My family and friends wou,,X,,,
23,0006-001,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,X,,,,
24,0006-001,PANEL B,Panel B - 2 Visits,24,If something can go wrong,,,,,X
25,0006-001,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,X,,,,
26,0006-001,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,X,,,,
27,0006-001,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,X,,,,
28,0006-001,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,,X,,,
1,0006-003,PANEL B,Panel B - 2 Visits,,,,,,,
1,0007-001,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0007-001,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,,,X,,
3,0007-001,PANEL A,Panel A - 2 Visits,3,I save regularly.,,,,,X
4,0007-001,PANEL A,Panel A - 2 Visits,4,I look forward to returni,X,,,,
5,0007-001,PANEL A,Panel A - 2 Visits,5,I can think of many times,,,,,X
6,0007-001,PANEL A,Panel A - 2 Visits,6,I continue to work on har,,,,X,
7,0007-001,PANEL A,Panel A - 2 Visits,7,I like to juggle several,X,,,,
8,0007-001,PANEL A,Panel A - 2 Visits,8,I would rather complete a,,X,,,
9,0007-001,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,,X,,,
10,0007-001,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,,X,,,
11,0007-001,PANEL A,Panel A - 2 Visits,11,I never try anything that,,,,X,
12,0007-001,PANEL A,Panel A - 2 Visits,12,A person can get rich by,,,X,,
13,0007-001,PANEL A,Panel A - 2 Visits,13,It is important for me to,,X,,,
14,0007-001,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,X,,,,
15,0007-001,PANEL A,Panel A - 2 Visits,15,When a group I belong to,,,,X,
16,0007-001,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,X,,,,
17,0007-001,PANEL A,Panel A - 2 Visits,17,It is important to me to,X,,,,
18,0007-001,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,,,,X,
19,0007-001,PANEL A,Panel A - 2 Visits,19,I find satisfaction in ha,,,,X,
20,0007-001,PANEL A,Panel A - 2 Visits,20,I like to have a lot of c,,,,,X
21,0007-001,PANEL A,Panel A - 2 Visits,21,The most important thing,X,,,,
22,0007-001,PANEL A,Panel A - 2 Visits,22,My family and friends wou,,,X,,
23,0007-001,PANEL A,Panel A - 2 Visits,23,In uncertain times I usua,,,,,X
24,0007-001,PANEL A,Panel A - 2 Visits,24,If something can go wrong,,,,X,
25,0007-001,PANEL A,Panel A - 2 Visits,25,I'm always optimistic abo,,,X,,
26,0007-001,PANEL A,Panel A - 2 Visits,26,I hardly ever expect thin,,X,,,
27,0007-001,PANEL A,Panel A - 2 Visits,27,I rarely count on good th,,X,,,
28,0007-001,PANEL A,Panel A - 2 Visits,28,Overall I expect more goo,,X,,,
1,0008-001,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0008-001,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,,X,,,
3,0008-001,PANEL B,Panel B - 2 Visits,3,I save regularly.,,,,X,
4,0008-001,PANEL B,Panel B - 2 Visits,4,I look forward to returni,,,X,,
5,0008-001,PANEL B,Panel B - 2 Visits,5,I can think of many times,,X,,,
6,0008-001,PANEL B,Panel B - 2 Visits,6,I continue to work on har,,,X,,
7,0008-001,PANEL B,Panel B - 2 Visits,7,I like to juggle several,,,,X,
8,0008-001,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,,X,,
9,0008-001,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,,,X,,
10,0008-001,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,,,X,
11,0008-001,PANEL B,Panel B - 2 Visits,11,I never try anything that,,X,,,
12,0008-001,PANEL B,Panel B - 2 Visits,12,A person can get rich by,,,X,,
13,0008-001,PANEL B,Panel B - 2 Visits,13,It is important for me to,,,,X,
14,0008-001,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,,,X,,
15,0008-001,PANEL B,Panel B - 2 Visits,15,When a group I belong to,,,,X,
16,0008-001,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,,,X,,
17,0008-001,PANEL B,Panel B - 2 Visits,17,It is important to me to,,X,,,
18,0008-001,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,,X,,
19,0008-001,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,,,,X,
20,0008-001,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,,,X,,
21,0008-001,PANEL B,Panel B - 2 Visits,21,The most important thing,,X,,,
22,0008-001,PANEL B,Panel B - 2 Visits,22,My family and friends wou,,,X,,
23,0008-001,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,,,,X,
24,0008-001,PANEL B,Panel B - 2 Visits,24,If something can go wrong,,,X,,
25,0008-001,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0008-001,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,,,X,,
27,0008-001,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,,,,X,
28,0008-001,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,,,X,,
1,0008-003,PANEL B,Panel B - 2 Visits,,,,,,,
1,0009-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0010-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0011-001,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0011-001,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,,X,,,
3,0011-001,PANEL A,Panel A - 2 Visits,3,I save regularly.,,,,,X
4,0011-001,PANEL A,Panel A - 2 Visits,4,I look forward to returni,,,,,X
5,0011-001,PANEL A,Panel A - 2 Visits,5,I can think of many times,,,X,,
6,0011-001,PANEL A,Panel A - 2 Visits,6,I continue to work on har,,,X,,
7,0011-001,PANEL A,Panel A - 2 Visits,7,I like to juggle several,,,X,,
8,0011-001,PANEL A,Panel A - 2 Visits,8,I would rather complete a,,X,,,
9,0011-001,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,X,,,,
10,0011-001,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,,,X,,
11,0011-001,PANEL A,Panel A - 2 Visits,11,I never try anything that,,X,,,
12,0011-001,PANEL A,Panel A - 2 Visits,12,A person can get rich by,X,,,,
13,0011-001,PANEL A,Panel A - 2 Visits,13,It is important for me to,,X,,,
14,0011-001,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,,,X,,
15,0011-001,PANEL A,Panel A - 2 Visits,15,When a group I belong to,,X,,,
16,0011-001,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,,,,X,
17,0011-001,PANEL A,Panel A - 2 Visits,17,It is important to me to,,,,,X
18,0011-001,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,,,X,,
19,0011-001,PANEL A,Panel A - 2 Visits,19,I find satisfaction in ha,,X,,,
20,0011-001,PANEL A,Panel A - 2 Visits,20,I like to have a lot of c,X,,,,
21,0011-001,PANEL A,Panel A - 2 Visits,21,The most important thing,,X,,,
22,0011-001,PANEL A,Panel A - 2 Visits,22,My family and friends wou,,,X,,
23,0011-001,PANEL A,Panel A - 2 Visits,23,In uncertain times I usua,,X,,,
24,0011-001,PANEL A,Panel A - 2 Visits,24,If something can go wrong,X,,,,
25,0011-001,PANEL A,Panel A - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0011-001,PANEL A,Panel A - 2 Visits,26,I hardly ever expect thin,,,X,,
27,0011-001,PANEL A,Panel A - 2 Visits,27,I rarely count on good th,,X,,,
28,0011-001,PANEL A,Panel A - 2 Visits,28,Overall I expect more goo,X,,,,
1,0012-001,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0012-001,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,X,,,,
3,0012-001,PANEL B,Panel B - 2 Visits,3,I save regularly.,,X,,,
4,0012-001,PANEL B,Panel B - 2 Visits,4,I look forward to returni,X,,,,
5,0012-001,PANEL B,Panel B - 2 Visits,5,I can think of many times,X,,,,
6,0012-001,PANEL B,Panel B - 2 Visits,6,I continue to work on har,X,,,,
7,0012-001,PANEL B,Panel B - 2 Visits,7,I like to juggle several,X,,,,
8,0012-001,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,X,,,
9,0012-001,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,,,,X,
10,0012-001,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,,,,X
11,0012-001,PANEL B,Panel B - 2 Visits,11,I never try anything that,X,,,,
12,0012-001,PANEL B,Panel B - 2 Visits,12,A person can get rich by,X,,,,
13,0012-001,PANEL B,Panel B - 2 Visits,13,It is important for me to,X,,,,
14,0012-001,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,X,,,,
15,0012-001,PANEL B,Panel B - 2 Visits,15,When a group I belong to,,,,X,
16,0012-001,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,X,,,,
17,0012-001,PANEL B,Panel B - 2 Visits,17,It is important to me to,X,,,,
18,0012-001,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,,,X,
19,0012-001,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,,,,X,
20,0012-001,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,,,,X,
21,0012-001,PANEL B,Panel B - 2 Visits,21,The most important thing,X,,,,
22,0012-001,PANEL B,Panel B - 2 Visits,22,My family and friends wou,,X,,,
23,0012-001,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,,X,,,
24,0012-001,PANEL B,Panel B - 2 Visits,24,If something can go wrong,X,,,,
25,0012-001,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0012-001,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,,,,X,
27,0012-001,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,,,,X,
28,0012-001,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,,X,,,
1,0012-003,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0012-003,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,X,,,,
3,0012-003,PANEL B,Panel B - 2 Visits,3,I save regularly.,X,,,,
4,0012-003,PANEL B,Panel B - 2 Visits,4,I look forward to returni,,,X,,
5,0012-003,PANEL B,Panel B - 2 Visits,5,I can think of many times,,,,X,
6,0012-003,PANEL B,Panel B - 2 Visits,6,I continue to work on har,,X,,,
7,0012-003,PANEL B,Panel B - 2 Visits,7,I like to juggle several,,X,,,
8,0012-003,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,,X,,
9,0012-003,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,,,,X,
10,0012-003,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,,X,,
11,0012-003,PANEL B,Panel B - 2 Visits,11,I never try anything that,,X,,,
12,0012-003,PANEL B,Panel B - 2 Visits,12,A person can get rich by,,,,X,
13,0012-003,PANEL B,Panel B - 2 Visits,13,It is important for me to,,,X,,
14,0012-003,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,,X,,,
15,0012-003,PANEL B,Panel B - 2 Visits,15,When a group I belong to,,,X,,
16,0012-003,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,,,,,X
17,0012-003,PANEL B,Panel B - 2 Visits,17,It is important to me to,,,X,,
18,0012-003,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,,,X,
19,0012-003,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,,,X,,
20,0012-003,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,,,,X,
21,0012-003,PANEL B,Panel B - 2 Visits,21,The most important thing,,,X,,
22,0012-003,PANEL B,Panel B - 2 Visits,22,My family and friends wou,,X,,,
23,0012-003,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,,,X,,
24,0012-003,PANEL B,Panel B - 2 Visits,24,If something can go wrong,,,,X,
25,0012-003,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,,X,,
26,0012-003,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,,X,,,
27,0012-003,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,,,X,,
28,0012-003,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,,X,,,
1,0012-010,PANEL B,Panel B - 2 Visits,,,,,,,
1,0013-001,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0013-001,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,,X,,,
3,0013-001,PANEL A,Panel A - 2 Visits,3,I save regularly.,,,X,,
4,0013-001,PANEL A,Panel A - 2 Visits,4,I look forward to returni,X,,,,
5,0013-001,PANEL A,Panel A - 2 Visits,5,I can think of many times,,,X,,
6,0013-001,PANEL A,Panel A - 2 Visits,6,I continue to work on har,,X,,,
7,0013-001,PANEL A,Panel A - 2 Visits,7,I like to juggle several,X,,,,
8,0013-001,PANEL A,Panel A - 2 Visits,8,I would rather complete a,,X,,,
9,0013-001,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,,X,,,
10,0013-001,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,,,,,X
11,0013-001,PANEL A,Panel A - 2 Visits,11,I never try anything that,,X,,,
12,0013-001,PANEL A,Panel A - 2 Visits,12,A person can get rich by,X,,,,
13,0013-001,PANEL A,Panel A - 2 Visits,13,It is important for me to,,X,,,
14,0013-001,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,,X,,,
15,0013-001,PANEL A,Panel A - 2 Visits,15,When a group I belong to,,X,,,
16,0013-001,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,,X,,,
17,0013-001,PANEL A,Panel A - 2 Visits,17,It is important to me to,,X,,,
18,0013-001,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,,X,,,
19,0013-001,PANEL A,Panel A - 2 Visits,19,I find satisfaction in ha,,X,,,
20,0013-001,PANEL A,Panel A - 2 Visits,20,I like to have a lot of c,X,,,,
21,0013-001,PANEL A,Panel A - 2 Visits,21,The most important thing,,X,,,
22,0013-001,PANEL A,Panel A - 2 Visits,22,My family and friends wou,X,,,,
23,0013-001,PANEL A,Panel A - 2 Visits,23,In uncertain times I usua,X,,,,
24,0013-001,PANEL A,Panel A - 2 Visits,24,If something can go wrong,X,,,,
25,0013-001,PANEL A,Panel A - 2 Visits,25,I'm always optimistic abo,X,,,,
26,0013-001,PANEL A,Panel A - 2 Visits,26,I hardly ever expect thin,,,,,X
27,0013-001,PANEL A,Panel A - 2 Visits,27,I rarely count on good th,,X,,,
28,0013-001,PANEL A,Panel A - 2 Visits,28,Overall I expect more goo,,X,,,
1,0014-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0015-001,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,,X,,,
2,0015-001,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,X,,,,
3,0015-001,PANEL A,Panel A - 2 Visits,3,I save regularly.,,,,,X
4,0015-001,PANEL A,Panel A - 2 Visits,4,I look forward to returni,,X,,,
5,0015-001,PANEL A,Panel A - 2 Visits,5,I can think of many times,X,,,,
6,0015-001,PANEL A,Panel A - 2 Visits,6,I continue to work on har,,X,,,
7,0015-001,PANEL A,Panel A - 2 Visits,7,I like to juggle several,X,,,,
8,0015-001,PANEL A,Panel A - 2 Visits,8,I would rather complete a,X,,,,
9,0015-001,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,,,X,,
10,0015-001,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,,X,,,
11,0015-001,PANEL A,Panel A - 2 Visits,11,I never try anything that,X,,,,
12,0015-001,PANEL A,Panel A - 2 Visits,12,A person can get rich by,,X,,,
13,0015-001,PANEL A,Panel A - 2 Visits,13,It is important for me to,,,,X,
14,0015-001,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,,,,,X
15,0015-001,PANEL A,Panel A - 2 Visits,15,When a group I belong to,,X,,,
16,0015-001,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,X,,,,
17,0015-001,PANEL A,Panel A - 2 Visits,17,It is important to me to,,X,,,
18,0015-001,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,,,X,,
19,0015-001,PANEL A,Panel A - 2 Visits,19,I find satisfaction in ha,,,,,X
20,0015-001,PANEL A,Panel A - 2 Visits,20,I like to have a lot of c,,X,,,
21,0015-001,PANEL A,Panel A - 2 Visits,21,The most important thing,X,,,,
22,0015-001,PANEL A,Panel A - 2 Visits,22,My family and friends wou,,X,,,
23,0015-001,PANEL A,Panel A - 2 Visits,23,In uncertain times I usua,,X,,,
24,0015-001,PANEL A,Panel A - 2 Visits,24,If something can go wrong,,X,,,
25,0015-001,PANEL A,Panel A - 2 Visits,25,I'm always optimistic abo,X,,,,
26,0015-001,PANEL A,Panel A - 2 Visits,26,I hardly ever expect thin,,,X,,
27,0015-001,PANEL A,Panel A - 2 Visits,27,I rarely count on good th,,,X,,
28,0015-001,PANEL A,Panel A - 2 Visits,28,Overall I expect more goo,,,X,,
1,0016-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0017-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0018-001,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,X,,,,
2,0018-001,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,,X,,,
3,0018-001,PANEL B,Panel B - 2 Visits,3,I save regularly.,,,,,X
4,0018-001,PANEL B,Panel B - 2 Visits,4,I look forward to returni,,X,,,
5,0018-001,PANEL B,Panel B - 2 Visits,5,I can think of many times,,X,,,
6,0018-001,PANEL B,Panel B - 2 Visits,6,I continue to work on har,,,X,,
7,0018-001,PANEL B,Panel B - 2 Visits,7,I like to juggle several,,X,,,
8,0018-001,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,,,,X
9,0018-001,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,,X,,,
10,0018-001,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,X,,,
11,0018-001,PANEL B,Panel B - 2 Visits,11,I never try anything that,X,,,,
12,0018-001,PANEL B,Panel B - 2 Visits,12,A person can get rich by,X,,,,
13,0018-001,PANEL B,Panel B - 2 Visits,13,It is important for me to,X,,,,
14,0018-001,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,X,,,,
15,0018-001,PANEL B,Panel B - 2 Visits,15,When a group I belong to,X,,,,
