HHID,case_id,qx_type,visit,ea_id,ag_j00,ag_j03,ag_j05a,ag_j05b,ag_j05b_os,ag_j05c,ag_j06d_os
67,101020040101,Panel A,2,10102004,,,,,,,
91,101020040104,Panel A,2,10102004,,,,,,,
77,101020040121,Panel A,2,10102004,,,,,,,
95,101020040128,Panel A,2,10102004,,,,,,,
86,101034140003,Panel B,2,10103414,,,,,,,
66,101034140009,Panel B,2,10103414,,,,,,,
96,101034140020,Panel B,2,10103414,,,,,,,
72,101034140025,Panel B,2,10103414,,,,,,,
90,101034140031,Panel B,2,10103414,,,,,,,
80,101034140042,Panel B,2,10103414,,,,,,,
92,101034140047,Panel B,2,10103414,,,,,,,
84,101034140053,Panel B,2,10103414,,,,,,,
70,101034140064,Panel B,2,10103414,,,,,,,
76,101034140069,Panel B,2,10103414,,,,,,,
78,101034140075,Panel B,2,10103414,,,,,,,
94,101034140086,Panel B,2,10103414,,,,,,,
74,101034140091,Panel B,2,10103414,,,,,,,
88,101034140097,Panel B,2,10103414,,,,,,,
82,101034140108,Panel B,2,10103414,,,,,,,
68,101034140114,Panel B,2,10103414,,,,,,,
123,101041500004,Panel A,2,10104150,,,,,,,
127,101041500006,Panel A,2,10104150,,,,,,,
113,101041500012,Panel A,2,10104150,,,,,,,
109,101041500013,Panel A,2,10104150,,,,,,,
111,101041500015,Panel A,2,10104150,,,,,,,
99,101041500023,Panel A,2,10104150,,,,,,,
103,101041500027,Panel A,2,10104150,,,,,,,
107,101041500045,Panel A,2,10104150,,,,,,,
115,101041500048,Panel A,2,10104150,,,,,,,
97,101041500053,Panel A,2,10104150,,,,,,,
105,101041500054,Panel A,2,10104150,,,,,,,
125,101041500057,Panel A,2,10104150,,,,,,,
101,101041500063,Panel A,2,10104150,,,,,,,
119,101041500067,Panel A,2,10104150,,,,,,,
117,101041500076,Panel A,2,10104150,,,,,,,
121,101041500079,Panel A,2,10104150,,,,,,,
102,102016880002,Panel B,2,10201688,,,,,,,
100,102016880010,Panel B,2,10201688,,,,,,,
108,102016880018,Panel B,2,10201688,,,,,,,
120,102016880033,Panel B,2,10201688,,,,,,,
118,102016880041,Panel B,2,10201688,,,,,,,
106,102016880049,Panel B,2,10201688,,,,,,,
128,102016880064,Panel B,2,10201688,,,,,,,
116,102016880072,Panel B,2,10201688,,,,,,,
122,102016880080,Panel B,2,10201688,,,,,,,
98,102016880095,Panel B,2,10201688,,,,,,,
112,102016880103,Panel B,2,10201688,,,,,,,
110,102016880111,Panel B,2,10201688,,,,,,,
126,102016880126,Panel B,2,10201688,,,,,,,
104,102016880134,Panel B,2,10201688,,,,,,,
114,102016880142,Panel B,2,10201688,,,,,,,
124,102016880157,Panel B,2,10201688,,,,,,,
139,102025140004,Panel A,2,10202514,,,,,,,
155,102025140019,Panel A,2,10202514,,,,,,,
145,102025140060,Panel A,2,10202514,,,,,,,
143,102025140064,Panel A,2,10202514,,,,,,,
131,102025140068,Panel A,2,10202514,,,,,,,
129,102025140087,Panel A,2,10202514,,,,,,,
137,102025140089,Panel A,2,10202514,,,,,,,
157,102025140104,Panel A,2,10202514,,,,,,,
153,102025140122,Panel A,2,10202514,,,,,,,
133,102025140144,Panel A,2,10202514,,,,,,,
151,102025140145,Panel A,2,10202514,,,,,,,
149,102025140149,Panel A,2,10202514,,,,,,,
147,102025140151,Panel A,2,10202514,,,,,,,
135,102025140160,Panel A,2,10202514,,,,,,,
159,102025140161,Panel A,2,10202514,,,,,,,
141,102025140169,Panel A,2,10202514,,,,,,,
150,102031760004,Panel B,2,10203176,,,,,,,
142,102031760009,Panel B,2,10203176,,,,,,,
138,102031760014,Panel B,2,10203176,,,,,,,
136,102031760024,Panel B,2,10203176,,,,,,,
148,102031760029,Panel B,2,10203176,,,,,,,
132,102031760033,Panel B,2,10203176,,,,,,,
140,102031760043,Panel B,2,10203176,,,,,,,
134,102031760048,Panel B,2,10203176,,,,,,,
146,102031760053,Panel B,2,10203176,,,,,,,
158,102031760063,Panel B,2,10203176,,,,,,,
152,102031760067,Panel B,2,10203176,,,,,,,
144,102031760072,Panel B,2,10203176,,,,,,,
154,102031760082,Panel B,2,10203176,,,,,,,
130,102031760087,Panel B,2,10203176,,,,,,,
156,102031760092,Panel B,2,10203176,,,,,,,
160,102031760101,Panel B,2,10203176,,,,,,,
192,102037440001,Panel B,2,10203744,,,,,,,
182,102037440006,Panel B,2,10203744,,,,,,,
188,102037440017,Panel B,2,10203744,,,,,,,
164,102037440023,Panel B,2,10203744,,,,,,,
172,102037440029,Panel B,2,10203744,,,,,,,
178,102037440040,Panel B,2,10203744,,,,,,,
190,102037440045,Panel B,2,10203744,,,,,,,
166,102037440051,Panel B,2,10203744,,,,,,,
180,102037440062,Panel B,2,10203744,,,,,,,
186,102037440068,Panel B,2,10203744,,,,,,,
176,102037440073,Panel B,2,10203744,,,,,,,
174,102037440084,Panel B,2,10203744,D1,SWEET POTATO,.25,ACRE,,.090000004,
162,102037440090,Panel B,2,10203744,,,,,,,
170,102037440095,Panel B,2,10203744,,,,,,,
168,102037440107,Panel B,2,10203744,,,,,,,
184,102037440112,Panel B,2,10203744,,,,,,,
202,102043220004,Panel B,2,10204322,,,,,,,
194,102043220009,Panel B,2,10204322,,,,,,,
218,102043220019,Panel B,2,10204322,,,,,,,
214,102043220023,Panel B,2,10204322,,,,,,,
196,102043220028,Panel B,2,10204322,,,,,,,
206,102043220038,Panel B,2,10204322,,,,,,,
210,102043220043,Panel B,2,10204322,,,,,,,
198,102043220047,Panel B,2,10204322,,,,,,,
212,102043220057,Panel B,2,10204322,,,,,,,
216,102043220062,Panel B,2,10204322,,,,,,,
208,102043220067,Panel B,2,10204322,,,,,,,
204,102043220081,Panel B,2,10204322,,,,,,,
224,102043220086,Panel B,2,10204322,D1,SENGA,.5,ACRE,,.44999999,
222,102043220095,Panel B,2,10204322,D1,SENGA RICE,.5,ACRE,,.40000001,
220,102043220100,Panel B,2,10204322,D1,SWEET POTATO,.25,ACRE,,.30000001,
183,102045860004,Panel A,2,10204586,,,,,,,
179,102045860010,Panel A,2,10204586,,,,,,,
181,102045860012,Panel A,2,10204586,,,,,,,
165,102045860025,Panel A,2,10204586,,,,,,,
191,102045860049,Panel A,2,10204586,,,,,,,
173,102045860053,Panel A,2,10204586,,,,,,,
185,102045860054,Panel A,2,10204586,,,,,,,
161,102045860070,Panel A,2,10204586,,,,,,,
169,102045860107,Panel A,2,10204586,,,,,,,
163,102045860112,Panel A,2,10204586,,,,,,,
189,102045860115,Panel A,2,10204586,,,,,,,
177,102045860122,Panel A,2,10204586,,,,,,,
167,102045860123,Panel A,2,10204586,,,,,,,
171,102045860161,Panel A,2,10204586,,,,,,,
187,102045860164,Panel A,2,10204586,,,,,,,
252,102201030013,Panel B,2,10220103,,,,,,,
242,102201030021,Panel B,2,10220103,,,,,,,
230,102201030028,Panel B,2,10220103,,,,,,,
232,102201030035,Panel B,2,10220103,,,,,,,
234,102201030050,Panel B,2,10220103,,,,,,,
228,102201030058,Panel B,2,10220103,,,,,,,
256,102201030065,Panel B,2,10220103,,,,,,,
246,102201030073,Panel B,2,10220103,,,,,,,
226,102201030088,Panel B,2,10220103,,,,,,,
244,102201030095,Panel B,2,10220103,,,,,,,
250,102201030103,Panel B,2,10220103,,,,,,,
248,102201030110,Panel B,2,10220103,,,,,,,
254,102201030125,Panel B,2,10220103,,,,,,,
240,102201030133,Panel B,2,10220103,,,,,,,
238,102201030140,Panel B,2,10220103,,,,,,,
236,102201030155,Panel B,2,10220103,,,,,,,
217,102207050044,Panel A,2,10220705,,,,,,,
221,102207050054,Panel A,2,10220705,,,,,,,
207,102207050056,Panel A,2,10220705,D1,CHINESE CABBAGE,.25,ACRE,,.050000001,
211,102207050084,Panel A,2,10220705,,,,,,,
197,102207050090,Panel A,2,10220705,,,,,,,
209,102207050112,Panel A,2,10220705,,,,,,,
203,102207050206,Panel A,2,10220705,,,,,,,
219,102207050298,Panel A,2,10220705,,,,,,,
193,102207050344,Panel A,2,10220705,,,,,,,
195,102207050359,Panel A,2,10220705,,,,,,,
229,103016630124,Panel A,2,10301663,,,,,,,
239,103016630160,Panel A,2,10301663,,,,,,,
243,103016630188,Panel A,2,10301663,,,,,,,
225,103016630198,Panel A,2,10301663,,,,,,,
249,103016630217,Panel A,2,10301663,D1,RICE,.75,ACRE,,.56999999,
247,103016630235,Panel A,2,10301663,,,,,,,
241,103016630300,Panel A,2,10301663,,,,,,,
251,103016630307,Panel A,2,10301663,D1,HYBRID MAIZE,.5,ACRE,,.43000001,
235,103016630351,Panel A,2,10301663,,,,,,,
233,103016630379,Panel A,2,10301663,,,,,,,
237,103016630383,Panel A,2,10301663,,,,,,,
273,103020100009,Panel A,2,10302010,,,,,,,
287,103020100012,Panel A,2,10302010,,,,,,,
285,103020100016,Panel A,2,10302010,,,,,,,
265,103020100019,Panel A,2,10302010,,,,,,,
263,103020100028,Panel A,2,10302010,,,,,,,
281,103020100034,Panel A,2,10302010,,,,,,,
269,103020100037,Panel A,2,10302010,,,,,,,
279,103020100047,Panel A,2,10302010,,,,,,,
277,103020100054,Panel A,2,10302010,,,,,,,
261,103020100056,Panel A,2,10302010,,,,,,,
257,103020100076,Panel A,2,10302010,,,,,,,
267,103020100089,Panel A,2,10302010,,,,,,,
271,103020100105,Panel A,2,10302010,,,,,,,
275,103020100106,Panel A,2,10302010,,,,,,,
259,103020100107,Panel A,2,10302010,,,,,,,
283,103020100112,Panel A,2,10302010,,,,,,,
313,103040120012,Panel A,2,10304012,,,,,,,
309,103040120023,Panel A,2,10304012,,,,,,,
303,103040120049,Panel A,2,10304012,,,,,,,
319,103040120062,Panel A,2,10304012,,,,,,,
305,103040120074,Panel A,2,10304012,,,,,,,
291,103040120101,Panel A,2,10304012,,,,,,,
315,103040120105,Panel A,2,10304012,D1,PUMPKINS,.5,ACRE,,.31999999,
293,103040120125,Panel A,2,10304012,,,,,,,
295,103040120126,Panel A,2,10304012,,,,,,,
301,103040120129,Panel A,2,10304012,,,,,,,
297,103040120132,Panel A,2,10304012,,,,,,,
317,103040120141,Panel A,2,10304012,,,,,,,
299,103040120148,Panel A,2,10304012,,,,,,,
307,103040120153,Panel A,2,10304012,,,,,,,
311,103040120166,Panel A,2,10304012,,,,,,,
289,103040120171,Panel A,2,10304012,,,,,,,
268,103054460016,Panel B,2,10305446,,,,,,,
266,103054460029,Panel B,2,10305446,,,,,,,
262,103054460055,Panel B,2,10305446,,,,,,,
282,103054460081,Panel B,2,10305446,,,,,,,
274,103054460094,Panel B,2,10305446,,,,,,,
276,103054460107,Panel B,2,10305446,,,,,,,
260,103054460146,Panel B,2,10305446,,,,,,,
258,103054460159,Panel B,2,10305446,,,,,,,
272,103054460172,Panel B,2,10305446,,,,,,,
270,103054460185,Panel B,2,10305446,,,,,,,
284,103054460224,Panel B,2,10305446,,,,,,,
264,103054460237,Panel B,2,10305446,,,,,,,
280,103054460263,Panel B,2,10305446,,,,,,,
325,103074130018,Panel A,2,10307413,,,,,,,
335,103074130028,Panel A,2,10307413,,,,,,,
327,103074130044,Panel A,2,10307413,,,,,,,
349,103074130047,Panel A,2,10307413,,,,,,,
339,103074130052,Panel A,2,10307413,,,,,,,
333,103074130071,Panel A,2,10307413,,,,,,,
343,103074130087,Panel A,2,10307413,,,,,,,
323,103074130099,Panel A,2,10307413,,,,,,,
329,103074130110,Panel A,2,10307413,,,,,,,
321,103074130139,Panel A,2,10307413,,,,,,,
345,103074130171,Panel A,2,10307413,,,,,,,
331,103074130190,Panel A,2,10307413,D1,TANAPOSI,.25,ACRE,,.17,
351,103074130225,Panel A,2,10307413,,,,,,,
337,103074130252,Panel A,2,10307413,,,,,,,
347,103074130255,Panel A,2,10307413,,,,,,,
341,103074130258,Panel A,2,10307413,,,,,,,
292,103086360009,Panel B,2,10308636,,,,,,,
312,103086360036,Panel B,2,10308636,,,,,,,
288,103086360045,Panel B,2,10308636,,,,,,,
290,103086360054,Panel B,2,10308636,,,,,,,
310,103086360063,Panel B,2,10308636,,,,,,,
298,103086360072,Panel B,2,10308636,,,,,,,
304,103086360073,Panel B,2,10308636,,,,,,,
314,103086360081,Panel B,2,10308636,,,,,,,
300,103086360090,Panel B,2,10308636,,,,,,,
294,103086360099,Panel B,2,10308636,,,,,,,
296,103086360117,Panel B,2,10308636,,,,,,,
302,103086360126,Panel B,2,10308636,,,,,,,
316,103086360135,Panel B,2,10308636,,,,,,,
306,103086360153,Panel B,2,10308636,,,,,,,
308,103086360162,Panel B,2,10308636,,,,,,,
364,104011400028,Panel B,2,10401140,,,,,,,
366,104011400045,Panel B,2,10401140,,,,,,,
358,104011400079,Panel B,2,10401140,,,,,,,
374,104011400112,Panel B,2,10401140,,,,,,,
380,104011400129,Panel B,2,10401140,,,,,,,
356,104011400146,Panel B,2,10401140,,,,,,,
354,104011400196,Panel B,2,10401140,,,,,,,
376,104011400213,Panel B,2,10401140,,,,,,,
360,104011400229,Panel B,2,10401140,,,,,,,
362,104011400263,Panel B,2,10401140,,,,,,,
368,104011400280,Panel B,2,10401140,,,,,,,
352,104011400296,Panel B,2,10401140,,,,,,,
350,104011400330,Panel B,2,10401140,,,,,,,
378,104011400347,Panel B,2,10401140,,,,,,,
359,104015020020,Panel A,2,10401502,,,,,,,
375,104015020027,Panel A,2,10401502,,,,,,,
357,104015020056,Panel A,2,10401502,,,,,,,
361,104015020074,Panel A,2,10401502,,,,,,,
381,104015020081,Panel A,2,10401502,,,,,,,
373,104015020084,Panel A,2,10401502,,,,,,,
383,104015020099,Panel A,2,10401502,,,,,,,
369,104015020102,Panel A,2,10401502,,,,,,,
363,104015020103,Panel A,2,10401502,,,,,,,
355,104015020121,Panel A,2,10401502,,,,,,,
379,104015020127,Panel A,2,10401502,,,,,,,
365,104015020133,Panel A,2,10401502,,,,,,,
371,104015020173,Panel A,2,10401502,,,,,,,
346,104015220004,Panel B,2,10401522,,,,,,,
340,104015220019,Panel B,2,10401522,,,,,,,
338,104015220038,Panel B,2,10401522,,,,,,,
324,104015220041,Panel B,2,10401522,,,,,,,
330,104015220042,Panel B,2,10401522,,,,,,,
332,104015220054,Panel B,2,10401522,,,,,,,
342,104015220055,Panel B,2,10401522,,,,,,,
318,104015220061,Panel B,2,10401522,,,,,,,
326,104015220063,Panel B,2,10401522,,,,,,,
322,104015220065,Panel B,2,10401522,,,,,,,
336,104015220068,Panel B,2,10401522,,,,,,,
348,104015220087,Panel B,2,10401522,,,,,,,
320,104015220088,Panel B,2,10401522,,,,,,,
328,104015220091,Panel B,2,10401522,,,,,,,
388,104041860008,Panel B,2,10404186,,,,,,,
396,104041860012,Panel B,2,10404186,,,,,,,
384,104041860017,Panel B,2,10404186,,,,,,,
404,104041860021,Panel B,2,10404186,,,,,,,
410,104041860030,Panel B,2,10404186,,,,,,,
386,104041860034,Panel B,2,10404186,,,,,,,
406,104041860039,Panel B,2,10404186,,,,,,,
394,104041860043,Panel B,2,10404186,,,,,,,
398,104041860052,Panel B,2,10404186,,,,,,,
408,104041860061,Panel B,2,10404186,,,,,,,
390,104041860065,Panel B,2,10404186,,,,,,,
402,104041860074,Panel B,2,10404186,,,,,,,
400,104041860079,Panel B,2,10404186,,,,,,,
412,104041860083,Panel B,2,10404186,,,,,,,
382,104041860092,Panel B,2,10404186,,,,,,,
411,104052130003,Panel A,2,10405213,,,,,,,
385,104052130007,Panel A,2,10405213,,,,,,,
387,104052130011,Panel A,2,10405213,,,,,,,
415,104052130019,Panel A,2,10405213,,,,,,,
409,104052130039,Panel A,2,10405213,,,,,,,
401,104052130045,Panel A,2,10405213,D1,HYBRID MAIZE,.5,ACRE,,.14,
389,104052130054,Panel A,2,10405213,,,,,,,
405,104052130062,Panel A,2,10405213,,,,,,,
395,104052130081,Panel A,2,10405213,,,,,,,
391,104052130093,Panel A,2,10405213,,,,,,,
399,104052130100,Panel A,2,10405213,,,,,,,
397,104052130110,Panel A,2,10405213,,,,,,,
413,104052130122,Panel A,2,10405213,,,,,,,
407,104052130146,Panel A,2,10405213,,,,,,,
403,104052130162,Panel A,2,10405213,,,,,,,
393,104052130167,Panel A,2,10405213,,,,,,,
424,105015050001,Panel B,2,10501505,D1,NKHWANI,.1,ACRE,,.2,
428,105015050002,Panel B,2,10501505,,,,,,,
426,105015050004,Panel B,2,10501505,,,,,,,
434,105015050005,Panel B,2,10501505,,,,,,,
418,105015050006,Panel B,2,10501505,,,,,,,
420,105015050007,Panel B,2,10501505,,,,,,,
438,105015050008,Panel B,2,10501505,,,,,,,
444,105015050009,Panel B,2,10501505,,,,,,,
436,105015050010,Panel B,2,10501505,D1,RAPE,.1,ACRE,,.2,
414,105015050011,Panel B,2,10501505,D1,RAPE,.2,ACRE,,.12,
432,105015050012,Panel B,2,10501505,D1,BEANS,.2,ACRE,,0,
416,105015050013,Panel B,2,10501505,,,,,,,
430,105015050014,Panel B,2,10501505,,,,,,,
422,105015050015,Panel B,2,10501505,D1,TOMATO,0,ACRE,,0,
422,105015050015,Panel B,2,10501505,D2,RAPE,0,ACRE,,.039999999,
440,105015050016,Panel B,2,10501505,,,,,,,
431,105017090009,Panel A,2,10501709,,,,,,,
423,105017090026,Panel A,2,10501709,D1,IRISH POTATO,.25,ACRE,,.61000001,
423,105017090026,Panel A,2,10501709,D2,ONIONS,.25,ACRE,,.73000002,
417,105017090049,Panel A,2,10501709,,,,,,,
425,105017090050,Panel A,2,10501709,,,,,,,
441,105017090062,Panel A,2,10501709,,,,,,,
443,105017090064,Panel A,2,10501709,,,,,,,
419,105017090069,Panel A,2,10501709,,,,,,,
433,105017090077,Panel A,2,10501709,D3,TOMATO,.5,ACRE,,.039999999,
433,105017090077,Panel A,2,10501709,D1,IRISH POTATO,.30000001,ACRE,,.0099999998,
433,105017090077,Panel A,2,10501709,D2,BEANS,.30000001,ACRE,,.2,
447,105017090083,Panel A,2,10501709,,,,,,,
439,105017090086,Panel A,2,10501709,D1,BEANS,.5,ACRE,,.1,
435,105017090091,Panel A,2,10501709,,,,,,,
437,105017090117,Panel A,2,10501709,D1,DIMBA,.5,ACRE,,.23,
445,105017090120,Panel A,2,10501709,,,,,,,
427,105017090122,Panel A,2,10501709,,,,,,,
421,105017090131,Panel A,2,10501709,D1,BEANS,.25,ACRE,,.31,
429,105017090142,Panel A,2,10501709,,,,,,,
457,105022680036,Panel A,2,10502268,,,,,,,
463,105022680063,Panel A,2,10502268,,,,,,,
469,105022680090,Panel A,2,10502268,,,,,,,
449,105022680170,Panel A,2,10502268,,,,,,,
473,105022680216,Panel A,2,10502268,,,,,,,
477,105022680242,Panel A,2,10502268,,,,,,,
475,105022680273,Panel A,2,10502268,D1,TOMATO,.25,ACRE,,0,
471,105022680301,Panel A,2,10502268,,,,,,,
459,105022680323,Panel A,2,10502268,,,,,,,
465,105022680324,Panel A,2,10502268,,,,,,,
453,105022680337,Panel A,2,10502268,,,,,,,
455,105022680350,Panel A,2,10502268,D1,DIMBA,.40000001,ACRE,,.36000001,
451,105022680375,Panel A,2,10502268,,,,,,,
479,105022680376,Panel A,2,10502268,,,,,,,
467,105022680391,Panel A,2,10502268,,,,,,,
461,105022680406,Panel A,2,10502268,,,,,,,
450,105025930009,Panel B,2,10502593,,,,,,,
472,105025930015,Panel B,2,10502593,D1,NKHWANI,.1,ACRE,,.02,
476,105025930020,Panel B,2,10502593,,,,,,,
456,105025930026,Panel B,2,10502593,,,,,,,
446,105025930037,Panel B,2,10502593,,,,,,,
466,105025930042,Panel B,2,10502593,,,,,,,
454,105025930047,Panel B,2,10502593,,,,,,,
460,105025930064,Panel B,2,10502593,,,,,,,
458,105025930069,Panel B,2,10502593,,,,,,,
464,105025930075,Panel B,2,10502593,,,,,,,
474,105025930080,Panel B,2,10502593,,,,,,,
462,105025930091,Panel B,2,10502593,,,,,,,
468,105025930097,Panel B,2,10502593,D1,TOMATO,.30000001,ACRE,,.02,
470,105025930102,Panel B,2,10502593,,,,,,,
452,105025930113,Panel B,2,10502593,,,,,,,
497,105033670001,Panel A,2,10503367,,,,,,,
493,105033670004,Panel A,2,10503367,,,,,,,
491,105033670007,Panel A,2,10503367,,,,,,,
481,105033670008,Panel A,2,10503367,,,,,,,
483,105033670009,Panel A,2,10503367,,,,,,,
487,105033670014,Panel A,2,10503367,,,,,,,
509,105033670017,Panel A,2,10503367,,,,,,,
501,105033670018,Panel A,2,10503367,,,,,,,
505,105033670021,Panel A,2,10503367,,,,,,,
503,105033670024,Panel A,2,10503367,,,,,,,
511,105033670028,Panel A,2,10503367,,,,,,,
507,105033670030,Panel A,2,10503367,,,,,,,
489,105033670032,Panel A,2,10503367,,,,,,,
499,105033670035,Panel A,2,10503367,,,,,,,
495,105033670040,Panel A,2,10503367,,,,,,,
485,105033670045,Panel A,2,10503367,,,,,,,
531,105051360004,Panel A,2,10505136,,,,,,,
535,105051360005,Panel A,2,10505136,,,,,,,
513,105051360010,Panel A,2,10505136,,,,,,,
525,105051360013,Panel A,2,10505136,,,,,,,
543,105051360016,Panel A,2,10505136,,,,,,,
533,105051360034,Panel A,2,10505136,,,,,,,
517,105051360035,Panel A,2,10505136,,,,,,,
537,105051360062,Panel A,2,10505136,,,,,,,
529,105051360068,Panel A,2,10505136,D1,DIMBA,.079999998,ACRE,,.029999999,
539,105051360069,Panel A,2,10505136,,,,,,,
519,105051360070,Panel A,2,10505136,D1,TANAPOSI,.25,ACRE,,.02,
527,105051360075,Panel A,2,10505136,,,,,,,
541,105051360077,Panel A,2,10505136,,,,,,,
521,105051360081,Panel A,2,10505136,D1,SUGARCANE,.40000001,ACRE,,.2,
523,105051360098,Panel A,2,10505136,,,,,,,
488,105053100003,Panel B,2,10505310,,,,,,,
506,105053100008,Panel B,2,10505310,,,,,,,
492,105053100020,Panel B,2,10505310,,,,,,,
490,105053100025,Panel B,2,10505310,,,,,,,
480,105053100031,Panel B,2,10505310,,,,,,,
484,105053100042,Panel B,2,10505310,,,,,,,
496,105053100048,Panel B,2,10505310,D1,TOMATO,.2,ACRE,,0,
496,105053100048,Panel B,2,10505310,D2,VEGETABLE,.2,ACRE,,0,
498,105053100054,Panel B,2,10505310,,,,,,,
500,105053100065,Panel B,2,10505310,,,,,,,
494,105053100071,Panel B,2,10505310,,,,,,,
478,105053100076,Panel B,2,10505310,,,,,,,
504,105053100088,Panel B,2,10505310,,,,,,,
482,105053100093,Panel B,2,10505310,,,,,,,
502,105053100099,Panel B,2,10505310,,,,,,,
508,105053100110,Panel B,2,10505310,,,,,,,
486,105053100116,Panel B,2,10505310,,,,,,,
538,105055080001,Panel B,2,10505508,,,,,,,
528,105055080010,Panel B,2,10505508,D1,TANAPOSI,.1,ACRE,,.2,
514,105055080021,Panel B,2,10505508,,,,,,,
510,105055080031,Panel B,2,10505508,,,,,,,
532,105055080041,Panel B,2,10505508,,,,,,,
530,105055080061,Panel B,2,10505508,,,,,,,
512,105055080072,Panel B,2,10505508,D2,TANAPOSI,.1,ACRE,,.20999999,
512,105055080072,Panel B,2,10505508,D1,TOMATO,.25,ACRE,,.039999999,
520,105055080082,Panel B,2,10505508,,,,,,,
534,105055080092,Panel B,2,10505508,D1,TOMATO,.25,ACRE,,.2,
516,105055080113,Panel B,2,10505508,D1,HYBRID MAIZE,.5,ACRE,,.74000001,
536,105055080123,Panel B,2,10505508,,,,,,,
522,105055080133,Panel B,2,10505508,,,,,,,
526,105055080164,Panel B,2,10505508,,,,,,,
524,105055080174,Panel B,2,10505508,,,,,,,
540,105055080195,Panel B,2,10505508,D1,RAPE,.2,ACRE,,0,
518,105055080205,Panel B,2,10505508,,,,,,,
572,105071750010,Panel B,2,10507175,,,,,,,
