y2_hhid,ag_c00,dist_hh,slope,elevation,twi
0229-001,R02,7.3,21,720,14
0229-001,R03,.1,5,600,14
0230-001,R01,0,1,480,17
0231-001,R01,.8,1,570,36
0231-001,R02,.8,3,570,36
0231-001,R03,.7,3,560,36
0232-001,R01,.2,1,490,16
0232-001,R02,.3,0,490,14
0232-003,R01,0,1,490,16
0233-001,R01,.2,18,680,11
0234-001,R01,0,2,480,18
0236-001,R01,0,3,560,17
0236-001,R02,0,2,560,13
0237-001,R01,.1,2,580,18
0237-001,R02,0,4,580,15
0238-001,R01,.4,1,480,18
0238-001,R02,0,1,480,14
0239-001,R01,.1,12,600,11
0240-001,R01,.1,1,480,14
0240-001,R02,.1,2,480,14
0242-002,R01,0,1,490,14
0244-001,R01,0,2,490,15
0244-001,R02,1.6,1,480,32
0246-001,R01,0,2,490,14
0246-001,R02,.3,1,490,15
0246-001,R03,.3,1,500,16
0248-001,R01,0,2,490,16
0248-001,R02,0,2,490,15
0248-001,R03,0,2,490,17
0250-001,R01,1.8,2,490,17
0250-001,R02,.8,1,480,16
0252-001,R01,0,2,490,16
0252-002,R01,.8,1,490,15
0252-002,R02,1.1,1,490,34
0254-001,R01,.1,2,490,13
0254-001,R02,.1,2,490,13
0254-010,R01,.1,1,480,15
0254-010,R02,0,1,490,14
0256-002,R01,0,3,500,14
0256-002,R02,0,3,500,14
0256-007,R01,0,1,490,14
0256-007,R02,0,1,490,14
0256-007,R03,0,1,490,16
0258-001,R01,79.7,8,1320,13
0260-001,R01,.1,7,510,12
0261-001,R01,1,1,490,14
0262-001,R01,0,3,490,13
0262-001,R02,0,3,490,13
0263-001,R01,0,1,490,13
0265-001,R01,0,1,490,14
0268-001,R01,.1,3,480,11
0268-001,R02,.9,3,490,17
0269-001,R01,.1,2,490,14
0270-001,R01,.2,5,520,12
0270-001,R02,.7,2,480,20
0270-001,R03,.7,2,480,20
0271-001,R01,0,4,500,14
0274-001,R01,1.6,6,520,14
0275-001,R01,7.5,10,570,14
0276-001,R01,2.3,1,480,15
0277-001,R01,0,1,490,14
0277-001,R02,1,2,490,14
0277-001,R03,.7,1,490,13
0278-001,R01,0,3,490,13
0278-003,R01,.2,7,500,12
0278-003,R02,0,5,500,13
0279-001,R01,1.1,1,490,21
0279-001,R02,1,1,490,20
0280-001,R01,.2,12,490,13
0282-001,R01,0,4,490,17
0288-001,R01,.6,8,710,13
0289-001,R01,1.5,3,510,13
0289-003,R01,.9,3,1090,14
0289-003,R02,.3,14,1100,12
0289-003,R03,.7,4,1080,13
0289-003,R04,.8,3,1090,14
0290-001,R01,0,12,710,12
0290-001,R02,.1,8,700,15
0290-001,R03,.3,17,710,16
0292-001,R01,0,5,690,12
0293-002,R01,1.5,7,520,13
0295-001,R01,1.5,3,510,13
0299-001,R01,2.1,2,480,12
0299-003,R01,.4,2,1060,12
0299-003,R02,.3,1,1060,14
0299-003,R03,.3,1,1070,14
0299-003,R04,.4,2,1060,12
0299-005,R01,.6,2,1090,15
0299-005,R02,.8,1,1090,14
0299-005,R03,.6,4,1090,16
0299-005,R04,0,4,1100,13
0305-001,R01,0,2,520,15
0305-007,R01,.8,2,1070,13
0305-007,R02,.8,1,1030,22
0305-007,R03,.9,4,1060,13
0305-008,R01,13.6,3,530,14
0307-002,R01,7.9,4,1090,12
0307-002,R02,7.9,3,1090,12
0307-003,R01,0,19,1060,12
0308-001,R01,.1,6,690,13
0308-001,R02,1.5,8,710,15
0309-001,R01,0,2,540,13
0311-001,R01,5.1,6,530,13
0312-001,R01,0,8,700,13
0313-001,R01,3.4,6,530,13
0313-001,R02,3.9,5,500,15
0314-001,R01,2.8,7,720,12
0315-001,R01,.2,3,520,13
0315-001,R02,.1,6,510,12
0315-001,R03,.3,6,510,19
0317-001,R01,.8,3,530,13
0317-001,R02,.8,3,530,13
0317-001,R03,.8,3,530,13
0318-001,R01,.1,3,1130,13
0318-001,R02,.1,3,1130,13
0318-001,R03,.2,3,1130,14
0318-001,R04,.2,3,1130,13
0318-004,R01,30.1,31,1150,11
0321-001,R01,0,8,530,12
0321-001,R02,.1,6,530,14
0321-001,R03,.1,7,530,14
0324-001,R01,0,2,1130,14
0324-001,R02,0,3,1130,14
0324-001,R03,.2,2,1130,13
0324-001,R04,.2,4,1130,14
0324-005,R01,.2,1,1100,17
0324-005,R02,.2,1,1100,15
0324-005,R03,.2,1,1100,17
0325-005,R01,0,4,590,14
0326-001,R01,.1,1,1120,13
0326-001,R02,.1,1,1120,14
0327-004,R01,14.6,2,1060,14
0329-001,R01,1.3,2,490,14
0329-001,R02,1.3,1,490,14
0331-001,R01,2.1,3,550,15
0332-001,R01,.1,3,1110,13
0332-001,R02,.2,3,1120,14
0333-001,R01,1.1,4,520,12
0336-001,R01,.1,1,1120,15
0337-001,R01,.3,6,530,12
0338-001,R01,.2,3,1100,14
0338-001,R02,0,3,1100,14
0339-001,R01,.2,4,560,13
0340-002,R01,.6,7,630,12
0340-002,R02,.6,7,630,12
0341-001,R01,.1,7,530,12
0341-001,R02,1.3,1,490,15
0341-001,R03,.7,2,500,13
0342-001,R01,0,1,1100,15
0342-001,R02,.1,3,1110,14
0342-001,R03,.1,3,1110,14
0343-001,R01,1.3,6,530,12
0345-001,R01,1.7,3,500,13
0345-001,R02,1.7,2,490,13
0345-001,R03,1.8,1,490,14
0346-003,R01,.8,1,680,15
0346-008,R01,0,1,750,18
0350-001,R01,0,2,1100,15
0350-001,R02,1.7,2,1110,16
0352-001,R01,1,2,1110,15
0354-001,R01,1,3,1190,13
0354-001,R02,1,3,1190,14
0354-001,R03,1,3,1190,14
0354-001,R04,0,3,1210,13
0354-004,R01,0,4,1070,12
0354-004,R02,0,4,1070,12
0355-001,R01,.1,4,1060,14
0355-001,R02,.1,5,1060,14
0355-001,R03,.1,4,1060,15
0355-001,R04,.3,3,1060,14
0355-001,R05,.2,2,1060,14
0356-001,R01,7.3,3,1170,18
0357-001,R01,0,16,1230,11
0357-001,R02,.2,23,1270,10
0358-001,R01,6.5,2,1150,15
0359-001,R01,.1,9,1090,12
0360-001,R01,2,2,1090,15
0360-001,R02,2,1,1090,14
0360-001,R03,1.3,1,1100,14
0360-001,R04,2.3,1,1090,14
0360-003,R01,.2,3,490,13
0360-003,R02,.1,4,490,13
0361-001,R01,.6,5,1080,13
0361-001,R02,1.7,3,1040,15
0361-001,R03,1.7,3,1040,13
0363-001,R01,.1,22,1180,14
0363-001,R02,0,25,1190,14
0364-002,R01,1,4,1370,13
0364-002,R02,1,3,1370,14
0364-002,R03,.9,3,1370,13
0364-003,R01,2.9,2,1080,14
0365-001,R01,.2,4,1070,18
0365-001,R02,.2,3,1070,16
0366-001,R01,.1,9,1550,12
0366-001,R02,.1,6,1540,12
0366-001,R03,.2,5,1540,13
0366-002,R01,.7,2,1100,15
0366-002,R02,.7,2,1100,15
0368-001,R01,1.8,1,1100,14
0368-001,R02,1.8,1,1100,14
0368-001,R03,1.9,1,1100,14
0369-001,R01,0,25,1220,13
0371-001,R01,.3,9,1090,12
0371-001,R02,.3,4,1080,13
0371-001,R03,.1,9,1090,12
0372-003,R01,,,,
0372-003,R02,,,,
0372-003,R03,,,,
0373-001,R01,.1,8,1100,13
0373-001,R02,2.4,3,1020,16
0374-001,R01,.2,5,1050,13
0374-001,R02,.1,3,1050,13
0374-001,R03,.6,4,1030,17
0374-001,R04,.5,4,1040,15
0374-001,R05,.5,4,1040,16
0375-001,R01,0,4,840,13
0375-001,R02,0,4,840,13
0375-001,R03,1.7,19,820,12
0375-001,R04,1.7,4,880,14
0375-001,R05,.7,5,830,15
0375-001,R06,.7,5,830,16
0376-001,R01,2.2,1,1110,14
0379-001,R01,.1,4,1070,14
0379-001,R02,1.1,3,1040,13
0380-001,R01,2.4,1,1100,16
0380-001,R02,2.3,1,1100,16
0381-001,R01,0,4,1070,13
0381-001,R02,.1,5,1060,12
0381-001,R03,.1,5,1060,12
0383-001,R01,.1,36,1270,14
0383-001,R02,0,31,1260,13
0383-001,R03,.2,31,1270,13
0383-001,R04,.3,35,1290,12
0384-001,R01,.9,18,660,16
0384-001,R02,6.1,6,490,8
0386-001,R01,0,12,560,11
0386-001,R02,.7,12,640,11
0387-001,R01,1.4,18,1280,15
0387-001,R02,1.4,15,1280,14
0388-001,R01,.2,4,490,15
0388-001,R02,.3,10,490,12
0389-001,R01,1.5,18,1280,16
0390-001,R01,0,17,640,13
0391-002,R01,.2,8,1270,15
0392-001,R01,0,5,570,13
0392-001,R02,0,5,570,13
0393-001,R01,59.1,21,1290,13
0395-001,R01,.1,12,1250,12
0395-001,R02,.2,12,1240,12
0395-006,R01,.4,21,1300,17
0396-001,R01,.1,19,500,13
0397-001,R01,0,4,1050,13
0398-001,R01,0,12,570,11
0398-001,R02,0,13,570,11
0398-004,R01,0,9,1130,13
0399-001,R01,1.2,14,1320,14
0400-001,R01,.1,12,1200,18
0401-001,R01,.5,16,1290,15
0401-004,R01,0,22,1320,12
0402-001,R01,.1,23,520,12
0402-001,R02,.3,31,550,10
0403-001,R01,1.4,26,1300,11
0404-001,R01,1.2,15,650,12
0404-001,R02,.2,10,490,14
0404-001,R03,1.3,10,490,7
0405-001,R01,2.7,13,1290,13
0405-001,R02,2.7,13,1290,12
0405-001,R03,2.2,15,1280,15
0407-001,R01,.3,16,1290,14
0407-001,R02,.4,6,1260,14
0408-001,R01,0,11,650,11
0409-001,R01,0,6,1300,12
0409-001,R02,1.3,7,1280,12
0409-001,R03,1.3,11,1280,12
0409-001,R04,0,5,1300,12
0410-001,R01,.9,7,650,14
0410-001,R02,0,12,540,11
0410-001,R03,.1,13,540,11
0411-001,R01,2.2,18,1360,13
0411-001,R02,2.3,21,1370,14
0411-005,R01,.1,16,1270,12
0412-001,R01,0,47,530,11
0413-001,R01,.1,7,1310,12
0414-001,R01,.6,1,1250,14
0414-001,R02,.6,2,1250,14
0414-001,R03,.6,3,1240,13
0415-001,R01,.2,11,1260,14
0416-001,R01,.8,2,1250,14
0416-001,R02,.9,2,1250,13
0416-001,R03,1,2,1250,14
0417-002,R01,.4,5,1350,13
0417-002,R02,2.2,5,1380,15
0417-002,R03,2.2,5,1380,15
0417-002,R04,2.2,5,1380,14
0418-001,R01,0,3,1240,14
0418-001,R02,0,3,1240,14
0419-001,R01,0,5,1330,12
0419-001,R02,.6,3,1320,14
0419-001,R03,2.1,2,1350,13
0419-002,R01,2.9,4,1380,13
0419-002,R02,.4,4,1320,13
0420-001,R01,0,2,1240,16
0420-001,R02,.8,1,1250,14
0421-001,R01,2.1,3,1330,15
0421-001,R02,1.5,5,1340,14
0422-001,R01,.1,3,1250,14
0422-001,R02,0,2,1250,13
0423-001,R01,1.2,3,1370,15
0423-001,R02,.1,4,1340,13
0423-001,R03,.6,6,1320,12
0424-001,R01,.3,1,1230,17
0424-001,R02,0,1,1230,13
0424-001,R03,0,1,1230,13
0424-001,R04,.8,2,1230,15
0425-001,R01,0,4,1330,14
0425-001,R02,2,3,1370,13
0425-001,R03,2.1,4,1370,13
0425-001,R04,1.7,2,1350,13
0426-002,R01,11.3,2,1270,13
0426-002,R02,11.5,3,1250,15
0426-002,R03,11.2,1,1250,14
0427-001,R01,.1,5,1340,12
0427-001,R02,1.7,4,1370,13
0427-001,R03,.3,4,1330,13
0427-001,R04,.2,6,1330,12
0427-001,R05,0,4,1340,13
0428-001,R01,.1,4,1200,14
0428-001,R02,.1,4,1200,14
0429-001,R01,.1,5,1330,13
0431-001,R01,2.1,1,1390,14
0431-001,R02,.8,5,1350,14
0431-001,R03,.8,5,1350,14
0432-001,R01,0,4,1240,14
0432-001,R02,1.3,2,1250,14
0432-001,R03,1.3,2,1250,14
0432-001,R04,1.2,2,1250,14
0433-002,R01,1.9,3,1340,14
0433-002,R02,1.9,3,1340,14
0433-002,R03,1.9,3,1340,14
0433-002,R04,.1,5,1320,12
0433-002,R05,1.9,3,1340,14
0433-006,R01,.5,4,1390,14
0433-006,R02,.5,4,1390,14
0434-001,R01,.1,2,1240,15
