HHID,case_id,qx_type,visit,ea_id,ag_f0a,ag_f0c,ag_f0c_os,ag_f01a,ag_f01b,ag_f01b_os,ag_f02,ag_f03,ag_f04,ag_f15,ag_f16a,ag_f16b,ag_f16b_os,ag_f17,ag_f17_os,ag_f18,ag_f19,ag_f20,ag_f21,ag_f22,ag_f23,ag_f24,ag_f25,ag_f26a,ag_f26b,ag_f26b_os,ag_f27,ag_f27_os,ag_f28,ag_f29,ag_f30,ag_f31,ag_f32,ag_f33,ag_f34,ag_f35,ag_f36a,ag_f36b,ag_f36b_os,ag_f37,ag_f38a,ag_f38b,ag_f38b_os,ag_f39a,ag_f39b,ag_f40,ag_f41,ag_f42a,ag_f42b,ag_f42b_os,ag_f43,ag_f44a,ag_f44b,ag_f44b_os
42,101012040011,Panel B,1,10101204,Yes,UREA,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,50,Kilogram,,Bicycle Taxi,,100,4850,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
42,101012040011,Panel B,1,10101204,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,101012040011,Panel B,1,10101204,Yes,23:21:0+4S/CHITOWE,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,50,Kilogram,,Bicycle Taxi,,100,6000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
44,101012040020,Panel B,1,10101204,Yes,23:21:0+4S/CHITOWE,,30,Kilogram,,"Yes, The Figures Matched",No,Yes,N01,30,Kilogram,,On Foot,,0,3000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
44,101012040020,Panel B,1,10101204,Yes,UREA,,40,Kilogram,,"Yes, The Figures Matched",No,Yes,N01,40,Kilogram,,On Foot,,0,4000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
44,101012040020,Panel B,1,10101204,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,101012040024,Panel B,1,10101204,Yes,UREA,,110,Kilogram,,"Yes, The Figures Matched",No,Yes,N01,110,Kilogram,,Truck / Bus / Minibus,,300,13900,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
38,101012040024,Panel B,1,10101204,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,101012040024,Panel B,1,10101204,Yes,23:21:0+4S/CHITOWE,,110,Kilogram,,"Yes, The Figures Matched",No,Yes,N01,110,Kilogram,,Truck / Bus / Minibus,,300,14700,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
52,101012040028,Panel B,1,10101204,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,1,10101204,Yes,D COMPOUND,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,100,Kilogram,,Truck / Bus / Minibus,,300,13000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
52,101012040028,Panel B,1,10101204,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,1,10101204,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,1,10101204,Yes,CAN,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,100,Kilogram,,Truck / Bus / Minibus,,300,11000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
50,101012040037,Panel B,1,10101204,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,1,10101204,Yes,D COMPOUND,,40,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,40,Kilogram,,On Foot,,0,4500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
50,101012040037,Panel B,1,10101204,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,1,10101204,Yes,UREA,,95,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,45,Kilogram,,On Foot,,0,5000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
50,101012040037,Panel B,1,10101204,Yes,CAN,,20,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,20,Kilogram,,On Foot,,0,1200,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
54,101012040041,Panel B,1,10101204,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,101012040041,Panel B,1,10101204,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,101012040041,Panel B,1,10101204,Yes,CAN,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,1,50 kg bag,,Bicycle Taxi,,0,5400,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
54,101012040041,Panel B,1,10101204,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,101012040045,Panel B,1,10101204,Yes,D COMPOUND,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,1,50 kg bag,,Truck / Bus / Minibus,,200,6050,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
48,101012040045,Panel B,1,10101204,Yes,23:21:0+4S/CHITOWE,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,7,Gram,,Truck / Bus / Minibus,,200,6250,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
48,101012040045,Panel B,1,10101204,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,101012040045,Panel B,1,10101204,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,101012040054,Panel B,1,10101204,Yes,D COMPOUND,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,50,Kilogram,,On Foot,,0,4500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
36,101012040054,Panel B,1,10101204,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,101012040054,Panel B,1,10101204,Yes,CAN,,30,Kilogram,,"Yes, The Figures Matched",No,Yes,N03,30,Kilogram,,On Foot,,0,1500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
36,101012040054,Panel B,1,10101204,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,101012040054,Panel B,1,10101204,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,101012040058,Panel B,1,10101204,Yes,ORGANIC FERTILIZER,,28,Bucket,,"Yes, The Figures Matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Yes,28,Bucket,
56,101012040058,Panel B,1,10101204,Yes,UREA,,60,Kilogram,,"Yes, The Figures Matched",No,Yes,N04,10,Kilogram,,On Foot,,0,1500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
56,101012040058,Panel B,1,10101204,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,101012040058,Panel B,1,10101204,Yes,D COMPOUND,,10,Kilogram,,"Yes, The Figures Matched",No,Yes,N04,10,Kilogram,,On Foot,,0,2000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
64,101012040062,Panel B,1,10101204,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,101012040062,Panel B,1,10101204,Yes,ORGANIC FERTILIZER,,3,Bucket,,"Yes, The Figures Matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Yes,3,Bucket,
64,101012040062,Panel B,1,10101204,Yes,UREA,,65,Kilogram,,"Yes, The Figures Matched",No,Yes,N04,15,Kilogram,,On Foot,,0,500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
34,101012040071,Panel B,1,10101204,Yes,UREA,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,2,50 kg bag,,Truck / Bus / Minibus,,200,9400,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
34,101012040071,Panel B,1,10101204,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,101012040071,Panel B,1,10101204,Yes,D COMPOUND,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,1,50 kg bag,,Truck / Bus / Minibus,,100,6200,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
34,101012040071,Panel B,1,10101204,Yes,CAN,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,1,50 kg bag,,Truck / Bus / Minibus,,200,5600,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
34,101012040071,Panel B,1,10101204,Yes,23:21:0+4S/CHITOWE,,150,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,3,50 kg bag,,Truck / Bus / Minibus,,400,16800,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
58,101012040075,Panel B,1,10101204,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N01,50,Kilogram,,On Foot,,0,6000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
58,101012040075,Panel B,1,10101204,Yes,ORGANIC FERTILIZER,,15,Bucket,,"Yes, The Figures Matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Yes,15,Bucket,
58,101012040075,Panel B,1,10101204,Yes,D COMPOUND,,10,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,1,10 kg bag,,On Foot,,0,700,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
58,101012040075,Panel B,1,10101204,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",No,Yes,N01,50,Kilogram,,On Foot,,0,5700,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
58,101012040075,Panel B,1,10101204,Yes,CAN,,10,Kilogram,,"Yes, The Figures Matched",No,Yes,N02,1,10 kg bag,,On Foot,,0,700,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
46,101012040079,Panel B,1,10101204,Yes,23:21:0+4S/CHITOWE,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N01,100,Kilogram,,Own Bicycle or Oxcart,,0,8000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
46,101012040079,Panel B,1,10101204,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,101012040079,Panel B,1,10101204,Yes,UREA,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N01,100,Kilogram,,Own Bicycle or Oxcart,,0,6400,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
60,101012040087,Panel B,1,10101204,Yes,ORGANIC FERTILIZER,,5,Bucket,,"Yes, The Figures Matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Yes,5,Bucket,
60,101012040087,Panel B,1,10101204,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,101012150001,Panel A,1,10101215,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,101012150001,Panel A,1,10101215,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,101012150001,Panel A,1,10101215,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,101012150004,Panel A,1,10101215,Yes,23:21:0+4S/CHITOWE,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N01,100,Kilogram,,Own Bicycle or Oxcart,,0,12000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
17,101012150004,Panel A,1,10101215,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,101012150004,Panel A,1,10101215,Yes,UREA,,100,Kilogram,,"Yes, The Figures Matched",No,Yes,N01,100,Kilogram,,Own Bicycle or Oxcart,,0,10000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
11,101012150021,Panel A,1,10101215,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,101012150021,Panel A,1,10101215,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,101012150021,Panel A,1,10101215,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,101012150022,Panel A,1,10101215,Yes,UREA,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,101012150022,Panel A,1,10101215,Yes,23:21:0+4S/CHITOWE,,50,Kilogram,,"Yes, The Figures Matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,101012150022,Panel A,1,10101215,Yes,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,101012150026,Panel A,1,10101215,Yes,UREA,,200,Kilogram,,"Yes, The Figures Matched",No,Yes,N01,200,Kilogram,,Truck / Bus / Minibus,,400,22000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,
