occ,y2_hhid,qx_type,interview_status,ag_c00,ag_c02,ag_c03_2,ag_c04a,ag_c04b,ag_c04c,ag_c05e,ag_c06,ag_c07
1,0016-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,.69999999,,10,CLEAR / SUNNY
2,0016-001,PANEL B,Panel B - 2 Visits,R02,LOCAL MAIZE,RG02,1,ACRE,.60000002,,10,CLEAR / SUNNY
1,0017-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,.80000001,,10,PARTLY CLOUDY / PARTLY SUNNY
2,0017-001,PANEL A,Panel A - 2 Visits,R02,BURLEY TOBACCO,RG02,1,ACRE,.69999999,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0018-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,.5,ACRE,.5,,9,CLEAR / SUNNY
1,0019-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,.5,ACRE,.60000002,,12,CLEAR / SUNNY
2,0019-001,PANEL A,Panel A - 2 Visits,R02,LOCAL MAIZE,RG02,1,ACRE,1,,12,CLEAR / SUNNY
1,0020-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,2.3,,12,CLEAR / SUNNY
2,0020-001,PANEL B,Panel B - 2 Visits,R02,HYBRIDE MAIZE,RG02,.5,ACRE,.1,,12,CLEAR / SUNNY
1,0021-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,.63999999,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0021-001,PANEL A,Panel A - 2 Visits,R02,LOCAL MAIZE,RG02,.5,ACRE,.51999998,,12,PARTLY CLOUDY / PARTLY SUNNY
3,0021-001,PANEL A,Panel A - 2 Visits,R03,FALLOW,RG03,.25,ACRE,.25999999,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0022-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0023-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,.1,ACRE,.1,,12,CLEAR / SUNNY
2,0023-001,PANEL A,Panel A - 2 Visits,R02,HYBRID MAIZE,RG02,.2,ACRE,.30000001,,12,CLEAR / SUNNY
3,0023-001,PANEL A,Panel A - 2 Visits,R03,HYBRID MAIZE,RG03,1,ACRE,1.5,,12,CLEAR / SUNNY
1,0024-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,3,ACRE,4.1999998,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0025-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,1.25,ACRE,1.25,,12,CLEAR / SUNNY
1,0026-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,.5,ACRE,.89999998,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0026-001,PANEL B,Panel B - 2 Visits,R02,HYBRID MAIZE,RG02,1,ACRE,.43000001,,12,PARTLY CLOUDY / PARTLY SUNNY
3,0026-001,PANEL B,Panel B - 2 Visits,R03,GROUNDNUTS JL 24,RG03,.25,ACRE,.38,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0027-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1.5,ACRE,.56999999,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0027-001,PANEL A,Panel A - 2 Visits,R02,LOCAL MAIZE,RG02,.75,ACRE,.57999998,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0028-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,.40000001,,10,PARTLY CLOUDY / PARTLY SUNNY
2,0028-001,PANEL B,Panel B - 2 Visits,R02,PIGEON PEA,RG02,.25,ACRE,.1,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0029-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,2.25,ACRE,5.5999999,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0030-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,.5,ACRE,.40000001,,9,PARTLY CLOUDY / PARTLY SUNNY
2,0030-001,PANEL B,Panel B - 2 Visits,R02,HYBRID MAIZE,RG02,.5,ACRE,.89999998,,9,PARTLY CLOUDY / PARTLY SUNNY
1,0031-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIE RECY,RG01,1,ACRE,.63,,11,PARTLY CLOUDY / PARTLY SUNNY
2,0031-001,PANEL A,Panel A - 2 Visits,R02,HYBRID MAIZE RECY,RG02,.5,ACRE,.55000001,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0032-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,.80000001,,9,PARTLY CLOUDY / PARTLY SUNNY
2,0032-001,PANEL B,Panel B - 2 Visits,R02,CHALIMBANA GROUNDNUT,RG02,.25,ACRE,.2,,9,PARTLY CLOUDY / PARTLY SUNNY
1,0033-001,PANEL A,Panel A - 2 Visits,R01,MAIZE NKANGO,RG01,.5,ACRE,.41,,11,PARTLY CLOUDY / PARTLY SUNNY
2,0033-001,PANEL A,Panel A - 2 Visits,R02,CG7 G/NUTS,RG02,.25,ACRE,.2,,11,PARTLY CLOUDY / PARTLY SUNNY
3,0033-001,PANEL A,Panel A - 2 Visits,R03,SOYA BEANS,RG03,242,SQUARE METERS,.47,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0034-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE RECY,RG01,1.75,ACRE,1.3,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0035-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,.77999997,,11,MOSTLY CLEAR / MOSTLY SUNNY
2,0035-001,PANEL A,Panel A - 2 Visits,R02,G/NUTS,RG02,1,ACRE,.72000003,,11,MOSTLY CLEAR / MOSTLY SUNNY
1,0036-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,1.5,ACRE,1,,9,PARTLY CLOUDY / PARTLY SUNNY
1,0037-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,.25,ACRE,.69999999,,12,CLEAR / SUNNY
2,0037-001,PANEL A,Panel A - 2 Visits,R02,TOBACCO,RG01,.25,ACRE,.2,,12,CLEAR / SUNNY
3,0037-001,PANEL A,Panel A - 2 Visits,R03,FALLOW,RG01,.25,ACRE,.5,,12,CLEAR / SUNNY
1,0038-001,PANEL B,Panel B - 2 Visits,R01,HYBRIDE MAIZE,RG01,.25,ACRE,.88999999,,11,PARTLY CLOUDY / PARTLY SUNNY
2,0038-001,PANEL B,Panel B - 2 Visits,R02,GROUND NUTS,RG02,1,ACRE,.50999999,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0040-001,PANEL B,Panel B - 2 Visits,R01,RECYCLED HYBRID,RG01,1.25,ACRE,.80000001,,9,PARTLY CLOUDY / PARTLY SUNNY
2,0040-001,PANEL B,Panel B - 2 Visits,R02,HYBRID MAIZE,RG01,1,ACRE,.40000001,,9,PARTLY CLOUDY / PARTLY SUNNY
1,0041-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,.25,ACRE,1.1,,8,PARTLY CLOUDY / PARTLY SUNNY
2,0041-001,PANEL A,Panel A - 2 Visits,R02,LOCAL MAIZE,RG01,3,ACRE,1,,8,PARTLY CLOUDY / PARTLY SUNNY
3,0041-001,PANEL A,Panel A - 2 Visits,R03,G/NUTS,RG01,2,ACRE,.80000001,,8,PARTLY CLOUDY / PARTLY SUNNY
4,0041-001,PANEL A,Panel A - 2 Visits,R04,BEANS,RG01,3,ACRE,.80000001,,8,PARTLY CLOUDY / PARTLY SUNNY
5,0041-001,PANEL A,Panel A - 2 Visits,R05,BURLEY,RG01,.25,ACRE,.40000001,,8,PARTLY CLOUDY / PARTLY SUNNY
1,0042-001,PANEL B,Panel B - 2 Visits,R01,HYBRIDE MAIZE,RG01,1,ACRE,.43000001,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0042-001,PANEL B,Panel B - 2 Visits,R02,GROUND NUTS,RG02,.75,ACRE,.079999998,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0043-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,.30000001,,9,PARTLY CLOUDY / PARTLY SUNNY
2,0043-001,PANEL A,Panel A - 2 Visits,R02,HYBRID MAIZE,RG02,1,ACRE,.2,,9,PARTLY CLOUDY / PARTLY SUNNY
3,0043-001,PANEL A,Panel A - 2 Visits,R03,SWEET POTATO,RG03,.25,ACRE,.2,,9,PARTLY CLOUDY / PARTLY SUNNY
1,0044-001,PANEL B,Panel B - 2 Visits,R01,HYBRIDE MAIZE,RG01,.5,ACRE,.56999999,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0044-001,PANEL B,Panel B - 2 Visits,R02,TOBACCO,RG02,.5,ACRE,.72000003,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0045-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,.60000002,,10,PARTLY CLOUDY / PARTLY SUNNY
2,0045-001,PANEL A,Panel A - 2 Visits,R02,LOCAL MAIZE,RG02,.25,ACRE,.5,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0046-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,.5,ACRE,.30000001,,11,PARTLY CLOUDY / PARTLY SUNNY
2,0046-001,PANEL B,Panel B - 2 Visits,R02,GROUNDNUTS,RG02,.5,ACRE,.54000002,,11,PARTLY CLOUDY / PARTLY SUNNY
3,0046-001,PANEL B,Panel B - 2 Visits,R03,GROUNDNUTS,RG03,.5,ACRE,.23999999,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0047-001,PANEL A,Panel A - 2 Visits,R01,BAKA G/NUTS,RG01,.25,ACRE,.30000001,,11,CLEAR / SUNNY
2,0047-001,PANEL A,Panel A - 2 Visits,R02,LOCAL MAIZE,RG01,1,ACRE,1.3,,12,CLEAR / SUNNY
1,0048-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,.80000001,,10,CLEAR / SUNNY
2,0048-001,PANEL B,Panel B - 2 Visits,R02,BEANS,RG01,.25,ACRE,.40000001,,10,CLEAR / SUNNY
3,0048-001,PANEL B,Panel B - 2 Visits,R03,SOYABEANS,RG01,.25,ACRE,.1,,10,CLEAR / SUNNY
1,0049-001,PANEL A,Panel A - 2 Visits,R01,MAIZE LOCAL,RG01,.5,ACRE,1.9,,11,CLEAR / SUNNY
2,0049-001,PANEL A,Panel A - 2 Visits,R02,GROUND NUTS,RG01,.1,ACRE,.58999997,,11,CLEAR / SUNNY
3,0049-001,PANEL A,Panel A - 2 Visits,R03,HYBRID,RG02,.1,ACRE,.68000001,,11,CLEAR / SUNNY
1,0050-001,PANEL B,Panel B - 2 Visits,R01,MUNDA WA PANYUMBA,RG01,1,ACRE,.80000001,,8,MOSTLY CLOUDY / CONSIDERABLE CLOUDINESS
2,0050-001,PANEL B,Panel B - 2 Visits,R02,MUNDA WA PANYUMBA,RG01,1,ACRE,.40000001,,8,MOSTLY CLOUDY / CONSIDERABLE CLOUDINESS
3,0050-001,PANEL B,Panel B - 2 Visits,R03,MUNDA WA PANYUMBA,RG01,.25,ACRE,.1,,8,MOSTLY CLOUDY / CONSIDERABLE CLOUDINESS
1,0051-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,2,ACRE,1.26,,11,PARTLY CLOUDY / PARTLY SUNNY
2,0051-001,PANEL A,Panel A - 2 Visits,R02,LOCAL MAIZE,RG02,1.5,ACRE,1.25,,10,PARTLY CLOUDY / PARTLY SUNNY
3,0051-001,PANEL A,Panel A - 2 Visits,R03,G/NUTS,RG03,1,ACRE,.37,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0052-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,.50999999,,10,PARTLY CLOUDY / PARTLY SUNNY
2,0052-001,PANEL B,Panel B - 2 Visits,R02,TOBACCO,RG02,.25,ACRE,.23999999,,10,PARTLY CLOUDY / PARTLY SUNNY
3,0052-001,PANEL B,Panel B - 2 Visits,R03,GROUNDNUTS,RG03,.5,ACRE,.38,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0053-002,PANEL A,Panel A - 2 Visits,R01,HYBRIDE MAIZE,RG01,1,ACRE,1,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0053-002,PANEL A,Panel A - 2 Visits,R02,TOBBACCO,RG02,1,ACRE,.22,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0054-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,1,,11,CLEAR / SUNNY
2,0054-001,PANEL B,Panel B - 2 Visits,R02,CG7,RG02,1,ACRE,.60000002,,11,CLEAR / SUNNY
3,0054-001,PANEL B,Panel B - 2 Visits,R03,SOYA BEANS,RG03,.25,ACRE,.1,,11,CLEAR / SUNNY
1,0055-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE RECY,RG01,.75,ACRE,.28999999,,9,PARTLY CLOUDY / PARTLY SUNNY
2,0055-001,PANEL A,Panel A - 2 Visits,R02,GROUNDNUTS,RG02,.75,ACRE,.22,,10,PARTLY CLOUDY / PARTLY SUNNY
3,0055-001,PANEL A,Panel A - 2 Visits,R03,HYBRID MAIZE RECY,RG03,2,ACRE,1.5,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0056-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,1.2,,10,PARTLY CLOUDY / PARTLY SUNNY
2,0056-001,PANEL B,Panel B - 2 Visits,R02,SOYA BEANS,RG02,.25,ACRE,.69999999,,10,PARTLY CLOUDY / PARTLY SUNNY
3,0056-001,PANEL B,Panel B - 2 Visits,R03,GROUNDNUTS,RG03,.25,ACRE,.2,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0057-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,.40000001,,11,PARTLY CLOUDY / PARTLY SUNNY
2,0057-001,PANEL A,Panel A - 2 Visits,R02,GROUND NUTS,RG02,1,ACRE,.85000002,,10,PARTLY CLOUDY / PARTLY SUNNY
3,0057-001,PANEL A,Panel A - 2 Visits,R03,LOCAL MAIZE,RG03,1,ACRE,1.3200001,,10,PARTLY CLOUDY / PARTLY SUNNY
4,0057-001,PANEL A,Panel A - 2 Visits,R04,BEANS,RG04,.5,ACRE,.94999999,,10,PARTLY CLOUDY / PARTLY SUNNY
5,0057-001,PANEL A,Panel A - 2 Visits,R05,HYBRID MAIZE RECY,RG05,.5,ACRE,.34999999,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0058-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE RECY,RG01,.75,ACRE,.38,,10,PARTLY CLOUDY / PARTLY SUNNY
2,0058-001,PANEL B,Panel B - 2 Visits,R02,HYBRID MAIZE RECY,RG02,.75,ACRE,.47999999,,10,PARTLY CLOUDY / PARTLY SUNNY
3,0058-001,PANEL B,Panel B - 2 Visits,R03,TOBACCO,RG03,.75,ACRE,.25999999,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0059-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,1.2,,12,CLEAR / SUNNY
1,0060-001,PANEL B,Panel B - 2 Visits,R01,MAIZE HYBRIDE,RG01,.89999998,ACRE,.63,,10,RAINY
1,0061-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,1,,9,PARTLY CLOUDY / PARTLY SUNNY
2,0061-001,PANEL A,Panel A - 2 Visits,R02,G/NUTS MANIPINTA,RG02,.15000001,ACRE,.1,,9,PARTLY CLOUDY / PARTLY SUNNY
3,0061-001,PANEL A,Panel A - 2 Visits,R03,SWEET POTATO,RG03,.25,ACRE,.40000001,,9,PARTLY CLOUDY / PARTLY SUNNY
4,0061-001,PANEL A,Panel A - 2 Visits,R04,SUNFLOWER,RG04,.25,ACRE,.1,,9,PARTLY CLOUDY / PARTLY SUNNY
1,0062-002,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,1.1,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0063-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,.5,ACRE,.60000002,,12,CLEAR / SUNNY
2,0063-001,PANEL A,Panel A - 2 Visits,R02,SWEET POTATO,RG01,.25,ACRE,.2,,11,MOSTLY CLEAR / MOSTLY SUNNY
1,0064-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,.69999999,,10,PARTLY CLOUDY / PARTLY SUNNY
2,0064-001,PANEL B,Panel B - 2 Visits,R02,SOYA BEANS,RG02,.15000001,ACRE,.1,,10,PARTLY CLOUDY / PARTLY SUNNY
3,0064-001,PANEL B,Panel B - 2 Visits,R03,GROUNDNUT MANIPINTA,RG03,.25,ACRE,.60000002,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0065-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,.5,ACRE,.38999999,,12,MOSTLY CLEAR / MOSTLY SUNNY
1,0066-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,1,,9,MOSTLY CLOUDY / CONSIDERABLE CLOUDINESS
1,0067-001,PANEL A,Panel A - 2 Visits,R01,HYVBNRID MAIZE,RG01,.1,ACRE,.27000001,,12,MOSTLY CLEAR / MOSTLY SUNNY
2,0067-001,PANEL A,Panel A - 2 Visits,R02,HYBRID MAIZE,RG02,.1,ACRE,.12,,12,MOSTLY CLEAR / MOSTLY SUNNY
3,0067-001,PANEL A,Panel A - 2 Visits,R03,HYBRID MAIZE,RG03,.5,ACRE,.47999999,,12,MOSTLY CLEAR / MOSTLY SUNNY
1,0068-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,2,ACRE,.40000001,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0069-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,.25,ACRE,.23,,12,MOSTLY CLEAR / MOSTLY SUNNY
1,0070-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,.5,ACRE,.30000001,,11,PARTLY CLOUDY / PARTLY SUNNY
2,0070-001,PANEL B,Panel B - 2 Visits,R02,HYBRID MAIZE,RG02,.5,ACRE,.1,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0071-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,.25,ACRE,.40000001,,10,MOSTLY CLOUDY / CONSIDERABLE CLOUDINESS
2,0071-001,PANEL A,Panel A - 2 Visits,R02,HYBRID MAIZE,RG02,.25,ACRE,.2,,10,MOSTLY CLOUDY / CONSIDERABLE CLOUDINESS
3,0071-001,PANEL A,Panel A - 2 Visits,R03,RICE FAYA,RG03,1,ACRE,1.3,,10,MOSTLY CLOUDY / CONSIDERABLE CLOUDINESS
1,0072-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1.25,ACRE,.51999998,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0073-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE PAKAYA,RG01,1,ACRE,1.4,,12,CLEAR / SUNNY
1,0074-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1.25,ACRE,.83999997,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0074-001,PANEL B,Panel B - 2 Visits,R02,GROUND NUTS,RG02,1,ACRE,.47,,12,PARTLY CLOUDY / PARTLY SUNNY
3,0074-001,PANEL B,Panel B - 2 Visits,R03,SOYA BEAN,RG03,.25,ACRE,.13,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0075-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,.5,ACRE,.44999999,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0076-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,.69999999,,10,MOSTLY CLEAR / MOSTLY SUNNY
2,0076-001,PANEL B,Panel B - 2 Visits,R02,HYBRID MAIZE,RG02,1,ACRE,1.5,,10,MOSTLY CLEAR / MOSTLY SUNNY
1,0077-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,.30000001,,11,MOSTLY CLOUDY / CONSIDERABLE CLOUDINESS
2,0077-001,PANEL A,Panel A - 2 Visits,R02,HYBRID MAIZE,RG02,1,ACRE,.2,,11,MOSTLY CLOUDY / CONSIDERABLE CLOUDINESS
1,0078-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,1.7,,10,CLEAR / SUNNY
1,0079-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,.5,ACRE,.50999999,,12,MOSTLY CLEAR / MOSTLY SUNNY
2,0079-001,PANEL A,Panel A - 2 Visits,R02,HYBRID MAIZE,RG02,.25,ACRE,.23999999,,12,MOSTLY CLEAR / MOSTLY SUNNY
1,0080-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,.66000003,,11,PARTLY CLOUDY / PARTLY SUNNY
2,0080-001,PANEL B,Panel B - 2 Visits,R02,GROUND NUTS,RG02,.5,ACRE,.25999999,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0081-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,.5,,12,CLEAR / SUNNY
1,0082-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,1,,10,PARTLY CLOUDY / PARTLY SUNNY
2,0082-001,PANEL B,Panel B - 2 Visits,R02,HYBRID MAIZE,RG02,.5,ACRE,.5,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0083-001,PANEL A,Panel A - 2 Visits,R01,,,,,,,,
1,0084-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1.75,ACRE,1.1,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0084-001,PANEL B,Panel B - 2 Visits,R02,HYBRID MAIZE RECY,RG02,1,ACRE,.41999999,,12,PARTLY CLOUDY / PARTLY SUNNY
