occ,y2_hhid,qx_type,interview_status,ag_a1_start,ag_a1_end,ag_a2_start,ag_a2_end,ag_b_start,ag_b_end,ag_b_start_day,ag_b_start_month,ag_b_start_hour,ag_b_start_minute,ag_b_end_hour,ag_b_end_minute,ag_b_respondent,ag_b1_start,ag_b1_end,ag_b1_start_day,ag_b1_start_month,ag_b1_start_hour,ag_b1_start_minute,ag_b1_end_hour,ag_b1_end_minute,ag_b1_respondent,ag_c_start,ag_c_end,ag_c_start_day,ag_c_start_month,ag_c_start_hour,ag_c_start_minute,ag_c_end_hour,ag_c_end_minute,ag_c_respondent,ag_d_start,ag_d_end,ag_d_start_day,ag_d_start_month,ag_d_start_hour,ag_d_start_minute,ag_d_end_hour,ag_d_end_minute,ag_d_respondent,ag_e_start,ag_e_end,ag_e_start_day,ag_e_start_month,ag_e_start_hour,ag_e_start_minute,ag_e_end_hour,ag_e_end_minute,ag_e_respondent,ag_f_start,ag_f_end,ag_f_start_day,ag_f_start_month,ag_f_start_hour,ag_f_start_minute,ag_f_end_hour,ag_f_end_minute,ag_f_respondent,ag_g_start,ag_g_end,ag_g_start_day,ag_g_start_month,ag_g_start_hour,ag_g_start_minute,ag_g_end_hour,ag_g_end_minute,ag_h_start,ag_h_end,ag_h_start_day,ag_h_start_month,ag_h_start_hour,ag_h_start_minute,ag_h_end_hour,ag_h_end_minute,ag_h_respondent,ag_r_start,ag_r_end,ag_r_start_day,ag_r_start_month,ag_r_start_hour,ag_r_start_minute,ag_r_end_hour,ag_r_end_minute,ag_s_start,ag_s_end,ag_s_start_day,ag_s_start_month,ag_s_start_hour,ag_s_start_minute,ag_s_end_hour,ag_s_end_minute,ag_s_respondent,ag_i_start,ag_i_end,ag_i_start_day,ag_i_start_month,ag_i_start_hour,ag_i_start_minute,ag_i_end_hour,ag_i_end_minute,ag_i1_start,ag_i1_end,ag_i1_start_day,ag_i1_start_month,ag_i1_start_hour,ag_i1_start_minute,ag_i1_end_hour,ag_i1_end_minute,ag_i1_respondent,ag_j_start,ag_j_end,ag_j_start_day,ag_j_start_month,ag_j_start_hour,ag_j_start_minute,ag_j_end_hour,ag_j_end_minute,ag_j_respondent,ag_k_start,ag_k_end,ag_k_start_day,ag_k_start_month,ag_k_start_hour,ag_k_start_minute,ag_k_end_hour,ag_k_end_minute,ag_k_respondent,ag_l_start,ag_l_end,ag_l_start_day,ag_l_start_month,ag_l_start_hour,ag_l_start_minute,ag_l_end_hour,ag_l_end_minute,ag_l_respondent,ag_m_start,ag_m_end,ag_m_start_day,ag_m_start_month,ag_m_start_hour,ag_m_start_minute,ag_m_end_hour,ag_m_end_minute,ag_m_respondent,ag_n_start,ag_n_end,ag_n_start_day,ag_n_start_month,ag_n_start_hour,ag_n_start_minute,ag_n_end_hour,ag_n_end_minute,ag_n_respondent,ag_o1_start,ag_o1_end,ag_o1_start_day,ag_o1_start_month,ag_o1_start_hour,ag_o1_start_minute,ag_o1_end_hour,ag_o1_end_minute,ag_o11_start,ag_o11_end,ag_o11_start_day,ag_o11_start_month,ag_o11_start_hour,ag_o11_start_minute,ag_o11_end_hour,ag_o11_end_minute,ag_o11_respondent,ag_o2_start,ag_o2_end,ag_o2_start_day,ag_o2_start_month,ag_o2_start_hour,ag_o2_start_minute,ag_o2_end_hour,ag_o2_end_minute,ag_o2_respondent,ag_p_start,ag_p_end,ag_p_start_day,ag_p_start_month,ag_p_start_hour,ag_p_start_minute,ag_p_end_hour,ag_p_end_minute,ag_p_respondent,ag_q_start,ag_q_end,ag_q_start_day,ag_q_start_month,ag_q_start_hour,ag_q_start_minute,ag_q_end_hour,ag_q_end_minute,ag_t_start,ag_t_end,ag_t_start_day,ag_t_start_month,ag_t_start_hour,ag_t_start_minute,ag_t_end_hour,ag_t_end_minute,ag_t_respondent,ag_u1_start,ag_u1_end,ag_u1_start_day,ag_u1_start_month,ag_u1_start_hour,ag_u1_start_minute,ag_u1_manager,ag_u1_manager_a,ag_u1_end_hour,ag_u1_end_minute,ag_u2_start,ag_u2_end,ag_u2_start_day,ag_u2_start_month,ag_u2_start_hour,ag_u2_start_minute,ag_u2_manager_a,ag_u2_end_hour,ag_u2_end_minute,ag_u3_start,ag_u3_end,ag_u3_start_day,ag_u3_start_month,ag_u3_start_hour,ag_u3_start_minute,ag_u3_manager_a,ag_u3_end_hour,ag_u3_end_minute,ag_u4_start,ag_u4_end,ag_u4_start_day,ag_u4_start_month,ag_u4_start_hour,ag_u4_start_minute,ag_u4_manager_a,ag_u4_end_hour,ag_u4_end_minute,ag_nr_start,ag_nr_end
1,0204-001,PANEL B,Panel B - 2 Visits,04/07/13 07:37:18,04/07/13 07:38:16,,10/10/13 10:31:49,04/07/13 07:38:16,10/10/13 10:31:49,1,JULY,9,0,9,6,2,04/07/13 07:39:02,10/10/13 10:31:49,1,JULY,9,6,9,7,2,,,,,,,,,,,,,,,,,,,04/07/13 07:39:35,10/10/13 10:31:50,1,JULY,9,7,9,20,2,04/07/13 07:42:54,10/10/13 10:31:50,1,JULY,9,20,9,21,2,04/07/13 07:43:45,10/10/13 10:31:50,1,JULY,9,21,9,22,,,,,,,,,,04/07/13 07:43:56,10/10/13 10:31:51,1,JULY,9,22,9,27,04/07/13 07:45:13,10/10/13 10:31:51,1,JULY,9,28,9,28,2,,,,,,,,,10/10/13 10:31:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/10/13 10:32:07,10/10/13 10:32:52,5,OCTOBER,9,43,9,47,2,10/10/13 10:32:52,10/10/13 10:33:34,5,OCTOBER,9,47,9,50,2,10/10/13 10:33:34,10/10/13 10:34:22,5,OCTOBER,9,50,9,54,2,10/10/13 10:34:22,10/10/13 10:34:45,5,OCTOBER,9,54,9,58,10/10/13 10:34:45,10/10/13 10:35:11,5,OCTOBER,9,58,10,1,2,10/10/13 10:35:11,10/10/13 10:36:30,5,OCTOBER,10,1,2,2,10,7,10/10/13 10:36:30,10/10/13 10:37:14,5,OCTOBER,10,7,2,10,12,10/10/13 10:37:14,10/10/13 10:38:26,5,OCTOBER,10,15,1,10,20,10/10/13 10:38:26,10/10/13 10:38:48,5,OCTOBER,10,20,1,10,24,04/07/13 07:45:27,04/07/13 07:45:45
1,0205-001,PANEL A,Panel A - 2 Visits,27/05/13 06:37:46,27/05/13 06:42:25,,02/09/13 15:12:38,27/05/13 06:42:25,02/09/13 15:12:39,22,MAY,8,28,8,37,1,27/05/13 06:46:20,02/09/13 15:12:39,22,MAY,8,37,8,39,1,27/05/13 06:48:14,02/09/13 15:12:39,22,MAY,8,39,8,40,1,27/05/13 06:50:12,02/09/13 15:12:39,22,MAY,8,40,8,56,1,27/05/13 06:56:18,02/09/13 15:12:39,22,MAY,8,57,8,58,1,27/05/13 06:57:14,02/09/13 15:12:39,22,MAY,8,58,9,5,1,27/05/13 06:58:10,02/09/13 15:12:39,22,MAY,9,5,9,9,27/05/13 06:59:16,02/09/13 15:12:39,22,MAY,9,9,9,14,1,27/05/13 07:00:21,02/09/13 15:12:41,22,MAY,9,14,9,14,,02/09/13 15:12:41,,,,,,,,02/09/13 15:15:29,02/09/13 15:16:06,29,AUGUST,10,2,10,6,02/09/13 15:16:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/09/13 15:16:08,,,,,,,,,02/09/13 15:16:20,,,,,,,,,,,,,,,,,,,,,,,,,,02/09/13 15:16:20,02/09/13 15:16:46,29,AUGUST,10,11,10,14,1,02/09/13 15:16:46,02/09/13 15:18:14,29,AUGUST,10,14,2,1,10,19,02/09/13 15:18:14,02/09/13 15:18:33,29,AUGUST,10,19,1,10,24,02/09/13 15:18:33,02/09/13 15:19:59,29,AUGUST,10,25,2,10,32,02/09/13 15:19:59,02/09/13 15:20:15,29,AUGUST,10,32,2,10,37,27/05/13 07:00:41,27/05/13 07:01:25
1,0207-001,PANEL A,Panel A - 2 Visits,23/05/13 11:47:24,23/05/13 11:48:47,,02/09/13 13:21:38,23/05/13 11:48:47,02/09/13 13:21:38,22,MAY,11,31,11,33,2,23/05/13 11:49:43,02/09/13 13:21:38,22,MAY,11,33,11,34,1,23/05/13 11:51:25,02/09/13 13:21:38,22,MAY,11,34,11,36,1,23/05/13 11:52:14,02/09/13 13:21:38,22,MAY,11,36,11,38,2,23/05/13 11:54:16,02/09/13 13:21:38,22,MAY,11,38,11,45,2,23/05/13 11:58:32,02/09/13 13:21:38,22,MAY,11,45,11,46,2,23/05/13 12:00:16,02/09/13 13:21:40,22,MAY,11,46,11,48,23/05/13 12:01:49,02/09/13 13:21:40,22,MAY,11,48,11,52,2,23/05/13 12:02:41,02/09/13 13:21:40,22,MAY,11,52,11,58,23/05/13 12:05:36,02/09/13 13:21:40,22,MAY,11,58,12,0,2,02/09/13 13:22:54,02/09/13 13:23:38,28,AUGUST,10,28,10,31,02/09/13 13:23:38,,,,,,,,,02/09/13 13:23:46,02/09/13 13:24:36,28,AUGUST,10,32,10,33,1,02/09/13 13:24:36,02/09/13 13:25:31,28,AUGUST,10,33,10,36,2,02/09/13 13:25:31,02/09/13 13:25:54,28,AUGUST,10,36,10,38,2,02/09/13 13:25:54,02/09/13 13:26:30,28,AUGUST,10,38,10,40,2,02/09/13 13:26:30,02/09/13 13:26:59,28,AUGUST,10,40,10,43,2,02/09/13 13:26:59,02/09/13 13:28:26,28,AUGUST,10,43,10,47,02/09/13 13:23:39,,,,,,,,,02/09/13 13:28:33,02/09/13 13:29:12,28,AUGUST,10,47,10,49,1,02/09/13 13:29:12,02/09/13 13:29:44,28,AUGUST,10,49,10,53,2,02/09/13 13:29:44,02/09/13 13:30:38,28,AUGUST,10,53,10,56,02/09/13 13:30:38,02/09/13 13:31:13,28,AUGUST,10,56,10,59,2,02/09/13 13:31:13,02/09/13 13:33:19,28,AUGUST,10,59,2,1,11,5,02/09/13 13:33:19,02/09/13 13:33:41,28,AUGUST,11,5,1,11,10,02/09/13 13:33:41,02/09/13 13:34:58,28,AUGUST,11,10,2,11,18,02/09/13 13:34:58,02/09/13 13:35:18,28,AUGUST,10,18,2,11,23,23/05/13 12:06:09,23/05/13 12:06:52
1,0208-001,PANEL B,Panel B - 2 Visits,03/07/13 15:49:38,03/07/13 15:50:53,,10/10/13 09:58:02,03/07/13 15:50:53,10/10/13 09:58:03,1,JULY,7,57,8,4,1,03/07/13 15:57:02,10/10/13 09:58:03,1,JULY,8,4,8,7,1,03/07/13 15:58:43,10/10/13 09:58:03,1,JULY,8,7,8,9,1,03/07/13 16:00:14,10/10/13 09:58:05,1,JULY,8,12,8,26,1,03/07/13 16:08:41,10/10/13 09:58:05,1,JULY,8,26,8,38,1,03/07/13 16:12:51,10/10/13 09:58:05,1,JULY,8,38,8,31,1,03/07/13 16:14:39,10/10/13 09:58:05,1,JULY,8,31,8,44,03/07/13 16:15:16,10/10/13 09:58:05,1,JULY,8,44,8,49,1,03/07/13 16:16:02,10/10/13 09:58:06,1,JULY,8,49,8,59,03/07/13 16:19:41,10/10/13 09:58:06,1,JULY,8,59,8,59,1,10/10/13 09:59:35,10/10/13 10:00:51,5,OCTOBER,9,26,9,33,10/10/13 10:00:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/10/13 10:00:54,10/10/13 10:01:45,5,OCTOBER,9,33,9,34,1,10/10/13 10:01:45,10/10/13 10:02:31,5,OCTOBER,9,35,9,36,1,10/10/13 10:02:31,10/10/13 10:03:23,5,OCTOBER,9,36,9,39,1,10/10/13 10:03:23,10/10/13 10:03:47,5,OCTOBER,9,39,9,43,10/10/13 10:03:47,10/10/13 10:04:16,5,OCTOBER,9,43,9,45,1,10/10/13 10:04:16,10/10/13 10:05:34,5,OCTOBER,9,46,2,1,9,53,10/10/13 10:05:34,10/10/13 10:05:50,5,OCTOBER,9,53,1,9,57,10/10/13 10:05:50,10/10/13 10:07:04,5,OCTOBER,9,53,2,10,2,10/10/13 10:07:04,10/10/13 10:07:21,5,OCTOBER,10,2,2,10,7,03/07/13 16:20:04,03/07/13 16:21:28
1,0209-001,PANEL A,Panel A - 2 Visits,23/05/13 09:50:46,23/05/13 09:52:05,,02/09/13 11:27:00,23/05/13 09:52:05,02/09/13 11:27:00,21,MAY,9,37,9,38,1,23/05/13 09:52:21,02/09/13 11:27:00,21,MAY,9,39,9,40,1,23/05/13 09:53:30,02/09/13 11:27:00,21,SEPTEMBER,9,40,9,41,1,23/05/13 09:54:27,02/09/13 11:27:01,21,MAY,9,42,9,44,1,23/05/13 09:57:09,02/09/13 11:27:01,21,MAY,9,45,9,50,1,23/05/13 09:58:01,02/09/13 11:27:01,21,MAY,9,50,9,56,1,23/05/13 09:59:00,02/09/13 11:27:01,21,MAY,9,56,9,57,23/05/13 09:59:30,02/09/13 11:27:01,21,MAY,9,58,9,59,1,23/05/13 10:01:03,02/09/13 11:27:04,21,MAY,9,59,9,59,,02/09/13 11:27:04,,,,,,,,02/09/13 11:28:27,02/09/13 11:28:46,27,AUGUST,8,40,8,44,02/09/13 11:28:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/09/13 11:28:47,,,,,,,,,02/09/13 11:29:00,02/09/13 11:29:39,27,AUGUST,8,45,8,47,1,02/09/13 11:29:39,02/09/13 11:30:07,27,AUGUST,8,47,8,52,1,02/09/13 11:30:07,02/09/13 11:30:27,27,AUGUST,8,52,8,58,02/09/13 11:30:27,02/09/13 11:31:01,27,AUGUST,8,58,9,2,1,02/09/13 11:31:01,02/09/13 11:32:41,27,AUGUST,9,2,2,1,9,12,02/09/13 11:32:41,02/09/13 11:33:00,27,AUGUST,9,12,1,9,19,02/09/13 11:33:00,02/09/13 11:35:10,27,AUGUST,9,20,2,9,30,02/09/13 11:35:10,02/09/13 11:35:29,27,AUGUST,9,30,2,9,37,23/05/13 10:01:21,23/05/13 10:01:56
1,0210-001,PANEL B,Panel B - 2 Visits,03/07/13 10:07:47,03/07/13 10:08:52,,08/10/13 14:21:04,03/07/13 10:08:52,08/10/13 14:21:04,1,JULY,13,39,13,42,1,03/07/13 10:10:14,08/10/13 14:21:04,1,JULY,13,42,13,43,1,03/07/13 10:11:17,08/10/13 14:21:04,1,JULY,13,43,13,45,1,03/07/13 10:12:27,08/10/13 14:21:04,1,JULY,13,45,13,51,1,03/07/13 10:14:53,08/10/13 14:21:04,1,JULY,13,51,13,56,1,03/07/13 10:17:22,08/10/13 14:21:05,1,JULY,13,56,13,56,1,03/07/13 10:17:57,08/10/13 14:21:05,1,JULY,13,56,13,58,03/07/13 10:18:28,08/10/13 14:21:05,1,JULY,13,59,14,0,1,03/07/13 10:19:02,08/10/13 14:21:05,1,JULY,14,0,14,4,03/07/13 10:20:17,08/10/13 14:21:05,1,JULY,14,5,14,6,1,08/10/13 14:22:16,08/10/13 14:22:48,5,OCTOBER,10,10,10,15,08/10/13 14:22:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/10/13 14:22:49,,,,,,,,,08/10/13 14:22:59,08/10/13 14:23:28,5,OCTOBER,10,16,10,20,1,08/10/13 14:23:28,08/10/13 14:24:26,5,OCTOBER,10,20,10,25,1,08/10/13 14:24:26,08/10/13 14:24:47,5,OCTOBER,10,25,10,30,08/10/13 14:24:47,08/10/13 14:25:12,5,OCTOBER,10,30,10,35,1,08/10/13 14:25:13,08/10/13 14:26:34,5,OCTOBER,10,35,2,1,10,45,08/10/13 14:26:34,08/10/13 14:26:55,5,OCTOBER,10,45,1,10,50,08/10/13 14:26:55,08/10/13 14:30:05,5,OCTOBER,10,50,2,10,59,08/10/13 14:30:05,08/10/13 14:30:27,5,OCTOBER,10,59,2,11,6,03/07/13 10:20:34,03/07/13 10:20:46
1,0212-001,PANEL B,Panel B - 2 Visits,03/07/13 11:22:25,03/07/13 11:23:43,,10/10/13 07:30:42,03/07/13 11:23:43,10/10/13 07:30:44,2,JULY,8,20,8,32,2,03/07/13 11:25:36,10/10/13 07:30:45,2,JULY,8,32,8,37,2,03/07/13 13:47:24,10/10/13 07:30:46,2,JULY,8,38,8,43,2,03/07/13 13:49:24,10/10/13 07:30:46,2,JULY,8,44,8,56,2,03/07/13 13:53:40,10/10/13 07:30:46,2,JULY,8,57,9,8,2,03/07/13 13:55:23,10/10/13 07:30:46,2,JULY,9,9,9,16,2,03/07/13 13:56:12,10/10/13 07:30:47,2,JULY,9,16,9,19,03/07/13 13:57:12,10/10/13 07:30:48,2,JULY,9,20,9,26,2,03/07/13 13:58:18,10/10/13 07:30:49,2,JULY,9,27,9,32,03/07/13 13:59:04,10/10/13 07:30:49,2,JULY,9,33,9,34,2,10/10/13 07:32:38,10/10/13 07:37:31,6,OCTOBER,9,45,9,51,10/10/13 07:37:31,,,,,,,,,10/10/13 07:37:34,10/10/13 07:38:50,6,OCTOBER,9,53,9,55,2,10/10/13 07:38:50,10/10/13 07:41:37,6,OCTOBER,9,55,10,1,2,10/10/13 07:41:37,10/10/13 07:42:11,6,OCTOBER,10,1,10,4,2,10/10/13 07:42:11,10/10/13 07:43:03,6,OCTOBER,10,4,10,7,2,10/10/13 07:43:03,10/10/13 07:43:48,6,OCTOBER,10,7,10,10,2,10/10/13 07:43:48,10/10/13 07:44:50,6,OCTOBER,10,10,10,14,10/10/13 07:44:51,,,,,,,,,10/10/13 07:44:53,,,,,,,,,,,,,,,,,,,,,,,,,,10/10/13 07:44:54,10/10/13 07:45:29,6,OCTOBER,10,18,10,21,2,10/10/13 07:45:29,10/10/13 07:46:54,6,OCTOBER,10,21,2,1,10,31,10/10/13 07:46:55,10/10/13 07:47:14,6,OCTOBER,10,31,1,10,35,10/10/13 07:47:14,10/10/13 07:48:31,6,OCTOBER,10,35,2,10,45,10/10/13 07:48:31,10/10/13 07:48:50,6,OCTOBER,10,45,2,10,49,03/07/13 13:59:17,03/07/13 13:59:58
1,0214-001,PANEL B,Panel B - 2 Visits,03/07/13 14:22:50,03/07/13 14:23:55,,09/10/13 14:51:14,03/07/13 14:23:55,09/10/13 14:51:14,1,JULY,11,6,11,11,1,03/07/13 14:24:58,09/10/13 14:51:15,1,JULY,11,11,11,13,1,03/07/13 14:26:08,09/10/13 14:51:15,1,JULY,11,14,11,16,1,03/07/13 14:27:29,09/10/13 14:51:17,1,JULY,11,16,11,26,1,03/07/13 14:30:24,09/10/13 14:51:17,1,JULY,11,26,11,27,1,03/07/13 14:30:58,09/10/13 14:51:17,1,JULY,11,27,11,30,1,03/07/13 14:31:24,09/10/13 14:51:17,1,JULY,11,30,11,33,03/07/13 14:32:24,09/10/13 14:51:17,1,JULY,11,33,11,36,1,03/07/13 14:34:13,09/10/13 14:51:17,1,JULY,11,37,11,40,03/07/13 14:35:36,09/10/13 14:51:17,1,JULY,11,40,11,40,1,09/10/13 14:53:33,09/10/13 14:54:50,5,OCTOBER,11,59,12,4,09/10/13 14:54:50,,,,,,,,,09/10/13 14:54:55,09/10/13 14:55:47,5,OCTOBER,12,4,12,6,1,09/10/13 14:55:48,09/10/13 14:56:51,5,OCTOBER,12,6,12,10,1,09/10/13 14:56:51,09/10/13 14:57:22,5,OCTOBER,12,10,12,14,1,09/10/13 14:57:22,09/10/13 14:58:18,5,OCTOBER,12,14,12,16,1,09/10/13 14:58:18,09/10/13 14:59:04,5,OCTOBER,12,16,12,19,1,09/10/13 14:59:04,09/10/13 15:01:08,5,OCTOBER,12,19,12,24,09/10/13 15:01:08,,,,,,,,,09/10/13 15:01:10,,,,,,,,,,,,,,,,,,,,,,,,,,09/10/13 15:01:10,09/10/13 15:01:48,5,OCTOBER,12,25,12,28,1,09/10/13 15:01:48,09/10/13 15:03:09,5,OCTOBER,12,28,2,1,12,36,09/10/13 15:03:09,09/10/13 15:03:27,5,OCTOBER,12,36,1,12,42,09/10/13 15:03:27,09/10/13 15:04:49,5,OCTOBER,12,42,2,12,48,09/10/13 15:04:49,09/10/13 15:05:09,5,OCTOBER,12,48,2,12,52,03/07/13 14:35:46,03/07/13 14:35:53
1,0216-001,PANEL B,Panel B - 2 Visits,03/07/13 09:35:22,03/07/13 09:36:45,,08/10/13 13:00:57,03/07/13 09:36:45,08/10/13 13:00:57,2,JULY,8,10,8,15,1,03/07/13 09:38:03,08/10/13 13:01:00,2,JULY,8,15,8,16,1,03/07/13 09:39:11,08/10/13 13:01:01,2,JULY,8,16,8,18,1,03/07/13 09:40:35,08/10/13 13:01:01,2,JULY,8,18,8,32,1,03/07/13 09:43:32,08/10/13 13:01:01,2,JULY,8,32,8,33,1,03/07/13 09:44:39,08/10/13 13:01:01,2,JULY,8,33,8,37,1,03/07/13 09:45:27,08/10/13 13:01:01,2,JULY,8,32,8,40,03/07/13 09:46:13,08/10/13 13:01:01,2,JULY,8,40,8,44,1,03/07/13 09:46:46,08/10/13 13:01:02,2,JULY,8,44,8,55,03/07/13 09:50:42,08/10/13 13:01:02,2,JULY,8,55,8,56,1,08/10/13 13:03:49,08/10/13 13:04:41,6,OCTOBER,9,5,9,10,08/10/13 13:04:41,,,,,,,,,08/10/13 13:06:52,08/10/13 13:07:32,6,OCTOBER,9,15,9,21,1,08/10/13 13:07:32,08/10/13 13:09:51,6,OCTOBER,9,21,9,27,1,08/10/13 13:09:51,08/10/13 13:10:49,6,OCTOBER,9,27,9,35,1,08/10/13 13:10:50,08/10/13 13:11:15,6,OCTOBER,9,35,9,40,1,08/10/13 13:11:15,08/10/13 13:11:44,6,OCTOBER,9,40,9,45,1,08/10/13 13:11:44,08/10/13 13:12:06,6,OCTOBER,9,45,9,50,08/10/13 13:12:06,,,,,,,,,08/10/13 13:12:09,08/10/13 13:34:44,6,OCTOBER,9,50,9,55,1,08/10/13 13:34:44,08/10/13 13:35:35,6,OCTOBER,9,55,10,0,1,08/10/13 13:35:35,08/10/13 13:36:01,6,OCTOBER,10,0,10,5,08/10/13 13:36:01,08/10/13 13:40:11,6,OCTOBER,10,5,10,9,1,08/10/13 13:40:11,08/10/13 13:43:35,6,OCTOBER,10,9,2,1,10,19,08/10/13 13:43:35,08/10/13 13:44:18,6,OCTOBER,10,19,1,10,27,08/10/13 13:44:18,08/10/13 13:45:40,6,OCTOBER,10,27,2,10,37,08/10/13 13:45:40,08/10/13 13:46:03,6,OCTOBER,10,37,2,10,46,03/07/13 09:51:09,03/07/13 09:51:51
1,0217-001,PANEL A,Panel A - 2 Visits,24/05/13 07:57:16,24/05/13 07:58:39,,02/09/13 14:50:02,24/05/13 07:58:39,02/09/13 14:50:05,21,MAY,14,59,15,10,1,24/05/13 07:59:57,02/09/13 14:50:05,21,MAY,15,10,15,15,1,24/05/13 08:09:29,02/09/13 14:50:05,21,MAY,15,15,15,20,1,24/05/13 08:11:17,02/09/13 14:50:05,21,MAY,15,20,15,32,1,24/05/13 08:15:06,02/09/13 14:50:05,21,MAY,15,32,15,38,1,24/05/13 08:15:56,02/09/13 14:50:06,21,MAY,15,38,15,42,1,24/05/13 08:16:55,02/09/13 14:50:06,21,MAY,15,42,15,45,24/05/13 08:17:42,02/09/13 14:50:06,21,MAY,15,45,15,48,1,24/05/13 08:18:19,02/09/13 14:50:06,21,MAY,15,48,15,53,24/05/13 08:19:52,02/09/13 14:50:06,21,MAY,15,53,15,56,1,02/09/13 14:51:28,02/09/13 14:52:03,29,AUGUST,9,36,9,42,02/09/13 14:52:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/09/13 14:52:04,02/09/13 14:53:43,29,AUGUST,9,47,9,51,1,02/09/13 14:53:43,02/09/13 14:54:38,29,AUGUST,9,51,9,54,1,02/09/13 14:54:38,02/09/13 14:55:27,29,AUGUST,9,54,10,6,1,02/09/13 14:55:27,02/09/13 14:56:27,29,AUGUST,10,7,10,17,02/09/13 14:56:27,02/09/13 14:57:21,29,AUGUST,10,18,10,24,1,02/09/13 14:57:21,02/09/13 15:01:47,29,AUGUST,10,25,2,1,10,36,02/09/13 15:01:47,02/09/13 15:02:10,29,AUGUST,10,36,1,10,42,02/09/13 15:02:10,02/09/13 15:03:29,29,AUGUST,10,42,2,10,51,02/09/13 15:03:29,02/09/13 15:03:53,29,AUGUST,10,51,2,10,57,24/05/13 08:20:13,24/05/13 08:57:10
1,0218-001,PANEL B,Panel B - 2 Visits,03/07/13 14:06:13,03/07/13 14:07:22,,09/10/13 16:37:45,03/07/13 14:07:22,09/10/13 16:37:47,1,JULY,8,5,8,9,1,03/07/13 14:08:19,09/10/13 16:37:47,1,JULY,8,10,8,12,1,03/07/13 14:09:10,09/10/13 16:37:47,1,JULY,8,12,8,14,1,03/07/13 14:10:00,09/10/13 16:37:47,1,JULY,8,14,8,21,1,03/07/13 14:11:14,09/10/13 16:37:47,1,JULY,8,22,8,27,1,03/07/13 14:11:56,09/10/13 16:37:47,1,JULY,8,28,8,29,1,03/07/13 14:12:15,09/10/13 16:37:47,1,JULY,8,29,8,32,03/07/13 14:12:35,09/10/13 16:37:47,1,JULY,8,32,8,36,1,03/07/13 14:13:04,09/10/13 16:37:48,1,JULY,8,37,8,41,03/07/13 14:14:14,09/10/13 16:37:48,1,JULY,8,42,8,45,1,09/10/13 16:39:08,09/10/13 16:39:47,5,OCTOBER,9,5,9,8,09/10/13 16:39:47,,,,,,,,,09/10/13 16:39:51,09/10/13 16:40:39,5,OCTOBER,9,10,9,12,1,09/10/13 16:40:39,09/10/13 16:41:30,5,OCTOBER,9,12,9,16,1,09/10/13 16:41:30,09/10/13 16:42:00,5,OCTOBER,9,16,9,19,1,09/10/13 16:42:00,09/10/13 16:42:30,5,OCTOBER,9,19,9,22,1,09/10/13 16:42:30,09/10/13 16:42:58,5,OCTOBER,9,22,9,25,1,09/10/13 16:42:58,09/10/13 16:43:28,5,OCTOBER,9,25,9,28,09/10/13 16:39:48,,,,,,,,,09/10/13 16:43:30,,,,,,,,,,,,,,,,,,,,,,,,,,09/10/13 16:43:30,09/10/13 16:44:01,5,OCTOBER,9,32,9,34,1,09/10/13 16:44:01,09/10/13 16:45:20,5,OCTOBER,9,34,1,1,9,44,09/10/13 16:45:20,09/10/13 16:45:37,5,OCTOBER,9,44,1,9,47,09/10/13 16:45:37,,,,,,,,,,,,,,,,,,03/07/13 14:14:34,03/07/13 14:14:56
