occ,y2_hhid,qx_type,interview_status,ag_b0a,ag_b0c,ag_b01a,ag_b01b,ag_b02,ag_b03a,ag_b03b,ag_b04a,ag_b04b,ag_b04c,ag_b05a,ag_b05b,ag_b06,ag_b07a,ag_b07b,ag_b07c,ag_b08,ag_b09a,ag_b09b,ag_b10,ag_b11a,ag_b11b,ag_b11c,ag_b12a,ag_b12b,ag_b12c,ag_b13a,ag_b13b,ag_b13c,ag_b14a,ag_b14b,ag_b14c,ag_b15a,ag_b15b,ag_b15c,ag_b16a,ag_b16b,ag_b16c,ag_b16d,ag_b17a,ag_b17b,ag_b18,ag_b19,ag_b20a,ag_b20b,ag_b20c,ag_b21a,ag_b21b,ag_b22a,ag_b22b
2,0005-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,1,ACRE,NO,,,3,50 KG BAG,SHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0006-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,2,ACRE,NO,,,22,PAIL (LARGE),SHELLED,JUNE,JULY,NO,,,,,,,,3,PAIL (LARGE),SHELLED,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0006-003,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,30,PAIL (LARGE),SHELLED,JUNE,JULY,YES,10,PAIL (LARGE),SHELLED,20000,1,2,0,2,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0007-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,.5,ACRE,NO,,,3,50 KG BAG,SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0007-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,.5,ACRE,NO,,,5,50 KG BAG,SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
3,0007-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,.5,ACRE,NO,,,5,50 KG BAG,SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
4,0007-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,.5,ACRE,NO,,,5,50 KG BAG,SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0008-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,9,50 KG BAG,SHELLED,JUNE,JULY,YES,3,50 KG BAG,SHELLED,14000,1,2,1000,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0008-001,PANEL B,Panel B - 2 Visits,YES,GROUNDNUT CHALIMBANA,.25,ACRE,NO,,,4,50 KG BAG,SHELLED,JUNE,JULY,YES,4,50 KG BAG,SHELLED,15000,1,2,0,0,,,0,,,0,,,0,,,20,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
3,0008-001,PANEL B,Panel B - 2 Visits,YES,BEANS,.25,ACRE,NO,,,1,50 KG BAG,SHELLED,JUNE,JULY,YES,1,50 KG BAG,SHELLED,8000,1,2,0,0,,,0,,,0,,,0,,,10,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0008-003,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,1,ACRE,NO,,,3,50 KG BAG,SHELLED,JULY,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0009-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID RECYCLED,.5,ACRE,NO,,,2,50 KG BAG,SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0009-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID RECYCLED,.5,ACRE,NO,,,2,50 KG BAG,SHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0010-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,2.5,ACRE,NO,,,8,50 KG BAG,SHELLED,JULY,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,40,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0011-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,1,ACRE,YES,DROUGHT,,36,PAIL (LARGE),SHELLED,MAY,MAY,YES,4,PAIL (LARGE),SHELLED,2800,1,2,0,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,10,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0011-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,.25,ACRE,YES,DROUGHT,,6,PAIL (LARGE),UNSHELLED,MAY,MAY,YES,2,PAIL (LARGE),UNSHELLED,1200,1,2,0,1,PAIL (SMALL),UNSHELLED,0,,,0,,,0,,,1,PAIL (SMALL),UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0012-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,2,ACRE,NO,,,1350,KILOGRAM,SHELLED,JUNE,JUNE,YES,10,PAIL (LARGE),SHELLED,18000,1,2,0,0,,,0,,,0,,,0,,,1,50 KG BAG,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0012-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID RECYCLED,3,ACRE,NO,,,1800,KILOGRAM,SHELLED,JUNE,JUNE,YES,12,PAIL (LARGE),SHELLED,20000,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
3,0012-001,PANEL B,Panel B - 2 Visits,YES,SUNFLOWER,.30000001,ACRE,NO,,,2,50 KG BAG,SHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0012-003,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0012-010,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0013-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,120,PAIL (LARGE),SHELLED,JUNE,JULY,YES,120,PAIL (LARGE),SHELLED,144000,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0013-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,.5,ACRE,NO,,,80,PAIL (LARGE),SHELLED,JUNE,JUNE,NO,,,,,,,,10,PAIL (LARGE),SHELLED,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
3,0013-001,PANEL A,Panel A - 2 Visits,YES,BEANS,.25,ACRE,NO,,,3,PAIL (LARGE),SHELLED,JULY,JULY,NO,,,,,,,,1,PAIL (SMALL),SHELLED,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
4,0013-001,PANEL A,Panel A - 2 Visits,YES,GROUNDNUT CHALIMBANA,.25,ACRE,NO,,,5,PAIL (LARGE),UNSHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0014-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,1,ACRE,YES,DROUGHT,,5,PAIL (LARGE),SHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,5,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
2,0014-001,PANEL B,Panel B - 2 Visits,YES,OTHER GROUNDNUT (SPECIFY),.25,ACRE,YES,DROUGHT,,3,PAIL (LARGE),UNSHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,10,PAIL (LARGE),UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0015-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,.5,ACRE,YES,DROUGHT,,28,PAIL (LARGE),SHELLED,MAY,MAY,YES,3,PAIL (LARGE),SHELLED,3000,1,2,0,0,,,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,RENDER PAYMENTS IN-KIND
2,0015-001,PANEL A,Panel A - 2 Visits,YES,OTHER GROUNDNUT (SPECIFY),.25,ACRE,YES,DROUGHT,,4,PAIL (LARGE),UNSHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,10,PAIL (LARGE),UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0016-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,1.5,ACRE,NO,,,120,PAIL (LARGE),SHELLED,JUNE,JULY,YES,30,PAIL (LARGE),SHELLED,45000,1,2,0,10,PAIL (LARGE),SHELLED,0,,,0,,,0,,,20,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0016-001,PANEL B,Panel B - 2 Visits,YES,BEANS,.5,ACRE,YES,DROUGHT,,5,PAIL (LARGE),SHELLED,JUNE,JUNE,YES,2,PAIL (LARGE),SHELLED,4200,1,2,0,10,KILOGRAM,SHELLED,0,,,0,,,0,,,5,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
3,0016-001,PANEL B,Panel B - 2 Visits,YES,SWEET POTATO,.25,ACRE,NO,,,15,PAIL (LARGE),NOT APPLICABLE,APRIL,JUNE,NO,,,,,,,,6,PAIL (LARGE),NOT APPLICABLE,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,OTHER (SPECIFY),
1,0017-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,8,50 KG BAG,SHELLED,JUNE,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0017-001,PANEL A,Panel A - 2 Visits,YES,TOBACCO BURLEY,1,ACRE,NO,,,16,50 KG BAG,NOT APPLICABLE,MAY,MAY,YES,160,50 KG BAG,NOT APPLICABLE,67000,1,2,2150,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,TO SELL AT A HIGHER PRICE,
1,0018-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,.5,ACRE,NO,,,70,PAIL (LARGE),SHELLED,JUNE,JUNE,YES,10,PAIL (LARGE),SHELLED,10000,1,2,0,4,PAIL (LARGE),SHELLED,0,,,0,,,0,,,15,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0018-001,PANEL B,Panel B - 2 Visits,YES,BEANS,.25,ACRE,NO,,,2,PAIL (LARGE),SHELLED,MAY,MAY,NO,,,,,,,,5,KILOGRAM,SHELLED,0,,,0,,,0,,,2,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0019-001,PANEL A,Panel A - 2 Visits,YES,GROUNDNUT CHALIMBANA,.5,ACRE,YES,DROUGHT,LACK OF HIRED LABOR,2,50 KG BAG,SHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0019-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,1,ACRE,YES,DROUGHT,LACK OF HIRED LABOR,4,50 KG BAG,SHELLED,JUNE,JUNE,YES,5,50 KG BAG,SHELLED,13000,1,2,1000,0,,,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0020-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,1,ACRE,NO,,,7,50 KG BAG,SHELLED,JUNE,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,1,50 KG BAG,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0020-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,.5,ACRE,NO,,,1,50 KG BAG,SHELLED,JUNE,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,20,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0021-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,1,ACRE,YES,OTHER (SPECIFY),IRREGULAR RAINS,12,PAIL (LARGE),SHELLED,MAY,JUNE,YES,5,PAIL (LARGE),SHELLED,8000,1,,0,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
2,0021-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,.25,ACRE,YES,OTHER (SPECIFY),IRREGULAR RAINS,5,PAIL (LARGE),SHELLED,MAY,JUNE,YES,2,PAIL (LARGE),SHELLED,2600,1,,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0022-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0023-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,.1,ACRE,NO,,,2,50 KG BAG,SHELLED,DECEMBER,DECEMBER,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0023-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,.2,ACRE,NO,,,3,50 KG BAG,SHELLED,DECEMBER,DECEMBER,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
3,0023-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,6,50 KG BAG,SHELLED,DECEMBER,DECEMBER,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0024-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,3,ACRE,YES,OTHER (SPECIFY),IRREGULAR RAINS,40,PAIL (LARGE),SHELLED,JUNE,JULY,NO,,,,,,,,5,PAIL (LARGE),SHELLED,0,,,0,,,0,,,2,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0025-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,1.5,ACRE,NO,,,80,PAIL (LARGE),SHELLED,JUNE,JUNE,YES,40,PAIL (LARGE),SHELLED,40000,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0025-001,PANEL A,Panel A - 2 Visits,YES,BEANS,.25,ACRE,NO,,,5,PAIL (LARGE),SHELLED,MARCH,MARCH,YES,3,PAIL (LARGE),SHELLED,12000,1,2,0,0,,,0,,,0,,,0,,,5,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0026-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,.5,ACRE,NO,,,30,PAIL (LARGE),SHELLED,JUNE,JULY,NO,,,,,,,,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,2,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
2,0026-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,20,PAIL (LARGE),SHELLED,JUNE,JULY,YES,6,PAIL (LARGE),SHELLED,12000,1,2,0,3,PAIL (LARGE),SHELLED,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0027-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,1.5,ACRE,NO,,,80,PAIL (LARGE),SHELLED,MAY,JUNE,YES,17,PAIL (LARGE),SHELLED,17000,1,2,0,3,PAIL (LARGE),SHELLED,0,,,0,,,0,,,3,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
2,0027-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,.75,ACRE,NO,,,45,PAIL (LARGE),SHELLED,MAY,JUNE,YES,10,PAIL (LARGE),SHELLED,10000,1,2,0,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0028-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,1,ACRE,NO,,,1,50 KG BAG,SHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0029-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,2.25,ACRE,NO,,,100,PAIL (LARGE),SHELLED,MAY,JUNE,YES,60,PAIL (LARGE),SHELLED,72000,1,2,2500,5,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0030-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,.5,ACRE,NO,,,2,50 KG BAG,SHELLED,JUNE,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0030-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,.5,ACRE,NO,,,1,50 KG BAG,SHELLED,JUNE,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0031-001,PANEL A,Panel A - 2 Visits,YES,GROUNDNUT CHALIMBANA,1,ACRE,NO,,,12,PAIL (LARGE),UNSHELLED,MAY,MAY,YES,10,PAIL (LARGE),UNSHELLED,40000,1,2,0,2,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,1,PAIL (LARGE),UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0031-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,.5,ACRE,NO,,,32,PAIL (LARGE),SHELLED,MAY,JUNE,YES,4,PAIL (LARGE),SHELLED,4000,1,2,0,1,PAIL (SMALL),SHELLED,0,,,0,,,0,,,1,PAIL (SMALL),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0032-001,PANEL B,Panel B - 2 Visits,YES,MAIZE LOCAL,1,ACRE,NO,,,5,50 KG BAG,SHELLED,JUNE,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,14,KILOGRAM,SHELLED,12,KILOGRAM,SHELLED,,ROTTING,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0032-001,PANEL B,Panel B - 2 Visits,YES,GROUNDNUT CHALIMBANA,.25,ACRE,NO,,,1,50 KG BAG,SHELLED,JUNE,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,6,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0033-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,.5,ACRE,NO,,,8,50 KG BAG,SHELLED,JUNE,JUNE,YES,3,50 KG BAG,SHELLED,2500,1,2,0,0,,,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0033-001,PANEL A,Panel A - 2 Visits,YES,GROUNDNUT CG7,.25,ACRE,NO,,,2,50 KG BAG,UNSHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,2,50 KG BAG,UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
3,0033-001,PANEL A,Panel A - 2 Visits,YES,SOYABEAN,242,SQUARE METERS,NO,,,1,50 KG BAG,UNSHELLED,MAY,MAY,NO,,,,,,,,0,,,0,,,0,,,0,,,1,50 KG BAG,UNSHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0034-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,150,PAIL (LARGE),SHELLED,JUNE,JULY,YES,50,PAIL (LARGE),SHELLED,50000,1,2,0,5,PAIL (LARGE),SHELLED,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
