occ,ea_id,com_ce01a,com_ce01b,com_ce01c,com_ce02,com_ce03,com_ce04,com_ce05a,com_ce05b,com_ce06,com_ce07,com_ce08a,com_ce08b,com_ce08_1,com_ce08_2,com_ce09,com_ce10,com_ce11a,com_ce11b,com_ce12,com_ce13,com_ce14a,com_ce14b,com_ce15
1,10204586,FARMING,OTHER (SPECIFY),,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,YES,RURAL AREAS,FARMING,,300,2500,YES,360,1,MONTH,1/4,360,1,MONTH,1/4
1,10220103,FARMING,FISHING,,NO,,,,,YES,RURAL AREAS,FARMING,FISHING,300,300,YES,3600,12,DAY,1/2,3600,12,DAY,3/4
1,10220705,FARMING,FISHING,"FIREWOOD, CHARCOAL SELLING",YES,1/2,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,SMALL-SCALE TRADE & SERVICE PROVISION,YES,RURAL AREAS,FARMING,FISHING,700,200,YES,300,2,WEEK,1/2,300,2,WEEK,1/4
1,10301663,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,FARMING,,NO,,,,,YES,RURAL AREAS,OTHER (SPECIFY),,500,300,YES,300,2,WEEK,1/4,300,2,WEEK,1/4
1,10302010,FISHING,FARMING,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),OTHER (SPECIFY),YES,RURAL AREAS,FARMING,FISHING,2000,1000,YES,300,1,MONTH,1/2,300,1,MONTH,1/2
1,10304012,FISHING,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,NO,,,,,YES,RURAL AREAS,FISHING,FARMING,200,200,NO,,,,,,,,
1,10305446,FISHING,FARMING,OTHER (SPECIFY),YES,1/2,OUTSIDE MALAWI,OTHER (SPECIFY),OTHER (SPECIFY),YES,RURAL AREAS,FISHING,,2000,500,YES,300,30,DAY,1/4,300,30,DAY,1/4
1,10307413,FARMING,FISHING,,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),,YES,RURAL AREAS,FARMING,,500,300,YES,300,3,MONTH,1/4,300,2,MONTH,1/4
1,10308636,FARMING,FISHING,SMALL-SCALE TRADE & SERVICE PROVISION,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),OTHER (SPECIFY),YES,RURAL AREAS,FARMING,,500,300,YES,300,12,DAY,1/2,300,12,DAY,1/4
1,10401140,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,YES,1/4,RURAL AREAS,FARMING,,YES,RURAL AREAS,FARMING,,1000,700,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,10401502,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,FARMING,NO,,,,,YES,RURAL AREAS,FARMING,,850,430,YES,300,0,DAY,1/4,300,1,DAY,1/4
1,10401522,FARMING,,,NO,,,,,YES,RURAL AREAS,FARMING,,600,600,NO,,,,,,,,
1,10404186,FARMING,FISHING,,YES,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,YES,RURAL AREAS,FISHING,,500,200,NO,,,,,,,,
1,10405213,FARMING,"BEER BREWING, KACHASU",SMALL-SCALE TRADE & SERVICE PROVISION,NO,,,,,YES,RURAL AREAS,FARMING,,1000,1000,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,10501505,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",NO,,,,,NO,,,,500,500,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,10501709,FARMING,"BEER BREWING, KACHASU",SMALL-SCALE TRADE & SERVICE PROVISION,YES,1/4,RURAL AREAS,FARMING,,NO,,,,1000,500,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,10502268,FARMING,"BEER BREWING, KACHASU",SMALL-SCALE TRADE & SERVICE PROVISION,NO,,,,,YES,RURAL AREAS,FARMING,,850,400,NO,,,,,,,,
1,10502593,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,YES,RURAL AREAS,FARMING,,500,500,NO,,,,,,,,
1,10503367,FARMING,"FIREWOOD, CHARCOAL SELLING",,YES,ALMOST NONE,RURAL AREAS,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,NO,,,,1000,600,NO,,,,,,,,
1,10505136,FARMING,"BEER BREWING, KACHASU",SMALL-SCALE TRADE & SERVICE PROVISION,NO,,,,,YES,RURAL AREAS,FARMING,,400,300,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,10505310,FARMING,"BEER BREWING, KACHASU",SMALL-SCALE TRADE & SERVICE PROVISION,YES,1/4,RURAL AREAS,FARMING,,YES,RURAL AREAS,FARMING,,500,300,NO,,,,,,,,
1,10505508,FARMING,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,NO,,,,300,300,NO,,,,,,,,
1,10507175,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,NO,,,,600,600,NO,,,,,,,,
1,10507344,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"FIREWOOD, CHARCOAL SELLING",NO,,,,,NO,,,,1000,800,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,10509319,FARMING,,,NO,,,,,YES,RURAL AREAS,FARMING,,290,290,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,10510388,FARMING,"BEER BREWING, KACHASU",,YES,ALMOST NONE,RURAL AREAS,FARMING,,YES,RURAL AREAS,FARMING,,500,500,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,10732192,PROFFESSIONAL OCCUPATIONS,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",NO,,,,,NO,,,,1000,1000,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,10733640,PROFFESSIONAL OCCUPATIONS,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,YES,RURAL AREAS,OTHER (SPECIFY),,1000,500,NO,,,,,,,,
1,10734370,SMALL-SCALE TRADE & SERVICE PROVISION,CIVIL SERVICE,,YES,1/4,RURAL AREAS,OTHER (SPECIFY),OTHER (SPECIFY),YES,RURAL AREAS,OTHER (SPECIFY),,500,500,YES,300,2,MONTH,1/4,300,2,MONTH,1/2
1,10734762,PROFFESSIONAL OCCUPATIONS,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",NO,,,,,NO,,,,1000,800,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,10735173,SMALL-SCALE TRADE & SERVICE PROVISION,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",LARGE SCALE-SCALE COMMERCIAL INDUSTRY,NO,,,,,YES,RURAL AREAS,OTHER (SPECIFY),,500,300,YES,300,2,WEEK,1/4,300,2,WEEK,1/4
1,10736596,14,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),,YES,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,FISHING,500,500,YES,300,2,WEEK,3/4,300,2,WEEK,1/4
1,10741504,PROFFESSIONAL OCCUPATIONS,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,SMALL-SCALE TRADE & SERVICE PROVISION,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,YES,RURAL AREAS,OTHER (SPECIFY),,500,400,YES,300,2,WEEK,1/4,300,2,WEEK,1/2
1,10744649,OTHER (SPECIFY),"FIREWOOD, CHARCOAL SELLING",,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),OTHER (SPECIFY),NO,,,,300,400,YES,300,2,WEEK,1/4,300,2,WEEK,1/2
1,10746033,SMALL-SCALE TRADE & SERVICE PROVISION,TRANSPORT,,NO,,,,,YES,RURAL AREAS,FARMING,,200,200,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,10746244,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),,YES,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,OTHER (SPECIFY),2000,1000,YES,300,2,WEEK,1/4,300,2,WEEK,8
1,20106042,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,PROFFESSIONAL OCCUPATIONS,YES,ALMOST NONE,RURAL AREAS,FARMING,OTHER (SPECIFY),YES,RURAL AREAS,FARMING,OTHER (SPECIFY),400,400,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20110620,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",YES,ALMOST NONE,RURAL AREAS,FARMING,,YES,RURAL AREAS,FARMING,,300,300,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20111718,FARMING,PROFFESSIONAL OCCUPATIONS,SMALL-SCALE TRADE & SERVICE PROVISION,YES,ALMOST NONE,RURAL AREAS,FARMING,PROFFESSIONAL OCCUPATIONS,YES,RURAL AREAS,FARMING,,317,317,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20112661,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,RURAL AREAS,FARMING,,YES,RURAL AREAS,FARMING,,200,200,NO,,,,,,,,
1,20113112,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,YES,RURAL AREAS,FARMING,,1000,500,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20115434,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,ALMOST NONE,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,FARMING,YES,RURAL AREAS,FARMING,,200,200,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20205207,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",NO,,,,,YES,RURAL AREAS,FARMING,,300,200,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20206362,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"FIREWOOD, CHARCOAL SELLING",YES,ALMOST NONE,URBAN CENTRES,OTHER (SPECIFY),,YES,RURAL AREAS,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",800,600,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20302539,FARMING,,,NO,,,,,NO,,,,400,400,NO,,,,,,,,
1,20303065,FARMING,OTHER (SPECIFY),"BEER BREWING, KACHASU",YES,ALMOST NONE,RURAL AREAS,FARMING,,YES,RURAL AREAS,FARMING,,450,450,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20305301,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,ALMOST NONE,RURAL AREAS,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,YES,RURAL AREAS,FARMING,,800,750,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20306557,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",YES,ALMOST NONE,RURAL AREAS,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,YES,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),500,400,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20402198,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",YES,ALMOST NONE,RURAL AREAS,FARMING,,YES,RURAL AREAS,FARMING,,200,200,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20404032,FARMING,OTHER (SPECIFY),,YES,ALMOST NONE,URBAN CENTRES,,,NO,,,,200,200,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20404575,FARMING,"BEER BREWING, KACHASU","BEER BREWING, KACHASU",YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),NO,,,,500,500,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20405366,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,ALMOST NONE,RURAL AREAS,FARMING,,NO,,,,400,300,NO,,,,,,,,
1,20407398,FARMING,"BEER BREWING, KACHASU",,YES,ALMOST NONE,RURAL AREAS,FARMING,,YES,RURAL AREAS,FARMING,,300,300,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20407481,FARMING,"BEER BREWING, KACHASU",SMALL-SCALE TRADE & SERVICE PROVISION,YES,ALMOST NONE,RURAL AREAS,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,700,700,NO,,,,,,,,
1,20507089,FARMING,"BEER BREWING, KACHASU",OTHER (SPECIFY),NO,,,,,NO,,,,500,300,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20507459,FARMING,FISHING,OTHER (SPECIFY),YES,ALMOST NONE,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,500,450,YES,300,1,DAY,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20508349,FARMING,"FIREWOOD, CHARCOAL SELLING",,NO,,,,,NO,,,,700,700,NO,,,,,,,,
1,20601141,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",NO,,,,,NO,,,,500,300,YES,300,300,DAY,1/4,300,1,DAY,1/4
1,20601626,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,YES,RURAL AREAS,FARMING,,400,400,YES,5600,12,DAY,ALMOST NONE,3600,12,DAY,ALMOST NONE
1,20602363,SMALL-SCALE TRADE & SERVICE PROVISION,FARMING,CIVIL SERVICE,NO,,,,,NO,,,,1000,1000,YES,3600,1,DAY,1/4,300,1,DAY,3/4
1,20603090,FARMING,"BEER BREWING, KACHASU",SMALL-SCALE TRADE & SERVICE PROVISION,YES,1/4,URBAN CENTRES,FARMING,,YES,RURAL AREAS,FARMING,,200,200,YES,3600,12,DAY,1/4,3600,12,DAY,1/4
1,20603533,SMALL-SCALE TRADE & SERVICE PROVISION,FARMING,OTHER (SPECIFY),NO,,,,,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),500,500,YES,300,1,DAY,ALMOST NONE,200,1,DAY,1/4
1,20604638,FARMING,"BEER BREWING, KACHASU",,NO,,,,,NO,,,,500,500,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,20605302,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",NO,,,,,NO,,,,300,300,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,20607260,FARMING,"FIREWOOD, CHARCOAL SELLING",,YES,1/4,URBAN CENTRES,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,YES,RURAL AREAS,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,FARMING,700,700,YES,200,1,DAY,1/4,200,1,DAY,1/4
1,20607315,FARMING,OTHER (SPECIFY),"FIREWOOD, CHARCOAL SELLING",NO,,,,,YES,RURAL AREAS,OTHER (SPECIFY),,1000,500,YES,330,1,DAY,1/4,330,1,DAY,1/4
1,20610050,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,FARMING,NO,,,,,YES,RURAL AREAS,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,500,500,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,20610249,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",YES,1/4,OUTSIDE MALAWI,FARMING,,NO,,,,400,400,YES,3600,12,DAY,1/4,3600,12,DAY,1/4
1,20613324,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",NO,,,,,NO,,,,500,500,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,20614477,FARMING,,,NO,,,,,YES,RURAL AREAS,FARMING,,500,500,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,20615064,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),NO,,,,,YES,URBAN CENTRES,OTHER (SPECIFY),,300,300,YES,3600,12,DAY,1/4,3600,12,DAY,1/4
1,20615735,FARMING,"BEER BREWING, KACHASU",,YES,1/4,OUTSIDE MALAWI,FARMING,,NO,,,,500,500,NO,,,,,,,,
1,20702471,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,NO,,,,800,800,YES,300,1,DAY,1/4,300,1,DAY,3/4
1,20704738,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",YES,1/4,OUTSIDE MALAWI,FARMING,,NO,,,,500,300,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,20705372,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,"BEER BREWING, KACHASU",NO,,,,,NO,,,,300,300,YES,300,1,MONTH,ALMOST NONE,300,1,DAY,ALMOST NONE
1,20706163,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),NO,,,,,YES,RURAL AREAS,FARMING,SMALL-SCALE TRADE & SERVICE PROVISION,500,300,NO,,,,,,,,
1,20801046,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,ALMOST NONE,RURAL AREAS,FARMING,,NO,,,,300,300,NO,,,,,,,,
1,20802019,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,NO,,,,450,450,NO,,,,,,,,
1,20803156,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,ALMOST NONE,URBAN CENTRES,OTHER (SPECIFY),,YES,RURAL AREAS,FARMING,,700,700,NO,,,,,,,,
1,20804405,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,NO,,,,,NO,,,,300,300,NO,,,,,,,,
1,20804768,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),,YES,RURAL AREAS,FARMING,,500,500,NO,,,,,,,,
1,20806131,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,NO,,,,,YES,RURAL AREAS,FARMING,OTHER (SPECIFY),400,400,NO,,,,,,,,
1,20807727,FARMING,,,NO,,,,,NO,,,,200,200,YES,300,24,DAY,1/4,300,24,DAY,1/2
1,20808421,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,ALMOST NONE,RURAL AREAS,FARMING,OTHER (SPECIFY),NO,,,,700,700,NO,,,,,,,,
1,20903583,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,1/4,RURAL AREAS,PROFFESSIONAL OCCUPATIONS,,YES,RURAL AREAS,FARMING,,500,400,NO,,,,,,,,
1,20906524,FARMING,,,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),,NO,,,,300,300,NO,,,,,,,,
1,20906605,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,NO,,,,,YES,RURAL AREAS,FARMING,,300,300,NO,,,,,,,,
1,20908088,FARMING,"BEER BREWING, KACHASU",,YES,1/4,RURAL AREAS,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",YES,RURAL AREAS,FARMING,,150,150,YES,300,14,DAY,1/4,300,14,DAY,1/4
1,20908119,FARMING,OTHER (SPECIFY),"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",YES,1/4,RURAL AREAS,FARMING,OTHER (SPECIFY),YES,RURAL AREAS,FARMING,,500,500,YES,300,12,DAY,ALMOST NONE,300,12,DAY,ALMOST NONE
1,20909113,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,ALMOST NONE,RURAL AREAS,FARMING,OTHER (SPECIFY),YES,RURAL AREAS,FARMING,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",200,200,NO,,,,,,,,
1,21037030,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",CIVIL SERVICE,,YES,1/4,OUTSIDE MALAWI,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,RURAL AREAS,OTHER (SPECIFY),,1000,500,YES,3600,12,DAY,1/4,3600,12,DAY,1/4
1,21037536,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,1/2,RURAL AREAS,FARMING,,YES,RURAL AREAS,FARMING,,300,300,YES,300,1,DAY,1/4,300,1,DAY,1/4
1,21048764,CIVIL SERVICE,SMALL-SCALE TRADE & SERVICE PROVISION,FARMING,YES,1/4,URBAN CENTRES,CIVIL SERVICE,,YES,RURAL AREAS,OTHER (SPECIFY),,200,1000,YES,3600,2,WEEK,1/4,3600,2,WEEK,1/4
1,21051203,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",CIVIL SERVICE,OTHER (SPECIFY),NO,,,,,YES,RURAL AREAS,OTHER (SPECIFY),,3000,1000,YES,3600,2,WEEK,1/4,3600,2,WEEK,1/4
1,21052427,"FIREWOOD, CHARCOAL SELLING",PROFFESSIONAL OCCUPATIONS,"FIREWOOD, CHARCOAL SELLING",YES,ALMOST ALL,URBAN CENTRES,CIVIL SERVICE,PROFFESSIONAL OCCUPATIONS,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,500,500,YES,3600,1,MONTH,1/2,3600,1,MONTH,3/4
1,21053745,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY","FIREWOOD, CHARCOAL SELLING",PROFFESSIONAL OCCUPATIONS,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,200,200,YES,3600,2,WEEK,1/4,3600,2,WEEK,1/4
1,21055241,SMALL-SCALE TRADE & SERVICE PROVISION,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,NO,,,,800,500,YES,3600,2,WEEK,1/4,3600,2,WEEK,1/4
1,21055693,FARMING,,,YES,1/2,URBAN CENTRES,OTHER (SPECIFY),"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",YES,RURAL AREAS,OTHER (SPECIFY),,500,300,NO,,,,,,,,
1,21066096,SMALL-SCALE TRADE & SERVICE PROVISION,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,NO,,,,,YES,RURAL AREAS,OTHER (SPECIFY),,500,500,YES,3600,2,WEEK,1/4,3600,2,WEEK,1/4
1,21066339,SMALL-SCALE TRADE & SERVICE PROVISION,PROFFESSIONAL OCCUPATIONS,,NO,,,,,YES,RURAL AREAS,OTHER (SPECIFY),,500,500,YES,3600,2,WEEK,1/4,3600,2,WEEK,3/4
1,21074510,SMALL-SCALE TRADE & SERVICE PROVISION,,,YES,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,1000,300,YES,3700,2,WEEK,1/4,3700,2,WEEK,1/4
1,21077725,PROFFESSIONAL OCCUPATIONS,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,1/2,OUTSIDE MALAWI,PROFFESSIONAL OCCUPATIONS,,YES,RURAL AREAS,OTHER (SPECIFY),,1000,1000,NO,,,,,,,,
1,21080308,SMALL-SCALE TRADE & SERVICE PROVISION,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,NO,,,,,YES,RURAL AREAS,OTHER (SPECIFY),,500,500,NO,,,,,,,,
1,21081573,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),,YES,1/4,URBAN CENTRES,"FIREWOOD, CHARCOAL SELLING",FISHING,YES,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,OTHER (SPECIFY),700,500,YES,3000,2,1,1/4,3000,2,1,1/4
1,21086069,"BEER BREWING, KACHASU",,,YES,1/4,URBAN CENTRES,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",OTHER (SPECIFY),YES,RURAL AREAS,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",OTHER (SPECIFY),500,300,YES,3600,12,DAY,1/4,3600,12,DAY,1/4
1,21086436,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,,YES,1/4,URBAN CENTRES,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,RURAL AREAS,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,500,300,YES,3600,12,DAY,1/4,3600,12,DAY,1/4
1,21087531,SMALL-SCALE TRADE & SERVICE PROVISION,FARMING,OTHER (SPECIFY),NO,,,,,YES,RURAL AREAS,OTHER (SPECIFY),,500,500,YES,300,1,DAY,1/4,300,1,DAY,1/4
