occ,ea_id,com_ci0b,com_ci01,com_ci02,com_ci03,com_ci04,com_ci05,com_ci06,com_ci07a,com_ci07b,com_ci07c,com_ci08a,com_ci08b,com_ci08c,com_ci09a,com_ci09b,com_ci09c,com_ci10,com_ci11,com_ci12,com_ci13,com_ci14
5,10102004,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10103414,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10103414,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10103414,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10103414,WATER BODY:,YES,YES,YES,NO,YES,YES,USE THE THREAT OF PHYSICAL PUNISHMENT,,,TIME RESTRICTIONS,LIMITATIONS OF NUMBER OF USERS AT A GIVEN TIME,,CONFISCATION OF TOOLS/PRODUCTS,,,NOT EFFECTIVE,NO,,NO,
5,10103414,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10104150,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10104150,FOREST,YES,YES,YES,NO,YES,YES,USE THE THREAT OF FINE,,,LIMITATIONS OF NUMBER OF USERS AT A GIVEN TIME,,,USE THREAT OF FINE,,,NOT EFFECTIVE,NO,,NO,
3,10104150,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10104150,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10104150,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10201688,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10201688,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10201688,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10201688,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10201688,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10202514,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10202514,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10202514,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10202514,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10202514,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10203176,UNALLOCATED ARABLE LAND,YES,YES,YES,NO,YES,NO,,,,TIME RESTRICTIONS,,,USE THREAT OF FINE,,,NOT EFFECTIVE,NO,,NO,
2,10203176,FOREST,YES,YES,YES,NO,YES,NO,,,,TIME RESTRICTIONS,,,USE THREAT OF FINE,,,NOT EFFECTIVE,NO,,NO,
3,10203176,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10203176,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,NOT EFFECTIVE,NO,,NO,
5,10203176,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10203744,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10203744,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10203744,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10203744,WATER BODY:,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,NOT EFFECTIVE,NO,,NO,
5,10203744,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10204322,UNALLOCATED ARABLE LAND,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
2,10204322,FOREST,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
3,10204322,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10204322,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10204322,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10204586,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10204586,FOREST,YES,YES,NO,NO,NO,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
3,10204586,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10204586,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10204586,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10220103,UNALLOCATED ARABLE LAND,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,NOT EFFECTIVE,NO,,NO,
2,10220103,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10220103,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10220103,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10220103,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10220705,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10220705,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10220705,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10220705,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10220705,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10301663,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10301663,FOREST,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,NOT EFFECTIVE,NO,,NO,
3,10301663,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10301663,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10301663,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10302010,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10302010,FOREST,YES,NO,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
3,10302010,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10302010,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10302010,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10304012,UNALLOCATED ARABLE LAND,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,TIME RESTRICTIONS,,,USE THREAT OF FINE,,,SOMEWHAT EFFECTIVE,NO,,NO,
2,10304012,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,TIME RESTRICTIONS,,,USE THREAT OF FINE,,,SOMEWHAT EFFECTIVE,NO,,NO,
3,10304012,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10304012,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10304012,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10305446,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10305446,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10305446,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10305446,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10305446,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10307413,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10307413,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10307413,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10307413,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10307413,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10308636,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10308636,FOREST,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
3,10308636,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10308636,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10308636,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10401140,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10401140,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10401140,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10401140,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10401140,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10401502,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10401502,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10401502,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10401502,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10401502,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10401522,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10401522,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10401522,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10401522,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10401522,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10404186,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10404186,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10404186,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10404186,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10404186,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10405213,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10405213,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,SOMEWHAT EFFECTIVE,NO,,NO,
3,10405213,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10405213,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10405213,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10501505,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10501505,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10501505,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10501505,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10501505,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10501709,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10501709,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10501709,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10501709,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10501709,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10502268,UNALLOCATED ARABLE LAND,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
2,10502268,FOREST,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,YES,CONVERT INTO FOREST RESERVE,NO,
3,10502268,PASTURE,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
4,10502268,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10502268,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10502593,UNALLOCATED ARABLE LAND,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
2,10502593,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10502593,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10502593,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10502593,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10503367,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10503367,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10503367,PASTURE,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
4,10503367,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10503367,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10505136,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10505136,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10505136,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10505136,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10505136,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10505310,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10505310,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10505310,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10505310,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10505310,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10505508,UNALLOCATED ARABLE LAND,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,FULLY EFFECTIVE,NO,,NO,
2,10505508,FOREST,,,,,,,,,,,,,,,,,,,,
3,10505508,PASTURE,,,,,,,,,,,,,,,,,,,,
4,10505508,WATER BODY:,,,,,,,,,,,,,,,,,,,,
5,10505508,OTHER:,,,,,,,,,,,,,,,,,,,,
1,10507175,UNALLOCATED ARABLE LAND,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
2,10507175,FOREST,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
3,10507175,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10507175,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10507175,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10507344,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10507344,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10507344,PASTURE,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
4,10507344,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10507344,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10509319,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10509319,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10509319,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10509319,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10509319,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10510388,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10510388,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10510388,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10510388,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10510388,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10732192,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10732192,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10732192,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10732192,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10732192,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10733640,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10733640,FOREST,YES,NO,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,NOT EFFECTIVE,NO,,NO,
3,10733640,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10733640,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10733640,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10734370,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10734370,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10734370,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10734370,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10734370,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10734762,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10734762,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10734762,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10734762,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10734762,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10735173,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10735173,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10735173,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10735173,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10735173,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10736596,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10736596,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10736596,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10736596,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10736596,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10741504,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10741504,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10741504,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10741504,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10741504,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10744649,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10744649,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10744649,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10744649,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10744649,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10746033,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10746033,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10746033,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10746033,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10746033,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10746244,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10746244,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10746244,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10746244,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10746244,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20106042,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20106042,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,OTHER (SPECIFY),,OTHER (SPECIFY),,,USE THREAT OF FINE,SOCIAL SANCTIONS,,FULLY EFFECTIVE,NO,,NO,
3,20106042,PASTURE,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,SOMEWHAT EFFECTIVE,NO,,NO,
4,20106042,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,SOMEWHAT EFFECTIVE,NO,,NO,
5,20106042,OTHER:,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,OTHER (SPECIFY),,,USE THREAT OF FINE,SOCIAL SANCTIONS,,FULLY EFFECTIVE,NO,,NO,
1,20110620,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20110620,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20110620,PASTURE,YES,YES,YES,NO,YES,NO,,,,,,,,,,,,,,
4,20110620,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,,,,,,,,,,,
5,20110620,OTHER:,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,,,,,,,,,,,
1,20111718,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20111718,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,OTHER (SPECIFY),,,USE THREAT OF FINE,CONFISCATION OF TOOLS/PRODUCTS,SOCIAL SANCTIONS,FULLY EFFECTIVE,NO,,NO,
3,20111718,PASTURE,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,FULLY EFFECTIVE,NO,,NO,
4,20111718,WATER BODY:,YES,NO,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,FULLY EFFECTIVE,NO,,NO,
5,20111718,OTHER:,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,OTHER (SPECIFY),,OTHER (SPECIFY),,,USE THREAT OF FINE,SOCIAL SANCTIONS,,FULLY EFFECTIVE,NO,,NO,
1,20112661,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20112661,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,20112661,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20112661,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,20112661,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,20113112,UNALLOCATED ARABLE LAND,YES,YES,YES,NO,NO,YES,OTHER (SPECIFY),,,OTHER (SPECIFY),,,USE THREAT OF FINE,CONFISCATION OF TOOLS/PRODUCTS,TAKING AWAY [RESOURCE] USE RIGHTS,FULLY EFFECTIVE,NO,,NO,
2,20113112,FOREST,YES,YES,YES,NO,NO,YES,OTHER (SPECIFY),,,OTHER (SPECIFY),,,USE THREAT OF FINE,CONFISCATION OF TOOLS/PRODUCTS,,FULLY EFFECTIVE,NO,,NO,
3,20113112,PASTURE,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,SOMEWHAT EFFECTIVE,NO,,NO,
4,20113112,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,SOMEWHAT EFFECTIVE,NO,,NO,
5,20113112,OTHER:,YES,YES,YES,NO,NO,YES,OTHER (SPECIFY),,,OTHER (SPECIFY),,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
1,20115434,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20115434,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,OTHER (SPECIFY),,,USE THREAT OF FINE,CONFISCATION OF TOOLS/PRODUCTS,SOCIAL SANCTIONS,FULLY EFFECTIVE,NO,,NO,
3,20115434,PASTURE,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,SOMEWHAT EFFECTIVE,NO,,NO,
4,20115434,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,SOMEWHAT EFFECTIVE,NO,,NO,
5,20115434,OTHER:,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,OTHER (SPECIFY),,OTHER (SPECIFY),,,USE THREAT OF FINE,SOCIAL SANCTIONS,,FULLY EFFECTIVE,NO,,NO,
1,20205207,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20205207,FOREST,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,,,OTHER (SPECIFY),,,TAKING AWAY [RESOURCE] USE RIGHTS,CONFISCATION OF TOOLS/PRODUCTS,,SOMEWHAT EFFECTIVE,NO,,NO,
3,20205207,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20205207,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,CONFISCATION OF TOOLS/PRODUCTS,CONFISCATION OF TOOLS/PRODUCTS,,SOMEWHAT EFFECTIVE,NO,,NO,
5,20205207,OTHER:,YES,YES,YES,NO,NO,YES,USE THE THREAT OF FINE,OTHER (SPECIFY),,OTHER (SPECIFY),,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
1,20206362,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20206362,FOREST,YES,YES,YES,NO,YES,NO,,,,OTHER (SPECIFY),,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
3,20206362,PASTURE,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,FULLY EFFECTIVE,NO,,NO,
4,20206362,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,FULLY EFFECTIVE,NO,,NO,
5,20206362,OTHER:,YES,YES,YES,NO,NO,NO,,,,OTHER (SPECIFY),,,USE THREAT OF FINE,,,FULLY EFFECTIVE,NO,,NO,
1,20302539,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,20302539,FOREST,YES,YES,YES,NO,NO,NO,,,,OTHER (SPECIFY),,,USE THREAT OF FINE,OTHER (SPECIFY),,FULLY EFFECTIVE,NO,,NO,
3,20302539,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,20302539,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,DO NOTHING,,,FULLY EFFECTIVE,NO,,NO,
