HHID,case_id,qx_type,visit,ea_id,hh_q0a,hh_q0b,hh_q01,hh_q02a,hh_q02b,hh_q02c,hh_q03a,hh_q03b
42,101012040011,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
42,101012040011,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
44,101012040020,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
44,101012040020,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
44,101012040020,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
38,101012040024,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
38,101012040024,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1000,0,0,1,2
38,101012040024,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
52,101012040028,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,400,0,0,1,2
52,101012040028,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1200,0,0,1,2
52,101012040028,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
50,101012040037,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,2000,0,0,1,2
50,101012040037,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,500,0,0,1,2
50,101012040037,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
54,101012040041,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
54,101012040041,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,600,0,0,1,2
54,101012040041,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
48,101012040045,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
48,101012040045,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
48,101012040045,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
36,101012040054,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
36,101012040054,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
36,101012040054,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
56,101012040058,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
56,101012040058,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
56,101012040058,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
64,101012040062,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
64,101012040062,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
64,101012040062,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
34,101012040071,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,5000,0,0,1,2
34,101012040071,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2000,0,0,1,2
34,101012040071,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
58,101012040075,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
58,101012040075,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1200,0,0,1,2
58,101012040075,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
46,101012040079,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,700,0,0,1,2
46,101012040079,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1500,0,0,1,2
46,101012040079,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
60,101012040087,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
60,101012040087,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,500,0,0,1,
60,101012040087,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
21,101012150001,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
21,101012150001,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
21,101012150001,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
17,101012150004,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,0,0,11000,1,
17,101012150004,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
17,101012150004,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
11,101012150021,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
11,101012150021,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
11,101012150021,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
5,101012150022,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
5,101012150022,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
5,101012150022,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
13,101012150026,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,3000,0,0,1,2
13,101012150026,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
13,101012150026,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,700,0,0,1,2
1,101012150028,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
1,101012150028,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
1,101012150028,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
25,101012150034,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
25,101012150034,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2400,0,0,1,2
25,101012150034,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
9,101012150038,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
9,101012150038,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
9,101012150038,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
31,101012150040,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
31,101012150040,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,Yes,800,0,0,1,2
31,101012150040,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
15,101012150045,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
15,101012150045,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
15,101012150045,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
29,101012150048,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,1500,0,0,1,2
29,101012150048,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
29,101012150048,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,1500,0,0,1,2
27,101012150049,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
27,101012150049,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1000,0,0,1,2
27,101012150049,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
23,101012150053,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
23,101012150053,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,Yes,3000,0,0,1,
23,101012150053,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
19,101012150059,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
19,101012150059,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
19,101012150059,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
3,101012150060,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
3,101012150060,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
3,101012150060,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
7,101012150074,Panel A,1,10101215,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
7,101012150074,Panel A,1,10101215,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
7,101012150074,Panel A,1,10101215,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
20,101015620009,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
20,101015620009,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
20,101015620009,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
30,101015620020,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,3000,0,0,1,2
30,101015620020,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,Yes,4000,0,0,1,2
30,101015620020,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
10,101015620031,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
10,101015620031,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
10,101015620031,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
6,101015620042,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
6,101015620042,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2000,0,0,1,2
6,101015620042,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
2,101015620053,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,800,0,0,1,2
2,101015620053,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2000,0,0,1,2
2,101015620053,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
8,101015620064,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,1000,0,0,1,2
8,101015620064,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1200,0,0,1,2
8,101015620064,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
18,101015620075,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
18,101015620075,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
18,101015620075,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
16,101015620086,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
16,101015620086,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,Yes,400,0,0,1,2
16,101015620086,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
26,101015620096,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
26,101015620096,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
26,101015620096,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
28,101015620118,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,0,0,1000,1,2
28,101015620118,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
28,101015620118,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
32,101015620140,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,2000,0,0,1,
32,101015620140,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,Yes,6000,0,0,1,2
32,101015620140,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
12,101015620162,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,4000,0,0,1,2
12,101015620162,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
12,101015620162,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
4,101015620184,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
4,101015620184,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
4,101015620184,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
22,101015620195,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
22,101015620195,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
22,101015620195,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
14,101015620205,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
14,101015620205,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,Yes,850,0,0,1,
14,101015620205,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
24,101015620227,Panel B,2,10101562,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,3000,0,0,1,2
24,101015620227,Panel B,2,10101562,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2000,0,0,1,2
24,101015620227,Panel B,2,10101562,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
79,101020040001,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
79,101020040001,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
79,101020040001,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
87,101020040008,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,1000,0,0,1,2
87,101020040008,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
87,101020040008,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
89,101020040012,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,5000,0,0,1,2
89,101020040012,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
89,101020040012,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
85,101020040015,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,180,0,0,1,2
85,101020040015,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,Yes,400,0,0,1,2
85,101020040015,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
83,101020040028,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,5000,0,0,1,2
83,101020040028,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,Yes,600,0,0,1,2
83,101020040028,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
75,101020040031,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
75,101020040031,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
75,101020040031,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
65,101020040034,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,300,0,0,1,
65,101020040034,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1800,0,0,1,
65,101020040034,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
93,101020040039,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
93,101020040039,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2300,0,0,1,
93,101020040039,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
71,101020040042,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
71,101020040042,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,Yes,300,0,0,1,2
71,101020040042,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
69,101020040059,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
69,101020040059,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
69,101020040059,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
81,101020040061,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
81,101020040061,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,Yes,500,0,0,1,2
81,101020040061,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
73,101020040093,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
73,101020040093,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
73,101020040093,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,350,200,0,1,2
67,101020040101,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
67,101020040101,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
67,101020040101,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
91,101020040104,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
91,101020040104,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,Yes,300,0,0,1,2
91,101020040104,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
77,101020040121,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
77,101020040121,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1000,0,0,1,2
77,101020040121,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
95,101020040128,Panel A,1,10102004,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
95,101020040128,Panel A,1,10102004,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
95,101020040128,Panel A,1,10102004,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
86,101034140003,Panel B,2,10103414,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
86,101034140003,Panel B,2,10103414,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
