HHID,case_id,qx_type,visit,ea_id,ag_i0b,ag_i0b_os,ag_i01,ag_i02a,ag_i02b,ag_i02b_os,ag_i02c,ag_i03,ag_i11,ag_i12a,ag_i12b,ag_i12b_os,ag_i12c,ag_i13,ag_i14a,ag_i14b,ag_i15a,ag_i15b,ag_i16,ag_i17,ag_i17_os,ag_i18,ag_i19,ag_i20,ag_i21a,ag_i21b,ag_i21b_os,ag_i21c,ag_i22,ag_i23a,ag_i23b,ag_i24a,ag_i24b,ag_i25,ag_i26,ag_i26_os,ag_i27,ag_i28,ag_i29,ag_i30a,ag_i30b,ag_i30b_os,ag_i30c,ag_i31a,ag_i31b,ag_i31b_os,ag_i31c,ag_i32a,ag_i32b,ag_i32b_os,ag_i32c,ag_i33a,ag_i33b,ag_i33b_os,ag_i33c,ag_i34a,ag_i34b,ag_i34b_os,ag_i34c,ag_i35a,ag_i35b,ag_i35b_os,ag_i35c,ag_i36a,ag_i36b,ag_i36b_os,ag_i36c,ag_i36d,ag_i36e,ag_i37a,ag_i37a_os,ag_i37b,ag_i37b_os,ag_i38,ag_i39,ag_i39_os,ag_i40a,ag_i40b,ag_i40b_os,ag_i40c,ag_i41a,ag_i41a_os,ag_i41b,ag_i41b_os,ag_i42a,ag_i42a_os,ag_i42b,ag_i42b_os
41,101010160068,Panel A,2,10101016,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,3.5,PAIL (LARGE),,S: SHELLED,Spraying,,,,Food for household,,,
41,101010160068,Panel A,2,10101016,FINGER MILLET(MAWERE),,YES,.5,PAIL (LARGE),,NOT APPLICABLE,850,N10,.5,PAIL (LARGE),,NOT APPLICABLE,850,1,2,June,2010,1,Buyer picked up the crop,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,.5,PAIL (LARGE),,NOT APPLICABLE,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,Wait for arrival of buyer,
41,101010160068,Panel A,2,10101016,BEANS,,YES,1,PAIL (LARGE),,S: SHELLED,2000,N09,1,PAIL (LARGE),,S: SHELLED,2000,1,2,July,2010,1,Own Bicycle or Oxcart,,0,NO,,,,,,,,,,,,,,,,,,,,,.5,PAIL (LARGE),,S: SHELLED,0,,,,0,,,,0,,,,.5,PAIL (LARGE),,S: SHELLED,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,Wait for arrival of buyer,
61,101010160069,Panel A,2,10101016,SUNFLOWER,,YES,2,PAIL (LARGE),,S: SHELLED,800,N03,2,PAIL (LARGE),,S: SHELLED,800,1,,July,2010,1,Bicycle Taxi,,100,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,1,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,To sell at a higher price,,,
61,101010160069,Panel A,2,10101016,SWEET POTATO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
61,101010160069,Panel A,2,10101016,GROUNDNUT MANIPINTA,,YES,3,PAIL (SMALL),,S: SHELLED,2500,N03,3,PAIL (SMALL),,S: SHELLED,2500,1,,July,2010,1,Bicycle Taxi,,250,NO,,,,,,,,,,,,,,,,,,,,,3,PAIL (LARGE),,U: UNSHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,14,PAIL (LARGE),,U: UNSHELLED,Did Nothing,,,,Food for household,,Seed for planting,
61,101010160069,Panel A,2,10101016,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,5,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,Seed for planting,
51,101010160070,Panel A,2,10101016,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,10,KILOGRAM,,S: SHELLED,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,4,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,,
51,101010160070,Panel A,2,10101016,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,PAIL (LARGE),,S: SHELLED,0,,,,0,,,,0,,,,2,PAIL (LARGE),,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,34,50 KG BAG,,S: SHELLED,Spraying,,,,Food for household,,Seed for planting,
51,101010160070,Panel A,2,10101016,GROUNDNUT CHALIMBANA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,PAIL (LARGE),,U: UNSHELLED,0,,,,0,,,,0,,,,2,PAIL (LARGE),,U: UNSHELLED,0,,,,,,,,,,YES,Bags in house,,3,90 KG BAG,,U: UNSHELLED,Did Nothing,,,,Food for household,,Seed for planting,
57,101010160074,Panel A,2,10101016,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,S: SHELLED,2,PAIL (LARGE),,S: SHELLED,,,Rotting,,,,YES,Bags in house,,13,PAIL (LARGE),,S: SHELLED,Spraying,,,,Food for household,,To sell at a higher price,
57,101010160074,Panel A,2,10101016,TOBACCO BURLEY,,YES,250,KILOGRAM,,NOT APPLICABLE,70000,N05,250,KILOGRAM,,NOT APPLICABLE,70000,1,2,July,2010,1,Truck / Bus / Minibus,,6000,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Does not usually store,,,
57,101010160074,Panel A,2,10101016,MAIZE HYBRID RECYCLED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,S: SHELLED,,,Rotting,,,,YES,Bags in house,,44,PAIL (LARGE),,S: SHELLED,Spraying,,,,Food for household,,To sell at a higher price,
57,101010160074,Panel A,2,10101016,GROUNDNUT CG7,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,PAIL (LARGE),,U: UNSHELLED,2,PAIL (LARGE),,U: UNSHELLED,,,Rotting,,,,YES,Bags in house,,14,PAIL (LARGE),,U: UNSHELLED,Did Nothing,,,,Food for household,,To sell at a higher price,
57,101010160074,Panel A,2,10101016,SWEET POTATO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,2,PAIL (LARGE),,NOT APPLICABLE,,,Rotting,,,,NO,,,,,,,,,,,Food for household,,,
55,101010160086,Panel A,2,10101016,MAIZE HYBRID RECYCLED,,YES,40,PAIL (LARGE),,S: SHELLED,20000,N05,40,PAIL (LARGE),,S: SHELLED,20000,1,2,July,2010,3,Buyer picked up the crop,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,50 KG BAG,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,68,PAIL (LARGE),,S: SHELLED,Spraying,,,,Food for household,,Seed for planting,
55,101010160086,Panel A,2,10101016,PIGEONPEA(NANDOLO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,3,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,1,PAIL (LARGE),,S: SHELLED,Spraying,,,,Food for household,,Seed for planting,
47,101010160096,Panel A,2,10101016,SOYABEAN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
47,101010160096,Panel A,2,10101016,SWEET POTATO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
47,101010160096,Panel A,2,10101016,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,20,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,To sell at a higher price,
47,101010160096,Panel A,2,10101016,GROUNDNUT CG7,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,KILOGRAM,,U: UNSHELLED,0,,,,0,,,,0,,,,10,KILOGRAM,,U: UNSHELLED,0,,,,,,,,,,YES,Bags in house,,10,KILOGRAM,,U: UNSHELLED,Did Nothing,,,,Seed for planting,,,
47,101010160096,Panel A,2,10101016,GROUND BEAN(NZAMA,,YES,1,PAIL (LARGE),,S: SHELLED,800,N01,1,PAIL (LARGE),,S: SHELLED,800,1,2,July,2010,1,Buyer picked up the crop,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,5,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,1,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,To sell at a higher price,
63,101010160143,Panel A,2,10101016,TOBACCO BURLEY,,YES,30,KILOGRAM,,NOT APPLICABLE,3000,N05,30,KILOGRAM,,NOT APPLICABLE,3000,1,2,May,2010,1,Buyer picked up the crop,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Does not usually store,,,
63,101010160143,Panel A,2,10101016,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,0,,,,0,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,10,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,Seed for planting,
59,101010160159,Panel A,2,10101016,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,0,,,,0,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,5,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,,
59,101010160159,Panel A,2,10101016,GROUNDNUT CG7,,YES,3,PAIL (LARGE),,U: UNSHELLED,1500,N03,3,PAIL (LARGE),,U: UNSHELLED,1500,1,,July,2010,3,On Foot,,0,NO,,,,,,,,,,,,,,,,,,,,,.5,PAIL (LARGE),,U: UNSHELLED,0,,,,0,,,,0,,,,1,PAIL (LARGE),,U: UNSHELLED,0,,,,,,,,,,YES,Bags in house,,2,PAIL (LARGE),,U: UNSHELLED,Did Nothing,,,,Food for household,,Wait for arrival of buyer,
33,101010160180,Panel A,2,10101016,MAIZE HYBRID,,YES,2,PAIL (LARGE),,S: SHELLED,750,N04,2,PAIL (LARGE),,S: SHELLED,750,1,2,June,2010,1,Own Bicycle or Oxcart,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,6,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,,
33,101010160180,Panel A,2,10101016,GROUNDNUT CG7,,YES,3,PAIL (LARGE),,U: UNSHELLED,2000,N04,3,PAIL (LARGE),,U: UNSHELLED,2000,1,2,June,2010,1,Own Bicycle or Oxcart,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,.5,PAIL (LARGE),,U: UNSHELLED,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,Wait for arrival of buyer,
33,101010160180,Panel A,2,10101016,SWEET POTATO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Does not usually store,,,
49,101010160207,Panel A,2,10101016,GROUNDNUT MANIPINTA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,To sell at a higher price,
49,101010160207,Panel A,2,10101016,GROUND BEAN(NZAMA,,YES,2,PAIL (LARGE),,U: UNSHELLED,2000,N04,2,PAIL (LARGE),,U: UNSHELLED,2000,1,2,July,2010,4,On Foot,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,To sell at a higher price,
49,101010160207,Panel A,2,10101016,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,5,KILOGRAM,,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,4,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,To sell at a higher price,
53,101010160235,Panel A,2,10101016,TOBACCO FLUE CURED,,YES,400,KILOGRAM,,NOT APPLICABLE,57000,N03,400,KILOGRAM,,NOT APPLICABLE,57000,1,2,June,2010,1,Truck / Bus / Minibus,,9600,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,To sell at a higher price,,,
53,101010160235,Panel A,2,10101016,MAIZE HYBRID RECYCLED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,23,PAIL (LARGE),,S: SHELLED,Spraying,,,,Food for household,,Seed for planting,
43,101010160254,Panel A,2,10101016,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,PAIL (LARGE),,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,11,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,Seed for planting,
43,101010160254,Panel A,2,10101016,SWEET POTATO,,YES,6,PAIL (LARGE),,NOT APPLICABLE,1200,N02,6,PAIL (LARGE),,NOT APPLICABLE,1200,1,2,June,2010,1,Buyer picked up the crop,,0,NO,,,,,,,,,,,,,,,,,,,,,1,PAIL (SMALL),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,Does not usually store,
39,101010160265,Panel A,2,10101016,MAIZE LOCAL,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,BASKET (DENGU),,U: UNSHELLED,0,,,,,,,,,,YES,Traditional Nkhokwe,,6,BASKET (DENGU),,U: UNSHELLED,Did Nothing,,,,Food for household,,Seed for planting,
40,101012040003,Panel B,2,10101204,TOBACCO BURLEY,,YES,70,KILOGRAM,,NOT APPLICABLE,9000,N06,70,KILOGRAM,,NOT APPLICABLE,9000,1,2,June,2010,1,Buyer picked up the crop,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Does not usually store,,,
40,101012040003,Panel B,2,10101204,MAIZE HYBRID RECYCLED,,YES,3,PAIL (LARGE),,S: SHELLED,1200,N06,3,PAIL (LARGE),,S: SHELLED,1200,1,2,June,2010,1,Buyer picked up the crop,,0,NO,,,,,,,,,,,,,,,,,,,,,2,PAIL (LARGE),,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,17,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,To sell at a higher price,
62,101012040007,Panel B,2,10101204,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,7,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,,
42,101012040011,Panel B,2,10101204,MAIZE HYBRID,,YES,4,PAIL (LARGE),,S: SHELLED,1800,N05,4,PAIL (LARGE),,S: SHELLED,1800,1,2,July,2010,2,On Foot,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,20,PAIL (LARGE),,S: SHELLED,Spraying,,,,Food for household,,Wait for arrival of buyer,
42,101012040011,Panel B,2,10101204,TOBACCO BURLEY,,YES,150,KILOGRAM,,NOT APPLICABLE,25000,N06,150,KILOGRAM,,NOT APPLICABLE,25000,1,2,July,2010,1,Truck / Bus / Minibus,,2100,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Wait for arrival of buyer,,,
44,101012040020,Panel B,2,10101204,MAIZE HYBRID RECYCLED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,4,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,,
44,101012040020,Panel B,2,10101204,TOBACCO BURLEY,,YES,132,KILOGRAM,,NOT APPLICABLE,16000,N05,132,KILOGRAM,,NOT APPLICABLE,16000,1,2,June,2010,1,Truck / Bus / Minibus,,2450,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Does not usually store,,,
38,101012040024,Panel B,2,10101204,TOBACCO BURLEY,,YES,150,KILOGRAM,,NOT APPLICABLE,20000,N04,150,KILOGRAM,,NOT APPLICABLE,20000,1,2,May,2010,1,Truck / Bus / Minibus,,3400,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Does not usually store,,,
38,101012040024,Panel B,2,10101204,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,30,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,Seed for planting,
38,101012040024,Panel B,2,10101204,MAIZE LOCAL,,YES,2,PAIL (LARGE),,S: SHELLED,800,N03,2,PAIL (LARGE),,S: SHELLED,800,1,2,June,2010,1,Own Bicycle or Oxcart,,100,NO,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,30,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,To sell at a higher price,
52,101012040028,Panel B,2,10101204,SOYABEAN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
52,101012040028,Panel B,2,10101204,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,20,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,To sell at a higher price,
52,101012040028,Panel B,2,10101204,TOBACCO BURLEY,,YES,350,KILOGRAM,,NOT APPLICABLE,63000,N05,350,KILOGRAM,,NOT APPLICABLE,63000,1,2,July,2010,1,Buyer picked up the crop,,6300,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Does not usually store,,,
50,101012040037,Panel B,2,10101204,SOYABEAN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,.5,PAIL (LARGE),,S: SHELLED,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
50,101012040037,Panel B,2,10101204,BEANS,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,.5,PAIL (LARGE),,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,2,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,Wait for arrival of buyer,
50,101012040037,Panel B,2,10101204,MAIZE COMPOSITE/OPV,,YES,1,PAIL (LARGE),,U: UNSHELLED,600,N07,1,PAIL (LARGE),,U: UNSHELLED,600,1,2,June,2010,1,On Foot,,0,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,Wait for arrival of buyer,
50,101012040037,Panel B,2,10101204,TOBACCO BURLEY,,YES,275,KILOGRAM,,NOT APPLICABLE,62000,N08,275,KILOGRAM,,NOT APPLICABLE,62000,1,2,May,2010,1,Truck / Bus / Minibus,,7125,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Does not usually store,,,
50,101012040037,Panel B,2,10101204,GROUNDNUT CG7,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,PAIL (LARGE),,U: UNSHELLED,0,,,,0,,,,0,,,,2,PAIL (LARGE),,U: UNSHELLED,0,,,,,,,,,,YES,Bags in house,,20,PAIL (LARGE),,U: UNSHELLED,Did Nothing,,,,Food for household,,Wait for arrival of buyer,
