HHID,case_id,qx_type,visit,ea_id,hh_h01,hh_h02a,hh_h02b,hh_h02c,hh_h02d,hh_h02e,hh_h03a,hh_h03b,hh_h04,hh_h05a_01,hh_h05a_02,hh_h05a_03,hh_h05a_04,hh_h05a_05,hh_h05a_06,hh_h05a_07,hh_h05a_08,hh_h05a_09,hh_h05a_10,hh_h05b_01,hh_h05b_02,hh_h05b_03,hh_h05b_04,hh_h05b_05,hh_h05b_06,hh_h05b_07,hh_h05b_08,hh_h05b_09,hh_h05b_10,hh_h05b_11,hh_h05b_12,hh_h05b_13,hh_h05b_14,hh_h05b_15,hh_h06a,hh_h06a_os,hh_h06b,hh_h06b_os,hh_h06c,hh_h06c_os
1,101012150028,Panel A,1,10101215,No,0,0,0,0,0,3,,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
25,101012150034,Panel A,1,10101215,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,101012150038,Panel A,1,10101215,No,0,0,0,0,0,3,,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Food in the market was very expensive,,,,,
31,101012150040,Panel A,1,10101215,No,0,0,0,0,0,3,3,Yes,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
15,101012150045,Panel A,1,10101215,No,0,0,0,0,0,3,,Yes,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Inadequate household food stocks due to small land size,,,
29,101012150048,Panel A,1,10101215,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,101012150049,Panel A,1,10101215,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,101012150053,Panel A,1,10101215,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,101012150059,Panel A,1,10101215,Yes,3,3,4,0,0,2,3,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Other (Specify),SOLD FOOD STOCK,,,,
3,101012150060,Panel A,1,10101215,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,101012150074,Panel A,1,10101215,Yes,4,3,7,2,0,2,2,Yes,,,,,,,,,,X,X,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
20,101015620009,Panel B,2,10101562,Yes,3,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,101015620020,Panel B,2,10101562,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,101015620031,Panel B,2,10101562,No,0,0,0,0,0,3,3,Yes,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to small land size,,Inadequate household food stocks due to lack of farm inputs,,,
6,101015620042,Panel B,2,10101562,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101015620053,Panel B,2,10101562,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
8,101015620064,Panel B,2,10101562,Yes,1,2,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,101015620075,Panel B,2,10101562,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,101015620086,Panel B,2,10101562,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,101015620096,Panel B,2,10101562,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,101015620118,Panel B,2,10101562,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,101015620140,Panel B,2,10101562,Yes,3,0,0,0,0,3,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,101015620162,Panel B,2,10101562,No,0,0,0,0,0,3,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,101015620184,Panel B,2,10101562,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,101015620195,Panel B,2,10101562,No,0,0,0,0,0,2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,101015620205,Panel B,2,10101562,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,101015620227,Panel B,2,10101562,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,101020040001,Panel A,1,10102004,No,0,0,0,0,0,2,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
87,101020040008,Panel A,1,10102004,No,0,0,0,0,0,2,3,Yes,,,,,,,,,,X,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
89,101020040012,Panel A,1,10102004,Yes,0,0,0,0,0,2,3,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
85,101020040015,Panel A,1,10102004,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,101020040028,Panel A,1,10102004,Yes,2,2,2,0,0,3,3,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
75,101020040031,Panel A,1,10102004,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,X,X,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
65,101020040034,Panel A,1,10102004,Yes,2,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,101020040039,Panel A,1,10102004,No,0,0,0,0,0,2,,Yes,,,,,,,,,X,X,X,,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
71,101020040042,Panel A,1,10102004,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,101020040059,Panel A,1,10102004,No,0,0,0,0,0,2,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
81,101020040061,Panel A,1,10102004,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,101020040093,Panel A,1,10102004,Yes,0,3,3,1,0,2,3,Yes,,,,,,,,,,X,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
67,101020040101,Panel A,1,10102004,No,0,0,0,0,0,2,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to small land size,,Food in the market was very expensive,,,
91,101020040104,Panel A,1,10102004,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,101020040121,Panel A,1,10102004,Yes,0,0,0,2,0,2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,101020040128,Panel A,1,10102004,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,101034140003,Panel B,2,10103414,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,101034140009,Panel B,2,10103414,Yes,7,7,7,0,0,2,,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
96,101034140020,Panel B,2,10103414,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,101034140025,Panel B,2,10103414,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,101034140031,Panel B,2,10103414,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,101034140042,Panel B,2,10103414,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,101034140047,Panel B,2,10103414,Yes,3,3,4,4,0,2,2,Yes,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
84,101034140053,Panel B,2,10103414,No,0,0,0,0,0,2,3,Yes,,,,,,,,,,,,,X,,,,,,,,,,,,,Other (Specify),SOLD FOOD STOCK,,,,
70,101034140064,Panel B,2,10103414,No,0,0,0,0,0,2,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to small land size,,,,,
76,101034140069,Panel B,2,10103414,Yes,3,3,3,3,0,2,,Yes,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
78,101034140075,Panel B,2,10103414,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,101034140086,Panel B,2,10103414,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,101034140091,Panel B,2,10103414,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,101034140097,Panel B,2,10103414,Yes,0,0,3,0,0,2,3,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Food in the market was very expensive,,,
82,101034140108,Panel B,2,10103414,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,101034140114,Panel B,2,10103414,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to small land size,,,,,
123,101041500004,Panel A,1,10104150,No,0,0,0,0,0,2,2,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
127,101041500006,Panel A,1,10104150,Yes,2,3,2,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,101041500012,Panel A,1,10104150,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,101041500013,Panel A,1,10104150,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,101041500015,Panel A,1,10104150,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
99,101041500023,Panel A,1,10104150,No,0,0,0,0,0,2,2,Yes,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Inadequate household food stocks due to lack of farm inputs,,,
103,101041500027,Panel A,1,10104150,Yes,7,7,7,7,0,1,2,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
107,101041500045,Panel A,1,10104150,No,0,0,0,0,0,3,,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
115,101041500048,Panel A,1,10104150,Yes,3,0,1,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,101041500053,Panel A,1,10104150,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
105,101041500054,Panel A,1,10104150,No,0,0,0,0,0,3,,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Inadequate household food stocks due to lack of farm inputs,,,
125,101041500057,Panel A,1,10104150,No,0,0,0,0,0,2,2,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
101,101041500063,Panel A,1,10104150,No,0,0,0,0,0,2,2,Yes,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Other (Specify),LACK OF LABOR,,
119,101041500067,Panel A,1,10104150,Yes,0,0,0,0,0,2,,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
117,101041500076,Panel A,1,10104150,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
121,101041500079,Panel A,1,10104150,No,0,4,3,0,0,2,2,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Inadequate household food stocks due to lack of farm inputs,,,
102,102016880002,Panel B,2,10201688,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,102016880010,Panel B,2,10201688,No,0,0,0,0,0,3,,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
108,102016880018,Panel B,2,10201688,No,0,0,0,0,0,2,2,Yes,,,,,,,,X,,,,,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
120,102016880033,Panel B,2,10201688,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,102016880041,Panel B,2,10201688,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,102016880049,Panel B,2,10201688,Yes,0,0,0,3,0,2,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Inadequate household food stocks due to lack of farm inputs,,,
128,102016880064,Panel B,2,10201688,No,0,0,0,0,0,2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,102016880072,Panel B,2,10201688,No,0,0,0,0,0,2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,102016880080,Panel B,2,10201688,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,102016880095,Panel B,2,10201688,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,102016880103,Panel B,2,10201688,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,102016880111,Panel B,2,10201688,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household food stocks due to crop pest damage,,,,,
126,102016880126,Panel B,2,10201688,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,102016880134,Panel B,2,10201688,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,102016880142,Panel B,2,10201688,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,102016880157,Panel B,2,10201688,Yes,4,2,3,0,0,3,,Yes,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
139,102025140004,Panel A,1,10202514,Yes,0,1,1,0,0,2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,102025140019,Panel A,1,10202514,Yes,1,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,102025140060,Panel A,1,10202514,Yes,7,1,0,0,0,3,3,Yes,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
143,102025140064,Panel A,1,10202514,Yes,3,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,102025140068,Panel A,1,10202514,Yes,0,0,0,0,0,3,3,Yes,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,Floods/water logging,,,,,
129,102025140087,Panel A,1,10202514,Yes,1,2,2,2,0,3,3,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Floods/water logging,,Inadequate household food stocks due to small land size,,,
137,102025140089,Panel A,1,10202514,Yes,0,2,2,0,0,3,3,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
157,102025140104,Panel A,1,10202514,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,102025140122,Panel A,1,10202514,No,0,0,0,0,0,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,102025140144,Panel A,1,10202514,Yes,1,4,3,0,0,2,,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Inadequate household food stocks due to crop pest damage,,,
151,102025140145,Panel A,1,10202514,Yes,1,0,1,0,0,3,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Inadequate household food stocks due to lack of farm inputs,,,
149,102025140149,Panel A,1,10202514,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,102025140151,Panel A,1,10202514,Yes,7,3,0,4,0,2,2,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
135,102025140160,Panel A,1,10202514,No,0,0,0,1,0,3,3,Yes,,,,,,,,,,,,,X,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
159,102025140161,Panel A,1,10202514,Yes,2,1,1,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,102025140169,Panel A,1,10202514,Yes,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,102031760004,Panel B,2,10203176,Yes,0,0,0,1,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,102031760009,Panel B,2,10203176,Yes,0,0,0,1,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,102031760014,Panel B,2,10203176,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,102031760024,Panel B,2,10203176,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,102031760029,Panel B,2,10203176,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,102031760033,Panel B,2,10203176,Yes,4,4,4,0,0,2,,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
140,102031760043,Panel B,2,10203176,No,5,2,5,0,0,2,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
134,102031760048,Panel B,2,10203176,Yes,3,3,3,3,0,2,3,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
146,102031760053,Panel B,2,10203176,No,0,0,0,0,0,3,3,Yes,,,,,,,,X,,,,,,,,,,,,,,,,,,Other (Specify),SOLD FOOD STOCK,,,,
158,102031760063,Panel B,2,10203176,No,0,0,0,0,0,3,4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,102031760067,Panel B,2,10203176,No,0,0,0,0,0,2,,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
144,102031760072,Panel B,2,10203176,No,0,0,0,0,0,3,,Yes,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
154,102031760082,Panel B,2,10203176,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,102031760087,Panel B,2,10203176,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,102031760092,Panel B,2,10203176,No,0,0,0,0,0,2,,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
160,102031760101,Panel B,2,10203176,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
192,102037440001,Panel B,2,10203744,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,X,X,,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Inadequate household food stocks due to small land size,,,
182,102037440006,Panel B,2,10203744,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,102037440017,Panel B,2,10203744,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,102037440023,Panel B,2,10203744,No,0,0,0,0,0,2,3,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
172,102037440029,Panel B,2,10203744,Yes,2,0,1,0,0,2,,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Inadequate household food stocks due to lack of farm inputs,,,
178,102037440040,Panel B,2,10203744,Yes,3,0,1,0,0,2,2,Yes,,,,,,,,,,X,X,X,X,,,,X,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Inadequate household food stocks due to lack of farm inputs,,,
