occ,ea_id,com_cj0b,com_cj01,com_cj02,com_cj03,com_cj04,com_cj05,com_cj06
2,10202514,AGRICULTURAL COOP,NO,,,,,
3,10202514,TOBACCO CLUB,NO,,,,,
4,10202514,FARMERS` GROUP,NO,,,,,
5,10202514,SAVING AND CREDIT COOP,NO,,,,,
6,10202514,BUSINESS ASSOC,NO,,,,,
7,10202514,WOMEN`S GROUP,NO,,,,,
8,10202514,YOUTH GROUP,NO,,,,,
9,10202514,POLITICAL GROUP,NO,,,,,
10,10202514,RELIGIOUS GROUP,NO,,,,,
11,10202514,CULTURAL GROUP,NO,,,,,
12,10202514,HEALTH COMMITTEE,YES,1,MONTHLY,10,3,0
13,10202514,SCHOOL COMMITTEE,YES,1,WEEKLY,10,4,0
14,10202514,PARENT-TEACHER ASSOC.,NO,,,,,
15,10202514,SPORTS GROUP,NO,,,,,
16,10202514,NGO,NO,,,,,
17,10202514,COMMUNITY POLICE/WATCH GROUP,YES,1,OTHER (SPECIFY),10,0,0
18,10202514,DISABLED ASSOC.,NO,,,,,
19,10202514,OTHER (SPECIFY),NO,,,,,
1,10203176,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,15,10,4
2,10203176,AGRICULTURAL COOP,NO,,,,,
3,10203176,TOBACCO CLUB,NO,,,,,
4,10203176,FARMERS` GROUP,YES,2,MONTHLY,13,6,2
5,10203176,SAVING AND CREDIT COOP,NO,,,,,
6,10203176,BUSINESS ASSOC,NO,,,,,
7,10203176,WOMEN`S GROUP,NO,,,,,
8,10203176,YOUTH GROUP,YES,1,WEEKLY,22,12,3
9,10203176,POLITICAL GROUP,YES,1,QUARTERLY,26,10,0
10,10203176,RELIGIOUS GROUP,YES,1,MONTHLY,28,14,8
11,10203176,CULTURAL GROUP,YES,3,MONTHLY,18,8,10
12,10203176,HEALTH COMMITTEE,YES,1,MONTHLY,10,6,4
13,10203176,SCHOOL COMMITTEE,YES,1,MONTHLY,9,3,0
14,10203176,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,8,4,0
15,10203176,SPORTS GROUP,YES,1,MONTHLY,11,5,10
16,10203176,NGO,NO,,,,,
17,10203176,COMMUNITY POLICE/WATCH GROUP,NO,,,,,
18,10203176,DISABLED ASSOC.,NO,,,,,
19,10203176,OTHER (SPECIFY),NO,,,,,
1,10203744,VILLAGE DEVELOPMENT COMMITTE,YES,1,WEEKLY,10,4,2
2,10203744,AGRICULTURAL COOP,YES,1,QUARTERLY,22,16,4
3,10203744,TOBACCO CLUB,YES,1,QUARTERLY,45,22,6
4,10203744,FARMERS` GROUP,YES,1,QUARTERLY,25,19,2
5,10203744,SAVING AND CREDIT COOP,YES,1,WEEKLY,63,49,8
6,10203744,BUSINESS ASSOC,NO,,,,,
7,10203744,WOMEN`S GROUP,YES,1,MONTHLY,18,18,8
8,10203744,YOUTH GROUP,YES,2,QUARTERLY,16,9,4
9,10203744,POLITICAL GROUP,YES,1,QUARTERLY,33,10,0
10,10203744,RELIGIOUS GROUP,YES,1,MONTHLY,27,7,1
11,10203744,CULTURAL GROUP,NO,,,,,
12,10203744,HEALTH COMMITTEE,YES,1,MONTHLY,10,6,2
13,10203744,SCHOOL COMMITTEE,YES,1,MONTHLY,10,3,1
14,10203744,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,4,4
15,10203744,SPORTS GROUP,YES,1,MONTHLY,30,14,6
16,10203744,NGO,YES,1,QUARTERLY,15,4,9
17,10203744,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,15,2,10
18,10203744,DISABLED ASSOC.,YES,1,QUARTERLY,30,11,12
19,10203744,OTHER (SPECIFY),NO,,,,,
1,10204322,VILLAGE DEVELOPMENT COMMITTE,YES,1,WEEKLY,15,6,2
2,10204322,AGRICULTURAL COOP,NO,,,,,
3,10204322,TOBACCO CLUB,NO,,,,,
4,10204322,FARMERS` GROUP,NO,,,,,
5,10204322,SAVING AND CREDIT COOP,YES,2,WEEKLY,26,22,4
6,10204322,BUSINESS ASSOC,NO,,,,,
7,10204322,WOMEN`S GROUP,NO,,,,,
8,10204322,YOUTH GROUP,NO,,,,,
9,10204322,POLITICAL GROUP,NO,,,,,
10,10204322,RELIGIOUS GROUP,YES,1,OTHER (SPECIFY),10,5,2
11,10204322,CULTURAL GROUP,NO,,,,,
12,10204322,HEALTH COMMITTEE,YES,1,WEEKLY,10,3,1
13,10204322,SCHOOL COMMITTEE,YES,1,MONTHLY,10,2,3
14,10204322,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,6,4
15,10204322,SPORTS GROUP,NO,,,,,
16,10204322,NGO,NO,,,,,
17,10204322,COMMUNITY POLICE/WATCH GROUP,YES,1,OTHER (SPECIFY),19,9,6
18,10204322,DISABLED ASSOC.,NO,,,,,
19,10204322,OTHER (SPECIFY),NO,,,,,
1,10204586,VILLAGE DEVELOPMENT COMMITTE,NO,,,,,
2,10204586,AGRICULTURAL COOP,NO,,,,,
3,10204586,TOBACCO CLUB,NO,,,,,
4,10204586,FARMERS` GROUP,NO,,,,,
5,10204586,SAVING AND CREDIT COOP,NO,,,,,
6,10204586,BUSINESS ASSOC,NO,,,,,
7,10204586,WOMEN`S GROUP,NO,,,,,
8,10204586,YOUTH GROUP,NO,,,,,
9,10204586,POLITICAL GROUP,NO,,,,,
10,10204586,RELIGIOUS GROUP,NO,,,,,
11,10204586,CULTURAL GROUP,NO,,,,,
12,10204586,HEALTH COMMITTEE,YES,1,MONTHLY,12,6,0
13,10204586,SCHOOL COMMITTEE,YES,1,MONTHLY,10,5,0
14,10204586,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,5,0
15,10204586,SPORTS GROUP,NO,,,,,
16,10204586,NGO,NO,,,,,
17,10204586,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,10,3,0
18,10204586,DISABLED ASSOC.,NO,,,,,
19,10204586,OTHER (SPECIFY),NO,,,,,
1,10220103,VILLAGE DEVELOPMENT COMMITTE,YES,1,WEEKLY,10,4,3
2,10220103,AGRICULTURAL COOP,NO,,,,,
3,10220103,TOBACCO CLUB,NO,,,,,
4,10220103,FARMERS` GROUP,YES,1,WEEKLY,10,6,6
5,10220103,SAVING AND CREDIT COOP,YES,1,WEEKLY,15,11,5
6,10220103,BUSINESS ASSOC,YES,1,WEEKLY,14,12,7
7,10220103,WOMEN`S GROUP,NO,,,,,
8,10220103,YOUTH GROUP,NO,,,,,
9,10220103,POLITICAL GROUP,NO,,,,,
10,10220103,RELIGIOUS GROUP,NO,,,,,
11,10220103,CULTURAL GROUP,NO,,,,,
12,10220103,HEALTH COMMITTEE,NO,,,,,
13,10220103,SCHOOL COMMITTEE,NO,,,,,
14,10220103,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,19,8,5
15,10220103,SPORTS GROUP,NO,,,,,
16,10220103,NGO,NO,,,,,
17,10220103,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,10,0,4
18,10220103,DISABLED ASSOC.,NO,,,,,
19,10220103,OTHER (SPECIFY),NO,,,,,
1,10220705,VILLAGE DEVELOPMENT COMMITTE,NO,,,,,
2,10220705,AGRICULTURAL COOP,NO,,,,,
3,10220705,TOBACCO CLUB,NO,,,,,
4,10220705,FARMERS` GROUP,YES,1,WEEKLY,16,7,0
5,10220705,SAVING AND CREDIT COOP,NO,,,,,
6,10220705,BUSINESS ASSOC,YES,1,WEEKLY,30,16,4
7,10220705,WOMEN`S GROUP,YES,1,WEEKLY,17,17,0
8,10220705,YOUTH GROUP,YES,1,MONTHLY,30,10,20
9,10220705,POLITICAL GROUP,NO,,,,,
10,10220705,RELIGIOUS GROUP,NO,,,,,
11,10220705,CULTURAL GROUP,NO,,,,,
12,10220705,HEALTH COMMITTEE,YES,1,MONTHLY,10,5,0
13,10220705,SCHOOL COMMITTEE,YES,1,MONTHLY,9,3,0
14,10220705,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,7,3,0
15,10220705,SPORTS GROUP,NO,,,,,
16,10220705,NGO,NO,,,,,
17,10220705,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,15,3,0
18,10220705,DISABLED ASSOC.,YES,1,MONTHLY,21,11,0
19,10220705,OTHER (SPECIFY),NO,,,,,
1,10301663,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,16,8,0
2,10301663,AGRICULTURAL COOP,NO,,,,,
3,10301663,TOBACCO CLUB,NO,,,,,
4,10301663,FARMERS` GROUP,NO,,,,,
5,10301663,SAVING AND CREDIT COOP,NO,,,,,
6,10301663,BUSINESS ASSOC,NO,,,,,
7,10301663,WOMEN`S GROUP,YES,1,MONTHLY,20,20,7
8,10301663,YOUTH GROUP,YES,1,WEEKLY,14,9,7
9,10301663,POLITICAL GROUP,YES,2,MONTHLY,60,30,20
10,10301663,RELIGIOUS GROUP,NO,,,,,
11,10301663,CULTURAL GROUP,YES,1,QUARTERLY,20,8,0
12,10301663,HEALTH COMMITTEE,YES,1,MONTHLY,10,3,0
13,10301663,SCHOOL COMMITTEE,YES,1,MONTHLY,9,5,1
14,10301663,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,5,21
15,10301663,SPORTS GROUP,NO,,,,,
16,10301663,NGO,NO,,,,,
17,10301663,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,12,2,5
18,10301663,DISABLED ASSOC.,NO,,,,,
19,10301663,OTHER (SPECIFY),NO,,,,,
1,10302010,VILLAGE DEVELOPMENT COMMITTE,NO,,,,,
2,10302010,AGRICULTURAL COOP,NO,,,,,
3,10302010,TOBACCO CLUB,NO,,,,,
4,10302010,FARMERS` GROUP,NO,,,,,
5,10302010,SAVING AND CREDIT COOP,NO,,,,,
6,10302010,BUSINESS ASSOC,NO,,,,,
7,10302010,WOMEN`S GROUP,NO,,,,,
8,10302010,YOUTH GROUP,NO,,,,,
9,10302010,POLITICAL GROUP,NO,,,,,
10,10302010,RELIGIOUS GROUP,NO,,,,,
11,10302010,CULTURAL GROUP,NO,,,,,
12,10302010,HEALTH COMMITTEE,YES,1,MONTHLY,16,8,6
13,10302010,SCHOOL COMMITTEE,YES,1,WEEKLY,12,7,5
14,10302010,PARENT-TEACHER ASSOC.,YES,1,WEEKLY,35,20,4
15,10302010,SPORTS GROUP,NO,,,,,
16,10302010,NGO,NO,,,,,
17,10302010,COMMUNITY POLICE/WATCH GROUP,YES,1,WEEKLY,6,3,0
18,10302010,DISABLED ASSOC.,NO,,,,,
19,10302010,OTHER (SPECIFY),NO,,,,,
1,10304012,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,12,4,5
2,10304012,AGRICULTURAL COOP,YES,3,MONTHLY,30,13,9
3,10304012,TOBACCO CLUB,NO,,,,,
4,10304012,FARMERS` GROUP,YES,2,MONTHLY,18,10,5
5,10304012,SAVING AND CREDIT COOP,YES,1,WEEKLY,13,7,3
6,10304012,BUSINESS ASSOC,YES,1,WEEKLY,12,5,2
7,10304012,WOMEN`S GROUP,YES,3,WEEKLY,15,15,6
8,10304012,YOUTH GROUP,YES,2,MONTHLY,12,4,12
9,10304012,POLITICAL GROUP,YES,8,WEEKLY,26,15,7
10,10304012,RELIGIOUS GROUP,NO,,,,,
11,10304012,CULTURAL GROUP,YES,1,MONTHLY,14,8,3
12,10304012,HEALTH COMMITTEE,YES,4,QUARTERLY,10,3,2
13,10304012,SCHOOL COMMITTEE,YES,4,QUARTERLY,13,5,3
14,10304012,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,7,2,2
15,10304012,SPORTS GROUP,YES,1,WEEKLY,12,3,6
16,10304012,NGO,NO,,,,,
17,10304012,COMMUNITY POLICE/WATCH GROUP,NO,,,,,
18,10304012,DISABLED ASSOC.,NO,,,,,
19,10304012,OTHER (SPECIFY),NO,,,,,
1,10305446,VILLAGE DEVELOPMENT COMMITTE,YES,1,WEEKLY,16,8,4
2,10305446,AGRICULTURAL COOP,NO,,,,,
3,10305446,TOBACCO CLUB,YES,1,MONTHLY,10,2,1
4,10305446,FARMERS` GROUP,NO,,,,,
5,10305446,SAVING AND CREDIT COOP,NO,,,,,
6,10305446,BUSINESS ASSOC,NO,,,,,
7,10305446,WOMEN`S GROUP,NO,,,,,
8,10305446,YOUTH GROUP,NO,,,,,
9,10305446,POLITICAL GROUP,YES,2,MONTHLY,40,10,20
10,10305446,RELIGIOUS GROUP,NO,,,,,
11,10305446,CULTURAL GROUP,NO,,,,,
12,10305446,HEALTH COMMITTEE,YES,2,MONTHLY,20,10,3
13,10305446,SCHOOL COMMITTEE,YES,1,MONTHLY,10,5,1
14,10305446,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,5,0
15,10305446,SPORTS GROUP,YES,1,MONTHLY,10,3,10
16,10305446,NGO,NO,,,,,
17,10305446,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,15,5,9
18,10305446,DISABLED ASSOC.,NO,,,,,
19,10305446,OTHER (SPECIFY),NO,,,,,
1,10307413,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,12,6,2
2,10307413,AGRICULTURAL COOP,NO,,,,,
3,10307413,TOBACCO CLUB,NO,,,,,
4,10307413,FARMERS` GROUP,NO,,,,,
5,10307413,SAVING AND CREDIT COOP,NO,,,,,
6,10307413,BUSINESS ASSOC,YES,1,MONTHLY,10,5,0
7,10307413,WOMEN`S GROUP,NO,,,,,
8,10307413,YOUTH GROUP,NO,,,,,
9,10307413,POLITICAL GROUP,NO,,,,,
10,10307413,RELIGIOUS GROUP,NO,,,,,
11,10307413,CULTURAL GROUP,NO,,,,,
12,10307413,HEALTH COMMITTEE,YES,1,MONTHLY,18,6,0
13,10307413,SCHOOL COMMITTEE,YES,1,MONTHLY,10,3,0
14,10307413,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,4,0
15,10307413,SPORTS GROUP,NO,,,,,
16,10307413,NGO,NO,,,,,
17,10307413,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,10,3,0
18,10307413,DISABLED ASSOC.,NO,,,,,
19,10307413,OTHER (SPECIFY),NO,,,,,
1,10308636,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,16,12,4
2,10308636,AGRICULTURAL COOP,NO,,,,,
3,10308636,TOBACCO CLUB,NO,,,,,
4,10308636,FARMERS` GROUP,NO,,,,,
5,10308636,SAVING AND CREDIT COOP,NO,,,,,
6,10308636,BUSINESS ASSOC,NO,,,,,
7,10308636,WOMEN`S GROUP,NO,,,,,
8,10308636,YOUTH GROUP,NO,,,,,
9,10308636,POLITICAL GROUP,NO,,,,,
10,10308636,RELIGIOUS GROUP,NO,,,,,
11,10308636,CULTURAL GROUP,YES,1,WEEKLY,10,5,2
12,10308636,HEALTH COMMITTEE,YES,1,WEEKLY,10,4,0
13,10308636,SCHOOL COMMITTEE,YES,1,WEEKLY,10,5,0
14,10308636,PARENT-TEACHER ASSOC.,NO,,,,,
15,10308636,SPORTS GROUP,NO,,,,,
16,10308636,NGO,NO,,,,,
17,10308636,COMMUNITY POLICE/WATCH GROUP,NO,,,,,
18,10308636,DISABLED ASSOC.,NO,,,,,
19,10308636,OTHER (SPECIFY),NO,,,,,
1,10401140,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,4,5
2,10401140,AGRICULTURAL COOP,NO,,,,,
3,10401140,TOBACCO CLUB,YES,5,MONTHLY,10,3,0
4,10401140,FARMERS` GROUP,NO,,,,,
5,10401140,SAVING AND CREDIT COOP,NO,,,,,
6,10401140,BUSINESS ASSOC,NO,,,,,
7,10401140,WOMEN`S GROUP,NO,,,,,
8,10401140,YOUTH GROUP,NO,,,,,
9,10401140,POLITICAL GROUP,NO,,,,,
10,10401140,RELIGIOUS GROUP,NO,,,,,
11,10401140,CULTURAL GROUP,NO,,,,,
12,10401140,HEALTH COMMITTEE,YES,1,MONTHLY,10,2,2
13,10401140,SCHOOL COMMITTEE,YES,1,MONTHLY,10,3,0
14,10401140,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,2,0
15,10401140,SPORTS GROUP,NO,,,,,
16,10401140,NGO,NO,,,,,
17,10401140,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,10,4,2
18,10401140,DISABLED ASSOC.,NO,,,,,
19,10401140,OTHER (SPECIFY),NO,,,,,
1,10401502,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,4,2
2,10401502,AGRICULTURAL COOP,NO,,,,,
3,10401502,TOBACCO CLUB,YES,3,WEEKLY,10,0,0
4,10401502,FARMERS` GROUP,NO,,,,,
5,10401502,SAVING AND CREDIT COOP,NO,,,,,
6,10401502,BUSINESS ASSOC,NO,,,,,
7,10401502,WOMEN`S GROUP,NO,,,,,
8,10401502,YOUTH GROUP,NO,,,,,
9,10401502,POLITICAL GROUP,NO,,,,,
10,10401502,RELIGIOUS GROUP,NO,,,,,
11,10401502,CULTURAL GROUP,NO,,,,,
12,10401502,HEALTH COMMITTEE,NO,,,,,
13,10401502,SCHOOL COMMITTEE,YES,1,MONTHLY,9,3,2
14,10401502,PARENT-TEACHER ASSOC.,YES,1,MONTHLY,10,4,2
15,10401502,SPORTS GROUP,NO,,,,,
16,10401502,NGO,NO,,,,,
17,10401502,COMMUNITY POLICE/WATCH GROUP,YES,1,MONTHLY,10,23,4
18,10401502,DISABLED ASSOC.,NO,,,,,
19,10401502,OTHER (SPECIFY),NO,,,,,
1,10401522,VILLAGE DEVELOPMENT COMMITTE,YES,1,MONTHLY,10,2,1
2,10401522,AGRICULTURAL COOP,NO,,,,,
3,10401522,TOBACCO CLUB,YES,6,MONTHLY,8,4,0
4,10401522,FARMERS` GROUP,NO,,,,,
5,10401522,SAVING AND CREDIT COOP,NO,,,,,
6,10401522,BUSINESS ASSOC,NO,,,,,
7,10401522,WOMEN`S GROUP,NO,,,,,
8,10401522,YOUTH GROUP,NO,,,,,
9,10401522,POLITICAL GROUP,NO,,,,,
10,10401522,RELIGIOUS GROUP,NO,,,,,
11,10401522,CULTURAL GROUP,NO,,,,,
12,10401522,HEALTH COMMITTEE,NO,,,,,
13,10401522,SCHOOL COMMITTEE,YES,1,MONTHLY,10,3,2
