occ,y2_hhid,qx_type,interview_status,fs_f0a,fs_f00,fs_f01,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f03a,fs_f03b,fs_f03c,fs_f03d,fs_f03e,fs_f03f,fs_f03g,fs_f03h
1,1325-001,PANEL A,Panel A - 2 Visits,,YES,USIPA,9,SMALL BASKET,SUN-DRIED,13500,,,,,9,SMALL BASKET,SUN-DRIED,28000,,,,
1,1659-005,PANEL A,Panel A - Combined Visit,1,YES,MATEMBA,1,SMALL BASKET,SUN-DRIED,2800,,,,,.5,SMALL BASKET,SUN-DRIED,1200,,,,
2,1659-005,PANEL A,Panel A - Combined Visit,2,YES,USIPA,1,SMALL BASKET,SUN-DRIED,2800,,,,,.5,SMALL BASKET,SUN-DRIED,1200,,,,
1,1740-001,PANEL B,Panel B - 2 Visits,1,YES,MAKAKANI,200,PIECE,SMOKED,30000,,,,,200,PIECE,SMOKED,70000,,,,
1,1804-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,1879-001,PANEL A,Panel A - 2 Visits,1,YES,USIPA,3,DOZEN/BUNDLE,SUN-DRIED,15000,,,,,1,SMALL BASKET,SUN-DRIED,2000,,,,
1,1921-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,1935-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,1945-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,1949-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,1951-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,1951-002,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,2053-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,2073-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,2103-001,PANEL A,Panel A - 2 Visits,1,YES,USIPA,1,LARGE BASKET,SUN-DRIED,2500,,,,,19,LARGE BASKET,SUN-DRIED,3000,,,,
2,2103-001,PANEL A,Panel A - 2 Visits,2,YES,UTAKA,1,LARGE BASKET,SUN-DRIED,3500,,,,,1,LARGE BASKET,SUN-DRIED,3700,,,,
3,2103-001,PANEL A,Panel A - 2 Visits,3,YES,OTHER (SPECIFY),3,LARGE BASKET,SUN-DRIED,10200,,,,,3,LARGE BASKET,SUN-DRIED,10500,,,,
1,2189-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,2202-002,PANEL B,Panel B - Combined Visit,1,YES,MATEMBA,3,SMALL BASKET,SUN-DRIED,2200,,,,,3,SMALL BASKET,SUN-DRIED,3000,,,,
1,2231-004,PANEL A,Panel A - 2 Visits,1,YES,MAKAKANI,8,SMALL BASKET,SMOKED,1200,,,,,5,SMALL BASKET,SMOKED,1500,,,,
2,2231-004,PANEL A,Panel A - 2 Visits,2,YES,UTAKA,8,SMALL BASKET,SUN-DRIED,1200,,,,,5,SMALL BASKET,SUN-DRIED,1500,,,,
1,2403-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,2433-001,PANEL A,Panel A - 2 Visits,1,YES,USIPA,180,OTHER (SPECIFY),SUN-DRIED,25000,,,,,180,OTHER (SPECIFY),SUN-DRIED,36000,,,,
1,2563-001,PANEL A,Panel A - 2 Visits,1,YES,MLAMBA,50,DOZEN/BUNDLE,SMOKED,700,1000,PIECE,SMOKED,120,650,PIECE,SMOKED,150,700,PIECE,SMOKED,250
2,2563-001,PANEL A,Panel A - 2 Visits,2,YES,MAKAKANI,10,SMALL BASKET,SMOKED,2500,100,DOZEN/BUNDLE,SMOKED,450,350,DOZEN/BUNDLE,SMOKED,100,1200,PIECE,SMOKED,80
3,2563-001,PANEL A,Panel A - 2 Visits,3,YES,USIPA,20,SMALL BASKET,SUN-DRIED,1500,,,,,500,DOZEN/BUNDLE,SUN-DRIED,100,,,,
1,2569-001,PANEL A,Panel A - 2 Visits,1,YES,MAKAKANI,20,DOZEN/BUNDLE,SMOKED,7000,25,5 KG BAG,SUN-DRIED,62500,20,DOZEN/BUNDLE,SMOKED,9000,21,10 KG BAG,SUN-DRIED,72000
1,2598-001,PANEL B,Panel B - 2 Visits,1,YES,CHAMBO,20,DOZEN/BUNDLE,SMOKED,10000,10,SMALL BASKET,FRESH,8000,20,DOZEN/BUNDLE,SMOKED,18000,10,SMALL BASKET,FRESH,15000
2,2598-001,PANEL B,Panel B - 2 Visits,2,YES,MLAMBA,15,SMALL BASKET,FRESH,5000,,,,,15,SMALL BASKET,FRESH,12000,,,,
3,2598-001,PANEL B,Panel B - 2 Visits,3,YES,MATEMBA,10,25 KG BAG,SUN-DRIED,7500,,,,,10,25 KG BAG,SUN-DRIED,18000,,,,
1,2603-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,2656-001,PANEL B,Panel B - 2 Visits,1,YES,MATEMBA,4,OTHER (SPECIFY),SUN-DRIED,2500,,,,,4,OTHER (SPECIFY),SUN-DRIED,3500,,,,
2,2656-001,PANEL B,Panel B - 2 Visits,2,YES,USIPA,3,OTHER (SPECIFY),SUN-DRIED,2000,,,,,2,OTHER (SPECIFY),SUN-DRIED,3800,,,,
1,2703-001,PANEL A,Panel A - 2 Visits,1,YES,CHAMBO,3,SMALL BASKET,FRESH,7500,0,,,,3,SMALL BASKET,FRESH,9500,2,,,0
1,2777-001,PANEL A,Panel A - 2 Visits,1,YES,MAKAKANI,7,LARGE BASKET,SMOKED,750,,,,,7,PIECE,SMOKED,100,,,,
2,2777-001,PANEL A,Panel A - 2 Visits,2,YES,MLAMBA,7,LARGE BASKET,SMOKED,750,,,,,7,PIECE,SMOKED,100,,,,
1,2788-003,PANEL B,Panel B - 2 Visits,1,YES,USIPA,15,SMALL BASKET,FRESH,10000,,,,,11,SMALL BASKET,FRESH,25000,,,,
1,2812-003,PANEL B,Panel B - Combined Visit,1,YES,USIPA,5,SMALL BASKET,SUN-DRIED,10000,,,,,5,SMALL BASKET,SUN-DRIED,22000,,,,
1,2835-001,PANEL A,Panel A - 2 Visits,1,YES,MLAMBA,1,LARGE BASKET,OTHER (SPECIFY),2000,,,,,1,LARGE BASKET,OTHER (SPECIFY),4500,,,,
2,2835-001,PANEL A,Panel A - 2 Visits,2,YES,CHAMBO,1,SMALL BASKET,OTHER (SPECIFY),1000,,,,,1,SMALL BASKET,OTHER (SPECIFY),2500,,,,
1,2984-001,PANEL B,Panel B - 2 Visits,1,YES,MLAMBA,10,LARGE BASKET,SMOKED,4000,,,,,5,PIECE,SMOKED,500,,,,
1,3036-001,PANEL B,Panel B - 2 Visits,1,YES,MATEMBA,4,SMALL BASKET,SUN-DRIED,3000,4,SMALL BASKET,SMOKED,3000,4,SMALL BASKET,SUN-DRIED,3500,4,SMALL BASKET,SMOKED,3500
1,3074-002,PANEL B,Panel B - 2 Visits,1,YES,MAKAKANI,500,PIECE,SMOKED,30,,,,,500,PIECE,SMOKED,50,,,,
2,3074-002,PANEL B,Panel B - 2 Visits,2,YES,CHAMBO,150,PIECE,SMOKED,100,,,,,150,PIECE,SMOKED,150,,,,
3,3074-002,PANEL B,Panel B - 2 Visits,3,YES,MLAMBA,100,PIECE,SMOKED,150,,,,,100,PIECE,SMOKED,200,,,,
1,3143-001,PANEL A,Panel A - 2 Visits,1,YES,USIPA,4,SMALL BASKET,SUN-DRIED,700,,,,,2,SMALL BASKET,SUN-DRIED,2400,,,,
1,3155-001,PANEL A,Panel A - 2 Visits,1,YES,CHAMBO,36,SMALL BASKET,SMOKED,90000,,,,,36,SMALL BASKET,SMOKED,99999,,,,
2,3155-001,PANEL A,Panel A - 2 Visits,2,YES,MLAMBA,10,OTHER (SPECIFY),SMOKED,99999,,,,,10,OTHER (SPECIFY),SMOKED,45000,,,,
3,3155-001,PANEL A,Panel A - 2 Visits,3,YES,MATEMBA,72,SMALL BASKET,SUN-DRIED,99999,,,,,72,SMALL BASKET,SUN-DRIED,99999,,,,
4,3155-001,PANEL A,Panel A - 2 Visits,4,YES,MAKUMBA,70,SMALL BASKET,SUN-DRIED,99999,,,,,70,SMALL BASKET,SUN-DRIED,99999,,,,
