HHID,case_id,ea_id,qx_type,ag_c0a,ag_c01,ag_j0a,ag_j01,ag_j02,ag_s00,_merge
7,101012150074,10101215,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
20,101015620009,10101562,Panel B,,Yes,,No,,Yes,both in master and using data
30,101015620020,10101562,Panel B,,Yes,,No,,Yes,both in master and using data
10,101015620031,10101562,Panel B,,Yes,,No,,Yes,both in master and using data
6,101015620042,10101562,Panel B,,Yes,,No,,Yes,both in master and using data
2,101015620053,10101562,Panel B,,Yes,,No,,Yes,both in master and using data
8,101015620064,10101562,Panel B,,Yes,,No,,Yes,both in master and using data
18,101015620075,10101562,Panel B,,Yes,,No,,Yes,both in master and using data
16,101015620086,10101562,Panel B,,Yes,,No,,Yes,both in master and using data
26,101015620096,10101562,Panel B,,Yes,,No,,Yes,both in master and using data
28,101015620118,10101562,Panel B,,Yes,,No,,No,both in master and using data
32,101015620140,10101562,Panel B,,Yes,,No,,Yes,both in master and using data
12,101015620162,10101562,Panel B,,Yes,,No,,Yes,both in master and using data
4,101015620184,10101562,Panel B,,Yes,,No,,Yes,both in master and using data
22,101015620195,10101562,Panel B,,Yes,,No,,Yes,both in master and using data
14,101015620205,10101562,Panel B,,Yes,,No,,No,both in master and using data
24,101015620227,10101562,Panel B,,Yes,,No,,No,both in master and using data
79,101020040001,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
87,101020040008,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
89,101020040012,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
85,101020040015,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
83,101020040028,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
75,101020040031,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
65,101020040034,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
93,101020040039,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
71,101020040042,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
69,101020040059,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
81,101020040061,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
73,101020040093,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
67,101020040101,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
91,101020040104,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
77,101020040121,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
95,101020040128,10102004,Panel A,,Yes,,No,,Yes,both in master and using data
86,101034140003,10103414,Panel B,,Yes,,No,,Yes,both in master and using data
66,101034140009,10103414,Panel B,,Yes,,No,,No,both in master and using data
96,101034140020,10103414,Panel B,,Yes,,No,,Yes,both in master and using data
72,101034140025,10103414,Panel B,,Yes,,No,,No,both in master and using data
90,101034140031,10103414,Panel B,,Yes,,No,,Yes,both in master and using data
80,101034140042,10103414,Panel B,,Yes,,No,,Yes,both in master and using data
92,101034140047,10103414,Panel B,,Yes,,No,,Yes,both in master and using data
84,101034140053,10103414,Panel B,,Yes,,Yes,No,Yes,both in master and using data
70,101034140064,10103414,Panel B,,Yes,,No,,Yes,both in master and using data
76,101034140069,10103414,Panel B,,Yes,,No,,Yes,both in master and using data
78,101034140075,10103414,Panel B,,Yes,,No,,Yes,both in master and using data
94,101034140086,10103414,Panel B,,Yes,,No,,Yes,both in master and using data
74,101034140091,10103414,Panel B,,Yes,,No,,Yes,both in master and using data
88,101034140097,10103414,Panel B,,Yes,,No,,Yes,both in master and using data
82,101034140108,10103414,Panel B,,Yes,,No,,Yes,both in master and using data
68,101034140114,10103414,Panel B,,Yes,,No,,Yes,both in master and using data
123,101041500004,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
127,101041500006,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
113,101041500012,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
109,101041500013,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
111,101041500015,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
99,101041500023,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
103,101041500027,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
107,101041500045,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
115,101041500048,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
97,101041500053,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
105,101041500054,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
125,101041500057,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
101,101041500063,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
119,101041500067,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
117,101041500076,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
121,101041500079,10104150,Panel A,,Yes,,No,,Yes,both in master and using data
102,102016880002,10201688,Panel B,,Yes,,No,,Yes,both in master and using data
100,102016880010,10201688,Panel B,,Yes,,No,,Yes,both in master and using data
108,102016880018,10201688,Panel B,,Yes,,No,,Yes,both in master and using data
120,102016880033,10201688,Panel B,,Yes,,No,,Yes,both in master and using data
118,102016880041,10201688,Panel B,,Yes,,No,,Yes,both in master and using data
106,102016880049,10201688,Panel B,,Yes,,No,,Yes,both in master and using data
128,102016880064,10201688,Panel B,,Yes,,No,,Yes,both in master and using data
116,102016880072,10201688,Panel B,,Yes,,No,,Yes,both in master and using data
122,102016880080,10201688,Panel B,,Yes,,No,,Yes,both in master and using data
98,102016880095,10201688,Panel B,,Yes,,Yes,No,Yes,both in master and using data
112,102016880103,10201688,Panel B,,Yes,,No,,No,both in master and using data
110,102016880111,10201688,Panel B,,Yes,,Yes,No,Yes,both in master and using data
126,102016880126,10201688,Panel B,,Yes,,No,,Yes,both in master and using data
104,102016880134,10201688,Panel B,,Yes,,No,,Yes,both in master and using data
114,102016880142,10201688,Panel B,,Yes,,No,,Yes,both in master and using data
124,102016880157,10201688,Panel B,,Yes,,No,,Yes,both in master and using data
139,102025140004,10202514,Panel A,,Yes,,No,,Yes,both in master and using data
155,102025140019,10202514,Panel A,,Yes,,No,,Yes,both in master and using data
145,102025140060,10202514,Panel A,,Yes,,No,,Yes,both in master and using data
143,102025140064,10202514,Panel A,,Yes,,No,,Yes,both in master and using data
131,102025140068,10202514,Panel A,,Yes,,No,,Yes,both in master and using data
129,102025140087,10202514,Panel A,,Yes,,No,,Yes,both in master and using data
137,102025140089,10202514,Panel A,,Yes,,No,,Yes,both in master and using data
157,102025140104,10202514,Panel A,,Yes,,No,,No,both in master and using data
153,102025140122,10202514,Panel A,,Yes,,No,,Yes,both in master and using data
133,102025140144,10202514,Panel A,,Yes,,No,,Yes,both in master and using data
151,102025140145,10202514,Panel A,,Yes,,No,,Yes,both in master and using data
149,102025140149,10202514,Panel A,,Yes,,No,,No,both in master and using data
147,102025140151,10202514,Panel A,,Yes,,No,,Yes,both in master and using data
135,102025140160,10202514,Panel A,,Yes,,No,,Yes,both in master and using data
159,102025140161,10202514,Panel A,,Yes,,No,,No,both in master and using data
141,102025140169,10202514,Panel A,,Yes,,No,,No,both in master and using data
150,102031760004,10203176,Panel B,,Yes,,No,,Yes,both in master and using data
142,102031760009,10203176,Panel B,,Yes,,No,,Yes,both in master and using data
138,102031760014,10203176,Panel B,,Yes,,No,,Yes,both in master and using data
136,102031760024,10203176,Panel B,,Yes,,No,,Yes,both in master and using data
148,102031760029,10203176,Panel B,,Yes,,No,,Yes,both in master and using data
132,102031760033,10203176,Panel B,,Yes,,No,,Yes,both in master and using data
140,102031760043,10203176,Panel B,,Yes,,No,,Yes,both in master and using data
134,102031760048,10203176,Panel B,,Yes,,No,,Yes,both in master and using data
146,102031760053,10203176,Panel B,,Yes,,No,,Yes,both in master and using data
158,102031760063,10203176,Panel B,,Yes,,No,,Yes,both in master and using data
152,102031760067,10203176,Panel B,,Yes,,No,,Yes,both in master and using data
144,102031760072,10203176,Panel B,,Yes,,No,,Yes,both in master and using data
154,102031760082,10203176,Panel B,,Yes,,No,,Yes,both in master and using data
130,102031760087,10203176,Panel B,,Yes,,No,,Yes,both in master and using data
156,102031760092,10203176,Panel B,,Yes,,No,,No,both in master and using data
160,102031760101,10203176,Panel B,,Yes,,No,,Yes,both in master and using data
192,102037440001,10203744,Panel B,,Yes,,No,,Yes,both in master and using data
182,102037440006,10203744,Panel B,,Yes,,No,,Yes,both in master and using data
188,102037440017,10203744,Panel B,,Yes,,No,,Yes,both in master and using data
164,102037440023,10203744,Panel B,,Yes,,No,,Yes,both in master and using data
172,102037440029,10203744,Panel B,,Yes,,No,,No,both in master and using data
178,102037440040,10203744,Panel B,,Yes,,No,,Yes,both in master and using data
190,102037440045,10203744,Panel B,,Yes,,No,,Yes,both in master and using data
166,102037440051,10203744,Panel B,,Yes,,No,,Yes,both in master and using data
180,102037440062,10203744,Panel B,,Yes,,No,,Yes,both in master and using data
186,102037440068,10203744,Panel B,,Yes,,No,,Yes,both in master and using data
176,102037440073,10203744,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
174,102037440084,10203744,Panel B,,Yes,,No,,Yes,both in master and using data
162,102037440090,10203744,Panel B,,Yes,,No,,No,both in master and using data
170,102037440095,10203744,Panel B,,Yes,,No,,Yes,both in master and using data
168,102037440107,10203744,Panel B,,Yes,,No,,Yes,both in master and using data
184,102037440112,10203744,Panel B,,Yes,,Yes,No,Yes,both in master and using data
202,102043220004,10204322,Panel B,,Yes,,Yes,No,Yes,both in master and using data
194,102043220009,10204322,Panel B,,Yes,,Yes,No,No,both in master and using data
218,102043220019,10204322,Panel B,,Yes,,Yes,No,Yes,both in master and using data
214,102043220023,10204322,Panel B,,Yes,,Yes,No,Yes,both in master and using data
196,102043220028,10204322,Panel B,,Yes,,No,,No,both in master and using data
206,102043220038,10204322,Panel B,,Yes,,No,,No,both in master and using data
210,102043220043,10204322,Panel B,,Yes,,No,,Yes,both in master and using data
198,102043220047,10204322,Panel B,,Yes,,Yes,No,Yes,both in master and using data
212,102043220057,10204322,Panel B,,Yes,,Yes,No,Yes,both in master and using data
216,102043220062,10204322,Panel B,,Yes,,Yes,No,Yes,both in master and using data
208,102043220067,10204322,Panel B,,Yes,,,,Yes,both in master and using data
204,102043220081,10204322,Panel B,,No,,Yes,Yes,Yes,both in master and using data
224,102043220086,10204322,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
222,102043220095,10204322,Panel B,,Yes,,Yes,Yes,Yes,both in master and using data
220,102043220100,10204322,Panel B,,Yes,,No,,Yes,both in master and using data
183,102045860004,10204586,Panel A,,Yes,,No,,Yes,both in master and using data
179,102045860010,10204586,Panel A,,Yes,,No,,Yes,both in master and using data
181,102045860012,10204586,Panel A,,Yes,,No,,Yes,both in master and using data
165,102045860025,10204586,Panel A,,Yes,,No,,No,both in master and using data
191,102045860049,10204586,Panel A,,Yes,,No,,Yes,both in master and using data
173,102045860053,10204586,Panel A,,Yes,,No,,No,both in master and using data
185,102045860054,10204586,Panel A,,Yes,,No,,No,both in master and using data
161,102045860070,10204586,Panel A,,Yes,,No,,Yes,both in master and using data
169,102045860107,10204586,Panel A,,Yes,,No,,No,both in master and using data
163,102045860112,10204586,Panel A,,Yes,,No,,Yes,both in master and using data
189,102045860115,10204586,Panel A,,Yes,,No,,Yes,both in master and using data
177,102045860122,10204586,Panel A,,Yes,,No,,Yes,both in master and using data
167,102045860123,10204586,Panel A,,Yes,,No,,Yes,both in master and using data
171,102045860161,10204586,Panel A,,Yes,,No,,Yes,both in master and using data
187,102045860164,10204586,Panel A,,Yes,,No,,Yes,both in master and using data
252,102201030013,10220103,Panel B,,Yes,,No,,Yes,both in master and using data
242,102201030021,10220103,Panel B,,Yes,,No,,Yes,both in master and using data
230,102201030028,10220103,Panel B,,Yes,,No,,Yes,both in master and using data
232,102201030035,10220103,Panel B,,Yes,,No,,Yes,both in master and using data
234,102201030050,10220103,Panel B,,Yes,,No,,No,both in master and using data
228,102201030058,10220103,Panel B,,Yes,,No,,No,both in master and using data
256,102201030065,10220103,Panel B,,Yes,,No,,Yes,both in master and using data
246,102201030073,10220103,Panel B,,Yes,,No,,Yes,both in master and using data
226,102201030088,10220103,Panel B,,Yes,,No,,Yes,both in master and using data
244,102201030095,10220103,Panel B,,Yes,,No,,Yes,both in master and using data
250,102201030103,10220103,Panel B,,Yes,,No,,Yes,both in master and using data
248,102201030110,10220103,Panel B,,Yes,,No,,Yes,both in master and using data
254,102201030125,10220103,Panel B,,Yes,,No,,Yes,both in master and using data
240,102201030133,10220103,Panel B,,Yes,,No,,No,both in master and using data
238,102201030140,10220103,Panel B,,Yes,,No,,No,both in master and using data
236,102201030155,10220103,Panel B,,Yes,,No,,Yes,both in master and using data
217,102207050044,10220705,Panel A,,Yes,,No,,Yes,both in master and using data
221,102207050054,10220705,Panel A,,Yes,,No,,Yes,both in master and using data
207,102207050056,10220705,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
211,102207050084,10220705,Panel A,,No,,No,,Yes,both in master and using data
197,102207050090,10220705,Panel A,,Yes,,No,,No,both in master and using data
209,102207050112,10220705,Panel A,,Yes,,No,,No,both in master and using data
203,102207050206,10220705,Panel A,,Yes,,No,,Yes,both in master and using data
219,102207050298,10220705,Panel A,,Yes,,No,,Yes,both in master and using data
193,102207050344,10220705,Panel A,,Yes,,No,,Yes,both in master and using data
195,102207050359,10220705,Panel A,,Yes,,No,,Yes,both in master and using data
229,103016630124,10301663,Panel A,,No,,No,,Yes,both in master and using data
239,103016630160,10301663,Panel A,,Yes,,No,,No,both in master and using data
243,103016630188,10301663,Panel A,,Yes,,No,,No,both in master and using data
225,103016630198,10301663,Panel A,,Yes,,No,,No,both in master and using data
249,103016630217,10301663,Panel A,,No,,Yes,Yes,Yes,both in master and using data
247,103016630235,10301663,Panel A,,Yes,,No,,Yes,both in master and using data
241,103016630300,10301663,Panel A,,Yes,,No,,Yes,both in master and using data
251,103016630307,10301663,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
235,103016630351,10301663,Panel A,,Yes,,No,,No,both in master and using data
233,103016630379,10301663,Panel A,,Yes,,No,,Yes,both in master and using data
237,103016630383,10301663,Panel A,,Yes,,No,,Yes,both in master and using data
273,103020100009,10302010,Panel A,,Yes,,No,,Yes,both in master and using data
287,103020100012,10302010,Panel A,,Yes,,No,,Yes,both in master and using data
285,103020100016,10302010,Panel A,,Yes,,No,,Yes,both in master and using data
265,103020100019,10302010,Panel A,,Yes,,No,,Yes,both in master and using data
263,103020100028,10302010,Panel A,,Yes,,No,,Yes,both in master and using data
281,103020100034,10302010,Panel A,,Yes,,No,,Yes,both in master and using data
269,103020100037,10302010,Panel A,,Yes,,No,,Yes,both in master and using data
279,103020100047,10302010,Panel A,,Yes,,No,,Yes,both in master and using data
277,103020100054,10302010,Panel A,,Yes,,No,,Yes,both in master and using data
261,103020100056,10302010,Panel A,,Yes,,No,,Yes,both in master and using data
257,103020100076,10302010,Panel A,,Yes,,No,,Yes,both in master and using data
267,103020100089,10302010,Panel A,,Yes,,No,,Yes,both in master and using data
271,103020100105,10302010,Panel A,,Yes,,No,,No,both in master and using data
275,103020100106,10302010,Panel A,,Yes,,No,,No,both in master and using data
259,103020100107,10302010,Panel A,,Yes,,No,,No,both in master and using data
283,103020100112,10302010,Panel A,,Yes,,No,,Yes,both in master and using data
313,103040120012,10304012,Panel A,,Yes,,No,,Yes,both in master and using data
309,103040120023,10304012,Panel A,,Yes,,No,,No,both in master and using data
303,103040120049,10304012,Panel A,,No,,No,,Yes,both in master and using data
319,103040120062,10304012,Panel A,,Yes,,No,,No,both in master and using data
305,103040120074,10304012,Panel A,,Yes,,No,,Yes,both in master and using data
291,103040120101,10304012,Panel A,,No,,No,,No,both in master and using data
315,103040120105,10304012,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
293,103040120125,10304012,Panel A,,Yes,,No,,Yes,both in master and using data
295,103040120126,10304012,Panel A,,No,,No,,Yes,both in master and using data
301,103040120129,10304012,Panel A,,No,,No,,Yes,both in master and using data
297,103040120132,10304012,Panel A,,No,,No,,Yes,both in master and using data
317,103040120141,10304012,Panel A,,Yes,,No,,Yes,both in master and using data
299,103040120148,10304012,Panel A,,Yes,,No,,Yes,both in master and using data
307,103040120153,10304012,Panel A,,Yes,,No,,Yes,both in master and using data
311,103040120166,10304012,Panel A,,Yes,,No,,Yes,both in master and using data
289,103040120171,10304012,Panel A,,Yes,,No,,Yes,both in master and using data
268,103054460016,10305446,Panel B,,Yes,,No,,No,both in master and using data
266,103054460029,10305446,Panel B,,No,,No,,Yes,both in master and using data
262,103054460055,10305446,Panel B,,Yes,,No,,Yes,both in master and using data
282,103054460081,10305446,Panel B,,Yes,,No,,Yes,both in master and using data
274,103054460094,10305446,Panel B,,Yes,,No,,Yes,both in master and using data
276,103054460107,10305446,Panel B,,No,,,,Yes,both in master and using data
260,103054460146,10305446,Panel B,,No,,No,,Yes,both in master and using data
258,103054460159,10305446,Panel B,,Yes,,No,,Yes,both in master and using data
272,103054460172,10305446,Panel B,,No,,No,,Yes,both in master and using data
270,103054460185,10305446,Panel B,,Yes,,No,,No,both in master and using data
284,103054460224,10305446,Panel B,,No,,No,,Yes,both in master and using data
264,103054460237,10305446,Panel B,,No,,No,,Yes,both in master and using data
280,103054460263,10305446,Panel B,,Yes,,No,,No,both in master and using data
325,103074130018,10307413,Panel A,,Yes,,No,,Yes,both in master and using data
335,103074130028,10307413,Panel A,,Yes,,No,,Yes,both in master and using data
327,103074130044,10307413,Panel A,,Yes,,No,,Yes,both in master and using data
349,103074130047,10307413,Panel A,,Yes,,No,,No,both in master and using data
339,103074130052,10307413,Panel A,,Yes,,No,,Yes,both in master and using data
333,103074130071,10307413,Panel A,,Yes,,No,,Yes,both in master and using data
343,103074130087,10307413,Panel A,,Yes,,No,,Yes,both in master and using data
323,103074130099,10307413,Panel A,,Yes,,No,,Yes,both in master and using data
329,103074130110,10307413,Panel A,,Yes,,No,,Yes,both in master and using data
321,103074130139,10307413,Panel A,,Yes,,No,,Yes,both in master and using data
345,103074130171,10307413,Panel A,,Yes,,No,,Yes,both in master and using data
331,103074130190,10307413,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
351,103074130225,10307413,Panel A,,Yes,,No,,Yes,both in master and using data
337,103074130252,10307413,Panel A,,Yes,,No,,Yes,both in master and using data
347,103074130255,10307413,Panel A,,Yes,,No,,No,both in master and using data
341,103074130258,10307413,Panel A,,Yes,,No,,Yes,both in master and using data
292,103086360009,10308636,Panel B,,Yes,,No,,Yes,both in master and using data
312,103086360036,10308636,Panel B,,Yes,,No,,No,both in master and using data
288,103086360045,10308636,Panel B,,Yes,,No,,No,both in master and using data
290,103086360054,10308636,Panel B,,Yes,,No,,Yes,both in master and using data
310,103086360063,10308636,Panel B,,Yes,,No,,Yes,both in master and using data
298,103086360072,10308636,Panel B,,Yes,,No,,Yes,both in master and using data
304,103086360073,10308636,Panel B,,Yes,,No,,Yes,both in master and using data
314,103086360081,10308636,Panel B,,Yes,,No,,Yes,both in master and using data
300,103086360090,10308636,Panel B,,Yes,,No,,No,both in master and using data
294,103086360099,10308636,Panel B,,No,,No,,Yes,both in master and using data
296,103086360117,10308636,Panel B,,No,,No,,Yes,both in master and using data
302,103086360126,10308636,Panel B,,Yes,,No,,No,both in master and using data
316,103086360135,10308636,Panel B,,Yes,,No,,No,both in master and using data
306,103086360153,10308636,Panel B,,Yes,,No,,Yes,both in master and using data
308,103086360162,10308636,Panel B,,Yes,,No,,Yes,both in master and using data
364,104011400028,10401140,Panel B,,Yes,,No,,No,both in master and using data
366,104011400045,10401140,Panel B,,Yes,,,,No,both in master and using data
358,104011400079,10401140,Panel B,,Yes,,No,,No,both in master and using data
374,104011400112,10401140,Panel B,,Yes,,No,,Yes,both in master and using data
380,104011400129,10401140,Panel B,,Yes,,No,,No,both in master and using data
356,104011400146,10401140,Panel B,,Yes,,No,,No,both in master and using data
354,104011400196,10401140,Panel B,,Yes,,No,,Yes,both in master and using data
376,104011400213,10401140,Panel B,,Yes,,No,,No,both in master and using data
360,104011400229,10401140,Panel B,,Yes,,No,,Yes,both in master and using data
362,104011400263,10401140,Panel B,,Yes,,No,,No,both in master and using data
368,104011400280,10401140,Panel B,,Yes,,No,,No,both in master and using data
352,104011400296,10401140,Panel B,,Yes,,No,,No,both in master and using data
350,104011400330,10401140,Panel B,,Yes,,No,,Yes,both in master and using data
378,104011400347,10401140,Panel B,,Yes,,No,,Yes,both in master and using data
359,104015020020,10401502,Panel A,,Yes,,No,,No,both in master and using data
375,104015020027,10401502,Panel A,,Yes,,No,,No,both in master and using data
357,104015020056,10401502,Panel A,,Yes,,No,,Yes,both in master and using data
361,104015020074,10401502,Panel A,,Yes,,No,,Yes,both in master and using data
381,104015020081,10401502,Panel A,,Yes,,No,,No,both in master and using data
373,104015020084,10401502,Panel A,,Yes,,No,,No,both in master and using data
383,104015020099,10401502,Panel A,,Yes,,No,,Yes,both in master and using data
369,104015020102,10401502,Panel A,,Yes,,No,,Yes,both in master and using data
363,104015020103,10401502,Panel A,,Yes,,No,,No,both in master and using data
355,104015020121,10401502,Panel A,,Yes,,No,,Yes,both in master and using data
379,104015020127,10401502,Panel A,,Yes,,No,,Yes,both in master and using data
365,104015020133,10401502,Panel A,,Yes,,No,,No,both in master and using data
371,104015020173,10401502,Panel A,,Yes,,No,,Yes,both in master and using data
346,104015220004,10401522,Panel B,,No,,,,Yes,both in master and using data
340,104015220019,10401522,Panel B,,No,,No,,Yes,both in master and using data
338,104015220038,10401522,Panel B,,Yes,,No,,Yes,both in master and using data
324,104015220041,10401522,Panel B,,Yes,,No,,Yes,both in master and using data
330,104015220042,10401522,Panel B,,No,,No,,Yes,both in master and using data
332,104015220054,10401522,Panel B,,Yes,,No,,Yes,both in master and using data
342,104015220055,10401522,Panel B,,Yes,,No,,Yes,both in master and using data
318,104015220061,10401522,Panel B,,Yes,,No,,Yes,both in master and using data
326,104015220063,10401522,Panel B,,Yes,,No,,Yes,both in master and using data
322,104015220065,10401522,Panel B,,Yes,,No,,Yes,both in master and using data
336,104015220068,10401522,Panel B,,Yes,,No,,Yes,both in master and using data
348,104015220087,10401522,Panel B,,No,,No,,Yes,both in master and using data
320,104015220088,10401522,Panel B,,No,,No,,Yes,both in master and using data
328,104015220091,10401522,Panel B,,No,,,,Yes,both in master and using data
388,104041860008,10404186,Panel B,,Yes,,No,,Yes,both in master and using data
396,104041860012,10404186,Panel B,,Yes,,No,,No,both in master and using data
384,104041860017,10404186,Panel B,,Yes,,No,,No,both in master and using data
404,104041860021,10404186,Panel B,,Yes,,No,,Yes,both in master and using data
410,104041860030,10404186,Panel B,,Yes,,No,,Yes,both in master and using data
386,104041860034,10404186,Panel B,,Yes,,No,,Yes,both in master and using data
406,104041860039,10404186,Panel B,,Yes,,No,,No,both in master and using data
394,104041860043,10404186,Panel B,,Yes,,No,,Yes,both in master and using data
398,104041860052,10404186,Panel B,,Yes,,No,,No,both in master and using data
408,104041860061,10404186,Panel B,,Yes,,No,,Yes,both in master and using data
390,104041860065,10404186,Panel B,,Yes,,No,,Yes,both in master and using data
402,104041860074,10404186,Panel B,,Yes,,No,,Yes,both in master and using data
400,104041860079,10404186,Panel B,,Yes,,No,,No,both in master and using data
412,104041860083,10404186,Panel B,,Yes,,No,,Yes,both in master and using data
382,104041860092,10404186,Panel B,,Yes,,Yes,Yes,No,both in master and using data
411,104052130003,10405213,Panel A,,Yes,,No,,Yes,both in master and using data
385,104052130007,10405213,Panel A,,Yes,,No,,No,both in master and using data
387,104052130011,10405213,Panel A,,Yes,,No,,Yes,both in master and using data
415,104052130019,10405213,Panel A,,Yes,,No,,No,both in master and using data
409,104052130039,10405213,Panel A,,Yes,,No,,Yes,both in master and using data
401,104052130045,10405213,Panel A,,Yes,,Yes,Yes,Yes,both in master and using data
389,104052130054,10405213,Panel A,,Yes,,No,,Yes,both in master and using data
405,104052130062,10405213,Panel A,,Yes,,No,,No,both in master and using data
395,104052130081,10405213,Panel A,,Yes,,No,,Yes,both in master and using data
391,104052130093,10405213,Panel A,,Yes,,No,,Yes,both in master and using data
399,104052130100,10405213,Panel A,,Yes,,No,,Yes,both in master and using data
397,104052130110,10405213,Panel A,,Yes,,No,,Yes,both in master and using data
413,104052130122,10405213,Panel A,,Yes,,No,,No,both in master and using data
