occ,y2_hhid,qx_type,interview_status,fs_h0a,fs_h0b,fs_h01,fs_h02,fs_h03,fs_h04,fs_h05,fs_h06
4,0240-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,0240-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,0240-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,0240-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,0240-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,0266-001,PANEL B,Panel B - 2 Visits,,,,,,,,
1,0268-001,PANEL B,Panel B - 2 Visits,,,,,,,,
1,0279-001,PANEL A,Panel A - 2 Visits,,,,,,,,
1,0297-002,PANEL A,Panel A - 2 Visits,,,,,,,,
1,0300-001,PANEL B,Panel B - 2 Visits,,,,,,,,
1,0301-001,PANEL A,Panel A - 2 Visits,,,,,,,,
1,0306-004,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,0306-004,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,0306-004,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,0306-004,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,0306-004,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,0306-004,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,0306-004,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,0306-004,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,0316-001,PANEL B,Panel B - 2 Visits,,,,,,,,
1,0343-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,0343-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,0343-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,0343-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,0343-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,0343-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,0343-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,0343-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,0355-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,0355-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,0355-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,0355-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,0355-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,0355-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,0355-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,0355-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,0384-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,0384-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,0384-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,0384-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,0384-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,0384-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,0384-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,0384-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,0390-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,0390-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,0390-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,0390-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,0390-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,0390-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,0390-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,0390-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,0406-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,0406-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,0406-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,YES,8,8,150,0,0
4,0406-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,0406-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,0406-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,0406-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,0406-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,0508-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,YES,1,1,1500,0,0
2,0508-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,YES,4,4,2500,0,0
3,0508-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,YES,20,20,50,0,0
4,0508-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,YES,4,4,2500,0,0
5,0508-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),YES,6,6,1000,0,0
6,0508-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,0508-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,0508-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,0782-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,0782-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,0782-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,0782-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,0782-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,0782-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,0782-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,0782-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,1069-003,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,YES,1,0,45000,0,1800
2,1069-003,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,1069-003,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,1069-003,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,1069-003,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,1069-003,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,1069-003,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,1069-003,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,1134-001,PANEL B,Panel B - 2 Visits,,,,,,,,
1,1218-002,PANEL B,Panel B - 2 Visits,,,,,,,,
1,1325-001,PANEL A,Panel A - 2 Visits,,,,,,,,
1,1659-005,PANEL A,Panel A - Combined Visit,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,1659-005,PANEL A,Panel A - Combined Visit,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,1659-005,PANEL A,Panel A - Combined Visit,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,1659-005,PANEL A,Panel A - Combined Visit,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,1659-005,PANEL A,Panel A - Combined Visit,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,1659-005,PANEL A,Panel A - Combined Visit,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,1659-005,PANEL A,Panel A - Combined Visit,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,1659-005,PANEL A,Panel A - Combined Visit,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,1740-001,PANEL B,Panel B - 2 Visits,,,,,,,,
1,1804-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,1804-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,1804-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,1804-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,1804-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,1804-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,1804-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",YES,6,10,150000,0,0
8,1804-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,1879-001,PANEL A,Panel A - 2 Visits,,,,,,,,
1,1921-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,YES,1,0,80000,0,8000
2,1921-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,1921-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,1921-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,1921-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,1921-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),YES,1,0,110000,0,10000
7,1921-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,1921-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,1935-001,PANEL A,Panel A - 2 Visits,,,,,,,,
1,1945-001,PANEL A,Panel A - 2 Visits,,,,,,,,
1,1949-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,YES,1,1,30000,0,0
2,1949-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,YES,1,1,25000,0,0
3,1949-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,1949-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,1949-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,1949-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,1949-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,1949-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,1951-001,PANEL A,Panel A - 2 Visits,,,,,,,,
1,1951-002,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,1951-002,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,1951-002,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,1951-002,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,1951-002,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,1951-002,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,1951-002,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,1951-002,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,2053-001,PANEL A,Panel A - 2 Visits,,,,,,,,
1,2073-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,2073-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,2073-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,2073-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,2073-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,2073-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,2073-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",YES,1,0,20000,0,0
8,2073-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,2103-001,PANEL A,Panel A - 2 Visits,,,,,,,,
1,2189-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,2189-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,2189-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,2189-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,2189-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,2189-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,2189-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,2189-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,2202-002,PANEL B,Panel B - Combined Visit,,,,,,,,
1,2231-004,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,2231-004,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,2231-004,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,2231-004,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,2231-004,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,2231-004,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,2231-004,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,2231-004,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,2403-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,2403-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,2403-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,2403-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,2403-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,2403-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,2403-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,2403-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,2433-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,2433-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,2433-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,2433-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,2433-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,2433-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,2433-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,2433-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,2563-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,2563-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,2563-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,2563-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,2563-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,2563-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,2563-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,2563-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,2569-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,2569-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,2569-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,2569-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,2569-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,2569-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,2569-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,2569-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,2598-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,2598-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,2598-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,2598-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
5,2598-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,,,,
6,2598-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,,,,
7,2598-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
8,2598-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,,,,
1,2603-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,,,,
2,2603-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,,,,
3,2603-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE),Mbedza (long/hand li,NO,,,,,
4,2603-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,,,,
