occ,y2_hhid,qx_type,interview_status,fs_j0a,fs_j00,fs_j01,fs_j02a,fs_j02b,fs_j02c,fs_j02d,fs_j02e,fs_j02f,fs_j02g,fs_j02h,fs_j03a,fs_j03b,fs_j03c,fs_j03d,fs_j03e,fs_j03f,fs_j03g,fs_j03h
1,2189-001,PANEL A,Panel A - 2 Visits,,YES,MLAMBA,20,DOZEN/BUNDLE,SMOKED,20000,,,,,60,DOZEN/BUNDLE,SUN-DRIED,150,,,,
1,2202-002,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,,,,,,
1,2231-004,PANEL A,Panel A - 2 Visits,1,YES,MLAMBA,20,DOZEN/BUNDLE,SMOKED,450,,,,,20,DOZEN/BUNDLE,SMOKED,600,,,,
1,2403-001,PANEL A,Panel A - 2 Visits,1,YES,UTAKA,1,5 KG BAG,SUN-DRIED,1150,,,,,3,OTHER (SPECIFY),SUN-DRIED,100,,,,
2,2403-001,PANEL A,Panel A - 2 Visits,2,YES,OTHER (SPECIFY),15,KILOGRAM,SUN-DRIED,250,,,,,4,OTHER (SPECIFY),SUN-DRIED,100,,,,
1,2433-001,PANEL A,Panel A - 2 Visits,1,YES,USIPA,12,OTHER (SPECIFY),SUN-DRIED,12500,,,,,12,OTHER (SPECIFY),SUN-DRIED,14000,,,,
1,2563-001,PANEL A,Panel A - 2 Visits,1,YES,AGGREGATED,25,SMALL BASKET,SMOKED,2500,,,,,875,DOZEN/BUNDLE,SMOKED,100,,,,
2,2563-001,PANEL A,Panel A - 2 Visits,2,YES,MLAMBA,50,DOZEN/BUNDLE,SMOKED,800,,,,,600,PIECE,SMOKED,150,,,,
1,2569-001,PANEL A,Panel A - 2 Visits,1,YES,MLAMBA,20,DOZEN/BUNDLE,SMOKED,7400,50,DOZEN/BUNDLE,SMOKED,20000,18,DOZEN/BUNDLE,SMOKED,9000,48,DOZEN/BUNDLE,SMOKED,28800
1,2598-001,PANEL B,Panel B - 2 Visits,1,YES,CHAMBO,10,DOZEN/BUNDLE,SMOKED,7000,5,SMALL BASKET,FRESH,6000,10,DOZEN/BUNDLE,SMOKED,12000,5,SMALL BASKET,FRESH,10000
2,2598-001,PANEL B,Panel B - 2 Visits,2,YES,MLAMBA,8,SMALL BASKET,FRESH,6000,,,,,8,SMALL BASKET,FRESH,10000,,,,
3,2598-001,PANEL B,Panel B - 2 Visits,3,YES,MATEMBA,4,25 KG BAG,SUN-DRIED,7000,,,,,3,25 KG BAG,SUN-DRIED,7000,,,,
1,2603-001,PANEL A,Panel A - 2 Visits,1,YES,MAKAKANI,10,DOZEN/BUNDLE,SMOKED,5000,,,,,10,DOZEN/BUNDLE,SMOKED,7000,,,,
1,2656-001,PANEL B,Panel B - 2 Visits,1,YES,MATEMBA,3,OTHER (SPECIFY),SUN-DRIED,3200,,,,,2,OTHER (SPECIFY),SUN-DRIED,4000,,,,
2,2656-001,PANEL B,Panel B - 2 Visits,2,YES,USIPA,2,OTHER (SPECIFY),SUN-DRIED,2700,,,,,1,OTHER (SPECIFY),SUN-DRIED,3700,,,,
1,2703-001,PANEL A,Panel A - 2 Visits,1,YES,CHAMBO,1,SMALL BASKET,FRESH,2500,,,,,1,SMALL BASKET,FRESH,3500,,,,
1,2777-001,PANEL A,Panel A - 2 Visits,1,YES,MAKAKANI,4,SMALL BASKET,SMOKED,2300,,,,,1,DOZEN/BUNDLE,SMOKED,200,,,,
2,2777-001,PANEL A,Panel A - 2 Visits,2,YES,MLAMBA,9,DOZEN/BUNDLE,SMOKED,800,,,,,1,PIECE,SMOKED,100,,,,
1,2788-003,PANEL B,Panel B - 2 Visits,1,YES,USIPA,8,SMALL BASKET,FRESH,12000,,,,,8,SMALL BASKET,FRESH,3000,,,,
1,2812-003,PANEL B,Panel B - Combined Visit,1,YES,USIPA,3,SMALL BASKET,SUN-DRIED,5000,,,,,3,SMALL BASKET,SUN-DRIED,10000,,,,
1,2835-001,PANEL A,Panel A - 2 Visits,1,YES,MLAMBA,1,SMALL BASKET,OTHER (SPECIFY),2000,,,,,1,SMALL BASKET,OTHER (SPECIFY),3000,,,,
2,2835-001,PANEL A,Panel A - 2 Visits,2,YES,CHAMBO,1,SMALL BASKET,OTHER (SPECIFY),1000,,,,,1,SMALL BASKET,OTHER (SPECIFY),3000,,,,
1,2984-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,
1,3036-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,
1,3074-002,PANEL B,Panel B - 2 Visits,1,YES,MAKAKANI,1000,PIECE,SMOKED,40,,,,,1000,PIECE,SMOKED,70,,,,
1,3143-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,
1,3155-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,
