HHID,case_id,qx_type,visit,ea_id,hh_n0a,hh_n0b,hh_n01,hh_n02,hh_n03,hh_n04,hh_n05,hh_n06,hh_n07,hh_n08
11,101012150021,Panel A,1,10101215,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES
5,101012150022,Panel A,1,10101215,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
13,101012150026,Panel A,1,10101215,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES
1,101012150028,Panel A,1,10101215,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
25,101012150034,Panel A,1,10101215,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
9,101012150038,Panel A,1,10101215,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES
31,101012150040,Panel A,1,10101215,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
15,101012150045,Panel A,1,10101215,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO
29,101012150048,Panel A,1,10101215,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO
27,101012150049,Panel A,1,10101215,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
23,101012150053,Panel A,1,10101215,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
19,101012150059,Panel A,1,10101215,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3,101012150060,Panel A,1,10101215,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
7,101012150074,Panel A,1,10101215,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
20,101015620009,Panel B,2,10101562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
30,101015620020,Panel B,2,10101562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
10,101015620031,Panel B,2,10101562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
6,101015620042,Panel B,2,10101562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
2,101015620053,Panel B,2,10101562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
8,101015620064,Panel B,2,10101562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
18,101015620075,Panel B,2,10101562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
16,101015620086,Panel B,2,10101562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
26,101015620096,Panel B,2,10101562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
28,101015620118,Panel B,2,10101562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
32,101015620140,Panel B,2,10101562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
12,101015620162,Panel B,2,10101562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4,101015620184,Panel B,2,10101562,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES
22,101015620195,Panel B,2,10101562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
14,101015620205,Panel B,2,10101562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
24,101015620227,Panel B,2,10101562,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
79,101020040001,Panel A,1,10102004,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO
87,101020040008,Panel A,1,10102004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
89,101020040012,Panel A,1,10102004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
85,101020040015,Panel A,1,10102004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
83,101020040028,Panel A,1,10102004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
75,101020040031,Panel A,1,10102004,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO
65,101020040034,Panel A,1,10102004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
93,101020040039,Panel A,1,10102004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
71,101020040042,Panel A,1,10102004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
69,101020040059,Panel A,1,10102004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
81,101020040061,Panel A,1,10102004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
73,101020040093,Panel A,1,10102004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
67,101020040101,Panel A,1,10102004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
91,101020040104,Panel A,1,10102004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
77,101020040121,Panel A,1,10102004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
95,101020040128,Panel A,1,10102004,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
86,101034140003,Panel B,2,10103414,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
66,101034140009,Panel B,2,10103414,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
96,101034140020,Panel B,2,10103414,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
72,101034140025,Panel B,2,10103414,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES
90,101034140031,Panel B,2,10103414,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
80,101034140042,Panel B,2,10103414,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
92,101034140047,Panel B,2,10103414,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
84,101034140053,Panel B,2,10103414,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
70,101034140064,Panel B,2,10103414,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
76,101034140069,Panel B,2,10103414,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
78,101034140075,Panel B,2,10103414,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
94,101034140086,Panel B,2,10103414,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
74,101034140091,Panel B,2,10103414,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
88,101034140097,Panel B,2,10103414,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
82,101034140108,Panel B,2,10103414,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
68,101034140114,Panel B,2,10103414,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO
123,101041500004,Panel A,1,10104150,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO
127,101041500006,Panel A,1,10104150,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
113,101041500012,Panel A,1,10104150,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
109,101041500013,Panel A,1,10104150,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
111,101041500015,Panel A,1,10104150,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES
99,101041500023,Panel A,1,10104150,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES
103,101041500027,Panel A,1,10104150,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
107,101041500045,Panel A,1,10104150,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
115,101041500048,Panel A,1,10104150,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO
97,101041500053,Panel A,1,10104150,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO
105,101041500054,Panel A,1,10104150,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
125,101041500057,Panel A,1,10104150,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
101,101041500063,Panel A,1,10104150,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
119,101041500067,Panel A,1,10104150,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
117,101041500076,Panel A,1,10104150,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
121,101041500079,Panel A,1,10104150,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
102,102016880002,Panel B,2,10201688,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
100,102016880010,Panel B,2,10201688,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
108,102016880018,Panel B,2,10201688,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
120,102016880033,Panel B,2,10201688,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
118,102016880041,Panel B,2,10201688,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
106,102016880049,Panel B,2,10201688,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
128,102016880064,Panel B,2,10201688,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
116,102016880072,Panel B,2,10201688,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
122,102016880080,Panel B,2,10201688,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
98,102016880095,Panel B,2,10201688,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
112,102016880103,Panel B,2,10201688,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
110,102016880111,Panel B,2,10201688,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
126,102016880126,Panel B,2,10201688,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO
104,102016880134,Panel B,2,10201688,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO
114,102016880142,Panel B,2,10201688,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
124,102016880157,Panel B,2,10201688,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
139,102025140004,Panel A,1,10202514,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO
155,102025140019,Panel A,1,10202514,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
145,102025140060,Panel A,1,10202514,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
143,102025140064,Panel A,1,10202514,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO
131,102025140068,Panel A,1,10202514,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO
129,102025140087,Panel A,1,10202514,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
137,102025140089,Panel A,1,10202514,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
157,102025140104,Panel A,1,10202514,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO
153,102025140122,Panel A,1,10202514,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
133,102025140144,Panel A,1,10202514,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
151,102025140145,Panel A,1,10202514,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
149,102025140149,Panel A,1,10202514,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO
147,102025140151,Panel A,1,10202514,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO
135,102025140160,Panel A,1,10202514,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
159,102025140161,Panel A,1,10202514,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
141,102025140169,Panel A,1,10202514,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
150,102031760004,Panel B,2,10203176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
142,102031760009,Panel B,2,10203176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
138,102031760014,Panel B,2,10203176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
136,102031760024,Panel B,2,10203176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
148,102031760029,Panel B,2,10203176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
132,102031760033,Panel B,2,10203176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
140,102031760043,Panel B,2,10203176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
134,102031760048,Panel B,2,10203176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
146,102031760053,Panel B,2,10203176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
158,102031760063,Panel B,2,10203176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
152,102031760067,Panel B,2,10203176,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO
144,102031760072,Panel B,2,10203176,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
154,102031760082,Panel B,2,10203176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
130,102031760087,Panel B,2,10203176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
156,102031760092,Panel B,2,10203176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
160,102031760101,Panel B,2,10203176,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
192,102037440001,Panel B,2,10203744,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
182,102037440006,Panel B,2,10203744,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
188,102037440017,Panel B,2,10203744,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO
164,102037440023,Panel B,2,10203744,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO
172,102037440029,Panel B,2,10203744,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
178,102037440040,Panel B,2,10203744,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
190,102037440045,Panel B,2,10203744,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
166,102037440051,Panel B,2,10203744,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
180,102037440062,Panel B,2,10203744,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
186,102037440068,Panel B,2,10203744,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
176,102037440073,Panel B,2,10203744,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
174,102037440084,Panel B,2,10203744,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
162,102037440090,Panel B,2,10203744,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
170,102037440095,Panel B,2,10203744,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO
168,102037440107,Panel B,2,10203744,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
184,102037440112,Panel B,2,10203744,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
202,102043220004,Panel B,2,10204322,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
194,102043220009,Panel B,2,10204322,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
218,102043220019,Panel B,2,10204322,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
214,102043220023,Panel B,2,10204322,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
196,102043220028,Panel B,2,10204322,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
206,102043220038,Panel B,2,10204322,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
210,102043220043,Panel B,2,10204322,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES
198,102043220047,Panel B,2,10204322,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
212,102043220057,Panel B,2,10204322,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
216,102043220062,Panel B,2,10204322,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
208,102043220067,Panel B,2,10204322,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
200,102043220076,Panel B,2,10204322,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
204,102043220081,Panel B,2,10204322,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
224,102043220086,Panel B,2,10204322,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
222,102043220095,Panel B,2,10204322,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
220,102043220100,Panel B,2,10204322,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO
183,102045860004,Panel A,1,10204586,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO
179,102045860010,Panel A,1,10204586,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
181,102045860012,Panel A,1,10204586,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
165,102045860025,Panel A,1,10204586,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
191,102045860049,Panel A,1,10204586,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
173,102045860053,Panel A,1,10204586,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
185,102045860054,Panel A,1,10204586,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
175,102045860065,Panel A,1,10204586,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
161,102045860070,Panel A,1,10204586,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
169,102045860107,Panel A,1,10204586,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
163,102045860112,Panel A,1,10204586,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
189,102045860115,Panel A,1,10204586,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
177,102045860122,Panel A,1,10204586,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES
167,102045860123,Panel A,1,10204586,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
171,102045860161,Panel A,1,10204586,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
187,102045860164,Panel A,1,10204586,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
252,102201030013,Panel B,2,10220103,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
242,102201030021,Panel B,2,10220103,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
230,102201030028,Panel B,2,10220103,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
232,102201030035,Panel B,2,10220103,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
234,102201030050,Panel B,2,10220103,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO
228,102201030058,Panel B,2,10220103,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
256,102201030065,Panel B,2,10220103,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
246,102201030073,Panel B,2,10220103,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO
226,102201030088,Panel B,2,10220103,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
244,102201030095,Panel B,2,10220103,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
250,102201030103,Panel B,2,10220103,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
248,102201030110,Panel B,2,10220103,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
254,102201030125,Panel B,2,10220103,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
240,102201030133,Panel B,2,10220103,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
238,102201030140,Panel B,2,10220103,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES
236,102201030155,Panel B,2,10220103,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
205,102207050019,Panel A,1,10220705,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES
217,102207050044,Panel A,1,10220705,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
221,102207050054,Panel A,1,10220705,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
207,102207050056,Panel A,1,10220705,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO
213,102207050062,Panel A,1,10220705,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO
211,102207050084,Panel A,1,10220705,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO
197,102207050090,Panel A,1,10220705,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO
209,102207050112,Panel A,1,10220705,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
201,102207050138,Panel A,1,10220705,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
199,102207050170,Panel A,1,10220705,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
223,102207050199,Panel A,1,10220705,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO
203,102207050206,Panel A,1,10220705,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
219,102207050298,Panel A,1,10220705,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES
215,102207050319,Panel A,1,10220705,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
193,102207050344,Panel A,1,10220705,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
195,102207050359,Panel A,1,10220705,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
255,103016630054,Panel A,1,10301663,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
229,103016630124,Panel A,1,10301663,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
239,103016630160,Panel A,1,10301663,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO
253,103016630181,Panel A,1,10301663,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
243,103016630188,Panel A,1,10301663,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
225,103016630198,Panel A,1,10301663,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
249,103016630217,Panel A,1,10301663,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
231,103016630224,Panel A,1,10301663,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
245,103016630233,Panel A,1,10301663,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
247,103016630235,Panel A,1,10301663,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
227,103016630289,Panel A,1,10301663,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
241,103016630300,Panel A,1,10301663,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
251,103016630307,Panel A,1,10301663,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
235,103016630351,Panel A,1,10301663,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
233,103016630379,Panel A,1,10301663,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
237,103016630383,Panel A,1,10301663,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
273,103020100009,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
287,103020100012,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
285,103020100016,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
265,103020100019,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
263,103020100028,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
281,103020100034,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
269,103020100037,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
279,103020100047,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
277,103020100054,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
261,103020100056,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
257,103020100076,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
267,103020100089,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
271,103020100105,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
275,103020100106,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
259,103020100107,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
283,103020100112,Panel A,1,10302010,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
313,103040120012,Panel A,1,10304012,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
309,103040120023,Panel A,1,10304012,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
303,103040120049,Panel A,1,10304012,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
319,103040120062,Panel A,1,10304012,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
305,103040120074,Panel A,1,10304012,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
291,103040120101,Panel A,1,10304012,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
315,103040120105,Panel A,1,10304012,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
293,103040120125,Panel A,1,10304012,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
295,103040120126,Panel A,1,10304012,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
301,103040120129,Panel A,1,10304012,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
297,103040120132,Panel A,1,10304012,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
317,103040120141,Panel A,1,10304012,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES
299,103040120148,Panel A,1,10304012,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
307,103040120153,Panel A,1,10304012,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
311,103040120166,Panel A,1,10304012,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO
289,103040120171,Panel A,1,10304012,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
