HHID,case_id,qx_type,visit,ea_id,hh_n09a,hh_n09b,hh_n09c,hh_n10a,hh_n10b,hh_n11,hh_n12a,hh_n12b,hh_n13a,hh_n13b,hh_n14,hh_n15a,hh_n15b,hh_n16a,hh_n16a_os,hh_n16b,hh_n16b_os,hh_n17,hh_n18,hh_n19,hh_n20a,hh_n20b,hh_n21a,hh_n21b,hh_n21c,hh_n22,hh_n23,hh_n24,hh_n24_os,hh_n25a,hh_n25b,hh_n25c,hh_n25d,hh_n25e,hh_n25f,hh_n25g,hh_n25h,hh_n25i,hh_n25j,hh_n25k,hh_n25l,hh_n25m,hh_n25n,hh_n25o,hh_n25p,hh_n25q,hh_n25r,hh_n25s,hh_n25t,hh_n25u,hh_n25v,hh_n25w,hh_n25x,hh_n25y,hh_n26a,hh_n26a_os,hh_n26b,hh_n26b_os,hh_n27,hh_n28,hh_n29a,hh_n29a_os,hh_n29b,hh_n29b_os,hh_n30a1,hh_n30a2,hh_n30a3,hh_n30a4,hh_n30b1,hh_n30b2,hh_n30b3,hh_n30b4,hh_n30c1,hh_n30c2,hh_n30c3,hh_n30c4,hh_n30d1,hh_n30d2,hh_n30d3,hh_n30d4,hh_n31a1,hh_n31a2,hh_n31a3,hh_n31a4,hh_n31b1,hh_n31b2,hh_n31b3,hh_n31b4,hh_n31c1,hh_n31c2,hh_n31c3,hh_n31c4,hh_n32,hh_n33,hh_n34,hh_n35,hh_n36,hh_n37,hh_n38,hh_n39,hh_n40,hh_n41a,hh_n41b,hh_n41c,hh_n41d,hh_n41e,hh_n41f,hh_n41g,hh_n41h
53,101010160235,Panel A,1,10101016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,10101016,1,SELLING CHACOAL,62,1,,1,1,,0,0,,6,2005,Own-savings from agriculture,,,,Mobile,,,Final consumers,,No,No,No,No,Yes,Communal land,,,AVERAGE,AVERAGE,HIGH,HIGH,LOW,LOW,LOW,AVERAGE,AVERAGE,HIGH,HIGH,HIGH,,,,,,,,,,,,,,,,,Yes,,,,,,1,3,5,2,,,,,,,,,,,,,0,,,,0,,,,0,,,,2000,High sales,,,,,1700,2000,300,0,0,180,0,0,0,0,0
39,101010160265,Panel A,1,10101016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,101012040003,Panel B,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,101012040007,Panel B,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,101012040011,Panel B,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,101012040020,Panel B,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,101012040024,Panel B,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,2,10101204,1,GROCERIES,62,1,2,1,1,2,0,0,,7,2009,Own-savings from agriculture,,,,Home (inside residence),,,Final consumers,Traders,No,No,Yes,No,No,,,,,,,,HIGH,HIGH,HIGH,AVERAGE,AVERAGE,AVERAGE,AVERAGE,LOW,LOW,AVERAGE,HIGH,AVERAGE,,,,,,,,,,,,,Yes,,,,,,1,22,154,12,2,16,96,12,,,,,,,,,0,,,,0,,,,0,,,,18000,Average sales,,,16000,20000,,,3000,0,14000,1000,0,0,0,0,0
50,101012040037,Panel B,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,101012040041,Panel B,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,101012040045,Panel B,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,101012040054,Panel B,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,101012040058,Panel B,2,10101204,1,KACHASU DISTILLING,31,1,,2,1,,0,0,,1,2009,Own-savings from agriculture,,,,Home (outside residence),,,Other small businesses,,No,No,No,No,No,,,,,,,,NONE:NOT IN OPERATION,LOW,LOW,AVERAGE,HIGH,LOW,LOW,AVERAGE,AVERAGE,AVERAGE,AVERAGE,NONE:NOT IN OPERATION,,,,,,,,,Other (Specify),POLICE TOLD HIM TO STOP,,,No,Yes,,,,,1,3,12,10,,,,,,,,,,,,,0,,,,0,,,,0,,,,4500,Average sales,,,3400,6000,,,1000,3570,0,0,0,0,0,0,0
64,101012040062,Panel B,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,101012040071,Panel B,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,101012040075,Panel B,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,101012040079,Panel B,2,10101204,1,GROCERY OWNER,62,1,2,1,1,2,0,0,,5,2007,Own-savings from agriculture,,,,Commercial area shop,No,,Final consumers,,No,No,Yes,No,No,,,,,,,,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,AVERAGE,AVERAGE,HIGH,HIGH,,,,,,,,,,,,,Yes,,,,,,1,27,9,12,2,25,9,12,,,,,,,,,0,,,,0,,,,0,,,,6000,High sales,,,,,2000,3000,3000,0,4000,0,0,0,0,0,0
60,101012040087,Panel B,2,10101204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,101012150001,Panel A,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,101012150004,Panel A,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,101012150021,Panel A,1,10101215,1,SELLING TOMATO,62,2,,2,2,,0,0,,7,2005,Own-savings from agriculture,,,,Traditional market place,No,,Final consumers,,No,No,No,No,No,,,,,HIGH,HIGH,HIGH,AVERAGE,AVERAGE,HIGH,HIGH,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,,,,,,,,,,,,Lack of cash,,Seasonal work,,No,Yes,,,,,1,28,5,7,,,,,,,,,,,,,0,,,,0,,,,0,,,,750,High sales,,,,,0,500,450,0,300,0,0,0,0,0,0
11,101012150021,Panel A,1,10101215,2,SELLING AVOCADO,62,2,,2,2,,0,0,,7,2005,Own-savings from agriculture,,,,Traditional market place,No,,Final consumers,,No,No,No,No,No,,,,,AVERAGE,HIGH,HIGH,AVERAGE,HIGH,HIGH,HIGH,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,NONE:NOT IN OPERATION,,,,,,,,,,,,Lack of cash,,Seasonal work,,No,Yes,,,,,1,28,5,7,,,,,,,,,,,,,0,,,,0,,,,0,,,,400,High sales,,,,,0,300,200,0,200,0,0,0,0,0,0
5,101012150022,Panel A,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,101012150026,Panel A,1,10101215,1,SELLIND DIESEL,62,1,,1,1,,0,0,,11,2009,Own-savings from agriculture,,,,Traditional market place,,,Final consumers,,No,No,No,No,No,,,,,,,,,,,HIGH,HIGH,LOW,LOW,LOW,AVERAGE,,,,,,,,,,,,,,,,Yes,,,,,,1,6,12,6,,,,,,,,,,,,,0,,,,0,,,,0,,,,64000,Average sales,,,38000,71000,,,4000,0,50000,10000,0,0,0,0,0
1,101012150028,Panel A,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,101012150034,Panel A,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,101012150038,Panel A,1,10101215,1,SELLING VITUMBUWA,31,1,,1,1,,0,0,,4,2010,Own-savings from agriculture,,,,Other fixed place,No,,Final consumers,,No,No,No,No,No,,,,,,,,,,,,,,,,LOW,,,,,,,,,,,,,,,,Yes,,,,,,1,3,12,1,,,,,,,,,,,,,0,,,,0,,,,0,,,,3000,Low sales,0,0,,,,,140,130,0,0,0,0,0,0,30
31,101012150040,Panel A,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,101012150045,Panel A,1,10101215,1,BEER BREWING,31,1,,1,1,,0,0,,12,2009,Own-savings from agriculture,,,,Traditional market place,,,Final consumers,,No,No,No,No,No,,,,,,,,,,,,LOW,LOW,LOW,AVERAGE,HIGH,,,,,,,,,,,,,,,,Yes,,,,,,1,6,24,5,,,,,,,,,,,,,0,,,,0,,,,0,,,,1500,High sales,,,,,500,1000,500,900,0,0,0,0,0,0,100
29,101012150048,Panel A,1,10101215,1,GROCERY,62,1,,1,1,,0,0,,5,2004,Own-savings from non-agriculture,,,,Roadside,,,Final consumers,,No,No,Yes,Yes,No,,,,,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,,,,,,,,,,,,,,,,Yes,,,,,,1,6,9,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,22300,High sales,,,,,11800,0,3500,0,18000,800,0,0,0,0,0
27,101012150049,Panel A,1,10101215,1,CARPENTER,33,1,,1,1,,1,0,About 25%,6,2009,Own-savings from agriculture,,,,Roadside,,,Final consumers,,No,No,No,No,No,,,,,,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,,,,,,,,,,,,,,,,Yes,,,,,,1,18,4,11,,,,,,,,,,,,,1,18,4,8000,0,,,,0,,,,18000,High sales,,,,,0,0,9400,8600,0,200,0,0,0,0,0
23,101012150053,Panel A,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,101012150059,Panel A,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,101012150060,Panel A,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,101012150074,Panel A,1,10101215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,101015620009,Panel B,2,10101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,101015620020,Panel B,2,10101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,101015620031,Panel B,2,10101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,101015620042,Panel B,2,10101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101015620053,Panel B,2,10101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,101015620064,Panel B,2,10101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,101015620075,Panel B,2,10101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,101015620086,Panel B,2,10101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,101015620096,Panel B,2,10101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,101015620118,Panel B,2,10101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,101015620140,Panel B,2,10101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,101015620162,Panel B,2,10101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,101015620184,Panel B,2,10101562,1,GROCERY OWNER,62,1,,1,1,,0,0,,11,2007,Inherited,,,,Home (inside residence),,,Final consumers,,No,No,No,No,No,,,,,,,,,,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,AVERAGE,AVERAGE,AVERAGE,HIGH,HIGH,,,,,,,,,,,Yes,,,,,,1,30,360,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,14500,High sales,,,,,8500,10000,3500,0,10100,1400,0,0,0,0,0
22,101015620195,Panel B,2,10101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,101015620205,Panel B,2,10101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,101015620227,Panel B,2,10101562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,101020040001,Panel A,1,10102004,1,GROCERIES,62,1,,1,1,,0,0,,2,2010,Own-savings from non-agriculture,,,,Home (inside residence),,,Final consumers,,No,No,No,No,No,,,,,,,,,,,,,,LOW,LOW,LOW,,,,,,,,,,,,,,,,Yes,,,,,,1,28,36,3,,,,,,,,,,,,,0,,,,0,,,,0,,,,6300,Low sales,0,0,,,,,2300,0,4000,0,0,0,0,0,0
87,101020040008,Panel A,1,10102004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,101020040012,Panel A,1,10102004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,101020040015,Panel A,1,10102004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,101020040028,Panel A,1,10102004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,101020040031,Panel A,1,10102004,1,BEER BREWING,31,2,,2,2,,0,0,,8,2003,Own-savings from agriculture,,,,Home (outside residence),,,Final consumers,,No,No,No,No,No,,,,,LOW,LOW,AVERAGE,HIGH,HIGH,HIGH,HIGH,AVERAGE,AVERAGE,LOW,LOW,LOW,,,,,,,,,,,,,,,,Yes,,,,,,2,4,28,12,,,,,,,,,,,,,0,,,,0,,,,0,,,,3200,Low sales,3600,1200,,,,,2400,800,0,0,0,0,0,0,0
65,101020040034,Panel A,1,10102004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,101020040039,Panel A,1,10102004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,101020040042,Panel A,1,10102004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,101020040059,Panel A,1,10102004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,101020040061,Panel A,1,10102004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,101020040093,Panel A,1,10102004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,101020040101,Panel A,1,10102004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,101020040104,Panel A,1,10102004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
