HHID,case_id,qx_type,visit,ea_id,ag_e0a,ag_e0c,ag_e0d,ag_e0d_os,ag_e01,ag_e02a,ag_e02b,ag_e03,ag_e04,ag_e05a,ag_e05b,ag_e06,ag_e07,ag_e07_os,ag_e08a,ag_e08b,ag_e08b_os,ag_e09,ag_e10a,ag_e10b,ag_e10b_os,ag_e10c,ag_e10c_os,ag_e10d,ag_e10e,ag_e10e_os,ag_e11,ag_e12a,ag_e12b,ag_e12b_os,ag_e13,ag_e13_os,ag_e14,ag_e15,ag_e16a,ag_e16b,ag_e17,ag_e18,ag_e19,ag_e20,ag_e21a,ag_e21b,ag_e22,ag_e23,ag_e24,ag_e25,ag_e26a,ag_e26b
40,101012040003,Panel B,1,10101204,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,On Foot,,150,500,N02,,Yes,,,,,,,,,,,
40,101012040003,Panel B,1,10101204,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,On Foot,,150,500,N02,,Yes,,,,,,,,,,,
62,101012040007,Panel B,1,10101204,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,On Foot,,200,500,N02,,Yes,,,,,,,,,,,
62,101012040007,Panel B,1,10101204,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,100,N02,,Yes,,,,,,,,,,,
62,101012040007,Panel B,1,10101204,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,On Foot,,200,500,N02,,Yes,,,,,,,,,,,
42,101012040011,Panel B,1,10101204,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,On Foot,,100,500,N02,,Yes,,,,,,,,,,,
42,101012040011,Panel B,1,10101204,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,On Foot,,100,500,N02,,Yes,,,,,,,,,,,
44,101012040020,Panel B,1,10101204,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,101012040024,Panel B,1,10101204,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,1,10101204,Yes,2,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N02,,Yes,,,,,,,,,,,
52,101012040028,Panel B,1,10101204,Yes,2,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,100,N02,,Yes,,,,,,,,,,,
52,101012040028,Panel B,1,10101204,Yes,2,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N02,,Yes,,,,,,,,,,,
50,101012040037,Panel B,1,10101204,Yes,2,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,0,100,N02,,Yes,,,,,,,,,,,
50,101012040037,Panel B,1,10101204,Yes,2,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,150,500,N02,,Yes,,,,,,,,,,,
50,101012040037,Panel B,1,10101204,Yes,2,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,150,500,N02,,Yes,,,,,,,,,,,
54,101012040041,Panel B,1,10101204,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,100,500,N02,,Yes,,,,,,,,,,,
54,101012040041,Panel B,1,10101204,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,100,500,N02,,Yes,,,,,,,,,,,
54,101012040041,Panel B,1,10101204,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,100,N02,,Yes,,,,,,,,,,,
48,101012040045,Panel B,1,10101204,Yes,2,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,100,500,N02,,Yes,,,,,,,,,,,
48,101012040045,Panel B,1,10101204,Yes,2,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,1,2 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,100,N02,,Yes,,,,,,,,,,,
48,101012040045,Panel B,1,10101204,Yes,2,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,100,500,N02,,Yes,,,,,,,,,,,
36,101012040054,Panel B,1,10101204,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,300,500,N02,,Yes,,,,,,,,,,,
36,101012040054,Panel B,1,10101204,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,300,500,N02,,Yes,,,,,,,,,,,
36,101012040054,Panel B,1,10101204,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,1,2 KG BAG,,No,,,,,,,,,No,,,,Truck / Bus / Minibus,,0,100,N02,,Yes,,,,,,,,,,,
56,101012040058,Panel B,1,10101204,Yes,2,Urea,,1,N02,,No,,December,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,200,500,N03,,Yes,,,,,,,,,,,
56,101012040058,Panel B,1,10101204,Yes,2,Maize seed,,1,N02,,No,,December,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,100,N03,,Yes,,,,,,,,,,,
56,101012040058,Panel B,1,10101204,Yes,2,23:21:0+4S/Chitowe,,1,N02,,No,,December,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,200,500,N03,,Yes,,,,,,,,,,,
64,101012040062,Panel B,1,10101204,Yes,1,Maize seed,,1,N02,,No,,December,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,100,N03,,Yes,,,,,,,,,,,
64,101012040062,Panel B,1,10101204,Yes,1,Urea,,1,N02,,No,,December,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,100,500,N03,,Yes,,,,,,,,,,,
64,101012040062,Panel B,1,10101204,Yes,1,23:21:0+4S/Chitowe,,1,N02,,No,,December,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,100,500,N03,,Yes,,,,,,,,,,,
34,101012040071,Panel B,1,10101204,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,101012040075,Panel B,1,10101204,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,101012040079,Panel B,1,10101204,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,101012040087,Panel B,1,10101204,Yes,1,Urea,,1,N02,,No,,December,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,100,500,N03,,Yes,,,,,,,,,,,
60,101012040087,Panel B,1,10101204,Yes,1,23:21:0+4S/Chitowe,,1,N02,,No,,December,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,Yes,1,GRAM,,Own Bicycle or Oxcart,,100,500,N03,,Yes,,,,,,,,,,,
21,101012150001,Panel A,1,10101215,Yes,1,Urea,,1,N02,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N03,,Yes,,,,,,,,,,,
21,101012150001,Panel A,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N02,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N03,,Yes,,,,,,,,,,,
21,101012150001,Panel A,1,10101215,Yes,1,Maize seed,,1,N02,,No,,November,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,100,N03,,Yes,,,,,,,,,,,
17,101012150004,Panel A,1,10101215,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,101012150021,Panel A,1,10101215,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
11,101012150021,Panel A,1,10101215,Yes,1,Maize seed,,1,N01,,No,,December,2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,No,,Accessible input supplier did not have the input,
11,101012150021,Panel A,1,10101215,Yes,1,Flexi voucher,,1,N01,,No,,December,2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,No,,Accessible input supplier did not have the input,
11,101012150021,Panel A,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
5,101012150022,Panel A,1,10101215,Yes,1,Maize seed,,1,N02,,No,,December,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,100,N03,,Yes,,,,,,,,,,,
5,101012150022,Panel A,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N02,,No,,December,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N03,,Yes,,,,,,,,,,,
5,101012150022,Panel A,1,10101215,Yes,1,Urea,,1,N02,,No,,December,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N03,,Yes,,,,,,,,,,,
13,101012150026,Panel A,1,10101215,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101012150028,Panel A,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N02,,Yes,,,,,,,,,,,
1,101012150028,Panel A,1,10101215,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N02,,Yes,,,,,,,,,,,
1,101012150028,Panel A,1,10101215,Yes,1,Maize seed,,1,N01,,No,,December,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,100,N02,,Yes,,,,,,,,,,,
25,101012150034,Panel A,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N02,,Yes,,,,,,,,,,,
25,101012150034,Panel A,1,10101215,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N02,,Yes,,,,,,,,,,,
25,101012150034,Panel A,1,10101215,Yes,1,Maize seed,,1,N01,,No,,December,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,100,N02,,Yes,,,,,,,,,,,
25,101012150034,Panel A,1,10101215,Yes,1,Flexi voucher,,1,N01,,No,,December,2009,1,Other chemical (specify),SOY BEANS SEED,1,2 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,0,N02,,Yes,,,,,,,,,,,
9,101012150038,Panel A,1,10101215,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,Yes,25,KILOGRAM,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
9,101012150038,Panel A,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,Yes,25,KILOGRAM,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
31,101012150040,Panel A,1,10101215,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
31,101012150040,Panel A,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
15,101012150045,Panel A,1,10101215,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,200,500,N02,,Yes,,,,,,,,,,,
15,101012150045,Panel A,1,10101215,Yes,1,Maize seed,,1,N01,,No,,December,2009,1,Maize seed,,2,KILOGRAM,,No,,,,,,,,,No,,,,On Foot,,0,100,N02,,Yes,,,,,,,,,,,
15,101012150045,Panel A,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,200,500,N02,,Yes,,,,,,,,,,,
15,101012150045,Panel A,1,10101215,Yes,1,Flexi voucher,,1,N01,,No,,December,2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,No,,Accessible input supplier did not have the input,
29,101012150048,Panel A,1,10101215,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
29,101012150048,Panel A,1,10101215,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,10,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,400,N02,,Yes,,,,,,,,,,,
29,101012150048,Panel A,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
27,101012150049,Panel A,1,10101215,Yes,1,Flexi voucher,,1,N01,,No,,December,2009,1,Other chemical (specify),BEANS SEED,2,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,0,N02,,Yes,,,,,,,,,,,
27,101012150049,Panel A,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
27,101012150049,Panel A,1,10101215,Yes,1,Maize seed,,1,N01,,No,,December,2009,1,Maize seed,,5,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,100,N02,,Yes,,,,,,,,,,,
27,101012150049,Panel A,1,10101215,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
23,101012150053,Panel A,1,10101215,Yes,1,Maize seed,,1,N01,,No,,November,2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,No,,Accessible input supplier did not have the input,
23,101012150053,Panel A,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
23,101012150053,Panel A,1,10101215,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
19,101012150059,Panel A,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
19,101012150059,Panel A,1,10101215,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,100,N02,,Yes,,,,,,,,,,,
19,101012150059,Panel A,1,10101215,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
3,101012150060,Panel A,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,Yes,1,No,,Other (Specify),
3,101012150060,Panel A,1,10101215,Yes,1,Urea,,1,N01,,No,,November,2009,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,Yes,1,No,,Other (Specify),
7,101012150074,Panel A,1,10101215,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
7,101012150074,Panel A,1,10101215,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
7,101012150074,Panel A,1,10101215,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,100,N02,,Yes,,,,,,,,,,,
20,101015620009,Panel B,1,10101562,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,101015620020,Panel B,1,10101562,Yes,1,23:21:0+4S/Chitowe,,1,N02,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N03,,Yes,,,,,,,,,,,
30,101015620020,Panel B,1,10101562,Yes,1,Urea,,1,N02,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N03,,Yes,,,,,,,,,,,
30,101015620020,Panel B,1,10101562,Yes,1,Maize seed,,1,N02,,No,,November,2009,1,Maize seed,,2,KILOGRAM,,No,,,,,,,,,Yes,2,KILOGRAM,,Own Bicycle or Oxcart,,0,0,N03,,Yes,,,,,,,,,,,
10,101015620031,Panel B,1,10101562,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,100,500,N02,,Yes,,,,,,,,,,,
10,101015620031,Panel B,1,10101562,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,5,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,100,N02,,Yes,,,,,,,,,,,
10,101015620031,Panel B,1,10101562,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,100,500,N02,,Yes,,,,,,,,,,,
10,101015620031,Panel B,1,10101562,Yes,1,Flexi voucher,,1,N01,,No,,November,2009,1,Other chemical (specify),GROUNDNUTS SEED,1,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,0,N02,,Yes,,,,,,,,,,,
6,101015620042,Panel B,1,10101562,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,50,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,200,500,N02,,Yes,,,,,,,,,,,
