HHID,case_id,qx_type,visit,ea_id,hh_g08a,hh_g08b,hh_g08c
47,101010160096,Panel A,1,10101016,F,Fruits,7
47,101010160096,Panel A,1,10101016,G,Milk/Milk Products,2
47,101010160096,Panel A,1,10101016,H,Fats/Oil,1
47,101010160096,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,5
47,101010160096,Panel A,1,10101016,J,Spices/Condiments,7
63,101010160143,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
63,101010160143,Panel A,1,10101016,B,"Root, Tubers and Plantains",7
63,101010160143,Panel A,1,10101016,C,Nuts and Pulses,4
63,101010160143,Panel A,1,10101016,D,Vegetables,7
63,101010160143,Panel A,1,10101016,E,"Meat, Fish and Animal Products",2
63,101010160143,Panel A,1,10101016,F,Fruits,0
63,101010160143,Panel A,1,10101016,G,Milk/Milk Products,0
63,101010160143,Panel A,1,10101016,H,Fats/Oil,7
63,101010160143,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,7
63,101010160143,Panel A,1,10101016,J,Spices/Condiments,7
59,101010160159,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
59,101010160159,Panel A,1,10101016,B,"Root, Tubers and Plantains",1
59,101010160159,Panel A,1,10101016,C,Nuts and Pulses,1
59,101010160159,Panel A,1,10101016,D,Vegetables,3
59,101010160159,Panel A,1,10101016,E,"Meat, Fish and Animal Products",0
59,101010160159,Panel A,1,10101016,F,Fruits,1
59,101010160159,Panel A,1,10101016,G,Milk/Milk Products,1
59,101010160159,Panel A,1,10101016,H,Fats/Oil,0
59,101010160159,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,1
59,101010160159,Panel A,1,10101016,J,Spices/Condiments,7
33,101010160180,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
33,101010160180,Panel A,1,10101016,B,"Root, Tubers and Plantains",2
33,101010160180,Panel A,1,10101016,C,Nuts and Pulses,3
33,101010160180,Panel A,1,10101016,D,Vegetables,3
33,101010160180,Panel A,1,10101016,E,"Meat, Fish and Animal Products",2
33,101010160180,Panel A,1,10101016,F,Fruits,0
33,101010160180,Panel A,1,10101016,G,Milk/Milk Products,0
33,101010160180,Panel A,1,10101016,H,Fats/Oil,7
33,101010160180,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,0
33,101010160180,Panel A,1,10101016,J,Spices/Condiments,7
49,101010160207,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
49,101010160207,Panel A,1,10101016,B,"Root, Tubers and Plantains",2
49,101010160207,Panel A,1,10101016,C,Nuts and Pulses,4
49,101010160207,Panel A,1,10101016,D,Vegetables,3
49,101010160207,Panel A,1,10101016,E,"Meat, Fish and Animal Products",0
49,101010160207,Panel A,1,10101016,F,Fruits,7
49,101010160207,Panel A,1,10101016,G,Milk/Milk Products,0
49,101010160207,Panel A,1,10101016,H,Fats/Oil,1
49,101010160207,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,6
49,101010160207,Panel A,1,10101016,J,Spices/Condiments,7
53,101010160235,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
53,101010160235,Panel A,1,10101016,B,"Root, Tubers and Plantains",3
53,101010160235,Panel A,1,10101016,C,Nuts and Pulses,1
53,101010160235,Panel A,1,10101016,D,Vegetables,4
53,101010160235,Panel A,1,10101016,E,"Meat, Fish and Animal Products",2
53,101010160235,Panel A,1,10101016,F,Fruits,4
53,101010160235,Panel A,1,10101016,G,Milk/Milk Products,3
53,101010160235,Panel A,1,10101016,H,Fats/Oil,7
53,101010160235,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,7
53,101010160235,Panel A,1,10101016,J,Spices/Condiments,7
43,101010160254,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
43,101010160254,Panel A,1,10101016,B,"Root, Tubers and Plantains",3
43,101010160254,Panel A,1,10101016,C,Nuts and Pulses,0
43,101010160254,Panel A,1,10101016,D,Vegetables,4
43,101010160254,Panel A,1,10101016,E,"Meat, Fish and Animal Products",1
43,101010160254,Panel A,1,10101016,F,Fruits,0
43,101010160254,Panel A,1,10101016,G,Milk/Milk Products,1
43,101010160254,Panel A,1,10101016,H,Fats/Oil,0
43,101010160254,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,0
43,101010160254,Panel A,1,10101016,J,Spices/Condiments,7
39,101010160265,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
39,101010160265,Panel A,1,10101016,B,"Root, Tubers and Plantains",6
39,101010160265,Panel A,1,10101016,C,Nuts and Pulses,4
39,101010160265,Panel A,1,10101016,D,Vegetables,5
39,101010160265,Panel A,1,10101016,E,"Meat, Fish and Animal Products",0
39,101010160265,Panel A,1,10101016,F,Fruits,0
39,101010160265,Panel A,1,10101016,G,Milk/Milk Products,0
39,101010160265,Panel A,1,10101016,H,Fats/Oil,0
39,101010160265,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,3
39,101010160265,Panel A,1,10101016,J,Spices/Condiments,7
40,101012040003,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
40,101012040003,Panel B,2,10101204,B,"Root, Tubers and Plantains",0
40,101012040003,Panel B,2,10101204,C,Nuts and Pulses,2
40,101012040003,Panel B,2,10101204,D,Vegetables,3
40,101012040003,Panel B,2,10101204,E,"Meat, Fish and Animal Products",1
40,101012040003,Panel B,2,10101204,F,Fruits,1
40,101012040003,Panel B,2,10101204,G,Milk/Milk Products,0
40,101012040003,Panel B,2,10101204,H,Fats/Oil,6
40,101012040003,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,0
40,101012040003,Panel B,2,10101204,J,Spices/Condiments,7
62,101012040007,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
62,101012040007,Panel B,2,10101204,B,"Root, Tubers and Plantains",3
62,101012040007,Panel B,2,10101204,C,Nuts and Pulses,1
62,101012040007,Panel B,2,10101204,D,Vegetables,5
62,101012040007,Panel B,2,10101204,E,"Meat, Fish and Animal Products",2
62,101012040007,Panel B,2,10101204,F,Fruits,3
62,101012040007,Panel B,2,10101204,G,Milk/Milk Products,0
62,101012040007,Panel B,2,10101204,H,Fats/Oil,0
62,101012040007,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,3
62,101012040007,Panel B,2,10101204,J,Spices/Condiments,7
42,101012040011,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
42,101012040011,Panel B,2,10101204,B,"Root, Tubers and Plantains",1
42,101012040011,Panel B,2,10101204,C,Nuts and Pulses,2
42,101012040011,Panel B,2,10101204,D,Vegetables,2
42,101012040011,Panel B,2,10101204,E,"Meat, Fish and Animal Products",1
42,101012040011,Panel B,2,10101204,F,Fruits,0
42,101012040011,Panel B,2,10101204,G,Milk/Milk Products,0
42,101012040011,Panel B,2,10101204,H,Fats/Oil,4
42,101012040011,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,0
42,101012040011,Panel B,2,10101204,J,Spices/Condiments,7
44,101012040020,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
44,101012040020,Panel B,2,10101204,B,"Root, Tubers and Plantains",0
44,101012040020,Panel B,2,10101204,C,Nuts and Pulses,2
44,101012040020,Panel B,2,10101204,D,Vegetables,5
44,101012040020,Panel B,2,10101204,E,"Meat, Fish and Animal Products",0
44,101012040020,Panel B,2,10101204,F,Fruits,0
44,101012040020,Panel B,2,10101204,G,Milk/Milk Products,0
44,101012040020,Panel B,2,10101204,H,Fats/Oil,0
44,101012040020,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,0
44,101012040020,Panel B,2,10101204,J,Spices/Condiments,7
38,101012040024,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
38,101012040024,Panel B,2,10101204,B,"Root, Tubers and Plantains",1
38,101012040024,Panel B,2,10101204,C,Nuts and Pulses,1
38,101012040024,Panel B,2,10101204,D,Vegetables,2
38,101012040024,Panel B,2,10101204,E,"Meat, Fish and Animal Products",1
38,101012040024,Panel B,2,10101204,F,Fruits,1
38,101012040024,Panel B,2,10101204,G,Milk/Milk Products,0
38,101012040024,Panel B,2,10101204,H,Fats/Oil,6
38,101012040024,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,7
38,101012040024,Panel B,2,10101204,J,Spices/Condiments,7
52,101012040028,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
52,101012040028,Panel B,2,10101204,B,"Root, Tubers and Plantains",2
52,101012040028,Panel B,2,10101204,C,Nuts and Pulses,3
52,101012040028,Panel B,2,10101204,D,Vegetables,5
52,101012040028,Panel B,2,10101204,E,"Meat, Fish and Animal Products",3
52,101012040028,Panel B,2,10101204,F,Fruits,2
52,101012040028,Panel B,2,10101204,G,Milk/Milk Products,2
52,101012040028,Panel B,2,10101204,H,Fats/Oil,2
52,101012040028,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,7
52,101012040028,Panel B,2,10101204,J,Spices/Condiments,7
50,101012040037,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
50,101012040037,Panel B,2,10101204,B,"Root, Tubers and Plantains",3
50,101012040037,Panel B,2,10101204,C,Nuts and Pulses,4
50,101012040037,Panel B,2,10101204,D,Vegetables,4
50,101012040037,Panel B,2,10101204,E,"Meat, Fish and Animal Products",3
50,101012040037,Panel B,2,10101204,F,Fruits,2
50,101012040037,Panel B,2,10101204,G,Milk/Milk Products,0
50,101012040037,Panel B,2,10101204,H,Fats/Oil,5
50,101012040037,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,6
50,101012040037,Panel B,2,10101204,J,Spices/Condiments,7
54,101012040041,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
54,101012040041,Panel B,2,10101204,B,"Root, Tubers and Plantains",2
54,101012040041,Panel B,2,10101204,C,Nuts and Pulses,3
54,101012040041,Panel B,2,10101204,D,Vegetables,4
54,101012040041,Panel B,2,10101204,E,"Meat, Fish and Animal Products",1
54,101012040041,Panel B,2,10101204,F,Fruits,0
54,101012040041,Panel B,2,10101204,G,Milk/Milk Products,0
54,101012040041,Panel B,2,10101204,H,Fats/Oil,0
54,101012040041,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,2
54,101012040041,Panel B,2,10101204,J,Spices/Condiments,7
48,101012040045,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
48,101012040045,Panel B,2,10101204,B,"Root, Tubers and Plantains",1
48,101012040045,Panel B,2,10101204,C,Nuts and Pulses,1
48,101012040045,Panel B,2,10101204,D,Vegetables,5
48,101012040045,Panel B,2,10101204,E,"Meat, Fish and Animal Products",0
48,101012040045,Panel B,2,10101204,F,Fruits,2
48,101012040045,Panel B,2,10101204,G,Milk/Milk Products,0
48,101012040045,Panel B,2,10101204,H,Fats/Oil,0
48,101012040045,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,0
48,101012040045,Panel B,2,10101204,J,Spices/Condiments,7
36,101012040054,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
36,101012040054,Panel B,2,10101204,B,"Root, Tubers and Plantains",2
36,101012040054,Panel B,2,10101204,C,Nuts and Pulses,5
36,101012040054,Panel B,2,10101204,D,Vegetables,6
36,101012040054,Panel B,2,10101204,E,"Meat, Fish and Animal Products",4
36,101012040054,Panel B,2,10101204,F,Fruits,0
36,101012040054,Panel B,2,10101204,G,Milk/Milk Products,0
36,101012040054,Panel B,2,10101204,H,Fats/Oil,7
36,101012040054,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,3
36,101012040054,Panel B,2,10101204,J,Spices/Condiments,7
56,101012040058,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
56,101012040058,Panel B,2,10101204,B,"Root, Tubers and Plantains",2
56,101012040058,Panel B,2,10101204,C,Nuts and Pulses,2
56,101012040058,Panel B,2,10101204,D,Vegetables,6
56,101012040058,Panel B,2,10101204,E,"Meat, Fish and Animal Products",3
56,101012040058,Panel B,2,10101204,F,Fruits,0
56,101012040058,Panel B,2,10101204,G,Milk/Milk Products,0
56,101012040058,Panel B,2,10101204,H,Fats/Oil,0
56,101012040058,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,2
56,101012040058,Panel B,2,10101204,J,Spices/Condiments,7
64,101012040062,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
64,101012040062,Panel B,2,10101204,B,"Root, Tubers and Plantains",0
64,101012040062,Panel B,2,10101204,C,Nuts and Pulses,6
64,101012040062,Panel B,2,10101204,D,Vegetables,5
64,101012040062,Panel B,2,10101204,E,"Meat, Fish and Animal Products",0
64,101012040062,Panel B,2,10101204,F,Fruits,0
64,101012040062,Panel B,2,10101204,G,Milk/Milk Products,0
64,101012040062,Panel B,2,10101204,H,Fats/Oil,4
64,101012040062,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,0
64,101012040062,Panel B,2,10101204,J,Spices/Condiments,7
34,101012040071,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
34,101012040071,Panel B,2,10101204,B,"Root, Tubers and Plantains",2
34,101012040071,Panel B,2,10101204,C,Nuts and Pulses,3
34,101012040071,Panel B,2,10101204,D,Vegetables,4
34,101012040071,Panel B,2,10101204,E,"Meat, Fish and Animal Products",2
34,101012040071,Panel B,2,10101204,F,Fruits,2
34,101012040071,Panel B,2,10101204,G,Milk/Milk Products,0
34,101012040071,Panel B,2,10101204,H,Fats/Oil,7
34,101012040071,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,7
34,101012040071,Panel B,2,10101204,J,Spices/Condiments,7
58,101012040075,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
58,101012040075,Panel B,2,10101204,B,"Root, Tubers and Plantains",3
58,101012040075,Panel B,2,10101204,C,Nuts and Pulses,2
58,101012040075,Panel B,2,10101204,D,Vegetables,6
58,101012040075,Panel B,2,10101204,E,"Meat, Fish and Animal Products",1
58,101012040075,Panel B,2,10101204,F,Fruits,0
58,101012040075,Panel B,2,10101204,G,Milk/Milk Products,0
58,101012040075,Panel B,2,10101204,H,Fats/Oil,7
58,101012040075,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,7
58,101012040075,Panel B,2,10101204,J,Spices/Condiments,7
46,101012040079,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
46,101012040079,Panel B,2,10101204,B,"Root, Tubers and Plantains",3
46,101012040079,Panel B,2,10101204,C,Nuts and Pulses,2
46,101012040079,Panel B,2,10101204,D,Vegetables,4
46,101012040079,Panel B,2,10101204,E,"Meat, Fish and Animal Products",2
46,101012040079,Panel B,2,10101204,F,Fruits,0
46,101012040079,Panel B,2,10101204,G,Milk/Milk Products,0
46,101012040079,Panel B,2,10101204,H,Fats/Oil,7
46,101012040079,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,7
46,101012040079,Panel B,2,10101204,J,Spices/Condiments,7
60,101012040087,Panel B,2,10101204,A,"Cereals, Grains and Cereal Products",7
60,101012040087,Panel B,2,10101204,B,"Root, Tubers and Plantains",4
60,101012040087,Panel B,2,10101204,C,Nuts and Pulses,3
60,101012040087,Panel B,2,10101204,D,Vegetables,5
60,101012040087,Panel B,2,10101204,E,"Meat, Fish and Animal Products",0
60,101012040087,Panel B,2,10101204,F,Fruits,0
60,101012040087,Panel B,2,10101204,G,Milk/Milk Products,0
60,101012040087,Panel B,2,10101204,H,Fats/Oil,5
60,101012040087,Panel B,2,10101204,I,Sugar/Sugar Products/Honey,6
60,101012040087,Panel B,2,10101204,J,Spices/Condiments,7
21,101012150001,Panel A,1,10101215,A,"Cereals, Grains and Cereal Products",7
21,101012150001,Panel A,1,10101215,B,"Root, Tubers and Plantains",5
21,101012150001,Panel A,1,10101215,C,Nuts and Pulses,2
21,101012150001,Panel A,1,10101215,D,Vegetables,5
21,101012150001,Panel A,1,10101215,E,"Meat, Fish and Animal Products",0
21,101012150001,Panel A,1,10101215,F,Fruits,0
21,101012150001,Panel A,1,10101215,G,Milk/Milk Products,0
21,101012150001,Panel A,1,10101215,H,Fats/Oil,0
21,101012150001,Panel A,1,10101215,I,Sugar/Sugar Products/Honey,0
21,101012150001,Panel A,1,10101215,J,Spices/Condiments,7
17,101012150004,Panel A,1,10101215,A,"Cereals, Grains and Cereal Products",7
17,101012150004,Panel A,1,10101215,B,"Root, Tubers and Plantains",2
17,101012150004,Panel A,1,10101215,C,Nuts and Pulses,1
17,101012150004,Panel A,1,10101215,D,Vegetables,4
17,101012150004,Panel A,1,10101215,E,"Meat, Fish and Animal Products",3
17,101012150004,Panel A,1,10101215,F,Fruits,0
17,101012150004,Panel A,1,10101215,G,Milk/Milk Products,0
17,101012150004,Panel A,1,10101215,H,Fats/Oil,7
17,101012150004,Panel A,1,10101215,I,Sugar/Sugar Products/Honey,0
17,101012150004,Panel A,1,10101215,J,Spices/Condiments,7
11,101012150021,Panel A,1,10101215,A,"Cereals, Grains and Cereal Products",7
11,101012150021,Panel A,1,10101215,B,"Root, Tubers and Plantains",1
11,101012150021,Panel A,1,10101215,C,Nuts and Pulses,6
11,101012150021,Panel A,1,10101215,D,Vegetables,0
11,101012150021,Panel A,1,10101215,E,"Meat, Fish and Animal Products",1
11,101012150021,Panel A,1,10101215,F,Fruits,1
11,101012150021,Panel A,1,10101215,G,Milk/Milk Products,0
11,101012150021,Panel A,1,10101215,H,Fats/Oil,5
11,101012150021,Panel A,1,10101215,I,Sugar/Sugar Products/Honey,0
11,101012150021,Panel A,1,10101215,J,Spices/Condiments,7
5,101012150022,Panel A,1,10101215,A,"Cereals, Grains and Cereal Products",7
5,101012150022,Panel A,1,10101215,B,"Root, Tubers and Plantains",3
5,101012150022,Panel A,1,10101215,C,Nuts and Pulses,1
5,101012150022,Panel A,1,10101215,D,Vegetables,4
5,101012150022,Panel A,1,10101215,E,"Meat, Fish and Animal Products",1
5,101012150022,Panel A,1,10101215,F,Fruits,0
5,101012150022,Panel A,1,10101215,G,Milk/Milk Products,0
5,101012150022,Panel A,1,10101215,H,Fats/Oil,6
5,101012150022,Panel A,1,10101215,I,Sugar/Sugar Products/Honey,4
5,101012150022,Panel A,1,10101215,J,Spices/Condiments,7
13,101012150026,Panel A,1,10101215,A,"Cereals, Grains and Cereal Products",7
13,101012150026,Panel A,1,10101215,B,"Root, Tubers and Plantains",1
13,101012150026,Panel A,1,10101215,C,Nuts and Pulses,1
13,101012150026,Panel A,1,10101215,D,Vegetables,7
13,101012150026,Panel A,1,10101215,E,"Meat, Fish and Animal Products",4
13,101012150026,Panel A,1,10101215,F,Fruits,2
13,101012150026,Panel A,1,10101215,G,Milk/Milk Products,1
13,101012150026,Panel A,1,10101215,H,Fats/Oil,5
13,101012150026,Panel A,1,10101215,I,Sugar/Sugar Products/Honey,7
13,101012150026,Panel A,1,10101215,J,Spices/Condiments,7
1,101012150028,Panel A,1,10101215,A,"Cereals, Grains and Cereal Products",7
1,101012150028,Panel A,1,10101215,B,"Root, Tubers and Plantains",3
1,101012150028,Panel A,1,10101215,C,Nuts and Pulses,6
1,101012150028,Panel A,1,10101215,D,Vegetables,7
1,101012150028,Panel A,1,10101215,E,"Meat, Fish and Animal Products",1
1,101012150028,Panel A,1,10101215,F,Fruits,1
1,101012150028,Panel A,1,10101215,G,Milk/Milk Products,0
1,101012150028,Panel A,1,10101215,H,Fats/Oil,0
1,101012150028,Panel A,1,10101215,I,Sugar/Sugar Products/Honey,0
1,101012150028,Panel A,1,10101215,J,Spices/Condiments,7
25,101012150034,Panel A,1,10101215,A,"Cereals, Grains and Cereal Products",7
25,101012150034,Panel A,1,10101215,B,"Root, Tubers and Plantains",2
25,101012150034,Panel A,1,10101215,C,Nuts and Pulses,2
25,101012150034,Panel A,1,10101215,D,Vegetables,3
25,101012150034,Panel A,1,10101215,E,"Meat, Fish and Animal Products",2
25,101012150034,Panel A,1,10101215,F,Fruits,2
25,101012150034,Panel A,1,10101215,G,Milk/Milk Products,7
25,101012150034,Panel A,1,10101215,H,Fats/Oil,7
25,101012150034,Panel A,1,10101215,I,Sugar/Sugar Products/Honey,7
25,101012150034,Panel A,1,10101215,J,Spices/Condiments,7
9,101012150038,Panel A,1,10101215,A,"Cereals, Grains and Cereal Products",7
9,101012150038,Panel A,1,10101215,B,"Root, Tubers and Plantains",3
9,101012150038,Panel A,1,10101215,C,Nuts and Pulses,5
9,101012150038,Panel A,1,10101215,D,Vegetables,5
9,101012150038,Panel A,1,10101215,E,"Meat, Fish and Animal Products",1
9,101012150038,Panel A,1,10101215,F,Fruits,1
9,101012150038,Panel A,1,10101215,G,Milk/Milk Products,1
9,101012150038,Panel A,1,10101215,H,Fats/Oil,0
9,101012150038,Panel A,1,10101215,I,Sugar/Sugar Products/Honey,0
9,101012150038,Panel A,1,10101215,J,Spices/Condiments,7
31,101012150040,Panel A,1,10101215,A,"Cereals, Grains and Cereal Products",7
31,101012150040,Panel A,1,10101215,B,"Root, Tubers and Plantains",2
31,101012150040,Panel A,1,10101215,C,Nuts and Pulses,2
31,101012150040,Panel A,1,10101215,D,Vegetables,3
31,101012150040,Panel A,1,10101215,E,"Meat, Fish and Animal Products",0
31,101012150040,Panel A,1,10101215,F,Fruits,0
31,101012150040,Panel A,1,10101215,G,Milk/Milk Products,0
31,101012150040,Panel A,1,10101215,H,Fats/Oil,0
31,101012150040,Panel A,1,10101215,I,Sugar/Sugar Products/Honey,0
31,101012150040,Panel A,1,10101215,J,Spices/Condiments,7
15,101012150045,Panel A,1,10101215,A,"Cereals, Grains and Cereal Products",7
15,101012150045,Panel A,1,10101215,B,"Root, Tubers and Plantains",2
15,101012150045,Panel A,1,10101215,C,Nuts and Pulses,3
15,101012150045,Panel A,1,10101215,D,Vegetables,3
15,101012150045,Panel A,1,10101215,E,"Meat, Fish and Animal Products",0
15,101012150045,Panel A,1,10101215,F,Fruits,0
15,101012150045,Panel A,1,10101215,G,Milk/Milk Products,1
15,101012150045,Panel A,1,10101215,H,Fats/Oil,0
15,101012150045,Panel A,1,10101215,I,Sugar/Sugar Products/Honey,0
15,101012150045,Panel A,1,10101215,J,Spices/Condiments,7
29,101012150048,Panel A,1,10101215,A,"Cereals, Grains and Cereal Products",7
