HHID,case_id,qx_type,visit,ea_id,ag_p0a,ag_p0b,ag_p0d,ag_p0d_os,ag_p01,ag_p02a,ag_p02b,ag_p02b_os,ag_p03,ag_p04,ag_p05,ag_p06a,ag_p06b,ag_p06c,ag_p06d,ag_p07,ag_p08a,ag_p08a_os,ag_p08b,ag_p08b_os,ag_p09a,ag_p09b,ag_p09b_os
63,101010160143,Panel A,2,10101016,YES,T1,CASSAVA,,PLANTATION,.16,ACRE,,,,,July,2010,July,2010,NO,,,,,2,BASKET (DENGU),
59,101010160159,Panel A,2,10101016,NO,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,2,10101016,NO,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,2,10101016,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,June,2010,June,2010,NO,,,,,2,BASKET (DENGU),
53,101010160235,Panel A,2,10101016,NO,,,,,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,2,10101016,YES,T1,BANANA,,SCATTERED,,,,12,2006,2,June,2010,July,2010,NO,,,,,2,OTHER (SPECIFY),MKOKO
39,101010160265,Panel A,2,10101016,NO,,,,,,,,,,,,,,,,,,,,,,
40,101012040003,Panel B,2,10101204,YES,T2,BANANA,,SCATTERED,,,,13,2001,3,May,2010,June,2010,NO,,,,,4,OTHER (SPECIFY),MKOKO
40,101012040003,Panel B,2,10101204,YES,T1,CASSAVA,,SCATTERED,,,,,,,May,2010,July,2010,NO,,,,,6,BASKET (DENGU),
62,101012040007,Panel B,2,10101204,YES,T1,BANANA,,SCATTERED,,,,78,2003,12,April,2010,July,2010,NO,,,,,11,OTHER (SPECIFY),MKOKO
42,101012040011,Panel B,2,10101204,YES,R1,CASSAVA,,PLANTATION,.5,ACRE,,,,,November,2009,June,2010,NO,,,,,10,BASKET (DENGU),
44,101012040020,Panel B,2,10101204,NO,,,,,,,,,,,,,,,,,,,,,,
38,101012040024,Panel B,2,10101204,NO,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,2,10101204,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,November,2009,January,2010,NO,,,,,2,90 KG BAG,
50,101012040037,Panel B,2,10101204,YES,R2,BANANA,,SCATTERED,,,,6,1987,2,August,2009,July,2010,NO,,,,,24,OTHER (SPECIFY),MKOKO
50,101012040037,Panel B,2,10101204,YES,R1,CASSAVA,,PLANTATION,.5,ACRE,,,,,June,2009,March,2010,YES,Diseases,,,,40,BASKET (DENGU),
54,101012040041,Panel B,2,10101204,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,February,2010,April,2010,NO,,,,,15,BASKET (DENGU),
48,101012040045,Panel B,2,10101204,YES,T1,MANGO,,SCATTERED,,,,5,1980,0,January,2010,March,2010,NO,,,,,40,BASKET (DENGU),
36,101012040054,Panel B,2,10101204,YES,T1,MANGO,,SCATTERED,,,,7,1985,0,January,2010,February,2010,NO,,,,,49,BASKET (DENGU),
56,101012040058,Panel B,2,10101204,YES,R1,CASSAVA,,PLANTATION,.25,ACRE,,,,,August,2009,March,2010,NO,,,,,35,BASKET (DENGU),
64,101012040062,Panel B,2,10101204,NO,,,,,,,,,,,,,,,,,,,,,,
34,101012040071,Panel B,2,10101204,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,February,2010,July,2010,NO,,,,,8,BASKET (DENGU),
58,101012040075,Panel B,2,10101204,NO,,,,,,,,,,,,,,,,,,,,,,
46,101012040079,Panel B,2,10101204,NO,,,,,,,,,,,,,,,,,,,,,,
60,101012040087,Panel B,2,10101204,NO,,,,,,,,,,,,,,,,,,,,,,
21,101012150001,Panel A,2,10101215,NO,,,,,,,,,,,,,,,,,,,,,,
17,101012150004,Panel A,2,10101215,NO,,,,,,,,,,,,,,,,,,,,,,
11,101012150021,Panel A,2,10101215,NO,,,,,,,,,,,,,,,,,,,,,,
5,101012150022,Panel A,2,10101215,NO,,,,,,,,,,,,,,,,,,,,,,
13,101012150026,Panel A,2,10101215,NO,,,,,,,,,,,,,,,,,,,,,,
1,101012150028,Panel A,2,10101215,NO,,,,,,,,,,,,,,,,,,,,,,
25,101012150034,Panel A,2,10101215,NO,,,,,,,,,,,,,,,,,,,,,,
9,101012150038,Panel A,2,10101215,NO,,,,,,,,,,,,,,,,,,,,,,
31,101012150040,Panel A,2,10101215,YES,T1,BANANA,,SCATTERED,,,,10,2008,3,June,2010,July,2010,YES,Rains,,,,2,OTHER (SPECIFY),MKOKO
15,101012150045,Panel A,2,10101215,NO,,,,,,,,,,,,,,,,,,,,,,
29,101012150048,Panel A,2,10101215,YES,T1,CASSAVA,,PLANTATION,1,ACRE,,,,,December,2009,March,2010,YES,Rains,,,,50,PAIL (LARGE),
29,101012150048,Panel A,2,10101215,YES,T1,BANANA,,SCATTERED,,,,26,2007,6,June,2010,August,2010,NO,,,,,3,OTHER (SPECIFY),MKOKO
27,101012150049,Panel A,2,10101215,NO,,,,,,,,,,,,,,,,,,,,,,
23,101012150053,Panel A,2,10101215,YES,T2,ORANGE,,SCATTERED,,,,2,1976,0,April,2010,May,2010,YES,Diseases,,,,18,BASKET (DENGU),
23,101012150053,Panel A,2,10101215,YES,T1,BANANA,,SCATTERED,,,,4,1997,0,June,2010,August,2010,YES,Animals,,,,3,OTHER (SPECIFY),MKOKO
19,101012150059,Panel A,2,10101215,YES,T1,MANGO,,SCATTERED,,,,6,1987,0,November,2009,January,2010,NO,,,,,21,BASKET (DENGU),
3,101012150060,Panel A,2,10101215,NO,,,,,,,,,,,,,,,,,,,,,,
7,101012150074,Panel A,2,10101215,NO,,,,,,,,,,,,,,,,,,,,,,
20,101015620009,Panel B,2,10101562,YES,T1,CASSAVA,,PLANTATION,1,ACRE,,,,,July,2010,September,2010,NO,,,,,40,BASKET (DENGU),
30,101015620020,Panel B,2,10101562,NO,,,,,,,,,,,,,,,,,,,,,,
10,101015620031,Panel B,2,10101562,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,October,2009,September,2010,NO,,,,,30,BASKET (DENGU),
6,101015620042,Panel B,2,10101562,YES,T1,BANANA,,SCATTERED,,,,45,2006,0,November,2009,June,2010,NO,,,,,20,OTHER (SPECIFY),MKOKO
2,101015620053,Panel B,2,10101562,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,November,2009,January,2010,YES,Drought,,Rains,,15,BASKET (DENGU),
8,101015620064,Panel B,2,10101562,YES,T1,CASSAVA,,PLANTATION,1,ACRE,,,,,August,2010,October,2010,YES,Animals,,,,65,BASKET (DENGU),
18,101015620075,Panel B,2,10101562,NO,,,,,,,,,,,,,,,,,,,,,,
16,101015620086,Panel B,2,10101562,NO,,,,,,,,,,,,,,,,,,,,,,
26,101015620096,Panel B,2,10101562,NO,,,,,,,,,,,,,,,,,,,,,,
28,101015620118,Panel B,2,10101562,YES,T1,MANGO,,SCATTERED,,,,2,1995,0,December,2009,January,2010,NO,,,,,4,BASKET (DENGU),
32,101015620140,Panel B,2,10101562,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,July,2010,October,2010,YES,Animals,,,,40,BASKET (DENGU),
12,101015620162,Panel B,2,10101562,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,August,2010,October,2010,YES,Animals,,,,14,BASKET (DENGU),
4,101015620184,Panel B,2,10101562,NO,,,,,,,,,,,,,,,,,,,,,,
22,101015620195,Panel B,2,10101562,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,February,2010,April,2010,NO,,,,,8,BASKET (DENGU),
14,101015620205,Panel B,2,10101562,NO,,,,,,,,,,,,,,,,,,,,,,
24,101015620227,Panel B,2,10101562,NO,,,,,,,,,,,,,,,,,,,,,,
79,101020040001,Panel A,2,10102004,YES,T1,CASSAVA,,PLANTATION,.27000001,ACRE,,,,,September,2009,January,2010,NO,,,,,10,BASKET (DENGU),
87,101020040008,Panel A,2,10102004,YES,T1,BANANA,,SCATTERED,,,,999,2002,7,September,2009,August,2010,NO,,,,,16,OTHER (SPECIFY),MKOKO
89,101020040012,Panel A,2,10102004,YES,T1,BANANA,,SCATTERED,,,,125,1994,0,September,2009,November,2009,NO,,,,,17,OTHER (SPECIFY),MKOKO
85,101020040015,Panel A,2,10102004,YES,T1,MANGO,,SCATTERED,,,,4,1976,0,December,2009,February,2010,NO,,,,,12,BASKET (DENGU),
83,101020040028,Panel A,2,10102004,YES,T1,MANGO,,SCATTERED,,,,8,1979,0,December,2009,February,2010,NO,,,,,18,BASKET (DENGU),
75,101020040031,Panel A,2,10102004,NO,,,,,,,,,,,,,,,,,,,,,,
65,101020040034,Panel A,2,10102004,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,June,2010,August,2010,NO,,,,,16,BASKET (DENGU),
93,101020040039,Panel A,2,10102004,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,June,2010,August,2010,NO,,,,,3,BASKET (DENGU),
71,101020040042,Panel A,2,10102004,YES,T1,BANANA,,SCATTERED,,,,150,1996,0,September,2009,December,2009,YES,Insects,,,,50,OTHER (SPECIFY),MKOKO
69,101020040059,Panel A,2,10102004,NO,,,,,,,,,,,,,,,,,,,,,,
81,101020040061,Panel A,2,10102004,YES,T2,BANANA,,SCATTERED,,,,999,1979,8,September,2009,August,2010,NO,,,,,50,OTHER (SPECIFY),MKOKO
81,101020040061,Panel A,2,10102004,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,September,2009,March,2010,NO,,,,,20,BASKET (DENGU),
73,101020040093,Panel A,2,10102004,YES,T1,BANANA,,SCATTERED,,,,35,2007,0,September,2009,December,2009,YES,Insects,,,,7,OTHER (SPECIFY),MKOKO
67,101020040101,Panel A,2,10102004,YES,T1,BANANA,,SCATTERED,,,,999,2006,2,December,2009,June,2010,NO,,,,,9,OTHER (SPECIFY),MKOKO
91,101020040104,Panel A,2,10102004,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,March,2010,August,2010,NO,,,,,10,BASKET (DENGU),
77,101020040121,Panel A,2,10102004,YES,T1,BANANA,,SCATTERED,,,,999,2006,7,September,2009,August,2010,YES,Insects,,,,34,OTHER (SPECIFY),MKOKO
95,101020040128,Panel A,2,10102004,YES,T2,CASSAVA,,PLANTATION,.5,ACRE,,,,,September,2009,August,2010,NO,,,,,22,BASKET (DENGU),
95,101020040128,Panel A,2,10102004,YES,T1,BANANA,,SCATTERED,,,,999,1998,0,September,2009,August,2010,NO,,,,,20,OTHER (SPECIFY),MKOKO
86,101034140003,Panel B,2,10103414,YES,T1,CASSAVA,,SCATTERED,,,,,,,December,2009,February,2010,NO,,,,,9,BASKET (DENGU),
66,101034140009,Panel B,2,10103414,YES,T1,CASSAVA,,PLANTATION,.1,ACRE,,,,,September,2009,December,2009,NO,,,,,5,BASKET (DENGU),
96,101034140020,Panel B,2,10103414,YES,T1,MANGO,,SCATTERED,,,,1,1998,0,October,2009,November,2009,NO,,,,,1,BASKET (DENGU),
72,101034140025,Panel B,2,10103414,NO,,,,,,,,,,,,,,,,,,,,,,
90,101034140031,Panel B,2,10103414,NO,,,,,,,,,,,,,,,,,,,,,,
80,101034140042,Panel B,2,10103414,NO,,,,,,,,,,,,,,,,,,,,,,
92,101034140047,Panel B,2,10103414,YES,T1,BANANA,,SCATTERED,,,,999,2007,0,October,2009,August,2010,NO,,,,,6,OTHER (SPECIFY),MKOKO
84,101034140053,Panel B,2,10103414,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,July,2010,August,2010,NO,,,,,19,BASKET (DENGU),
70,101034140064,Panel B,2,10103414,YES,T2,CASSAVA,,PLANTATION,.25,ACRE,,,,,November,2009,March,2010,NO,,,,,12,BASKET (DENGU),
70,101034140064,Panel B,2,10103414,YES,T1,BANANA,,SCATTERED,,,,999,2008,3,September,2009,June,2010,NO,,,,,5,OTHER (SPECIFY),MKOKO
76,101034140069,Panel B,2,10103414,YES,T1,MANGO,,SCATTERED,,,,5,1980,0,February,2009,April,2010,NO,,,,,28,BASKET (DENGU),
78,101034140075,Panel B,2,10103414,YES,T3,BANANA,,SCATTERED,,,,999,2007,0,July,2010,August,2010,NO,,,,,15,OTHER (SPECIFY),MKOKO
78,101034140075,Panel B,2,10103414,YES,T2,PAWPAW/PAPAYA,,SCATTERED,,,,7,2008,0,October,2009,August,2010,NO,,,,,40,PIECE,
78,101034140075,Panel B,2,10103414,YES,T1,MANGO,,SCATTERED,,,,5,1989,0,January,2010,March,2010,NO,,,,,45,BASKET (DENGU),
94,101034140086,Panel B,2,10103414,YES,T1,BANANA,,SCATTERED,,,,63,2002,47,September,2009,December,2009,NO,,,,,11,OTHER (SPECIFY),MKOKO
74,101034140091,Panel B,2,10103414,YES,T1,BANANA,,SCATTERED,,,,50,2004,35,October,2009,January,2010,NO,,,,,20,OTHER (SPECIFY),MKOKO
88,101034140097,Panel B,2,10103414,NO,,,,,,,,,,,,,,,,,,,,,,
82,101034140108,Panel B,2,10103414,YES,T1,BANANA,,SCATTERED,,,,27,2004,18,September,2009,November,2009,NO,,,,,10,OTHER (SPECIFY),MKOKO
68,101034140114,Panel B,2,10103414,YES,T1,BANANA,,SCATTERED,,,,999,2001,7,September,2009,August,2010,YES,Rains,,,,15,OTHER (SPECIFY),MKOKO
123,101041500004,Panel A,2,10104150,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,December,2009,March,2010,YES,Drought,,,,10,BASKET (DENGU),
127,101041500006,Panel A,2,10104150,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,August,2010,October,2010,NO,,,,,18,BASKET (DENGU),
113,101041500012,Panel A,2,10104150,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,November,2009,February,2010,NO,,,,,16,BASKET (DENGU),
109,101041500013,Panel A,2,10104150,NO,,,,,,,,,,,,,,,,,,,,,,
111,101041500015,Panel A,2,10104150,NO,,,,,,,,,,,,,,,,,,,,,,
99,101041500023,Panel A,2,10104150,YES,T1,BANANA,,SCATTERED,,,,999,1985,5,June,2010,September,2010,NO,,,,,8,OTHER (SPECIFY),MKOKO
103,101041500027,Panel A,2,10104150,NO,,,,,,,,,,,,,,,,,,,,,,
107,101041500045,Panel A,2,10104150,YES,T1,BANANA,,PLANTATION,.15000001,ACRE,,999,1980,0,October,2009,September,2010,YES,Diseases,,,,8,OTHER (SPECIFY),MKOKO
115,101041500048,Panel A,2,10104150,NO,,,,,,,,,,,,,,,,,,,,,,
97,101041500053,Panel A,2,10104150,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,August,2010,October,2010,NO,,,,,12,BASKET (DENGU),
105,101041500054,Panel A,2,10104150,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,August,2010,October,2010,NO,,,,,22,BASKET (DENGU),
125,101041500057,Panel A,2,10104150,NO,,,,,,,,,,,,,,,,,,,,,,
101,101041500063,Panel A,2,10104150,NO,,,,,,,,,,,,,,,,,,,,,,
119,101041500067,Panel A,2,10104150,NO,,,,,,,,,,,,,,,,,,,,,,
117,101041500076,Panel A,2,10104150,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,November,2009,January,2010,YES,Rains,,,,15,BASKET (DENGU),
121,101041500079,Panel A,2,10104150,YES,T1,CASSAVA,,PLANTATION,.75,ACRE,,,,,November,2009,February,2010,YES,Rains,,,,24,BASKET (DENGU),
102,102016880002,Panel B,2,10201688,NO,,,,,,,,,,,,,,,,,,,,,,
100,102016880010,Panel B,2,10201688,YES,T1,MANGO,,SCATTERED,,,,7,1998,0,November,2009,December,2009,NO,,,,,18,BASKET (DENGU),
100,102016880010,Panel B,2,10201688,YES,T2,CASSAVA,,PLANTATION,.2,ACRE,,,,,October,2009,December,2009,NO,,,,,1,90 KG BAG,
108,102016880018,Panel B,2,10201688,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,August,2010,September,2010,NO,,,,,2,50 KG BAG,
120,102016880033,Panel B,2,10201688,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,October,2010,September,2010,NO,,,,,1,90 KG BAG,
118,102016880041,Panel B,2,10201688,YES,T1,CASSAVA,,PLANTATION,1,ACRE,,,,,December,2009,March,2010,YES,Drought,,Rains,,15,BASKET (DENGU),
106,102016880049,Panel B,2,10201688,YES,T1,CASSAVA,,PLANTATION,1,ACRE,,,,,December,2009,March,2010,NO,,,,,27,BASKET (DENGU),
128,102016880064,Panel B,2,10201688,YES,T1,CASSAVA,,PLANTATION,.75,ACRE,,,,,December,2009,January,2010,YES,Drought,,Rains,,19,BASKET (DENGU),
116,102016880072,Panel B,2,10201688,YES,T1,CASSAVA,,PLANTATION,.75,ACRE,,,,,October,2009,December,2009,NO,,,,,18,BASKET (DENGU),
122,102016880080,Panel B,2,10201688,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,August,2010,September,2010,NO,,,,,17,BASKET (DENGU),
98,102016880095,Panel B,2,10201688,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,March,2010,June,2010,NO,,,,,15,BASKET (DENGU),
112,102016880103,Panel B,2,10201688,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,June,2010,August,2010,NO,,,,,20,BASKET (DENGU),
110,102016880111,Panel B,2,10201688,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,August,2010,September,2010,YES,Drought,,Rains,,6,BASKET (DENGU),
126,102016880126,Panel B,2,10201688,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,April,2010,July,2010,NO,,,,,15,BASKET (DENGU),
104,102016880134,Panel B,2,10201688,NO,,,,,,,,,,,,,,,,,,,,,,
114,102016880142,Panel B,2,10201688,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,October,2009,September,2010,NO,,,,,16,BASKET (DENGU),
124,102016880157,Panel B,2,10201688,YES,T1,MANGO,,SCATTERED,,,,4,1974,0,November,2009,January,2010,NO,,,,,12,BASKET (DENGU),
139,102025140004,Panel A,2,10202514,YES,T1,BANANA,,PLANTATION,.25,ACRE,,999,2002,15,March,2010,July,2010,NO,,,,,16,OTHER (SPECIFY),MKOKO
155,102025140019,Panel A,2,10202514,NO,,,,,,,,,,,,,,,,,,,,,,
145,102025140060,Panel A,2,10202514,NO,,,,,,,,,,,,,,,,,,,,,,
143,102025140064,Panel A,2,10202514,NO,,,,,,,,,,,,,,,,,,,,,,
131,102025140068,Panel A,2,10202514,NO,,,,,,,,,,,,,,,,,,,,,,
129,102025140087,Panel A,2,10202514,NO,,,,,,,,,,,,,,,,,,,,,,
137,102025140089,Panel A,2,10202514,NO,,,,,,,,,,,,,,,,,,,,,,
157,102025140104,Panel A,2,10202514,NO,,,,,,,,,,,,,,,,,,,,,,
153,102025140122,Panel A,2,10202514,NO,,,,,,,,,,,,,,,,,,,,,,
133,102025140144,Panel A,2,10202514,NO,,,,,,,,,,,,,,,,,,,,,,
151,102025140145,Panel A,2,10202514,YES,T1,BANANA,,PLANTATION,.25,ACRE,,999,2002,0,April,2010,July,2010,NO,,,,,18,OTHER (SPECIFY),MKOKO
149,102025140149,Panel A,2,10202514,NO,,,,,,,,,,,,,,,,,,,,,,
147,102025140151,Panel A,2,10202514,NO,,,,,,,,,,,,,,,,,,,,,,
135,102025140160,Panel A,2,10202514,NO,,,,,,,,,,,,,,,,,,,,,,
159,102025140161,Panel A,2,10202514,YES,T1,BANANA,,PLANTATION,.25,ACRE,,999,2004,11,March,2010,June,2010,NO,,,,,12,OTHER (SPECIFY),MKOKO
141,102025140169,Panel A,2,10202514,YES,T1,BANANA,,PLANTATION,.25,ACRE,,999,1999,16,March,2010,July,2010,NO,,,,,20,OTHER (SPECIFY),MKOKO
150,102031760004,Panel B,2,10203176,NO,,,,,,,,,,,,,,,,,,,,,,
142,102031760009,Panel B,2,10203176,YES,T2,CASSAVA,,PLANTATION,1,ACRE,,,,,June,2010,July,2010,YES,Rains,,,,12,BASKET (DENGU),
142,102031760009,Panel B,2,10203176,YES,T1,BANANA,,SCATTERED,,,,66,2006,11,May,2010,July,2010,NO,,,,,10,OTHER (SPECIFY),MKOKO
138,102031760014,Panel B,2,10203176,NO,,,,,,,,,,,,,,,,,,,,,,
136,102031760024,Panel B,2,10203176,YES,R2,MANGO,,SCATTERED,,,,8,1998,0,October,2009,December,2009,NO,,,,,5,BASKET (DENGU),
136,102031760024,Panel B,2,10203176,YES,R1,CASSAVA,,PLANTATION,.25,ACRE,,,,,October,2009,March,2010,YES,Animals,,,,10,BASKET (DENGU),
148,102031760029,Panel B,2,10203176,YES,T1,BANANA,,SCATTERED,,,,112,2000,14,May,2010,July,2010,NO,,,,,10,OTHER (SPECIFY),MKOKO
132,102031760033,Panel B,2,10203176,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,October,2009,December,2009,NO,,,,,4,50 KG BAG,
140,102031760043,Panel B,2,10203176,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,August,2009,July,2010,YES,Rains,,,,15,PAIL (LARGE),
134,102031760048,Panel B,2,10203176,YES,T2,MANGO,,SCATTERED,,,,10,1989,0,October,2009,January,2010,NO,,,,,35,PAIL (LARGE),
134,102031760048,Panel B,2,10203176,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,April,2009,February,2010,NO,,,,,10,PAIL (LARGE),
146,102031760053,Panel B,2,10203176,YES,T3,BANANA,,SCATTERED,,,,999,1998,20,August,2009,July,2010,NO,,,,,16,OTHER (SPECIFY),MKOKO
146,102031760053,Panel B,2,10203176,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,February,2010,February,2010,NO,,,,,15,PAIL (LARGE),
146,102031760053,Panel B,2,10203176,YES,T2,MANGO,,SCATTERED,,,,4,1998,7,December,2009,January,2010,NO,,,,,19,BASKET (DENGU),
158,102031760063,Panel B,2,10203176,NO,,,,,,,,,,,,,,,,,,,,,,
152,102031760067,Panel B,2,10203176,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,August,2009,November,2009,NO,,,,,8,BASKET (DENGU),
144,102031760072,Panel B,2,10203176,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,August,2009,December,2009,YES,Rains,,,,10,BASKET (DENGU),
154,102031760082,Panel B,2,10203176,NO,,,,,,,,,,,,,,,,,,,,,,
130,102031760087,Panel B,2,10203176,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,December,2009,March,2010,NO,,,,,3,BASKET (DENGU),
130,102031760087,Panel B,2,10203176,YES,T2,BANANA,,SCATTERED,,,,999,2002,0,August,2009,July,2010,NO,,,,,30,OTHER (SPECIFY),MKOKO
156,102031760092,Panel B,2,10203176,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,August,2009,November,2009,NO,,,,,5,BASKET (DENGU),
160,102031760101,Panel B,2,10203176,YES,R1,CASSAVA,,PLANTATION,1,ACRE,,,,,February,2009,March,2010,YES,Diseases,,,,30,BASKET (DENGU),
192,102037440001,Panel B,2,10203744,YES,T2,MANGO,,SCATTERED,,,,5,1969,7,November,2009,January,2010,YES,Other (Specify),EFFECTS OF WIND,,,48,BASKET (DENGU),
192,102037440001,Panel B,2,10203744,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,September,2010,September,2010,NO,,,,,8,BASKET (DENGU),
182,102037440006,Panel B,2,10203744,NO,,,,,,,,,,,,,,,,,,,,,,
188,102037440017,Panel B,2,10203744,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,December,2009,December,2009,YES,Animals,,,,15,BASKET (DENGU),
164,102037440023,Panel B,2,10203744,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,July,2010,July,2010,NO,,,,,6,BASKET (DENGU),
172,102037440029,Panel B,2,10203744,NO,,,,,,,,,,,,,,,,,,,,,,
178,102037440040,Panel B,2,10203744,NO,,,,,,,,,,,,,,,,,,,,,,
190,102037440045,Panel B,2,10203744,NO,,,,,,,,,,,,,,,,,,,,,,
166,102037440051,Panel B,2,10203744,NO,,,,,,,,,,,,,,,,,,,,,,
180,102037440062,Panel B,2,10203744,NO,,,,,,,,,,,,,,,,,,,,,,
186,102037440068,Panel B,2,10203744,NO,,,,,,,,,,,,,,,,,,,,,,
176,102037440073,Panel B,2,10203744,NO,,,,,,,,,,,,,,,,,,,,,,
174,102037440084,Panel B,2,10203744,YES,T1,BANANA,,SCATTERED,,,,999,1975,4,December,2009,May,2010,YES,Animals,,,,15,OTHER (SPECIFY),MKOKO
162,102037440090,Panel B,2,10203744,YES,T1,PAWPAW/PAPAYA,,SCATTERED,,,,2,2000,0,September,2010,August,2010,NO,,,,,10,PIECE,
170,102037440095,Panel B,2,10203744,NO,,,,,,,,,,,,,,,,,,,,,,
168,102037440107,Panel B,2,10203744,NO,,,,,,,,,,,,,,,,,,,,,,
184,102037440112,Panel B,2,10203744,NO,,,,,,,,,,,,,,,,,,,,,,
202,102043220004,Panel B,2,10204322,NO,,,,,,,,,,,,,,,,,,,,,,
194,102043220009,Panel B,2,10204322,NO,,,,,,,,,,,,,,,,,,,,,,
218,102043220019,Panel B,2,10204322,YES,T1,CASSAVA,,PLANTATION,.75,ACRE,,,,,November,2009,February,2010,NO,,,,,24,BASKET (DENGU),
214,102043220023,Panel B,2,10204322,NO,,,,,,,,,,,,,,,,,,,,,,
196,102043220028,Panel B,2,10204322,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,December,2009,March,2010,NO,,,,,10,BASKET (DENGU),
206,102043220038,Panel B,2,10204322,NO,,,,,,,,,,,,,,,,,,,,,,
210,102043220043,Panel B,2,10204322,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,December,2009,March,2010,NO,,,,,15,BASKET (DENGU),
