occ,y2_hhid,qx_type,interview_status,hh_n01,hh_n02,hh_n03,hh_n04,hh_n05,hh_n06,hh_n07,hh_n08,hh_n0b
1,0046-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0047-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0048-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,YES,NO,NO,NO,NO,YES
1,0049-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0050-001,PANEL B,Panel B - 2 Visits,NO,YES,NO,NO,NO,NO,NO,NO,YES
1,0051-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0052-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0053-002,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0054-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,YES,NO,NO,NO,NO,YES
1,0054-003,PANEL B,Panel B - 2 Visits,NO,NO,YES,NO,NO,NO,NO,NO,YES
1,0055-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0056-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0057-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0058-001,PANEL B,Panel B - 2 Visits,NO,NO,YES,NO,NO,NO,NO,NO,YES
1,0059-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0060-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0061-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0062-002,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0063-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0064-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0065-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0066-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0067-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0068-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0069-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0070-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0071-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0072-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0073-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,YES,NO,NO,NO,NO,YES
1,0074-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0075-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0076-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0077-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0078-001,PANEL B,Panel B - 2 Visits,YES,NO,NO,NO,NO,NO,NO,NO,YES
1,0079-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0080-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0081-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0082-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0083-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0084-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0085-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0086-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0087-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0088-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0089-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0090-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0091-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0092-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0093-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0094-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0095-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0096-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0097-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0098-001,PANEL B,Panel B - 2 Visits,YES,NO,NO,NO,NO,NO,NO,NO,YES
1,0099-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0100-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0100-003,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0101-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0102-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0103-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0103-003,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0104-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0105-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0106-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,YES,NO,NO,YES
1,0107-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0108-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0109-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0110-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0110-003,PANEL B,Panel B - Combined Visit,NO,NO,YES,NO,NO,NO,NO,NO,YES
1,0110-005,PANEL B,Panel B - Combined Visit,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0110-006,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0110-007,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0111-001,PANEL A,Panel A - 2 Visits,NO,YES,NO,NO,NO,NO,NO,NO,YES
1,0112-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0113-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0114-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0115-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0116-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0117-001,PANEL A,Panel A - Combined Visit,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0117-002,PANEL A,Panel A - 2 Visits,NO,YES,NO,NO,NO,YES,NO,NO,YES
1,0118-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0119-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0119-002,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0120-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0121-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0122-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0123-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0124-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0125-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0126-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,YES,NO,NO,YES
1,0127-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0128-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0128-003,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0128-004,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0129-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0129-002,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0130-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,YES,NO,NO,NO,NO,YES
1,0131-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0132-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0133-002,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0134-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0135-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0136-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0137-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0138-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0139-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0140-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0141-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0141-002,PANEL A,Panel A - 2 Visits,NO,NO,YES,NO,NO,NO,NO,NO,YES
1,0142-001,PANEL B,Panel B - 2 Visits,NO,YES,NO,NO,NO,NO,NO,NO,YES
1,0142-003,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0143-002,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0144-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0145-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0146-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0146-003,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0147-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0148-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0149-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0150-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0152-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0153-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0154-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0155-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0156-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0157-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0158-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0159-001,PANEL A,Panel A - 2 Visits,NO,NO,YES,NO,NO,NO,NO,YES,YES
1,0160-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0161-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0161-006,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0162-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,YES,NO,NO,NO,YES,YES
1,0163-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0164-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0165-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0166-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0167-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,YES,NO,NO,NO,YES,YES
1,0168-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0168-002,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0168-006,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0169-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0170-001,PANEL B,Panel B - 2 Visits,NO,YES,NO,YES,NO,NO,NO,NO,YES
1,0171-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0171-003,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0172-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0173-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0174-002,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0176-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0177-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0177-007,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0178-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0178-002,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0178-003,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0179-001,PANEL A,Panel A - 2 Visits,YES,NO,NO,NO,NO,NO,NO,NO,YES
1,0180-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0180-002,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0181-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0182-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0183-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,YES,NO,YES
1,0184-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0185-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0186-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0187-001,PANEL A,Panel A - 2 Visits,NO,YES,NO,YES,NO,NO,NO,NO,YES
1,0188-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0189-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0189-002,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0190-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0191-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0192-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0192-003,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0193-002,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0194-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0195-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0196-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0197-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0198-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0199-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0201-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0202-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0203-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0203-003,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0203-004,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,YES,NO,YES
1,0204-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0205-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0207-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0208-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0209-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0210-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0211-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,YES,NO,YES
1,0211-002,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0212-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0213-001,PANEL A,Panel A - 2 Visits,YES,NO,NO,NO,NO,NO,NO,NO,YES
1,0214-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0216-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0217-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0218-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0219-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0220-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0221-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0221-005,PANEL A,Panel A - 2 Visits,NO,YES,NO,NO,NO,YES,NO,NO,YES
1,0222-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0224-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0224-003,PANEL B,Panel B - 2 Visits,YES,NO,NO,NO,NO,NO,NO,NO,YES
1,0224-009,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0224-010,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0225-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0226-002,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0228-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0229-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0230-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0231-001,PANEL A,Panel A - Combined Visit,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0232-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0232-003,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0233-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
