occ,y2_hhid,qx_type,interview_status,ag_o01,ag_o00,ag_o02,ag_o03_2,ag_o04a,ag_o04b,ag_o04c,ag_o05e,ag_o06,ag_o07
1,0057-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,TG01,.5,ACRE,.34,,10,PARTLY CLOUDY/PARTLY SUNNY
2,0057-001,PANEL A,Panel A - 2 Visits,YES,T02,BANANA,TG02,.5,ACRE,.37,,10,PARTLY CLOUDY/PARTLY SUNNY
1,0058-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG03,.75,ACRE,.25999999,,10,PARTLY CLOUDY/PARTLY SUNNY
1,0059-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO WITH CASSAVA,RG01,.5,ACRE,.30000001,,11,CLEAR/SUNNY
1,0060-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0061-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,.89999998,,10,MOSTLY CLEAR/MOSTLY SUNNY
2,0061-001,PANEL A,Panel A - 2 Visits,YES,T02,MANGO,RG04,.15000001,ACRE,.1,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0062-002,PANEL B,Panel B - 2 Visits,YES,T01,BANANA,TG01,.5,ACRE,.1,,10,MOSTLY CLEAR/MOSTLY SUNNY
2,0062-002,PANEL B,Panel B - 2 Visits,YES,T02,MANGO,TG02,.5,ACRE,.1,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0063-001,PANEL A,Panel A - 2 Visits,YES,T01,ORANGE PLOT,RG01,.1,ACRE,.0099999998,,11,CLEAR/SUNNY
1,0064-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,.69999999,,10,MOSTLY CLEAR/MOSTLY SUNNY
2,0064-001,PANEL B,Panel B - 2 Visits,YES,T02,PAPAYA,RG02,.15000001,ACRE,.1,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0065-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,.5,ACRE,.38999999,,12,MOSTLY CLEAR/MOSTLY SUNNY
2,0065-001,PANEL A,Panel A - 2 Visits,YES,T02,BANANA,RG01,.5,ACRE,.38999999,,12,MOSTLY CLEAR/MOSTLY SUNNY
1,0066-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA GARDEN,RG01,.5,ACRE,1,,11,CLEAR/SUNNY
1,0067-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0068-001,PANEL B,Panel B - 2 Visits,YES,T01,BANANA,TG01,.30000001,ACRE,.30000001,,10,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,0069-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0070-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0071-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,TG01,.5,ACRE,.1,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0072-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0073-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA GARDEN,RG01,.5,ACRE,.40000001,,10,CLEAR/SUNNY
1,0074-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG01,1.25,ACRE,.83999997,,12,PARTLY CLOUDY/PARTLY SUNNY
1,0075-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0076-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,.69999999,,10,MOSTLY CLEAR/MOSTLY SUNNY
2,0076-001,PANEL B,Panel B - 2 Visits,YES,T02,BANANA,RG02,1,ACRE,1.5,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0077-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,TG01,.1,ACRE,.1,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0078-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA GARDEN,RG01,1,ACRE,.5,,10,CLEAR/SUNNY
1,0079-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0080-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0081-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,RG01,.25,ACRE,.0099999998,,11,CLEAR/SUNNY
2,0081-001,PANEL A,Panel A - 2 Visits,YES,T02,MANGO,RG01,.25,ACRE,.0099999998,,11,CLEAR/SUNNY
1,0082-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA GARDEN,RG02,.5,ACRE,.5,,10,PARTLY CLOUDY/PARTLY SUNNY
1,0083-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,RG01,.5,ACRE,.40000001,,12,CLEAR/SUNNY
2,0083-001,PANEL A,Panel A - 2 Visits,YES,T02,AVOCADO,RG01,.5,ACRE,.40000001,,12,CLEAR/SUNNY
1,0084-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0085-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG02,.25,ACRE,.2,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0086-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG02,.25,ACRE,.2,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0087-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0088-001,PANEL B,Panel B - 2 Visits,YES,T01,MUNDA WA CASSAVA,RG01,.25,ACRE,.40000001,,10,CLEAR/SUNNY
1,0089-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,TG01,.25,ACRE,.11,,11,PARTLY CLOUDY/PARTLY SUNNY
2,0089-001,PANEL A,Panel A - 2 Visits,YES,T02,AVOCADO,TG02,.25,ACRE,.039999999,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0090-001,PANEL B,Panel B - 2 Visits,YES,T01,PAWPAW AND GUAVA,TG01,.25,ACRE,.0099999998,,12,CLEAR/SUNNY
1,0091-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,TG01,.1,ACRE,.1,,10,MOSTLY CLEAR/MOSTLY SUNNY
2,0091-001,PANEL A,Panel A - 2 Visits,YES,T02,CASSAVA,RG02,.25,ACRE,1.3,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0092-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0093-001,PANEL A,Panel A - 2 Visits,YES,T01,CAASAVA GARDEN,RG01,.25,ACRE,.30000001,,11,CLEAR/SUNNY
1,0094-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,.60000002,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0095-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA GARDEN,RG01,.25,ACRE,.1,,11,CLEAR/SUNNY
1,0096-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0097-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,1.8,,10,PARTLY CLOUDY/PARTLY SUNNY
1,0098-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG01,.5,ACRE,.30000001,,10,CLEAR/SUNNY
2,0098-001,PANEL B,Panel B - 2 Visits,YES,T02,MANGO,RG02,.5,ACRE,.30000001,,10,CLEAR/SUNNY
1,0099-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,TG01,1.5,ACRE,2.5,,12,CLEAR/SUNNY
1,0100-001,PANEL B,Panel B - 2 Visits,YES,T01,BANANA,RG01,1.5,ACRE,1.48,,11,PARTLY CLOUDY/PARTLY SUNNY
2,0100-001,PANEL B,Panel B - 2 Visits,YES,T02,CASSAVA,RG02,2,ACRE,1.26,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0100-003,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0101-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,.40000001,,9,PARTLY CLOUDY/PARTLY SUNNY
2,0101-001,PANEL A,Panel A - 2 Visits,YES,T02,MANGO,RG02,.25,ACRE,.40000001,,9,PARTLY CLOUDY/PARTLY SUNNY
1,0102-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0103-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,1.8,,9,PARTLY CLOUDY/PARTLY SUNNY
1,0103-003,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,.89999998,,9,MOSTLY CLEAR/MOSTLY SUNNY
1,0104-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0105-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0106-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0107-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,RG01,1,ACRE,1,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0108-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0109-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA GARDEN,RG01,.5,ACRE,.60000002,,10,CLEAR/SUNNY
1,0110-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,.5,ACRE,.56,,12,PARTLY CLOUDY/PARTLY SUNNY
1,0110-006,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0110-007,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0111-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA GARDEN,RG01,.5,ACRE,.69999999,,10,CLEAR/SUNNY
1,0112-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0113-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,1.14,,12,PARTLY CLOUDY/PARTLY SUNNY
1,0115-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,RG01,1,ACRE,.57999998,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0116-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,1.3,,10,CLEAR/SUNNY
1,0117-002,PANEL A,Panel A - 2 Visits,YES,T01,BANANA GARDEN MIXED WITH,RG01,.25,ACRE,.0099999998,,10,CLEAR/SUNNY
2,0117-002,PANEL A,Panel A - 2 Visits,YES,T02,CASSAVA GARDEN,RG02,.5,ACRE,.5,,10,CLEAR/SUNNY
1,0118-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,.60000002,,11,MOSTLY CLEAR/MOSTLY SUNNY
2,0118-001,PANEL B,Panel B - 2 Visits,YES,T02,MANGO,RG02,.5,ACRE,1,,11,MOSTLY CLEAR/MOSTLY SUNNY
1,0119-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,.89999998,,10,PARTLY CLOUDY/PARTLY SUNNY
1,0119-002,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0120-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0121-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,.5,ACRE,.2,,12,CLEAR/SUNNY
1,0123-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0124-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0125-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0126-001,PANEL B,Panel B - 2 Visits,YES,T01,MUNDA WA CHINANGWA,RG01,.5,ACRE,.69999999,,10,CLEAR/SUNNY
1,0127-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA GARDEN,TG01,1,ACRE,1,,10,CLEAR/SUNNY
1,0128-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0128-003,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0128-004,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0129-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0129-002,PANEL A,Panel A - 2 Visits,YES,T01,MUNDA  WA  NTHOCHI,TG01,.25,ACRE,.2,,8,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,0130-001,PANEL B,Panel B - 2 Visits,YES,T01,BANANA GARDEN,RG01,.25,ACRE,.039999999,,11,CLEAR/SUNNY
2,0130-001,PANEL B,Panel B - 2 Visits,YES,T02,CASSAVA GARDEN,RG02,.5,ACRE,.80000001,,11,CLEAR/SUNNY
1,0131-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA  PLANTAINS,TG01,.5,ACRE,.60000002,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0132-001,PANEL B,Panel B - 2 Visits,YES,T01,BANANA,TG01,.5,ACRE,.2,,11,MOSTLY CLEAR/MOSTLY SUNNY
1,0133-002,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0134-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0135-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,RG01,.5,ACRE,.30000001,,10,COMPLETELY CLOUDY
1,0136-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,TG01,.2,ACRE,0,,12,CLEAR/SUNNY
2,0136-001,PANEL B,Panel B - 2 Visits,YES,T02,CASSAVA,TG02,.25,ACRE,.69,,12,CLEAR/SUNNY
1,0137-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,TG01,.25,ACRE,.1,,9,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,0138-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG01,1.5,ACRE,.25,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0139-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,TG01,.25,ACRE,.1,,9,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,0140-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,.37,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0141-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0142-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,.2,ACRE,.02,,10,CLEAR/SUNNY
2,0142-001,PANEL B,Panel B - 2 Visits,YES,T02,CASSAVA,RG01,1,ACRE,1.9,,10,CLEAR/SUNNY
3,0142-001,PANEL B,Panel B - 2 Visits,YES,T03,BANANA,RG01,.25,ACRE,.1,,10,CLEAR/SUNNY
1,0142-003,PANEL B,Panel B - 2 Visits,YES,T01,MANGO GARDEN,RG01,.2,ACRE,.0099999998,,10,CLEAR/SUNNY
2,0142-003,PANEL B,Panel B - 2 Visits,YES,T02,CASSAVA GARDEN,RG01,1,ACRE,1.1,,10,CLEAR/SUNNY
1,0143-002,PANEL A,Panel A - 2 Visits,YES,T01,BANANA  PLANTAINS,TG01,.1,ACRE,.1,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0144-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,TG01,1,ACRE,.80000001,,8,PARTLY CLOUDY/PARTLY SUNNY
2,0144-001,PANEL B,Panel B - 2 Visits,YES,T02,MANGO,TG02,.25,ACRE,.1,,8,PARTLY CLOUDY/PARTLY SUNNY
3,0144-001,PANEL B,Panel B - 2 Visits,YES,T03,ORANGE,TG03,.25,ACRE,.1,,8,PARTLY CLOUDY/PARTLY SUNNY
1,0145-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,TG01,.25,ACRE,.37,,11,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,0146-001,PANEL B,Panel B - 2 Visits,YES,T01,PAKAYA,RG01,3,ACRE,2,,12,PARTLY CLOUDY/PARTLY SUNNY
1,0147-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA  PLANTAINS,TG01,.30000001,ACRE,.1,,11,COMPLETELY CLOUDY
1,0148-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,1.4,,7,PARTLY CLOUDY/PARTLY SUNNY
1,0149-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,TG01,.25,ACRE,.2,,9,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,0152-001,PANEL B,Panel B - 2 Visits,YES,T01,BANANA GARDEN,RG01,.25,ACRE,.5,,10,CLEAR/SUNNY
2,0152-001,PANEL B,Panel B - 2 Visits,YES,T02,CASSAVA,RG01,.5,ACRE,.5,,10,CLEAR/SUNNY
1,0153-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA  GARDEN,RG01,.25,ACRE,.1,,8,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,0154-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0155-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,TG01,.25,ACRE,.30000001,,9,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,0156-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,TG01,.25,ACRE,.0099999998,,6,COMPLETELY CLOUDY
1,0157-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,RG02,.25,ACRE,.050000001,,8,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,0158-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0159-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,TG01,.25,ACRE,.18000001,,11,COMPLETELY CLOUDY
1,0160-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG01,1.75,ACRE,1.05,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0161-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,.5,ACRE,.63999999,,12,MOSTLY CLEAR/MOSTLY SUNNY
2,0161-001,PANEL A,Panel A - 2 Visits,YES,T02,CASSAVA,RG02,1,ACRE,1.0700001,,12,MOSTLY CLEAR/MOSTLY SUNNY
1,0161-006,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,TG01,.75,ACRE,.63999999,,12,MOSTLY CLEAR/MOSTLY SUNNY
1,0162-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO GARDEN,RG01,.1,SQUARE METERS,.0099999998,,10,CLEAR/SUNNY
1,0163-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA GARDEN,RG02,1,ACRE,.80000001,,11,CLEAR/SUNNY
1,0164-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0165-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA GARDEN,RG01,.5,ACRE,.5,,10,CLEAR/SUNNY
1,0166-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,1.1,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0167-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA GARIDEN,RG02,1,ACRE,1.4,,10,CLEAR/SUNNY
1,0168-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0168-002,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,1.34,,10,PARTLY CLOUDY/PARTLY SUNNY
1,0168-006,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0169-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,.30000001,ACRE,.2,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0170-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0171-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,.69999999,,9,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
