ea_id,com_ce01a,com_ce01a_os,com_ce01b,com_ce01b_os,com_ce01c,com_ce01c_os,com_ce02,com_ce03,com_ce04,com_ce05a,com_ce05a_os,com_ce05b,com_ce05b_os,com_ce06,com_ce07,com_ce08a,com_ce08a_os,com_ce08b,com_ce08b_os,com_ce09,com_ce10,com_ce11a,com_ce11b,com_ce12,com_ce13,com_ce14a,com_ce14b,com_ce15
10220103,FARMING,,FISHING,,"BEER BREWING, KACHASU",,NO,,,,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10220705,FARMING,,"BEER BREWING, KACHASU",,,,YES,1/4,URBAN CENTRES,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,CIVIL SERVICE,,YES,RURAL AREAS,FARMING,,,,YES,200,1,DAY,1/2,200,1,DAY,1/4
10301663,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,RURAL AREAS,FARMING,,FISHING,,NO,,,,,,,,
10302010,FARMING,,FISHING,,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,,,YES,RURAL AREAS,FISHING,,,,NO,,,,,,,,
10304012,FARMING,,FISHING,,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),HOUSEWORK,,,YES,RURAL AREAS,FISHING,,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,2400,2,WEEK,ALMOST NONE,2400,2,WEEK,ALMOST NONE
10305446,FISHING,,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,FARMING,,YES,RURAL AREAS,FISHING,,FARMING,,NO,,,,,,,,
10307413,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,FISHING,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOYS,OTHER (SPECIFY),NANNYING,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10308636,FISHING,,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,URBAN CENTRES,FARMING,,,,NO,,,,,,,,
10401140,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFFESSIONAL OCCUPATIONS,,YES,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10401502,FARMING,,FISHING,,,,YES,ALMOST NONE,RURAL AREAS,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10401522,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,ALMOST NONE,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFFESSIONAL OCCUPATIONS,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10404186,FISHING,,SMALL-SCALE TRADE & SERVICE PROVISION,,FARMING,,YES,ALMOST NONE,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,FISHING,,YES,RURAL AREAS,FISHING,,,,NO,,,,,,,,
10405213,FARMING,,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10501505,FARMING,,"FIREWOOD, CHARCOAL SELLING",,,,YES,1/4,URBAN CENTRES,CIVIL SERVICE,,,,NO,,,,,,NO,,,,,,,,
10501709,FARMING,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,OTHER (SPECIFY),QUASSING,YES,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOY,OTHER (SPECIFY),COOKS,YES,RURAL AREAS,FARMING,,OTHER (SPECIFY),HERDING ANIMALS,NO,,,,,,,,
10502268,FARMING,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,,,YES,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOYS,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10502593,FARMING,,OTHER (SPECIFY),GANYU,,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),CLEANERS,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10503367,FARMING,,"BEER BREWING, KACHASU",,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),GENERAL LABOR,,,NO,,,,,,NO,,,,,,,,
10505136,FARMING,,"BEER BREWING, KACHASU",,OTHER (SPECIFY),GOING TO RSA,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOYS/COOKS,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10505310,FARMING,,"BEER BREWING, KACHASU",,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOYS/COOKS,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10505508,FARMING,,,,,,YES,1/2,OUTSIDE MALAWI,OTHER (SPECIFY),CLEANERS,,,NO,,,,,,NO,,,,,,,,
10507175,FARMING,,,,,,YES,1/2,OUTSIDE MALAWI,OTHER (SPECIFY),GANYU,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10507344,FARMING,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,OTHER (SPECIFY),GANYU LABOUR,YES,ALMOST NONE,URBAN CENTRES,OTHER (SPECIFY),RSA LABOURER(GARDEN BOY/COOK),,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10509319,FARMING,,"BEER BREWING, KACHASU",,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOYS/COOKS,,,YES,RURAL AREAS,OTHER (SPECIFY),(TENANTS) FARMING LABOUR,,,NO,,,,,,,,
10510388,FARMING,,"BEER BREWING, KACHASU",,,,NO,,,,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
10732192,FARMING,,OTHER (SPECIFY),GANYU,,,NO,,,,,,,YES,RURAL AREAS,FARMING,,OTHER (SPECIFY),BUILDERS,YES,200,1,DAY,ALMOST NONE,200,1,DAY,ALMOST NONE
10733640,PROFFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,,,YES,1/2,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOY,,,YES,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,,,NO,,,,,,,,
10734370,SMALL-SCALE TRADE & SERVICE PROVISION,,,,,,YES,ALMOST NONE,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,URBAN CENTRES,FARMING,,,,YES,500,1,WEEK,ALMOST ALL,200,2,WEEK,ALMOST ALL
10734762,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,OTHER (SPECIFY),EMPLOYEES,,,YES,ALMOST NONE,URBAN CENTRES,OTHER (SPECIFY),GENERAL LABOR,,,YES,RURAL AREAS,OTHER (SPECIFY),LABOR,,,NO,,,,,,,,
10735173,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,CIVIL SERVICE,,,,YES,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),GARDEN BOY,,,NO,,,,,,NO,,,,,,,,
10736596,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,OTHER (SPECIFY),EMPLOYMENT,FARMING,,YES,ALMOST NONE,URBAN CENTRES,OTHER (SPECIFY),BUSINESS,,,YES,RURAL AREAS,OTHER (SPECIFY),WATCHMAN,,,NO,,,,,,,,
10741504,SMALL-SCALE TRADE & SERVICE PROVISION,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,FARMING,,NO,,,,,,,NO,,,,,,YES,200,12,DAY,1/4,200,12,DAY,3/4
10744649,SMALL-SCALE TRADE & SERVICE PROVISION,,FARMING,,,,YES,ALMOST NONE,URBAN CENTRES,CIVIL SERVICE,,,,YES,RURAL AREAS,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,,,,
10746033,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,FARMING,,,,NO,,,,,,,NO,,,,,,NO,,,,,,,,
10746244,SMALL-SCALE TRADE & SERVICE PROVISION,,FARMING,,,,NO,,,,,,,YES,RURAL AREAS,OTHER (SPECIFY),WATCHMAN/LABOURER,,,NO,,,,,,,,
20106042,FARMING,,"BEER BREWING, KACHASU",,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,FARMING,,"BEER BREWING, KACHASU",,NO,,,,,,,,
20110620,FARMING,,"BEER BREWING, KACHASU",,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,,,NO,,,,,,NO,,,,,,,,
20111718,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,NO,,,,,,,NO,,,,,,NO,,,,,,,,
20112661,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,NO,,,,,,,NO,,,,,,NO,,,,,,,,
20113112,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,NO,,,,,,,NO,,,,,,NO,,,,,,,,
20115434,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,NO,,,,,,,NO,,,,,,NO,,,,,,,,
20205207,FARMING,,,,,,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),GARDEN BOY,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
20206362,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,ALMOST NONE,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
20302539,FARMING,,,,,,NO,,,,,,,NO,,,,,,NO,,,,,,,,
20303065,FARMING,,,,,,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
20305301,FARMING,,,,,,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
20306557,FARMING,,,,,,YES,1/4,RURAL AREAS,FARMING,,,,NO,,,,,,NO,,,,,,,,
20402198,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,NO,,,,,,,NO,,,,,,NO,,,,,,,,
20404032,FARMING,,"FIREWOOD, CHARCOAL SELLING",,"BEER BREWING, KACHASU",,NO,,,,,,,NO,,,,,,NO,,,,,,,,
20404575,FARMING,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,"BEER BREWING, KACHASU",,NO,,,,,,,NO,,,,,,NO,,,,,,,,
20405366,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,NO,,,,,,,NO,,,,,,NO,,,,,,,,
20407398,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,RURAL AREAS,OTHER (SPECIFY),TENANT TOBACCO GROWING,,,NO,,,,,,NO,,,,,,,,
20407481,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,NO,,,,,,,NO,,,,,,NO,,,,,,,,
20507089,FARMING,,FISHING,,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,RURAL AREAS,FARMING,,FISHING,,YES,200,1,DAY,3/4,200,1,DAY,1/4
20507459,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,"FIREWOOD, CHARCOAL SELLING",,YES,1/4,RURAL AREAS,FARMING,,FISHING,,YES,RURAL AREAS,"BEER BREWING, KACHASU",,FARMING,,NO,,,,,,,,
20508349,FARMING,,"BEER BREWING, KACHASU",,"FIREWOOD, CHARCOAL SELLING",,NO,,,,,,,NO,,,,,,NO,,,,,,,,
20601141,FARMING,,,,,,YES,1/4,RURAL AREAS,FARMING,,,,NO,,,,,,NO,,,,,,,,
20601626,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,NO,,,,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
20602363,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
20603090,FARMING,,,,,,YES,1/4,RURAL AREAS,FARMING,,,,NO,,,,,,NO,,,,,,,,
20603533,SMALL-SCALE TRADE & SERVICE PROVISION,,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,,,YES,1/4,OUTSIDE MALAWI,FARMING,,,,NO,,,,,,NO,,,,,,,,
20604638,FARMING,,,,,,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),PIECE WORK,,,NO,,,,,,NO,,,,,,,,
20605302,FARMING,,,,,,NO,,,,,,,NO,,,,,,YES,,,,ALMOST NONE,,,,ALMOST NONE
20607260,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,FARMING,,,,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
20607315,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,ALMOST NONE,RURAL AREAS,FARMING,,,,NO,,,,,,YES,200,1,DAY,1/4,200,1,DAY,1/4
20610050,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,RURAL AREAS,FARMING,,,,NO,,,,,,YES,20,1,DAY,1/4,200,1,DAY,1/4
20610249,FARMING,,,,,,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
20613324,FARMING,,,,,,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,FARMING,,,,YES,200,1,DAY,1/4,200,1,DAY,1/4
20614477,FARMING,,,,,,NO,,,,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
20615064,FARMING,,,,,,YES,ALMOST NONE,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
20615735,FARMING,,,,,,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
20702471,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,NO,,,,,,,NO,,,,,,NO,,,,,,,,
20704738,FARMING,,"BEER BREWING, KACHASU",,,,YES,1/4,RURAL AREAS,FARMING,,,,NO,,,,,,YES,200,1,DAY,ALMOST NONE,200,1,DAY,ALMOST NONE
20705372,FARMING,,OTHER (SPECIFY),GANYU,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,,,YES,RURAL AREAS,OTHER (SPECIFY),TENANTS AT NEARBY ESTATE,,,NO,,,,,,,,
20706163,FARMING,,,,,,YES,1/4,RURAL AREAS,FARMING,,,,YES,RURAL AREAS,FARMING,,,,YES,200,1,DAY,1/4,200,1,DAY,3/4
20801046,FARMING,,TRANSPORT,,CIVIL SERVICE,,YES,1/4,OUTSIDE MALAWI,FARMING,,TRANSPORT,,YES,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,TRANSPORT,,NO,,,,,,,,
20802019,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,YES,1/4,OUTSIDE MALAWI,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,,,NO,,,,,,,,
20803156,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,TRANSPORT,,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,200,1,DAY,1/4,200,1,DAY,1/4
20804405,SMALL-SCALE TRADE & SERVICE PROVISION,,SMALL-SCALE TRADE & SERVICE PROVISION,,"FIREWOOD, CHARCOAL SELLING",,NO,,,,,,,NO,,,,,,NO,,,,,,,,
20804768,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,TRANSPORT,,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),HOUSEBOY,FARMING,,YES,RURAL AREAS,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,,,,
20806131,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,OTHER (SPECIFY),GARDEN BOYS,NO,,,,,,NO,,,,,,,,
20807727,FARMING,,"BEER BREWING, KACHASU",,FARMING,,NO,,,,,,,YES,RURAL AREAS,FARMING,,"FIREWOOD, CHARCOAL SELLING",,YES,2000,10,DAY,3/4,2000,10,DAY,1/4
20808421,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,YES,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,FARMING,,NO,,,,,,NO,,,,,,,,
20903583,FARMING,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,,,YES,1/4,RURAL AREAS,FARMING,,OTHER (SPECIFY),LABOR,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
20906524,FARMING,,,,,,NO,,,,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
20906605,FARMING,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,,,YES,1/4,URBAN CENTRES,FARMING,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
20908088,FARMING,,"FIREWOOD, CHARCOAL SELLING",,,,NO,,,,,,,NO,,,,,,NO,,,,,,,,
20908119,,,,,,,YES,1/4,URBAN CENTRES,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,,,YES,RURAL AREAS,FARMING,,,,NO,,,,,,,,
20909113,FARMING,,"BEER BREWING, KACHASU",,,,NO,,,,,,,YES,RURAL AREAS,OTHER (SPECIFY),GENERAL LABORER,,,NO,,,,,,,,
21037030,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,NO,,,,,,,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,OTHER (SPECIFY),GENERAL WORK,YES,6000,1,MONTH,ALMOST NONE,6000,1,MONTH,ALMOST NONE
21037536,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,NO,,,,,,,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,OTHER (SPECIFY),GENERAL WORK,YES,6000,1,MONTH,ALMOST NONE,6000,1,MONTH,ALMOST NONE
21048764,CIVIL SERVICE,,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFFESSIONAL OCCUPATIONS,,NO,,,,,,,YES,URBAN CENTRES,OTHER (SPECIFY),HOUSEWORK,,,NO,,,,,,,,
21051203,SMALL-SCALE TRADE & SERVICE PROVISION,,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,CIVIL SERVICE,,NO,,,,,,,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,NO,,,,,,,,
21052427,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,NO,,,,,,,YES,URBAN CENTRES,PROFFESSIONAL OCCUPATIONS,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,YES,200,1,DAY,1/4,200,1,DAY,1/4
21053745,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFFESSIONAL OCCUPATIONS,,"FIREWOOD, CHARCOAL SELLING",,NO,,,,,,,YES,RURAL AREAS,OTHER (SPECIFY),CASUAL DAILY WORK,,,NO,,,,,,,,
21055241,,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,NO,,,,,,,YES,RURAL AREAS,OTHER (SPECIFY),BUILDING,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,200,1,DAY,ALMOST NONE,200,1,DAY,ALMOST NONE
21055693,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFFESSIONAL OCCUPATIONS,,TRANSPORT,,NO,,,,,,,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,OTHER (SPECIFY),GENERAL WORK,NO,,,,,,,,
21066096,SMALL-SCALE TRADE & SERVICE PROVISION,,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,CIVIL SERVICE,,NO,,,,,,,NO,,,,,,YES,200,1,DAY,ALMOST NONE,200,1,DAY,ALMOST NONE
21066339,SMALL-SCALE TRADE & SERVICE PROVISION,,OTHER (SPECIFY),SHOP ASSISTANT,CIVIL SERVICE,,NO,,,,,,,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,OTHER (SPECIFY),SHOP ASSISTANTS,YES,200,1,DAY,ALMOST NONE,200,1,DAY,ALMOST NONE
21074510,OTHER (SPECIFY),GARDEN BOYS/COOKS,SMALL-SCALE TRADE & SERVICE PROVISION,,,,NO,,,,,,,YES,RURAL AREAS,OTHER (SPECIFY),GENERAL WORK IN PRIVATE HOUSE,,,YES,200,1,DAY,ALMOST NONE,200,1,DAY,ALMOST NONE
21077725,CIVIL SERVICE,,PROFFESSIONAL OCCUPATIONS,,OTHER (SPECIFY),PENSIONEERS,NO,,,,,,,YES,URBAN CENTRES,OTHER (SPECIFY),CASUAL LABORERS,,,NO,,,,,,,,
21080308,SMALL-SCALE TRADE & SERVICE PROVISION,,OTHER (SPECIFY),GENERAL WORK,PROFFESSIONAL OCCUPATIONS,,NO,,,,,,,YES,RURAL AREAS,PROFFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,YES,200,1,DAY,ALMOST NONE,200,1,DAY,ALMOST NONE
21081573,,,,,,,NO,,,,,,,YES,RURAL AREAS,SMALL-SCALE TRADE & SERVICE PROVISION,,OTHER (SPECIFY),PRIVATE COMPANIES,YES,200,1,DAY,ALMOST NONE,200,1,DAY,ALMOST NONE
21086069,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,,,YES,RURAL AREAS,LARGE SCALE-SCALE COMMERCIAL INDUSTRY,,OTHER (SPECIFY),WORKING IN PRIVATE HOMES,YES,200,1,DAY,1/4,200,1,DAY,1/4
21086436,FARMING,,OTHER (SPECIFY),GANYU,,,NO,,,,,,,YES,RURAL AREAS,OTHER (SPECIFY),GENERAL WORK,,,YES,200,1,DAY,ALMOST NONE,200,1,DAY,ALMOST NONE
21087531,SMALL-SCALE TRADE & SERVICE PROVISION,,OTHER (SPECIFY),PRIVATE COMPANIES,CIVIL SERVICE,,NO,,,,,,,YES,RURAL AREAS,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,OTHER (SPECIFY),GENERAL WORK,YES,2400,2,WEEK,ALMOST NONE,2400,2,WEEK,ALMOST NONE
21088597,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,"FIREWOOD, CHARCOAL SELLING",,NO,,,,,,,YES,RURAL AREAS,OTHER (SPECIFY),BRICK MAKING,FARMING,,NO,,,,,,,,
30101280,FISHING,,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,NO,,,,,,,YES,RURAL AREAS,FISHING,,,,NO,,,,,,,,
30101545,FARMING,,SMALL-SCALE TRADE & SERVICE PROVISION,,"FIREWOOD, CHARCOAL SELLING",,YES,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),GENERAL LABOR,,,NO,,,,,,NO,,,,,,,,
30102028,FARMING,,"FIREWOOD, CHARCOAL SELLING",,OTHER (SPECIFY),GANYU LABOUR,NO,,,,,,,NO,,,,,,YES,200,10,DAY,1/4,200,1,DAY,3/4
30102540,FARMING,,OTHER (SPECIFY),PIECE WORK,,,YES,1/4,URBAN CENTRES,OTHER (SPECIFY),GANYU,OTHER (SPECIFY),FORMAL EMPLOYMENT,NO,,,,,,YES,200,1,DAY,1/4,20,1,DAY,1/4
30103074,FARMING,,FISHING,,,,NO,,,,,,,NO,,,,,,NO,,,,,,,,
30104708,FARMING,,FISHING,,OTHER (SPECIFY),GOING TO SOUTH AFRICA,YES,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,"HANDICRAFT PRODUCTION,SMALL SCALE-INDUSTRY",,NO,,,,,,NO,,,,,,,,
