occ,y2_hhid,qx_type,interview_status,hh_i01,hh_i02,hh_i03
4,0003-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0003-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0003-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0003-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0003-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0003-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0004-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0004-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0004-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0004-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0004-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,15
6,0004-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0004-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0004-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,250
9,0004-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0005-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0005-001,PANEL A,Panel A - 2 Visits,YES,PARAFFIN OR KEROSENE,100
3,0005-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0005-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0005-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0005-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0005-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0005-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0005-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0006-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0006-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0006-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0006-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0006-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,0006-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0006-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0006-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0006-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0006-003,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0006-003,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0006-003,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0006-003,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0006-003,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,0006-003,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0006-003,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0006-003,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0006-003,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0007-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0007-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0007-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0007-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0007-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,60
6,0007-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0007-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0007-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0007-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0008-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0008-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0008-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0008-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0008-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,30
6,0008-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0008-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0008-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,2500
9,0008-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0008-003,PANEL B,Panel B - 2 Visits,YES,CHARCOAL,700
2,0008-003,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0008-003,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0008-003,PANEL B,Panel B - 2 Visits,YES,CANDLES,160
5,0008-003,PANEL B,Panel B - 2 Visits,YES,MATCHES,15
6,0008-003,PANEL B,Panel B - 2 Visits,YES,NEWSPAPERS OR MAGAZINES,500
7,0008-003,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0008-003,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,4500
9,0008-003,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0009-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0009-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0009-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0009-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0009-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0009-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0009-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0009-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0009-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0010-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0010-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0010-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0010-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0010-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,0010-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0010-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0010-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0010-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0010-002,PANEL B,Panel B - Combined Visit,YES,CHARCOAL,450
2,0010-002,PANEL B,Panel B - Combined Visit,NO,PARAFFIN OR KEROSENE,
3,0010-002,PANEL B,Panel B - Combined Visit,NO,CIGARETTES OR OTHER TOBACCO,
4,0010-002,PANEL B,Panel B - Combined Visit,YES,CANDLES,120
5,0010-002,PANEL B,Panel B - Combined Visit,YES,MATCHES,20
6,0010-002,PANEL B,Panel B - Combined Visit,NO,NEWSPAPERS OR MAGAZINES,
7,0010-002,PANEL B,Panel B - Combined Visit,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0010-002,PANEL B,Panel B - Combined Visit,YES,PUBLIC TRANSPORT - BUS / MINIBUS,1000
9,0010-002,PANEL B,Panel B - Combined Visit,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0011-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0011-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0011-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0011-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0011-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0011-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0011-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0011-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0011-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0011-004,PANEL A,Panel A - Combined Visit,YES,CHARCOAL,700
2,0011-004,PANEL A,Panel A - Combined Visit,NO,PARAFFIN OR KEROSENE,
3,0011-004,PANEL A,Panel A - Combined Visit,NO,CIGARETTES OR OTHER TOBACCO,
4,0011-004,PANEL A,Panel A - Combined Visit,NO,CANDLES,
5,0011-004,PANEL A,Panel A - Combined Visit,YES,MATCHES,20
6,0011-004,PANEL A,Panel A - Combined Visit,NO,NEWSPAPERS OR MAGAZINES,
7,0011-004,PANEL A,Panel A - Combined Visit,YES,PUBLIC TRANSPORT - BICYCLE TAXI,500
8,0011-004,PANEL A,Panel A - Combined Visit,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0011-004,PANEL A,Panel A - Combined Visit,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0012-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0012-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0012-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0012-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0012-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,0012-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0012-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0012-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0012-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0012-003,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0012-003,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0012-003,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0012-003,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0012-003,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0012-003,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0012-003,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0012-003,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,4000
9,0012-003,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0012-010,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0012-010,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0012-010,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0012-010,PANEL B,Panel B - 2 Visits,YES,CANDLES,80
5,0012-010,PANEL B,Panel B - 2 Visits,YES,MATCHES,30
6,0012-010,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0012-010,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0012-010,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,3500
9,0012-010,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0013-001,PANEL A,Panel A - 2 Visits,YES,CHARCOAL,900
2,0013-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0013-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0013-001,PANEL A,Panel A - 2 Visits,YES,CANDLES,50
5,0013-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,100
6,0013-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0013-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BICYCLE TAXI,100
8,0013-001,PANEL A,Panel A - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,500
9,0013-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0014-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0014-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0014-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0014-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0014-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,0014-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0014-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0014-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0014-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0015-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0015-001,PANEL A,Panel A - 2 Visits,YES,PARAFFIN OR KEROSENE,100
3,0015-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0015-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0015-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0015-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0015-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0015-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0015-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0016-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0016-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0016-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0016-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0016-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0016-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0016-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0016-001,PANEL B,Panel B - 2 Visits,YES,PUBLIC TRANSPORT - BUS / MINIBUS,150
9,0016-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0016-002,PANEL B,Panel B - Combined Visit,YES,CHARCOAL,1800
2,0016-002,PANEL B,Panel B - Combined Visit,NO,PARAFFIN OR KEROSENE,
3,0016-002,PANEL B,Panel B - Combined Visit,NO,CIGARETTES OR OTHER TOBACCO,
4,0016-002,PANEL B,Panel B - Combined Visit,NO,CANDLES,
5,0016-002,PANEL B,Panel B - Combined Visit,YES,MATCHES,20
6,0016-002,PANEL B,Panel B - Combined Visit,YES,NEWSPAPERS OR MAGAZINES,540
7,0016-002,PANEL B,Panel B - Combined Visit,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0016-002,PANEL B,Panel B - Combined Visit,YES,PUBLIC TRANSPORT - BUS / MINIBUS,2500
9,0016-002,PANEL B,Panel B - Combined Visit,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0017-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0017-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0017-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0017-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0017-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,20
6,0017-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0017-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0017-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0017-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0018-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0018-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0018-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0018-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0018-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0018-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0018-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0018-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0018-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0019-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0019-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0019-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0019-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0019-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,40
6,0019-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0019-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0019-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0019-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0020-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0020-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0020-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0020-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0020-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,0020-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0020-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0020-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0020-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0021-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0021-001,PANEL A,Panel A - 2 Visits,YES,PARAFFIN OR KEROSENE,100
3,0021-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0021-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0021-001,PANEL A,Panel A - 2 Visits,NO,MATCHES,
6,0021-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0021-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0021-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0021-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0022-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0022-001,PANEL B,Panel B - 2 Visits,YES,PARAFFIN OR KEROSENE,200
3,0022-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0022-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0022-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0022-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0022-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0022-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0022-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0023-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0023-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0023-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0023-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0023-001,PANEL A,Panel A - 2 Visits,YES,MATCHES,40
6,0023-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0023-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0023-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0023-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0024-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0024-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0024-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0024-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0024-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0024-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0024-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0024-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0024-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0025-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0025-001,PANEL A,Panel A - 2 Visits,YES,PARAFFIN OR KEROSENE,100
3,0025-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0025-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0025-001,PANEL A,Panel A - 2 Visits,NO,MATCHES,
6,0025-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0025-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0025-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0025-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0026-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0026-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0026-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0026-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0026-001,PANEL B,Panel B - 2 Visits,YES,MATCHES,20
6,0026-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0026-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
