occ,y2_hhid,case_id,qx_type,interview_status,ag_a21,ag_a23a_1,ag_a23a_2,ag_a23a_3,ag_a23a_4,ag_a23a_5,ag_a23a_6,ag_a23a_7,ag_a23a_8,ag_a23b_1,ag_a23b_2,ag_a23b_3,ag_a23b_4,ag_a23b_5,ag_a23b_6,ag_a23b_7,ag_a23b_8,ag_a23c_1,ag_a23c_2,ag_a23c_3,ag_a23c_4,ag_a23c_5,ag_a23c_6,ag_a23c_7,ag_a23c_8,ag_a24,ag_a26a,ag_a26b,ag_a26c,ag_a27,ag_a29a,ag_a29b,ag_a29c,ag_a35,ag_a37a_1,ag_a37a_2,ag_a37a_3,ag_a37a_4,ag_a37a_5,ag_a37a_6,ag_a37a_7,ag_a37a_8,ag_a37b_1,ag_a37b_2,ag_a37b_3,ag_a37b_4,ag_a37b_5,ag_a37b_6,ag_a37b_7,ag_a37b_8,ag_a38,ag_a37c_1,ag_a37c_2,ag_a37c_3,ag_a37c_4,ag_a37c_5,ag_a37c_6,ag_a37c_7,ag_a37c_8,ag_a40a,ag_a40b,ag_a40c,ag_a41,ag_a43a,ag_a43b,ag_a43c,ag_a44,ag_a46a,ag_a46b,ag_a46c,ag_b0a,ag_b101,ag_e01,ag_f0a,ag_g0a,ag_i00,ag_k0a,ag_m101,ag_m102,ag_m102_1,ag_p0a,ag_q0a,ag_s101,ag_t01
1,0009-001,101010040038,PANEL A,Panel A - 2 Visits,14,24,5,2013,8,19,8,17,ALL,,,,,,,,,,,,,,,,,10,26,5,2013,19,30,5,2013,21,31,8,2013,9,55,10,45,ALL,,,,,,,,,31,,,,,,,,,1,9,2013,19,8,9,2013,911,10,10,2013,YES,YES,YES,YES,YES,NO,YES,NO,,,,,NO,NO
1,0010-001,101010440031,PANEL B,Panel B - 2 Visits,14,20,7,2013,8,14,9,15,A-J,,,,,,,,,,,,,,,,,10,21,7,2013,19,26,7,2013,21,24,10,2013,11,0,10,32,AKLMWX1-X2,,,,,,,,,31,,,,,,,,,24,10,2013,19,26,10,2013,907,11,12,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,NO,NO
1,0011-001,101010040021,PANEL A,Panel A - 2 Visits,12,25,5,2013,13,20,14,2,A-J,,,,,,,,,,,,,,,,,10,27,5,2013,19,29,5,2013,12,30,8,2013,8,25,8,55,KLMW&X,,,,,,,,,31,,,,,,,,,1,9,2013,19,6,9,2013,911,9,10,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,NO
1,0012-001,101010440162,PANEL B,Panel B - 2 Visits,14,19,7,2013,7,32,8,51,A-J,,,,,,,,,,,,,,,,,10,20,7,2013,19,26,7,2013,21,24,10,2013,8,10,9,0,AKLMWX1-X4,,,,,,,,,31,,,,,,,,,25,10,2013,19,26,10,2013,907,10,12,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,NO,NO
1,0012-003,101010440162,PANEL B,Panel B - 2 Visits,14,21,7,2013,8,25,9,16,A-I,,,,,,,,,,,,,,,,,10,22,7,2013,19,29,7,2013,13,26,10,2013,8,46,9,39,K-X4,,,,,,,,,31,,,,,,,,,26,10,2013,19,26,10,2013,902,6,1,2014,NO,YES,NO,YES,YES,NO,YES,NO,,,,,NO,NO
1,0012-010,101010440162,PANEL B,Panel B - 2 Visits,14,20,7,2013,14,59,15,32,A-J,,,,,,,,,,,,,,,,,10,21,7,2013,19,29,7,2013,21,26,10,2013,9,53,10,27,"A,K,L,M,W,X1,X2",,,,,,,,,31,,,,,,,,,26,10,2013,19,26,10,2013,902,6,1,2014,NO,YES,NO,YES,YES,YES,YES,NO,,,,,NO,YES
1,0013-001,101010040026,PANEL A,Panel A - 2 Visits,12,26,5,2013,8,20,9,4,A-J,,,,,,,,,,,,,,,,,10,26,5,2013,19,30,5,2013,12,1,9,2013,13,26,14,0,KLMWEX,,,,,,,,,31,,,,,,,,,1,9,2013,19,8,9,2013,903,22,11,2013,YES,YES,YES,YES,YES,NO,YES,NO,,,,,NO,NO
1,0014-001,101010440205,PANEL B,Panel B - 2 Visits,12,19,7,2013,12,56,13,19,A-I,,,,,,,,,,,,,,,,,10,20,7,2013,19,26,7,2013,12,23,10,2013,13,20,13,39,KLMW&X,,,,,,,,,31,,,,,,,,,24,10,2013,19,25,10,2013,907,11,12,2013,YES,YES,YES,YES,YES,NO,YES,NO,,,,,NO,NO
1,0015-001,101010040045,PANEL A,Panel A - 2 Visits,12,24,5,2013,15,57,16,47,A-J,,,,,,,,,,,,,,,,,10,27,5,2013,19,29,5,2013,12,30,8,2013,9,20,10,6,KLMTUVWX,,,,,,,,,31,,,,,,,,,1,9,2013,19,6,9,2013,911,9,10,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,YES
1,0016-001,101010440086,PANEL B,Panel B - 2 Visits,12,20,7,2013,7,24,8,15,A-J,,,,,,,,,,,,,,,,,10,21,7,2013,19,26,7,2013,12,24,10,2013,8,2,8,29,KLMW&X,,,,,,,,,31,,,,,,,,,24,10,2013,19,25,10,2013,907,11,12,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,NO,NO
1,0017-001,101010040004,PANEL A,Panel A - 2 Visits,13,24,5,2013,14,33,15,33,A-J,,,,,,,,,,,,,,,,,10,27,5,2013,19,29,5,2013,13,31,8,2013,12,10,13,9,A-X,,,,,,,,,31,,,,,,,,,1,9,2013,19,6,9,2013,911,9,10,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,YES
1,0018-001,101010440075,PANEL B,Panel B - 2 Visits,12,20,7,2013,9,12,9,50,A-J,,,,,,,,,,,,,,,,,10,20,7,2013,19,26,7,2013,12,24,10,2013,8,40,9,19,KLMW & X,,,,,,,,,31,,,,,,,,,24,10,2013,19,25,10,2013,907,12,12,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,NO
1,0019-001,101010040059,PANEL A,Panel A - 2 Visits,14,24,5,2013,13,27,13,59,A TO J,,,,,,,,,,,,,,,,,10,27,5,2013,19,31,5,2013,21,30,8,2013,8,57,9,46,"K,L,M,W,X1-X4",,,,,,,,,31,,,,,,,,,1,9,2013,19,8,9,2013,911,11,10,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,NO
1,0020-001,101010440009,PANEL B,Panel B - 2 Visits,14,20,7,2013,12,5,12,46,A-J,,,,,,,,,,,,,,,,,10,21,7,2013,19,26,7,2013,21,25,10,2013,8,39,9,17,AKLMWX1-X2,,,,,,,,,31,,,,,,,,,25,10,2013,19,26,10,2013,907,11,12,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,NO,NO
1,0021-001,101010040001,PANEL A,Panel A - 2 Visits,11,25,5,2013,13,3,14,21,ALL,,,,,,,,,,,,,,,,,10,26,5,2013,19,29,5,2013,11,31,8,2013,10,38,11,38,ALL,,,,,,,,,31,,,,,,,,,1,9,2013,19,6,9,2013,911,8,10,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,NO,NO
1,0022-001,101010440195,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0023-001,101010040053,PANEL A,Panel A - 2 Visits,14,25,5,2013,14,15,14,37,A TO J,,,,,,,,,,,,,,,,,10,26,5,2013,19,30,5,2013,21,31,8,2013,8,33,9,35,"A,K,L,M,T,U,V,W,X1-4",,,,,,,,,31,,,,,,,,,1,9,2013,19,8,9,2013,911,10,10,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,YES
1,0024-001,101010440227,PANEL B,Panel B - 2 Visits,11,19,7,2013,12,50,13,42,ALL,,,,,,,,,,,,,,,,,10,20,7,2013,19,29,7,2013,11,25,10,2013,13,16,14,5,ALL,,,,,,,,,31,,,,,,,,,23,10,2013,19,25,10,2013,902,10,1,2014,YES,YES,NO,YES,YES,YES,YES,NO,,,,,NO,NO
1,0025-001,101010040034,PANEL A,Panel A - 2 Visits,12,25,5,2013,9,26,10,6,A-J,,,,,,,,,,,,,,,,,10,26,5,2013,19,28,5,2013,12,31,8,2013,11,10,11,56,KLMW&X,,,,,,,,,31,,,,,,,,,1,9,2013,19,6,9,2013,911,8,10,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,NO,NO
1,0026-001,101010440096,PANEL B,Panel B - 2 Visits,11,19,7,2013,7,15,8,16,ALL,,,,,,,,,,,,,,,,,10,20,7,2013,19,29,7,2013,11,23,10,2013,7,36,8,23,ALL,,,,,,,,,31,,,,,,,,,24,10,2013,19,25,10,2013,904,10,1,2014,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,NO
1,0027-001,101010040049,PANEL A,Panel A - 2 Visits,11,25,5,2013,10,10,11,0,ALL,,,,,,,,,,,,,,,,,10,26,5,2013,19,28,5,2013,11,31,8,2013,7,25,8,43,ALL,,,,,,,,,31,,,,,,,,,1,9,2013,19,6,9,2013,911,8,10,2013,YES,YES,NO,YES,YES,NO,YES,NO,,,,,NO,NO
1,0028-001,101010440118,PANEL B,Panel B - 2 Visits,13,19,7,2013,11,33,12,2,A-J,,,,,,,,,,,,,,,,,10,20,7,2013,19,26,7,2013,13,24,10,2013,13,6,14,25,K-X4,,,,,,,,,31,,,,,,,,,24,10,2013,19,25,10,2013,907,10,12,2013,YES,YES,NO,YES,YES,NO,YES,NO,,,,,NO,YES
1,0029-001,101010040048,PANEL A,Panel A - 2 Visits,11,24,5,2013,14,15,15,21,ALL,,,,,,,,,,,,,,,,,10,26,5,2013,19,28,5,2013,11,30,8,2013,10,10,11,25,ALL,,,,,,,,,31,,,,,,,,,1,9,2013,19,6,9,2013,911,8,10,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,NO
1,0030-001,101010440020,PANEL B,Panel B - 2 Visits,13,18,7,2013,13,18,13,55,A-J,,,,,,,,,,,,,,,,,10,19,7,2013,19,29,7,2013,13,23,10,2013,16,0,17,12,K-X4,,,,,,,,,31,,,,,,,,,24,10,2013,19,25,10,2013,902,4,1,2014,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,YES
1,0031-001,101010040040,PANEL A,Panel A - 2 Visits,11,24,5,2013,10,22,11,12,ALL,,,,,,,,,,,,,,,,,10,26,5,2013,19,28,5,2013,11,30,8,2013,7,9,8,19,ALL,,,,,,,,,31,,,,,,,,,1,9,2013,19,6,9,2013,911,8,10,2013,YES,YES,YES,YES,YES,NO,YES,NO,,,,,NO,NO
1,0032-001,101010440140,PANEL B,Panel B - 2 Visits,13,19,7,2013,9,57,10,34,A-J,,,,,,,,,,,,,,,,,10,20,7,2013,19,26,7,2013,13,24,10,2013,10,20,11,18,K-X4,,,,,,,,,31,,,,,,,,,24,10,2013,19,25,10,2013,907,10,12,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,NO,NO
1,0033-001,101010630180,PANEL A,Panel A - 2 Visits,14,29,4,2013,15,12,16,24,A-H,,,,,,,,,,,,,,,,,10,30,4,2013,19,2,5,2013,14,8,8,2013,9,12,10,35,A-X,,,,,,,,,30,,,,,,,,,9,8,2013,19,13,8,2013,904,16,9,2013,YES,YES,NO,NO,YES,NO,YES,NO,,,,,YES,YES
1,0034-001,101010660071,PANEL B,Panel B - 2 Visits,11,7,5,2013,17,24,17,54,ALL,,,,,,,,,,,,,,,,,10,8,5,2013,19,10,5,2013,11,23,8,2013,15,20,16,43,ALL,,,,,,,,,31,,,,,,,,,23,8,2013,19,28,8,2013,903,20,11,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,NO,NO
1,0035-001,101010630060,PANEL A,Panel A - 2 Visits,11,29,4,2013,15,25,16,12,ALL,,,,,,,,,,,,,,,,,10,30,4,2013,19,2,5,2013,11,8,8,2013,8,25,10,56,ALL,,,,,,,,,30,,,,,,,,,9,8,2013,19,13,8,2013,904,16,9,2013,YES,YES,NO,NO,YES,YES,YES,NO,,,,,YES,YES
1,0036-001,101010660054,PANEL B,Panel B - 2 Visits,12,6,5,2013,7,4,7,46,A-J,,,,,,,,,,,,,,,,,10,7,5,2013,19,11,5,2013,12,23,8,2013,11,31,12,23,ALL,,,,,,,,,31,,,,,,,,,23,8,2013,19,27,8,2013,915,8,10,2013,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,NO
1,0037-001,101010630009,PANEL A,Panel A - 2 Visits,12,29,4,2013,9,10,10,0,A-J,,,,,,,,,,,,,,,,,10,30,4,2013,19,2,5,2013,12,8,8,2013,8,30,9,33,K-X,,,,,,,,,30,,,,,,,,,9,8,2013,19,13,8,2013,904,18,9,2013,YES,YES,NO,YES,YES,NO,YES,NO,,,,,NO,YES
1,0038-001,101010660024,PANEL B,Panel B - 2 Visits,14,6,5,2013,7,13,8,3,,,,,,,,,,,,,,,,,,10,7,5,2013,19,11,5,2013,21,22,8,2013,8,25,8,56,"A,K,L,M,W,X1,X2",,,,,,,,,31,,,,,,,,,22,8,2013,19,28,8,2013,915,9,10,2013,YES,YES,NO,YES,YES,NO,YES,NO,,,,,NO,NO
1,0040-001,101010660003,PANEL B,Panel B - 2 Visits,13,6,5,2013,6,59,7,45,A-J,,,,,,,,,,,,,,,,,10,7,5,2013,19,11,5,2013,13,22,8,2013,8,46,10,16,K-X4,,,,,,,,,31,,,,,,,,,23,8,2013,19,27,8,2013,915,8,10,2013,YES,YES,NO,YES,YES,YES,YES,YES,NO,,YES,YES,NO,YES
1,0041-001,101010630068,PANEL A,Panel A - 2 Visits,13,30,4,2013,9,0,10,38,A-J,,,,,,,,,,,,,,,,,10,1,5,2013,19,3,5,2013,13,9,8,2013,10,49,12,29,K-X4,,,,,,,,,30,,,,,,,,,9,8,2013,19,13,5,2013,904,18,9,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,YES,YES
1,0042-001,101010660011,PANEL B,Panel B - 2 Visits,14,7,5,2013,11,15,12,20,A TO J,,,,,,,,,,,,,,,,,10,7,5,2013,19,11,5,2013,21,23,8,2013,8,19,9,7,"A,K,B,L,M,W,X1,X2,X3",,,,,,,,,31,,,,,,,,,23,8,2013,19,27,8,2013,915,5,10,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,NO,NO
1,0043-001,101010630254,PANEL A,Panel A - 2 Visits,13,29,4,2013,8,15,9,26,A - J,,,,,,,,,,,,,,,,,10,30,4,2013,19,1,5,2013,13,8,8,2013,7,3,8,21,K-X,,,,,,,,,30,,,,,,,,,9,8,2013,19,12,8,2013,904,16,9,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,YES
1,0044-001,101010660020,PANEL B,Panel B - 2 Visits,14,6,5,2013,8,38,9,41,A TO I,,,,,,,,,,,,,,,,,10,7,5,2013,19,11,5,2013,21,22,8,2013,10,23,11,10,AKLMWX1X2X3X4,,,,,,,,,31,,,,,,,,,22,8,2013,19,27,8,2013,915,7,10,2013,YES,YES,YES,YES,YES,NO,YES,NO,,,,,NO,NO
1,0045-001,101010630033,PANEL A,Panel A - 2 Visits,13,29,4,2013,11,49,12,42,A-J,,,,,,,,,,,,,,,,,10,30,4,2013,19,1,5,2013,13,8,8,2013,9,7,10,6,K   X,,,,,,,,,30,,,,,,,,,9,8,2013,19,13,8,2013,904,16,9,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,YES,YES
1,0046-001,101010660079,PANEL B,Panel B - 2 Visits,11,6,5,2013,9,32,10,38,ALL,,,,,,,,,,,,,,,,,10,7,5,2013,19,11,5,2013,11,22,8,2013,14,7,15,35,ALL,,,,,,,,,31,,,,,,,,,22,8,2013,19,27,8,2013,915,9,10,2013,YES,YES,YES,YES,YES,NO,YES,NO,,,,,NO,NO
1,0047-001,101010630096,PANEL A,Panel A - 2 Visits,12,29,4,2013,11,50,12,0,A-J,,,,,,,,,,,,,,,,,10,1,5,2013,19,2,5,2013,12,8,8,2013,7,28,8,21,K-X,,,,,,,,,30,,,,,,,,,9,8,2013,19,13,8,2013,903,20,11,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,YES,YES
1,0048-001,101010660045,PANEL B,Panel B - 2 Visits,12,6,5,2013,11,0,12,6,A-J,,,,,,,,,,,,,,,,,10,7,5,2013,19,10,5,2013,12,23,8,2013,8,37,9,16,ALL,,,,,,,,,31,,,,,,,,,23,8,2013,19,28,8,2013,903,22,11,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,YES
1,0049-001,101010630207,PANEL A,Panel A - 2 Visits,14,29,4,2013,9,9,10,25,A-J,,,,,,,,,,,,,,,,,10,30,4,2013,19,2,5,2013,14,8,8,2013,7,7,8,2,A-X,,,,,,,,,30,,,,,,,,,9,8,2013,19,13,8,2013,904,17,9,2013,YES,YES,NO,NO,YES,YES,YES,NO,,,,,NO,YES
1,0050-001,101010660037,PANEL B,Panel B - 2 Visits,12,7,5,2013,13,15,14,15,A-J,,,,,,,,,,,,,,,,,10,8,5,2012,19,11,5,2013,12,22,8,2013,11,20,12,17,ALL,,,,,,,,,31,,,,,,,,,22,8,2013,19,27,8,2013,915,7,10,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,YES
1,0051-001,101010630070,PANEL A,Panel A - 2 Visits,11,30,4,2013,8,56,10,5,ALL,,,,,,,,,,,,,,,,,10,30,4,2013,19,2,5,2013,11,9,8,2013,12,5,14,11,ALL,,,,,,,,,30,,,,,,,,,9,8,2013,19,13,8,2013,904,17,9,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,NO,NO
1,0052-001,101010660028,PANEL B,Panel B - 2 Visits,11,6,5,2013,7,2,8,20,ALL,,,,,,,,,,,,,,,,,10,7,5,2013,19,11,5,2013,11,22,8,2013,9,25,10,45,ALL,,,,,,,,,31,,,,,,,,,22,8,2013,19,27,8,2013,915,8,10,2013,YES,YES,YES,YES,YES,NO,YES,NO,,,,,NO,NO
1,0053-002,101010630235,PANEL A,Panel A - 2 Visits,14,30,4,2013,9,17,10,11,A-J,,,,,,,,,,,,,,,,,10,1,5,2013,19,2,5,2013,14,9,8,2013,11,32,12,35,A-X,,,,,,,,,30,,,,,,,,,9,8,2013,19,13,8,2013,903,20,11,2013,YES,YES,NO,YES,YES,NO,YES,NO,,,,,NO,NO
1,0054-001,101010660041,PANEL B,Panel B - 2 Visits,12,7,5,2013,8,44,9,47,A-J,,,,,,,,,,,,,,,,,10,8,5,2013,19,10,5,2013,12,22,8,2013,8,47,9,46,ALL,,,,,,,,,31,,,,,,,,,22,8,2013,19,26,8,2013,915,5,10,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,YES
1,0055-001,101010630086,PANEL A,Panel A - 2 Visits,11,29,4,2013,10,45,12,7,ALL,,,,,,,,,,,,,,,,,10,30,4,2013,19,3,5,2013,11,8,8,2013,12,30,15,11,ALL,,,,,,,,,30,,,,,,,,,9,8,2013,19,13,8,2013,904,19,9,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,YES,YES
1,0056-001,101010660058,PANEL B,Panel B - 2 Visits,13,6,5,2013,13,22,14,5,A-J,,,,,,,,,,,,,,,,,10,7,5,2013,19,11,5,2013,13,23,8,2013,12,46,14,17,K-X4,,,,,,,,,31,,,,,,,,,23,8,2013,19,27,8,2013,915,9,10,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,YES
1,0057-001,101010630074,PANEL A,Panel A - 2 Visits,11,30,4,2013,13,10,14,37,ALL,,,,,,,,,,,,,,,,,10,1,5,2013,,,,,11,9,8,2013,7,30,10,40,ALL,,,,,,,,,30,,,,,,,,,9,8,2013,19,13,8,2013,904,19,8,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,YES,YES
1,0058-001,101010660075,PANEL B,Panel B - 2 Visits,11,7,5,2013,11,31,12,15,ALL,,,,,,,,,,,,,,,,,10,8,5,2013,19,11,5,2013,11,23,8,2013,9,45,11,27,ALL,,,,,,,,,31,,,,,,,,,23,8,2013,19,28,8,2013,915,9,10,2013,YES,YES,NO,YES,YES,NO,YES,NO,,,,,NO,YES
1,0059-001,101010630159,PANEL A,Panel A - 2 Visits,12,30,4,2013,15,0,15,40,A -J,,,,,,,,,,,,,,,,,10,1,5,2013,19,2,5,2013,12,8,8,2013,11,4,11,48,K-X,,,,,,,,,30,,,,,,,,,9,8,2013,19,13,8,2013,904,17,9,2013,YES,YES,YES,NO,YES,NO,YES,NO,,,,,NO,YES
1,0060-001,101010660087,PANEL B,Panel B - 2 Visits,14,7,5,2013,13,37,14,19,A TO I,,,,,,,,,,,,,,,,,10,8,5,2013,19,11,5,2013,21,23,8,2013,10,44,11,21,"A,R,LM,W,X1,X2",,,,,,,,,31,,,,,,,,,23,8,2013,19,28,8,2013,915,10,10,2013,YES,YES,YES,YES,YES,NO,YES,NO,,,,,NO,NO
1,0061-001,101010630069,PANEL A,Panel A - 2 Visits,13,29,4,2013,14,58,15,52,A-J,,,,,,,,,,,,,,,,,10,30,4,2013,19,2,5,2013,13,9,8,2013,9,4,10,1,K-X,,,,,,,,,30,,,,,,,,,9,8,2013,19,13,8,2013,904,18,9,2013,YES,YES,YES,YES,YES,NO,YES,NO,,,,,NO,YES
1,0062-002,101010660007,PANEL B,Panel B - 2 Visits,13,7,5,2013,8,8,9,36,A-J,,,,,,,,,,,,,,,,,10,8,5,2013,19,11,5,2013,13,22,8,2013,11,50,12,33,A K-X1,,,,,,,,,31,,,,,,,,,22,8,2013,19,27,8,2013,915,7,10,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,YES,YES
1,0063-001,101010630143,PANEL A,Panel A - 2 Visits,12,30,4,2013,8,20,9,0,A-J,,,,,,,,,,,,,,,,,10,1,5,2013,19,2,5,2013,12,9,8,2013,13,15,14,14,K-X,,,,,,,,,30,,,,,,,,,9,8,2013,19,13,8,2013,903,20,11,2013,YES,YES,NO,YES,YES,YES,YES,NO,,,,,NO,YES
1,0064-001,101010660062,PANEL B,Panel B - 2 Visits,13,7,5,2013,10,20,11,12,A-J,,,,,,,,,,,,,,,,,10,8,5,2013,19,11,5,2013,13,23,8,2013,9,40,10,44,K-X1,,,,,,,,,31,,,,,,,,,23,8,2013,19,28,8,2013,915,9,10,2013,YES,YES,YES,YES,YES,YES,YES,NO,,,,,NO,YES
1,0065-001,101020310034,PANEL A,Panel A - 2 Visits,14,9,5,2013,9,36,9,54,ATOJ,,,,,,,,,,,,,,,,,10,10,5,2013,19,16,5,2013,21,25,8,2013,8,44,9,41,"A,K,L,M,T,U,V,W,X1,X",,,,,,,,,31,,,,,,,,,25,8,2013,19,29,8,2013,902,16,10,2013,YES,YES,YES,YES,YES,NO,YES,NO,,,,,NO,YES
