occ,y2_hhid,qx_type,interview_status,ag_t0a,ag_t01,ag_t02
10,0003-001,PANEL A,Panel A - 2 Visits,FORESTRY,YES,GOV. AGRICULTURAL EXTENSION SERVICE
11,0003-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0003-001,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
13,0003-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0003-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0004-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
2,0004-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,YES,GOV. AGRICULTURAL EXTENSION SERVICE
3,0004-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,0004-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0004-001,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0004-001,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0004-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0004-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0004-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0004-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0004-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0004-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0004-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0004-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0005-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,0005-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,0005-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,0005-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0005-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,0005-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0005-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0005-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0005-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0005-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0005-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0005-001,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0005-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0005-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0006-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,0006-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0006-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,0006-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0006-001,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0006-001,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0006-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0006-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0006-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0006-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0006-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0006-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0006-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0006-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0006-003,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,0006-003,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0006-003,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,0006-003,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0006-003,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0006-003,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0006-003,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0006-003,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0006-003,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0006-003,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0006-003,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0006-003,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0006-003,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0006-003,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0007-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,0007-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,0007-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,0007-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0007-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,0007-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0007-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0007-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0007-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0007-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0007-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0007-001,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0007-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0007-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0008-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
2,0008-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,YES,GOV. AGRICULTURAL EXTENSION SERVICE
3,0008-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,0008-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0008-001,PANEL B,Panel B - 2 Visits,IRRIGATION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
6,0008-001,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0008-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0008-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0008-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0008-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0008-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0008-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0008-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0008-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0008-003,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,0008-003,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0008-003,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,0008-003,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0008-003,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0008-003,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0008-003,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0008-003,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0008-003,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0008-003,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0008-003,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0008-003,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0008-003,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0008-003,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0009-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,0009-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,0009-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,0009-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0009-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,0009-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0009-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0009-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0009-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0009-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0009-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0009-001,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0009-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0009-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0010-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,0010-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0010-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,0010-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0010-001,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0010-001,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0010-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0010-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0010-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0010-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0010-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0010-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0010-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0010-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0011-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
2,0011-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,YES,GOV. AGRICULTURAL EXTENSION SERVICE
3,0011-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,0011-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,YES,GOV. AGRICULTURAL EXTENSION SERVICE
5,0011-001,PANEL A,Panel A - 2 Visits,IRRIGATION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
6,0011-001,PANEL A,Panel A - 2 Visits,COMPOSTING,YES,GOV. AGRICULTURAL EXTENSION SERVICE
7,0011-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0011-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0011-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0011-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0011-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0011-001,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0011-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0011-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0012-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,0012-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0012-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,0012-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0012-001,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0012-001,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0012-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0012-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0012-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0012-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0012-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0012-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0012-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0012-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0012-003,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
2,0012-003,PANEL B,Panel B - 2 Visits,PEST CONTROL,YES,GOV. AGRICULTURAL EXTENSION SERVICE
3,0012-003,PANEL B,Panel B - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,0012-003,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0012-003,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0012-003,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0012-003,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0012-003,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0012-003,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0012-003,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0012-003,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0012-003,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0012-003,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0012-003,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0012-010,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
2,0012-010,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0012-010,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,0012-010,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0012-010,PANEL B,Panel B - 2 Visits,IRRIGATION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
6,0012-010,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0012-010,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0012-010,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0012-010,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0012-010,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0012-010,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0012-010,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0012-010,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0012-010,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0013-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
2,0013-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,YES,GOV. AGRICULTURAL EXTENSION SERVICE
3,0013-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,0013-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0013-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,0013-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0013-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0013-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0013-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0013-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0013-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0013-001,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0013-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0013-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0014-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,0014-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0014-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,NO,
4,0014-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0014-001,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0014-001,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0014-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0014-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0014-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0014-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0014-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0014-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0014-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0014-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0015-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,0015-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
3,0015-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
4,0015-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0015-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,0015-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0015-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0015-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0015-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0015-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0015-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0015-001,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0015-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0015-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0016-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,NO,
2,0016-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,YES,GOV. AGRICULTURAL EXTENSION SERVICE
3,0016-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,0016-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0016-001,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0016-001,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0016-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0016-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0016-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0016-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0016-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0016-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0016-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0016-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0017-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
2,0017-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,YES,GOV. AGRICULTURAL EXTENSION SERVICE
3,0017-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,0017-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0017-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,0017-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0017-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0017-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0017-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0017-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0017-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0017-001,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
13,0017-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0017-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0018-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
2,0018-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,NO,
3,0018-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,0018-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0018-001,PANEL B,Panel B - 2 Visits,IRRIGATION,YES,OTHER FARMER (NEIGHBOR/RELATIVE)
6,0018-001,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0018-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0018-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0018-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0018-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0018-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0018-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0018-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0018-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0019-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,NO,
2,0019-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,NO,
3,0019-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,NO,
4,0019-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0019-001,PANEL A,Panel A - 2 Visits,IRRIGATION,NO,
6,0019-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
