HHID,case_id,qx_type,visit,PID,id_code,ea_id,hh_e01,hh_e02,hh_e03,hh_e04,hh_e05,hh_e06,hh_e07,hh_e08,hh_e09,hh_e10,hh_e11,hh_e12,hh_e13,hh_e14,hh_e15,hh_e15_os,hh_e16,hh_e17,hh_e18,hh_e19a,hh_e19b,hh_e20a,hh_e20b,hh_e21,hh_e21_os,hh_e22,hh_e23,hh_e24,hh_e25,hh_e26a,hh_e26b,hh_e27,hh_e28a,hh_e28b,hh_e29,hh_e30,hh_e31,hh_e32,hh_e33a,hh_e33b,hh_e34a,hh_e34b,hh_e35,hh_e36,hh_e37,hh_e38,hh_e39,hh_e40a,hh_e40b,hh_e41,hh_e42a,hh_e42b,hh_e43,hh_e44,hh_e45,hh_e46,hh_e47a,hh_e47b,hh_e48a,hh_e48b,hh_e49,hh_e49_os,hh_e50,hh_e51,hh_e52,hh_e53,hh_e54,hh_e55,hh_e56,hh_e57,hh_e58,hh_e59,hh_e60,hh_e61,hh_e62,hh_e63,hh_e64,hh_e65
35,101010160060,Panel A,1,003508,8,10101016,8,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,003509,9,10101016,9,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,003510,10,10101016,10,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,004101,1,10101016,1,,Yes,,0,0,6,36,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,3,4,5,200,No,,,,,
41,101010160068,Panel A,1,004102,2,10101016,2,,No,1,.5,.5,6,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,Yes,2,0,2,No,2
41,101010160068,Panel A,1,004103,3,10101016,3,,No,1,0,0,0,0,0,0,0,0,No,Yes,Other (specify),SCHOOL,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,2,4,3,170,No,,,,,
41,101010160068,Panel A,1,004104,4,10101016,4,,No,1,0,0,0,0,0,0,0,0,No,Yes,Other (specify),SCHOOL,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
41,101010160068,Panel A,1,004105,5,10101016,5,,No,1,.5,0,0,0,0,0,0,0,No,Yes,Other (specify),SCHOOL,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
41,101010160068,Panel A,1,004106,6,10101016,6,,No,1,0,0,0,0,0,0,0,0,No,Yes,Other (specify),SCHOOL,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
41,101010160068,Panel A,1,004107,7,10101016,7,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,004108,8,10101016,8,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,004109,9,10101016,9,,No,1,0,0,5,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
61,101010160069,Panel A,1,006101,1,10101016,1,,Yes,,1,1,3,0,0,2,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,1,2,7,150,Yes,1,0,1,No,1
51,101010160070,Panel A,1,005101,1,10101016,1,,Yes,,0,0,4,0,0,0,12,0,Yes,,,,,,Yes,GROUND LABOURER,Labourers not elsewhere classified,MAKING ANIMAL FEEDS,31,Government,,12,4,8.5,10750,1,Month,0,,,No,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,Yes,1,1,0,No,50
51,101010160070,Panel A,1,005102,2,10101016,2,,No,1,.5,.5,10,6,6,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,Yes,1,1,0,No,60
51,101010160070,Panel A,1,005103,3,10101016,3,,No,1,.5,.5,2,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,Yes,1,1,0,No,60
51,101010160070,Panel A,1,005104,4,10101016,4,,No,1,0,0,0,0,0,0,0,0,No,No,,,No,Yes,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,Yes,1,1,0,No,60
51,101010160070,Panel A,1,005105,5,10101016,5,,No,1,0,0,0,0,0,0,0,0,No,No,,,No,Yes,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,Yes,1,1,0,No,20
51,101010160070,Panel A,1,005106,6,10101016,6,,No,1,.5,0,0,0,0,0,0,0,No,No,,,No,Yes,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,Yes,1,1,0,No,60
51,101010160070,Panel A,1,005107,7,10101016,7,,No,1,0,0,0,0,0,0,0,0,No,No,,,No,Yes,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,Yes,1,1,0,No,60
51,101010160070,Panel A,1,005108,8,10101016,8,,No,1,0,0,0,0,0,0,0,0,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
51,101010160070,Panel A,1,005109,9,10101016,9,,No,1,0,0,0,0,0,0,0,0,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
51,101010160070,Panel A,1,005110,10,10101016,10,,No,1,0,0,0,0,0,0,0,0,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
51,101010160070,Panel A,1,005111,11,10101016,11,,No,1,0,0,0,0,0,0,0,0,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
57,101010160074,Panel A,1,005701,1,10101016,1,,Yes,,0,0,0,0,0,0,8,0,Yes,,,,,,Yes,FOREST GUARD,"Building caretakers, cleaners, and related workers",FOREST DEPARTMENT,12,Government,,12,4,40,11150,1,Month,0,,,No,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
57,101010160074,Panel A,1,005702,2,10101016,2,,No,1,.5,.5,0,0,0,0,0,0,No,Yes,Ill,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,Yes,1,1,0,No,3
57,101010160074,Panel A,1,005703,3,10101016,3,,No,1,0,0,0,0,0,0,0,0,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
57,101010160074,Panel A,1,005704,4,10101016,4,,No,1,.5,0,6,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,Yes,1,1,0,No,3
57,101010160074,Panel A,1,005705,5,10101016,5,,No,1,0,0,6,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,1,1,3,200,Yes,1,1,0,No,3
57,101010160074,Panel A,1,005706,6,10101016,6,,No,1,0,0,6,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
57,101010160074,Panel A,1,005707,7,10101016,7,,No,1,.5,0,6,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
57,101010160074,Panel A,1,005708,8,10101016,8,,No,1,0,0,0,0,0,0,0,0,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
57,101010160074,Panel A,1,005709,9,10101016,9,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,005710,10,10101016,10,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,005501,1,10101016,1,,Yes,,0,0,0,0,0,0,48,0,Yes,,,,,,Yes,TEACHER,Teachers,PRIMARY SCHOOL,93,Government,,12,4,8,23086,1,Month,0,,,No,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
55,101010160086,Panel A,1,005502,2,10101016,2,,Yes,,.5,.5,0,0,0,0,0,0,No,Yes,Not farming season,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,Yes,1,1,0,No,1
55,101010160086,Panel A,1,005503,3,10101016,3,,No,1,0,0,0,0,0,0,0,0,No,Yes,Not farming season,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
55,101010160086,Panel A,1,005504,4,10101016,4,,No,1,0,0,0,0,0,0,0,0,No,Yes,Not farming season,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
55,101010160086,Panel A,1,005505,5,10101016,5,,No,1,0,.5,0,0,0,0,0,0,No,Yes,Not farming season,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
55,101010160086,Panel A,1,005506,6,10101016,6,,No,1,.5,0,0,0,0,0,0,0,No,Yes,Not farming season,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
55,101010160086,Panel A,1,005507,7,10101016,7,,No,1,.5,0,0,0,0,0,0,0,No,Yes,Not farming season,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
55,101010160086,Panel A,1,005508,8,10101016,8,,No,1,0,0,0,0,0,0,0,0,No,Yes,Not farming season,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
55,101010160086,Panel A,1,005509,9,10101016,9,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,005510,10,10101016,10,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,005511,11,10101016,11,,No,1,.5,.5,0,0,0,0,0,0,No,Yes,Not farming season,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
47,101010160096,Panel A,1,004701,1,10101016,1,,Yes,,.5,0,0,0,0,3,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,1,2,3,160,Yes,1,1,0,No,3
47,101010160096,Panel A,1,004702,2,10101016,2,,No,1,.5,.5,0,0,0,0,0,0,No,Yes,Not farming season,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,1,2,3,160,Yes,1,1,0,No,3
47,101010160096,Panel A,1,004703,3,10101016,3,,No,1,.5,.5,0,0,0,0,0,0,No,Yes,Not farming season,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
47,101010160096,Panel A,1,004704,4,10101016,4,,No,1,0,0,0,0,0,0,0,0,No,Yes,Not farming season,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
47,101010160096,Panel A,1,004705,5,10101016,5,,No,1,0,0,0,0,0,0,0,0,No,Yes,Not farming season,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
47,101010160096,Panel A,1,004706,6,10101016,6,,No,1,0,0,0,0,0,0,0,0,No,Yes,Not farming season,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
47,101010160096,Panel A,1,004707,7,10101016,7,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,006301,1,10101016,1,,Yes,,0,0,10,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,1,4,5,100,Yes,2,1,1,No,7
63,101010160143,Panel A,1,006302,2,10101016,2,,Yes,,.5,.5,10,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,1,4,5,100,Yes,2,1,1,No,15
63,101010160143,Panel A,1,006303,3,10101016,3,,No,2,.5,0,0,0,0,0,0,0,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
63,101010160143,Panel A,1,006304,4,10101016,4,,No,2,0,0,0,0,0,0,0,0,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
63,101010160143,Panel A,1,006305,5,10101016,5,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,006306,6,10101016,6,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,005901,1,10101016,1,,Yes,,1,1,1,0,0,2,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,1,4,3,200,No,,,,,
59,101010160159,Panel A,1,005902,2,10101016,2,,No,1,1,1,1,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
59,101010160159,Panel A,1,005903,3,10101016,3,,No,1,1,1,1,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
33,101010160180,Panel A,1,003301,1,10101016,1,,No,2,0,0,30,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,4,2,3,300,No,,,,,
33,101010160180,Panel A,1,003302,2,10101016,2,,Yes,,.5,1,25,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,3,1,6,200,No,,,,,
33,101010160180,Panel A,1,003303,3,10101016,3,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,004901,1,10101016,1,,Yes,,.1,0,12,0,0,10,0,0,Yes,,,,,,Yes,LABOURER CONSTRUCTION,"Bricklayers, carpenters and other const",ROAD CONSTRUCTION,50,MASAF/Public Works Program,,3,4,12,1800,1,Month,0,,,No,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,2,1,1,350,Yes,1,1,0,No,2
49,101010160207,Panel A,1,004902,2,10101016,2,,No,1,.5,.5,0,0,0,0,0,0,No,No,,,No,Yes,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,Yes,1,1,0,No,2
49,101010160207,Panel A,1,004903,3,10101016,3,,No,1,0,0,0,0,0,0,0,0,No,No,,,No,Yes,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
49,101010160207,Panel A,1,004904,4,10101016,4,,No,1,0,0,0,0,0,0,0,0,No,No,,,No,Yes,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
49,101010160207,Panel A,1,004905,5,10101016,5,,No,1,0,0,0,0,0,0,0,0,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
53,101010160235,Panel A,1,005301,1,10101016,1,,Yes,,0,0,5,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,3,3,3,250,No,,,,,
53,101010160235,Panel A,1,005302,2,10101016,2,,No,1,1,1,5,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
53,101010160235,Panel A,1,005303,3,10101016,3,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,004301,1,10101016,1,,Yes,,0,0,3,1,0,2,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,3,1,3,250,No,,,,,
43,101010160254,Panel A,1,004302,2,10101016,2,,No,1,1,1,3,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
43,101010160254,Panel A,1,004303,3,10101016,3,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,004304,4,10101016,4,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,101010160265,Panel A,1,003901,1,10101016,1,,No,2,.5,0,0,0,0,0,0,0,No,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,Yes,2,2,0,No,100
39,101010160265,Panel A,1,003902,2,10101016,2,,Yes,,0,0,0,0,0,0,0,0,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
40,101012040003,Panel B,2,004001,1,10101204,1,,Yes,,.5,0,.5,0,0,8,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,4,3,6,700,No,,,,,
40,101012040003,Panel B,2,004002,2,10101204,2,,No,1,0,0,0,0,0,0,0,0,No,No,,,No,Yes,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
40,101012040003,Panel B,2,004003,3,10101204,3,,No,1,0,0,.5,0,0,0,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
40,101012040003,Panel B,2,004004,4,10101204,4,,No,1,0,0,0,0,0,0,0,0,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
40,101012040003,Panel B,2,004005,5,10101204,5,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,101012040003,Panel B,2,004006,6,10101204,6,X,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,101012040007,Panel B,2,006201,1,10101204,1,,No,2,0,.5,0,0,0,0,0,0,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
62,101012040007,Panel B,2,006202,2,10101204,2,,Yes,,.5,.5,0,0,0,0,0,0,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,,No,,,,,
42,101012040011,Panel B,2,004201,1,10101204,1,,No,2,0,0,0,0,0,7,0,0,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,4,4,4,500,No,,,,,
