HHID,case_id,qx_type,visit,ea_id,hh_o00,hh_o0a,hh_o0b,hh_o02,hh_o03,hh_o04,hh_o05,hh_o06,hh_o07a,hh_o07b,hh_o08a,hh_o08b,hh_o09,hh_o09_os,hh_o10a,hh_o10b,hh_o11,hh_o12,hh_o13,hh_o14,hh_o15,hh_o16,hh_o16_os,hh_o17
55,101010160086,Panel A,1,10101016,Yes,1,4,20,Female,form4,Yes,2005,Nkhota kota,Nkhota kota,2,Month,Unemployed,,,,No,,,,No,,,
55,101010160086,Panel A,1,10101016,Yes,1,5,18,Male,form4,Yes,2005,Chitipa,Chitipa,18,Year,Unemployed,,,,No,,,,No,,,
47,101010160096,Panel A,1,10101016,Yes,1,1,19,Female,std5,Yes,2008,Chitipa,Chitipa,19,Year,House work,,,,No,,,,No,,,
47,101010160096,Panel A,1,10101016,Yes,1,2,17,Female,std4,Yes,2009,Chitipa,Chitipa,17,Year,House work,,,,No,,,,No,,,
63,101010160143,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,Yes,1,1,45,Male,std3,Yes,1980,Chitipa,Chitipa,45,Year,Unemployed,,,,No,,,,No,,,
59,101010160159,Panel A,1,10101016,Yes,1,2,41,Male,std2,Yes,1982,Chitipa,Chitipa,41,Year,Unemployed,,,,No,,,,No,,,
59,101010160159,Panel A,1,10101016,Yes,1,3,38,Male,std2,Yes,1984,Chitipa,Chitipa,36,Year,Unemployed,,,,No,,,,No,,,
59,101010160159,Panel A,1,10101016,Yes,1,4,36,Male,std2,Yes,1986,Chitipa,Chitipa,36,Year,Unemployed,,,,No,,,,No,,,
59,101010160159,Panel A,1,10101016,Yes,1,5,33,Male,Nursery/Pre school,Yes,1989,Chitipa,Chitipa,33,Year,Unemployed,,,,No,,,,No,,,
59,101010160159,Panel A,1,10101016,Yes,1,6,31,Female,Nursery/Pre school,Yes,1991,Chitipa,Chitipa,29,Year,Unemployed,,,,No,,,,Yes,Sporadically as needed,,5000
59,101010160159,Panel A,1,10101016,Yes,1,7,29,Female,Nursery/Pre school,Yes,1993,Chitipa,Chitipa,29,Year,Unemployed,,,,No,,,,No,,,
59,101010160159,Panel A,1,10101016,Yes,1,8,27,Female,Nursery/Pre school,Yes,1996,Chitipa,Chitipa,27,Year,Unemployed,,,,No,,,,No,,,
59,101010160159,Panel A,1,10101016,Yes,1,9,25,Female,Nursery/Pre school,Yes,2000,Chitipa,Chitipa,25,Year,Unemployed,,,,No,,,,No,,,
33,101010160180,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,
53,101010160235,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,
39,101010160265,Panel A,1,10101016,Yes,2,1,34,Female,std8,Yes,1995,Chitipa,Chitipa,34,Year,Unemployed,,,,No,,,,Yes,Sporadically as needed,,10000
39,101010160265,Panel A,1,10101016,Yes,2,2,28,Male,std7,Yes,1999,Chitipa,Chitipa,28,Year,Unemployed,,,,Yes,Sporadically as needed,,2000,Yes,Sporadically as needed,,15000
39,101010160265,Panel A,1,10101016,Yes,2,3,25,Female,std5,Yes,2003,Chitipa,Chitipa,25,Year,Unemployed,,,,No,,,,Yes,Sporadically as needed,,1000
40,101012040003,Panel B,2,10101204,No,,,,,,,,,,,,,,,,,,,,,,,
62,101012040007,Panel B,2,10101204,Yes,2,1,48,Male,std5,Yes,1981,Chitipa,Chitipa,48,Year,Unemployed,,,,Yes,Quarterly,,1500,Yes,Sporadically as needed,,850
62,101012040007,Panel B,2,10101204,Yes,2,2,42,Male,std5,Yes,1987,Chitipa,Chitipa,42,Year,Unemployed,,,,Yes,Quarterly,,2300,Yes,Sporadically as needed,,1000
42,101012040011,Panel B,2,10101204,No,,,,,,,,,,,,,,,,,,,,,,,
44,101012040020,Panel B,2,10101204,No,,,,,,,,,,,,,,,,,,,,,,,
38,101012040024,Panel B,2,10101204,No,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,2,10101204,No,,,,,,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,2,10101204,Yes,1,1,22,Female,std8,Yes,2008,Chitipa,Chitipa,2,Year,Unemployed,,,,Yes,Sporadically as needed,,2000,Yes,Sporadically as needed,,800
50,101012040037,Panel B,2,10101204,Yes,1,2,17,Female,std8,Yes,2009,Chitipa,Chitipa,1,Year,Unemployed,,,,Yes,Sporadically as needed,,1500,Yes,Sporadically as needed,,800
54,101012040041,Panel B,2,10101204,No,,,,,,,,,,,,,,,,,,,,,,,
48,101012040045,Panel B,2,10101204,No,,,,,,,,,,,,,,,,,,,,,,,
36,101012040054,Panel B,2,10101204,No,,,,,,,,,,,,,,,,,,,,,,,
56,101012040058,Panel B,2,10101204,No,,,,,,,,,,,,,,,,,,,,,,,
64,101012040062,Panel B,2,10101204,Yes,1,1,37,Male,std7,No,,Tanzania,Tanzania,20,Year,Unemployed,,,,No,,,,No,,,
64,101012040062,Panel B,2,10101204,Yes,1,2,33,Female,std7,No,,Tanzania,Tanzania,19,Year,Unemployed,,,,No,,,,No,,,
64,101012040062,Panel B,2,10101204,Yes,1,3,29,Male,std7,No,,Tanzania,Tanzania,20,Year,Unemployed,,,,No,,,,No,,,
64,101012040062,Panel B,2,10101204,Yes,1,4,25,Male,form4,No,,Zimbabwe,Zimbabwe,15,Year,Working,,DRIVER,98,No,,,,No,,,
64,101012040062,Panel B,2,10101204,Yes,1,5,20,Female,form5,No,,Zambia,Zambia,3,Year,Student,,,,No,,,,No,,,
64,101012040062,Panel B,2,10101204,Yes,1,6,18,Female,form4,No,,Zimbabwe,Zimbabwe,8,Year,Student,,,,No,,,,No,,,
34,101012040071,Panel B,2,10101204,No,,,,,,,,,,,,,,,,,,,,,,,
58,101012040075,Panel B,2,10101204,No,,,,,,,,,,,,,,,,,,,,,,,
46,101012040079,Panel B,2,10101204,No,,,,,,,,,,,,,,,,,,,,,,,
60,101012040087,Panel B,2,10101204,No,,,,,,,,,,,,,,,,,,,,,,,
21,101012150001,Panel A,1,10101215,Yes,2,1,54,Female,std8,Yes,1980,Zambia,Zambia,30,Year,Unemployed,,,,No,,,,Yes,Sporadically as needed,,3000
17,101012150004,Panel A,1,10101215,Yes,1,1,28,Female,TC Yr 2,No,,Tanzania,Tanzania,10,Year,Working,,SECONDARY SCHOOL TEACHER,13,No,,,,No,,,
17,101012150004,Panel A,1,10101215,Yes,1,2,26,Female,std8,No,,Chitipa,Chitipa,3,Year,Unemployed,,,,Yes,Sporadically as needed,,10000,No,,,
17,101012150004,Panel A,1,10101215,Yes,1,3,21,Male,form4,No,,Chitipa,Chitipa,4,Year,Student,,,,No,,,,No,,,
17,101012150004,Panel A,1,10101215,Yes,1,4,18,Female,std7,No,,Tanzania,Tanzania,4,Year,Unemployed,,,,No,,,,No,,,
17,101012150004,Panel A,1,10101215,Yes,1,5,16,Female,std7,No,,Tanzania,Tanzania,4,Year,Student,,,,No,,,,No,,,
11,101012150021,Panel A,1,10101215,No,,,,,,,,,,,,,,,,,,,,,,,
5,101012150022,Panel A,1,10101215,Yes,2,1,21,Female,std7,Yes,2006,Zambia,Zambia,4,Year,Unemployed,,,,Yes,Sporadically as needed,,2500,Yes,Annually,,12000
13,101012150026,Panel A,1,10101215,No,,,,,,,,,,,,,,,,,,,,,,,
1,101012150028,Panel A,1,10101215,Yes,1,1,30,Male,std8,Yes,2002,Chitipa,Chitipa,8,Year,House work,,,,Yes,Semi-annually,,4800,Yes,Semi-annually,,6000
1,101012150028,Panel A,1,10101215,Yes,1,2,27,Male,std2,Yes,2008,Chitipa,Chitipa,2,Year,House work,,,,Yes,Semi-annually,,5500,No,,,
1,101012150028,Panel A,1,10101215,Yes,1,3,24,Female,std6,Yes,2007,Chitipa,Chitipa,3,Year,House work,,,,No,,,,No,,,
25,101012150034,Panel A,1,10101215,No,,,,,,,,,,,,,,,,,,,,,,,
9,101012150038,Panel A,1,10101215,No,,,,,,,,,,,,,,,,,,,,,,,
31,101012150040,Panel A,1,10101215,No,,,,,,,,,,,,,,,,,,,,,,,
15,101012150045,Panel A,1,10101215,No,,,,,,,,,,,,,,,,,,,,,,,
29,101012150048,Panel A,1,10101215,No,,,,,,,,,,,,,,,,,,,,,,,
27,101012150049,Panel A,1,10101215,No,,,,,,,,,,,,,,,,,,,,,,,
23,101012150053,Panel A,1,10101215,Yes,1,1,44,Female,std8,Yes,1984,Nkhota kota,Nkhota kota,26,Year,Unemployed,,,,No,,,,Yes,Sporadically as needed,,3000
23,101012150053,Panel A,1,10101215,Yes,1,2,40,Male,std8,Yes,1988,Chitipa,Chitipa,40,Year,Unemployed,,,,No,,,,No,,,
23,101012150053,Panel A,1,10101215,Yes,1,3,37,Male,std8,Yes,2002,Chitipa,Chitipa,8,Year,Unemployed,,,,No,,,,No,,,
23,101012150053,Panel A,1,10101215,Yes,1,4,33,Female,std8,Yes,1992,Tanzania,Tanzania,18,Year,Unemployed,,,,No,,,,No,,,
23,101012150053,Panel A,1,10101215,Yes,1,5,30,Male,std8,Yes,1989,Tanzania,Tanzania,21,Year,Unemployed,,,,Yes,Sporadically as needed,,6000,Yes,Sporadically as needed,,5000
19,101012150059,Panel A,1,10101215,No,,,,,,,,,,,,,,,,,,,,,,,
3,101012150060,Panel A,1,10101215,Yes,1,1,55,Male,form3,Yes,1982,Zambia,Zambia,55,Year,Working,,COAL MINE (LABOURER),71,No,,,,No,,,
3,101012150060,Panel A,1,10101215,Yes,1,2,52,Male,form2,Yes,1986,Chitipa,Chitipa,28,Year,Unemployed,,,,Yes,Sporadically as needed,,2000,No,,,
3,101012150060,Panel A,1,10101215,Yes,1,3,49,Female,form1,Yes,1989,Zambia,Zambia,21,Year,Unemployed,,,,No,,,,No,,,
3,101012150060,Panel A,1,10101215,Yes,1,4,46,Male,form2,Yes,1993,Zambia,Zambia,18,Year,Working,,DRIVER-PICK UP TRACK,98,No,,,,No,,,
3,101012150060,Panel A,1,10101215,Yes,1,5,43,Male,form2,Yes,1996,Chitipa,Chitipa,20,Year,Unemployed,,,,Yes,Sporadically as needed,,3000,No,,,
3,101012150060,Panel A,1,10101215,Yes,1,6,40,Female,form1,Yes,1998,Zambia,Zambia,18,Year,Unemployed,,,,No,,,,No,,,
7,101012150074,Panel A,1,10101215,No,,,,,,,,,,,,,,,,,,,,,,,
20,101015620009,Panel B,2,10101562,Yes,1,1,26,Female,form3,Yes,2000,Chitipa,Chitipa,10,Year,House work,,,,No,,,,Yes,Sporadically as needed,,3000
20,101015620009,Panel B,2,10101562,Yes,1,2,22,Female,std8,Yes,2005,Chitipa,Chitipa,5,Year,House work,,,,No,,,,Yes,Sporadically as needed,,4000
20,101015620009,Panel B,2,10101562,Yes,1,3,30,Male,form4,Yes,2003,Lilongwe,Lilongwe,7,Year,Working,,POLICE OFFICER,58,Yes,Monthly,3000,,Yes,Sporadically as needed,,5000
30,101015620020,Panel B,2,10101562,No,,,,,,,,,,,,,,,,,,,,,,,
10,101015620031,Panel B,2,10101562,No,,,,,,,,,,,,,,,,,,,,,,,
6,101015620042,Panel B,2,10101562,Yes,2,1,38,Female,std8,No,,Zambia,Zambia,20,Year,Unemployed,,,,No,,,,No,,,
6,101015620042,Panel B,2,10101562,Yes,2,2,36,Female,std7,Yes,1997,Chitipa,Chitipa,13,Year,Unemployed,,,,No,,,,No,,,
6,101015620042,Panel B,2,10101562,Yes,2,3,34,Female,std6,Yes,2002,Karonga,Karonga,8,Year,Unemployed,,,,No,,,,No,,,
6,101015620042,Panel B,2,10101562,Yes,2,4,32,Female,std8,Yes,1998,Chitipa,Chitipa,12,Year,Unemployed,,,,Yes,Sporadically as needed,,2400,Yes,Sporadically as needed,,800
6,101015620042,Panel B,2,10101562,Yes,2,5,31,Male,std8,Yes,2000,Chitipa,Chitipa,10,Year,Unemployed,,,,Yes,Sporadically as needed,,4000,Yes,Sporadically as needed,,3000
6,101015620042,Panel B,2,10101562,Yes,2,6,28,Female,form1,Yes,2007,Zambia,Zambia,3,Year,Unemployed,,,,No,,,,No,,,
2,101015620053,Panel B,2,10101562,No,,,,,,,,,,,,,,,,,,,,,,,
8,101015620064,Panel B,2,10101562,No,,,,,,,,,,,,,,,,,,,,,,,
18,101015620075,Panel B,2,10101562,No,,,,,,,,,,,,,,,,,,,,,,,
16,101015620086,Panel B,2,10101562,No,,,,,,,,,,,,,,,,,,,,,,,
26,101015620096,Panel B,2,10101562,No,,,,,,,,,,,,,,,,,,,,,,,
28,101015620118,Panel B,2,10101562,No,,,,,,,,,,,,,,,,,,,,,,,
32,101015620140,Panel B,2,10101562,No,,,,,,,,,,,,,,,,,,,,,,,
12,101015620162,Panel B,2,10101562,Yes,1,1,25,Female,form4,Yes,2007,Chitipa,Chitipa,3,Year,Working,,STORES CLERK,39,Yes,Sporadically as needed,,11000,No,,,
4,101015620184,Panel B,2,10101562,Yes,1,1,21,Female,std8,Yes,2003,Chitipa,Chitipa,7,Year,Unemployed,,,,No,,,,No,,,
22,101015620195,Panel B,2,10101562,No,,,,,,,,,,,,,,,,,,,,,,,
14,101015620205,Panel B,2,10101562,Yes,1,1,34,Female,std6,No,,Chitipa,Chitipa,34,Year,Unemployed,,,,No,,,,Yes,Sporadically as needed,,2800
14,101015620205,Panel B,2,10101562,Yes,1,2,31,Female,std7,No,,Chitipa,Chitipa,31,Year,Unemployed,,,,Yes,Sporadically as needed,,1300,Yes,Sporadically as needed,,2400
24,101015620227,Panel B,2,10101562,Yes,1,1,26,Female,std8,Yes,2001,Chitipa,Chitipa,9,Year,Unemployed,,,,No,,,,No,,,
24,101015620227,Panel B,2,10101562,Yes,1,2,22,Female,form3,Yes,2007,Chitipa,Chitipa,3,Year,Unemployed,,,,No,,,,No,,,
79,101020040001,Panel A,1,10102004,No,,,,,,,,,,,,,,,,,,,,,,,
87,101020040008,Panel A,1,10102004,No,,,,,,,,,,,,,,,,,,,,,,,
89,101020040012,Panel A,1,10102004,Yes,1,1,22,Female,std4,Yes,2001,Mzuzu City,Mzuzu City,9,Year,Unemployed,,,,No,,,,No,,,
89,101020040012,Panel A,1,10102004,Yes,1,2,20,Female,std7,Yes,2007,Mzuzu City,Mzuzu City,3,Year,Unemployed,,,,No,,,,No,,,
85,101020040015,Panel A,1,10102004,No,,,,,,,,,,,,,,,,,,,,,,,
83,101020040028,Panel A,1,10102004,No,,,,,,,,,,,,,,,,,,,,,,,
75,101020040031,Panel A,1,10102004,No,,,,,,,,,,,,,,,,,,,,,,,
65,101020040034,Panel A,1,10102004,No,,,,,,,,,,,,,,,,,,,,,,,
93,101020040039,Panel A,1,10102004,Yes,1,1,28,Female,Nursery/Pre school,Yes,1992,Chitipa,Chitipa,28,Year,Unemployed,,,,No,,,,Yes,Sporadically as needed,,1200
93,101020040039,Panel A,1,10102004,Yes,1,2,25,Female,Nursery/Pre school,Yes,1993,Chitipa,Chitipa,25,Year,Unemployed,,,,No,,,,Yes,Sporadically as needed,,2000
93,101020040039,Panel A,1,10102004,Yes,1,3,23,Male,Nursery/Pre school,Yes,1992,Chitipa,Chitipa,23,Year,Unemployed,,,,No,,,,Yes,Sporadically as needed,,1500
93,101020040039,Panel A,1,10102004,Yes,1,4,21,Male,Nursery/Pre school,Yes,1993,Chitipa,Chitipa,21,Year,Unemployed,,,,No,,,,Yes,Sporadically as needed,,500
93,101020040039,Panel A,1,10102004,Yes,1,5,19,Male,Nursery/Pre school,Yes,1993,Chitipa,Chitipa,19,Year,Unemployed,,,,No,,,,Yes,Sporadically as needed,,300
71,101020040042,Panel A,1,10102004,Yes,1,1,28,Male,std5,Yes,2007,Chitipa,Chitipa,28,Year,Unemployed,,,,No,,,,No,,,
71,101020040042,Panel A,1,10102004,Yes,1,2,25,Male,std5,Yes,2009,Nkhatabay,Nkhatabay,24,Year,Unemployed,,,,No,,,,No,,,
71,101020040042,Panel A,1,10102004,Yes,1,3,22,Male,std6,Yes,2009,Chitipa,Chitipa,22,Year,Unemployed,,,,No,,,,No,,,
69,101020040059,Panel A,1,10102004,No,,,,,,,,,,,,,,,,,,,,,,,
81,101020040061,Panel A,1,10102004,Yes,1,1,37,Female,std7,No,,Nkhatabay,Nkhatabay,20,Year,Unemployed,,,,No,,,,No,,,
81,101020040061,Panel A,1,10102004,Yes,1,2,31,Male,form4,No,,Chitipa,Chitipa,7,Year,Unemployed,,,,Yes,Monthly,2000,,Yes,Monthly,,12000
81,101020040061,Panel A,1,10102004,Yes,1,3,31,Female,std8,No,,Chitipa,Chitipa,15,Year,Unemployed,,,,No,,,,No,,,
81,101020040061,Panel A,1,10102004,Yes,1,4,29,Female,std7,No,,Lilongwe,Lilongwe,2,Year,Unemployed,,,,No,,,,No,,,
81,101020040061,Panel A,1,10102004,Yes,1,5,27,Male,form4,No,,Mzimba,Mzimba,5,Year,Working,,TOBACCO AUCTION FLOW,31,Yes,Sporadically as needed,,10000,Yes,Sporadically as needed,,2000
81,101020040061,Panel A,1,10102004,Yes,1,6,23,Female,form2,No,,Mzimba,Mzimba,2,Year,Unemployed,,,,No,,,,No,,,
81,101020040061,Panel A,1,10102004,Yes,1,7,16,Male,std6,No,,Mzimba,Mzimba,1,Year,Student,,,,No,,,,No,,,
73,101020040093,Panel A,1,10102004,No,,,,,,,,,,,,,,,,,,,,,,,
67,101020040101,Panel A,1,10102004,No,,,,,,,,,,,,,,,,,,,,,,,
91,101020040104,Panel A,1,10102004,No,,,,,,,,,,,,,,,,,,,,,,,
77,101020040121,Panel A,1,10102004,No,,,,,,,,,,,,,,,,,,,,,,,
95,101020040128,Panel A,1,10102004,Yes,1,1,35,Female,std4,No,,Chitipa,Chitipa,35,Year,Unemployed,,,,No,,,,No,,,
86,101034140003,Panel B,2,10103414,No,,,,,,,,,,,,,,,,,,,,,,,
66,101034140009,Panel B,2,10103414,Yes,1,1,29,Male,std7,Yes,2002,Chitipa,Chitipa,29,Year,Unemployed,,,,No,,,,No,,,
66,101034140009,Panel B,2,10103414,Yes,1,2,24,Male,std8,Yes,2009,Chitipa,Chitipa,24,Year,Unemployed,,,,No,,,,No,,,
66,101034140009,Panel B,2,10103414,Yes,1,3,21,Female,std8,Yes,2008,Rumphi,Rumphi,2,Year,Unemployed,,,,No,,,,No,,,
96,101034140020,Panel B,2,10103414,No,,,,,,,,,,,,,,,,,,,,,,,
72,101034140025,Panel B,2,10103414,No,,,,,,,,,,,,,,,,,,,,,,,
90,101034140031,Panel B,2,10103414,Yes,1,1,24,Male,form4,Yes,2007,Chitipa,Chitipa,24,Year,Working,,TEMPORARY LABOUR ESCOM,99,No,,,,No,,,
90,101034140031,Panel B,2,10103414,Yes,1,2,24,Female,form2,Yes,2004,Chitipa,Chitipa,24,Year,Unemployed,,,,No,,,,No,,,
90,101034140031,Panel B,2,10103414,Yes,1,3,22,Female,form2,Yes,2008,Mzuzu City,Mzuzu City,2,Year,Unemployed,,,,No,,,,No,,,
80,101034140042,Panel B,2,10103414,Yes,1,1,27,Female,form4,Yes,2009,Kasungu,Kasungu,1,Year,Working,,PRIMARY TEACHER,13,Yes,Sporadically as needed,,9000,Yes,Sporadically as needed,,5000
80,101034140042,Panel B,2,10103414,Yes,1,2,23,Male,form4,Yes,2010,Mzuzu City,Mzuzu City,3,Month,Unemployed,,,,No,,,,No,,,
92,101034140047,Panel B,2,10103414,No,,,,,,,,,,,,,,,,,,,,,,,
84,101034140053,Panel B,2,10103414,No,,,,,,,,,,,,,,,,,,,,,,,
70,101034140064,Panel B,2,10103414,No,,,,,,,,,,,,,,,,,,,,,,,
76,101034140069,Panel B,2,10103414,Yes,1,1,46,Male,form2,Yes,1986,Chitipa,Chitipa,24,Year,Unemployed,,,,Yes,Sporadically as needed,,1000,No,,,
76,101034140069,Panel B,2,10103414,Yes,1,2,40,Male,form2,Yes,1989,Chitipa,Chitipa,21,Year,Unemployed,,,,No,,,,Yes,Sporadically as needed,,2000
76,101034140069,Panel B,2,10103414,Yes,3,3,38,Male,form1,Yes,2007,Chitipa,Chitipa,3,Year,Unemployed,,,,No,,,,No,,,
76,101034140069,Panel B,2,10103414,Yes,4,4,35,Female,form2,Yes,2007,Chitipa,Chitipa,3,Year,Unemployed,,,,No,,,,No,,,
78,101034140075,Panel B,2,10103414,Yes,1,1,40,Female,form4,Yes,1990,Mzuzu City,Mzuzu City,20,Year,Working,,PRIMARY SCHOOL TEACHER,13,Yes,Sporadically as needed,,4000,No,,,
78,101034140075,Panel B,2,10103414,Yes,1,2,38,Female,form4,Yes,1996,Mzuzu City,Mzuzu City,14,Year,Working,,SEVENTHDAY OFFICE CLERK,14,Yes,Sporadically as needed,,2000,No,,,
78,101034140075,Panel B,2,10103414,Yes,1,3,36,Male,form4,Yes,1997,Mzuzu City,Mzuzu City,13,Year,Working,,DRIVER PVHO,98,Yes,Sporadically as needed,,1000,No,,,
78,101034140075,Panel B,2,10103414,Yes,1,4,21,Male,TC Yr 2,Yes,1999,Dowa,Dowa,11,Year,Working,,SOLDIER,58,Yes,Sporadically as needed,,0,Yes,Sporadically as needed,,2800
78,101034140075,Panel B,2,10103414,Yes,1,5,18,Female,form4,Yes,2002,Mzuzu City,Mzuzu City,8,Year,Unemployed,,,,No,,,,Yes,Sporadically as needed,,1200
78,101034140075,Panel B,2,10103414,Yes,1,6,15,Female,form1,Yes,2007,Mzuzu City,Mzuzu City,3,Year,Unemployed,,,,No,,,,No,,,
94,101034140086,Panel B,2,10103414,No,,,,,,,,,,,,,,,,,,,,,,,
74,101034140091,Panel B,2,10103414,Yes,1,1,18,Male,std8,No,,Chitipa,Chitipa,18,Year,Student,,,,No,,,,No,,,
74,101034140091,Panel B,2,10103414,Yes,1,2,15,Female,std8,No,,Chitipa,Chitipa,15,Year,Student,,,,No,,,,No,,,
88,101034140097,Panel B,2,10103414,No,,,,,,,,,,,,,,,,,,,,,,,
82,101034140108,Panel B,2,10103414,No,,,,,,,,,,,,,,,,,,,,,,,
68,101034140114,Panel B,2,10103414,No,,,,,,,,,,,,,,,,,,,,,,,
123,101041500004,Panel A,1,10104150,No,,,,,,,,,,,,,,,,,,,,,,,
127,101041500006,Panel A,1,10104150,No,,,,,,,,,,,,,,,,,,,,,,,
113,101041500012,Panel A,1,10104150,No,,,,,,,,,,,,,,,,,,,,,,,
109,101041500013,Panel A,1,10104150,No,,,,,,,,,,,,,,,,,,,,,,,
111,101041500015,Panel A,1,10104150,No,,,,,,,,,,,,,,,,,,,,,,,
99,101041500023,Panel A,1,10104150,No,,,,,,,,,,,,,,,,,,,,,,,
103,101041500027,Panel A,1,10104150,No,,,,,,,,,,,,,,,,,,,,,,,
107,101041500045,Panel A,1,10104150,Yes,1,1,55,Male,std8,No,,Chitipa,Chitipa,50,Year,Unemployed,,,,Yes,Sporadically as needed,,2000,Yes,Sporadically as needed,,800
107,101041500045,Panel A,1,10104150,Yes,1,2,53,Male,std6,No,,Chitipa,Chitipa,47,Year,Unemployed,,,,Yes,Sporadically as needed,,2000,Yes,Sporadically as needed,,500
107,101041500045,Panel A,1,10104150,Yes,1,3,47,Male,std8,No,,Chitipa,Chitipa,40,Year,Unemployed,,,,Yes,Sporadically as needed,,5000,Yes,Sporadically as needed,,3000
115,101041500048,Panel A,1,10104150,No,,,,,,,,,,,,,,,,,,,,,,,
97,101041500053,Panel A,1,10104150,No,,,,,,,,,,,,,,,,,,,,,,,
105,101041500054,Panel A,1,10104150,Yes,1,1,44,Male,std8,Yes,1990,Nkhatabay,Nkhatabay,20,Year,Unemployed,,,,Yes,Sporadically as needed,,1000,No,,,
105,101041500054,Panel A,1,10104150,Yes,1,2,34,Female,std4,Yes,1998,Mzuzu City,Mzuzu City,12,Year,Unemployed,,,,No,,,,Yes,Sporadically as needed,,3000
105,101041500054,Panel A,1,10104150,Yes,1,3,37,Male,std8,Yes,2000,Nkhatabay,Nkhatabay,10,Year,Working,,GARDEN BOY COFFEE COMP,54,No,,,,No,,,
105,101041500054,Panel A,1,10104150,Yes,1,4,16,Male,std5,Yes,2008,Nkhatabay,Nkhatabay,2,Year,Unemployed,,,,No,,,,No,,,
