occ,y2_hhid,qx_type,interview_status,ag_j00,ag_j03,ag_j04_2,ag_j05a,ag_j05b,ag_j05c,ag_j06e,ag_j07,ag_j08
1,0023-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0024-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0025-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0026-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0027-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0028-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0029-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0030-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0031-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0032-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0033-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0034-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0035-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0036-001,PANEL B,Panel B - 2 Visits,D01,TOMATO GARDEN,RG01,.25,ACRE,.2,,11,CLEAR/SUNNY
1,0037-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0038-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0040-001,PANEL B,Panel B - 2 Visits,D01,RECYCLED HYBRID,RG01,1,ACRE,.80000001,,9,MOSTLY CLEAR/MOSTLY SUNNY
1,0041-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0042-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0043-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0044-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0045-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0046-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0047-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0048-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0049-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0050-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0051-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0052-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0053-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0054-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0055-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0056-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0057-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0058-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0059-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0060-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0061-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0062-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0063-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0064-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0065-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0066-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0067-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0068-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0069-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0070-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0071-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0072-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0073-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0074-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0075-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0076-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0077-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0078-001,PANEL B,Panel B - 2 Visits,D01,CHINESE GARDEN,DG01,.25,ACRE,.1,,10,CLEAR/SUNNY
1,0079-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0080-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0081-001,PANEL A,Panel A - 2 Visits,D01,RECYCLED HYBRID,RG01,.25,ACRE,.30000001,,11,CLEAR/SUNNY
1,0082-001,PANEL B,Panel B - 2 Visits,D01,TOMATO GARDEN,DG01,.25,ACRE,.2,,10,CLEAR/SUNNY
2,0082-001,PANEL B,Panel B - 2 Visits,D02,SWEET POTATO,DG01,.25,ACRE,.1,,10,CLEAR/SUNNY
1,0083-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0084-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0085-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0086-001,PANEL B,Panel B - 2 Visits,D01,TANAPOSI,RG01,1,ACRE,.69999999,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0087-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0088-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0089-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0090-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0091-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0092-001,PANEL B,Panel B - 2 Visits,D01,TANAPOSI,DG01,.25,ACRE,.1,,12,CLEAR/SUNNY
1,0093-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0094-001,PANEL B,Panel B - 2 Visits,D01,TOMATO,DG01,.30000001,ACRE,.2,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0095-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0096-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0097-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0098-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0099-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0100-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0100-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0101-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0102-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0103-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0103-003,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0104-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0105-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0106-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0107-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0108-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0109-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0110-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0110-006,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0110-007,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0111-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0112-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0113-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0115-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0116-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0117-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0118-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0119-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0119-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0120-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0121-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0123-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0124-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0125-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0126-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0127-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0128-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0128-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0128-004,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0129-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0129-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0130-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0131-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0132-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0133-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0134-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0135-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0136-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0137-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0138-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0139-001,PANEL A,Panel A - 2 Visits,D01,TOMATO,DG01,.25,ACRE,.30000001,,9,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,0140-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0141-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0142-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0142-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0143-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0144-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0145-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0146-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0147-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0148-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0149-001,PANEL A,Panel A - 2 Visits,D01,BEANS,RG01,.25,ACRE,.40000001,,9,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,0152-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0153-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0154-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0155-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0156-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0157-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0158-001,PANEL B,Panel B - 2 Visits,D01,IRISH,DG01,.1,ACRE,0,,13,CLEAR/SUNNY
1,0159-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0160-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0161-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0161-006,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0162-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0163-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0164-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0165-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0166-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0167-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0168-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0168-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0168-006,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0169-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0170-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0171-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0171-003,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0172-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0174-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0176-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0177-001,PANEL A,Panel A - 2 Visits,D01,TANAPOSI,DG01,.30000001,ACRE,.1,,11,MOSTLY CLEAR/MOSTLY SUNNY
1,0177-007,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0178-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0178-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0178-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0179-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0180-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0181-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0182-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0184-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0185-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0186-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0188-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0189-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0189-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0190-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0191-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0192-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0192-003,PANEL B,Panel B - 2 Visits,D01,TOMATO GARDEN,DG01,.25,ACRE,.2,,11,CLEAR/SUNNY
1,0193-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0194-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0195-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0196-001,PANEL B,Panel B - 2 Visits,D01,HYBRID MAIZE,RG02,.5,ACRE,.54000002,,12,PARTLY CLOUDY/PARTLY SUNNY
1,0197-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0198-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0202-001,PANEL B,Panel B - 2 Visits,D01,RICE GARDEN,RG02,.5,ACRE,.60000002,,11,CLEAR/SUNNY
1,0203-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0203-003,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0204-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0205-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0207-001,PANEL A,Panel A - 2 Visits,D01,TANIPOSI GARDEN,RG01,.1,SQUARE METERS,.0099999998,,11,CLEAR/SUNNY
1,0208-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0209-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0210-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0212-001,PANEL B,Panel B - 2 Visits,D01,RICE TCG 10,RG01,1,ACRE,.56,,12,PARTLY CLOUDY/PARTLY SUNNY
2,0212-001,PANEL B,Panel B - 2 Visits,D02,HYBRID MAIZE,RG02,1,ACRE,.47,,12,PARTLY CLOUDY/PARTLY SUNNY
1,0214-001,PANEL B,Panel B - 2 Visits,D01,MUNDA WA MBATATA CHIMANGA,RG02,.5,ACRE,.5,,10,CLEAR/SUNNY
1,0216-001,PANEL B,Panel B - 2 Visits,D01,HYBRID,RG01,1,ACRE,.69999999,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0217-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0218-001,PANEL B,Panel B - 2 Visits,D01,HYBRID MAIZE RECY,RG01,.75,ACRE,.47,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0219-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0220-001,PANEL B,Panel B - 2 Visits,D01,RICE GARDEN,DG01,.5,ACRE,.5,,10,CLEAR/SUNNY
1,0221-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0221-005,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0222-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0224-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0224-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0224-009,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0224-010,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0226-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0228-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0229-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0230-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0231-001,PANEL A,Panel A - Combined Visit,D01,DIMBA,RG03,.25,ACRE,.2,,10,CLEAR/SUNNY
1,0232-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0232-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0233-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0234-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0236-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0237-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0237-003,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0238-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0239-001,PANEL A,Panel A - 2 Visits,D01,HYBRID MAIZE,DG01,.34999999,ACRE,.13,,8,MOSTLY CLEAR/MOSTLY SUNNY
1,0240-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0242-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0243-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0244-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0246-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0247-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0248-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0249-001,PANEL A,Panel A - 2 Visits,D01,HYBRID MAIZE,DG01,.5,ACRE,.02,,9,CLEAR/SUNNY
1,0250-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0252-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0252-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0254-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0254-010,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0256-002,PANEL B,Panel B - 2 Visits,D01,RECYCLED HYBRID,RG01,.25,ACRE,.30000001,,10,CLEAR/SUNNY
1,0256-007,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0257-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0258-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0259-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0260-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0261-001,PANEL A,Panel A - 2 Visits,D01,HYBRID MAIZE,DG01,.5,ACRE,.25999999,,9,MOSTLY CLOUDY/CONSIDERABLE CLOUDINESS
1,0262-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0263-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0264-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0265-001,PANEL A,Panel A - 2 Visits,D01,BEANS,DG01,.5,ACRE,.44999999,,7,CLEAR/SUNNY
1,0266-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0267-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0268-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0269-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0270-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0271-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0272-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0273-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0274-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0275-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0276-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0277-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0278-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0278-003,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0279-001,PANEL A,Panel A - 2 Visits,D01,ONION,DG01,.30000001,ACRE,.40000001,,11,CLEAR/SUNNY
1,0280-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0281-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0282-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0283-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0284-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0285-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0286-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0287-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0288-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0289-001,PANEL A,Panel A - 2 Visits,D01,MPILU,DG01,.25,SQUARE METERS,.34999999,,8,MOSTLY CLEAR/MOSTLY SUNNY
1,0289-003,PANEL A,Panel A - Combined Visit,D01,DIMBA,DG01,.2,ACRE,.2,,10,CLEAR/SUNNY
1,0290-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0290-002,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0291-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0292-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0293-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0295-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0297-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0297-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0298-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0299-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0299-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0299-003,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0299-005,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0301-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0302-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0303-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0304-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0305-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0305-007,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0305-008,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0306-004,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0307-002,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0307-003,PANEL A,Panel A - Combined Visit,,,,,,,,,
1,0308-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0309-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0310-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0311-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0312-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0313-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0314-001,PANEL B,Panel B - 2 Visits,D01,TOMATO,DG01,.0099999998,ACRE,.02,,8,CLEAR/SUNNY
1,0315-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0316-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0317-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0318-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0318-004,PANEL B,Panel B - Combined Visit,,,,,,,,,
1,0319-003,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0321-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0323-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0324-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0324-005,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0325-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0325-005,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0326-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0327-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0327-004,PANEL A,Panel A - Combined Visit,,,,,,,,,
1,0329-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0330-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0331-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0332-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0333-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0333-006,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0335-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0336-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0337-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0338-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0339-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0340-002,PANEL B,Panel B - Combined Visit,,,,,,,,,
1,0341-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0342-001,PANEL B,Panel B - 2 Visits,,,,,,,,,
1,0342-004,PANEL B,Panel B - Combined Visit,,,,,,,,,
1,0343-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0345-001,PANEL A,Panel A - 2 Visits,,,,,,,,,
1,0346-003,PANEL B,Panel B - Combined Visit,,,,,,,,,
1,0346-008,PANEL B,Panel B - Combined Visit,,,,,,,,,
1,0347-001,PANEL A,Panel A - 2 Visits,D01,SWEET POTATO,DG01,.25,ACRE,.02,,7,CLEAR/SUNNY
