HHID,case_id,qx_type,visit,PID,id_code,ea_id,hh_b01,hh_b03,hh_b04,hh_b04_os,hh_b05a,hh_b05b,hh_b06a,hh_b06b,hh_b07,hh_b08,hh_b09,hh_b10b,hh_b11,hh_b12,hh_b13,hh_b13_os,hh_b14,hh_b15b,hh_b16,hh_b17,hh_b18,hh_b19,hh_b20,hh_b21,hh_b22,hh_b23,hh_b24,hh_b25,hh_b26a,hh_b26b,hh_b26c,hh_b26d,hh_b27,hh_b28,status
35,101010160060,Panel A,1,003501,1,10101016,1,Male,Head,,75,,4,1935,0,7,This village,,yes,,,,,,Dead,46,NONE,Dead,46,NONE,Other,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
35,101010160060,Panel A,1,003502,2,10101016,2,Female,Wife/Husband,,70,,7,1939,0,5,Village in other district,Karonga,,57,Marriage,,VILLAGE IN OTHER DISTRICT,Karonga,Dead,17,NONE,Dead,67,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
35,101010160060,Panel A,1,003503,3,10101016,3,Female,Child/Adopted child,,30,,4,1980,0,7,This village,,yes,,,,,,1,,,2,,,,Christianity,Divorced,,,,,,,,Stay
35,101010160060,Panel A,1,003504,4,10101016,4,Female,Child/Adopted child,,26,,6,1983,0,7,This village,,yes,,,,,,1,,,2,,,,Christianity,Separated,,,,,,,,Stay
35,101010160060,Panel A,1,003505,5,10101016,5,Male,Child/Adopted child,,17,,12,1992,0,7,This village,,yes,,,,,,Living outside HH,,PSLC,Living outside HH,,NONE,,Christianity,Never married,,,,,,,,Stay
35,101010160060,Panel A,1,003506,6,10101016,6,Male,Child/Adopted child,,14,,9,1995,0,7,This village,,yes,,,,,,Dead,7,NONE,Dead,5,NONE,,Christianity,Never married,,,,,,,,Stay
35,101010160060,Panel A,1,003507,7,10101016,7,Male,Grandchild,,8,,4,2002,0,7,This village,,yes,,,,,,Dead,3,MSCE,Living outside HH,,MSCE,,,,,,,,,,,Stay
35,101010160060,Panel A,1,003508,8,10101016,8,Male,Grandchild,,2,1,3,2008,0,7,This village,,yes,,,,,,Living outside HH,,NONE,3,,,,,,,,,,,,,Stay
35,101010160060,Panel A,1,003509,9,10101016,9,Male,Grandchild,,1,8,8,2008,0,7,This village,,yes,,,,,,Living outside HH,,PSLC,4,,,,,,,,,,,,,Stay
35,101010160060,Panel A,1,003510,10,10101016,10,Male,Grandchild,,1,8,8,2008,0,7,This village,,yes,,,,,,Living outside HH,,PSLC,4,,,,,,,,,,,,,Stay
41,101010160068,Panel A,1,004101,1,10101016,1,Male,Head,,36,,3,1974,0,7,Other village in this district,,no,20,Parents moved,,OUTSIDE MALAWI,Zambia,Dead,33,NONE,Dead,16,NONE,Other,Christianity,"Polygamous,married or non formal union",Yes,2,,,,Yes,1,Stay
41,101010160068,Panel A,1,004102,2,10101016,2,Female,Wife/Husband,,30,,10,1979,0,7,Other village in this district,,no,14,Marriage,,VILLAGE IN OTHER DISTRICT,Rumphi,Living outside HH,,PSLC,Living outside HH,,NONE,,Christianity,"Polygamous,married or non formal union",Yes,1,,,,No,,Stay
41,101010160068,Panel A,1,004103,3,10101016,3,Male,Child/Adopted child,,13,,6,1996,0,7,This village,,yes,,,,,,1,,,2,,,,Christianity,Never married,,,,,,,,Stay
41,101010160068,Panel A,1,004104,4,10101016,4,Female,Child/Adopted child,,11,,9,1998,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
41,101010160068,Panel A,1,004105,5,10101016,5,Female,Child/Adopted child,,9,,1,2001,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
41,101010160068,Panel A,1,004106,6,10101016,6,Male,Child/Adopted child,,6,,10,2003,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
41,101010160068,Panel A,1,004107,7,10101016,7,Female,Child/Adopted child,,4,3,1,2006,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
41,101010160068,Panel A,1,004108,8,10101016,8,Female,Child/Adopted child,,1,5,11,2008,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
41,101010160068,Panel A,1,004109,9,10101016,9,Male,Sister/Brother,,11,,12,1998,0,7,This village,,yes,,,,,,Dead,9,NONE,Dead,2,NONE,,,,,,,,,,,Stay
61,101010160069,Panel A,1,006101,1,10101016,1,Male,Head,,28,,3,1982,0,7,This village,,yes,,,,,,Dead,25,NONE,Dead,8,NONE,Lambya,Christianity,Divorced,,,,,,,,Stay
51,101010160070,Panel A,1,005101,1,10101016,1,Male,Head,,48,,11,1961,0,7,This village,,no,7,Looking for land to farm,,OTHER VILLAGE IN  THIS DISTRICT,,Dead,10,NONE,Living outside HH,,NONE,Lambya,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
51,101010160070,Panel A,1,005102,2,10101016,2,Female,Wife/Husband,,47,,10,1962,0,7,Other village in this district,,no,7,Looking for land to farm,,OTHER VILLAGE IN  THIS DISTRICT,,Living outside HH,,NONE,Living outside HH,,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
51,101010160070,Panel A,1,005103,3,10101016,3,Male,Child/Adopted child,,24,,3,1986,0,7,Other village in this district,,no,7,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,2,,,,Christianity,Never married,,,,,,,,Stay
51,101010160070,Panel A,1,005104,4,10101016,4,Male,Child/Adopted child,,17,,9,1992,0,7,Other village in this district,,no,7,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,2,,,,Christianity,Never married,,,,,,,,Stay
51,101010160070,Panel A,1,005105,5,10101016,5,Female,Child/Adopted child,,16,,11,1993,0,7,Other village in this district,,no,7,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,Dead,7,NONE,,Christianity,Never married,,,,,,,,Stay
51,101010160070,Panel A,1,005106,6,10101016,6,Male,Child/Adopted child,,15,,6,1994,0,7,Other village in this district,,no,7,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,2,,,,Christianity,Never married,,,,,,,,Stay
51,101010160070,Panel A,1,005107,7,10101016,7,Female,Child/Adopted child,,14,,5,1995,0,7,Other village in this district,,no,7,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,Dead,5,NONE,,Christianity,Never married,,,,,,,,Stay
51,101010160070,Panel A,1,005108,8,10101016,8,Male,Child/Adopted child,,11,,11,1998,0,7,Other village in this district,,no,7,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,2,,,,,,,,,,,,,Stay
51,101010160070,Panel A,1,005109,9,10101016,9,Female,Child/Adopted child,,8,,12,2001,0,7,Other village in this district,,no,7,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,2,,,,,,,,,,,,,Stay
51,101010160070,Panel A,1,005110,10,10101016,10,Male,Grandchild,,14,,6,1995,0,7,Other village in this district,,no,7,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,Living outside HH,,NONE,Living outside HH,,NONE,,Christianity,Never married,,,,,,,,Stay
51,101010160070,Panel A,1,005111,11,10101016,11,Male,Grandchild,,7,,2,2003,0,7,Other village in this district,,no,7,To live with relatives,,OTHER VILLAGE IN  THIS DISTRICT,,Living outside HH,,NONE,Living outside HH,,NONE,,,,,,,,,,,Stay
57,101010160074,Panel A,1,005701,1,10101016,1,Male,Head,,46,,6,1963,0,7,Other village in this district,,no,28,Looking for land to farm,,OTHER VILLAGE IN  THIS DISTRICT,,Dead,41,NONE,Dead,18,NONE,Other,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
57,101010160074,Panel A,1,005702,2,10101016,2,Female,Wife/Husband,,46,,9,1963,0,7,Other village in this district,,no,28,Looking for land to farm,,OTHER VILLAGE IN  THIS DISTRICT,,Living outside HH,,NONE,Dead,46,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
57,101010160074,Panel A,1,005703,3,10101016,3,Male,Child/Adopted child,,22,,1,1988,0,0,This village,,yes,,,,,,1,,,2,,,,Christianity,Never married,,,,,,,,Stay
57,101010160074,Panel A,1,005704,4,10101016,4,Male,Child/Adopted child,,18,,3,1992,0,7,This village,,yes,,,,,,1,,,2,,,,Christianity,Never married,,,,,,,,Stay
57,101010160074,Panel A,1,005705,5,10101016,5,Male,Child/Adopted child,,15,,3,1995,0,7,This village,,yes,,,,,,1,,,2,,,,Christianity,Never married,,,,,,,,Stay
57,101010160074,Panel A,1,005706,6,10101016,6,Male,Child/Adopted child,,11,,3,1999,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
57,101010160074,Panel A,1,005707,7,10101016,7,Male,Child/Adopted child,,9,,10,2000,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
57,101010160074,Panel A,1,005708,8,10101016,8,Male,Child/Adopted child,,6,,1,2004,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
57,101010160074,Panel A,1,005709,9,10101016,9,Male,Grandchild,,4,3,1,2006,0,7,This village,,yes,,,,,,Living outside HH,,MSCE,Living outside HH,,JCE,,,,,,,,,,,Stay
57,101010160074,Panel A,1,005710,10,10101016,10,Female,Niece/Nephew,,4,10,6,2005,0,7,Town or urban centre in other district,Mzuzu City,,2,Parents moved,,TOWN OR URBAN CENTRE IN OTHER DISTRICT,Mzuzu City,Living outside HH,,NONE,Living outside HH,,NONE,,,,,,,,,,,Stay
55,101010160086,Panel A,1,005501,1,10101016,1,Male,Head,,50,,7,1959,0,7,Other village in this district,,no,7,Job transfer,,OTHER VILLAGE IN  THIS DISTRICT,,Living outside HH,,NONE,Living outside HH,,NONE,Sukwa,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
55,101010160086,Panel A,1,005502,2,10101016,2,Female,Wife/Husband,,29,,7,1980,0,7,Other village in this district,,no,7,Job transfer,,OTHER VILLAGE IN  THIS DISTRICT,,Dead,12,NONE,Living outside HH,,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
55,101010160086,Panel A,1,005503,3,10101016,3,Female,Child/Adopted child,,15,,12,1994,0,0,Other village in this district,,no,7,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,Dead,12,NONE,,Christianity,Never married,,,,,,,,Stay
55,101010160086,Panel A,1,005504,4,10101016,4,Female,Child/Adopted child,,15,,2,1995,0,0,Other village in this district,,no,7,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,2,,,,Christianity,Never married,,,,,,,,Stay
55,101010160086,Panel A,1,005505,5,10101016,5,Female,Child/Adopted child,,12,,11,1997,0,7,Other village in this district,,no,7,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,2,,,,Christianity,Never married,,,,,,,,Stay
55,101010160086,Panel A,1,005506,6,10101016,6,Female,Child/Adopted child,,12,,4,1998,0,7,Other village in this district,,no,7,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,Dead,9,NONE,,Christianity,Never married,,,,,,,,Stay
55,101010160086,Panel A,1,005507,7,10101016,7,Male,Child/Adopted child,,8,,10,2001,0,7,Other village in this district,,no,7,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,2,,,,,,,,,,,,,Stay
55,101010160086,Panel A,1,005508,8,10101016,8,Female,Child/Adopted child,,7,,6,2002,0,7,Other village in this district,,no,7,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,Dead,4,NONE,,,,,,,,,,,Stay
55,101010160086,Panel A,1,005509,9,10101016,9,Female,Child/Adopted child,,4,11,5,2005,0,7,This village,,yes,,,,,,1,,,Dead,1,NONE,,,,,,,,,,,Stay
55,101010160086,Panel A,1,005510,10,10101016,10,Male,Child/Adopted child,,1,3,1,2009,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
55,101010160086,Panel A,1,005511,11,10101016,11,Female,Niece/Nephew,,16,,5,1993,0,7,Other village in this district,,no,7,To live with relatives,,OTHER VILLAGE IN  THIS DISTRICT,,Living outside HH,,NONE,Living outside HH,,NONE,,Christianity,Never married,,,,,,,,Stay
47,101010160096,Panel A,1,004701,1,10101016,1,Male,Head,,40,,7,1969,0,7,Other village in this district,,no,37,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,Dead,21,NONE,Living outside HH,,NONE,Sukwa,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
47,101010160096,Panel A,1,004702,2,10101016,2,Female,Wife/Husband,,39,,5,1970,0,7,Outside malawi,Zambia,,20,Marriage,,OUTSIDE MALAWI,Zambia,Dead,2,NONE,Dead,26,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
47,101010160096,Panel A,1,004703,3,10101016,3,Female,Child/Adopted child,,14,,12,1995,0,7,This village,,yes,,,,,,1,,,2,,,,Christianity,Never married,,,,,,,,Stay
47,101010160096,Panel A,1,004704,4,10101016,4,Male,Child/Adopted child,,11,,5,1998,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
47,101010160096,Panel A,1,004705,5,10101016,5,Male,Child/Adopted child,,8,,10,2001,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
47,101010160096,Panel A,1,004706,6,10101016,6,Male,Child/Adopted child,,6,,10,2003,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
47,101010160096,Panel A,1,004707,7,10101016,7,Male,Child/Adopted child,,2,7,9,2007,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
63,101010160143,Panel A,1,006301,1,10101016,1,Male,Head,,32,,7,1977,10,7,This village,,yes,,,,,,Dead,15,NONE,Living outside HH,,NONE,Lambya,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
63,101010160143,Panel A,1,006302,2,10101016,2,Female,Wife/Husband,,28,,8,1981,0,7,Outside malawi,Zambia,,20,Parents moved,,OUTSIDE MALAWI,Zambia,Dead,10,NONE,Dead,27,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
63,101010160143,Panel A,1,006303,3,10101016,3,Female,Child/Adopted child,,9,,4,2001,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
63,101010160143,Panel A,1,006304,4,10101016,4,Female,Child/Adopted child,,5,8,8,2004,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
63,101010160143,Panel A,1,006305,5,10101016,5,Female,Child/Adopted child,,3,10,6,2006,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
63,101010160143,Panel A,1,006306,6,10101016,6,Female,Child/Adopted child,,0,2,2,2010,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
59,101010160159,Panel A,1,005901,1,10101016,1,Female,Head,,63,,6,1946,0,7,Other village in this district,,yes,,,,,,Dead,50,NONE,Dead,56,NONE,Lambya,Christianity,Divorced,,,,,,,,Stay
59,101010160159,Panel A,1,005902,2,10101016,2,Female,Grandchild,,9,,4,2001,0,7,This village,,yes,,,,,,Living outside HH,,NONE,Living outside HH,,NONE,,,,,,,,,,,Stay
59,101010160159,Panel A,1,005903,3,10101016,3,Female,Child/Adopted child,,7,,3,2003,0,7,This village,,yes,,,,,,Living outside HH,,NONE,Living outside HH,,NONE,,,,,,,,,,,Stay
33,101010160180,Panel A,1,003301,1,10101016,1,Male,Head,,25,,2,1985,0,7,This village,,yes,,,,,,Dead,3,NONE,Dead,10,NONE,Lambya,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
33,101010160180,Panel A,1,003302,2,10101016,2,Female,Wife/Husband,,20,,9,1989,0,7,Other village in this district,,no,3,Marriage,,OTHER VILLAGE IN  THIS DISTRICT,,Living outside HH,,NONE,Living outside HH,,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
33,101010160180,Panel A,1,003303,3,10101016,3,Female,Child/Adopted child,,1,9,7,2008,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
49,101010160207,Panel A,1,004901,1,10101016,1,Male,Head,,35,,7,1974,0,7,Other village in this district,,no,1,Looking for land to farm,,OTHER VILLAGE IN  THIS DISTRICT,,Living outside HH,,NONE,Living outside HH,,NONE,Sukwa,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
49,101010160207,Panel A,1,004902,2,10101016,2,Female,Wife/Husband,,32,,10,1977,0,7,Other village in this district,,no,1,Looking for land to farm,,OTHER VILLAGE IN  THIS DISTRICT,,Dead,4,JCE,Living outside HH,,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
49,101010160207,Panel A,1,004903,3,10101016,3,Female,Child/Adopted child,,12,,7,1997,0,7,Other village in this district,,no,1,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,2,,,,Christianity,Never married,,,,,,,,Stay
49,101010160207,Panel A,1,004904,4,10101016,4,Female,Child/Adopted child,,9,,7,2000,0,7,Other village in this district,,no,1,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,2,,,,,,,,,,,,,Stay
49,101010160207,Panel A,1,004905,5,10101016,5,Female,Child/Adopted child,,6,,11,2003,0,7,Other village in this district,,no,1,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,1,,,2,,,,,,,,,,,,,Stay
53,101010160235,Panel A,1,005301,1,10101016,1,Male,Head,,33,,1,1977,0,7,Town or urban centre in other district,Lilongwe City,,2,Return from work elsewhere,,TOWN OR URBAN CENTRE IN OTHER DISTRICT,Lilongwe City,Living outside HH,,NONE,Living outside HH,,NONE,Chewa,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
53,101010160235,Panel A,1,005302,2,10101016,2,Female,Wife/Husband,,26,,3,1984,0,7,This village,,yes,,,,,,Living outside HH,,NONE,Living outside HH,,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
53,101010160235,Panel A,1,005303,3,10101016,3,Female,Child/Adopted child,,0,8,8,2009,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
43,101010160254,Panel A,1,004301,1,10101016,1,Male,Head,,27,,3,1983,0,7,Town or urban centre in other district,Nkhatabay,,21,Parents moved,,TOWN OR URBAN CENTRE IN OTHER DISTRICT,Nkhatabay,Living outside HH,,NONE,Living outside HH,,NONE,Other,Christianity,"Polygamous,married or non formal union",Yes,2,,,,Yes,1,Stay
43,101010160254,Panel A,1,004302,2,10101016,2,Female,Wife/Husband,,25,,2,1985,0,7,Outside malawi,Zambia,,6,To live with relatives,,OUTSIDE MALAWI,Zambia,Living outside HH,,NONE,Living outside HH,,NONE,,Christianity,"Polygamous,married or non formal union",Yes,1,,,,No,,Stay
43,101010160254,Panel A,1,004303,3,10101016,3,Female,Child/Adopted child,,4,2,2,2006,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
43,101010160254,Panel A,1,004304,4,10101016,4,Female,Child/Adopted child,,1,5,11,2008,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
39,101010160265,Panel A,1,003901,1,10101016,1,Female,Head,,84,,9,1925,0,7,Other village in this district,,no,67,Marriage,,OTHER VILLAGE IN  THIS DISTRICT,,Dead,57,NONE,Dead,44,NONE,Lambya,Christianity,"Polygamous,married or non formal union",Yes,2,,,,No,,Stay
39,101010160265,Panel A,1,003902,2,10101016,2,Male,Wife/Husband,,89,,11,1920,0,5,This village,,yes,,,,,,Dead,40,NONE,Dead,52,NONE,,Christianity,"Polygamous,married or non formal union",Yes,1,,,,Yes,1,Stay
40,101012040003,Panel B,2,004001,1,10101204,1,Male,Head,,31,,3,1979,0,7,This village,,yes,,,,,,Dead,21,NONE,Living outside HH,,NONE,Lambya,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
40,101012040003,Panel B,2,004002,2,10101204,2,Female,Wife/Husband,,26,,11,1983,0,0,Other village in this district,,yes,,,,,,Living outside HH,,NONE,Living outside HH,,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
40,101012040003,Panel B,2,004003,3,10101204,3,Male,Child/Adopted child,,8,,9,2001,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
40,101012040003,Panel B,2,004004,4,10101204,4,Male,Child/Adopted child,,7,,1,2003,0,7,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
40,101012040003,Panel B,2,004005,5,10101204,5,Female,Child/Adopted child,,2,8,12,2007,0,0,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
40,101012040003,Panel B,2,004006,6,10101204,6,Male,Child/Adopted child,,0,10,10,2009,0,0,This village,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
62,101012040007,Panel B,2,006201,1,10101204,1,Male,Head,,87,,8,1923,0,7,Other village in this district,,yes,,,,,,Dead,26,NONE,Dead,29,NONE,Lambya,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
62,101012040007,Panel B,2,006202,2,10101204,2,Female,Wife/Husband,,74,,4,1936,0,7,Other village in this district,,yes,,,,,,Dead,18,NONE,Dead,24,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
42,101012040011,Panel B,2,004201,1,10101204,1,Male,Head,,32,,12,1977,0,7,Other village in this district,,yes,,,,,,Living outside HH,,PSLC,Living outside HH,,NONE,Lambya,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
42,101012040011,Panel B,2,004202,2,10101204,2,Female,Wife/Husband,,29,,2,1981,0,7,Other village in this district,,yes,,,,,,Living outside HH,,NONE,Living outside HH,,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
42,101012040011,Panel B,2,004203,3,10101204,3,Female,Child/Adopted child,,8,,11,2001,0,7,Other village in this district,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
42,101012040011,Panel B,2,004204,4,10101204,4,Male,Child/Adopted child,,4,7,1,2006,0,7,Other village in this district,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
44,101012040020,Panel B,2,004401,1,10101204,1,Male,Head,,34,,10,1975,0,7,Other village in this district,,yes,,,,,,Dead,1,NONE,Living outside HH,,NONE,Lambya,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
44,101012040020,Panel B,2,004402,2,10101204,2,Female,Wife/Husband,,31,,7,1979,0,7,Other village in this district,,yes,,,,,,Dead,22,NONE,Living outside HH,,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
44,101012040020,Panel B,2,004403,3,10101204,3,Male,Child/Adopted child,,10,,6,2000,0,7,Other village in this district,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
44,101012040020,Panel B,2,004404,4,10101204,4,Female,Child/Adopted child,,7,,2,2003,0,7,Other village in this district,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
44,101012040020,Panel B,2,004405,5,10101204,5,Female,Child/Adopted child,,4,9,11,2005,0,7,Other village in this district,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
44,101012040020,Panel B,2,004406,6,10101204,6,Female,Child/Adopted child,,1,8,12,2008,0,7,Other village in this district,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
44,101012040020,Panel B,2,004407,7,10101204,7,Female,Sister/Brother,,7,,6,2003,0,7,Other village in this district,,yes,,,,,,Living outside HH,,NONE,Dead,1,NONE,,,,,,,,,,,Stay
38,101012040024,Panel B,2,003801,1,10101204,1,Male,Head,,33,,11,1976,0,7,This village,,yes,,,,,,Dead,28,PSLC,Living outside HH,,NONE,Lambya,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
38,101012040024,Panel B,2,003802,2,10101204,2,Female,Wife/Husband,,20,,10,1989,0,7,Other village in this district,,yes,,,,,,Dead,18,PSLC,Dead,20,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
38,101012040024,Panel B,2,003803,3,10101204,3,Male,Child/Adopted child,,9,,7,2001,0,7,Other village in this district,,yes,,,,,,1,,,Living outside HH,,NONE,,,,,,,,,,,Stay
38,101012040024,Panel B,2,003804,4,10101204,4,Female,Child/Adopted child,,6,,2,2004,0,7,Other village in this district,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
38,101012040024,Panel B,2,003805,5,10101204,5,Male,Child/Adopted child,,3,1,7,2007,0,7,Other village in this district,,yes,,,,,,1,,,2,,,,,,,,,,,,,Stay
52,101012040028,Panel B,2,005201,1,10101204,1,Female,Head,,31,,6,1979,0,7,Outside malawi,Zambia,,24,Schooling,,OUTSIDE MALAWI,Zambia,Living outside HH,,JCE,Living outside HH,,NONE,Lambya,Christianity,"Polygamous,married or non formal union",Yes,2,,,,No,,Stay
