occ,y2_hhid,qx_type,interview_status,hh_o0a,hh_o00,hh_o01_2,hh_o02,hh_o03,hh_o04,hh_o05,hh_o06,hh_o07a,hh_o07b,hh_o08a,hh_o08b,hh_o09,hh_o10a,hh_o10b,hh_o11,hh_o12,hh_o13,hh_o13_1a,hh_o13_1b,hh_o14,hh_o14_1a,hh_o14_1b,hh_o15,hh_o16,hh_o17,hh_o18a,hh_o18b
1,0041-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0042-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0043-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0044-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0045-001,PANEL A,Panel A - 2 Visits,1,YES,99,41,FEMALE,STD6,YES,1990,CHITIPA,CHITIPA,41,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
2,0045-001,PANEL A,Panel A - 2 Visits,,YES,99,33,FEMALE,STD5,YES,2001,CHITIPA,CHITIPA,33,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
3,0045-001,PANEL A,Panel A - 2 Visits,,YES,99,25,FEMALE,STD7,YES,2008,CHITIPA,CHITIPA,25,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
1,0046-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0047-001,PANEL A,Panel A - 2 Visits,2,YES,99,23,FEMALE,STD5,YES,2009,CHITIPA,CHITIPA,4,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
2,0047-001,PANEL A,Panel A - 2 Visits,2,YES,99,20,FEMALE,STD5,YES,2010,MZIMBA,MZIMBA,3,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
1,0048-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0049-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0050-001,PANEL B,Panel B - 2 Visits,1,YES,99,23,FEMALE,STD8,YES,2004,CHITIPA,CHITIPA,9,YEAR,HOUSE WORK,,,YES,SEMI-ANNUALLY,,,,1300,1,2,YES,SEMI-ANNUALLY,2200,1,2
2,0050-001,PANEL B,Panel B - 2 Visits,1,YES,99,20,FEMALE,STD7,YES,2007,CHITIPA,CHITIPA,6,YEAR,HOUSE WORK,,,NO,,,,,,,,YES,SEMI-ANNUALLY,1000,1,2
1,0051-001,PANEL A,Panel A - 2 Visits,2,YES,3,27,MALE,FORM4,YES,2012,ZAMBIA,ZAMBIA,1,YEAR,STUDENT,,,NO,,,,,,,,NO,,,,
2,0051-001,PANEL A,Panel A - 2 Visits,2,YES,5,19,FEMALE,FORM2,YES,2012,ZAMBIA,ZAMBIA,1,YEAR,STUDENT,,,NO,,,,,,,,NO,,,,
1,0052-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0053-002,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0054-001,PANEL B,Panel B - 2 Visits,1,YES,3,23,MALE,TC YR 1,YES,2011,MZUZU,MZUZU CITY,2,YEAR,STUDENT,,,NO,,,,,,,,NO,,,,
1,0054-003,PANEL B,Panel B - 2 Visits,2,YES,99,26,MALE,TC YR 3,YES,2011,LILONGWE,LILONGWE,1,YEAR,STUDENT,,,NO,,,,,,,,NO,,,,
1,0055-001,PANEL A,Panel A - 2 Visits,2,YES,99,21,MALE,FORM4,YES,2007,CHITIPA,CHITIPA,21,YEAR,STUDENT,,,NO,,,,,,,,NO,,,,
1,0056-001,PANEL B,Panel B - 2 Visits,1,YES,4,21,MALE,STD2,YES,2011,ZAMBIA,ZAMBIA,2,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
1,0057-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0058-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0059-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0060-001,PANEL B,Panel B - 2 Visits,1,YES,99,32,MALE,FORM4,NO,,CHITIPA,CHITIPA,15,YEAR,UNEMPLOYED,,,YES,SPORADICALLY AS NEEDED,,,,5000,1,,YES,SPORADICALLY AS NEEDED,1200,1,
1,0061-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0062-002,PANEL B,Panel B - 2 Visits,1,YES,99,42,MALE,STD8,YES,2006,CHITIPA,CHITIPA,42,YEAR,UNEMPLOYED,,,NO,,,,,,,,YES,TWICE OR MORE PER MONTH,2000,1,
2,0062-002,PANEL B,Panel B - 2 Visits,1,YES,99,28,MALE,STD8,YES,2007,CHITIPA,CHITIPA,28,YEAR,UNEMPLOYED,,,NO,,,,,,,,YES,TWICE OR MORE PER MONTH,700,1,
3,0062-002,PANEL B,Panel B - 2 Visits,1,YES,99,32,FEMALE,STD8,YES,2004,CHITIPA,CHITIPA,32,YEAR,UNEMPLOYED,,,YES,SEMI-ANNUALLY,,,,3000,1,,YES,TWICE OR MORE PER MONTH,800,1,
1,0063-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0064-001,PANEL B,Panel B - 2 Visits,1,YES,99,33,MALE,FORM4,NO,,ZAMBIA,ZAMBIA,33,YEAR,WORKING,FACTORY DRIVER,98,NO,,,,,,,,NO,,,,
2,0064-001,PANEL B,Panel B - 2 Visits,1,YES,99,36,FEMALE,FORM4,NO,,ZIMBABWE,ZIMBABWE,36,YEAR,WORKING,HOTELIAN/WAITERESS,53,NO,,,,,,,,NO,,,,
1,0065-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0066-001,PANEL B,Panel B - 2 Visits,1,YES,99,32,MALE,STD6,YES,2005,CHITIPA,CHITIPA,8,YEAR,HOUSE WORK,,,YES,SPORADICALLY AS NEEDED,,,,3400,1,2,YES,SPORADICALLY AS NEEDED,2000,1,2
2,0066-001,PANEL B,Panel B - 2 Visits,1,YES,99,24,FEMALE,STD8,YES,2007,CHITIPA,CHITIPA,6,YEAR,HOUSE WORK,,,YES,SPORADICALLY AS NEEDED,,,,2000,1,2,NO,,,,
1,0067-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0068-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0069-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0070-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0071-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0072-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0073-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0074-001,PANEL B,Panel B - 2 Visits,1,YES,99,16,MALE,FORM4,NO,,CHITIPA,CHITIPA,16,YEAR,STUDENT,,,NO,,,,,,,,NO,,,,
1,0075-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0076-001,PANEL B,Panel B - 2 Visits,1,YES,99,31,FEMALE,FORM4,YES,2009,KARONGA,KARONGA,7,YEAR,WORKING,PRIMARY SCHOOL TEACHER,13,YES,SEMI-ANNUALLY,,,,2000,1,,NO,,,,
2,0076-001,PANEL B,Panel B - 2 Visits,1,YES,99,35,FEMALE,FORM4,YES,1985,LILONGWE,LILONGWE CITY,4,YEAR,WORKING,PRIMARY SCHOOL TEACHER,13,YES,SEMI-ANNUALLY,,,,2000,1,,NO,,,,
3,0076-001,PANEL B,Panel B - 2 Visits,1,YES,99,53,FEMALE,FORM4,YES,1980,KARONGA,KARONGA,5,YEAR,UNEMPLOYED,,,YES,SEMI-ANNUALLY,,,,4000,1,,NO,,,,
1,0077-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0078-001,PANEL B,Panel B - 2 Visits,1,YES,99,43,FEMALE,FORM4,YES,1996,MZUZU,MZUZU CITY,17,YEAR,WORKING,PRIMARY SCHOOL TEACHER,13,YES,SEMI-ANNUALLY,,,,7000,1,2,NO,,,,
2,0078-001,PANEL B,Panel B - 2 Visits,1,YES,99,41,FEMALE,FORM4,YES,1999,MZUZU,MZUZU CITY,14,YEAR,WORKING,SECRETARY SEVENTH DAY ADV,14,YES,SEMI-ANNUALLY,,,,12000,1,2,YES,SEMI-ANNUALLY,2500,1,2
3,0078-001,PANEL B,Panel B - 2 Visits,1,YES,99,38,MALE,FORM4,YES,2002,MZUZU,MZUZU CITY,11,YEAR,WORKING,DRIVER-WORKS DEPENTMENT,98,NO,,,,,,,,YES,SPORADICALLY AS NEEDED,3000,1,2
4,0078-001,PANEL B,Panel B - 2 Visits,1,YES,99,36,MALE,FORM4,YES,2004,DOWA,DOWA,9,YEAR,WORKING,SOLDIER-MDF,58,YES,SPORADICALLY AS NEEDED,,,,4000,1,2,NO,,,,
5,0078-001,PANEL B,Panel B - 2 Visits,1,YES,99,33,FEMALE,FORM4,YES,2006,MZUZU,MZUZU CITY,7,YEAR,WORKING,SALES MAN- CHIPIKU,49,NO,,,,,,,,YES,SPORADICALLY AS NEEDED,13000,1,2
6,0078-001,PANEL B,Panel B - 2 Visits,1,YES,99,30,MALE,FORM4,YES,2008,MZUZU,MZUZU CITY,5,YEAR,WORKING,ACCOUNTANT-MZ MAGSTRATE C,11,YES,SEMI-ANNUALLY,,,,9000,1,2,YES,SEMI-ANNUALLY,5600,1,2
1,0079-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0080-001,PANEL B,Panel B - 2 Visits,1,YES,99,30,FEMALE,FORM4,YES,2003,KASUNGU,KASUNGU,10,YEAR,WORKING,PRIMARY TEACHER,13,YES,QUARTERLY,,,,50000,1,2,YES,SEMI-ANNUALLY,15000,1,2
2,0080-001,PANEL B,Panel B - 2 Visits,1,YES,99,26,MALE,FORM4,YES,2003,MZUZU,MZUZU CITY,10,YEAR,UNEMPLOYED,,,YES,SPORADICALLY AS NEEDED,,,,20000,1,2,YES,SPORADICALLY AS NEEDED,7000,1,2
1,0081-001,PANEL A,Panel A - 2 Visits,1,YES,99,32,MALE,FORM4,YES,2004,CHITIPA,CHITIPA,9,YEAR,UNEMPLOYED,,,YES,QUARTERLY,,,,2000,1,2,YES,QUARTERLY,4000,1,2
2,0081-001,PANEL A,Panel A - 2 Visits,1,YES,99,23,MALE,FORM4,YES,2003,MZIMBA,MZIMBA,10,YEAR,WORKING,CASUAL LABOURER,99,YES,QUARTERLY,,,,4000,1,2,NO,,,,
1,0082-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0083-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0084-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0086-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0087-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0088-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0089-001,PANEL A,Panel A - 2 Visits,1,YES,99,25,FEMALE,STD4,YES,2007,MZUZU,MZUZU CITY,5,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
2,0089-001,PANEL A,Panel A - 2 Visits,1,YES,99,23,FEMALE,STD6,YES,2009,MZUZU,MZUZU CITY,4,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
1,0090-001,PANEL B,Panel B - 2 Visits,1,YES,99,27,MALE,FORM4,YES,2009,LILONGWE,LILONGWE,4,YEAR,WORKING,ELECTRICIAN,85,YES,SPORADICALLY AS NEEDED,,,,5000,1,2,NO,,,,
1,0091-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0092-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0093-001,PANEL A,Panel A - 2 Visits,1,YES,99,31,FEMALE,STD4,YES,1998,CHITIPA,CHITIPA,6,YEAR,HOUSE WORK,,,NO,,,,,,,,YES,QUARTERLY,3000,1,2
1,0094-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0095-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0096-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0097-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0098-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0099-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0100-001,PANEL B,Panel B - 2 Visits,1,YES,3,18,FEMALE,STD8,YES,2012,KARONGA,KARONGA,18,YEAR,UNEMPLOYED,,,NO,,,,,,,,YES,SPORADICALLY AS NEEDED,1800,1,2
1,0100-003,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0101-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0102-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0103-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0103-003,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0104-001,PANEL B,Panel B - 2 Visits,1,YES,99,24,FEMALE,STD8,YES,2007,KARONGA,KARONGA,6,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
1,0105-001,PANEL A,Panel A - 2 Visits,1,YES,99,48,MALE,STD8,YES,1993,NKHATABAY,NKHATABAY,20,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
2,0105-001,PANEL A,Panel A - 2 Visits,1,YES,99,40,MALE,STD8,YES,1993,NKHATABAY,NKHATABAY,20,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
3,0105-001,PANEL A,Panel A - 2 Visits,1,YES,99,25,MALE,STD7,YES,1993,NKHATABAY,NKHATABAY,20,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
4,0105-001,PANEL A,Panel A - 2 Visits,1,YES,99,37,FEMALE,STD4,YES,1996,MZUZU,MZUZU CITY,17,YEAR,UNEMPLOYED,,,YES,SPORADICALLY AS NEEDED,,,,7000,1,2,NO,,,,
1,0106-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
