occ,y2_hhid,qx_type,interview_status,ag_e0a,ag_e0e,ag_e0g,ag_e01_1,ag_e02,ag_e03,ag_e04,ag_e05a,ag_e05b,ag_e05_1,ag_e07,ag_e08a,ag_e08b,ag_e08_1a,ag_e08_1b,ag_e08_2a,ag_e08_2b,ag_e09,ag_e10a,ag_e10b,ag_e10c,ag_e10d,ag_e10e,ag_e11,ag_e11_1,ag_e12a,ag_e12b,ag_e13,ag_e13_1,ag_e13_2a,ag_e13_2b,ag_e13_2c,ag_e13_2d,ag_e14,ag_e15,ag_e15_1,ag_e16,ag_e18,ag_e20,ag_e21,ag_e22,ag_e24,ag_e26a,ag_e26b
3,0013-001,PANEL A,Panel A - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,NOVEMBER,2012,YES,OPV MAIZE SEED,7.5,KILOGRAM,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,0,0,N02,,,,,,,
4,0013-001,PANEL A,Panel A - 2 Visits,YES,504,1,FLEXI VOUCHER,N01,NO,,NOVEMBER,2012,YES,GROUNDNUT SEED,1,2 KG BAG,DECEMBER,2012,2,DAY,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,0,0,N02,,,,,,,
1,0014-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N03,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,3,DAY,NO,,,,,,NO,,,,ON FOOT,YES,502,503,,,0,500,0,N04,,,,,,,
2,0014-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N03,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,3,DAY,NO,,,,,,NO,,,,ON FOOT,YES,501,503,,,0,500,0,N04,,,,,,,
3,0014-001,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N03,NO,,NOVEMBER,2012,YES,HYBRID MAIZE,1,5 KG BAG,NOVEMBER,2012,3,DAY,NO,,,,,,NO,,,,ON FOOT,YES,501,502,,,0,150,0,N04,,,,,,,
4,0014-001,PANEL B,Panel B - 2 Visits,YES,504,1,FLEXI VOUCHER,N03,NO,,NOVEMBER,2012,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,NO,NO,ACCESSIBLE INPUT SUPPLIER DID NOT HAVE THE INPUT,
1,0015-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,4,DAY,NO,,,,,,YES,FELLOW FARMER,25,KILOGRAM,ON FOOT,YES,502,,,,0,500,0,N02,,,,,,,
2,0015-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,4,DAY,NO,,,,,,YES,FELLOW FARMER,25,KILOGRAM,ON FOOT,YES,501,,,,0,500,0,N02,,,,,,,
3,0015-001,PANEL A,Panel A - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,NOVEMBER,2012,YES,HYBRID MAIZE,1,10 KG BAG,DECEMBER,2012,4,DAY,NO,,,,,,YES,FELLOW FARMER,25,KILOGRAM,ON FOOT,NO,,,,,0,150,0,N02,,,,,,,
4,0015-001,PANEL A,Panel A - 2 Visits,YES,504,1,FLEXI VOUCHER,N01,NO,,NOVEMBER,2012,YES,BEAN SEED,1,3 KG BAG,DECEMBER,2012,4,DAY,NO,,,,,,YES,FELLOW FARMER,1,KILOGRAM,ON FOOT,NO,,,,,0,0,0,N02,,,,,,,
4,0016-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0017-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,200,500,0,N02,,,,,,,
2,0017-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,1,DAY,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,200,500,0,N02,,,,,,,
1,0018-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,5,HOURS,NO,,,,,,NO,,,,ON FOOT,YES,502,503,504,,0,500,0,N02,,,,,,,
2,0018-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,5,HOURS,NO,,,,,,NO,,,,ON FOOT,YES,501,503,504,,0,500,0,N02,,,,,,,
3,0018-001,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,NOVEMBER,2012,YES,BEAN SEED,1,5 KG BAG,DECEMBER,2012,5,HOURS,NO,,,,,,NO,,,,ON FOOT,YES,501,502,504,,0,150,0,N02,,,,,,,
4,0018-001,PANEL B,Panel B - 2 Visits,YES,504,1,FLEXI VOUCHER,N01,NO,,NOVEMBER,2012,YES,SOYABEAN SEED,1,2 KG BAG,DECEMBER,2012,5,HOURS,NO,,,,,,NO,,,,ON FOOT,YES,501,502,503,,0,0,0,N02,,,,,,,
1,0019-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,1,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,500,500,0,N02,,,,,,,
1,0020-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0021-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0022-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0023-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,DECEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,3,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,0,N02,,,,,,,
2,0023-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,NO,,DECEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,3,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,0,N02,,,,,,,
1,0024-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0025-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0026-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,50,KILOGRAM,NOVEMBER,2012,3,HOURS,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,500,0,N02,,,,,,,
2,0026-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,50,KILOGRAM,NOVEMBER,2012,3,HOURS,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,500,0,N02,,,,,,,
3,0026-001,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,NOVEMBER,2012,YES,HYBRID MAIZE,5,KILOGRAM,NOVEMBER,2012,3,HOURS,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,100,0,N02,,,,,,,
3,0027-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0028-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0029-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,DECEMBER,2012,YES,23:21:0+4S/CHITOWE,50,KILOGRAM,DECEMBER,2012,7,HOURS,NO,,,,,,YES,VILLAGE HEADMAN,25,KILOGRAM,OWN BICYCLE OR OXCART,NO,,,,,0,250,0,N02,,,,,,,
2,0029-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,NO,,DECEMBER,2012,YES,UREA,50,KILOGRAM,DECEMBER,2012,7,HOURS,NO,,,,,,YES,VILLAGE HEADMAN,25,KILOGRAM,OWN BICYCLE OR OXCART,NO,,,,,0,250,0,N02,,,,,,,
1,0030-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,OCTOBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,1,DAY,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,500,0,N02,,,,,,,
2,0030-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,OCTOBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,1,DAY,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,500,0,N02,,,,,,,
3,0030-001,PANEL B,Panel B - 2 Visits,YES,503,1,FLEXI VOUCHER,N01,NO,,OCTOBER,2012,YES,HYBRID MAIZE,1,5 KG BAG,NOVEMBER,2012,1,DAY,NO,,,,,,NO,,,,ON FOOT,NO,,,,,0,100,0,N02,,,,,,,
1,0031-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,50,KILOGRAM,NOVEMBER,2012,3,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,150,500,0,N02,,,,,,,
2,0031-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,50,KILOGRAM,NOVEMBER,2012,3,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,150,500,0,N02,,,,,,,
1,0032-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0033-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0034-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0035-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0036-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,3,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,502,,,,500,500,0,N02,,,,,,,
2,0036-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,3,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,501,,,,0,500,0,N02,,,,,,,
3,0036-001,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,NOVEMBER,2012,YES,HYBRID MAIZE,1,5 KG BAG,NOVEMBER,2012,3,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,150,0,N02,,,,,,,
4,0036-001,PANEL B,Panel B - 2 Visits,YES,504,1,FLEXI VOUCHER,N01,NO,,NOVEMBER,2012,YES,SOYABEAN SEED,1,2 KG BAG,NOVEMBER,2012,3,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,0,0,N02,,,,,,,
3,0037-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0038-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0040-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0041-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0042-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0043-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,YES,500,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,2,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,400,500,0,N02,,,,,,,
2,0043-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,YES,500,NOVEMBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,2,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,400,500,0,N02,,,,,,,
1,0044-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,DECEMBER,2012,3,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,150,500,0,N01,,,,,,,
2,0044-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,DECEMBER,2012,3,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,150,500,0,N01,,,,,,,
3,0044-001,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,NOVEMBER,2012,YES,HYBRID MAIZE,1,5 KG BAG,DECEMBER,2012,3,HOURS,NO,,,,,,NO,,,,BICYCLE TAXI,NO,,,,,150,300,0,N01,,,,,,,
1,0045-001,PANEL A,Panel A - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,50,50 KG BAG,NOVEMBER,2012,1,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,550,0,N02,,,,,,,
2,0045-001,PANEL A,Panel A - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,50,50 KG BAG,NOVEMBER,2012,1,DAY,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,550,0,N02,,,,,,,
1,0046-001,PANEL B,Panel B - 2 Visits,YES,501,2,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,50,KILOGRAM,DECEMBER,2012,2,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,0,N02,,,,,,,
2,0046-001,PANEL B,Panel B - 2 Visits,YES,502,2,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,50,KILOGRAM,DECEMBER,2012,2,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,500,0,N02,,,,,,,
3,0046-001,PANEL B,Panel B - 2 Visits,YES,503,2,MAIZE SEED,N01,NO,,NOVEMBER,2012,YES,HYBRID MAIZE,2,KILOGRAM,DECEMBER,2012,2,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,150,0,N02,,,,,,,
2,0047-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0048-001,PANEL B,Panel B - 2 Visits,YES,501,2,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,2,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,502,503,504,,400,500,0,N02,,,,,,,
2,0048-001,PANEL B,Panel B - 2 Visits,YES,502,2,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,2,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,501,503,504,,0,500,0,N02,,,,,,,
3,0048-001,PANEL B,Panel B - 2 Visits,YES,503,2,MAIZE SEED,N01,NO,,NOVEMBER,2012,YES,HYBRID MAIZE,1,5 KG BAG,NOVEMBER,2012,2,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,501,502,504,,0,150,0,N02,,,,,,,
4,0048-001,PANEL B,Panel B - 2 Visits,YES,504,2,FLEXI VOUCHER,N01,NO,,NOVEMBER,2012,YES,GROUNDNUT SEED,1,2 KG BAG,NOVEMBER,2012,2,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,501,502,503,,0,0,0,N02,,,,,,,
2,0049-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0050-001,PANEL B,Panel B - 2 Visits,YES,501,1,23:21:0+4S/CHITOWE,N01,NO,,NOVEMBER,2012,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,NOVEMBER,2012,2,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,502,,,,500,500,0,N02,,,,,,,
2,0050-001,PANEL B,Panel B - 2 Visits,YES,502,1,UREA,N01,NO,,NOVEMBER,2012,YES,UREA,1,50 KG BAG,NOVEMBER,2012,2,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,YES,502,,,,0,500,0,N02,,,,,,,
3,0050-001,PANEL B,Panel B - 2 Visits,YES,503,1,MAIZE SEED,N01,NO,,NOVEMBER,2012,YES,HYBRID MAIZE,1,5 KG BAG,NOVEMBER,2012,2,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,150,0,N02,,,,,,,
4,0050-001,PANEL B,Panel B - 2 Visits,YES,504,1,FLEXI VOUCHER,N01,NO,,NOVEMBER,2012,YES,SOYABEAN SEED,1,2 KG BAG,NOVEMBER,2012,2,HOURS,NO,,,,,,NO,,,,OWN BICYCLE OR OXCART,NO,,,,,0,0,0,N02,,,,,,,
2,0051-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
