ea_id,com_cb01,com_cb03,com_cb04,com_cb05a,com_cb05a_os,com_cb06,com_cb07,com_cb08
10102004,1,MALE,81,HEADMAN,,77,NONE,SUKWA
10102004,2,MALE,27,COUNSELOR TO HEADMAN,,10,NONE,SUKWA
10102004,3,MALE,26,OTHER (SPECIFY),FARMER,26,MSCE,SUKWA
10102004,4,MALE,26,OTHER (SPECIFY),FARMER,26,NONE,SUKWA
10102004,5,MALE,46,HEADMAN,,46,PSLC,SUKWA
10102004,6,MALE,50,COUNSELOR TO HEADMAN,,50,NONE,SUKWA
10102004,7,FEMALE,56,SPOUSE OF HEADMAN,,30,NONE,SUKWA
10103414,1,MALE,68,HEADMAN,,68,NONE,LAMBYA
10103414,2,MALE,46,OTHER (SPECIFY),FARMER,43,PSLC,LAMBYA
10103414,3,FEMALE,65,SPOUSE OF HEADMAN,,48,NONE,LAMBYA
10103414,4,MALE,42,HEADMAN,,42,JCE,LAMBYA
10103414,5,MALE,53,HEADMAN,,53,JCE,LAMBYA
10103414,6,MALE,64,COUNSELOR TO HEADMAN,,64,NONE,LAMBYA
10104150,1,MALE,18,BUSINESS MAN/WOMAN,,18,NONE,TUMBUKA
10104150,2,MALE,30,SCHOOL TEACHER,,5,MSCE,TUMBUKA
10104150,3,MALE,54,SCHOOL HEADMASTER,,1,JCE,TUMBUKA
10104150,4,MALE,34,RELIGIOUS LEADER,,10,JCE,TUMBUKA
10104150,5,MALE,47,HEADMAN,,47,PSLC,TUMBUKA
10104150,6,FEMALE,44,SPOUSE OF HEADMAN,,22,PSLC,TUMBUKA
10104150,7,MALE,68,HEADMAN,,68,NONE,TUMBUKA
10201688,1,MALE,50,HEADMAN,,1,NONE,NKHONDE
10201688,2,MALE,45,COUNSELOR TO HEADMAN,,45,NONE,NKHONDE
10201688,3,MALE,28,COUNSELOR TO HEADMAN,,28,NONE,NKHONDE
10201688,4,MALE,37,SCHOOL HEADMASTER,,1,MSCE,NKHONDE
10201688,5,MALE,42,COUNSELOR TO HEADMAN,,42,PSLC,NKHONDE
10201688,6,MALE,50,COUNSELOR TO HEADMAN,,50,PSLC,NKHONDE
10201688,7,MALE,52,COUNSELOR TO HEADMAN,,52,PSLC,NKHONDE
10201688,8,MALE,35,OTHER (SPECIFY),SCHOOL COMMITTEE CHAIR,35,PSLC,NKHONDE
10201688,9,MALE,48,COUNSELOR TO HEADMAN,,48,NONE,NKHONDE
10202514,1,MALE,54,HEADMAN,,54,PSLC,NYAKYUSA
10202514,2,MALE,68,OTHER (SPECIFY),FARMER,68,NONE,NYAKYUSA
10202514,3,MALE,77,COUNSELOR TO HEADMAN,,77,NONE,NYAKYUSA
10202514,4,MALE,29,COUNSELOR TO HEADMAN,,29,NONE,NYAKYUSA
10202514,5,MALE,44,RELIGIOUS LEADER,,44,NONE,NYAKYUSA
10202514,6,MALE,30,BUSINESS MAN/WOMAN,,30,NONE,NYAKYUSA
10202514,7,FEMALE,35,BUSINESS MAN/WOMAN,,35,NONE,NYAKYUSA
10203176,1,MALE,43,SCHOOL HEADMASTER,,1,MSCE,CHEWA
10203176,2,FEMALE,38,SCHOOL TEACHER,,11,JCE,TUMBUKA
10203176,3,MALE,35,HEADMAN,,35,PSLC,SUKWA
10203176,4,MALE,57,COUNSELOR TO HEADMAN,,11,PSLC,SUKWA
10203176,5,MALE,32,COUNSELOR TO HEADMAN,,28,JCE,SUKWA
10203176,6,MALE,27,COUNSELOR TO HEADMAN,,10,NONE,SUKWA
10203176,7,MALE,21,COUNSELOR TO HEADMAN,,21,PSLC,SUKWA
10203744,1,MALE,52,BUSINESS MAN/WOMAN,,20,NONE,TUMBUKA
10203744,2,MALE,59,SCHOOL HEADMASTER,,8,JCE,TUMBUKA
10203744,3,MALE,54,COUNSELOR TO HEADMAN,,17,NONE,NKHONDE
10203744,4,MALE,56,COUNSELOR TO HEADMAN,,56,NONE,NKHONDE
10203744,5,MALE,60,SCHOOL TEACHER,,56,JCE,TUMBUKA
10203744,6,FEMALE,30,BUSINESS MAN/WOMAN,,30,NONE,TUMBUKA
10204322,1,FEMALE,36,BUSINESS MAN/WOMAN,,20,PSLC,SUKWA
10204322,2,MALE,34,COUNSELOR TO HEADMAN,,10,PSLC,SUKWA
10204322,3,MALE,35,OTHER (SPECIFY),FARMER,35,NONE,TUMBUKA
10204322,4,MALE,75,COUNSELOR TO HEADMAN,,75,MSCE,TUMBUKA
10204322,5,MALE,83,OTHER (SPECIFY),FARMER,51,NONE,SUKWA
10204586,1,MALE,80,HEADMAN,,51,NONE,TUMBUKA
10204586,2,FEMALE,72,SPOUSE OF HEADMAN,,43,NONE,TUMBUKA
10204586,3,MALE,54,OTHER (SPECIFY),FARMER,25,PSLC,TUMBUKA
10204586,4,FEMALE,25,BUSINESS MAN/WOMAN,,3,NONE,TUMBUKA
10204586,5,MALE,58,HEADMAN,,52,NONE,TUMBUKA
10204586,6,FEMALE,50,COUNSELOR TO HEADMAN,,50,JCE,TUMBUKA
10220103,1,MALE,53,COUNSELOR TO HEADMAN,,30,PSLC,NKHONDE
10220103,2,MALE,51,COUNSELOR TO HEADMAN,,20,PSLC,NKHONDE
10220103,3,FEMALE,52,OTHER (SPECIFY),FARMER,52,NONE,TUMBUKA
10220103,4,FEMALE,45,OTHER (SPECIFY),FARMER,36,PSLC,NKHONDE
10220103,5,MALE,63,OTHER (SPECIFY),FARMER,63,NONE,TUMBUKA
10220103,6,MALE,88,OTHER (SPECIFY),FARMER,88,NONE,TUMBUKA
10220103,7,MALE,63,COUNSELOR TO HEADMAN,,63,NONE,TUMBUKA
10220705,1,MALE,71,HEADMAN,,71,MSCE,NKHONDE
10220705,2,MALE,72,COUNSELOR TO HEADMAN,,46,JCE,NKHONDE
10220705,3,MALE,68,HEADMAN,,60,NONE,NKHONDE
10220705,4,MALE,74,COUNSELOR TO HEADMAN,,30,JCE,NKHONDE
10220705,5,MALE,79,HEADMAN,,47,NONE,NKHONDE
10220705,6,MALE,60,COUNSELOR TO HEADMAN,,43,JCE,NKHONDE
10220705,7,FEMALE,64,SPOUSE OF HEADMAN,,45,NONE,NKHONDE
10301663,1,MALE,80,HEADMAN,,80,PSLC,TONGA
10301663,2,MALE,39,ASSIST. AGRICULTURAL EXTENSION DEVELOPMENT OFFICER,,5,NON-UNIV. DIPLOMA,TUMBUKA
10301663,3,MALE,53,COUNSELOR TO HEADMAN,,53,PSLC,TONGA
10301663,4,MALE,38,POLICE,,38,MSCE,TONGA
10301663,5,MALE,43,HEALTH WORKER,,15,MSCE,CHEWA
10302010,1,MALE,74,HEADMAN,,74,PSLC,TONGA
10302010,2,MALE,64,COUNSELOR TO HEADMAN,,64,NONE,TONGA
10302010,3,MALE,55,BUSINESS MAN/WOMAN,,55,NONE,TONGA
10302010,4,MALE,47,RELIGIOUS LEADER,,47,PSLC,TONGA
10302010,5,MALE,55,POLICE,,55,NONE,TONGA
10304012,1,MALE,58,HEADMAN,,37,PSLC,TONGA
10304012,2,MALE,46,HEALTH WORKER,,20,MSCE,TONGA
10304012,3,MALE,27,COUNSELOR TO HEADMAN,,20,MSCE,TONGA
10304012,4,MALE,41,POLICE,,25,PSLC,TONGA
10304012,5,MALE,40,HEADMAN,,35,PSLC,TONGA
10304012,6,MALE,38,SCHOOL TEACHER,,16,MSCE,TONGA
10304012,7,MALE,29,POLICE,,20,NONE,TONGA
10304012,8,MALE,56,COUNSELOR TO HEADMAN,,53,PSLC,TONGA
10304012,9,MALE,22,COUNSELOR TO HEADMAN,,20,MSCE,TONGA
10304012,10,MALE,45,COUNSELOR TO HEADMAN,,30,JCE,TONGA
10305446,1,MALE,49,HEADMAN,,49,PSLC,TONGA
10305446,2,MALE,38,COUNSELOR TO HEADMAN,,38,PSLC,TONGA
10305446,3,MALE,43,HEADMAN,,43,JCE,TONGA
10305446,4,MALE,56,SCHOOL TEACHER,,56,JCE,TONGA
10305446,5,MALE,52,ASSIST. AGRICULTURAL EXTENSION DEVELOPMENT OFFICER,,13,NON-UNIV. DIPLOMA,NGONI
10305446,6,MALE,40,HEALTH WORKER,,10,MSCE,CHEWA
10307413,1,MALE,72,HEADMAN,,72,NONE,TONGA
10307413,2,MALE,54,SCHOOL HEADMASTER,,5,MSCE,TONGA
10307413,3,MALE,31,POLICE,,31,JCE,TONGA
10307413,4,MALE,51,RELIGIOUS LEADER,,1,UNIVER. DIPLOMA,TUMBUKA
10307413,5,MALE,58,COUNSELOR TO HEADMAN,,58,NONE,TONGA
10308636,1,MALE,56,HEADMAN,,56,PSLC,TONGA
10308636,2,MALE,45,COUNSELOR TO HEADMAN,,45,PSLC,TONGA
10308636,3,MALE,40,SCHOOL TEACHER,,2,MSCE,TONGA
10308636,4,MALE,32,ASSIST. AGRICULTURAL EXTENSION DEVELOPMENT OFFICER,,4,NON-UNIV. DIPLOMA,SUKWA
10308636,5,MALE,26,POLICE,,26,PSLC,TONGA
10401140,1,MALE,45,BUSINESS MAN/WOMAN,,45,PSLC,TUMBUKA
10401140,2,FEMALE,28,ASSIST. AGRICULTURAL EXTENSION DEVELOPMENT OFFICER,,4,UNIVER. DIPLOMA,NGONI
10401140,3,FEMALE,55,HEALTH WORKER,,6,JCE,TUMBUKA
10401140,4,MALE,78,COUNSELOR TO HEADMAN,,48,MSCE,TUMBUKA
10401140,5,MALE,30,HEADMAN,,23,MSCE,TUMBUKA
10401502,1,MALE,42,HEADMAN,,42,NONE,TUMBUKA
10401502,2,FEMALE,72,OTHER (SPECIFY),VILLAGE COMMITTEE CHAIR,72,NONE,TUMBUKA
10401502,3,MALE,69,OTHER (SPECIFY),VILLAGE COMMITTEE VICE CHAIR,6,MSCE,CHEWA
10401502,4,MALE,46,POLICE,,46,NONE,TUMBUKA
10401502,5,FEMALE,51,SCHOOL TEACHER,,3,MSCE,TUMBUKA
10401502,6,FEMALE,51,OTHER (SPECIFY),VILLAGE COMMITTEE MEMBER,51,NONE,TUMBUKA
10401502,7,FEMALE,68,OTHER (SPECIFY),VILLAGE COMMITTEE MEMBER,68,NONE,TUMBUKA
10401502,8,FEMALE,33,HEALTH WORKER,,4,MSCE,TUMBUKA
10401522,1,MALE,29,HEADMAN,,29,PSLC,TUMBUKA
10401522,2,MALE,63,HEADMAN,,63,JCE,TUMBUKA
10401522,3,MALE,62,COUNSELOR TO HEADMAN,,62,NONE,TUMBUKA
10401522,4,MALE,27,BUSINESS MAN/WOMAN,,27,PSLC,TUMBUKA
10401522,5,MALE,37,RELIGIOUS LEADER,,37,MSCE,TUMBUKA
10401522,6,MALE,33,HEADMAN,,33,JCE,TUMBUKA
10401522,7,MALE,42,COUNSELOR TO HEADMAN,,42,NONE,TUMBUKA
10401522,8,MALE,20,POLICE,,20,NONE,TUMBUKA
10401522,9,MALE,51,COUNSELOR TO HEADMAN,,51,PSLC,TUMBUKA
10404186,1,MALE,42,HEADMAN,,42,PSLC,TUMBUKA
10404186,2,MALE,52,HEADMAN,,52,PSLC,TUMBUKA
10404186,3,MALE,41,BUSINESS MAN/WOMAN,,41,JCE,TUMBUKA
10404186,4,MALE,34,BUSINESS MAN/WOMAN,,34,NONE,TUMBUKA
10404186,5,FEMALE,32,COUNSELOR TO HEADMAN,,32,NONE,TUMBUKA
10405213,1,MALE,53,HEADMAN,,36,NONE,TUMBUKA
10405213,2,MALE,41,COUNSELOR TO HEADMAN,,36,NONE,TUMBUKA
10405213,3,MALE,48,BUSINESS MAN/WOMAN,,38,PSLC,TUMBUKA
10405213,4,MALE,36,HEALTH WORKER,,2,MSCE,TUMBUKA
10405213,5,MALE,38,POLICE,,38,MSCE,TUMBUKA
10405213,6,MALE,45,BUSINESS MAN/WOMAN,,4,PSLC,NGONI
10501505,1,MALE,46,HEADMAN,,46,JCE,TUMBUKA
10501505,2,MALE,48,COUNSELOR TO HEADMAN,,48,NONE,TUMBUKA
10501505,3,MALE,57,COUNSELOR TO HEADMAN,,57,PSLC,TUMBUKA
10501505,4,MALE,32,BUSINESS MAN/WOMAN,,32,MSCE,TUMBUKA
10501505,5,MALE,52,BUSINESS MAN/WOMAN,,52,NONE,TUMBUKA
10501505,6,MALE,66,RELIGIOUS LEADER,,66,NONE,TUMBUKA
10501505,7,MALE,39,RELIGIOUS LEADER,,39,NONE,TUMBUKA
10501709,1,MALE,31,HEADMAN,,31,NONE,TUMBUKA
10501709,2,MALE,61,OTHER (SPECIFY),VILLAGE DEVELOPMENT COMMITTEE,38,PSLC,TUMBUKA
10501709,3,MALE,56,RELIGIOUS LEADER,,56,PSLC,TUMBUKA
10501709,4,MALE,60,OTHER (SPECIFY),VDC CHAIR,20,UNIVER. DIPLOMA,TUMBUKA
10501709,5,MALE,50,OTHER (SPECIFY),COMMUNITY POLICE CHAIR,50,NONE,TUMBUKA
10501709,6,MALE,46,RELIGIOUS LEADER,,46,NONE,TUMBUKA
10501709,7,MALE,50,COUNSELOR TO HEADMAN,,50,NONE,TUMBUKA
10502268,1,MALE,65,COUNSELOR TO HEADMAN,,13,NONE,TUMBUKA
10502268,2,MALE,45,ASSIST. AGRICULTURAL EXTENSION DEVELOPMENT OFFICER,,4,JCE,TUMBUKA
10502268,3,MALE,74,RELIGIOUS LEADER,,15,NONE,TUMBUKA
10502268,4,MALE,81,HEADMAN,,42,NONE,TUMBUKA
10502268,5,MALE,22,BUSINESS MAN/WOMAN,,10,NONE,TUMBUKA
10502268,6,MALE,46,COUNSELOR TO HEADMAN,,25,PSLC,TUMBUKA
10502268,7,FEMALE,49,OTHER (SPECIFY),VICE CHAIR,13,PSLC,TUMBUKA
10502268,8,FEMALE,49,OTHER (SPECIFY),COUSELOR TO CHIEF,10,NONE,TUMBUKA
10502268,9,FEMALE,21,SCHOOL TEACHER,,21,JCE,TUMBUKA
10502593,1,MALE,68,HEADMAN,,68,MSCE,TUMBUKA
10502593,2,MALE,70,COUNSELOR TO HEADMAN,,70,NONE,TUMBUKA
10502593,3,MALE,37,HEALTH WORKER,,37,NONE,TUMBUKA
10502593,4,FEMALE,68,HEADMAN,,68,JCE,TUMBUKA
10502593,5,FEMALE,29,HEALTH WORKER,,29,JCE,TUMBUKA
10502593,6,FEMALE,22,RELIGIOUS LEADER,,1,NONE,TUMBUKA
10502593,7,FEMALE,64,SPOUSE OF HEADMAN,,46,MSCE,TUMBUKA
10502593,8,FEMALE,41,BUSINESS MAN/WOMAN,,22,JCE,TUMBUKA
10502593,9,FEMALE,35,BUSINESS MAN/WOMAN,,13,JCE,TUMBUKA
10502593,10,FEMALE,46,BUSINESS MAN/WOMAN,,46,NONE,TUMBUKA
10502593,11,FEMALE,44,RELIGIOUS LEADER,,44,NONE,TUMBUKA
10502593,12,FEMALE,52,RELIGIOUS LEADER,,52,NONE,TUMBUKA
10503367,1,MALE,69,HEADMAN,,44,NONE,TUMBUKA
10503367,2,MALE,30,OTHER (SPECIFY),VICE CHAIRMAN OF PTA,30,NONE,TUMBUKA
10503367,3,MALE,24,SCHOOL HEADMASTER,,24,JCE,TUMBUKA
10503367,4,FEMALE,48,OTHER (SPECIFY),PTA COMMITTEE MEMBER,48,NONE,TUMBUKA
10503367,5,MALE,35,OTHER (SPECIFY),SCHOOL COMMITTEE CHAIR,35,NONE,TUMBUKA
10503367,6,MALE,44,OTHER (SPECIFY),SCHOOL COMMITTEE VICE CHAIR,44,NONE,TUMBUKA
10503367,7,MALE,45,OTHER (SPECIFY),FORESTRY PATROR,10,PSLC,TUMBUKA
10503367,8,FEMALE,52,OTHER (SPECIFY),VILLAGE DEVELOPMENT COMMITTEE,35,NONE,TUMBUKA
10505136,1,MALE,52,HEADMAN,,52,NONE,TUMBUKA
10505136,2,MALE,46,HEADMAN,,10,NONE,TUMBUKA
10505136,3,MALE,57,SCHOOL HEADMASTER,,5,JCE,TUMBUKA
10505136,4,MALE,63,RELIGIOUS LEADER,,19,NONE,TUMBUKA
10505136,5,MALE,38,BUSINESS MAN/WOMAN,,38,NONE,TUMBUKA
10505136,6,MALE,57,COUNSELOR TO HEADMAN,,12,NONE,TUMBUKA
10505136,7,MALE,56,HEADMAN,,56,NONE,TUMBUKA
10505310,1,MALE,74,HEADMAN,,19,NONE,TUMBUKA
10505310,2,MALE,61,HEADMAN,,14,JCE,TUMBUKA
10505310,3,MALE,58,SCHOOL HEADMASTER,,15,JCE,TUMBUKA
10505310,4,MALE,56,OTHER (SPECIFY),HEALTH COMMITTEE CHAIR,12,PSLC,TUMBUKA
10505310,5,MALE,53,SCHOOL TEACHER,,13,JCE,TUMBUKA
10505310,6,MALE,60,COUNSELOR TO HEADMAN,,42,PSLC,TUMBUKA
10505508,1,MALE,48,HEADMAN,,48,PSLC,TUMBUKA
10505508,2,MALE,59,HEADMAN,,59,NONE,TUMBUKA
10505508,3,MALE,90,HEADMAN,,90,NONE,TUMBUKA
10505508,4,MALE,33,RELIGIOUS LEADER,,1,MSCE,TUMBUKA
10505508,5,MALE,72,COUNSELOR TO HEADMAN,,12,NONE,TUMBUKA
10505508,6,MALE,28,COUNSELOR TO HEADMAN,,28,NONE,TUMBUKA
10505508,7,MALE,40,HEALTH WORKER,,40,PSLC,TUMBUKA
10505508,8,MALE,42,COUNSELOR TO HEADMAN,,10,MSCE,TUMBUKA
10505508,9,MALE,47,BUSINESS MAN/WOMAN,,10,NONE,TUMBUKA
10505508,10,MALE,29,BUSINESS MAN/WOMAN,,29,MSCE,TUMBUKA
10505508,11,FEMALE,43,RELIGIOUS LEADER,,22,PSLC,TUMBUKA
10505508,12,FEMALE,40,RELIGIOUS LEADER,,40,NONE,TUMBUKA
10507175,1,MALE,43,HEADMAN,,43,NONE,TUMBUKA
10507175,2,MALE,27,COUNSELOR TO HEADMAN,,27,NONE,TUMBUKA
10507175,3,MALE,36,COUNSELOR TO HEADMAN,,36,NONE,TUMBUKA
10507175,4,MALE,35,HEADMAN,,35,NONE,TUMBUKA
10507175,5,MALE,37,HEALTH WORKER,,37,NONE,TUMBUKA
10507175,6,MALE,43,RELIGIOUS LEADER,,43,NONE,TUMBUKA
10507175,7,MALE,23,BUSINESS MAN/WOMAN,,23,PSLC,TUMBUKA
10507175,8,MALE,37,RELIGIOUS LEADER,,37,NONE,TUMBUKA
10507175,9,MALE,20,RELIGIOUS LEADER,,20,PSLC,TUMBUKA
10507344,1,MALE,66,HEADMAN,,17,JCE,TUMBUKA
10507344,2,MALE,80,RELIGIOUS LEADER,,16,NONE,TUMBUKA
10507344,3,MALE,28,OTHER (SPECIFY),VILLAGE MEMBER,28,NONE,TUMBUKA
10507344,4,MALE,40,RELIGIOUS LEADER,,13,MSCE,TUMBUKA
10507344,5,MALE,57,RELIGIOUS LEADER,,57,NONE,TUMBUKA
10507344,6,MALE,34,OTHER (SPECIFY),VILLAGE MEMBER,34,NONE,TUMBUKA
10507344,7,MALE,54,COUNSELOR TO HEADMAN,,29,NONE,TUMBUKA
10507344,8,FEMALE,60,SPOUSE OF HEADMAN,,17,NONE,TUMBUKA
10507344,9,FEMALE,53,RELIGIOUS LEADER,,36,NONE,TUMBUKA
10507344,10,MALE,54,COUNSELOR TO HEADMAN,,37,PSLC,TUMBUKA
10509319,1,MALE,72,HEADMAN,,21,MSCE,TUMBUKA
10509319,2,MALE,42,SCHOOL HEADMASTER,,5,MSCE,TUMBUKA
10509319,3,FEMALE,43,RELIGIOUS LEADER,,25,NONE,TUMBUKA
10509319,4,FEMALE,39,OTHER (SPECIFY),VDC TREASURER,20,NONE,TUMBUKA
10509319,5,MALE,53,RELIGIOUS LEADER,,35,PSLC,TUMBUKA
10509319,6,MALE,49,OTHER (SPECIFY),CHAIRMAN SCHOOL COMMITTEE,49,PSLC,TUMBUKA
10509319,7,MALE,46,RELIGIOUS LEADER,,10,JCE,TUMBUKA
10510388,1,MALE,48,SCHOOL HEADMASTER,,4,MSCE,TUMBUKA
10510388,2,MALE,42,SCHOOL TEACHER,,1,JCE,TUMBUKA
10510388,3,FEMALE,46,HEALTH WORKER,,6,JCE,TUMBUKA
10510388,4,MALE,37,HEADMAN,,37,JCE,TUMBUKA
10510388,5,MALE,41,HEALTH WORKER,,5,JCE,TUMBUKA
10510388,6,FEMALE,46,BUSINESS MAN/WOMAN,,5,NONE,TUMBUKA
10510388,7,FEMALE,38,BUSINESS MAN/WOMAN,,10,JCE,TUMBUKA
10510388,8,MALE,80,HEADMAN,,80,NONE,TUMBUKA
10510388,9,MALE,28,BUSINESS MAN/WOMAN,,28,PSLC,TUMBUKA
10510388,10,MALE,46,HEADMAN,,46,NONE,TUMBUKA
10732192,1,MALE,71,HEADMAN,,71,JCE,TUMBUKA
10732192,2,MALE,55,SCHOOL HEADMASTER,,5,MSCE,TUMBUKA
10732192,3,MALE,65,OTHER (SPECIFY),CHAIRMAN PTA SCHOOL COMMITTEE,5,UNIVER. DIPLOMA,TUMBUKA
10732192,4,MALE,84,RELIGIOUS LEADER,,29,PSLC,TUMBUKA
10732192,5,MALE,70,HEADMAN,,70,PSLC,TUMBUKA
10732192,6,FEMALE,44,BUSINESS MAN/WOMAN,,25,PSLC,TUMBUKA
10733640,1,MALE,49,RELIGIOUS LEADER,,40,UNIVER. DIPLOMA,TUMBUKA
10733640,2,MALE,52,COUNSELOR TO HEADMAN,,24,JCE,TUMBUKA
10733640,3,FEMALE,35,SCHOOL HEADMASTER,,35,MSCE,TUMBUKA
10733640,4,MALE,44,BUSINESS MAN/WOMAN,,44,MSCE,TUMBUKA
10733640,5,FEMALE,29,COUNSELOR TO HEADMAN,,29,PSLC,TUMBUKA
10733640,6,MALE,47,SCHOOL HEADMASTER,,47,MSCE,TUMBUKA
10733640,7,MALE,55,HEALTH WORKER,,32,MSCE,TUMBUKA
10733640,8,FEMALE,37,SPOUSE OF HEADMAN,,37,NONE,TUMBUKA
10734370,1,FEMALE,41,HEADMAN,,18,MSCE,TUMBUKA
10734370,2,FEMALE,35,SCHOOL TEACHER,,9,MSCE,TUMBUKA
10734370,3,MALE,51,COUNSELOR TO HEADMAN,,5,NON-UNIV. DIPLOMA,TUMBUKA
10734370,4,FEMALE,30,RELIGIOUS LEADER,,30,NONE,TUMBUKA
10734370,5,FEMALE,29,RELIGIOUS LEADER,,11,JCE,TUMBUKA
10734762,1,MALE,54,RELIGIOUS LEADER,,21,MSCE,TUMBUKA
10734762,2,FEMALE,33,SCHOOL TEACHER,,4,JCE,TUMBUKA
10734762,3,MALE,54,HEADMAN,VDC VICE TREASURER,31,JCE,TUMBUKA
10734762,4,MALE,51,OTHER (SPECIFY),VDC VICE TREASURER,25,PSLC,TUMBUKA
10734762,5,FEMALE,41,BUSINESS MAN/WOMAN,,20,PSLC,TUMBUKA
10734762,6,FEMALE,27,BUSINESS MAN/WOMAN,,4,JCE,TUMBUKA
10734762,7,MALE,28,HEADMAN,,16,PSLC,TUMBUKA
10734762,8,MALE,52,RELIGIOUS LEADER,,25,PSLC,TUMBUKA
10734762,9,FEMALE,27,COUNSELOR TO HEADMAN,,7,PSLC,NKHONDE
10735173,1,MALE,52,OTHER (SPECIFY),HOME BASED CARE,25,NONE,TUMBUKA
10735173,2,FEMALE,29,BUSINESS MAN/WOMAN,,29,JCE,TUMBUKA
10735173,3,FEMALE,49,OTHER (SPECIFY),COUNSELOR TO CHIEF'S WIFE,10,NONE,CHEWA
10735173,4,FEMALE,60,RELIGIOUS LEADER,,42,NONE,TUMBUKA
10735173,5,FEMALE,50,SPOUSE OF HEADMAN,,31,NONE,TUMBUKA
10735173,6,FEMALE,46,RELIGIOUS LEADER,,17,NONE,TUMBUKA
10736596,1,MALE,50,HEADMAN,,17,JCE,TUMBUKA
10736596,2,MALE,54,HEADMAN,,43,NONE,TUMBUKA
10736596,3,MALE,53,RELIGIOUS LEADER,,19,NONE,CHEWA
10736596,4,MALE,54,RELIGIOUS LEADER,,26,JCE,CHEWA
10736596,5,FEMALE,30,OTHER (SPECIFY),,7,MSCE,TUMBUKA
10736596,6,FEMALE,45,BUSINESS MAN/WOMAN,,5,PSLC,TUMBUKA
10736596,7,MALE,51,HEADMAN,,17,JCE,TUMBUKA
10736596,8,MALE,42,COUNSELOR TO HEADMAN,,17,NONE,TUMBUKA
10736596,9,FEMALE,29,OTHER (SPECIFY),SECRETARY OF OIBM BANK GROUP,10,JCE,TUMBUKA
10741504,1,MALE,64,HEADMAN,,32,PSLC,TUMBUKA
10741504,2,FEMALE,35,OTHER (SPECIFY),WELFARE COMMITTEE MEMBER,35,PSLC,CHEWA
10741504,3,FEMALE,59,SPOUSE OF HEADMAN,,5,NONE,TUMBUKA
10741504,4,FEMALE,49,BUSINESS MAN/WOMAN,,12,JCE,TUMBUKA
10741504,5,FEMALE,50,BUSINESS MAN/WOMAN,,29,NONE,TUMBUKA
10741504,6,MALE,67,HEADMAN,,5,NONE,TUMBUKA
10741504,7,MALE,79,RELIGIOUS LEADER,,30,JCE,TUMBUKA
10741504,8,MALE,63,OTHER (SPECIFY),RETIRED CIVIL SERVANT,48,MSCE,TUMBUKA
10741504,9,FEMALE,32,BUSINESS MAN/WOMAN,,10,JCE,TUMBUKA
10744649,1,MALE,65,HEADMAN,,48,NONE,TONGA
10744649,2,FEMALE,39,SPOUSE OF HEADMAN,,21,NONE,NYANJA
10744649,3,MALE,48,COUNSELOR TO HEADMAN,,20,NONE,TONGA
10744649,4,FEMALE,75,COUNSELOR TO HEADMAN,,44,NONE,TUMBUKA
10744649,5,FEMALE,39,BUSINESS MAN/WOMAN,,16,NONE,NYANJA
10744649,6,MALE,56,COUNSELOR TO HEADMAN,,16,NONE,TONGA
10744649,7,FEMALE,43,HEALTH WORKER,,43,NONE,TONGA
10744649,8,FEMALE,52,RELIGIOUS LEADER,,27,NONE,TUMBUKA
10746033,1,MALE,43,HEADMAN,,43,JCE,TUMBUKA
