occ,y2_hhid,HHID,case_id,ea_id,stratum,baseline_rural,panelweight,hh_wgt,region,district,reside,dist_to_IHS3location,hhsize,interview_status,qx_type,hh_a05,hh_a06,hh_a07a,hh_a10a,hh_a10b,hh_a16,hh_a21,hh_a23a_1,hh_a23a_2,hh_a23a_3,hh_a23a_4,hh_a23a_5,hh_a23a_6,hh_a23a_7,hh_a23a_8,hh_a23b_1,hh_a23b_2,hh_a23b_3,hh_a23b_4,hh_a23b_5,hh_a23b_6,hh_a23b_7,hh_a23b_8,hh_a23c_1,hh_a23c_2,hh_a23c_3,hh_a23c_4,hh_a23c_5,hh_a23c_6,hh_a23c_7,hh_a23c_8,hh_a24,hh_a26a,hh_a26b,hh_a26c,hh_a27,hh_a29a,hh_a29b,hh_a29c,hh_a30,hh_a33,hh_a35,hh_a37a_1,hh_a37a_2,hh_a37a_3,hh_a37a_4,hh_a37a_5,hh_a37a_6,hh_a37a_7,hh_a37a_8,hh_a37b_1,hh_a37b_2,hh_a37b_3,hh_a37b_4,hh_a37b_5,hh_a37b_6,hh_a37b_7,hh_a37b_8,hh_a38,hh_a40a,hh_a40b,hh_a40c,hh_a41,hh_a43,hh_a43a,hh_a43b,hh_a43c,hh_a44,hh_a46a,hh_a46b,hh_a46c,hh_g00_1,hh_g00_2,hh_g09,hh_m00,hh_o00,hh_s01
1,0009-001,9,101012150038,10101215,North - Rural,rural,328.07681,444.56241,North,Chitipa,rural,.93000001,2,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,CLEAR / SUNNY,14,24,MAY,2013,7,29,8,17,ALL,,,,,,,,,,,,,,,,,10,26,MAY,2013,19,30,MAY,2013,YES,CLEAR / SUNNY,21,31,AUGUST,2013,9,45,9,51,"A,B&X",,,,,,,,,31,1,SEPTEMBER,2013,19,19609,8,SEPTEMBER,2013,911,10,OCTOBER,2013,1,1,YES,YES,NO,NO
1,0010-001,10,101015620031,10101562,North - Rural,rural,252.99306,345.05539,North,Chitipa,rural,.1,9,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,PARTLY CLOUDY / PARTLY SUNNY,14,20,JULY,2013,7,52,8,12,"A,B,X",,,,,,,,,,,,,,,,,10,21,JULY,2013,19,26,JULY,2013,YES,CLEAR / SUNNY,21,24,OCTOBER,2013,9,30,10,58,"A,B,C-X",,,,,,,,,31,24,OCTOBER,2013,19,19657,26,OCTOBER,2013,907,11,DECEMBER,2013,3,3,NO,YES,NO,NO
1,0010-002,10,101015620031,10101562,North - Rural,rural,251.37112,345.05539,Central,Dowa,urban,448.59,1,Panel B - Combined Visit,PANEL B,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,2,6,NSAKAMBEWA,CLEAR / SUNNY,31,7,NOVEMBER,2013,8,8,9,54,ALL,,,,,,,,,,,,,,,,,40,7,NOVEMBER,2013,119,18,NOVEMBER,2013,NO,CLEAR / SUNNY,31,7,NOVEMBER,2013,8,9,9,54,ALL,,,,,,,,,40,7,NOVEMBER,2013,119,19680,18,NOVEMBER,2013,908,9,JANUARY,2014,1,1,NO,NO,YES,NO
1,0011-001,11,101012150021,10101215,North - Rural,rural,328.07681,444.56241,North,Chitipa,rural,28.65,9,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,CLEAR / SUNNY,12,25,MAY,2013,11,50,13,16,ALL,,,,,,,,,,,,,,,,,10,27,MAY,2013,19,29,MAY,2013,YES,CLEAR / SUNNY,12,30,AUGUST,2013,8,12,8,24,A B&X,,,,,,,,,31,1,SEPTEMBER,2013,19,19607,6,SEPTEMBER,2013,911,9,OCTOBER,2013,1,2,YES,YES,YES,NO
1,0011-004,11,101012150021,10101215,North - Rural,rural,343.72354,444.56241,North,Karonga,urban,69.610001,1,Panel A - Combined Visit,PANEL A,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,4,20,KARONGA BOMA,CLEAR / SUNNY,12,2,SEPTEMBER,2013,11,37,12,44,ALL,,,,,,,,,,,,,,,,,31,2,SEPTEMBER,2013,19,8,SEPTEMBER,2013,YES,CLEAR / SUNNY,12,2,SEPTEMBER,2013,11,37,12,44,ALL,,,,,,,,,31,2,SEPTEMBER,2013,19,19609,8,SEPTEMBER,2013,903,19,NOVEMBER,2013,1,1,YES,NO,NO,NO
1,0012-001,12,101015620162,10101562,North - Rural,rural,262.09882,345.05539,North,Chitipa,rural,.0099999998,7,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,MOSTLY CLOUDY / CONSIDERABLE CLOUDINESS,14,19,JULY,2013,7,14,7,26,A-X,,,,,,,,,,,,,,,,,10,20,JULY,2013,19,26,JULY,2013,YES,CLEAR / SUNNY,21,24,OCTOBER,2013,6,43,8,7,"A,B,C-X",,,,,,,,,31,25,OCTOBER,2013,19,19657,26,OCTOBER,2013,907,10,DECEMBER,2013,2,2,NO,YES,YES,YES
1,0012-003,12,101015620162,10101562,North - Rural,rural,133.39371,345.05539,North,Chitipa,rural,21.459999,4,Panel B - 2 Visits,PANEL B,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,3,1,MWABULAMBYA,CLEAR / SUNNY,14,21,JULY,2013,8,15,8,22,"A,B,X",,,,,,,,,,,,,,,,,10,22,JULY,2013,,,,2013,YES,PARTLY CLOUDY / PARTLY SUNNY,13,26,OCTOBER,2013,7,0,8,45,ALL,,,,,,,,,31,26,OCTOBER,2013,19,19657,26,OCTOBER,2013,902,6,JANUARY,2014,2,2,YES,YES,NO,NO
1,0012-010,12,101015620162,10101562,North - Rural,rural,129.38884,345.05539,North,Chitipa,rural,6.9899998,2,Panel B - 2 Visits,PANEL B,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,10,1,MWABULAMBYA,CLEAR / SUNNY,14,20,JULY,2013,14,38,14,56,A-X,,,,,,,,,,,,,,,,,10,21,JULY,2013,19,29,JULY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,21,26,OCTOBER,2013,8,43,9,51,"A,B,C-X",,,,,,,,,31,26,OCTOBER,2013,19,19657,26,OCTOBER,2013,902,6,JANUARY,2014,1,1,NO,YES,NO,YES
1,0013-001,13,101012150026,10101215,North - Rural,rural,328.07681,444.56241,North,Chitipa,urban,23.139999,6,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,Local or Distance Tracking,1,1,MWABULAMBYA,PARTLY CLOUDY / PARTLY SUNNY,12,26,MAY,2013,6,30,8,10,ALL,,,,,,,,,,,,,,,,,10,26,MAY,2013,19,30,MAY,2013,YES,CLEAR / SUNNY,12,1,SEPTEMBER,2013,13,10,13,20,A B AND X,,,,,,,,,31,1,SEPTEMBER,2013,19,19609,8,SEPTEMBER,2013,903,20,NOVEMBER,2013,1,2,YES,YES,NO,NO
1,0014-001,14,101015620205,10101562,North - Rural,rural,249.01636,345.05539,North,Chitipa,rural,.02,1,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,CLEAR / SUNNY,12,19,JULY,2013,12,45,12,54,"A,B & X",,,,,,,,,,,,,,,,,10,20,JULY,2013,19,26,JULY,2013,YES,CLEAR / SUNNY,12,23,OCTOBER,2013,12,5,13,15,A-X,,,,,,,,,31,24,OCTOBER,2013,19,19656,25,OCTOBER,2013,907,11,DECEMBER,2013,1,1,NO,YES,YES,NO
1,0015-001,15,101012150045,10101215,North - Rural,rural,330.40186,444.56241,North,Chitipa,rural,0,3,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,MOSTLY CLEAR / MOSTLY SUNNY,12,24,MAY,2013,15,0,15,55,ALL,,,,,,,,,,,,,,,,,10,27,MAY,2013,19,29,MAY,2013,YES,CLEAR / SUNNY,12,30,AUGUST,2013,9,15,9,20,"A,B&X",,,,,,,,,31,1,SEPTEMBER,2013,19,19607,6,SEPTEMBER,2013,911,9,OCTOBER,2013,1,1,YES,YES,YES,NO
1,0016-001,16,101015620086,10101562,North - Rural,rural,254.64293,345.05539,North,Chitipa,rural,.0099999998,4,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,CLEAR / SUNNY,12,20,JULY,2013,7,10,7,22,"A,B&X",,,,,,,,,,,,,,,,,10,21,JULY,2013,19,26,JULY,2013,YES,CLEAR / SUNNY,12,24,OCTOBER,2013,6,40,7,22,A-X,,,,,,,,,31,24,OCTOBER,2013,19,19656,25,OCTOBER,2013,907,11,DECEMBER,2013,1,1,YES,YES,NO,NO
1,0016-002,16,101015620086,10101562,North - Rural,rural,125.68556,345.05539,Central,Lilongwe City,urban,486.54999,7,Panel B - Combined Visit,PANEL B,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,2,,,CLEAR / SUNNY,131,28,AUGUST,2013,7,30,8,45,ALL,,,,,,,,,,,,,,,,,50,29,AUGUST,2013,59,3,OCTOBER,2013,YES,CLEAR / SUNNY,131,28,AUGUST,2013,8,45,11,40,C-X,,,,,,,,,50,29,AUGUST,2013,59,19634,3,OCTOBER,2013,906,19,NOVEMBER,2013,2,2,NO,NO,NO,NO
1,0017-001,17,101012150004,10101215,North - Rural,rural,171.86177,444.56241,North,Chitipa,rural,.97000003,6,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBIA,PARTLY CLOUDY / PARTLY SUNNY,13,24,MAY,2013,13,31,14,33,A-X,,,,,,,,,,,,,,,,,10,27,MAY,2013,19,29,MAY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,13,31,AUGUST,2013,12,0,12,10,A-X,,,,,,,,,31,1,SEPTEMBER,2013,19,19607,6,SEPTEMBER,2013,911,9,OCTOBER,2013,2,1,NO,YES,NO,NO
1,0018-001,18,101015620075,10101562,North - Rural,rural,254.64293,345.05539,North,Chitipa,rural,.0099999998,6,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,CLEAR / SUNNY,12,20,JULY,2013,8,44,9,11,"A,B&X",,,,,,,,,,,,,,,,,10,20,JULY,2013,19,26,JULY,2013,YES,CLEAR / SUNNY,12,24,OCTOBER,2013,7,0,8,36,A-X,,,,,,,,,31,24,OCTOBER,2013,19,19656,25,OCTOBER,2013,907,12,DECEMBER,2013,2,1,NO,YES,NO,NO
1,0019-001,19,101012150059,10101215,North - Rural,rural,333.40396,444.56241,North,Chitipa,rural,.73000002,4,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,CLEAR / SUNNY,14,24,MAY,2013,12,53,13,26,ABX,,,,,,,,,,,,,,,,,10,27,MAY,2013,19,31,MAY,2013,YES,CLEAR / SUNNY,21,30,AUGUST,2013,8,50,8,56,"A,B&X",,,,,,,,,31,1,SEPTEMBER,2013,19,19607,6,SEPTEMBER,2013,911,11,OCTOBER,2013,2,2,NO,YES,NO,NO
1,0020-001,20,101015620009,10101562,North - Rural,rural,258.77768,345.05539,North,Chitipa,rural,.0099999998,4,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,PARTLY CLOUDY / PARTLY SUNNY,14,20,JULY,2013,12,0,12,3,"A,BX",,,,,,,,,,,,,,,,,10,21,JULY,2013,19,26,JULY,2013,YES,CLEAR / SUNNY,21,25,OCTOBER,2013,7,6,8,37,"A,B,C-X",,,,,,,,,31,25,OCTOBER,2013,19,19657,26,OCTOBER,2013,907,10,DECEMBER,2013,1,1,NO,YES,YES,NO
1,0021-001,21,101012150001,10101215,North - Rural,rural,320.82767,444.56241,North,Chitipa,rural,.0099999998,1,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,MOSTLY CLEAR / MOSTLY SUNNY,11,25,MAY,2013,11,15,13,0,ALL,,,,,,,,,,,,,,,,,10,26,MAY,2013,19,28,MAY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,11,31,AUGUST,2013,10,30,10,35,"A,B&X",,,,,,,,,31,1,SEPTEMBER,2013,19,19607,6,SEPTEMBER,2013,911,8,OCTOBER,2013,1,1,YES,YES,YES,NO
1,0022-001,22,101015620195,10101562,North - Rural,rural,258.77768,345.05539,North,Chitipa,rural,.090000004,3,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,Local or Distance Tracking,1,1,MWABULAMBYA,PARTLY CLOUDY / PARTLY SUNNY,11,19,JULY,2013,11,0,11,11,ABX,,,,,,,,,,,,,,,,,10,20,JULY,2013,19,29,JULY,2013,YES,CLEAR / SUNNY,11,23,OCTOBER,2013,11,30,12,37,ALL,,,,,,,,,31,24,OCTOBER,2013,19,19656,25,OCTOBER,2013,902,8,JANUARY,2014,1,2,YES,YES,NO,NO
1,0023-001,23,101012150053,10101215,North - Rural,rural,320.82767,444.56241,North,Chitipa,rural,.0099999998,4,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,CLEAR / SUNNY,14,25,MAY,2013,11,15,14,13,A,,,,,,,,,,,,,,,,,10,26,MAY,2013,19,30,MAY,2013,YES,CLEAR / SUNNY,21,31,AUGUST,2013,8,26,8,32,"A,B&X",,,,,,,,,31,1,SEPTEMBER,2013,19,19609,8,SEPTEMBER,2013,911,10,OCTOBER,2013,2,2,YES,YES,YES,NO
1,0024-001,24,101015620227,10101562,North - Rural,rural,262.09882,345.05539,North,Chitipa,rural,8.9399996,6,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,Local or Distance Tracking,1,1,MWABULAMBYA,PARTLY CLOUDY / PARTLY SUNNY,11,19,JULY,2013,12,30,12,45,ABX,,,,,,,,,,,,,,,,,10,20,JULY,2013,19,29,JULY,2013,YES,PARTLY CLOUDY / PARTLY SUNNY,11,25,OCTOBER,2013,12,0,13,15,ALL,,,,,,,,,31,25,OCTOBER,2013,19,19656,25,OCTOBER,2013,902,10,JANUARY,2014,1,2,YES,YES,YES,NO
1,0025-001,25,101012150034,10101215,North - Rural,rural,343.72354,444.56241,North,Chitipa,rural,.0099999998,4,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,CLEAR / SUNNY,12,25,MAY,2013,8,16,9,23,ALL,,,,,,,,,,,,,,,,,10,26,MAY,2013,19,28,MAY,2013,YES,CLEAR / SUNNY,12,31,AUGUST,2013,11,0,11,10,"A,B&X",,,,,,,,,31,1,SEPTEMBER,2013,19,19607,6,SEPTEMBER,2013,911,8,OCTOBER,2013,2,1,NO,YES,NO,NO
1,0026-001,26,101015620096,10101562,North - Rural,rural,254.64293,345.05539,North,Chitipa,rural,.0099999998,5,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,Local or Distance Tracking,1,1,MWABULAMBYA,PARTLY CLOUDY / PARTLY SUNNY,11,19,JULY,2013,7,0,7,13,ABX,,,,,,,,,,,,,,,,,10,20,JULY,2013,19,21,JULY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,11,23,OCTOBER,2013,6,30,7,35,ALL,,,,,,,,,31,24,OCTOBER,2013,19,19656,25,OCTOBER,2013,904,10,JANUARY,2014,1,1,YES,YES,NO,NO
1,0027-001,27,101012150049,10101215,North - Rural,rural,337.68283,444.56241,North,Chitipa,rural,.0099999998,4,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,PARTLY CLOUDY / PARTLY SUNNY,11,25,MAY,2013,8,0,10,7,ALL,,,,,,,,,,,,,,,,,10,26,MAY,2013,19,28,MAY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,11,31,AUGUST,2013,7,15,7,22,"A,B,X",,,,,,,,,31,1,SEPTEMBER,2013,19,19607,6,SEPTEMBER,2013,911,8,OCTOBER,2013,1,1,YES,YES,NO,NO
1,0028-001,28,101015620118,10101562,North - Rural,rural,258.77768,345.05539,North,Chitipa,rural,.050000001,5,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBIA,PARTLY CLOUDY / PARTLY SUNNY,13,19,JULY,2013,11,24,11,31,A-X,,,,,,,,,,,,,,,,,10,20,JULY,2013,19,26,JULY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,13,24,OCTOBER,2013,11,20,13,6,ALL,,,,,,,,,31,24,OCTOBER,2013,19,19656,25,OCTOBER,2013,907,10,DECEMBER,2013,1,1,NO,YES,NO,NO
1,0029-001,29,101012150048,10101215,North - Rural,rural,356.01837,444.56241,North,Chitipa,rural,.0099999998,5,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,PARTLY CLOUDY / PARTLY SUNNY,11,24,MAY,2013,11,30,14,12,ALL,,,,,,,,,,,,,,,,,10,26,MAY,2013,19,28,MAY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,11,30,AUGUST,2013,10,0,10,8,"A,B&X",,,,,,,,,31,1,SEPTEMBER,2013,19,19607,6,SEPTEMBER,2013,911,8,OCTOBER,2013,1,1,YES,YES,NO,NO
1,0030-001,30,101015620020,10101562,North - Rural,rural,258.77768,345.05539,North,Chitipa,rural,.02,5,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,Local or Distance Tracking,1,1,MWABULAMBIA,PARTLY CLOUDY / PARTLY SUNNY,13,18,JULY,2013,13,9,13,15,A-X,,,,,,,,,,,,,,,,,10,19,JULY,2013,19,29,JULY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,13,23,OCTOBER,2013,14,0,15,50,K-X_4,,,,,,,,,31,24,OCTOBER,2013,19,19656,25,OCTOBER,2013,902,4,JANUARY,2014,2,2,NO,YES,NO,NO
1,0031-001,31,101012150040,10101215,North - Rural,rural,325.95117,444.56241,North,Chitipa,rural,.0099999998,7,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,MOSTLY CLEAR / MOSTLY SUNNY,11,24,MAY,2013,8,10,10,20,ALL,,,,,,,,,,,,,,,,,10,26,MAY,2013,19,28,MAY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,11,30,AUGUST,2013,7,0,7,7,"A,B&X",,,,,,,,,31,1,SEPTEMBER,2013,19,19607,6,SEPTEMBER,2013,911,8,OCTOBER,2013,1,2,YES,YES,NO,NO
1,0032-001,32,101015620140,10101562,North - Rural,rural,252.99306,345.05539,North,Chitipa,rural,.94999999,8,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBIA,PARTLY CLOUDY / PARTLY SUNNY,13,19,JULY,2013,9,42,9,53,A-X,,,,,,,,,,,,,,,,,10,20,JULY,2013,19,26,JULY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,13,24,OCTOBER,2013,8,0,10,13,ALL,,,,,,,,,31,24,OCTOBER,2013,19,19656,25,OCTOBER,2013,907,10,DECEMBER,2013,2,2,NO,YES,NO,NO
1,0033-001,33,101010160180,10101016,North - Rural,rural,319.92175,430.46121,North,Chitipa,rural,3.9300001,4,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,PARTLY CLOUDY / PARTLY SUNNY,14,29,APRIL,2013,13,57,15,9,A-X,,,,,,,,,,,,,,,,,10,30,APRIL,2013,19,2,MAY,2013,YES,CLEAR / SUNNY,14,8,AUGUST,2013,9,0,9,20,A-X,,,,,,,,,30,9,AUGUST,2013,19,19583,13,AUGUST,2013,904,16,SEPTEMBER,2013,2,2,NO,YES,NO,NO
