occ,y2_hhid,PID,qx_type,interview_status,hh_c01,hh_c02,hh_c03,hh_c04,hh_c05a,hh_c05b,hh_c06,hh_c08,hh_c09,hh_c11,hh_c12,hh_c13,hh_c15,hh_c16,hh_c17,hh_c18,hh_c19a,hh_c19b,hh_c20,hh_c22a,hh_c22b,hh_c22c,hh_c22d,hh_c22e,hh_c22f,hh_c22g,hh_c22h,hh_c22i,hh_c22j
5,0004-001,000405,PANEL B,Panel B - 2 Visits,5,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 7,NONE,YES,PRIMARY STANDARD 6,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,6,MINUTE,NO,0,0,300,2500,0,0,0,0,600,
6,0004-001,000406,PANEL B,Panel B - 2 Visits,6,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 1,NONE,NO,,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,6,MINUTE,NO,0,0,100,0,0,0,0,0,200,
1,0005-001,000501,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 7,NONE,NO,,NO,1988,,,,,,,,,,,,,,,,
2,0005-001,000502,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 3,NONE,NO,,NO,1990,,,,,,,,,,,,,,,,
3,0005-001,000503,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 7,NONE,NO,,NO,2009,,,,,,,,,,,,,,,,
4,0005-001,000504,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 3,NONE,NO,,NO,2011,,,,,,,,,,,,,,,,
5,0005-001,000505,PANEL A,Panel A - 2 Visits,5,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 7,NONE,YES,PRIMARY STANDARD 7,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,20,MINUTE,NO,0,0,1500,2000,0,1000,0,0,0,
6,0005-001,000506,PANEL A,Panel A - 2 Visits,6,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 5,NONE,YES,PRIMARY STANDARD 5,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,20,MINUTE,NO,0,0,1500,2000,0,1000,0,0,0,
7,0005-001,000507,PANEL A,Panel A - 2 Visits,7,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 4,NONE,YES,PRIMARY STANDARD 4,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,20,MINUTE,NO,0,0,700,2000,0,1000,0,0,0,
8,0005-001,000508,PANEL A,Panel A - 2 Visits,8,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 2,NONE,YES,PRIMARY STANDARD 2,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,20,MINUTE,NO,0,0,700,2000,0,1000,0,0,0,
9,0005-001,000509,PANEL A,Panel A - 2 Visits,9,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
1,0006-001,000601,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 7,NONE,NO,,NO,1965,,,,,,,,,,,,,,,,
2,0006-001,000602,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 3,PSLC,NO,,NO,2005,,,,,,,,,,,,,,,,
3,0006-001,000604,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 4,NONE,YES,PRIMARY STANDARD 3,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,4,MINUTE,NO,0,0,240,750,0,0,0,60,0,
4,0006-001,000605,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 3,NONE,YES,PRIMARY STANDARD 2,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,4,MINUTE,NO,0,0,200,750,0,0,0,60,0,
5,0006-001,000600105,PANEL B,Panel B - 2 Visits,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0006-003,000603,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 8,PSLC,NO,,NO,2009,,,,,,,,,,,,,,,,
2,0006-003,000600302,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 2,JCE,NO,,NO,2011,,,,,,,,,,,,,,,,
1,0007-001,000701,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 8,NONE,NO,,NO,1982,,,,,,,,,,,,,,,,
2,0007-001,000702,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,0007-001,000703,PANEL A,Panel A - 2 Visits,3,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 5,NONE,NO,,NO,2003,,,,,,,,,,,,,,,,
4,0007-001,000704,PANEL A,Panel A - 2 Visits,4,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 4,NONE,NO,,NO,2007,,,,,,,,,,,,,,,,
5,0007-001,000705,PANEL A,Panel A - 2 Visits,5,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 1,PSLC,YES,PRIMARY STANDARD 8,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,1,HOUR,NO,5000,0,2000,1800,0,700,0,600,0,
6,0007-001,000706,PANEL A,Panel A - 2 Visits,6,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 1,PSLC,YES,PRIMARY STANDARD 8,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,1,HOUR,NO,5000,0,2000,1800,0,700,0,600,0,
7,0007-001,000707,PANEL A,Panel A - 2 Visits,7,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 8,NONE,YES,PRIMARY STANDARD 7,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,1,HOUR,NO,0,0,1000,1200,0,500,0,0,0,
8,0007-001,000708,PANEL A,Panel A - 2 Visits,8,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 4,NONE,YES,PRIMARY STANDARD 3,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,1,HOUR,NO,0,0,200,1200,0,500,0,0,0,
9,0007-001,000709,PANEL A,Panel A - 2 Visits,9,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 4,NONE,YES,PRIMARY STANDARD 3,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,1,HOUR,NO,0,0,200,1200,0,500,0,0,0,
10,0007-001,000710,PANEL A,Panel A - 2 Visits,10,,ANOTHER HH MEMBER,1,YES,NO,NO,,,,,,,,,,,,,,,,,,,,,,
1,0008-001,000801,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,SECONDARY FORM 2,JCE,NO,,NO,1987,,,,,,,,,,,,,,,,
2,0008-001,000802,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 2,JCE,NO,,NO,1988,,,,,,,,,,,,,,,,
3,0008-001,000804,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 4,JCE,NO,,YES,,GOVERNMENT (CONVENTIONAL),BOARDER,,,,NO,18500,0,700,0,3000,0,3000,0,1600,
4,0008-001,000805,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 4,JCE,YES,,YES,,GOVERNMENT (CONVENTIONAL),BOARDER,,,,NO,18500,0,400,0,3000,0,3000,0,0,
5,0008-001,000806,PANEL B,Panel B - 2 Visits,5,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 3,JCE,YES,SECONDARY FORM 2,YES,,COMMUNITY DAY (CDSS),DAY SCHOLAR,FOOT,22,MINUTE,NO,0,0,350,0,0,0,0,0,0,
6,0008-001,000807,PANEL B,Panel B - 2 Visits,6,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 2,PSLC,YES,SECONDARY FORM 1,YES,,COMMUNITY DAY (CDSS),DAY SCHOLAR,FOOT,22,MINUTE,NO,0,0,500,0,0,0,0,0,1600,
7,0008-001,000808,PANEL B,Panel B - 2 Visits,7,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 5,NONE,YES,PRIMARY STANDARD 4,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,22,MINUTE,NO,0,0,500,0,0,0,0,0,0,
8,0008-001,000809,PANEL B,Panel B - 2 Visits,8,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 4,JCE,YES,SECONDARY FORM 3,YES,,COMMUNITY DAY (CDSS),DAY SCHOLAR,FOOT,22,MINUTE,NO,0,0,300,1400,0,0,0,0,0,
9,0008-001,000810,PANEL B,Panel B - 2 Visits,9,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 5,NONE,YES,PRIMARY STANDARD 4,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,22,MINUTE,NO,0,0,300,0,0,0,0,0,0,
1,0008-003,000800301,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,SECONDARY FORM 4,MSCE,NO,,NO,2009,,,,,,,,,,,,,,,,
2,0008-003,000803,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 4,MSCE,NO,,NO,2010,,,,,,,,,,,,,,,,
3,0008-003,000800303,PANEL B,Panel B - 2 Visits,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0009-001,000901,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,NO,NO,YES,PRIMARY STANDARD 3,NONE,NO,,NO,1999,,,,,,,,,,,,,,,,
2,0009-001,000902,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,NO,NO,YES,PRIMARY STANDARD 5,NONE,YES,PRIMARY STANDARD 4,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,1,HOUR,NO,0,0,500,1000,0,300,0,0,0,
1,0010-001,001001,PANEL B,Panel B - 2 Visits,1,,ANOTHER HH MEMBER,3,YES,NO,YES,PRIMARY STANDARD 8,NONE,NO,,NO,1980,,,,,,,,,,,,,,,,
3,0010-001,001003,PANEL B,Panel B - 2 Visits,3,,SELF-REPORTED,,YES,YES,YES,SECONDARY FORM 2,PSLC,NO,,NO,2011,,,,,,,,,,,,,,,,
4,0010-001,001004,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,3,YES,YES,YES,SECONDARY FORM 3,JCE,NO,,NO,2011,,,,,,,,,,,,,,,,
5,0010-001,001005,PANEL B,Panel B - 2 Visits,5,,ANOTHER HH MEMBER,3,YES,YES,YES,SECONDARY FORM 2,PSLC,YES,SECONDARY FORM 1,YES,,NIGHT SCHOOL,DAY SCHOLAR,FOOT,5,MINUTE,NO,24000,0,800,1800,0,0,0,0,0,
6,0010-001,001006,PANEL B,Panel B - 2 Visits,6,,ANOTHER HH MEMBER,3,YES,YES,YES,SECONDARY FORM 1,PSLC,YES,PRIMARY STANDARD 8,YES,,NIGHT SCHOOL,DAY SCHOLAR,FOOT,5,MINUTE,NO,8000,0,800,1800,0,0,0,0,0,
7,0010-001,001007,PANEL B,Panel B - 2 Visits,7,,ANOTHER HH MEMBER,3,YES,YES,YES,PRIMARY STANDARD 8,NONE,YES,PRIMARY STANDARD 7,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,20,MINUTE,NO,0,0,0,0,0,500,0,60,0,
8,0010-001,001008,PANEL B,Panel B - 2 Visits,8,,ANOTHER HH MEMBER,3,YES,YES,YES,PRIMARY STANDARD 6,NONE,YES,PRIMARY STANDARD 5,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,20,MINUTE,NO,0,0,0,0,0,500,0,60,0,
9,0010-001,001009,PANEL B,Panel B - 2 Visits,9,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0010-001,001010,PANEL B,Panel B - 2 Visits,10,,ANOTHER HH MEMBER,3,YES,YES,YES,PRIMARY STANDARD 5,NONE,YES,PRIMARY STANDARD 4,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,10,MINUTE,NO,0,0,0,0,0,500,0,60,0,
1,0010-002,001002,PANEL B,Panel B - Combined Visit,1,,SELF-REPORTED,,NO,NO,YES,PRIMARY STANDARD 2,NONE,NO,,NO,1986,,,,,,,,,,,,,,,,
1,0011-001,001101,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,NO,NO,YES,PRIMARY STANDARD 7,NONE,NO,,NO,1974,,,,,,,,,,,,,,,,
2,0011-001,001102,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 6,NONE,NO,,NO,1990,,,,,,,,,,,,,,,,
3,0011-001,001103,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 4,NONE,NO,,NO,2008,,,,,,,,,,,,,,,,
4,0011-001,001105,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 6,NONE,YES,PRIMARY STANDARD 5,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,10,MINUTE,NO,100,0,300,800,0,0,0,0,0,
5,0011-001,001106,PANEL A,Panel A - 2 Visits,5,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 4,NONE,YES,PRIMARY STANDARD 3,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,10,MINUTE,NO,100,0,0,0,0,0,0,0,0,
6,0011-001,001107,PANEL A,Panel A - 2 Visits,6,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 4,NONE,YES,PRIMARY STANDARD 3,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,10,MINUTE,NO,100,0,0,1000,0,0,0,0,0,
7,0011-001,001108,PANEL A,Panel A - 2 Visits,7,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 1,NONE,NO,,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,10,MINUTE,NO,0,0,0,700,0,0,0,0,0,
8,0011-001,001109,PANEL A,Panel A - 2 Visits,8,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0011-001,001100109,PANEL A,Panel A - 2 Visits,9,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0011-004,001104,PANEL A,Panel A - Combined Visit,1,,SELF-REPORTED,,YES,NO,YES,PRIMARY STANDARD 6,NONE,NO,,NO,2007,,,,,,,,,,,,,,,,
1,0012-001,001201,PANEL B,Panel B - 2 Visits,1,,ANOTHER HH MEMBER,2,YES,YES,YES,SECONDARY FORM 4,MSCE,NO,,NO,1981,,,,,,,,,,,,,,,,
2,0012-001,001202,PANEL B,Panel B - 2 Visits,2,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 8,PSLC,NO,,NO,1982,,,,,,,,,,,,,,,,
3,0012-001,001204,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,2,YES,YES,YES,SECONDARY FORM 4,MSCE,NO,,NO,2010,,,,,,,,,,,,,,,,
4,0012-001,001205,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,2,YES,YES,YES,SECONDARY FORM 4,MSCE,NO,,NO,2011,,,,,,,,,,,,,,,,
5,0012-001,001206,PANEL B,Panel B - 2 Visits,5,,ANOTHER HH MEMBER,2,YES,YES,YES,SECONDARY FORM 4,JCE,YES,SECONDARY FORM 3,YES,,COMMUNITY DAY (CDSS),DAY SCHOLAR,BICYCLE,1,HOUR,NO,15000,0,1000,0,0,0,0,0,1000,
6,0012-001,001207,PANEL B,Panel B - 2 Visits,6,,ANOTHER HH MEMBER,2,YES,YES,YES,SECONDARY FORM 1,PSLC,YES,PRIMARY STANDARD 8,YES,,NIGHT SCHOOL,DAY SCHOLAR,FOOT,1,MINUTE,NO,8000,0,1000,0,0,0,0,0,0,
7,0012-001,001208,PANEL B,Panel B - 2 Visits,7,,ANOTHER HH MEMBER,2,YES,YES,YES,PRIMARY STANDARD 5,NONE,YES,PRIMARY STANDARD 4,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,1,MINUTE,NO,0,0,0,0,0,0,0,300,0,
1,0012-003,001200301,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,SECONDARY FORM 4,MSCE,NO,,NO,2005,,,,,,,,,,,,,,,,
2,0012-003,001203,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 2,JCE,NO,,NO,2003,,,,,,,,,,,,,,,,
3,0012-003,001200303,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 3,NONE,YES,PRIMARY STANDARD 2,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,10,MINUTE,NO,0,0,400,1200,0,0,0,100,0,
4,0012-003,001200304,PANEL B,Panel B - 2 Visits,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0012-010,001210,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,SECONDARY FORM 3,JCE,NO,,NO,2010,,,,,,,,,,,,,,,,
2,0012-010,001201002,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 8,NONE,NO,,NO,2007,,,,,,,,,,,,,,,,
1,0013-001,001301,PANEL A,Panel A - 2 Visits,1,,ANOTHER HH MEMBER,2,YES,YES,YES,SECONDARY FORM 3,JCE,NO,,NO,1999,,,,,,,,,,,,,,,,
2,0013-001,001302,PANEL A,Panel A - 2 Visits,2,,SELF-REPORTED,,YES,YES,YES,SECONDARY FORM 2,JCE,NO,,NO,1999,,,,,,,,,,,,,,,,
3,0013-001,001303,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,2,YES,NO,YES,PRIMARY STANDARD 6,NONE,YES,PRIMARY STANDARD 6,YES,,PRIVATE / NON RELIGIOUS,DAY SCHOLAR,FOOT,20,MINUTE,NO,15000,0,1200,1000,0,0,0,0,0,
4,0013-001,001304,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,2,YES,NO,YES,PRIMARY STANDARD 3,NONE,YES,PRIMARY STANDARD 3,YES,,PRIVATE / NON RELIGIOUS,DAY SCHOLAR,FOOT,20,MINUTE,NO,15000,0,1000,800,0,0,0,0,0,
5,0013-001,001305,PANEL A,Panel A - 2 Visits,5,,ANOTHER HH MEMBER,2,NO,NO,YES,NURSERY / PRE SCHOOL,NONE,YES,NURSERY / PRE SCHOOL,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,5,MINUTE,NO,0,0,0,0,0,0,0,0,0,
6,0013-001,001306,PANEL A,Panel A - 2 Visits,6,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0014-001,001401,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
1,0015-001,001501,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,NO,NO,YES,PRIMARY STANDARD 6,NONE,NO,,NO,1990,,,,,,,,,,,,,,,,
2,0015-001,001504,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 8,NONE,YES,PRIMARY STANDARD 7,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,3,MINUTE,NO,100,0,1000,800,0,300,0,0,0,
3,0015-001,001505,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 3,NONE,YES,PRIMARY STANDARD 2,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,3,MINUTE,NO,100,0,300,1300,0,300,0,0,0,
1,0016-001,001601,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,SECONDARY FORM 4,JCE,NO,,NO,2011,,,,,,,,,,,,,,,,
2,0016-001,001603,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 8,PSLC,NO,,NO,2009,,,,,,,,,,,,,,,,
3,0016-001,001604,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 3,JCE,YES,SECONDARY FORM 2,YES,,GOVERNMENT (CONVENTIONAL),BOARDER,,,,NO,22000,0,600,3000,63000,0,0,0,0,
4,0016-001,001605,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 1,NONE,NO,,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,200,0,0,0,0,0,100,
1,0016-002,001600201,PANEL B,Panel B - Combined Visit,1,,ANOTHER HH MEMBER,2,YES,YES,YES,SECONDARY FORM 4,MSCE,NO,,NO,1995,,,,,,,,,,,,,,,,
2,0016-002,001600202,PANEL B,Panel B - Combined Visit,2,,SELF-REPORTED,,YES,YES,YES,SECONDARY FORM 4,JCE,NO,,NO,2002,,,,,,,,,,,,,,,,
3,0016-002,001600203,PANEL B,Panel B - Combined Visit,3,,ANOTHER HH MEMBER,2,YES,YES,YES,PRIMARY STANDARD 8,NONE,YES,PRIMARY STANDARD 7,YES,,CHURCH / MISSION SCHOOL,BOARDER,,,,NO,37000,0,2000,0,40000,0,0,0,10000,
4,0016-002,001600204,PANEL B,Panel B - Combined Visit,4,,ANOTHER HH MEMBER,2,YES,YES,YES,PRIMARY STANDARD 6,NONE,YES,PRIMARY STANDARD 5,YES,,PRIVATE / NON RELIGIOUS,DAY SCHOLAR,FOOT,25,MINUTE,NO,25800,0,1000,0,0,0,0,0,12000,
5,0016-002,001600205,PANEL B,Panel B - Combined Visit,5,,ANOTHER HH MEMBER,2,YES,YES,YES,PRIMARY STANDARD 4,NONE,YES,PRIMARY STANDARD 3,YES,,PRIVATE / NON RELIGIOUS,DAY SCHOLAR,FOOT,25,MINUTE,NO,25000,0,1000,0,0,0,0,0,13000,
6,0016-002,001600206,PANEL B,Panel B - Combined Visit,6,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0016-002,001602,PANEL B,Panel B - Combined Visit,7,,ANOTHER HH MEMBER,2,YES,YES,YES,SECONDARY FORM 4,MSCE,NO,,NO,2012,,,,,,,,,,,,,,,,
1,0017-001,001701,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,0017-001,001700102,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,0017-001,001700103,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 4,NONE,YES,PRIMARY STANDARD 4,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,10,MINUTE,NO,0,600,100,1500,0,0,0,0,0,
