HHID,case_id,visit,ea_id,fs_f0a,fs_f04,fs_f05
388,104041860008,2,10404186,,,
396,104041860012,2,10404186,,,
384,104041860017,2,10404186,,,
404,104041860021,2,10404186,,,
410,104041860030,2,10404186,Hired Labour,No,
410,104041860030,2,10404186,Transport,Yes,4000
410,104041860030,2,10404186,Packaging,No,
410,104041860030,2,10404186,Ice,No,
410,104041860030,2,10404186,Tax,No,
410,104041860030,2,10404186,Other (Specify),No,
386,104041860034,2,10404186,,,
406,104041860039,2,10404186,Hired Labour,No,
406,104041860039,2,10404186,Transport,Yes,2000
406,104041860039,2,10404186,Packaging,No,
406,104041860039,2,10404186,Ice,No,
406,104041860039,2,10404186,Tax,No,
406,104041860039,2,10404186,Other (Specify),No,
394,104041860043,2,10404186,,,
408,104041860061,2,10404186,Hired Labour,No,
408,104041860061,2,10404186,Transport,No,
408,104041860061,2,10404186,Packaging,No,
408,104041860061,2,10404186,Ice,No,
408,104041860061,2,10404186,Tax,No,
408,104041860061,2,10404186,Other (Specify),No,
390,104041860065,2,10404186,Hired Labour,No,
390,104041860065,2,10404186,Transport,No,
390,104041860065,2,10404186,Packaging,No,
390,104041860065,2,10404186,Ice,No,
390,104041860065,2,10404186,Tax,No,
390,104041860065,2,10404186,Other (Specify),No,
412,104041860083,2,10404186,Hired Labour,No,
412,104041860083,2,10404186,Transport,Yes,800
412,104041860083,2,10404186,Packaging,Yes,300
412,104041860083,2,10404186,Ice,No,
412,104041860083,2,10404186,Tax,No,
412,104041860083,2,10404186,Other (Specify),No,
424,105015050001,2,10501505,Hired Labour,No,
424,105015050001,2,10501505,Transport,Yes,200
424,105015050001,2,10501505,Packaging,No,
424,105015050001,2,10501505,Ice,No,
424,105015050001,2,10501505,Tax,No,
424,105015050001,2,10501505,Other (Specify),No,
501,105033670018,1,10503367,Hired Labour,No,
501,105033670018,1,10503367,Transport,Yes,500
501,105033670018,1,10503367,Packaging,No,
501,105033670018,1,10503367,Ice,No,
501,105033670018,1,10503367,Tax,No,
501,105033670018,1,10503367,Other (Specify),No,
633,107321920281,1,10732192,,,
764,107462440085,2,10746244,Hired Labour,No,
764,107462440085,2,10746244,Transport,Yes,140
764,107462440085,2,10746244,Packaging,No,
764,107462440085,2,10746244,Ice,No,
764,107462440085,2,10746244,Tax,No,
764,107462440085,2,10746244,Other (Specify),No,
793,201106200267,1,20110620,Hired Labour,No,
793,201106200267,1,20110620,Transport,Yes,1500
793,201106200267,1,20110620,Packaging,Yes,200
793,201106200267,1,20110620,Ice,No,
793,201106200267,1,20110620,Tax,No,
793,201106200267,1,20110620,Other (Specify),No,
973,204040320072,1,20404032,Hired Labour,No,
973,204040320072,1,20404032,Transport,Yes,1000
973,204040320072,1,20404032,Packaging,No,
973,204040320072,1,20404032,Ice,No,
973,204040320072,1,20404032,Tax,No,
973,204040320072,1,20404032,Other (Specify),No,
1107,205083490010,1,20508349,Hired Labour,No,
1107,205083490010,1,20508349,Transport,Yes,13400
1107,205083490010,1,20508349,Packaging,No,
1107,205083490010,1,20508349,Ice,No,
1107,205083490010,1,20508349,Tax,No,
1107,205083490010,1,20508349,Other (Specify),No,
1091,205083490121,1,20508349,,,
1381,207053720086,1,20705372,Hired Labour,No,
1381,207053720086,1,20705372,Transport,No,
1381,207053720086,1,20705372,Packaging,No,
1381,207053720086,1,20705372,Ice,No,
1381,207053720086,1,20705372,Tax,No,
1381,207053720086,1,20705372,Other (Specify),No,
1429,207061630586,1,20706163,Hired Labour,Yes,2000
1429,207061630586,1,20706163,Transport,Yes,5000
1429,207061630586,1,20706163,Packaging,No,
1429,207061630586,1,20706163,Ice,No,
1429,207061630586,1,20706163,Tax,No,
1429,207061630586,1,20706163,Other (Specify),No,
1461,208044050092,1,20804405,Hired Labour,No,
1461,208044050092,1,20804405,Transport,No,
1461,208044050092,1,20804405,Packaging,No,
1461,208044050092,1,20804405,Ice,No,
1461,208044050092,1,20804405,Tax,No,
1461,208044050092,1,20804405,Other (Specify),No,
1637,210375360135,1,21037536,Hired Labour,No,
1637,210375360135,1,21037536,Transport,No,
1637,210375360135,1,21037536,Packaging,No,
1637,210375360135,1,21037536,Ice,No,
1637,210375360135,1,21037536,Tax,No,
1637,210375360135,1,21037536,Other (Specify),No,
1951,301012800005,1,30101280,Hired Labour,No,
1951,301012800005,1,30101280,Transport,Yes,1400
1951,301012800005,1,30101280,Packaging,No,
1951,301012800005,1,30101280,Ice,No,
1951,301012800005,1,30101280,Tax,No,
1951,301012800005,1,30101280,Other (Specify),No,
1923,301012800063,1,30101280,,,
1935,301012800066,1,30101280,Hired Labour,Yes,500
1935,301012800066,1,30101280,Transport,Yes,1000
1935,301012800066,1,30101280,Packaging,Yes,700
1935,301012800066,1,30101280,Ice,No,
1935,301012800066,1,30101280,Tax,No,
1935,301012800066,1,30101280,Other (Specify),No,
1943,301012800128,1,30101280,Hired Labour,Yes,1
1943,301012800128,1,30101280,Transport,No,
1943,301012800128,1,30101280,Packaging,No,
1943,301012800128,1,30101280,Ice,No,
1943,301012800128,1,30101280,Tax,No,
1943,301012800128,1,30101280,Other (Specify),No,
1939,301012800172,1,30101280,Hired Labour,Yes,200
1939,301012800172,1,30101280,Transport,No,
1939,301012800172,1,30101280,Packaging,No,
1939,301012800172,1,30101280,Ice,No,
1939,301012800172,1,30101280,Tax,No,
1939,301012800172,1,30101280,Other (Specify),No,
1979,301020280258,1,30102028,Hired Labour,Yes,4200
1979,301020280258,1,30102028,Transport,Yes,1000
1979,301020280258,1,30102028,Packaging,No,
1979,301020280258,1,30102028,Ice,No,
1979,301020280258,1,30102028,Tax,No,
1979,301020280258,1,30102028,Other (Specify),No,
2053,301084010268,1,30108401,,,
2189,303026010171,1,30302601,Hired Labour,No,
2189,303026010171,1,30302601,Transport,No,
2189,303026010171,1,30302601,Packaging,No,
2189,303026010171,1,30302601,Ice,No,
2189,303026010171,1,30302601,Tax,No,
2189,303026010171,1,30302601,Other (Specify),No,
2223,303052770138,1,30305277,Hired Labour,No,
2223,303052770138,1,30305277,Transport,Yes,300
2223,303052770138,1,30305277,Packaging,No,
2223,303052770138,1,30305277,Ice,No,
2223,303052770138,1,30305277,Tax,No,
2223,303052770138,1,30305277,Other (Specify),No,
2257,303055800113,1,30305580,Hired Labour,No,
2257,303055800113,1,30305580,Transport,No,
2257,303055800113,1,30305580,Packaging,No,
2257,303055800113,1,30305580,Ice,No,
2257,303055800113,1,30305580,Tax,No,
2257,303055800113,1,30305580,Other (Specify),No,
2278,303076780046,2,30307678,Hired Labour,No,
2278,303076780046,2,30307678,Transport,Yes,200
2278,303076780046,2,30307678,Packaging,No,
2278,303076780046,2,30307678,Ice,No,
2278,303076780046,2,30307678,Tax,No,
2278,303076780046,2,30307678,Other (Specify),No,
2355,304067100177,1,30406710,Hired Labour,No,
2355,304067100177,1,30406710,Transport,No,
2355,304067100177,1,30406710,Packaging,No,
2355,304067100177,1,30406710,Ice,No,
2355,304067100177,1,30406710,Tax,No,
2355,304067100177,1,30406710,Other (Specify),No,
2399,305024560043,1,30502456,Hired Labour,No,
2399,305024560043,1,30502456,Transport,Yes,1300
2399,305024560043,1,30502456,Packaging,Yes,1050
2399,305024560043,1,30502456,Ice,No,
2399,305024560043,1,30502456,Tax,No,
2399,305024560043,1,30502456,Other (Specify),No,
2454,307086650188,2,30708665,Hired Labour,No,
2454,307086650188,2,30708665,Transport,Yes,200
2454,307086650188,2,30708665,Packaging,No,
2454,307086650188,2,30708665,Ice,No,
2454,307086650188,2,30708665,Tax,No,
2454,307086650188,2,30708665,Other (Specify),No,
2581,307116840099,1,30711684,Hired Labour,No,
2581,307116840099,1,30711684,Transport,Yes,500
2581,307116840099,1,30711684,Packaging,No,
2581,307116840099,1,30711684,Ice,No,
2581,307116840099,1,30711684,Tax,No,
2581,307116840099,1,30711684,Other (Specify),No,
2569,307116840228,1,30711684,Hired Labour,No,
2569,307116840228,1,30711684,Transport,Yes,1500
2569,307116840228,1,30711684,Packaging,Yes,500
2569,307116840228,1,30711684,Ice,No,
2569,307116840228,1,30711684,Tax,No,
2569,307116840228,1,30711684,Other (Specify),No,
2623,308016720066,1,30801672,Hired Labour,Yes,2000
2623,308016720066,1,30801672,Transport,No,
2623,308016720066,1,30801672,Packaging,No,
2623,308016720066,1,30801672,Ice,No,
2623,308016720066,1,30801672,Tax,No,
2623,308016720066,1,30801672,Other (Specify),No,
2777,310021690162,1,31002169,Hired Labour,No,
2777,310021690162,1,31002169,Transport,Yes,300
2777,310021690162,1,31002169,Packaging,Yes,40
2777,310021690162,1,31002169,Ice,No,
2777,310021690162,1,31002169,Tax,Yes,40
2777,310021690162,1,31002169,Other (Specify),No,
2823,311087030266,1,31108703,Hired Labour,Yes,500
2823,311087030266,1,31108703,Transport,Yes,1000
2823,311087030266,1,31108703,Packaging,Yes,200
2823,311087030266,1,31108703,Ice,No,
2823,311087030266,1,31108703,Tax,Yes,100
2823,311087030266,1,31108703,Other (Specify),No,
2827,311087030320,1,31108703,,,
2835,311087030327,1,31108703,,,
2833,311087030374,1,31108703,Hired Labour,No,
2833,311087030374,1,31108703,Transport,Yes,500
2833,311087030374,1,31108703,Packaging,Yes,300
2833,311087030374,1,31108703,Ice,No,
2833,311087030374,1,31108703,Tax,No,
2833,311087030374,1,31108703,Other (Specify),No,
2891,312046180102,1,31204618,Hired Labour,No,
2891,312046180102,1,31204618,Transport,No,
2891,312046180102,1,31204618,Packaging,No,
2891,312046180102,1,31204618,Ice,No,
2891,312046180102,1,31204618,Tax,No,
2891,312046180102,1,31204618,Other (Specify),No,
2868,314325230046,2,31432523,Hired Labour,Yes,500
2868,314325230046,2,31432523,Transport,No,
2868,314325230046,2,31432523,Packaging,No,
2868,314325230046,2,31432523,Ice,Yes,300
2868,314325230046,2,31432523,Tax,Yes,1000
2868,314325230046,2,31432523,Other (Specify),No,
2940,314386900029,2,31438690,Hired Labour,No,
2940,314386900029,2,31438690,Transport,Yes,250
2940,314386900029,2,31438690,Packaging,No,
2940,314386900029,2,31438690,Ice,No,
2940,314386900029,2,31438690,Tax,No,
2940,314386900029,2,31438690,Other (Specify),No,
2958,314391020044,2,31439102,Hired Labour,No,
2958,314391020044,2,31439102,Transport,Yes,140
2958,314391020044,2,31439102,Packaging,No,
2958,314391020044,2,31439102,Ice,No,
2958,314391020044,2,31439102,Tax,No,
2958,314391020044,2,31439102,Other (Specify),No,
2978,314391020125,2,31439102,Hired Labour,Yes,600
2978,314391020125,2,31439102,Transport,Yes,3600
2978,314391020125,2,31439102,Packaging,No,
2978,314391020125,2,31439102,Ice,Yes,4900
2978,314391020125,2,31439102,Tax,No,
2978,314391020125,2,31439102,Other (Specify),No,
2984,314423940024,2,31442394,Hired Labour,No,
2984,314423940024,2,31442394,Transport,Yes,2000
2984,314423940024,2,31442394,Packaging,No,
2984,314423940024,2,31442394,Ice,No,
2984,314423940024,2,31442394,Tax,Yes,350
2984,314423940024,2,31442394,Other (Specify),No,
