occ,y2_hhid,qx_type,interview_status,ag_i0b,ag_i01,ag_i01_1,ag_i02a,ag_i02b,ag_i02c,ag_i03,ag_i11,ag_i12a,ag_i12b,ag_i12c,ag_i12_1a,ag_i12_1b,ag_i13,ag_i14a,ag_i14b,ag_i15a,ag_i15b,ag_i16,ag_i17,ag_i18,ag_i19,ag_i20,ag_i21a,ag_i21b,ag_i21c,ag_i21_1a,ag_i21_1b,ag_i22,ag_i23a,ag_i23b,ag_i24a,ag_i24b,ag_i25,ag_i26,ag_i27,ag_i31a,ag_i31b,ag_i31c,ag_i32a,ag_i32b,ag_i32c,ag_i33a,ag_i33b,ag_i33c,ag_i34a,ag_i34b,ag_i34c,ag_i35a,ag_i35b,ag_i35c,ag_i36a,ag_i36b,ag_i36c,ag_i36d,ag_i37a,ag_i37b,ag_i38,ag_i39,ag_i40a,ag_i40b,ag_i40c,ag_i41a,ag_i41b,ag_i42a,ag_i42b
2,0007-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,40,KILOGRAM,SHELLED,0,,,,,,YES,BAGS IN HOUSE,6,50 KG BAG,SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,
1,0008-001,PANEL B,Panel B - 2 Visits,MAIZE LOCAL,YES,1,3,50 KG BAG,SHELLED,15000,N02,3,50 KG BAG,SHELLED,1,2,15000,1,2,JULY,2013,2,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,1,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0008-001,PANEL B,Panel B - 2 Visits,NKHWANI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
3,0008-001,PANEL B,Panel B - 2 Visits,GROUNDNUT CHALIMBANA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,1,PAIL (SMALL),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
4,0008-001,PANEL B,Panel B - 2 Visits,BEANS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,1,PAIL (SMALL),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0008-003,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,3,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0009-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID RECYCLED,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,3,50 KG BAG,SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,
2,0009-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID RECYCLED,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,4,50 KG BAG,SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,
1,0010-001,PANEL B,Panel B - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
1,0011-001,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,YES,2,5,PAIL (LARGE),SHELLED,7500,N03,5,PAIL (LARGE),SHELLED,1,2,7500,1,2,JULY,2013,3,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,2,PAIL (LARGE),SHELLED,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,YES,BAGS IN HOUSE,25,PAIL (LARGE),SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0011-001,PANEL A,Panel A - 2 Visits,BEANS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,NO. 10 PLATE,SHELLED,0,,,0,,,0,,,4,NO. 10 PLATE,SHELLED,0,,,,,,YES,BAGS IN HOUSE,6,NO. 10 PLATE,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0012-001,PANEL B,Panel B - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,1,50 KG BAG,SHELLED,0,,,,,,YES,BAGS IN HOUSE,20,50 KG BAG,SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,
2,0012-001,PANEL B,Panel B - 2 Visits,SUNFLOWER,YES,2,2,PAIL (LARGE),SHELLED,6000,N02,2,PAIL (LARGE),SHELLED,2,,6000,2,,JULY,2013,1,ON FOOT,0,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,5,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,TO SELL AT A HIGHER PRICE,
3,0012-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID RECYCLED,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50 KG BAG,SHELLED,0,,,0,,,0,,,1,50 KG BAG,SHELLED,0,,,,,,YES,BAGS IN HOUSE,8,50 KG BAG,SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,
4,0012-001,PANEL B,Panel B - 2 Visits,SWEET POTATO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50 KG BAG,NOT APPLICABLE,0,,,0,,,0,,,0,,,0,,,,,,YES,OTHER (SPECIFY),1,50 KG BAG,NOT APPLICABLE,DID NOTHING,,FOOD FOR HOUSEHOLD,
1,0012-003,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,7,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0012-010,PANEL B,Panel B - 2 Visits,MAIZE HYBRID RECYCLED,YES,1,1,50 KG BAG,SHELLED,7000,N02,1,50 KG BAG,SHELLED,1,,7000,1,,AUGUST,2013,2,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,1,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0012-010,PANEL B,Panel B - 2 Visits,GROUNDNUT CHALIMBANA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0013-001,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,YES,2,210,PAIL (LARGE),SHELLED,420000,N03,210,PAIL (LARGE),SHELLED,1,2,420000,1,2,JULY,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,3,PAIL (LARGE),SHELLED,0,,,0,,,0,,,2,PAIL (LARGE),SHELLED,0,,,,,,YES,BAGS IN HOUSE,50,PAIL (LARGE),SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0013-001,PANEL A,Panel A - 2 Visits,BEANS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,5,KILOGRAM,SHELLED,0,,,,,,YES,BAGS IN HOUSE,5,KILOGRAM,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
3,0013-001,PANEL A,Panel A - 2 Visits,CMAIZE OMPOSITE/OPV,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
4,0013-001,PANEL A,Panel A - 2 Visits,GROUNDNUT CHALIMBANA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,1,PAIL (LARGE),UNSHELLED,0,,,,,,YES,BAGS IN HOUSE,2,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0014-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,YES,1,5,PAIL (LARGE),SHELLED,6000,N05,5,PAIL (LARGE),SHELLED,1,,6000,1,,SEPTEMBER,2013,2,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,5,KILOGRAM,SHELLED,0,,,,,,YES,BAGS IN HOUSE,18,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0015-001,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,YES,1,12,PAIL (LARGE),SHELLED,14400,N06,12,PAIL (LARGE),SHELLED,1,2,14400,1,2,JUNE,2013,3,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,5,KILOGRAM,SHELLED,0,,,,,,YES,BAGS IN HOUSE,15,PAIL (LARGE),SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0015-001,PANEL A,Panel A - 2 Visits,BEANS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,KILOGRAM,SHELLED,0,,,0,,,0,,,1,KILOGRAM,SHELLED,0,,,,,,YES,BAGS IN HOUSE,5,KILOGRAM,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
3,0015-001,PANEL A,Panel A - 2 Visits,OTHER GROUNDNUT (SPECIFY),YES,1,2,PAIL (LARGE),UNSHELLED,1000,N06,2,PAIL (LARGE),UNSHELLED,1,2,1000,1,2,JULY,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,10,PAIL (LARGE),UNSHELLED,0,,,,,,YES,BAGS IN HOUSE,1,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
4,0015-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0016-001,PANEL B,Panel B - 2 Visits,MAIZE LOCAL,YES,1,4,PAIL (LARGE),SHELLED,6800,N07,4,PAIL (LARGE),SHELLED,1,,6800,1,,SEPTEMBER,2013,1,ON FOOT,0,NO,,,,,,,,,,,,,,,12,PAIL (LARGE),SHELLED,0,,,0,,,0,,,2,PAIL (LARGE),SHELLED,0,,,,,,YES,BAGS IN HOUSE,120,PAIL (LARGE),SHELLED,OTHER (SPECIFY),,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0016-001,PANEL B,Panel B - 2 Visits,BEANS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,5,KILOGRAM,SHELLED,0,,,,,,YES,BAGS IN HOUSE,3,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
3,0016-001,PANEL B,Panel B - 2 Visits,OTHER GROUNDNUT (SPECIFY),YES,1,6,PAIL (LARGE),UNSHELLED,10000,N07,6,PAIL (LARGE),UNSHELLED,1,,10000,1,,AUGUST,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,1,PAIL (LARGE),UNSHELLED,0,,,,,,YES,BAGS IN HOUSE,2,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0017-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,4,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0017-001,PANEL A,Panel A - 2 Visits,TOBACCO BURLEY,YES,1,3,BALE,NOT APPLICABLE,210000,N04,3,BALE,NOT APPLICABLE,1,2,210000,1,2,JUNE,2013,3,TRUCK / BUS / MINIBUS,7000,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0018-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,YES,1,4,PAIL (LARGE),SHELLED,6000,N04,4,PAIL (LARGE),SHELLED,1,2,6000,1,2,SEPTEMBER,2013,1,ON FOOT,0,NO,,,,,,,,,,,,,,,5,PAIL (LARGE),SHELLED,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,YES,BAGS IN HOUSE,55,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0018-001,PANEL B,Panel B - 2 Visits,BEANS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,KILOGRAM,SHELLED,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
3,0018-001,PANEL B,Panel B - 2 Visits,OTHER GROUNDNUT (SPECIFY),NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0019-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,3,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,
2,0019-001,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,20,KILOGRAM,SHELLED,0,,,,,,YES,BAGS IN HOUSE,4,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,
1,0020-001,PANEL B,Panel B - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,50 KG BAG,SHELLED,0,,,0,,,0,,,1,50 KG BAG,SHELLED,0,,,,,,YES,BAGS IN HOUSE,11,50 KG BAG,SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,
2,0020-001,PANEL B,Panel B - 2 Visits,NKHWANI,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50 KG BAG,NOT APPLICABLE,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
3,0020-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,
1,0021-001,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,3,PAIL (LARGE),SHELLED,0,,,,,,YES,BAGS IN HOUSE,14,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
2,0021-001,PANEL A,Panel A - 2 Visits,BEANS,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (SMALL),SHELLED,0,,,0,,,0,,,2,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
3,0021-001,PANEL A,Panel A - 2 Visits,PEA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,KILOGRAM,SHELLED,0,,,0,,,0,,,1,KILOGRAM,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
4,0021-001,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,YES,1,6,PAIL (LARGE),SHELLED,12000,N02,6,PAIL (LARGE),SHELLED,1,,12000,1,,JULY,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
5,0021-001,PANEL A,Panel A - 2 Visits,GROUNDNUT CG7,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,1,PAIL (LARGE),UNSHELLED,0,,,,,,YES,BAGS IN HOUSE,2,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0022-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0023-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,30,KILOGRAM,SHELLED,0,,,,,,YES,BAGS IN HOUSE,16,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,
1,0024-001,PANEL B,Panel B - 2 Visits,MAIZE LOCAL,YES,2,10,PAIL (LARGE),SHELLED,20000,N01,10,PAIL (LARGE),SHELLED,1,2,20000,1,2,AUGUST,2013,1,BICYCLE TAXI,1000,NO,,,,,,,,,,,,,,,3,PAIL (LARGE),SHELLED,0,,,0,,,0,,,4,PAIL (LARGE),SHELLED,0,,,,,,YES,BAGS IN HOUSE,20,PAIL (LARGE),SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
2,0024-001,PANEL B,Panel B - 2 Visits,GROUNDNUT MANIPINTA,YES,2,2,PAIL (LARGE),UNSHELLED,4000,N01,2,PAIL (LARGE),UNSHELLED,1,2,4000,1,2,SEPTEMBER,2013,1,BICYCLE TAXI,250,NO,,,,,,,,,,,,,,,2,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,1,PAIL (LARGE),UNSHELLED,0,,,,,,YES,BAGS IN HOUSE,3,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
