ea_id,com_cg35,com_cg35a,com_cg35a_os,com_cg36,com_cg37
10202514,BETTER OFF,DEVELOPMENT PROJECT,,2009,ALMOST ALL
10203176,WORSE OFF,DROUGHT,,2007,1/2
10203176,WORSE OFF,LIVESTOCK DISEASE,,2007,1/4
10203176,WORSE OFF,LIVESTOCK DISEASE,,2010,1/2
10203176,WORSE OFF,OTHER BAD (SPECIFY),LIVESTOCK DISEASE,2009,3/4
10203176,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/4
10203176,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/4
10203176,BETTER OFF,NEW SCHOOL,,2009,1/2
10203176,BETTER OFF,NEW SCHOOL,,2009,1/4
10203744,WORSE OFF,DROUGHT,,2009,1/4
10203744,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,1/4
10203744,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,3/4
10203744,BETTER OFF,NEW SCHOOL,,2009,1/2
10203744,BETTER OFF,NEW SCHOOL,,2009,1/2
10203744,BETTER OFF,NEW SCHOOL,,2008,1/2
10204322,WORSE OFF,DROUGHT,,2009,ALMOST ALL
10204322,WORSE OFF,FLOOD,,2008,ALMOST NONE
10204322,WORSE OFF,OTHER BAD (SPECIFY),WHIRLWIND,2008,ALMOST NONE
10204322,BETTER OFF,DEVELOPMENT PROJECT,,2008,ALMOST ALL
10204322,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/4
10204322,BETTER OFF,OTHER GOOD (SPECIFY),GOATS WERE GIVEN TO SOME COMMUNITY,2006,1/2
10204586,WORSE OFF,DROUGHT,,2008,1/4
10204586,WORSE OFF,SHARP CHANGE IN PRICES,,2009,1/4
10204586,WORSE OFF,POWER OUTAGE(S),,2009,ALMOST NONE
10204586,BETTER OFF,DEVELOPMENT PROJECT,,2006,1/2
10204586,BETTER OFF,NEW SCHOOL,,2009,3/4
10204586,BETTER OFF,NEW SCHOOL,,2007,ALMOST ALL
10220103,WORSE OFF,FLOOD,,2009,1/4
10220103,WORSE OFF,LIVESTOCK DISEASE,,2009,3/4
10220103,WORSE OFF,LIVESTOCK DISEASE,,2008,3/4
10220103,WORSE OFF,OTHER BAD (SPECIFY),EARTHQUAKE,2009,3/4
10220103,BETTER OFF,DEVELOPMENT PROJECT,,2008,1/2
10220705,WORSE OFF,DROUGHT,,2008,ALMOST ALL
10220705,WORSE OFF,FLOOD,,2009,ALMOST ALL
10220705,WORSE OFF,OTHER BAD (SPECIFY),EARHQUAKE,2009,ALMOST ALL
10220705,BETTER OFF,NEW EMPLOYMENT OPPORTUNITIES,,2009,1/4
10220705,BETTER OFF,OTHER GOOD (SPECIFY),PIPED WATER,2009,1/4
10301663,WORSE OFF,DROUGHT,,2009,ALMOST ALL
10301663,WORSE OFF,SHARP CHANGE IN PRICES,,2010,ALMOST ALL
10301663,BETTER OFF,NEW EMPLOYMENT OPPORTUNITIES,,2010,3/4
10302010,WORSE OFF,FLOOD,,2009,1/2
10302010,WORSE OFF,FLOOD,,2008,3/4
10302010,BETTER OFF,ON-GRID ELECTRICITY,,2010,ALMOST ALL
10304012,WORSE OFF,CROP DISEASE/PESTS,,2007,ALMOST ALL
10304012,WORSE OFF,LIVESTOCK DISEASE,,2009,ALMOST ALL
10304012,BETTER OFF,IMPROVED TRANSPORTATION,,2008,ALMOST ALL
10305446,BETTER OFF,SHARP CHANGE IN PRICES,,2010,ALMOST ALL
10305446,WORSE OFF,IMPROVED TRANSPORTATION,,2009,ALMOST ALL
10305446,WORSE OFF,IMPROVED TRANSPORTATION,,2010,ALMOST ALL
10307413,WORSE OFF,FLOOD,,2008,3/4
10307413,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,3/4
10307413,BETTER OFF,IMPROVED TRANSPORTATION,,2009,3/4
10308636,WORSE OFF,CROP DISEASE/PESTS,,2009,3/4
10308636,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2008,1/2
10308636,BETTER OFF,DEVELOPMENT PROJECT,,2009,ALMOST ALL
10308636,BETTER OFF,DEVELOPMENT PROJECT,,2010,ALMOST ALL
10401140,WORSE OFF,LIVESTOCK DISEASE,,2008,ALMOST ALL
10401140,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,ALMOST ALL
10401140,BETTER OFF,DEVELOPMENT PROJECT,,2010,ALMOST ALL
10401140,BETTER OFF,NEW EMPLOYMENT OPPORTUNITIES,,2008,1/4
10401140,BETTER OFF,NEW HEALTH FACILITY,,2009,ALMOST ALL
10401502,WORSE OFF,DROUGHT,,2009,1/2
10401522,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
10401522,WORSE OFF,OTHER BAD (SPECIFY),LACK OF IMPROVED WATER FROM PROTECT,2008,ALMOST ALL
10401522,WORSE OFF,OTHER BAD (SPECIFY),LACK OF WATER FROM PROTECTED SOURCE,2009,ALMOST ALL
10401522,WORSE OFF,OTHER BAD (SPECIFY),LACK OF WATER FROM IMPROVED SOURCE,2010,ALMOST ALL
10401522,BETTER OFF,DEVELOPMENT PROJECT,,2009,ALMOST ALL
10401522,BETTER OFF,DEVELOPMENT PROJECT,,2008,ALMOST ALL
10404186,WORSE OFF,FLOOD,,2009,ALMOST ALL
10404186,BETTER OFF,IMPROVED TRANSPORTATION,,2009,ALMOST ALL
10404186,BETTER OFF,ON-GRID ELECTRICITY,,2008,ALMOST ALL
10405213,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
10405213,WORSE OFF,OTHER BAD (SPECIFY),UN IMPROVED TRANSPORTATION,2010,ALMOST ALL
10405213,WORSE OFF,OTHER BAD (SPECIFY),BAD CONDITION OF THE ROAD,2009,ALMOST ALL
10405213,BETTER OFF,OTHER GOOD (SPECIFY),IMPROVEMENT OF AGRICULTURE,2010,ALMOST ALL
10405213,BETTER OFF,OTHER GOOD (SPECIFY),IMPROVEMENT OF AGRICULTURE,2009,ALMOST ALL
10501505,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2010,3/4
10501505,BETTER OFF,OTHER GOOD (SPECIFY),FERTILIZER SUBSIDY,2010,1/4
10501709,WORSE OFF,DROUGHT,,2010,ALMOST ALL
10501709,WORSE OFF,LIVESTOCK DISEASE,,2009,3/4
10501709,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/4
10502268,WORSE OFF,FLOOD,,2008,1/4
10502268,WORSE OFF,LIVESTOCK DISEASE,,2010,ALMOST ALL
10502268,BETTER OFF,OTHER GOOD (SPECIFY),CONSTRUCTION OF STAFF HOUSES(2 HOUS,2010,1/2
10502593,WORSE OFF,DROUGHT,,2010,ALMOST ALL
10502593,WORSE OFF,OTHER BAD (SPECIFY),SHORTAGE OF COUPONS,2008,ALMOST ALL
10502593,WORSE OFF,OTHER BAD (SPECIFY),SHORTAGE OF BOLEHOLE,2009,ALMOST ALL
10503367,WORSE OFF,DROUGHT,,2005,ALMOST ALL
10503367,WORSE OFF,SHARP CHANGE IN PRICES,,2005,ALMOST ALL
10503367,BETTER OFF,DEVELOPMENT PROJECT,,2007,ALMOST ALL
10505136,WORSE OFF,CROP DISEASE/PESTS,,2009,3/4
10505136,WORSE OFF,LIVESTOCK DISEASE,,2009,1/4
10505136,BETTER OFF,OTHER GOOD (SPECIFY),VACCINATION AGAINST MEASLES,2010,1/2
10505310,WORSE OFF,DROUGHT,,2009,ALMOST ALL
10505310,WORSE OFF,LIVESTOCK DISEASE,,2008,3/4
10505310,BETTER OFF,OTHER GOOD (SPECIFY),BOREHOLE,2007,1/2
10505508,WORSE OFF,SHARP CHANGE IN PRICES,,2010,3/4
10507175,WORSE OFF,DROUGHT,,2005,ALMOST ALL
10507344,WORSE OFF,DROUGHT,,2010,ALMOST ALL
10507344,WORSE OFF,LIVESTOCK DISEASE,,2006,1/2
10507344,BETTER OFF,OTHER GOOD (SPECIFY),RECEVING OF COUPONS RECEIVING OF CO,2007,3/4
10509319,WORSE OFF,CROP DISEASE/PESTS,,2010,1/2
10509319,WORSE OFF,SHARP CHANGE IN PRICES,,2007,ALMOST ALL
10509319,BETTER OFF,NEW EMPLOYMENT OPPORTUNITIES,,2007,ALMOST ALL
10510388,WORSE OFF,LIVESTOCK DISEASE,,2009,3/4
10510388,BETTER OFF,NEW EMPLOYMENT OPPORTUNITIES,,2008,1/4
10510388,BETTER OFF,NEW ROAD,,2008,ALMOST ALL
10732192,WORSE OFF,LIVESTOCK DISEASE,,2009,1/4
10732192,WORSE OFF,DEVELOPMENT PROJECT,,2009,3/4
10734370,WORSE OFF,OTHER BAD (SPECIFY),EARTH QUEAKE,2009,ALMOST ALL
10734370,WORSE OFF,OTHER BAD (SPECIFY),SHORTAGE OF COUPONS,2005,ALMOST ALL
10734370,BETTER OFF,NEW HEALTH FACILITY,,2010,ALMOST ALL
10734762,WORSE OFF,FLOOD,,2010,ALMOST NONE
10734762,WORSE OFF,SHARP CHANGE IN PRICES,,2010,ALMOST ALL
10734762,WORSE OFF,OTHER BAD (SPECIFY),HAIL STORM,2010,1/4
10734762,BETTER OFF,OTHER GOOD (SPECIFY),DROP IN OF PRICES OF FERTIRIZER,2009,ALMOST ALL
10734762,BETTER OFF,OTHER GOOD (SPECIFY),PUTTING LEADENS IN THE COMMUNITY,2009,ALMOST ALL
10735173,WORSE OFF,OTHER BAD (SPECIFY),HAIL STORM,2008,1/4
10736596,WORSE OFF,SHARP CHANGE IN PRICES,,2010,ALMOST ALL
10736596,WORSE OFF,OTHER BAD (SPECIFY),HAILSTORM,2010,ALMOST NONE
10736596,BETTER OFF,NEW SCHOOL,,2009,3/4
10741504,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
10741504,BETTER OFF,OTHER BAD (SPECIFY),IMPROVED TRANSPORTATION,2008,ALMOST ALL
10741504,BETTER OFF,DEVELOPMENT PROJECT,,2008,ALMOST ALL
10741504,BETTER OFF,OTHER GOOD (SPECIFY),MASAF PROGRAME,2009,1/2
10744649,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,3/4
10744649,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2010,1/4
10744649,BETTER OFF,DEVELOPMENT PROJECT,,2010,ALMOST ALL
10744649,BETTER OFF,OTHER GOOD (SPECIFY),COUPONS,2009,ALMOST ALL
10744649,BETTER OFF,OTHER GOOD (SPECIFY),TAILORING,2010,1/4
10746033,WORSE OFF,CROP DISEASE/PESTS,,2009,1/2
10746033,WORSE OFF,LIVESTOCK DISEASE,,2009,3/4
10746033,WORSE OFF,OTHER BAD (SPECIFY),HAIR STORM,2009,1/4
10746033,BETTER OFF,DEVELOPMENT PROJECT,,2007,ALMOST ALL
10746244,WORSE OFF,CROP DISEASE/PESTS,,2009,3/4
10746244,WORSE OFF,SHARP CHANGE IN PRICES,,2007,ALMOST ALL
10746244,WORSE OFF,OTHER BAD (SPECIFY),HAIRSTORM,2009,1/4
10746244,BETTER OFF,DEVELOPMENT PROJECT,,2006,ALMOST ALL
10746244,BETTER OFF,NEW EMPLOYMENT OPPORTUNITIES,,2009,1/4
20106042,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2010,1/4
20106042,BETTER OFF,OTHER GOOD (SPECIFY),REDUCTION OF PRICES FOR AGRICULTURA,2008,ALMOST ALL
20110620,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST NONE
20110620,WORSE OFF,OTHER BAD (SPECIFY),LUCKY OF WELL ESTABLISHED MARKETS F,2009,ALMOST NONE
20110620,BETTER OFF,OTHER GOOD (SPECIFY),REDUCTION OF FERTILIZER PRICE,2009,ALMOST NONE
20110620,BETTER OFF,OTHER GOOD (SPECIFY),GOOD RAINS FOR MAIZE AND OTHER CROP,2009,ALMOST NONE
20111718,BETTER OFF,SHARP CHANGE IN PRICES,,2008,ALMOST ALL
20111718,WORSE OFF,SHARP CHANGE IN PRICES,,2008,ALMOST ALL
20111718,WORSE OFF,OTHER BAD (SPECIFY),LACKY  OF PROPER MARKETS FOR OTHER,2009,ALMOST ALL
20111718,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/4
20112661,WORSE OFF,DROUGHT,,2006,ALMOST ALL
20112661,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
20112661,BETTER OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
20112661,BETTER OFF,OTHER GOOD (SPECIFY),INTRODUCTION OF SCHOOL FEEDING PROG,2006,ALMOST ALL
20113112,WORSE OFF,SHARP CHANGE IN PRICES,,2008,ALMOST ALL
20113112,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
20113112,BETTER OFF,NEW HEALTH FACILITY,,2009,ALMOST ALL
20115434,WORSE OFF,LIVESTOCK DISEASE,,2009,ALMOST ALL
20115434,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
20115434,BETTER OFF,NEW EMPLOYMENT OPPORTUNITIES,,2006,ALMOST ALL
20115434,BETTER OFF,NEW EMPLOYMENT OPPORTUNITIES,,2008,ALMOST ALL
20205207,WORSE OFF,FLOOD,,2010,1/4
20205207,BETTER OFF,DEVELOPMENT PROJECT,,2009,ALMOST ALL
20206362,WORSE OFF,FLOOD,,2007,1/4
20206362,WORSE OFF,CROP DISEASE/PESTS,,2009,1/4
20206362,BETTER OFF,ON-GRID ELECTRICITY,,2007,1/4
20206362,BETTER OFF,OTHER GOOD (SPECIFY),SUBSIDY PROGAMME,2006,1/2
20302539,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
20302539,BETTER OFF,DEVELOPMENT PROJECT,,2009,ALMOST ALL
20302539,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/2
20302539,WORSE OFF,OTHER GOOD (SPECIFY),FAMINE,2007,3/4
20302539,WORSE OFF,OTHER GOOD (SPECIFY),POOR COUPON DISTRIBUTION,2009,3/4
20303065,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2006,1/4
20303065,BETTER OFF,SHARP CHANGE IN PRICES,,2008,3/4
20303065,BETTER OFF,DEVELOPMENT PROJECT,,2007,1/4
20303065,BETTER OFF,OTHER GOOD (SPECIFY),ARV IN ABUNDANCE { AVALAIBILITY },2006,1/2
20303065,BETTER OFF,OTHER GOOD (SPECIFY),SUBSIDY PROGRAMME { INPUTS },2006,1/2
20305301,WORSE OFF,OTHER BAD (SPECIFY),DROUGHT,2009,3/4
20305301,WORSE OFF,OTHER BAD (SPECIFY),POOR COUPON DISTRIBUTION,2009,3/4
20305301,BETTER OFF,OTHER GOOD (SPECIFY),FREE FOOD DISTRIBUTION,2008,1/2
20305301,BETTER OFF,OTHER GOOD (SPECIFY),TIMELY SCHOOL MATERIAL SUPPLY,2009,ALMOST ALL
20305301,BETTER OFF,OTHER GOOD (SPECIFY),SURPLUS FOOD DUE TO IRRIGATION,2007,3/4
20306557,WORSE OFF,OTHER BAD (SPECIFY),COUPON DISTRIBUTION {POOR},2006,1/2
20306557,BETTER OFF,DEVELOPMENT PROJECT,,2007,ALMOST ALL
20402198,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
20402198,WORSE OFF,OTHER BAD (SPECIFY),LACKY OF PROPER MARKETS FOR OTHER C,2009,ALMOST ALL
20402198,WORSE OFF,OTHER BAD (SPECIFY),LUCKY OF CLEAN PROTECTED WATER,2007,ALMOST ALL
20402198,WORSE OFF,OTHER BAD (SPECIFY),OUT BREAK OF MALARIA AND CHICKEN PO,2009,ALMOST ALL
20402198,BETTER OFF,OTHER GOOD (SPECIFY),REDUTION OF FERTILIZERS PRICES,2008,ALMOST ALL
20402198,BETTER OFF,OTHER GOOD (SPECIFY),SECURITY IN TOWNS AND VILLAGES,2008,ALMOST ALL
20404032,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2008,ALMOST ALL
20404032,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
20404032,WORSE OFF,OTHER BAD (SPECIFY),NO FOOD FOR WORK AND MASAF PROJECTS,2007,ALMOST ALL
20404032,BETTER OFF,OTHER GOOD (SPECIFY),REDUCTION OF FARM INPUTS,2009,ALMOST ALL
20404032,BETTER OFF,OTHER GOOD (SPECIFY),RAIN DISTRIBUTION IS GOOD FOR MAIZE,2007,ALMOST ALL
20404575,WORSE OFF,SHARP CHANGE IN PRICES,,2010,ALMOST ALL
20404575,WORSE OFF,OTHER BAD (SPECIFY),"LACKY OF PROPER MARKETS FOR G/NUTS,",2010,ALMOST ALL
20404575,BETTER OFF,OTHER BAD (SPECIFY),REDUCTIOM OF PRICESOF FERTILIZER,2009,ALMOST ALL
20405366,BETTER OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
20405366,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
20407398,WORSE OFF,SHARP CHANGE IN PRICES,,2007,ALMOST ALL
20407398,WORSE OFF,OTHER BAD (SPECIFY),PEOPLE HAVE NO SAY ON PRICE OF CROP,2009,ALMOST ALL
20407398,WORSE OFF,OTHER BAD (SPECIFY),LACKY OF PROPER MARKETS FOR CROPS,2008,ALMOST ALL
20407398,BETTER OFF,OTHER GOOD (SPECIFY),IMPROVEMENT OF SECURITY,2006,ALMOST ALL
20407398,BETTER OFF,OTHER GOOD (SPECIFY),REDUCTION OF FERTILIZER PRICES,2009,ALMOST ALL
20407481,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST NONE
20407481,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST NONE
20407481,BETTER OFF,OTHER GOOD (SPECIFY),GOOD RAINS WHICH MAKE PEOPLE TO HAV,2009,ALMOST NONE
20407481,BETTER OFF,OTHER GOOD (SPECIFY),REDUCTION OF CRIMMINAL CAES OF COMM,2009,ALMOST NONE
20507089,WORSE OFF,DROUGHT,,2008,1/4
20507089,WORSE OFF,CROP DISEASE/PESTS,,2008,1/4
20507089,WORSE OFF,LIVESTOCK DISEASE,,2008,1/4
20507089,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/2
20507089,BETTER OFF,NEW EMPLOYMENT OPPORTUNITIES,,2008,1/4
20507089,BETTER OFF,NEW SCHOOL,,2008,1/4
20507459,WORSE OFF,DROUGHT,,2008,1/4
20507459,WORSE OFF,CROP DISEASE/PESTS,,2007,1/4
20507459,WORSE OFF,LIVESTOCK DISEASE,,2004,1/4
20507459,BETTER OFF,NEW HEALTH FACILITY,,2005,ALMOST ALL
20507459,BETTER OFF,NEW SCHOOL,,2006,1/4
20507459,BETTER OFF,ON-GRID ELECTRICITY,,2007,1/4
20508349,WORSE OFF,DROUGHT,,2006,1/2
20508349,WORSE OFF,FLOOD,,2008,1/2
20508349,BETTER OFF,DEVELOPMENT PROJECT,,2009,1/4
20508349,BETTER OFF,NEW SCHOOL,,2006,1/4
20601141,WORSE OFF,CROP DISEASE/PESTS,,2005,ALMOST ALL
20601141,WORSE OFF,SHARP CHANGE IN PRICES,,2006,ALMOST ALL
20601141,WORSE OFF,OTHER BAD (SPECIFY),LACK OF EMPLOYMENT OPPORTUNITIES,2005,3/4
20601141,BETTER OFF,OTHER GOOD (SPECIFY),DIMBA CROPPING,2006,1/2
20601141,BETTER OFF,OTHER GOOD (SPECIFY),INTRODUCTION OF COUPON EXERCISE,2005,1/4
20601626,WORSE OFF,SHARP CHANGE IN PRICES,,2008,3/4
20601626,WORSE OFF,OTHER BAD (SPECIFY),LACK OF PROTECTED WATER,2008,3/4
20601626,BETTER OFF,NEW SCHOOL,,2007,1/2
20601626,BETTER OFF,OTHER GOOD (SPECIFY),FARMING,2006,3/4
20601626,BETTER OFF,OTHER GOOD (SPECIFY),SMALL SCALE BUSINESS,2007,3/4
20602363,WORSE OFF,OTHER BAD (SPECIFY),LOW PRICES OF FARM PRODUCE OFFERED,2007,3/4
20602363,WORSE OFF,OTHER BAD (SPECIFY),HUMAN EPIDEMIC DISEASES,2009,1/2
20602363,BETTER OFF,OTHER GOOD (SPECIFY),SMALL SCALE BUSINESS,2007,1/2
20603090,WORSE OFF,SHARP CHANGE IN PRICES,,2007,3/4
20603090,WORSE OFF,OTHER BAD (SPECIFY),THEFT OF LIVESTOCK,2008,3/4
20603090,WORSE OFF,OTHER BAD (SPECIFY),ERATIC RAINFALL,2010,3/4
20603090,BETTER OFF,OTHER GOOD (SPECIFY),NEW FARMING METHODS,2006,1/2
20603090,BETTER OFF,OTHER GOOD (SPECIFY),INTRODUCTION OF COUPON,2006,3/4
20603533,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2007,1/4
20603533,WORSE OFF,SHARP CHANGE IN PRICES,,2009,ALMOST ALL
20603533,WORSE OFF,OTHER BAD (SPECIFY),DOWNFALL OF BUSSINESSES,2007,1/4
20603533,BETTER OFF,OTHER GOOD (SPECIFY),FARMING METHODS(SASAKAWA),2009,1/2
20603533,BETTER OFF,OTHER GOOD (SPECIFY),INTRODUCTION OF COUPON FERTILISER,2009,1/4
20604638,WORSE OFF,DROUGHT,,2008,3/4
20604638,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2008,3/4
20604638,WORSE OFF,OTHER BAD (SPECIFY),ERATIC RAINFALL,2009,3/4
20604638,BETTER OFF,OTHER GOOD (SPECIFY),SASAKAWA METHOD OF FARMING,2006,1/2
20604638,BETTER OFF,OTHER GOOD (SPECIFY),INTRODUCTION OF COUPON,2006,1/2
20605302,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,1/4
20605302,WORSE OFF,OTHER BAD (SPECIFY),ERRATIC RAINFALL,2009,ALMOST ALL
20605302,BETTER OFF,OTHER GOOD (SPECIFY),SECURITY,2006,ALMOST ALL
20605302,BETTER OFF,OTHER GOOD (SPECIFY),INTRODUCTION OF COUPONS TO THE VULN,2006,1/2
20607260,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,3/4
20607260,WORSE OFF,SHARP CHANGE IN PRICES,,2008,1/4
20607260,WORSE OFF,LOSS OF KEY SOCIAL SERVICE (S),,2007,3/4
20607260,BETTER OFF,OTHER GOOD (SPECIFY),FARMING,2007,1/4
20607260,BETTER OFF,OTHER GOOD (SPECIFY),SMALL BUSINESS,2007,1/4
20607315,WORSE OFF,SHARP CHANGE IN PRICES,,2007,ALMOST ALL
20607315,BETTER OFF,OTHER BAD (SPECIFY),COUPON FERTILIZER,2008,1/4
20607315,WORSE OFF,OTHER BAD (SPECIFY),DISEASES HIV AIDS,2006,3/4
20607315,WORSE OFF,OTHER BAD (SPECIFY),MISUNDERSTANDING OF DEMOCRACY,2005,3/4
20607315,BETTER OFF,OTHER BAD (SPECIFY),INTRODUCTION OF CBO'S,2007,ALMOST NONE
20607315,BETTER OFF,MAREP,,2009,1/4
20610050,WORSE OFF,DROUGHT,,,
20610050,WORSE OFF,LIVESTOCK DISEASE,,2008,3/4
20610050,WORSE OFF,SHARP CHANGE IN PRICES,,2008,ALMOST ALL
20610050,BETTER OFF,OTHER GOOD (SPECIFY),GOOD TOBACCO PRICES,2008,3/4
20610050,BETTER OFF,OTHER GOOD (SPECIFY),DECREASE IN PRICES OF FERTILIZER,2009,ALMOST ALL
20610249,WORSE OFF,SHARP CHANGE IN PRICES,,2007,3/4
20610249,WORSE OFF,OTHER BAD (SPECIFY),LOW PRICES OF FARM PRODUCE OFFERED,2006,3/4
20610249,WORSE OFF,OTHER BAD (SPECIFY),LONG DISTANCE TO HEALTH CENTRE,2005,3/4
20610249,BETTER OFF,OTHER GOOD (SPECIFY),SMALL SCALE BUSINESSES,2006,3/4
20610249,BETTER OFF,OTHER GOOD (SPECIFY),FARMING,2006,3/4
20613324,WORSE OFF,HUMAN EPIDEMIC DISEASE,,2009,1/4
20613324,WORSE OFF,SHARP CHANGE IN PRICES,,2008,3/4
20613324,WORSE OFF,MASSIVE JOB LAY-OFFS,,2010,1/4
20613324,BETTER OFF,OTHER GOOD (SPECIFY),NEW METHODS OF FARMING,2006,3/4
20614477,WORSE OFF,SHARP CHANGE IN PRICES,,2006,3/4
20614477,WORSE OFF,OTHER BAD (SPECIFY),LACK OF LOAN OPPORTUNITIES,2006,3/4
