occ,y2_hhid,qx_type,interview_status,ag_nr00,ag_nr02,ag_nr03
2,0036-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0036-001,PANEL B,Panel B - 2 Visits,N03,LOCAL MARKET,WITHIN THE VILLAGE
4,0036-001,PANEL B,Panel B - 2 Visits,N04,VILLAGE HEADMAN,WITHIN THE VILLAGE
5,0036-001,PANEL B,Panel B - 2 Visits,N05,RELATIVE,WITHIN THE VILLAGE
6,0036-001,PANEL B,Panel B - 2 Visits,N06,LOCAL MARKET,NEAR THE DISTRICT/URBAN CENTER
7,0036-001,PANEL B,Panel B - 2 Visits,N07,PRIVATE TRADER IN LOCAL MARKET,NEAR THE VILLAGE
1,0037-001,PANEL A,Panel A - 2 Visits,N01,RELATIVE,WITHIN THE VILLAGE
2,0037-001,PANEL A,Panel A - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
3,0037-001,PANEL A,Panel A - 2 Visits,N03,AUCTION IN MAIN MARKET,OUTSIDE THE DISTRICT
4,0037-001,PANEL A,Panel A - 2 Visits,N04,LOCAL MARKET,WITHIN THE VILLAGE
5,0037-001,PANEL A,Panel A - 2 Visits,N05,ROADSIDE,WITHIN THE VILLAGE
1,0038-001,PANEL B,Panel B - 2 Visits,N01,AGRICULTURAL COOPERATIVE,NEAR THE DISTRICT/URBAN CENTER
2,0038-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
1,0040-001,PANEL B,Panel B - 2 Visits,N01,PRIVATE TRADER IN MAIN MARKET,WITHIN THE VILLAGE
2,0040-001,PANEL B,Panel B - 2 Visits,N02,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
3,0040-001,PANEL B,Panel B - 2 Visits,N03,MOBILE MARKET,WITHIN THE VILLAGE
1,0041-001,PANEL A,Panel A - 2 Visits,N01,AGRICULTURAL COOPERATIVE,NEAR THE TOWN
2,0041-001,PANEL A,Panel A - 2 Visits,N02,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
3,0041-001,PANEL A,Panel A - 2 Visits,N03,POLITICAL LEADER,NEAR THE VILLAGE
4,0041-001,PANEL A,Panel A - 2 Visits,N04,MOBILE MARKET,WITHIN THE VILLAGE
1,0042-001,PANEL B,Panel B - 2 Visits,N01,AGRICULTURAL COOPERATIVE,NEAR THE DISTRICT/URBAN CENTER
2,0042-001,PANEL B,Panel B - 2 Visits,N02,LOCAL MARKET,WITHIN THE VILLAGE
1,0043-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0043-001,PANEL A,Panel A - 2 Visits,N02,GOVERNMENT AGENCY,NEAR THE TOWN
3,0043-001,PANEL A,Panel A - 2 Visits,N03,LOCAL MARKET,WITHIN THE VILLAGE
4,0043-001,PANEL A,Panel A - 2 Visits,N04,MAIN FARM/PLOT,WITHIN THE VILLAGE
1,0044-001,PANEL B,Panel B - 2 Visits,N01,AGRICULTURAL COOPERATIVE,WITHIN THE VILLAGE
2,0044-001,PANEL B,Panel B - 2 Visits,N02,FARMER BASED CLUB/ASSOCIATION,WITHIN THE VILLAGE
3,0044-001,PANEL B,Panel B - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,OUTSIDE THE DISTRICT
1,0045-001,PANEL A,Panel A - 2 Visits,N01,VDC MEMBER,WITHIN THE VILLAGE
2,0045-001,PANEL A,Panel A - 2 Visits,N02,GOVERNMENT AGENCY,NEAR THE TOWN
3,0045-001,PANEL A,Panel A - 2 Visits,N03,ROADSIDE,NEAR THE VILLAGE
4,0045-001,PANEL A,Panel A - 2 Visits,N04,LOCAL MARKET,NEAR THE TOWN
1,0046-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0046-001,PANEL B,Panel B - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,0046-001,PANEL B,Panel B - 2 Visits,N03,FRIEND/NEIGHBOR,NEAR THE VILLAGE
4,0046-001,PANEL B,Panel B - 2 Visits,N04,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
5,0046-001,PANEL B,Panel B - 2 Visits,N05,LOCAL MARKET,WITHIN THE VILLAGE
1,0047-001,PANEL A,Panel A - 2 Visits,N01,ROADSIDE,WITHIN THE VILLAGE
2,0047-001,PANEL A,Panel A - 2 Visits,N02,MOBILE MARKET,NEAR THE VILLAGE
3,0047-001,PANEL A,Panel A - 2 Visits,N03,LOCAL MARKET,WITHIN THE VILLAGE
1,0048-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0048-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0048-001,PANEL B,Panel B - 2 Visits,N03,LOCAL MARKET,WITHIN THE VILLAGE
4,0048-001,PANEL B,Panel B - 2 Visits,N04,LOCAL MARKET,WITHIN THE VILLAGE
5,0048-001,PANEL B,Panel B - 2 Visits,N05,LOCAL MARKET,8
1,0049-001,PANEL A,Panel A - 2 Visits,N01,LOCAL MARKET,NEAR THE DISTRICT/URBAN CENTER
2,0049-001,PANEL A,Panel A - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE DISTRICT/URBAN CENTER
3,0049-001,PANEL A,Panel A - 2 Visits,N03,LOCAL MARKET,NEAR THE VILLAGE
1,0050-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0050-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0050-001,PANEL B,Panel B - 2 Visits,N03,LOCAL MARKET,NEAR THE DISTRICT/URBAN CENTER
1,0051-001,PANEL A,Panel A - 2 Visits,N01,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
2,0051-001,PANEL A,Panel A - 2 Visits,N02,MOBILE MARKET,WITHIN THE VILLAGE
3,0051-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE VETERINARY,NEAR THE VILLAGE
1,0052-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0052-001,PANEL B,Panel B - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,0052-001,PANEL B,Panel B - 2 Visits,N03,PARASTATAL ORGANIZATION,NEAR THE TOWN
4,0052-001,PANEL B,Panel B - 2 Visits,N04,RELATIVE,WITHIN THE VILLAGE
5,0052-001,PANEL B,Panel B - 2 Visits,N05,AUCTION IN MAIN MARKET,NEAR THE VILLAGE
1,0053-002,PANEL A,Panel A - 2 Visits,N01,AGRICULTURAL COOPERATIVE,NEAR THE DISTRICT/URBAN CENTER
1,0054-001,PANEL B,Panel B - 2 Visits,N01,RELATIVE,WITHIN THE VILLAGE
2,0054-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
3,0054-001,PANEL B,Panel B - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
4,0054-001,PANEL B,Panel B - 2 Visits,N04,VILLAGE OPEN FORUM,NEAR THE VILLAGE
5,0054-001,PANEL B,Panel B - 2 Visits,N05,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
6,0054-001,PANEL B,Panel B - 2 Visits,N06,ROADSIDE,WITHIN THE VILLAGE
7,0054-001,PANEL B,Panel B - 2 Visits,N07,LOCAL MARKET,WITHIN THE VILLAGE
1,0055-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0055-001,PANEL A,Panel A - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,0055-001,PANEL A,Panel A - 2 Visits,N03,MOBILE MARKET,WITHIN THE VILLAGE
1,0056-001,PANEL B,Panel B - 2 Visits,N01,GOVERNMENT AGENCY,WITHIN THE VILLAGE
2,0056-001,PANEL B,Panel B - 2 Visits,N02,MOBILE MARKET,WITHIN THE VILLAGE
1,0057-001,PANEL A,Panel A - 2 Visits,N01,AGRICULTURAL COOPERATIVE,NEAR THE TOWN
2,0057-001,PANEL A,Panel A - 2 Visits,N02,MOBILE MARKET,WITHIN THE VILLAGE
1,0058-001,PANEL B,Panel B - 2 Visits,N01,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
2,0058-001,PANEL B,Panel B - 2 Visits,N02,LOCAL MARKET,NEAR THE VILLAGE
3,0058-001,PANEL B,Panel B - 2 Visits,N03,AUCTION IN MAIN MARKET,NEAR THE VILLAGE
1,0059-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0059-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0059-001,PANEL A,Panel A - 2 Visits,N03,ROADSIDE,WITHIN THE VILLAGE
1,0060-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0060-001,PANEL B,Panel B - 2 Visits,N02,AGRICULTURAL COOPERATIVE,WITHIN THE VILLAGE
1,0061-001,PANEL A,Panel A - 2 Visits,N01,VDC MEMBER,NEAR THE VILLAGE
2,0061-001,PANEL A,Panel A - 2 Visits,N02,GOVERNMENT AGENCY,NEAR THE DISTRICT/URBAN CENTER
3,0061-001,PANEL A,Panel A - 2 Visits,N03,AGRICULTURAL COOPERATIVE,NEAR THE DISTRICT/URBAN CENTER
4,0061-001,PANEL A,Panel A - 2 Visits,N04,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,0062-002,PANEL B,Panel B - 2 Visits,N01,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
2,0062-002,PANEL B,Panel B - 2 Visits,N02,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
3,0062-002,PANEL B,Panel B - 2 Visits,N03,ROADSIDE,WITHIN THE VILLAGE
1,0063-001,PANEL A,Panel A - 2 Visits,N01,ROADSIDE,WITHIN THE VILLAGE
1,0064-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0064-001,PANEL B,Panel B - 2 Visits,N02,GOVERNMENT AGENCY,NEAR THE VILLAGE
3,0064-001,PANEL B,Panel B - 2 Visits,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
4,0064-001,PANEL B,Panel B - 2 Visits,N04,ROADSIDE,WITHIN THE VILLAGE
1,0065-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0065-001,PANEL A,Panel A - 2 Visits,N02,AGRICULTURAL COOPERATIVE,WITHIN THE VILLAGE
1,0066-001,PANEL B,Panel B - 2 Visits,N01,LOCAL MARKET,NEAR THE VILLAGE
2,0066-001,PANEL B,Panel B - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
1,0067-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0067-001,PANEL A,Panel A - 2 Visits,N02,AGRICULTURAL COOPERATIVE,WITHIN THE VILLAGE
3,0067-001,PANEL A,Panel A - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
1,0068-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0068-001,PANEL B,Panel B - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,0068-001,PANEL B,Panel B - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
1,0069-001,PANEL A,Panel A - 2 Visits,N01,OTHER (SPECIFY),WITHIN THE VILLAGE
1,0070-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0070-001,PANEL B,Panel B - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,0070-001,PANEL B,Panel B - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
1,0071-001,PANEL A,Panel A - 2 Visits,N01,AGRICULTURAL COOPERATIVE,NEAR THE TOWN
2,0071-001,PANEL A,Panel A - 2 Visits,N02,GOVERNMENT-FINANCED LENDER,NEAR THE VILLAGE
3,0071-001,PANEL A,Panel A - 2 Visits,N03,MOBILE MARKET,NEAR THE VILLAGE
1,0072-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0072-001,PANEL B,Panel B - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,0072-001,PANEL B,Panel B - 2 Visits,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
4,0072-001,PANEL B,Panel B - 2 Visits,N04,MOBILE MARKET,NEAR THE VILLAGE
1,0073-001,PANEL A,Panel A - 2 Visits,N01,LOCAL MARKET,NEAR THE VILLAGE
2,0073-001,PANEL A,Panel A - 2 Visits,N02,LOCAL MARKET,NEAR THE VILLAGE
1,0074-001,PANEL B,Panel B - 2 Visits,N01,LOCAL MARKET,NEAR THE VILLAGE
2,0074-001,PANEL B,Panel B - 2 Visits,N02,OTHER (SPECIFY),WITHIN THE VILLAGE
3,0074-001,PANEL B,Panel B - 2 Visits,N03,LOCAL MARKET,NEAR THE VILLAGE
4,0074-001,PANEL B,Panel B - 2 Visits,N04,LOCAL MARKET,WITHIN THE VILLAGE
1,0075-001,PANEL A,Panel A - 2 Visits,N01,LOCAL MARKET,WITHIN THE VILLAGE
2,0075-001,PANEL A,Panel A - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
1,0076-001,PANEL B,Panel B - 2 Visits,N01,RELATIVE,NEAR THE DISTRICT/URBAN CENTER
1,0077-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0077-001,PANEL A,Panel A - 2 Visits,N02,GOVERNMENT AGENCY,NEAR THE TOWN
3,0077-001,PANEL A,Panel A - 2 Visits,N03,LOCAL MARKET,WITHIN THE VILLAGE
1,0078-001,PANEL B,Panel B - 2 Visits,N01,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
2,0078-001,PANEL B,Panel B - 2 Visits,N02,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE TOWN
3,0078-001,PANEL B,Panel B - 2 Visits,N03,LOCAL MARKET,NEAR THE VILLAGE
1,0079-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0079-001,PANEL A,Panel A - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
1,0080-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0080-001,PANEL B,Panel B - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,0080-001,PANEL B,Panel B - 2 Visits,N03,MOBILE MARKET,WITHIN THE VILLAGE
1,0081-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE OPEN FORUM,NEAR THE VILLAGE
2,0081-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0081-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE COMPANY/BUSINESS PERSON,NEAR THE VILLAGE
