occ,ea_id,com_ch0b,com_ch01,com_ch02,com_ch03,com_ch04,com_ch05,com_ch06,com_ch07a,com_ch07b,com_ch07c,com_ch07d,com_ch07e,com_ch07f,com_ch07h,com_ch07i,com_ch08,com_ch09,com_ch09_1a,com_ch09_1b,com_ch09_1c,com_ch10,com_ch11,com_ch12,com_ch13a,com_ch13b,com_ch13c,com_ch14,com_ch15
3,10101215,BRIDGE: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
4,10101215,BRIDGE: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,10101215,PRIMARY SCHOOL: CONSTRUCTION,NO,YES,YES,NO,,,YES,YES,NO,YES,NO,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,CENTRAL GOVERNMENT,,,15000000,1500000,VOLUNTARY,YES,YES,NO,GROUP VILLAGE HEADMAN,
6,10101215,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,YES,YES,NO,,,YES,YES,NO,YES,NO,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,COMMUNITY FUNDRAISING,,,150000,100000,VOLUNTARY,YES,YES,NO,GROUP VILLAGE HEADMAN,
7,10101215,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,10101215,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,10101215,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
10,10101215,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
11,10101215,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
12,10101215,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
13,10101215,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,10101215,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,10101215,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,10101215,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,10101215,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,10101215,OTHER (SPECIFY),NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
1,10101562,ROAD: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
2,10101562,ROAD: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
3,10101562,BRIDGE: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
4,10101562,BRIDGE: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,10101562,PRIMARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
6,10101562,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
7,10101562,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,10101562,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,10101562,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
10,10101562,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
11,10101562,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,YES,YES,YES,NO,,,NO,NO,NO,NO,YES,NO,YES,NO,YES,NOT ADDRESSED; RESPONSE PENDING,,,,,,,,,,,
12,10101562,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
13,10101562,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,10101562,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,10101562,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,10101562,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,10101562,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,10101562,OTHER (SPECIFY),NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
1,10102004,ROAD: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
2,10102004,ROAD: MAINTENANCE,NO,YES,YES,NO,,,YES,YES,NO,YES,YES,YES,NO,NO,YES,ADDRESSED BEING ADRESSED,COMMUNITY FUNDRAISING,,,25000,20000,VOLUNTARY,YES,YES,NO,VILLAGE RESIDENTS,
3,10102004,BRIDGE: CONSTRUCTION,NO,YES,YES,YES,OTHER (SPECIFY),YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,ADDRESSED BEING ADRESSED,COMMUNITY FUNDRAISING,,,35000,20000,VOLUNTARY,YES,YES,NO,VILLAGE RESIDENTS,
4,10102004,BRIDGE: MAINTENANCE,NO,YES,YES,YES,OTHER (SPECIFY),YES,YES,YES,NO,YES,YES,YES,NO,NO,YES,ADDRESSED BEING ADRESSED,COMMUNITY FUNDRAISING,,,10000,8000,VOLUNTARY,YES,YES,NO,VILLAGE RESIDENTS,
5,10102004,PRIMARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
6,10102004,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,YES,YES,YES,NO,,,YES,YES,NO,NO,YES,YES,NO,NO,YES,ADDRESSED BEING ADRESSED,OTHER (SPECIFY),,,18000,50000,VOLUNTARY,YES,YES,NO,VILLAGE RESIDENTS,
7,10102004,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,10102004,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,YES,YES,YES,SCHOOL COMMITTEE,YES,YES,YES,NO,NO,NO,YES,NO,NO,YES,ADDRESSED BEING ADRESSED,OTHER (SPECIFY),,,200000,50000,VOLUNTARY,YES,YES,NO,VILLAGE RESIDENTS,
9,10102004,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
10,10102004,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
11,10102004,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
12,10102004,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
13,10102004,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,10102004,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,10102004,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,10102004,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,10102004,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,10102004,OTHER (SPECIFY),NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
1,10103414,ROAD: CONSTRUCTION,YES,YES,YES,YES,GROUP VILLAGE HEADMAN,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,ADDRESSED BEING ADRESSED,MASAF,,,1000000,12000,VOLUNTARY,YES,NO,NO,VILLAGE RESIDENTS,
2,10103414,ROAD: MAINTENANCE,YES,YES,YES,YES,VILLAGE HEADMAN,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,ADDRESSED BEING ADRESSED,MASAF,,,220000,0,,YES,NO,YES,VILLAGE RESIDENTS,
3,10103414,BRIDGE: CONSTRUCTION,YES,YES,YES,YES,VILLAGE HEADMAN,YES,YES,YES,NO,NO,YES,YES,NO,NO,YES,ADDRESSED BEING ADRESSED,MASAF,,,60000,20000,COMPULSARY,YES,YES,YES,VILLAGE ELDERS,
4,10103414,BRIDGE: MAINTENANCE,YES,YES,YES,YES,GROUP VILLAGE HEADMAN,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,MASAF,,,26000,26000,COMPULSARY,YES,YES,NO,VILLAGE ELDERS,
5,10103414,PRIMARY SCHOOL: CONSTRUCTION,YES,YES,YES,YES,GROUP VILLAGE HEADMAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,NO
6,10103414,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,YES,YES,YES,YES,GROUP VILLAGE HEADMAN,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,RELIGIOUS ORGANIZATION/INSTITUTION,,,25000000,0,,YES,NO,NO,GROUP VILLAGE HEADMAN,
7,10103414,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,10103414,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,10103414,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,YES,YES,YES,NO,,,NO,NO,NO,YES,NO,NO,YES,NO,YES,NOT ADDRESSED; ATTEMPTS FAILED,,,,,,,,,,,
10,10103414,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,NO,YES,NO,,,NO,NO,NO,YES,NO,NO,YES,NO,YES,NOT ADDRESSED; ATTEMPTS FAILED,,,,,,,,,,,
11,10103414,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,NO,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,
12,10103414,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,YES,YES,YES,YES,VILLAGE HEADMAN,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,MASAF,,,300000,0,,YES,YES,NO,VILLAGE RESIDENTS,
13,10103414,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,YES,YES,YES,YES,VILLAGE HEADMAN,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,MASAF,,,42000,10000,VOLUNTARY,,,,,
14,10103414,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,YES,YES,YES,YES,VILLAGE HEADMAN,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,PROMISED BUT NOT ADDRESSED,,,,,,,,,,,
15,10103414,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,10103414,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,YES,YES,YES,NO,,,NO,NO,NO,NO,YES,NO,NO,NO,YES,NOT ADDRESSED; RESPONSE PENDING,,,,,,,,,,,
17,10103414,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,10103414,OTHER (SPECIFY),NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
1,10104150,ROAD: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
2,10104150,ROAD: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
3,10104150,BRIDGE: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
4,10104150,BRIDGE: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,10104150,PRIMARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
6,10104150,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
7,10104150,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,10104150,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,10104150,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
10,10104150,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
11,10104150,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
12,10104150,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
13,10104150,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,10104150,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,10104150,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,10104150,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,10104150,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,10104150,OTHER (SPECIFY),NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
1,10201688,ROAD: CONSTRUCTION,YES,NO,YES,YES,VILLAGE HEADMAN,NO,YES,YES,YES,NO,YES,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,OTHER (SPECIFY),,,1500000,500000,COMPULSARY,YES,NO,NO,VILLAGE RESIDENTS,
2,10201688,ROAD: MAINTENANCE,YES,NO,YES,YES,VILLAGE HEADMAN,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,OTHER (SPECIFY),,,20000,20000,COMPULSARY,NO,YES,NO,VILLAGE RESIDENTS,
3,10201688,BRIDGE: CONSTRUCTION,YES,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
4,10201688,BRIDGE: MAINTENANCE,YES,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,10201688,PRIMARY SCHOOL: CONSTRUCTION,YES,NO,YES,YES,VILLAGE HEADMAN,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,NOT ADDRESSED; RESPONSE PENDING,,,,,,,,,,,
6,10201688,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
7,10201688,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,10201688,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,10201688,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
10,10201688,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,YES,NO,YES,YES,VILLAGE HEADMAN,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,OTHER (SPECIFY),DISTRICT/CITY ASSEMBLY,RELIGIOUS ORGANIZATION/INSTITUTION,2000000,60000,COMPULSARY,YES,YES,YES,VILLAGE RESIDENTS,
11,10201688,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,YES,NO,YES,YES,VILLAGE HEADMAN,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,ADDRESSED BEING ADRESSED,OTHER (SPECIFY),,,85000,85000,COMPULSARY,NO,YES,YES,VILLAGE RESIDENTS,
12,10201688,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,YES,NO,YES,YES,VILLAGE HEADMAN,NO,YES,YES,NO,NO,YES,NO,NO,NO,YES,NOT ADDRESSED; RESPONSE PENDING,,,,,,,,,,,
13,10201688,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,10201688,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,10201688,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,10201688,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,10201688,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,10201688,OTHER (SPECIFY),NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
1,10202514,ROAD: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
2,10202514,ROAD: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
3,10202514,BRIDGE: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
4,10202514,BRIDGE: MAINTENANCE,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
5,10202514,PRIMARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
6,10202514,PRIMARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
7,10202514,SECONDARY SCHOOL: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
8,10202514,SECONDARY SCHOOL: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
9,10202514,HEALTH CENTER/CLINIC/DISPENSARY: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
10,10202514,HEALTH CENTER/CLINIC/DISPENSARY: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
11,10202514,PIPED WATER/BOREHOLES/WELLS: CONSTRUCTION,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
12,10202514,PIPED WATER/BOREHOLES/WELLS: MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
13,10202514,ORPHANAGE: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
14,10202514,MAIZE MILL: CONSTRUCTION/ MAINTENANCE/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
15,10202514,PUBLIC TRANSPORTATION: INITIATION/IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
16,10202514,AGRICULTURAL/FISHERY/ LIVESTOCK EXTENSION SERVICES,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
17,10202514,LAW ENFORCEMENT: INITIATION/ IMPROVEMENT,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
18,10202514,OTHER (SPECIFY),NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,
1,10203176,ROAD: CONSTRUCTION,YES,YES,YES,YES,VILLAGE HEADMAN,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,PROMISED BUT NOT ADDRESSED,,,,,,,,,,,
