HHID,case_id,qx_type,visit,ea_id,ag_h0b,ag_h0b_os,ag_h01a,ag_h01b,ag_h01b_os,ag_h02,ag_h03,ag_h04,ag_h15,ag_h16a,ag_h16b,ag_h16b_os,ag_h17,ag_h17_os,ag_h18,ag_h19,ag_h20,ag_h21,ag_h22,ag_h23,ag_h24,ag_h25,ag_h26a,ag_h26b,ag_h26b_os,ag_h27,ag_h27_os,ag_h28,ag_h29,ag_h30,ag_h31,ag_h32,ag_h33,ag_h34,ag_h35,ag_h36a,ag_h36b,ag_h36b_os,ag_h37,ag_h38a,ag_h38b,ag_h38b_os,ag_h39a,ag_h39b,ag_h40,ag_h41,ag_h42a,ag_h42b,ag_h42b_os,ag_h43,ag_h43_os
41,101010160068,Panel A,1,10101016,BEANS,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,3,5 kg bag,,Improved variety is too expensive,
41,101010160068,Panel A,1,10101016,GROUNDNUT CG7,,50,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,50 kg bag,,Advice from fellow farmer,
41,101010160068,Panel A,1,10101016,MAIZE LOCAL,,15,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,5 kg bag,,Advice from fellow farmer,
61,101010160069,Panel A,1,10101016,SWEET POTATO,,90,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,90,Kilogram,,Preference for traditional variety,
61,101010160069,Panel A,1,10101016,SUNFLOWER,,2,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,2,Kilogram,,Improved variety is too expensive,
61,101010160069,Panel A,1,10101016,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",No,Yes,N02,10,Kilogram,,On Foot,,0,400,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
61,101010160069,Panel A,1,10101016,GROUNDNUT MANIPINTA,,20,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,20,Kilogram,,Preference for traditional variety,
51,101010160070,Panel A,1,10101016,MAIZE LOCAL,,15,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,15,Gram,,Preference for traditional variety,
51,101010160070,Panel A,1,10101016,MAIZE HYBRID,,12,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,7,Kilogram,,N03,,0,No,,,,Advice from fellow farmer,
51,101010160070,Panel A,1,10101016,GROUNDNUT CHALIMBANA,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Gram,,Preference for traditional variety,
57,101010160074,Panel A,1,10101016,GROUNDNUT CG7,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,10 kg bag,,Improved variety is too expensive,
57,101010160074,Panel A,1,10101016,SWEET POTATO,,40,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,40,Kilogram,,Advice from fellow farmer,
57,101010160074,Panel A,1,10101016,MAIZE HYBRID RECYCLED,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,5 kg bag,,Improved variety is too expensive,
57,101010160074,Panel A,1,10101016,TOBACCO BURLEY,,1,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,Gram,,Advice from fellow farmer,
57,101010160074,Panel A,1,10101016,MAIZE LOCAL,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,10 kg bag,,Improved variety is too expensive,
55,101010160086,Panel A,1,10101016,MAIZE HYBRID RECYCLED,,30,Kilogram,,"Yes, the figures matched",No,Yes,N03,5,Kilogram,,On Foot,,0,100,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,25,Kilogram,,Advice from fellow farmer,
55,101010160086,Panel A,1,10101016,PIGEONPEA(NANDOLO),,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,5,Kilogram,,N04,,0,No,,,,Advice from fellow farmer,
47,101010160096,Panel A,1,10101016,GROUND BEAN(NZAMA),,1,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,Kilogram,,Improved variety is too expensive,
47,101010160096,Panel A,1,10101016,GROUNDNUT CG7,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,5,Kilogram,,Improved variety is too expensive,
47,101010160096,Panel A,1,10101016,SWEET POTATO,,20,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,20,Kilogram,,Advice from fellow farmer,
47,101010160096,Panel A,1,10101016,MAIZE LOCAL,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Improved variety is too expensive,
47,101010160096,Panel A,1,10101016,SOYABEAN,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,5,Kilogram,,Improved variety is too expensive,
63,101010160143,Panel A,1,10101016,TOBACCO BURLEY,,2,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Gram,,N04,,0,No,,,,Advice from fellow farmer,
63,101010160143,Panel A,1,10101016,MAIZE LOCAL,,20,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,20,Kilogram,,Preference for traditional variety,
59,101010160159,Panel A,1,10101016,MAIZE LOCAL,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,5,Kilogram,,Preference for traditional variety,
59,101010160159,Panel A,1,10101016,GROUNDNUT CG7,,1,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,Kilogram,,Preference for traditional variety,
33,101010160180,Panel A,1,10101016,MAIZE HYBRID,,5,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advice from extension officer,
33,101010160180,Panel A,1,10101016,SWEET POTATO,,25,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,25,Kilogram,,N03,,0,No,,,,Advice from fellow farmer,
33,101010160180,Panel A,1,10101016,GROUNDNUT CG7,,2,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,2,Kilogram,,Advice from extension officer,
49,101010160207,Panel A,1,10101016,MAIZE LOCAL,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,5,Kilogram,,N01,,0,No,,,,Improved variety is too expensive,
49,101010160207,Panel A,1,10101016,GROUNDNUT MANIPINTA,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,10,Kilogram,,N01,,0,No,,,,Advice from fellow farmer,
49,101010160207,Panel A,1,10101016,GROUND BEAN(NZAMA),,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,5,Kilogram,,N02,,0,No,,,,Advice from fellow farmer,
53,101010160235,Panel A,1,10101016,TOBACCO FLUE CURED,,2,Gram,,"Yes, the figures matched",No,Yes,N02,2,Gram,,Bicycle Taxi,,70,200,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Preference for traditional variety,
53,101010160235,Panel A,1,10101016,MAIZE HYBRID RECYCLED,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,5,Kilogram,,Improved variety is too expensive,
43,101010160254,Panel A,1,10101016,SWEET POTATO,,90,Kilogram,,"Yes, the figures matched",No,Yes,N01,90,Kilogram,,On Foot,,0,2000,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Preference for traditional variety,
43,101010160254,Panel A,1,10101016,MAIZE HYBRID,,3,Kilogram,,"Yes, the figures matched",No,Yes,N01,3,Kilogram,,On Foot,,0,400,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
39,101010160265,Panel A,1,10101016,MAIZE LOCAL,,20,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,20,Kilogram,,Preference for traditional variety,
39,101010160265,Panel A,1,10101016,NKHWANI,,100,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,100,Gram,,N01,,0,No,,,,Preference for traditional variety,
40,101012040003,Panel B,1,10101204,MAIZE HYBRID RECYCLED,,8,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,8,Kilogram,,Improved variety is too expensive,
40,101012040003,Panel B,1,10101204,TOBACCO BURLEY,,1,Gram,,"Yes, the figures matched",No,Yes,N03,1,Gram,,On Foot,,0,250,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
62,101012040007,Panel B,1,10101204,MAIZE HYBRID,,5,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advice from input supplier,
42,101012040011,Panel B,1,10101204,MAIZE HYBRID,,5,Kilogram,,"Yes, the figures matched",No,Yes,N03,5,Kilogram,,Bicycle Taxi,,100,600,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
42,101012040011,Panel B,1,10101204,TOBACCO BURLEY,,1,Gram,,"Yes, the figures matched",No,Yes,N04,1,Gram,,Bicycle Taxi,,100,300,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
44,101012040020,Panel B,1,10101204,MAIZE HYBRID RECYCLED,,2,Kilogram,,"Yes, the figures matched",No,Yes,N02,2,Kilogram,,Truck / Bus / Minibus,,300,550,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
44,101012040020,Panel B,1,10101204,TOBACCO BURLEY,,1,Gram,,"Yes, the figures matched",No,Yes,N03,1,Gram,,Truck / Bus / Minibus,,300,200,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
38,101012040024,Panel B,1,10101204,TOBACCO BURLEY,,1,Gram,,"Yes, the figures matched",No,Yes,N02,1,Gram,,Own Bicycle or Oxcart,,0,200,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
38,101012040024,Panel B,1,10101204,MAIZE HYBRID,,4,Kilogram,,"Yes, the figures matched",No,Yes,N01,4,Kilogram,,Truck / Bus / Minibus,,600,1900,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
38,101012040024,Panel B,1,10101204,MAIZE LOCAL,,2,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,2,Kilogram,,Preference for traditional variety,
52,101012040028,Panel B,1,10101204,SOYABEAN,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,5 kg bag,,Advice from fellow farmer,
52,101012040028,Panel B,1,10101204,TOBACCO BURLEY,,1,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Gram,,N04,,0,No,,,,Advice from fellow farmer,
52,101012040028,Panel B,1,10101204,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seeds received through the voucher program,
50,101012040037,Panel B,1,10101204,GROUNDNUT CG7,,30,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,30,Kilogram,,Advice from fellow farmer,
50,101012040037,Panel B,1,10101204,BEANS,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,5 kg bag,,Advice from fellow farmer,
50,101012040037,Panel B,1,10101204,SOYABEAN,,2,Kilogram,,"Yes, the figures matched",No,Yes,N04,1,2 kg bag,,Bicycle Taxi,,0,250,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
50,101012040037,Panel B,1,10101204,TOBACCO BURLEY,,1,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,Gram,,Advice from fellow farmer,
50,101012040037,Panel B,1,10101204,MAIZE HYBRID,,5,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seeds received through the voucher program,
50,101012040037,Panel B,1,10101204,CMAIZE OMPOSITE/OPV,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,10 kg bag,,Advice from fellow farmer,
54,101012040041,Panel B,1,10101204,TOBACCO BURLEY,,1,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,Gram,,Advice from fellow farmer,
54,101012040041,Panel B,1,10101204,SOYABEAN,,3,Kilogram,,"Yes, the figures matched",No,Yes,N04,1,3 kg bag,,On Foot,,0,300,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
54,101012040041,Panel B,1,10101204,GROUNDNUT CG7,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Advice from fellow farmer,
54,101012040041,Panel B,1,10101204,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",No,Yes,N02,1,5 kg bag,,Bicycle Taxi,,0,1600,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
48,101012040045,Panel B,1,10101204,MAIZE HYBRID,,2,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seeds received through the voucher program,
48,101012040045,Panel B,1,10101204,TOBACCO BURLEY,,1,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,Gram,,Advice from fellow farmer,
48,101012040045,Panel B,1,10101204,CMAIZE OMPOSITE/OPV,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,10 kg bag,,Improved variety is too expensive,
48,101012040045,Panel B,1,10101204,GROUNDNUT CG7,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,10 kg bag,,Advice from fellow farmer,
36,101012040054,Panel B,1,10101204,MAIZE HYBRID,,12,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,10 kg bag,,N04,,0,No,,,,Advice from input supplier,
36,101012040054,Panel B,1,10101204,TOBACCO BURLEY,,1,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Gram,,N03,,0,No,,,,Advice from fellow farmer,
56,101012040058,Panel B,1,10101204,NKHWANI,,100,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,100,Gram,,N06,,0,No,,,,Preference for traditional variety,
56,101012040058,Panel B,1,10101204,TOBACCO BURLEY,,2,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Gram,,N06,,0,No,,,,Advice from fellow farmer,
56,101012040058,Panel B,1,10101204,MAIZE HYBRID,,9,Kilogram,,"Yes, the figures matched",No,Yes,N05,2,2 kg bag,,On Foot,,0,800,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from extension officer,
64,101012040062,Panel B,1,10101204,MAIZE HYBRID,,15,Kilogram,,"Yes, the figures matched",No,Yes,N03,10,Kilogram,,Truck / Bus / Minibus,,200,650,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
64,101012040062,Panel B,1,10101204,TOBACCO BURLEY,,2,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Gram,,N04,,0,No,,,,Advice from fellow farmer,
64,101012040062,Panel B,1,10101204,GROUNDNUT CHALIMBANA,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,5,Kilogram,,Preference for traditional variety,
64,101012040062,Panel B,1,10101204,NKHWANI,,50,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,50,Gram,,Preference for traditional variety,
34,101012040071,Panel B,1,10101204,GROUNDNUT CHALIMBANA,,15,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,15,Kilogram,,Preference for traditional variety,
34,101012040071,Panel B,1,10101204,MAIZE HYBRID,,10,Kilogram,,"Yes, the figures matched",No,Yes,N03,10,Kilogram,,On Foot,,0,3500,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
34,101012040071,Panel B,1,10101204,NKHWANI,,100,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,100,Gram,,N04,,0,No,,,,Advice from fellow farmer,
34,101012040071,Panel B,1,10101204,TOBACCO BURLEY,,2,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,2,Gram,,Preference for traditional variety,
58,101012040075,Panel B,1,10101204,BEANS,,1,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,1,Kilogram,,Preference for traditional variety,
58,101012040075,Panel B,1,10101204,MAIZE HYBRID RECYCLED,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Preference for traditional variety,
58,101012040075,Panel B,1,10101204,MAIZE HYBRID,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,5,Kilogram,,N03,,0,No,,,,Advice from fellow farmer,
58,101012040075,Panel B,1,10101204,TOBACCO BURLEY,,1,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,Gram,,N03,,0,No,,,,Advice from fellow farmer,
58,101012040075,Panel B,1,10101204,NKHWANI,,50,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,50,Gram,,N03,,0,No,,,,Advice from fellow farmer,
46,101012040079,Panel B,1,10101204,GROUNDNUT CHALIMBANA,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,5,Kilogram,,Preference for traditional variety,
46,101012040079,Panel B,1,10101204,MAIZE HYBRID,,15,Kilogram,,"Yes, the figures matched",No,Yes,N02,15,Kilogram,,On Foot,,0,1800,"Paid in full, with own-savings",,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,Advice from fellow farmer,
46,101012040079,Panel B,1,10101204,NKHWANI,,100,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,100,Gram,,N03,,0,No,,,,Preference for traditional variety,
60,101012040087,Panel B,1,10101204,NKHWANI,,50,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,50,Gram,,Preference for traditional variety,
60,101012040087,Panel B,1,10101204,MAIZE LOCAL,,8,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,8,Kilogram,,Preference for traditional variety,
21,101012150001,Panel A,1,10101215,SUNFLOWER,,2,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,2,Kilogram,,Preference for traditional variety,
21,101012150001,Panel A,1,10101215,GROUNDNUT CHALIMBANA,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Preference for traditional variety,
21,101012150001,Panel A,1,10101215,MAIZE LOCAL,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Preference for traditional variety,
21,101012150001,Panel A,1,10101215,MAIZE HYBRID,,5,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seeds received through the voucher program,
17,101012150004,Panel A,1,10101215,MAIZE LOCAL,,21,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,21,Kilogram,,N02,,0,No,,,,Preference for traditional variety,
17,101012150004,Panel A,1,10101215,SUNFLOWER,,500,Gram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,500,Gram,,N03,,0,No,,,,Preference for traditional variety,
17,101012150004,Panel A,1,10101215,PEA,,2,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,Kilogram,,N03,,0,No,,,,Preference for traditional variety,
11,101012150021,Panel A,1,10101215,MAIZE LOCAL,,10,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,10,Kilogram,,Preference for traditional variety,
11,101012150021,Panel A,1,10101215,BEANS,,5,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,5,Kilogram,,Preference for traditional variety,
5,101012150022,Panel A,1,10101215,MAIZE HYBRID,,5,Kilogram,,"Yes, the figures matched",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seeds received through the voucher program,
5,101012150022,Panel A,1,10101215,GROUNDNUT CHALIMBANA,,8,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,8,Kilogram,,Preference for traditional variety,
5,101012150022,Panel A,1,10101215,MAIZE LOCAL,,15,Kilogram,,"Yes, the figures matched",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Yes,15,Kilogram,,Preference for traditional variety,
