HHID,case_id,qx_type,visit,PID,id_code,ea_id,hh_c01,hh_c02,hh_c03,hh_c04,hh_c05a,hh_c05b,hh_c06,hh_c07a,hh_c07a_os,hh_c07b,hh_c07b_os,hh_c08,hh_c09,hh_c10,hh_c11,hh_c12,hh_c13,hh_c14,hh_c14_os,hh_c15,hh_c16,hh_c17,hh_c18,hh_c19a,hh_c19b,hh_c20,hh_c21,hh_c21_os,hh_c22a,hh_c22b,hh_c22c,hh_c22d,hh_c22e,hh_c22f,hh_c22g,hh_c22h,hh_c22i,hh_c22j
35,101010160060,Panel A,1,003507,7,10101016,7,,Another HH Member,4,No,No,Yes,,,,,std3,None,6,Yes,std2,Yes,,,,Church/ Mission School,Day scholar,Foot,5,Minute,No,,,0,0,200,500,0,0,0,0,0,700
35,101010160060,Panel A,1,003508,8,10101016,8,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,003509,9,10101016,9,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,003510,10,10101016,10,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,004101,1,10101016,1,,Self-reported,,Yes,Yes,Yes,,,,,form2,JCE,8,No,,No,No money for fees/ uniform,,1993,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,004102,2,10101016,2,,Another HH Member,1,Yes,Yes,Yes,,,,,std7,None,6,No,,No,,,2004,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,004103,3,10101016,3,,Another HH Member,1,Yes,Yes,Yes,,,,,std7,None,6,Yes,std6,Yes,,,,LEA/Gvt,Day scholar,Foot,12,Minute,No,,,0,0,200,500,0,50,0,0,0,750
41,101010160068,Panel A,1,004104,4,10101016,4,,Another HH Member,1,Yes,Yes,Yes,,,,,std5,None,6,Yes,std4,Yes,,,,LEA/Gvt,Day scholar,Foot,12,Minute,No,,,0,0,200,0,0,50,0,0,0,250
41,101010160068,Panel A,1,004105,5,10101016,5,,Another HH Member,1,Yes,Yes,Yes,,,,,std3,None,7,Yes,std2,Yes,,,,LEA/Gvt,Day scholar,Foot,12,Minute,No,,,0,0,200,0,0,50,0,0,0,250
41,101010160068,Panel A,1,004106,6,10101016,6,,Another HH Member,1,No,No,Yes,,,,,std1,None,6,No,,Yes,,,,LEA/Gvt,Day scholar,Foot,12,Minute,No,,,0,0,100,0,0,50,0,0,0,150
41,101010160068,Panel A,1,004107,7,10101016,7,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,004108,8,10101016,8,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,004109,9,10101016,9,,Another HH Member,1,Yes,Yes,Yes,,,,,std8,PSLC,7,Yes,std8,Yes,,,,LEA/Gvt,Day scholar,Foot,12,Minute,No,,,0,0,200,0,0,50,0,0,0,250
61,101010160069,Panel A,1,006101,1,10101016,1,,Self-reported,,Yes,Yes,Yes,,,,,std8,PSLC,12,No,,No,No money for fees/ uniform,,2003,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,005101,1,10101016,1,,Self-reported,,Yes,Yes,Yes,,,,,std8,None,8,No,,No,"Not interested, lazy",,1979,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,005102,2,10101016,2,,Another HH Member,1,No,No,Yes,,,,,std3,None,8,No,,No,No money for fees/ uniform,,1975,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,005103,3,10101016,3,,Another HH Member,1,Yes,Yes,Yes,,,,,form4,MSCE,7,Yes,form4,No,Acquired all education wanted,,2009,,,,,,,,,0,0,200,300,0,0,0,0,0,500
51,101010160070,Panel A,1,005104,4,10101016,4,,Another HH Member,1,No,No,Yes,,,,,std5,None,7,Yes,std4,Yes,,,,LEA/Gvt,Day scholar,Foot,15,Minute,No,,,0,0,250,300,0,0,0,0,0,550
51,101010160070,Panel A,1,005105,5,10101016,5,,Another HH Member,1,Yes,Yes,Yes,,,,,form2,PSLC,6,Yes,form1,Yes,,,,Gvt(Conventional),Boarder,,,,No,,,0,0,1250,2500,0,0,0,0,0,3750
51,101010160070,Panel A,1,005106,6,10101016,6,,Another HH Member,1,Yes,Yes,Yes,,,,,std7,None,6,Yes,std6,Yes,,,,LEA/Gvt,Day scholar,Foot,15,Minute,No,,,0,0,250,350,0,0,0,0,0,600
51,101010160070,Panel A,1,005107,7,10101016,7,,Another HH Member,1,Yes,Yes,Yes,,,,,std7,None,6,Yes,std6,Yes,,,,LEA/Gvt,Day scholar,Foot,15,Minute,No,,,0,0,300,300,0,0,0,0,0,600
51,101010160070,Panel A,1,005108,8,10101016,8,,Another HH Member,1,Yes,Yes,Yes,,,,,std5,None,6,Yes,std4,Yes,,,,LEA/Gvt,Day scholar,Foot,15,Minute,No,,,0,0,250,300,0,0,0,0,0,550
51,101010160070,Panel A,1,005109,9,10101016,9,,Another HH Member,1,No,No,Yes,,,,,std4,None,5,Yes,std3,Yes,,,,LEA/Gvt,Day scholar,Foot,15,Minute,No,,,0,0,200,300,0,0,0,0,0,500
51,101010160070,Panel A,1,005110,10,10101016,10,,Another HH Member,1,Yes,Yes,Yes,,,,,std8,None,6,Yes,std7,Yes,,,,LEA/Gvt,Day scholar,Foot,15,Minute,No,,,0,0,200,300,0,0,0,0,0,500
51,101010160070,Panel A,1,005111,11,10101016,11,,Another HH Member,1,No,No,Yes,,,,,std1,None,7,Yes,Nursery/Pre school,Yes,,,,LEA/Gvt,Day scholar,Foot,15,Minute,No,,,0,0,50,300,0,0,0,0,0,350
57,101010160074,Panel A,1,005701,1,10101016,1,,Self-reported,,Yes,Yes,Yes,,,,,form2,PSLC,10,No,,No,No money for fees/ uniform,,1976,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,005702,2,10101016,2,,Another HH Member,1,Yes,Yes,Yes,,,,,std6,None,8,No,,No,No money for fees/ uniform,,1978,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,005703,3,10101016,3,,Another HH Member,1,Yes,Yes,Yes,,,,,form2,JCE,6,Yes,form3,Yes,,,,Gvt(Conventional),Boarder,,,,No,,,0,0,1000,1500,22000,0,1000,0,2000,27500
57,101010160074,Panel A,1,005704,4,10101016,4,,Another HH Member,1,Yes,Yes,Yes,,,,,std7,None,6,Yes,std6,Yes,,,,LEA/Gvt,Day scholar,Foot,10,Minute,No,,,0,0,100,600,0,1500,0,0,0,1200
57,101010160074,Panel A,1,005705,5,10101016,5,,Another HH Member,1,Yes,Yes,Yes,,,,,std6,None,7,Yes,std5,Yes,,,,LEA/Gvt,Day scholar,Foot,10,Minute,No,,,0,0,100,400,0,0,0,0,0,500
57,101010160074,Panel A,1,005706,6,10101016,6,,Another HH Member,1,Yes,Yes,Yes,,,,,std5,None,6,Yes,std4,Yes,,,,LEA/Gvt,Day scholar,Foot,10,Minute,No,,,0,0,100,350,0,0,0,0,0,450
57,101010160074,Panel A,1,005707,7,10101016,7,,Another HH Member,1,Yes,Yes,Yes,,,,,std3,None,6,Yes,std3,Yes,,,,LEA/Gvt,Day scholar,Foot,10,Minute,No,,,0,0,0,200,0,0,0,0,0,200
57,101010160074,Panel A,1,005708,8,10101016,8,,Another HH Member,1,No,No,No,Still too young to attend school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,005709,9,10101016,9,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,005710,10,10101016,10,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,005501,1,10101016,1,,Self-reported,,Yes,Yes,Yes,,,,,form4,MSCE,6,No,,No,Acquired all education wanted,,1981,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,005502,2,10101016,2,,Self-reported,,Yes,Yes,Yes,,,,,std7,None,5,No,,No,No money for fees/ uniform,,1992,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,005503,3,10101016,3,,Another HH Member,1,Yes,Yes,Yes,,,,,form2,None,6,Yes,form1,Yes,,,,Gvt(Conventional),Boarder,,,,No,,,999999,999999,999999,999999,999999,999999,999999,999999,999999,5750
55,101010160086,Panel A,1,005504,4,10101016,4,,Another HH Member,1,Yes,Yes,Yes,,,,,form2,None,6,Yes,std7,Yes,,,,Gvt(Conventional),Boarder,,,,No,,,999999,999999,999999,999999,999999,999999,999999,999999,999999,4550
55,101010160086,Panel A,1,005505,5,10101016,5,,Another HH Member,1,Yes,Yes,Yes,,,,,std5,None,5,Yes,std4,Yes,,,,LEA/Gvt,Day scholar,Foot,5,Minute,No,,,999999,999999,999999,999999,999999,999999,999999,999999,999999,1000
55,101010160086,Panel A,1,005506,6,10101016,6,,Another HH Member,1,Yes,Yes,Yes,,,,,std8,None,5,Yes,std7,Yes,,,,LEA/Gvt,Day scholar,Foot,5,Minute,No,,,999999,999999,999999,999999,999999,999999,999999,999999,999999,1000
55,101010160086,Panel A,1,005507,7,10101016,7,,Another HH Member,1,No,No,Yes,,,,,std3,None,6,Yes,std2,Yes,,,,LEA/Gvt,Day scholar,Foot,5,Minute,No,,,999999,999999,999999,999999,999999,999999,999999,999999,999999,1000
55,101010160086,Panel A,1,005508,8,10101016,8,,Another HH Member,1,No,No,Yes,,,,,std2,None,6,Yes,std1,Yes,,,,LEA/Gvt,Day scholar,Foot,5,Minute,No,,,999999,999999,999999,999999,999999,999999,999999,999999,999999,1000
55,101010160086,Panel A,1,005509,9,10101016,9,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,005510,10,10101016,10,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,005511,11,10101016,11,,Another HH Member,1,Yes,Yes,Yes,,,,,std8,None,5,Yes,std7,Yes,,,,LEA/Gvt,Day scholar,Foot,5,Minute,No,,,999999,999999,999999,999999,999999,999999,999999,999999,999999,1000
47,101010160096,Panel A,1,004701,1,10101016,1,,Self-reported,,No,No,Yes,,,,,std3,None,8,No,,No,"Not interested, lazy",,1984,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,004702,2,10101016,2,,Another HH Member,1,Yes,Yes,Yes,,,,,std6,None,8,No,,No,"Not interested, lazy",,1985,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,004703,3,10101016,3,,Another HH Member,1,Yes,Yes,Yes,,,,,std5,None,7,Yes,std4,Yes,,,,LEA/Gvt,Day scholar,Foot,10,Minute,No,,,0,0,0,0,0,180,0,0,0,180
47,101010160096,Panel A,1,004704,4,10101016,4,,Another HH Member,1,Yes,Yes,Yes,,,,,std4,None,7,Yes,std3,Yes,,,,LEA/Gvt,Day scholar,Foot,10,Minute,No,,,0,0,0,0,0,180,0,0,0,180
47,101010160096,Panel A,1,004705,5,10101016,5,,Another HH Member,1,Yes,No,Yes,,,,,std1,None,7,Yes,std1,Yes,,,,LEA/Gvt,Day scholar,Foot,10,Minute,No,,,0,0,0,0,0,180,0,0,0,180
47,101010160096,Panel A,1,004706,6,10101016,6,,Another HH Member,1,No,No,Yes,,,,,std1,None,7,No,,Yes,,,,LEA/Gvt,Day scholar,Foot,10,Minute,No,,,0,0,0,0,0,80,0,0,0,80
47,101010160096,Panel A,1,004707,7,10101016,7,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,006301,1,10101016,1,,Self-reported,,Yes,Yes,Yes,,,,,form4,JCE,7,No,,No,No money for fees/ uniform,,1997,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,006302,2,10101016,2,,Self-reported,,No,No,Yes,,,,,std7,None,7,No,,No,"Not interested, lazy",,1995,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,006303,3,10101016,3,,Another HH Member,2,No,No,Yes,,,,,std2,None,6,Yes,std1,Yes,,,,LEA/Gvt,Day scholar,Foot,10,Minute,No,,,0,0,100,0,0,0,0,0,0,100
63,101010160143,Panel A,1,006304,4,10101016,4,,Another HH Member,2,No,No,No,Still too young to attend school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,006305,5,10101016,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,006306,6,10101016,6,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,005901,1,10101016,1,,Self-reported,,No,No,No,Not interested/lazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,101010160159,Panel A,1,005902,2,10101016,2,,Another HH Member,1,No,No,Yes,,,,,std1,None,7,Yes,std1,Yes,,,,LEA/Gvt,Day scholar,Foot,15,Minute,No,,,0,0,0,0,0,0,0,0,0,0
59,101010160159,Panel A,1,005903,3,10101016,3,,Another HH Member,1,No,No,No,Still too young to attend school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,003301,1,10101016,1,,Another HH Member,2,Yes,Yes,Yes,,,,,std8,None,8,No,,No,"Not interested, lazy",,2005,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,003302,2,10101016,2,,Self-reported,,No,No,Yes,,,,,std3,None,10,No,,No,School too far from home,,2004,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,003303,3,10101016,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,004901,1,10101016,1,,Self-reported,,Yes,Yes,Yes,,,,,form2,JCE,10,No,,No,No money for fees/ uniform,,1997,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,004902,2,10101016,2,,Another HH Member,1,Yes,Yes,Yes,,,,,form1,JCE,8,No,,No,No money for fees/ uniform,,1997,,,,,,,,,,,,,,,,,,
49,101010160207,Panel A,1,004903,3,10101016,3,,Another HH Member,1,Yes,Yes,Yes,,,,,std5,None,6,Yes,std4,Yes,,,,LEA/Gvt,Day scholar,Foot,30,Minute,No,,,0,0,200,700,0,100,0,0,0,1000
49,101010160207,Panel A,1,004904,4,10101016,4,,Another HH Member,1,No,No,Yes,,,,,std2,None,5,Yes,std2,Yes,,,,LEA/Gvt,Day scholar,Foot,30,Minute,No,,,0,0,200,0,0,100,0,0,0,300
49,101010160207,Panel A,1,004905,5,10101016,5,,Another HH Member,1,No,No,Yes,,,,,std1,None,5,No,,Yes,,,,LEA/Gvt,Day scholar,Foot,30,Minute,No,,,0,0,100,500,0,100,0,0,0,700
53,101010160235,Panel A,1,005301,1,10101016,1,,Self-reported,,Yes,No,Yes,,,,,std6,None,11,No,,No,Had to work or help at home,,1995,,,,,,,,,,,,,,,,,,
53,101010160235,Panel A,1,005302,2,10101016,2,,Another HH Member,1,Yes,No,Yes,,,,,std8,PSLC,8,No,,No,Married/became pregnant,,2000,,,,,,,,,,,,,,,,,,
53,101010160235,Panel A,1,005303,3,10101016,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,004301,1,10101016,1,,Self-reported,,Yes,No,Yes,,,,,std8,None,8,No,,No,Too old to continue,,2002,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,004302,2,10101016,2,,Another HH Member,1,No,No,Yes,,,,,std5,None,7,No,,No,"Not interested, lazy",,2003,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,004303,3,10101016,3,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,004304,4,10101016,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,101010160265,Panel A,1,003901,1,10101016,1,,Another HH Member,2,No,No,No,Parents didn't let me in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,101010160265,Panel A,1,003902,2,10101016,2,,Self-reported,,No,No,Yes,,,,,std4,None,13,No,,No,No money for fees/ uniform,,1938,,,,,,,,,,,,,,,,,,
40,101012040003,Panel B,2,004001,1,10101204,1,,Self-reported,,Yes,No,Yes,,,,,std4,None,8,No,,No,No money for fees/ uniform,,1993,,,,,,,,,,,,,,,,,,
40,101012040003,Panel B,2,004002,2,10101204,2,,Another HH Member,1,Yes,Yes,Yes,,,,,std7,None,8,No,,No,"Not interested, lazy",,1998,,,,,,,,,,,,,,,,,,
40,101012040003,Panel B,2,004003,3,10101204,3,,Another HH Member,1,Yes,No,Yes,,,,,std3,None,5,Yes,std3,Yes,,,,Church/ Mission School,Day scholar,Foot,30,Minute,No,,,0,0,0,400,0,0,0,0,0,400
40,101012040003,Panel B,2,004004,4,10101204,4,,Another HH Member,1,No,No,Yes,,,,,std2,None,6,Yes,std1,Yes,,,,Church/ Mission School,Day scholar,Foot,30,Minute,No,,,0,0,0,400,0,0,0,0,0,400
40,101012040003,Panel B,2,004005,5,10101204,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,101012040003,Panel B,2,004006,6,10101204,6,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,101012040007,Panel B,2,006201,1,10101204,1,,Another HH Member,2,No,No,No,No money for fees/uniform,,Not interested/lazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,101012040007,Panel B,2,006202,2,10101204,2,,Self-reported,,No,No,No,No money for fees/uniform,,Not interested/lazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,101012040011,Panel B,2,004201,1,10101204,1,,Another HH Member,2,Yes,Yes,Yes,,,,,form4,JCE,8,No,,No,No money for fees/ uniform,,1997,,,,,,,,,,,,,,,,,,
42,101012040011,Panel B,2,004202,2,10101204,2,,Self-reported,,Yes,Yes,Yes,,,,,form2,PSLC,6,No,,No,"Not interested, lazy",,1999,,,,,,,,,,,,,,,,,,
42,101012040011,Panel B,2,004203,3,10101204,3,,Another HH Member,2,No,No,Yes,,,,,std2,None,6,Yes,std1,Yes,,,,Church/ Mission School,Day scholar,Foot,15,Minute,No,,,0,0,40,400,0,0,0,0,0,440
42,101012040011,Panel B,2,004204,4,10101204,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,101012040020,Panel B,2,004401,1,10101204,1,,Self-reported,,Yes,Yes,Yes,,,,,form2,JCE,8,No,,No,No money for fees/ uniform,,1997,,,,,,,,,,,,,,,,,,
44,101012040020,Panel B,2,004402,2,10101204,2,,Another HH Member,1,Yes,Yes,Yes,,,,,form2,JCE,8,No,,No,No money for fees/ uniform,,1998,,,,,,,,,,,,,,,,,,
44,101012040020,Panel B,2,004403,3,10101204,3,,Another HH Member,1,Yes,No,Yes,,,,,std3,None,6,Yes,std2,Yes,,,,Church/ Mission School,Day scholar,Foot,15,Minute,No,,,0,0,280,0,0,0,0,0,0,280
44,101012040020,Panel B,2,004404,4,10101204,4,,Another HH Member,1,No,No,Yes,,,,,std2,None,6,Yes,std1,Yes,,,,Church/ Mission School,Day scholar,Foot,15,Minute,No,,,0,0,160,0,0,0,0,0,0,160
44,101012040020,Panel B,2,004405,5,10101204,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,101012040020,Panel B,2,004406,6,10101204,6,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,101012040020,Panel B,2,004407,7,10101204,7,,Another HH Member,1,No,No,Yes,,,,,std1,None,6,Yes,std1,Yes,,,,Church/ Mission School,Day scholar,Foot,15,Minute,No,,,0,0,120,0,0,0,0,0,0,120
38,101012040024,Panel B,2,003801,1,10101204,1,,Another HH Member,2,Yes,No,Yes,,,,,std8,None,8,No,,No,"Not interested, lazy",,1999,,,,,,,,,,,,,,,,,,
38,101012040024,Panel B,2,003802,2,10101204,2,,Self-reported,,No,No,Yes,,,,,std4,None,8,No,,No,Married/became pregnant,,2001,,,,,,,,,,,,,,,,,,
38,101012040024,Panel B,2,003803,3,10101204,3,,Another HH Member,2,No,No,Yes,,,,,std2,None,7,Yes,std1,Yes,,,,Church/ Mission School,Day scholar,Foot,10,Minute,No,,,0,0,200,500,0,0,0,0,0,700
38,101012040024,Panel B,2,003804,4,10101204,4,,Another HH Member,2,No,No,Yes,,,,,std1,None,6,Yes,Nursery/Pre school,Yes,,,,Church/ Mission School,Day scholar,Foot,10,Minute,No,,,0,0,100,0,0,0,0,0,0,100
38,101012040024,Panel B,2,003805,5,10101204,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,2,005201,1,10101204,1,,Self-reported,,Yes,Yes,Yes,,,,,form3,JCE,6,No,,No,No money for fees/ uniform,,1998,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,2,005202,2,10101204,2,,Another HH Member,1,Yes,Yes,Yes,,,,,form2,PSLC,6,No,,No,No money for fees/ uniform,,1995,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,2,005203,3,10101204,3,,Another HH Member,1,No,No,No,Still too young to attend school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,2,005204,4,10101204,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,2,005001,1,10101204,1,,Self-reported,,Yes,Yes,Yes,,,,,form2,PSLC,9,No,,No,Married/became pregnant,,1987,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,2,005002,2,10101204,2,,Another HH Member,1,Yes,Yes,Yes,,,,,std8,None,6,No,,No,Married/became pregnant,,1987,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,2,005003,3,10101204,3,,Another HH Member,1,Yes,Yes,Yes,,,,,std7,None,6,No,,No,"Not interested, lazy",,2003,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,2,005004,4,10101204,4,,Another HH Member,1,Yes,Yes,Yes,,,,,std6,None,6,Yes,std5,Yes,,,,Church/ Mission School,Day scholar,Foot,20,Minute,No,,,0,0,40,600,0,0,0,0,0,640
50,101012040037,Panel B,2,005005,5,10101204,5,,Another HH Member,1,No,No,Yes,,,,,std1,None,6,No,,Yes,,,,Church/ Mission School,Day scholar,Foot,20,Minute,No,,,0,0,20,400,0,0,0,0,0,420
50,101012040037,Panel B,2,005006,6,10101204,6,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,2,005007,7,10101204,7,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,2,005008,8,10101204,8,,Another HH Member,1,No,No,No,Still too young to attend school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,101012040041,Panel B,2,005401,1,10101204,1,,Self-reported,,Yes,Yes,Yes,,,,,form2,JCE,7,No,,No,No money for fees/ uniform,,1989,,,,,,,,,,,,,,,,,,
54,101012040041,Panel B,2,005402,2,10101204,2,,Another HH Member,1,Yes,Yes,Yes,,,,,std8,PSLC,6,No,,No,No money for fees/ uniform,,1989,,,,,,,,,,,,,,,,,,
54,101012040041,Panel B,2,005403,3,10101204,3,,Another HH Member,1,Yes,Yes,Yes,,,,,form4,JCE,6,Yes,form4,Yes,,,,Pvt/Non religious,Boarder,,,,No,,,18000,0,400,0,0,0,4500,0,0,22900
54,101012040041,Panel B,2,005404,4,10101204,4,,Another HH Member,1,Yes,Yes,Yes,,,,,std8,None,6,Yes,std7,Yes,,,,Church/ Mission School,Day scholar,Foot,17,Minute,No,,,0,0,100,0,0,80,0,0,0,180
54,101012040041,Panel B,2,005405,5,10101204,5,,Another HH Member,1,Yes,Yes,Yes,,,,,std6,None,5,Yes,std5,Yes,,,,Church/ Mission School,Day scholar,Foot,17,Minute,No,,,0,0,100,0,0,80,0,0,0,180
54,101012040041,Panel B,2,005406,6,10101204,6,,Another HH Member,1,No,No,Yes,,,,,std3,None,5,Yes,std2,Yes,,,,Church/ Mission School,Day scholar,Foot,17,Minute,No,,,0,0,50,0,0,80,0,0,0,130
54,101012040041,Panel B,2,005407,7,10101204,7,,Another HH Member,1,No,No,No,Still too young to attend school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
