occ,y2_hhid,qx_type,interview_status,fs_d15,fs_d16a,fs_d16b,fs_d17,fs_d18a,fs_d18b,fs_d18c,fs_d18d,fs_d19,fs_d20a,fs_d20b,fs_d21a,fs_d21b,fs_d22,fs_d23,fs_d24a,fs_d24b
1,2073-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,2103-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,
1,2189-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,2202-002,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,NO,,,
1,2231-004,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,2403-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,2433-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,2563-001,PANEL A,Panel A - 2 Visits,NO,,,NO,,,,,NO,,,0,0,NO,,,
1,2569-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,NO,,,,,NO,,,
1,2598-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,2603-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,2656-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,2703-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,2777-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,
1,2788-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,2812-003,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,,NO,,,
1,2835-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,
1,2984-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,3036-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,3074-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,NO,,,
1,3143-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
1,3155-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,NO,,,
