HHID,case_id,qx_type,visit,ea_id,ag_t0a,ag_t0a_os,ag_t01,ag_t02,ag_t02_os
40,101012040003,Panel B,2,10101204,New Seed Varieties,,YES,Village Agricultural Extension Meeting,
40,101012040003,Panel B,2,10101204,Marketing/Crop Sales,,NO,,
40,101012040003,Panel B,2,10101204,Growing/Selling Tobacco,,YES,Village Agricultural Extension Meeting,
40,101012040003,Panel B,2,10101204,Forestry,,NO,,
40,101012040003,Panel B,2,10101204,Access to Credit,,NO,,
40,101012040003,Panel B,2,10101204,Other Specify,,NO,,
40,101012040003,Panel B,2,10101204,Pit Planting,,NO,,
40,101012040003,Panel B,2,10101204,Irrigation,,NO,,
40,101012040003,Panel B,2,10101204,Fishery Production,,NO,,
40,101012040003,Panel B,2,10101204,Fertilizer Use,,NO,,
40,101012040003,Panel B,2,10101204,Pest Control,,NO,,
40,101012040003,Panel B,2,10101204,General Animal Care,,NO,,
62,101012040007,Panel B,2,10101204,Composting,,NO,,
62,101012040007,Panel B,2,10101204,Irrigation,,NO,,
62,101012040007,Panel B,2,10101204,New Seed Varieties,,NO,,
62,101012040007,Panel B,2,10101204,Access to Credit,,NO,,
62,101012040007,Panel B,2,10101204,Other Specify,,NO,,
62,101012040007,Panel B,2,10101204,General Animal Care,,NO,,
62,101012040007,Panel B,2,10101204,Pit Planting,,NO,,
62,101012040007,Panel B,2,10101204,Animal Diseases / Vaccination,,NO,,
62,101012040007,Panel B,2,10101204,Growing/Selling Tobacco,,NO,,
62,101012040007,Panel B,2,10101204,Forestry,,NO,,
62,101012040007,Panel B,2,10101204,Fishery Production,,NO,,
62,101012040007,Panel B,2,10101204,Fertilizer Use,,NO,,
62,101012040007,Panel B,2,10101204,Pest Control,,NO,,
62,101012040007,Panel B,2,10101204,Marketing/Crop Sales,,NO,,
42,101012040011,Panel B,2,10101204,Fertilizer Use,,YES,Village Agricultural Extension Meeting,
42,101012040011,Panel B,2,10101204,Other Specify,,NO,,
42,101012040011,Panel B,2,10101204,Access to Credit,,NO,,
42,101012040011,Panel B,2,10101204,Marketing/Crop Sales,,NO,,
42,101012040011,Panel B,2,10101204,Irrigation,,NO,,
42,101012040011,Panel B,2,10101204,Composting,,YES,Village Agricultural Extension Meeting,
42,101012040011,Panel B,2,10101204,Pest Control,,NO,,
42,101012040011,Panel B,2,10101204,Growing/Selling Tobacco,,NO,,
42,101012040011,Panel B,2,10101204,Fishery Production,,NO,,
42,101012040011,Panel B,2,10101204,Pit Planting,,NO,,
42,101012040011,Panel B,2,10101204,Animal Diseases / Vaccination,,NO,,
42,101012040011,Panel B,2,10101204,Forestry,,NO,,
42,101012040011,Panel B,2,10101204,New Seed Varieties,,YES,Village Agricultural Extension Meeting,
42,101012040011,Panel B,2,10101204,General Animal Care,,NO,,
44,101012040020,Panel B,2,10101204,Access to Credit,,NO,,
44,101012040020,Panel B,2,10101204,Growing/Selling Tobacco,,YES,Village Agricultural Extension Meeting,
44,101012040020,Panel B,2,10101204,Fertilizer Use,,NO,,
44,101012040020,Panel B,2,10101204,New Seed Varieties,,NO,,
44,101012040020,Panel B,2,10101204,Composting,,NO,,
44,101012040020,Panel B,2,10101204,Animal Diseases / Vaccination,,NO,,
44,101012040020,Panel B,2,10101204,Pest Control,,NO,,
44,101012040020,Panel B,2,10101204,Fishery Production,,NO,,
44,101012040020,Panel B,2,10101204,General Animal Care,,NO,,
44,101012040020,Panel B,2,10101204,Pit Planting,,NO,,
44,101012040020,Panel B,2,10101204,Forestry,,NO,,
44,101012040020,Panel B,2,10101204,Irrigation,,NO,,
44,101012040020,Panel B,2,10101204,Marketing/Crop Sales,,NO,,
44,101012040020,Panel B,2,10101204,Other Specify,,NO,,
38,101012040024,Panel B,2,10101204,Irrigation,,NO,,
38,101012040024,Panel B,2,10101204,Composting,,NO,,
38,101012040024,Panel B,2,10101204,Growing/Selling Tobacco,,YES,Village Agricultural Extension Meeting,
38,101012040024,Panel B,2,10101204,Forestry,,NO,,
38,101012040024,Panel B,2,10101204,Fertilizer Use,,YES,Village Agricultural Extension Meeting,
38,101012040024,Panel B,2,10101204,General Animal Care,,NO,,
38,101012040024,Panel B,2,10101204,Other Specify,,NO,,
38,101012040024,Panel B,2,10101204,Fishery Production,,NO,,
38,101012040024,Panel B,2,10101204,Pit Planting,,NO,,
38,101012040024,Panel B,2,10101204,Access to Credit,,NO,,
38,101012040024,Panel B,2,10101204,Marketing/Crop Sales,,NO,,
38,101012040024,Panel B,2,10101204,Animal Diseases / Vaccination,,NO,,
38,101012040024,Panel B,2,10101204,Pest Control,,NO,,
38,101012040024,Panel B,2,10101204,New Seed Varieties,,YES,Village Agricultural Extension Meeting,
52,101012040028,Panel B,2,10101204,Fertilizer Use,,YES,Gov. Agricultural Extension Service,
52,101012040028,Panel B,2,10101204,Other Specify,,NO,,
52,101012040028,Panel B,2,10101204,Fishery Production,,NO,,
52,101012040028,Panel B,2,10101204,General Animal Care,,YES,Gov. Agricultural Extension Service,
52,101012040028,Panel B,2,10101204,Growing/Selling Tobacco,,YES,,
52,101012040028,Panel B,2,10101204,Marketing/Crop Sales,,NO,,
52,101012040028,Panel B,2,10101204,Pit Planting,,YES,Gov. Agricultural Extension Service,
52,101012040028,Panel B,2,10101204,Access to Credit,,NO,,
52,101012040028,Panel B,2,10101204,Composting,,YES,Gov. Agricultural Extension Service,
52,101012040028,Panel B,2,10101204,Forestry,,NO,,
52,101012040028,Panel B,2,10101204,Pest Control,,YES,Gov. Agricultural Extension Service,
52,101012040028,Panel B,2,10101204,New Seed Varieties,,YES,Gov. Agricultural Extension Service,
52,101012040028,Panel B,2,10101204,Animal Diseases / Vaccination,,YES,Gov. Agricultural Extension Service,
52,101012040028,Panel B,2,10101204,Irrigation,,YES,Gov. Agricultural Extension Service,
50,101012040037,Panel B,2,10101204,Forestry,,NO,,
50,101012040037,Panel B,2,10101204,Fishery Production,,NO,,
50,101012040037,Panel B,2,10101204,Growing/Selling Tobacco,,YES,Village Agricultural Extension Meeting,
50,101012040037,Panel B,2,10101204,Fertilizer Use,,YES,Village Agricultural Extension Meeting,
50,101012040037,Panel B,2,10101204,Pest Control,,YES,Village Agricultural Extension Meeting,
50,101012040037,Panel B,2,10101204,Access to Credit,,NO,,
50,101012040037,Panel B,2,10101204,New Seed Varieties,,YES,Village Agricultural Extension Meeting,
50,101012040037,Panel B,2,10101204,Irrigation,,YES,Village Agricultural Extension Meeting,
50,101012040037,Panel B,2,10101204,Marketing/Crop Sales,,NO,,
50,101012040037,Panel B,2,10101204,Pit Planting,,YES,Village Agricultural Extension Meeting,
50,101012040037,Panel B,2,10101204,General Animal Care,,YES,Village Agricultural Extension Meeting,
50,101012040037,Panel B,2,10101204,Other Specify,,NO,,
50,101012040037,Panel B,2,10101204,Animal Diseases / Vaccination,,NO,,
50,101012040037,Panel B,2,10101204,Composting,,YES,Village Agricultural Extension Meeting,
54,101012040041,Panel B,2,10101204,General Animal Care,,YES,Gov. Agricultural Extension Service,
54,101012040041,Panel B,2,10101204,New Seed Varieties,,YES,Gov. Agricultural Extension Service,
54,101012040041,Panel B,2,10101204,Pest Control,,YES,Gov. Agricultural Extension Service,
54,101012040041,Panel B,2,10101204,Marketing/Crop Sales,,NO,,
54,101012040041,Panel B,2,10101204,Growing/Selling Tobacco,,YES,Gov. Agricultural Extension Service,
54,101012040041,Panel B,2,10101204,Fertilizer Use,,YES,Gov. Agricultural Extension Service,
54,101012040041,Panel B,2,10101204,Pit Planting,,YES,Gov. Agricultural Extension Service,
54,101012040041,Panel B,2,10101204,Fishery Production,,NO,,
54,101012040041,Panel B,2,10101204,Other Specify,,NO,,
54,101012040041,Panel B,2,10101204,Animal Diseases / Vaccination,,NO,,
54,101012040041,Panel B,2,10101204,Forestry,,YES,Gov. Agricultural Extension Service,
54,101012040041,Panel B,2,10101204,Irrigation,,YES,Gov. Agricultural Extension Service,
54,101012040041,Panel B,2,10101204,Access to Credit,,YES,Gov. Agricultural Extension Service,
54,101012040041,Panel B,2,10101204,Composting,,YES,Gov. Agricultural Extension Service,
48,101012040045,Panel B,2,10101204,New Seed Varieties,,YES,Gov. Agricultural Extension Service,
48,101012040045,Panel B,2,10101204,Fishery Production,,NO,,
48,101012040045,Panel B,2,10101204,Other Specify,,NO,,
48,101012040045,Panel B,2,10101204,Animal Diseases / Vaccination,,NO,,
48,101012040045,Panel B,2,10101204,Pest Control,,YES,Gov. Agricultural Extension Service,
48,101012040045,Panel B,2,10101204,Marketing/Crop Sales,,NO,,
48,101012040045,Panel B,2,10101204,Growing/Selling Tobacco,,YES,Gov. Agricultural Extension Service,
48,101012040045,Panel B,2,10101204,Access to Credit,,NO,,
48,101012040045,Panel B,2,10101204,General Animal Care,,NO,,
48,101012040045,Panel B,2,10101204,Forestry,,NO,,
48,101012040045,Panel B,2,10101204,Irrigation,,YES,Gov. Agricultural Extension Service,
48,101012040045,Panel B,2,10101204,Fertilizer Use,,YES,Gov. Agricultural Extension Service,
48,101012040045,Panel B,2,10101204,Pit Planting,,YES,Gov. Agricultural Extension Service,
48,101012040045,Panel B,2,10101204,Composting,,YES,Gov. Agricultural Extension Service,
36,101012040054,Panel B,2,10101204,Composting,,YES,Gov. Agricultural Extension Service,
36,101012040054,Panel B,2,10101204,Access to Credit,,NO,,
36,101012040054,Panel B,2,10101204,Growing/Selling Tobacco,,YES,Gov. Agricultural Extension Service,
36,101012040054,Panel B,2,10101204,Marketing/Crop Sales,,NO,,
36,101012040054,Panel B,2,10101204,Animal Diseases / Vaccination,,NO,,
36,101012040054,Panel B,2,10101204,Irrigation,,YES,Gov. Agricultural Extension Service,
36,101012040054,Panel B,2,10101204,General Animal Care,,NO,,
36,101012040054,Panel B,2,10101204,Pit Planting,,YES,Gov. Agricultural Extension Service,
36,101012040054,Panel B,2,10101204,Fertilizer Use,,YES,Gov. Agricultural Extension Service,
36,101012040054,Panel B,2,10101204,Pest Control,,YES,Gov. Agricultural Extension Service,
36,101012040054,Panel B,2,10101204,Other Specify,,NO,,
36,101012040054,Panel B,2,10101204,Forestry,,NO,,
36,101012040054,Panel B,2,10101204,New Seed Varieties,,YES,Gov. Agricultural Extension Service,
36,101012040054,Panel B,2,10101204,Fishery Production,,NO,,
56,101012040058,Panel B,2,10101204,Composting,,YES,Village Agricultural Extension Meeting,
56,101012040058,Panel B,2,10101204,Other Specify,,NO,,
56,101012040058,Panel B,2,10101204,New Seed Varieties,,YES,Village Agricultural Extension Meeting,
56,101012040058,Panel B,2,10101204,Fertilizer Use,,YES,Village Agricultural Extension Meeting,
56,101012040058,Panel B,2,10101204,Marketing/Crop Sales,,NO,,
56,101012040058,Panel B,2,10101204,Pest Control,,NO,,
56,101012040058,Panel B,2,10101204,Irrigation,,YES,Village Agricultural Extension Meeting,
56,101012040058,Panel B,2,10101204,Fishery Production,,NO,,
56,101012040058,Panel B,2,10101204,Forestry,,NO,,
56,101012040058,Panel B,2,10101204,General Animal Care,,NO,,
56,101012040058,Panel B,2,10101204,Access to Credit,,NO,,
56,101012040058,Panel B,2,10101204,Growing/Selling Tobacco,,NO,,
56,101012040058,Panel B,2,10101204,Pit Planting,,NO,,
56,101012040058,Panel B,2,10101204,Animal Diseases / Vaccination,,NO,,
64,101012040062,Panel B,2,10101204,Forestry,,NO,,
64,101012040062,Panel B,2,10101204,Fishery Production,,NO,,
64,101012040062,Panel B,2,10101204,Fertilizer Use,,NO,,
64,101012040062,Panel B,2,10101204,Pit Planting,,NO,,
64,101012040062,Panel B,2,10101204,Other Specify,,NO,,
64,101012040062,Panel B,2,10101204,Growing/Selling Tobacco,,NO,,
64,101012040062,Panel B,2,10101204,Composting,,YES,Gov. Agricultural Extension Service,
64,101012040062,Panel B,2,10101204,Irrigation,,YES,Gov. Agricultural Extension Service,
64,101012040062,Panel B,2,10101204,General Animal Care,,NO,,
64,101012040062,Panel B,2,10101204,New Seed Varieties,,YES,Gov. Agricultural Extension Service,
64,101012040062,Panel B,2,10101204,Pest Control,,NO,,
64,101012040062,Panel B,2,10101204,Marketing/Crop Sales,,NO,,
64,101012040062,Panel B,2,10101204,Animal Diseases / Vaccination,,NO,,
64,101012040062,Panel B,2,10101204,Access to Credit,,NO,,
34,101012040071,Panel B,2,10101204,Fishery Production,,NO,,
