HHID,case_id,qx_type,visit,ea_id,ag_d00,ag_d01,ag_d02,ag_d03,ag_d03_os,ag_d04a,ag_d04b,ag_d05,ag_d06,ag_d10a,ag_d10b,ag_d10c,ag_d10c_os,ag_d10d,ag_d11a,ag_d11b,ag_d11c,ag_d11d,ag_d12,ag_d12_os,ag_d13a,ag_d13b,ag_d14,ag_d14_os,ag_d18a,ag_d18b,ag_d18c,ag_d18c_os,ag_d18d,ag_d19a,ag_d19b,ag_d19c,ag_d19d,ag_d20a,ag_d20b,ag_d20c,ag_d20d,ag_d20e,ag_d21,ag_d21_os,ag_d22,ag_d23,ag_d24a,ag_d24a_os,ag_d24b,ag_d24b_os,ag_d25a,ag_d25a_os,ag_d25b,ag_d25b_os,ag_d26,ag_d27,ag_d28a,ag_d28a_os,ag_d28b,ag_d28b_os,ag_d29,ag_d29_os,ag_d30,ag_d30_os,ag_d31,ag_d32,ag_d33,ag_d34a,ag_d34a_os,ag_d34b,ag_d34b_os,ag_d35,ag_d36,ag_d37a,ag_d37b,ag_d37b_os,ag_d38,ag_d39a,ag_d39a_os,ag_d39b,ag_d39c,ag_d39c_os,ag_d39d,ag_d39e,ag_d39f,ag_d39f_os,ag_d39g,ag_d39h,ag_d39h_os,ag_d39i,ag_d39j,ag_d40,ag_d41a,ag_d41a_os,ag_d41b,ag_d41c,ag_d41c_os,ag_d41d,ag_d41d_os,ag_d41e,ag_d41f,ag_d41f_os,ag_d42a,ag_d42b,ag_d42c,ag_d42d,ag_d42e,ag_d42f,ag_d42g,ag_d42h,ag_d42i,ag_d42j,ag_d42k,ag_d42l,ag_d42m,ag_d42n,ag_d42o,ag_d42p,ag_d43a,ag_d43b,ag_d43c,ag_d43d,ag_d43e,ag_d43f,ag_d43g,ag_d43h,ag_d43i,ag_d43j,ag_d43k,ag_d43l,ag_d43m,ag_d43n,ag_d43o,ag_d43p,ag_d44a,ag_d44b,ag_d44c,ag_d44d,ag_d44e,ag_d44f,ag_d44g,ag_d44h,ag_d44i,ag_d44j,ag_d44k,ag_d44l,ag_d44m,ag_d44n,ag_d44o,ag_d44p,ag_d47a,ag_d47b,ag_d47c,ag_d47d,ag_d47e,ag_d47f,ag_d47g,ag_d47h,ag_d47i,ag_d47i_os,ag_d47j,ag_d48a,ag_d48b,ag_d48c,ag_d48d,ag_d48e,ag_d48f,ag_d48g,ag_d48h,ag_d48i,ag_d48i_os,ag_d48j,ag_d49,ag_d52a,ag_d52b,ag_d52c,ag_d53a,ag_d53b,ag_d53c,ag_d54a,ag_d54b,ag_d54c,ag_d55a,ag_d55b,ag_d55c
41,101010160068,Panel A,1,10101016,R2,1,2,Granted by local leaders,,,,40000,3500,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,MAIZE LOCAL,,,,,Between sandy & clay,,Fair,Low,Flooding,,,,No erosion control,,,,Flat,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,Yes,23:21:0+4S/CHITOWE,,1,50 KG BAG,,50,1,UREA,,1,50 KG BAG,,50,2,No,,,,,,,,,,,1,1,3,3,2,1,2,3,,,,,,,,,2,3,2,3,3,2,3,4,7,2,3,4,,,,,1,1,4,4,2,1,4,4,,,,,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,2,0,N01,N02,,0,0,0,,,
41,101010160068,Panel A,1,10101016,R5,1,2,Granted by local leaders,,,,15000,1400,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,GROUND BEAN(NZAMA),,,,,Sandy,,Poor,Low,Flooding,,,,No erosion control,,,,Flat,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,1,1,1,2,9,1,1,2,,,,,,,,,1,2,1,2,,,,,,,,,,,,,1,1,4,3,2,1,4,3,,,,,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
61,101010160069,Panel A,1,10101016,R3,1,1,Granted by local leaders,,,,4000,300,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,SWEET POTATO,,,,,Sandy,,Poor,No Erosion,,,,,Erosion control bunds,,,,Flat,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,1,1,2,3,,,,,,,,,,,,,1,1,2,2,,,,,,,,,,,,,1,4,4,2,,,,,,,,,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
61,101010160069,Panel A,1,10101016,R1,1,1,Granted by local leaders,,,,5000,900,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,MAIZE HYBRID,,,,,Sandy,,Poor,No Erosion,,,,,Erosion control bunds,,,,Flat,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,Yes,23:21:0+4S/CHITOWE,,10,KILOGRAM,,10,1,,,,,,,,No,,,,,,,,,,,1,1,2,3,,,,,,,,,,,,,1,1,2,3,,,,,,,,,,,,,1,2,6,4,,,,,,,,,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
61,101010160069,Panel A,1,10101016,R4,1,1,Granted by local leaders,,,,4500,600,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,SUNFLOWER,,,,,Sandy,,Poor,No Erosion,,,,,Erosion control bunds,,,,Flat,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,1,1,1,4,,,,,,,,,,,,,1,1,1,3,,,,,,,,,,,,,1,1,3,3,,,,,,,,,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
61,101010160069,Panel A,1,10101016,R2,1,1,Granted by local leaders,,,,9000,1500,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,GROUNDNUT MANIPINTA,,,,,Sandy,,Poor,No Erosion,,,,,Erosion control bunds,,,,Flat,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,1,1,6,3,,,,,,,,,,,,,1,1,6,3,,,,,,,,,,,,,1,3,6,4,,,,,,,,,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
51,101010160070,Panel A,1,10101016,R3,2,2,Inherited,,1,,25000,1000,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,GROUNDNUT CHALIMBANA,,,,,Clay,,Good,Low,Terrain,,Animals,,No erosion control,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,1,2,4,3,2,2,6,7,3,2,6,5,5,1,6,2,1,3,4,2,2,3,6,6,3,2,5,3,10,1,6,3,1,1,2,5,2,1,5,5,3,1,5,5,4,1,5,3,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
51,101010160070,Panel A,1,10101016,R1,1,2,Inherited,,1,,40000,2000,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,MAIZE LOCAL,,,,,Between sandy & clay,,Fair,Low,Terrain,,,,No erosion control,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,Yes,7,Wheelbarrow,,Yes,23:21:0+4S/CHITOWE,,200,KILOGRAM,,200,2,,,,,,,,No,,,,,,,,,,,1,3,4,8,2,3,6,8,3,2,6,7,5,1,6,5,1,2,4,2,2,3,6,9,3,2,5,7,10,1,6,3,1,2,4,4,2,2,3,4,3,2,3,5,4,1,3,5,5,200,0,,0,,,0,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
51,101010160070,Panel A,1,10101016,R2,1,2,Inherited,,1,,40000,2000,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,MAIZE HYBRID,,,,,Clay,,Good,Low,Terrain,,Animals,,No erosion control,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,Yes,23:21:0+4S/CHITOWE,,200,KILOGRAM,,200,2,,,,,,,,No,,,,,,,,,,,1,3,4,5,2,3,6,7,3,2,6,7,5,1,6,5,1,2,4,2,2,3,6,8,3,2,4,5,10,1,6,3,1,1,5,5,2,1,4,6,3,1,4,5,4,1,4,3,2,200,0,,0,,,0,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
57,101010160074,Panel A,1,10101016,R4,1,2,Granted by local leaders,,,,30000,2500,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,SWEET POTATO,,,,,Sandy,,Poor,Low,Flooding,,,,Drainage ditches,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,1,1,2,3,4,1,2,3,5,1,1,2,6,1,1,2,1,1,2,2,4,1,3,2,5,1,3,2,6,1,3,2,1,1,3,1,,,,,,,,,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,2,0,N01,,,0,0,0,,,
57,101010160074,Panel A,1,10101016,R3,1,2,Granted by local leaders,,,,60000,4000,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,GROUNDNUT CG7,,,,,Sandy,,Poor,Low,Flooding,,,,Drainage ditches,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,1,1,2,2,2,1,2,2,5,2,1,2,6,1,2,2,1,2,3,3,3,3,3,3,5,3,2,3,6,1,2,4,2,1,4,2,4,1,4,2,5,1,4,1,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
57,101010160074,Panel A,1,10101016,R2,1,2,Granted by local leaders,,,,65000,5000,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,MAIZE HYBRID RECYCLED,,,,,Sandy,,Poor,Low,Flooding,,,,Drainage ditches,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,2,1,4,4,3,1,4,4,4,1,4,4,5,1,2,2,1,2,4,3,3,1,2,2,5,1,2,2,6,3,2,4,2,1,3,3,4,1,3,3,,,,,,,,,0,,0,,3,500,,0,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
57,101010160074,Panel A,1,10101016,R1,1,2,Granted by local leaders,,,,65000,5000,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,MAIZE LOCAL,,,,,Sandy,,Poor,Low,Flooding,,,,Drainage ditches,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,Yes,23:21:0+4S/CHITOWE,,1,50 KG BAG,,50,12,UREA,,1,50 KG BAG,,50,1,No,,,,,,,,,,,1,1,4,6,2,1,4,6,4,1,4,6,5,1,2,3,1,2,4,3,2,2,3,2,5,2,2,4,6,3,1,2,2,1,1,2,4,1,1,2,5,1,1,2,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
57,101010160074,Panel A,1,10101016,R5,1,2,Granted by local leaders,,,,30000,2500,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,TOBACCO BURLEY,,,,,Sandy,,Poor,Low,Flooding,,,,Drainage ditches,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,1,1,1,4,4,1,1,4,5,1,1,4,6,1,1,4,1,3,5,6,4,1,1,4,5,1,1,4,6,1,1,4,1,12,2,3,2,12,2,2,5,1,2,1,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
55,101010160086,Panel A,1,10101016,R1,1,1,Borrowed for free,,,,,,,,,,,,,,,,,N1,,,,,,,,,,,,,MAIZE HYBRID RECYCLED,NKHWANI,,,,Between sandy & clay,,Fair,Low,Terrain,,,,No erosion control,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,Yes,23:21:0+4S/CHITOWE,,100,KILOGRAM,,100,1,,,,,,,,No,,,,,,,,,,,1,2,6,4,2,2,6,6,3,1,3,2,4,1,3,2,1,2,6,3,2,2,6,6,11,2,2,3,,,,,1,1,3,5,2,1,6,7,5,1,6,3,6,1,6,3,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
55,101010160086,Panel A,1,10101016,R3,1,1,Borrowed for free,,,,,,,,,,,,,,,,,N1,,,,,,,,,,,,,MAIZE HYBRID RECYCLED,,,,,Between sandy & clay,,Fair,Low,Terrain,,,,No erosion control,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,Yes,23:21:0+4S/CHITOWE,,100,KILOGRAM,,100,1,UREA,,50,KILOGRAM,,50,2,No,,,,,,,,,,,1,2,6,4,2,2,6,7,3,1,2,1,4,1,3,2,1,3,6,2,2,3,6,9,11,3,4,2,,,,,1,1,3,5,2,1,6,7,5,1,6,3,6,1,6,3,1,200,0,,0,,,0,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
55,101010160086,Panel A,1,10101016,R2,1,1,Borrowed for free,,,,,,,,,,,,,,,,,N1,,,,,,,,,,,,,PIGEONPEA(NANDOLO),SOYABEAN,,,,Between sandy & clay,,Fair,Low,Terrain,,,,No erosion control,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,1,1,2,3,2,1,3,4,,,,,,,,,1,1,1,2,2,1,3,3,11,1,1,1,,,,,2,1,5,4,2,1,2,3,,,,,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
47,101010160096,Panel A,1,10101016,R3,1,1,Inherited,,1,,20000,2000,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,SOYABEAN,,,,,Sandy,,Poor,Low,Flooding,,,,No erosion control,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,1,1,2,1,2,1,2,1,4,1,1,1,,,,,1,2,2,2,2,2,2,2,4,1,2,1,,,,,2,1,1,1,,,,,,,,,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
47,101010160096,Panel A,1,10101016,R5,1,1,Inherited,,1,,20000,2000,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,SWEET POTATO,,,,,Sandy,,Poor,Low,Flooding,,,,No erosion control,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,1,1,2,2,2,1,1,1,4,1,1,1,,,,,1,1,1,3,,,,,,,,,,,,,2,1,3,1,3,1,3,1,,,,,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
47,101010160096,Panel A,1,10101016,R2,1,1,Inherited,,1,,20000,2000,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,GROUNDNUT CG7,,,,,Sandy,,Poor,Low,Flooding,,,,No erosion control,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,1,1,1,1,2,1,1,1,3,1,1,1,,,,,1,2,2,2,2,2,1,3,3,1,1,1,,,,,1,1,1,3,2,1,1,3,3,1,1,1,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
47,101010160096,Panel A,1,10101016,R1,1,1,Inherited,,1,,20000,2000,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,MAIZE LOCAL,,,,,Sandy,,Poor,Low,Flooding,,,,No erosion control,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,1,1,2,2,2,1,2,2,3,1,1,2,,,,,1,2,2,3,2,2,2,3,3,1,2,2,,,,,2,1,3,2,3,1,3,2,,,,,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
47,101010160096,Panel A,1,10101016,R4,1,1,Inherited,,1,,20000,2000,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,GROUND BEAN(NZAMA),,,,,Sandy,,Poor,Low,Flooding,,,,No erosion control,,,,Slight slope,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,No,,,,,,,,,,,,,,,No,,,,,,,,,,,1,1,2,1,2,1,1,1,4,1,1,1,,,,,1,2,1,2,2,1,2,1,,,,,,,,,2,1,1,1,,,,,,,,,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
63,101010160143,Panel A,1,10101016,R2,1,2,Inherited,,1,,40000,500,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,TOBACCO BURLEY,,,,,Between sandy & clay,,Fair,No Erosion,,,,,No erosion control,,,,Flat,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,Yes,23:21:0+4S/CHITOWE,,80,KILOGRAM,,80,1,,,,,,,,No,,,,,,,,,,,1,2,6,10,2,2,6,8,,,,,,,,,1,1,6,8,2,1,6,8,,,,,,,,,1,4,6,3,2,4,6,3,,,,,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
63,101010160143,Panel A,1,10101016,R1,1,2,Inherited,,1,,30000,500,,,,,,,,,,,,,,Cultivated,,,,,,,,,,,MAIZE LOCAL,,,,,Between sandy & clay,,Fair,No Erosion,,,,,No erosion control,,,,Flat,No,Rainfed/No irrigation,,,,,,,,No,Never,,,,,,Yes,No,,,,Yes,23:21:0+4S/CHITOWE,,50,KILOGRAM,,50,1,,,,,,,,No,,,,,,,,,,,1,2,6,10,2,2,6,8,,,,,,,,,1,1,6,9,2,1,6,10,,,,,,,,,1,2,3,6,2,2,5,3,,,,,,,,,0,,0,,0,,,,,,,0,,0,,0,,,,,,,2,0,0,0,,,,0,0,0,,,
