occ,y2_hhid,qx_type,interview_status,ag_g0a,ag_g00,ag_g0b,ag_g0e,ag_g01,ag_g02,ag_g03,ag_g04a,ag_g04b,ag_g05a,ag_g05b,ag_g07,ag_g08a,ag_g08b,ag_g08c,ag_g09a,ag_g09b,ag_g09c,ag_g10,ag_g11a,ag_g11b,ag_g13a,ag_g13b,ag_g13c,ag_g12a,ag_g12b,ag_g14a,ag_g14b
1,0006-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,2,MIXED STAND,YES,,20,KILOGRAM,DECEMBER,2012,YES,,,,55,PAIL (LARGE),SHELLED,NO,,,55,PAIL (LARGE),SHELLED,JUNE,JULY,1,2
2,0006-001,PANEL B,Panel B - 2 Visits,YES,R01,GROUNDNUT MANIPINTA,2,MIXED STAND,NO,1/2,2,KILOGRAM,DECEMBER,2012,YES,,,,2,PAIL (LARGE),UNSHELLED,NO,,,2,PAIL (LARGE),UNSHELLED,JUNE,JULY,1,2
1,0006-003,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID RECYCLED,1,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2012,YES,,,,20,PAIL (LARGE),SHELLED,NO,,,20,PAIL (LARGE),SHELLED,JUNE,JULY,1,2
2,0006-003,PANEL B,Panel B - 2 Visits,YES,R01,GROUNDNUT MANIPINTA,1,MIXED STAND,NO,3/4,5,KILOGRAM,DECEMBER,2012,YES,,,,15,PAIL (LARGE),UNSHELLED,NO,,,45,PAIL (LARGE),UNSHELLED,JUNE,JULY,1,2
1,0007-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,2,PURE STAND,,,2,2 KG BAG,DECEMBER,2012,NO,3,50 KG BAG,SHELLED,,,,NO,,,3,50 KG BAG,SHELLED,JUNE,JUNE,2,
2,0007-001,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE HYBRID,2,PURE STAND,,,2,2 KG BAG,DECEMBER,2012,NO,3,50 KG BAG,SHELLED,,,,NO,,,3,50 KG BAG,SHELLED,JUNE,JUNE,2,
3,0007-001,PANEL A,Panel A - 2 Visits,YES,R03,MAIZE HYBRID,2,PURE STAND,YES,,2,2 KG BAG,DECEMBER,2012,NO,3,50 KG BAG,SHELLED,,,,NO,,,7,50 KG BAG,SHELLED,JUNE,JULY,2,
4,0007-001,PANEL A,Panel A - 2 Visits,YES,R04,MAIZE HYBRID,2,PURE STAND,,,2,2 KG BAG,DECEMBER,2012,NO,2,50 KG BAG,SHELLED,,,,NO,,,2,PAIL (LARGE),SHELLED,JUNE,JUNE,2,
1,0008-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,1,10 KG BAG,DECEMBER,2012,YES,,,,6,50 KG BAG,SHELLED,NO,,,7,50 KG BAG,SHELLED,MAY,JUNE,1,2
2,0008-001,PANEL B,Panel B - 2 Visits,YES,R01,NKHWANI,1,MIXED STAND,YES,,150,GRAM,DECEMBER,2012,YES,,,,1,50 KG BAG,NOT APPLICABLE,NO,,,1,50 KG BAG,NOT APPLICABLE,MAY,JUNE,1,2
3,0008-001,PANEL B,Panel B - 2 Visits,YES,R02,GROUNDNUT CHALIMBANA,1,PURE STAND,,,7,KILOGRAM,DECEMBER,2012,YES,,,,1,50 KG BAG,SHELLED,NO,,,1,50 KG BAG,SHELLED,MAY,JUNE,1,2
4,0008-001,PANEL B,Panel B - 2 Visits,YES,R03,BEANS,1,PURE STAND,,,1,3 KG BAG,DECEMBER,2012,YES,,,,1,50 KG BAG,SHELLED,NO,,,2,PAIL (SMALL),SHELLED,MAY,JUNE,1,2
1,0008-003,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,2,PURE STAND,,,1,10 KG BAG,DECEMBER,2012,YES,,,,5,50 KG BAG,SHELLED,NO,,,5,50 KG BAG,SHELLED,MAY,JUNE,1,2
1,0009-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID RECYCLED,1,PURE STAND,,,1,KILOGRAM,DECEMBER,2012,NO,3,50 KG BAG,SHELLED,,,,NO,,,4,50 KG BAG,SHELLED,JUNE,JUNE,1,
2,0009-001,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE HYBRID RECYCLED,1,PURE STAND,,,1,KILOGRAM,DECEMBER,2012,NO,3,50 KG BAG,SHELLED,,,,NO,,,4,50 KG BAG,SHELLED,JUNE,JUNE,1,
1,0010-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,3,PURE STAND,,,40,KILOGRAM,DECEMBER,2012,YES,,,,8,50 KG BAG,SHELLED,NO,,,8,50 KG BAG,SHELLED,JUNE,JUNE,3,
1,0011-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,1,10 KG BAG,DECEMBER,2012,NO,45,PAIL (LARGE),SHELLED,,,,NO,,,40,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
2,0011-001,PANEL A,Panel A - 2 Visits,YES,R01,BEANS,1,MIXED STAND,YES,,1,3 KG BAG,DECEMBER,2012,NO,3,PAIL (LARGE),SHELLED,,,,NO,,,1,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
1,0012-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,1,50 KG BAG,DECEMBER,2012,YES,,,,25,50 KG BAG,SHELLED,NO,,,25,50 KG BAG,SHELLED,JULY,JULY,1,2
2,0012-001,PANEL B,Panel B - 2 Visits,YES,R01,SUNFLOWER,1,MIXED STAND,YES,,1,10 KG BAG,DECEMBER,2012,YES,,,,2,PAIL (LARGE),SHELLED,NO,,,2,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
3,0012-001,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE HYBRID RECYCLED,1,PURE STAND,,,2,10 KG BAG,DECEMBER,2013,YES,,,,11,50 KG BAG,SHELLED,NO,,,11,50 KG BAG,SHELLED,JULY,JULY,1,2
4,0012-001,PANEL B,Panel B - 2 Visits,YES,R03,SWEET POTATO,1,PURE STAND,,,5,50 KG BAG,JANUARY,2012,YES,,,,5,50 KG BAG,NOT APPLICABLE,NO,,,5,50 KG BAG,NOT APPLICABLE,JUNE,JULY,1,2
1,0012-003,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,1,5 KG BAG,DECEMBER,2012,YES,,,,4,50 KG BAG,SHELLED,NO,,,10,50 KG BAG,SHELLED,MAY,JUNE,1,2
1,0012-010,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID RECYCLED,1,PURE STAND,,,1,10 KG BAG,DECEMBER,2012,YES,,,,2,50 KG BAG,SHELLED,NO,,,4,50 KG BAG,SHELLED,JUNE,JULY,1,
2,0012-010,PANEL B,Panel B - 2 Visits,YES,R02,GROUNDNUT CHALIMBANA,1,PURE STAND,,,1,10 KG BAG,DECEMBER,2012,YES,,,,1,50 KG BAG,SHELLED,NO,,,1,PAIL (LARGE),SHELLED,JUNE,JULY,1,
1,0013-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,1,10 KG BAG,DECEMBER,2012,NO,200,PAIL (LARGE),SHELLED,,,,YES,DROUGHT,,260,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
2,0013-001,PANEL A,Panel A - 2 Visits,YES,R01,BEANS,1,MIXED STAND,YES,,1,2 KG BAG,DECEMBER,2012,NO,4,PAIL (LARGE),SHELLED,,,,YES,DROUGHT,,3,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
3,0013-001,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE COMPOSITE/OPV,1,MIXED STAND,YES,,7.5,KILOGRAM,DECEMBER,2012,NO,10,PAIL (LARGE),SHELLED,,,,YES,DROUGHT,,8,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
4,0013-001,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CHALIMBANA,1,MIXED STAND,YES,,1,5 KG BAG,DECEMBER,2012,NO,6,PAIL (LARGE),UNSHELLED,,,,YES,DROUGHT,,5,PAIL (LARGE),UNSHELLED,JULY,JULY,1,2
1,0014-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,1,MIXED STAND,YES,,1,5 KG BAG,DECEMBER,2012,YES,,,,30,PAIL (LARGE),SHELLED,NO,,,30,PAIL (LARGE),SHELLED,JULY,JULY,1,
2,0014-001,PANEL B,Panel B - 2 Visits,YES,R01,OTHER GROUNDNUT (SPECIFY),1,MIXED STAND,NO,1/4,1,3 KG BAG,DECEMBER,2012,YES,,,,2,PAIL (LARGE),UNSHELLED,NO,,,2,PAIL (LARGE),UNSHELLED,JUNE,JUNE,1,
1,0015-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,1,10 KG BAG,DECEMBER,2012,NO,45,PAIL (LARGE),SHELLED,,,,YES,DROUGHT,,35,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
2,0015-001,PANEL A,Panel A - 2 Visits,YES,R01,BEANS,1,MIXED STAND,YES,,1,2 KG BAG,DECEMBER,2012,YES,,,,3,PAIL (LARGE),SHELLED,NO,,,2,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
3,0015-001,PANEL A,Panel A - 2 Visits,YES,R02,OTHER GROUNDNUT (SPECIFY),1,MIXED STAND,YES,,1,10 KG BAG,JANUARY,2013,NO,5,PAIL (LARGE),UNSHELLED,,,,YES,DROUGHT,,3,PAIL (LARGE),UNSHELLED,JUNE,JUNE,1,2
4,0015-001,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE HYBRID,1,MIXED STAND,YES,,2.5,KILOGRAM,JANUARY,2013,NO,17,PAIL (LARGE),SHELLED,,,,YES,DROUGHT,,6,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
1,0016-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,1,10 KG BAG,NOVEMBER,2012,YES,,,,100,PAIL (LARGE),SHELLED,NO,,,100,PAIL (LARGE),SHELLED,JULY,JULY,1,
2,0016-001,PANEL B,Panel B - 2 Visits,YES,R01,BEANS,1,MIXED STAND,NO,LESS THAN 1/4,1,5 KG BAG,NOVEMBER,2012,YES,,,,5,PAIL (LARGE),SHELLED,NO,,,5,PAIL (LARGE),SHELLED,JUNE,JUNE,1,
3,0016-001,PANEL B,Panel B - 2 Visits,YES,R01,OTHER GROUNDNUT (SPECIFY),1,MIXED STAND,NO,LESS THAN 1/4,1,10 KG BAG,NOVEMBER,2012,YES,,,,7,PAIL (LARGE),UNSHELLED,NO,,,7,PAIL (LARGE),UNSHELLED,JULY,JULY,1,
4,0016-001,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE LOCAL,1,MIXED STAND,YES,,1,10 KG BAG,NOVEMBER,2012,YES,,,,50,PAIL (LARGE),SHELLED,NO,,,50,PAIL (LARGE),SHELLED,JULY,JULY,1,
5,0016-001,PANEL B,Panel B - 2 Visits,YES,R02,OTHER GROUNDNUT (SPECIFY),1,MIXED STAND,NO,LESS THAN 1/4,2,KILOGRAM,NOVEMBER,2012,YES,,,,3,PAIL (LARGE),UNSHELLED,NO,,,3,PAIL (LARGE),UNSHELLED,JULY,JULY,1,
1,0017-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,1,10 KG BAG,NOVEMBER,2012,NO,8,50 KG BAG,SHELLED,,,,NO,,,7,50 KG BAG,SHELLED,MAY,JUNE,1,2
2,0017-001,PANEL A,Panel A - 2 Visits,YES,R02,TOBACCO BURLEY,1,PURE STAND,,,100,GRAM,NOVEMBER,2012,NO,400,KILOGRAM,NOT APPLICABLE,,,,NO,,,3,BALE,NOT APPLICABLE,APRIL,MAY,1,2
1,0018-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID,1,MIXED STAND,YES,,1,3.7 KG BAG,DECEMBER,2012,YES,,,,70,PAIL (LARGE),SHELLED,NO,,,70,PAIL (LARGE),SHELLED,JULY,JULY,1,2
2,0018-001,PANEL B,Panel B - 2 Visits,YES,R01,BEANS,1,MIXED STAND,NO,LESS THAN 1/4,1,KILOGRAM,DECEMBER,2012,YES,,,,1,PAIL (LARGE),SHELLED,NO,,,1,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
3,0018-001,PANEL B,Panel B - 2 Visits,YES,R01,OTHER GROUNDNUT (SPECIFY),1,MIXED STAND,NO,LESS THAN 1/4,1,3 KG BAG,DECEMBER,2012,YES,,,,2,PAIL (LARGE),UNSHELLED,NO,,,2,PAIL (LARGE),UNSHELLED,JUNE,JUNE,1,2
1,0019-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,10,KILOGRAM,JANUARY,2013,NO,2,50 KG BAG,SHELLED,,,,YES,OTHER (SPECIFY),,5,50 KG BAG,SHELLED,JUNE,JUNE,1,2
2,0019-001,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE LOCAL,1,PURE STAND,,,20,KILOGRAM,JANUARY,2013,NO,2,50 KG BAG,SHELLED,,,,YES,OTHER (SPECIFY),,5,50 KG BAG,SHELLED,JUNE,JUNE,1,2
1,0020-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,1,50 KG BAG,DECEMBER,2012,YES,,,,9,50 KG BAG,SHELLED,NO,,,19,50 KG BAG,SHELLED,JUNE,JUNE,1,
2,0020-001,PANEL B,Panel B - 2 Visits,YES,R01,NKHWANI,1,MIXED STAND,YES,,2,GRAM,DECEMBER,2012,YES,,,,1,BALE,NOT APPLICABLE,NO,,,3,50 KG BAG,NOT APPLICABLE,APRIL,JUNE,1,
3,0020-001,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE HYBRID,1,PURE STAND,,,1,10 KG BAG,DECEMBER,2012,YES,,,,1,50 KG BAG,SHELLED,NO,,,3,50 KG BAG,SHELLED,JUNE,JUNE,1,
1,0021-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2012,NO,10,PAIL (LARGE),SHELLED,,,,YES,OTHER (SPECIFY),,20,PAIL (LARGE),SHELLED,JUNE,JUNE,1,
2,0021-001,PANEL A,Panel A - 2 Visits,YES,R01,BEANS,1,MIXED STAND,NO,1/4,1,KILOGRAM,DECEMBER,2012,YES,,,,1,PAIL (LARGE),SHELLED,NO,,,1,PAIL (LARGE),SHELLED,MAY,MAY,1,
3,0021-001,PANEL A,Panel A - 2 Visits,YES,R01,PEA,1,MIXED STAND,NO,LESS THAN 1/4,1,KILOGRAM,DECEMBER,2012,YES,,,,1,PAIL (SMALL),SHELLED,NO,,,1,PAIL (SMALL),SHELLED,MAY,MAY,1,
4,0021-001,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE LOCAL,1,MIXED STAND,YES,,5,KILOGRAM,DECEMBER,2012,NO,7,PAIL (LARGE),SHELLED,,,,YES,OTHER (SPECIFY),,10,PAIL (LARGE),SHELLED,JUNE,JUNE,1,
5,0021-001,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CG7,1,MIXED STAND,NO,1/2,5,KILOGRAM,DECEMBER,2012,NO,3,PAIL (LARGE),UNSHELLED,,,,NO,,,5,PAIL (LARGE),UNSHELLED,MAY,JUNE,1,
1,0022-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0023-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,,,1,KILOGRAM,DECEMBER,2012,NO,2,50 KG BAG,SHELLED,,,,NO,,,3,50 KG BAG,SHELLED,JUNE,JUNE,1,2
2,0023-001,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE HYBRID,1,PURE STAND,,,1,3 KG BAG,DECEMBER,2012,NO,3,50 KG BAG,SHELLED,,,,NO,,,8,50 KG BAG,SHELLED,JUNE,JUNE,1,2
3,0023-001,PANEL A,Panel A - 2 Visits,YES,R03,MAIZE HYBRID,1,PURE STAND,,,15,KILOGRAM,DECEMBER,2012,NO,8,50 KG BAG,SHELLED,,,,NO,,,11,50 KG BAG,SHELLED,JUNE,JUNE,1,2
1,0024-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,30,KILOGRAM,DECEMBER,2012,YES,,,,50,PAIL (LARGE),SHELLED,YES,OTHER (SPECIFY),IRREGULAR RAINS,60,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
2,0024-001,PANEL B,Panel B - 2 Visits,YES,R01,GROUNDNUT MANIPINTA,1,MIXED STAND,NO,1/2,7,KILOGRAM,DECEMBER,2012,YES,,,,7,PAIL (LARGE),UNSHELLED,YES,IRREGULAR RAINS,,10,PAIL (LARGE),UNSHELLED,JUNE,JUNE,1,2
1,0025-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,MIXED STAND,YES,,10,KILOGRAM,JANUARY,2013,NO,100,PAIL (LARGE),SHELLED,,,,YES,DROUGHT,DISEASES,110,PAIL (LARGE),SHELLED,JUNE,JULY,1,2
2,0025-001,PANEL A,Panel A - 2 Visits,YES,R01,BEANS,1,MIXED STAND,YES,,1,2 KG BAG,JANUARY,2013,YES,,,,3,PAIL (LARGE),SHELLED,YES,DROUGHT,DISEASES,3,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
1,0026-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,2,MIXED STAND,YES,,5,KILOGRAM,DECEMBER,2012,YES,,,,25,PAIL (LARGE),SHELLED,YES,IRREGULAR RAINS,,45,PAIL (LARGE),SHELLED,JULY,JULY,1,2
2,0026-001,PANEL B,Panel B - 2 Visits,YES,R01,BEANS,2,MIXED STAND,NO,1/2,2,KILOGRAM,DECEMBER,2012,YES,,,,1,PAIL (SMALL),SHELLED,YES,IRREGULAR RAINS,,3,PAIL (SMALL),SHELLED,JUNE,JUNE,1,2
3,0026-001,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE HYBRID,2,PURE STAND,,,10,KILOGRAM,DECEMBER,2012,YES,,,,30,PAIL (LARGE),SHELLED,YES,IRREGULAR RAINS,,50,PAIL (LARGE),SHELLED,JULY,JULY,1,2
4,0026-001,PANEL B,Panel B - 2 Visits,YES,R03,GROUNDNUT JL24,2,PURE STAND,,,5,KILOGRAM,DECEMBER,2012,YES,,,,10,PAIL (LARGE),UNSHELLED,YES,IRREGULAR RAINS,,20,PAIL (LARGE),UNSHELLED,JULY,JULY,1,2
1,0027-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,1,MIXED STAND,YES,,15,KILOGRAM,DECEMBER,2012,NO,70,PAIL (LARGE),SHELLED,,,,NO,,,75,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
2,0027-001,PANEL A,Panel A - 2 Visits,YES,R01,BEANS,1,MIXED STAND,NO,1/2,2,KILOGRAM,DECEMBER,2012,YES,,,,2,PAIL (LARGE),SHELLED,NO,,,2,PAIL (LARGE),SHELLED,MAY,MAY,1,2
3,0027-001,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE LOCAL,1,MIXED STAND,YES,,7,KILOGRAM,DECEMBER,2012,NO,33,PAIL (LARGE),SHELLED,,,,NO,,,30,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
4,0027-001,PANEL A,Panel A - 2 Visits,YES,R02,BEANS,1,MIXED STAND,NO,1/4,1,KILOGRAM,DECEMBER,2012,YES,,,,1,PAIL (LARGE),SHELLED,NO,,,1,PAIL (LARGE),SHELLED,MAY,MAY,1,2
1,0028-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,PURE STAND,,,1,5 KG BAG,DECEMBER,2012,YES,,,,1,50 KG BAG,SHELLED,NO,,,2,50 KG BAG,SHELLED,MAY,JUNE,1,2
2,0028-001,PANEL B,Panel B - 2 Visits,YES,R02,PIGEONPEA(NANDOLO),1,PURE STAND,,,1,10 KG BAG,NOVEMBER,2012,YES,,,,1,50 KG BAG,SHELLED,NO,,,1,PAIL (SMALL),SHELLED,JUNE,JULY,1,2
1,0029-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,MIXED STAND,YES,,20,KILOGRAM,DECEMBER,2012,NO,120,PAIL (LARGE),SHELLED,,,,NO,,,115,PAIL (LARGE),SHELLED,JUNE,JULY,1,2
2,0029-001,PANEL A,Panel A - 2 Visits,YES,R01,BEANS,1,MIXED STAND,NO,1/4,2,KILOGRAM,DECEMBER,2012,YES,,,,1,PAIL (LARGE),SHELLED,NO,,,1,PAIL (LARGE),SHELLED,MAY,MAY,1,2
1,0030-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,PURE STAND,,,1,10 KG BAG,DECEMBER,2012,YES,,,,4,50 KG BAG,SHELLED,NO,,,2,50 KG BAG,SHELLED,MAY,JUNE,1,2
2,0030-001,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE HYBRID,1,PURE STAND,,,1,5 KG BAG,DECEMBER,2012,YES,,,,8,50 KG BAG,SHELLED,NO,,,5,50 KG BAG,SHELLED,MAY,JUNE,1,2
1,0031-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID RECYCLED,2,MIXED STAND,YES,,10,KILOGRAM,DECEMBER,2012,NO,40,PAIL (LARGE),SHELLED,,,,YES,OTHER (SPECIFY),,45,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
2,0031-001,PANEL A,Panel A - 2 Visits,YES,R01,PEA,2,MIXED STAND,NO,1/4,1,GRAM,DECEMBER,2012,NO,1,PAIL (LARGE),SHELLED,,,,NO,,,1,PAIL (LARGE),SHELLED,MAY,JUNE,1,2
3,0031-001,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE HYBRID RECYCLED,2,MIXED STAND,YES,,5,KILOGRAM,DECEMBER,2012,NO,18,PAIL (LARGE),SHELLED,,,,YES,OTHER (SPECIFY),,15,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
4,0031-001,PANEL A,Panel A - 2 Visits,YES,R02,PEA,2,MIXED STAND,NO,1/4,1,GRAM,DECEMBER,2012,NO,1,PAIL (LARGE),SHELLED,,,,NO,,,1,PAIL (LARGE),SHELLED,MAY,JUNE,1,2
1,0032-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE LOCAL,1,PURE STAND,,,12,KILOGRAM,DECEMBER,2012,YES,,,,10,50 KG BAG,SHELLED,NO,,,4,50 KG BAG,SHELLED,MAY,JUNE,1,2
2,0032-001,PANEL B,Panel B - 2 Visits,YES,R02,GROUNDNUT CHALIMBANA,1,PURE STAND,,,6,KILOGRAM,DECEMBER,2012,YES,,,,2,50 KG BAG,SHELLED,NO,,,1,PAIL (LARGE),SHELLED,MAY,JUNE,1,2
1,0033-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,YES,,10,KILOGRAM,JANUARY,2013,NO,9,50 KG BAG,SHELLED,,,,NO,,,1,50 KG BAG,SHELLED,JUNE,JUNE,1,2
2,0033-001,PANEL A,Panel A - 2 Visits,YES,R02,GROUNDNUT CG7,1,PURE STAND,,,2,2 KG BAG,JANUARY,2013,NO,1,50 KG BAG,UNSHELLED,,,,NO,,,1,50 KG BAG,UNSHELLED,JUNE,JUNE,1,2
3,0033-001,PANEL A,Panel A - 2 Visits,YES,R03,SOYABEAN,1,PURE STAND,,,2,2 KG BAG,JANUARY,2013,NO,1,50 KG BAG,UNSHELLED,,,,NO,,,1,PAIL (LARGE),UNSHELLED,JULY,JULY,1,2
1,0034-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID RECYCLED,2,PURE STAND,,,20,KILOGRAM,DECEMBER,2012,NO,80,PAIL (LARGE),SHELLED,,,,NO,,,100,PAIL (LARGE),SHELLED,JUNE,JUNE,1,2
